Title,Link,Date,Source,Summary,Term,LanguageQueried
High Alert! Cyclone Montha Heads Toward Andhra Pradesh - Gulte,https://news.google.com/rss/articles/CBMingFBVV95cUxPTzNHa2pNWHZVeXdqX2VMcUdqQVhraHV5cHU2blI3Z0VHU0JXOWN5UmJlVlV5Z2k4T0M1ODhwT0tMTDJXek5ObW5Zc1BabGVKd2RmbTc0bGJpYUh1NmNMWG8xTTE5bFN4bERKM3gtU2dmdS1LbVVCVzhOVFBXWm9GNnJyUk1FSE5CY01YUGlrMTNPNHB6OWZxZEQ5VEpMQdIBowFBVV95cUxOZVRDQ0FtQWdrRVZyUWNMRzdJdnFvU1lfOFpTUUowSEhFc2huSkJtZ2d4TG5ReVFGVnVWZF81T2VhREFndHVnemxlS21xWWNZMThfSURvVW5KLU05N3gxbFBKVUFreWZueVNfSFlQZldDaklSMmtfeFgwV3VpUkhmUVFJdGMwU0tqRllheFhWbzVPbTV3eFk1ZVpxWG9QVDU2X1hz?oc=5,2025-10-25 02:24:44,Gulte,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPTzNHa2pNWHZVeXdqX2VMcUdqQVhraHV5cHU2blI3Z0VHU0JXOWN5UmJlVlV5Z2k4T0M1ODhwT0tMTDJXek5ObW5Zc1BabGVKd2RmbTc0bGJpYUh1NmNMWG8xTTE5bFN4bERKM3gtU2dmdS1LbVVCVzhOVFBXWm9GNnJyUk1FSE5CY01YUGlrMTNPNHB6OWZxZEQ5VEpMQdIBowFBVV95cUxOZVRDQ0FtQWdrRVZyUWNMRzdJdnFvU1lfOFpTUUowSEhFc2huSkJtZ2d4TG5ReVFGVnVWZF81T2VhREFndHVnemxlS21xWWNZMThfSURvVW5KLU05N3gxbFBKVUFreWZueVNfSFlQZldDaklSMmtfeFgwV3VpUkhmUVFJdGMwU0tqRllheFhWbzVPbTV3eFk1ZVpxWG9QVDU2X1hz?oc=5"" target=""_blank"">High Alert! Cyclone Montha Heads Toward Andhra Pradesh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gulte</font>",Monsoon,en
Heavy rain alert issued to AP amid low pressure area in Bay of Bengal - The Hans India,https://news.google.com/rss/articles/CBMivgFBVV95cUxNcV8tbWxIM21pcXM2M2VNTWx3QWJrd3dtdmo3T0VlNGxPWFlZbjc2MTVxeWltZjFLc0M2ek50am9vTkptTXVwc3IxYjkwdkJoby1WeERJMGJTdWVmUFQ1TDg0Mk1EWjdfQlc5QVB3VUI3Wk91aUdCMU91cElQcngtUDAzdnIyOHRRb2lRMVctcHc5Qk9wY0kyNGloa2hIWXRCcnRoTDl5N29VeGRuckZrb2NRMkpUejVIbWRDTkl30gHDAUFVX3lxTFBHNmVJc1BTZF9SM1BCN2o4TVRIMVUwWXh3VDRVUkhYeUlXZy13bERiaC1SN19UZ2N4WjJHZGZOV3VzbG5TeFUtYkhENlBYcHdVTDh2bERnbGMxbDE3cU0yZWxIazNNbTBvejVDWUhBdFhLV2lGY3Y1eVlzQnVyUEtqRkZvSWU1bWtVR3UtZGpVN01VUVBwQTFoN3hmVXpUN0c3bjF3MG9hdXFZalVuWDBHeThZaEROU0ZSazFhd2RUWW8tQQ?oc=5,2025-10-25 09:28:52,The Hans India,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNcV8tbWxIM21pcXM2M2VNTWx3QWJrd3dtdmo3T0VlNGxPWFlZbjc2MTVxeWltZjFLc0M2ek50am9vTkptTXVwc3IxYjkwdkJoby1WeERJMGJTdWVmUFQ1TDg0Mk1EWjdfQlc5QVB3VUI3Wk91aUdCMU91cElQcngtUDAzdnIyOHRRb2lRMVctcHc5Qk9wY0kyNGloa2hIWXRCcnRoTDl5N29VeGRuckZrb2NRMkpUejVIbWRDTkl30gHDAUFVX3lxTFBHNmVJc1BTZF9SM1BCN2o4TVRIMVUwWXh3VDRVUkhYeUlXZy13bERiaC1SN19UZ2N4WjJHZGZOV3VzbG5TeFUtYkhENlBYcHdVTDh2bERnbGMxbDE3cU0yZWxIazNNbTBvejVDWUhBdFhLV2lGY3Y1eVlzQnVyUEtqRkZvSWU1bWtVR3UtZGpVN01VUVBwQTFoN3hmVXpUN0c3bjF3MG9hdXFZalVuWDBHeThZaEROU0ZSazFhd2RUWW8tQQ?oc=5"" target=""_blank"">Heavy rain alert issued to AP amid low pressure area in Bay of Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hans India</font>",Monsoon,en
Cyclone ‘Montha’ Likely to Bring Heavy Rain to Chennai; IMD Issues Orange Alert – All You Need to Know - Times Now,https://news.google.com/rss/articles/CBMigAJBVV95cUxPOFZrYjE4OURVb1VqZjhYMm40SkQ2UDZQT1FoUnAtbDRuTWUzb0M4MTQwTzZfWjY1aFdqMmFaN0J4bmg5U3VLZjNtaG9scU5oZmhhWnR5Z1pXcnowelJtUEY4eTZOLWdzaFMtVWxLbTRIbmxEbVhlWVZuY19lY3pHY254RTJON0NERm9MbEZqMDNmc29rSThYUWxZd01MUFV1MEhNcGxiZDBzdzFWVGE5UGZhLVdwOTNrekdxMUd6MjJtZ04wSVNuaXhjSGJfa0RhZlNtWk5wTzRZX1JNYlFkUjNZOEhGYzJRS0RuTHhFWHRobndxclB3N2JteWZsbTJT0gGGAkFVX3lxTE1RMFdFZXFuUk1mZG5ERmVLalJ6NGVsM1JObHdPZEhqT0hLTGxTZXlWVGJ3WkRPamZKQW95STlIXzJXbVM5NGVyUjRNWWxzeVd3ZzNpQzcxNTZQbXUwdElIRFI5d1NpUURtSkpYZkNUd2NvN2puekFMcXZjWGFhbnQ2OGpFMVJrTElXN2ZsSVlvU0ZjbmhDVUlfSE42LURLa25jenpuc3FVX0wyWkpVUVdYbGlRUlFTRk5sRGY5MWdyNFJ0RTlTUF9YNXRXR2FLZGFWbEMxMGpUVmVOanE5ZS1yMGdSb3JpdEFBSS1Tb3MzUnl6bTh5N29pdEp6M04xbEhEY3BKN0E?oc=5,2025-10-25 07:41:15,Times Now,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxPOFZrYjE4OURVb1VqZjhYMm40SkQ2UDZQT1FoUnAtbDRuTWUzb0M4MTQwTzZfWjY1aFdqMmFaN0J4bmg5U3VLZjNtaG9scU5oZmhhWnR5Z1pXcnowelJtUEY4eTZOLWdzaFMtVWxLbTRIbmxEbVhlWVZuY19lY3pHY254RTJON0NERm9MbEZqMDNmc29rSThYUWxZd01MUFV1MEhNcGxiZDBzdzFWVGE5UGZhLVdwOTNrekdxMUd6MjJtZ04wSVNuaXhjSGJfa0RhZlNtWk5wTzRZX1JNYlFkUjNZOEhGYzJRS0RuTHhFWHRobndxclB3N2JteWZsbTJT0gGGAkFVX3lxTE1RMFdFZXFuUk1mZG5ERmVLalJ6NGVsM1JObHdPZEhqT0hLTGxTZXlWVGJ3WkRPamZKQW95STlIXzJXbVM5NGVyUjRNWWxzeVd3ZzNpQzcxNTZQbXUwdElIRFI5d1NpUURtSkpYZkNUd2NvN2puekFMcXZjWGFhbnQ2OGpFMVJrTElXN2ZsSVlvU0ZjbmhDVUlfSE42LURLa25jenpuc3FVX0wyWkpVUVdYbGlRUlFTRk5sRGY5MWdyNFJ0RTlTUF9YNXRXR2FLZGFWbEMxMGpUVmVOanE5ZS1yMGdSb3JpdEFBSS1Tb3MzUnl6bTh5N29pdEp6M04xbEhEY3BKN0E?oc=5"" target=""_blank"">Cyclone ‘Montha’ Likely to Bring Heavy Rain to Chennai; IMD Issues Orange Alert – All You Need to Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Monsoon,en
School Holiday Today (October 25) Live Updates: Check States And City-wise Schools Closure Due To Heavy Rainfall Alert - The Daily Jagran,https://news.google.com/rss/articles/CBMigwJBVV95cUxOU2NGc1IzNldXQ0Z4R21BYkhkVGtaSHVGdmFqWE55RXFGVXV4ckJCUldjazdZQWdtdFdrSlVscXU3Mm1tVzhUS1htTWptZk9LT25QYVRVcU8tX1dweldPRkxTMzdoSWI2U2JwN1ZVUmlSdWlFZmI1MG5qRWV1LURpY1ZBbTNDemlBb0tReURjaFBtVFRfU2Exb3RZZEVNQ2NGdnQ5amJZR0hMclR5ak9sZ3dIX01GeWdSUUs4RGtOY05mWnB3NXdPdFhTZlgwdlRRUi1NSmE5Zi15QmFrMTRnblNJYXhNc1hZeHp1VmF6RVhQdkhsbF9RZGJ4MjRnekpydk5n?oc=5,2025-10-25 09:09:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxOU2NGc1IzNldXQ0Z4R21BYkhkVGtaSHVGdmFqWE55RXFGVXV4ckJCUldjazdZQWdtdFdrSlVscXU3Mm1tVzhUS1htTWptZk9LT25QYVRVcU8tX1dweldPRkxTMzdoSWI2U2JwN1ZVUmlSdWlFZmI1MG5qRWV1LURpY1ZBbTNDemlBb0tReURjaFBtVFRfU2Exb3RZZEVNQ2NGdnQ5amJZR0hMclR5ak9sZ3dIX01GeWdSUUs4RGtOY05mWnB3NXdPdFhTZlgwdlRRUi1NSmE5Zi15QmFrMTRnblNJYXhNc1hZeHp1VmF6RVhQdkhsbF9RZGJ4MjRnekpydk5n?oc=5"" target=""_blank"">School Holiday Today (October 25) Live Updates: Check States And City-wise Schools Closure Due To Heavy Rainfall Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Monsoon,en
"Odisha Weather Alert: Heavy Rain, Strong Winds Expected As Cyclone Montha To Intensify By Oct 27 | Check IMD Forecast - The Daily Jagran",https://news.google.com/rss/articles/CBMi-gFBVV95cUxQckV2U24zS29GQVlSZ05hLUIxb1FXdkJxMHVsRlcyS3ZtLS1JdGxOWXM0YjhNcklHenlLSFBnTzVTNlpfZnVyM19UU0hDQld4UzdITUY0OTc0U3g4cVgtNExZT2UzcU1fdnNYSjg0VU02c0NhS0xNcFAtbS0zcUN4VUtTLVUyWGVkb3VIcjgwNEZDdk9VM1ZlNjF6LVJYc0txY21qbHhGeUgtbnE4azV6VmlDaTZoVkJfcVJhYXNLLTY4YUgwNHIzSDFKV3gwRUxZM1dzWmthM2Z3MHBPcVN4U1hiT1FPcXYzWTVRaVJTcGFCb044Yzh3SU9R?oc=5,2025-10-25 08:36:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxQckV2U24zS29GQVlSZ05hLUIxb1FXdkJxMHVsRlcyS3ZtLS1JdGxOWXM0YjhNcklHenlLSFBnTzVTNlpfZnVyM19UU0hDQld4UzdITUY0OTc0U3g4cVgtNExZT2UzcU1fdnNYSjg0VU02c0NhS0xNcFAtbS0zcUN4VUtTLVUyWGVkb3VIcjgwNEZDdk9VM1ZlNjF6LVJYc0txY21qbHhGeUgtbnE4azV6VmlDaTZoVkJfcVJhYXNLLTY4YUgwNHIzSDFKV3gwRUxZM1dzWmthM2Z3MHBPcVN4U1hiT1FPcXYzWTVRaVJTcGFCb044Yzh3SU9R?oc=5"" target=""_blank"">Odisha Weather Alert: Heavy Rain, Strong Winds Expected As Cyclone Montha To Intensify By Oct 27 | Check IMD Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Monsoon,en
"October 25 weather update: IMD predicts rain, winds, and cyclone watch in these areas - Times of India",https://news.google.com/rss/articles/CBMi-wFBVV95cUxORGRkOFNwcGFVN29fRUpQeHBmb2s4eGp5em1JeFdZeFFpLVVBdndMdTFaaWVQbk42RGxXbFpZMjVtLTNpYTE0WnAyejdzUjZDTm5sSGNHdnJxbjVERFVMNG44MFRIT1RSMDZKMWM0UERZNlF0b0duc215NTY2NGVrTVUzdWxDVnBMRTJfLVdvQ21ERHhGZUdrS3hNYk5Ha0VMRHg4WnRDTENWR1ptdjQ5ZVllNU1JZ0Yzd1FSaGp0NlNUUmtqX2FNeU9IYi1KWDJCZ3pfNVJ5X1dOeXRNX2phZVN0Q3U5N2xMNnZmUHhYSy1OLXo4VWNRWlJjY9IBgAJBVV95cUxOaEdDaG5jX09nemxIVkRFeFY1NG5vQmZFV0c2RnZkUXdtRFZDMS1HZmFkM2ZSNWtQV1V2Y1BOcm9WazNNVGhLTndmRHpBeDFjdnl1Y1l2YzlNYjZqS2JDdFRhSldrdTJWY2JrbEFPaDBDcmdJdEh6dXhjbW5TTDFkdTRYcHBCMzVCT1h1M0pqWElRcVdMdXpWSm9YNEFzUlpwVUZ5OHdoVkU0dlc1c3RiMVpSTGlpb2Q4dTZVRXRZb0czckZBU1pUaWExcjRRYnlKN2RSbUlyNGxFZDZKTHNhU2JRN3ZROG1qdjN2NlRpOWVSZk1VQmFBSEF5UHJBX2ZL?oc=5,2025-10-25 07:00:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxORGRkOFNwcGFVN29fRUpQeHBmb2s4eGp5em1JeFdZeFFpLVVBdndMdTFaaWVQbk42RGxXbFpZMjVtLTNpYTE0WnAyejdzUjZDTm5sSGNHdnJxbjVERFVMNG44MFRIT1RSMDZKMWM0UERZNlF0b0duc215NTY2NGVrTVUzdWxDVnBMRTJfLVdvQ21ERHhGZUdrS3hNYk5Ha0VMRHg4WnRDTENWR1ptdjQ5ZVllNU1JZ0Yzd1FSaGp0NlNUUmtqX2FNeU9IYi1KWDJCZ3pfNVJ5X1dOeXRNX2phZVN0Q3U5N2xMNnZmUHhYSy1OLXo4VWNRWlJjY9IBgAJBVV95cUxOaEdDaG5jX09nemxIVkRFeFY1NG5vQmZFV0c2RnZkUXdtRFZDMS1HZmFkM2ZSNWtQV1V2Y1BOcm9WazNNVGhLTndmRHpBeDFjdnl1Y1l2YzlNYjZqS2JDdFRhSldrdTJWY2JrbEFPaDBDcmdJdEh6dXhjbW5TTDFkdTRYcHBCMzVCT1h1M0pqWElRcVdMdXpWSm9YNEFzUlpwVUZ5OHdoVkU0dlc1c3RiMVpSTGlpb2Q4dTZVRXRZb0czckZBU1pUaWExcjRRYnlKN2RSbUlyNGxFZDZKTHNhU2JRN3ZROG1qdjN2NlRpOWVSZk1VQmFBSEF5UHJBX2ZL?oc=5"" target=""_blank"">October 25 weather update: IMD predicts rain, winds, and cyclone watch in these areas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Monsoon,en
"Odisha on high alert ahead of cyclone, fishermen advised caution - The Hindu",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPUEU1N2gtS1Q3Zk5ndjRVWDZrdzYxYUJKNzQxNWx6T2ZLLURGampSMWRGYW1VUGo5Y0hEM2ZQUjZxb3pnbDVIcWJHS2VyWUxNZEdjTUVibzVyR2NFYUFBWS1waENfR3RMRW1WeWJ5OTdIMHNNVTliZGk2VVVNVlhiakxUd1NNM3ZyMVNvd3FjdmdXd1R5a1FkbFJ2NmtsR1FvOWJVUlJzSVJCYUtuekYwbWtici1XM0Y4b1M2ZDlwS1NrdHZrTzBvZVVoQ3U3VzlL0gHXAUFVX3lxTFByNmZCZzBHbGhwQjhaa1E5SHM2Q1VUSnFsUUJuSzJCMHcxcjcxeFZ5Q3JVMGlHakRQalVDeUFrajVhZkhLalVnODcwUy1TbmlyZHh2ejRmcGJtM0czdjJicTdVLVJiRjM2ODVQSkY0Yy11TUNfMEhjUmRKaGcxcEN2WHphM09tdVpBOF9OeTJGWUtrbHZOVUZkb1F0RS0xX3pMZFd6VTQ5dGZXeU5xVHVuaUZQRjRhVWt3ZnAybkt3VUMyeExUdDNaYmpHbXBuR1F5Unp1UXVJ?oc=5,2025-10-25 07:13:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPUEU1N2gtS1Q3Zk5ndjRVWDZrdzYxYUJKNzQxNWx6T2ZLLURGampSMWRGYW1VUGo5Y0hEM2ZQUjZxb3pnbDVIcWJHS2VyWUxNZEdjTUVibzVyR2NFYUFBWS1waENfR3RMRW1WeWJ5OTdIMHNNVTliZGk2VVVNVlhiakxUd1NNM3ZyMVNvd3FjdmdXd1R5a1FkbFJ2NmtsR1FvOWJVUlJzSVJCYUtuekYwbWtici1XM0Y4b1M2ZDlwS1NrdHZrTzBvZVVoQ3U3VzlL0gHXAUFVX3lxTFByNmZCZzBHbGhwQjhaa1E5SHM2Q1VUSnFsUUJuSzJCMHcxcjcxeFZ5Q3JVMGlHakRQalVDeUFrajVhZkhLalVnODcwUy1TbmlyZHh2ejRmcGJtM0czdjJicTdVLVJiRjM2ODVQSkY0Yy11TUNfMEhjUmRKaGcxcEN2WHphM09tdVpBOF9OeTJGWUtrbHZOVUZkb1F0RS0xX3pMZFd6VTQ5dGZXeU5xVHVuaUZQRjRhVWt3ZnAybkt3VUMyeExUdDNaYmpHbXBuR1F5Unp1UXVJ?oc=5"" target=""_blank"">Odisha on high alert ahead of cyclone, fishermen advised caution</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Monsoon,en
AP Braces for Heavy Rains as Cyclonic Storm Montha Brews in Bay - Deccan Chronicle,https://news.google.com/rss/articles/CBMizwFBVV95cUxQb0JZWnVLaUlEOW8zZS1tWVRldFQ5emp4bmpURkRSMzQ5SDEySjJ2ZlBJVjhxY1NoS1lDcDA4Y1ZzYWJ1QXJGTnZ4cVNtdFZhN19Uc0FOUEp6LWYtNFFRcUc3dW44UzVHeV9mNTUwekR2UlRsWlNYNkRtVUh5UlJvN1RGU0RfWVlwMXh0TU1BaUVLWm1HNWdNZlZJS29aZU1hd1VCdDFzUFlzVzUyV2k1d3IzRVlNT29ZYkFlcHhjem5DRmktRzF2S2hEXzFubnPSAdQBQVVfeXFMTWFqOVExTFUydXhBRU5jQjRRTzktdmV0d1AxMlhWOVpNMjhUMFZCZlh1TFVUSHhjSE85eFV6eHE4RDNkWkRGeGJzd1pYcUppbHYtUWduNWpMa1Bzc2dtZ2lvRktXZEg5WTdvSEd6WHcxM1phZ3I5YTVZWUxoUUZEd0Y1OVo5N1BmQXBDa1Z5bXRDWk5IbVE0NURmZFROZUdiTXBOUmp4QThMenUxMkR1WlFIOFZxTUNLQlVsWWlLbHlZUHNfbWVXMXU4V2FWdWdnbkVBTUk?oc=5,2025-10-25 00:36:20,Deccan Chronicle,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQb0JZWnVLaUlEOW8zZS1tWVRldFQ5emp4bmpURkRSMzQ5SDEySjJ2ZlBJVjhxY1NoS1lDcDA4Y1ZzYWJ1QXJGTnZ4cVNtdFZhN19Uc0FOUEp6LWYtNFFRcUc3dW44UzVHeV9mNTUwekR2UlRsWlNYNkRtVUh5UlJvN1RGU0RfWVlwMXh0TU1BaUVLWm1HNWdNZlZJS29aZU1hd1VCdDFzUFlzVzUyV2k1d3IzRVlNT29ZYkFlcHhjem5DRmktRzF2S2hEXzFubnPSAdQBQVVfeXFMTWFqOVExTFUydXhBRU5jQjRRTzktdmV0d1AxMlhWOVpNMjhUMFZCZlh1TFVUSHhjSE85eFV6eHE4RDNkWkRGeGJzd1pYcUppbHYtUWduNWpMa1Bzc2dtZ2lvRktXZEg5WTdvSEd6WHcxM1phZ3I5YTVZWUxoUUZEd0Y1OVo5N1BmQXBDa1Z5bXRDWk5IbVE0NURmZFROZUdiTXBOUmp4QThMenUxMkR1WlFIOFZxTUNLQlVsWWlLbHlZUHNfbWVXMXU4V2FWdWdnbkVBTUk?oc=5"" target=""_blank"">AP Braces for Heavy Rains as Cyclonic Storm Montha Brews in Bay</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Chronicle</font>",Monsoon,en
Weather update: Heavy rains predicted in Andhra and Yanam; Delhi to see clear skies - CNBC TV18,https://news.google.com/rss/articles/CBMivwFBVV95cUxOTUppRWRCRHVFWkpzaEVCYklhTjZqT2RqdXNHUWE4OHlQOWxjZldUTUJVbHc3SUxYcWdIdWtLTHg5MzFyN2I4N0NBbXZFNFVHZ3VEdUxQV1BzNTVKUW03bUp4U3A3ZEhzMXM1enJVOHJ1YVFuS0xTV3AtanQ4TV9DVzFITEl4YjRVN1VNMm9vMXBQeXFubGNyNVlxUW9RQVpyVGVvSzJrUFVEakktMm84Z18wVDdJdnVkZXZPbDd4b9IBxAFBVV95cUxObXJpcklZVHMxczE4OEVINVhEYzlmSHFnMU1wUU03YURUel9UZkdWVVduXzd4TE1VSGdZa1B6MmNYNzZNN0Iwa0x0R05XNUhxLTlWUzJpYVlIUVVPMm93X21kMzg1eXRyTjFQSWlwR1d4WXlZZHNVY3djNkxMVWhBTGRzTW81M2l6cFdSRjhqNVFWa2V4bl9CWVY2UHlrcVRvcjZITFNPc2dYTDdXa0NJdm1pemNrWjNjb2VsXzhyNFV5eEkt?oc=5,2025-10-25 10:23:08,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOTUppRWRCRHVFWkpzaEVCYklhTjZqT2RqdXNHUWE4OHlQOWxjZldUTUJVbHc3SUxYcWdIdWtLTHg5MzFyN2I4N0NBbXZFNFVHZ3VEdUxQV1BzNTVKUW03bUp4U3A3ZEhzMXM1enJVOHJ1YVFuS0xTV3AtanQ4TV9DVzFITEl4YjRVN1VNMm9vMXBQeXFubGNyNVlxUW9RQVpyVGVvSzJrUFVEakktMm84Z18wVDdJdnVkZXZPbDd4b9IBxAFBVV95cUxObXJpcklZVHMxczE4OEVINVhEYzlmSHFnMU1wUU03YURUel9UZkdWVVduXzd4TE1VSGdZa1B6MmNYNzZNN0Iwa0x0R05XNUhxLTlWUzJpYVlIUVVPMm93X21kMzg1eXRyTjFQSWlwR1d4WXlZZHNVY3djNkxMVWhBTGRzTW81M2l6cFdSRjhqNVFWa2V4bl9CWVY2UHlrcVRvcjZITFNPc2dYTDdXa0NJdm1pemNrWjNjb2VsXzhyNFV5eEkt?oc=5"" target=""_blank"">Weather update: Heavy rains predicted in Andhra and Yanam; Delhi to see clear skies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Monsoon,en
Heavy rain likely as cyclone looms over Bay of Bengal - Times of India,https://news.google.com/rss/articles/CBMixwFBVV95cUxQVzNObUVHRFd0NDVsYjlPY19nN0cyMl9Rek9ldE9QMlJ0dVdLMmduNUZ4ejhMWmtySWdFeExmbjFxNkw4SWZER0xIam5vNlluOVJGS0NGTzRhdHBhX0dVVlZ3a0c0ZE1YN2RVeXRvOGxzdjFmT2VBYVNhdmVWMmRrS1BvTm5aeXE4X1BYVXdITHUtYzF6ZlhRWXVzZEc5OUtVVlNKSGJ5YzEyUEN5eU16SDhhUW5ITnJFeldrZ05taU1YRXJCX08w0gHMAUFVX3lxTFBZRElaOUJOMDRJLWJVcWhZOW9pOXM4RlExVXJmbERua2dCbHlZZ3h1Y3VFRUlMdEJMLThEbWNtc3ljRmtGLXNDaVlLNm55em01VXZtS2NJM0F1UjBkLU1OUWVLVlhsems4ZlFDYTdEVWhfcmR0ckZBeG5DT2EyS3JxdjR0TXZLXzBlSU1BdTBoNkZYanEtQjJ0dVpORjk2SUhnRmtEcmhRejYtY0lOcXRKQlVMWERYejd1VjhJdGxCdktzeFpvQTV0Mkdicg?oc=5,2025-10-25 02:31:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQVzNObUVHRFd0NDVsYjlPY19nN0cyMl9Rek9ldE9QMlJ0dVdLMmduNUZ4ejhMWmtySWdFeExmbjFxNkw4SWZER0xIam5vNlluOVJGS0NGTzRhdHBhX0dVVlZ3a0c0ZE1YN2RVeXRvOGxzdjFmT2VBYVNhdmVWMmRrS1BvTm5aeXE4X1BYVXdITHUtYzF6ZlhRWXVzZEc5OUtVVlNKSGJ5YzEyUEN5eU16SDhhUW5ITnJFeldrZ05taU1YRXJCX08w0gHMAUFVX3lxTFBZRElaOUJOMDRJLWJVcWhZOW9pOXM4RlExVXJmbERua2dCbHlZZ3h1Y3VFRUlMdEJMLThEbWNtc3ljRmtGLXNDaVlLNm55em01VXZtS2NJM0F1UjBkLU1OUWVLVlhsems4ZlFDYTdEVWhfcmR0ckZBeG5DT2EyS3JxdjR0TXZLXzBlSU1BdTBoNkZYanEtQjJ0dVpORjk2SUhnRmtEcmhRejYtY0lOcXRKQlVMWERYejd1VjhJdGxCdktzeFpvQTV0Mkdicg?oc=5"" target=""_blank"">Heavy rain likely as cyclone looms over Bay of Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Monsoon,en
