Title,Link,Date,Source,Summary,Term,LanguageQueried
"Monsoon floods affect over 560,000 people in Assam, India - The News Mill",https://news.google.com/rss/articles/CBMipAFBVV95cUxOWTZOanczVWFkT2NVd0ljN0ozY29hc3BsT011S19rcE5BZWtMYWhDR2tmZ19wTEFvd3A4aGM1ZURKeUYzaVBReVlPMFdXWE5DUmJIUGpOVzJIeVhMaFVZNWV5SVR1TC1XcXVfZFZoYkZpYzZ0ckIzQVFNZGNXOUlBN3NUVUp5ZHFDLXNQTlcwclphZnh5UHFCZ2pKRHd4LVNtUVVqZg?oc=5,2026-07-31 08:27:15,The News Mill,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOWTZOanczVWFkT2NVd0ljN0ozY29hc3BsT011S19rcE5BZWtMYWhDR2tmZ19wTEFvd3A4aGM1ZURKeUYzaVBReVlPMFdXWE5DUmJIUGpOVzJIeVhMaFVZNWV5SVR1TC1XcXVfZFZoYkZpYzZ0ckIzQVFNZGNXOUlBN3NUVUp5ZHFDLXNQTlcwclphZnh5UHFCZ2pKRHd4LVNtUVVqZg?oc=5"" target=""_blank"">Monsoon floods affect over 560,000 people in Assam, India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News Mill</font>",Monsoon,en
"Seven weather systems now steer India's monsoon: Heavy rain, floods ahead - India Today",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZG5RbU1xUUV1YWtRbWZRanB1dU5pZWVzMVlqUFZ3d2xac25EbHJ4eTRWc2ZOUjlsd1ZDR0Qxc0lNNDdZRWVrRDdBQWdzcVZOYnVPRFlQWGMwQWdHX0w3dEVKVFZmeVVWTlg5SmU4cmVfVElNYTRiSko5MzlZVVdKUVlMQkt4cnBveFlZSi1uM3NHSm5TNWZVRDBKMjhMZVVGM3FlLUJvZEVzRE84SFNDVFZNcm9ndVd2eUxTd1lROHc1aUtSLUZmOGhPUnFSSHdveUsyS0t4cW81Ykw1NlZiQjJRYWRJT2NQb29tZER6THViRnlNS2fSAfsBQVVfeXFMUFl5bWEwZkFWV25PNUZ0ZVl4ME94Rnd5MklseS1wclV6TmdtbEh5UUw5SnhSYzh5THVvNFRLeUxLSzdub3NSVEVLU3g5ZF8wTHVQSHNSR0FlVVBrN3BWaHhjNFhjNDBYbVhGT0NOclluSDZIS2xkOWFYNXV0SHBibEhiSzFwY2NHWExkdlBndW5SVEZNYmNYVlFrQnFINHBZQUFjWlhvM1ItUFVQd0V0Qy1kSE41bHN6cnRQcG52emRyYWlaaG5MYnZvNGJKdFZPV2V1eW5CUmV2UDhQa0E1ZmRzSkdJNGloSVhFZFZ1UFZSTVdQZEg4czQxdlE?oc=5,2026-07-31 08:00:19,India Today,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZG5RbU1xUUV1YWtRbWZRanB1dU5pZWVzMVlqUFZ3d2xac25EbHJ4eTRWc2ZOUjlsd1ZDR0Qxc0lNNDdZRWVrRDdBQWdzcVZOYnVPRFlQWGMwQWdHX0w3dEVKVFZmeVVWTlg5SmU4cmVfVElNYTRiSko5MzlZVVdKUVlMQkt4cnBveFlZSi1uM3NHSm5TNWZVRDBKMjhMZVVGM3FlLUJvZEVzRE84SFNDVFZNcm9ndVd2eUxTd1lROHc1aUtSLUZmOGhPUnFSSHdveUsyS0t4cW81Ykw1NlZiQjJRYWRJT2NQb29tZER6THViRnlNS2fSAfsBQVVfeXFMUFl5bWEwZkFWV25PNUZ0ZVl4ME94Rnd5MklseS1wclV6TmdtbEh5UUw5SnhSYzh5THVvNFRLeUxLSzdub3NSVEVLU3g5ZF8wTHVQSHNSR0FlVVBrN3BWaHhjNFhjNDBYbVhGT0NOclluSDZIS2xkOWFYNXV0SHBibEhiSzFwY2NHWExkdlBndW5SVEZNYmNYVlFrQnFINHBZQUFjWlhvM1ItUFVQd0V0Qy1kSE41bHN6cnRQcG52emRyYWlaaG5MYnZvNGJKdFZPV2V1eW5CUmV2UDhQa0E1ZmRzSkdJNGloSVhFZFZ1UFZSTVdQZEg4czQxdlE?oc=5"" target=""_blank"">Seven weather systems now steer India's monsoon: Heavy rain, floods ahead</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Monsoon,en
"Assam flood toll reaches 80, over two lakh people affected - The Hindu",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPYWRqa2FOdUZ5VDRGaEc3SUZmTzBadWY3NWlVSm12Tmp4YmpJN1lvSFFmSDZ5V2p0dnpaamFzV0w1azRNTDVkWmxXQUp4V0V2anJhVkJXVmdhSGtGUkdBNmdPclVlSDRRa1pDa2VRemVKQzVjVmdXa1ZRT2c5c0UwTDI1ZmdjWnlyVzZqbUl2ZmQzZlhIdmQ1Znc1S01KN0xsUHBSNGZ0c3pHQzNTNFMtMEplWXBadVE2d3Aw?oc=5,2026-07-31 11:54:44,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPYWRqa2FOdUZ5VDRGaEc3SUZmTzBadWY3NWlVSm12Tmp4YmpJN1lvSFFmSDZ5V2p0dnpaamFzV0w1azRNTDVkWmxXQUp4V0V2anJhVkJXVmdhSGtGUkdBNmdPclVlSDRRa1pDa2VRemVKQzVjVmdXa1ZRT2c5c0UwTDI1ZmdjWnlyVzZqbUl2ZmQzZlhIdmQ1Znc1S01KN0xsUHBSNGZ0c3pHQzNTNFMtMEplWXBadVE2d3Aw?oc=5"" target=""_blank"">Assam flood toll reaches 80, over two lakh people affected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Monsoon,en
Forest cover loss in Nagaland intensified Upper Assam floods: River expert - The Assam Tribune,https://news.google.com/rss/articles/CBMinwFBVV95cUxNbUE2VkhJTkVHemlFc2pEUVpJSkVzZDRSTk14VXZtSjUwUmFvOW9IR3dCemx2elRJRDlrc2FXdTFUNmM1RWRmR0kxUjZEWk5NQ0ktTkNuUEExdTB1emtkTXNhUzk5SUFEejltTDNaNlJIYzhUQ1I4clF2MEt1TjBHZFhfT0pKTzdyLWJqLUYwaHU3WS1ZX2x3WGlObzBFblXSAaQBQVVfeXFMTXg5MWVHVzdfeTk5TUVtNDVxZlhwaVd1ZHlPendZRmJ4bHBDQWZfU1F2ZTQ3MjZnNE9fVzZfeEZ4R3hsTTdVT0hia1U5VWRLZVNnSnUxbERjRWo3QWVXdG93SjlESUdxUkFTN2thdFNQcGRUT1FDT2F6TWl0SVY3Zkk5eVM4MVViWkhObjRmWWJWY2dYSmFnSHJTQkVIUjAwZjk3MHc?oc=5,2026-07-31 08:53:38,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxNbUE2VkhJTkVHemlFc2pEUVpJSkVzZDRSTk14VXZtSjUwUmFvOW9IR3dCemx2elRJRDlrc2FXdTFUNmM1RWRmR0kxUjZEWk5NQ0ktTkNuUEExdTB1emtkTXNhUzk5SUFEejltTDNaNlJIYzhUQ1I4clF2MEt1TjBHZFhfT0pKTzdyLWJqLUYwaHU3WS1ZX2x3WGlObzBFblXSAaQBQVVfeXFMTXg5MWVHVzdfeTk5TUVtNDVxZlhwaVd1ZHlPendZRmJ4bHBDQWZfU1F2ZTQ3MjZnNE9fVzZfeEZ4R3hsTTdVT0hia1U5VWRLZVNnSnUxbERjRWo3QWVXdG93SjlESUdxUkFTN2thdFNQcGRUT1FDT2F6TWl0SVY3Zkk5eVM4MVViWkhObjRmWWJWY2dYSmFnSHJTQkVIUjAwZjk3MHc?oc=5"" target=""_blank"">Forest cover loss in Nagaland intensified Upper Assam floods: River expert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Monsoon,en
Assam flood toll rises to 80 as government announces loan relief for affected people - newindianexpress.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQLVF1YlN1UWRjVllIQ0NORXBQMWVubTREN3otci0yRDhOR1lPYWhNQm1HN2drVkdkaG5lRFRvTUUzMExSbWk1RFdTaXh0NENJLW1xYkJOdUhrOHllT2RnbVptX2RwTG93VkpiS2pkY1pycDlZNzRqbGlZbWdfZ0FhZ291QkJ4RTM0QlJBTmRRNXg5dHl0dW5hSWZaT2wzdXVxNE9VSklVbG5uZW9yMElGVW9qMjhubk5LSXJ4T0JjYktZbU5CbG9ySG0yLXhWWDFjakhRaFdtSFI1Z9IB5wFBVV95cUxQTG00eU5xVVc3ZXhKQS15akVQVlQ4dS1qZE9XTGxlc0ZTTGV5anhDUUVIOXRSRDJuVER3Vm1IaC01WFhvcXhIaF8tX1B6WjNyelJfZ1RnejVHaGhnWGt5WHk3dXpCblFVZGJOU1B5cXprZjhVT18yeEY2eVViVGVuNDRQaHFUUFVHMnlTeFBjdURMazBaR1ZlRk1hX1ZtMnZHazVDY25ranNuWHRScVpwS0xjTUE2WUpjT2VaUnFxODcyMEVTS29TNzQzYWtCSjE5MXhyXzZXRGFaM0s3S3gwZHZEdDdVdms?oc=5,2026-07-31 10:57:50,newindianexpress.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQLVF1YlN1UWRjVllIQ0NORXBQMWVubTREN3otci0yRDhOR1lPYWhNQm1HN2drVkdkaG5lRFRvTUUzMExSbWk1RFdTaXh0NENJLW1xYkJOdUhrOHllT2RnbVptX2RwTG93VkpiS2pkY1pycDlZNzRqbGlZbWdfZ0FhZ291QkJ4RTM0QlJBTmRRNXg5dHl0dW5hSWZaT2wzdXVxNE9VSklVbG5uZW9yMElGVW9qMjhubk5LSXJ4T0JjYktZbU5CbG9ySG0yLXhWWDFjakhRaFdtSFI1Z9IB5wFBVV95cUxQTG00eU5xVVc3ZXhKQS15akVQVlQ4dS1qZE9XTGxlc0ZTTGV5anhDUUVIOXRSRDJuVER3Vm1IaC01WFhvcXhIaF8tX1B6WjNyelJfZ1RnejVHaGhnWGt5WHk3dXpCblFVZGJOU1B5cXprZjhVT18yeEY2eVViVGVuNDRQaHFUUFVHMnlTeFBjdURMazBaR1ZlRk1hX1ZtMnZHazVDY25ranNuWHRScVpwS0xjTUE2WUpjT2VaUnFxODcyMEVTS29TNzQzYWtCSjE5MXhyXzZXRGFaM0s3S3gwZHZEdDdVdms?oc=5"" target=""_blank"">Assam flood toll rises to 80 as government announces loan relief for affected people</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newindianexpress.com</font>",Monsoon,en
"Assam flood toll reaches 80, over 2 lakh people affected - ThePrint",https://news.google.com/rss/articles/CBMimgFBVV95cUxQWEpiemhLdDVSNjE4VWkwWUYyREc4c1RxUlFOeVZKNDhDdEtHNEVNdEZITWVDaEpqMXgtRV95bjU0Wml0XzJsNlpPeXRzcHdvZ0syRkJuVWZrMC1yN0RCcGVoeUVJaDRmV1VyalRfemQ3cHdLUUFNOEVFeGh5bXVnTU55RWNYTlo4YkNwcXdvbmtqWG5qaENJd3VB0gGaAUFVX3lxTFBYSmJ6aEt0NVI2MThVaTBZRjJERzhzVHFSUU55Vko0OEN0S0c0RU10RkhNZUNoSmoxeC1FX3luNTRaaXRfMmw2Wk95dHNwd29nSzJGQm5VZmswLXI3REJwZWh5RUloNGZXVXJqVF96ZDdwd0tRQU04RUV4aHltdWdNTnlFY1hOWjhiQ3Bxd29ua2pYbmpoQ0l3dUE?oc=5,2026-07-31 10:16:22,ThePrint,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQWEpiemhLdDVSNjE4VWkwWUYyREc4c1RxUlFOeVZKNDhDdEtHNEVNdEZITWVDaEpqMXgtRV95bjU0Wml0XzJsNlpPeXRzcHdvZ0syRkJuVWZrMC1yN0RCcGVoeUVJaDRmV1VyalRfemQ3cHdLUUFNOEVFeGh5bXVnTU55RWNYTlo4YkNwcXdvbmtqWG5qaENJd3VB0gGaAUFVX3lxTFBYSmJ6aEt0NVI2MThVaTBZRjJERzhzVHFSUU55Vko0OEN0S0c0RU10RkhNZUNoSmoxeC1FX3luNTRaaXRfMmw2Wk95dHNwd29nSzJGQm5VZmswLXI3REJwZWh5RUloNGZXVXJqVF96ZDdwd0tRQU04RUV4aHltdWdNTnlFY1hOWjhiQ3Bxd29ua2pYbmpoQ0l3dUE?oc=5"" target=""_blank"">Assam flood toll reaches 80, over 2 lakh people affected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font>",Monsoon,en
Assam flood toll climbs to 80 as over 2.12 lakh remain affected - India Today NE,https://news.google.com/rss/articles/CBMivgFBVV95cUxQUDRmN3lPWVp0UzF4d1JwWk9WelN3ZFFyUlhpS3YwWUUyXzl0djlkYVF2X0RobUFrN2JlTWxDWngyM0V6UjJoQTkzMUVLdzBJOXdDMWdmOGpVaVFxM2txTWhiUkxMRWFBZkFQWGYtY1M2eHNnMDRUbGh3YjZJOGVja1BBVkR6b1VUUW9fcnFXc3h2MlNvTWdRR3FYWGloc3JYcnlJbDVmN0FVbl92OGhyS1NmUmdiT19rQ0VRNEdR0gHDAUFVX3lxTE85ekxWcF9NR3JIZWZPaFo5c082Qm1KYTBHd09jYjFNdVBUZlNFWFJFMzg0REc2UVZlVkhfZGpudmpkME43Rlp1VkIwYW85RHpEZUJlbWhWVVZNM1ZlOGxpOFdKd2JldFlMbDY5akJXR19NbkJpMGJ0WFNkNExMcDgyZzFiRTAzeHdNVGg4eVJ0MFN4TFVLYXBtWktfRTlYVnNpX3o5U2VWX3I0VFZHS1ZDT1E4aWkxdVUxMDE5UENFNVZWbw?oc=5,2026-07-31 11:05:03,India Today NE,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQUDRmN3lPWVp0UzF4d1JwWk9WelN3ZFFyUlhpS3YwWUUyXzl0djlkYVF2X0RobUFrN2JlTWxDWngyM0V6UjJoQTkzMUVLdzBJOXdDMWdmOGpVaVFxM2txTWhiUkxMRWFBZkFQWGYtY1M2eHNnMDRUbGh3YjZJOGVja1BBVkR6b1VUUW9fcnFXc3h2MlNvTWdRR3FYWGloc3JYcnlJbDVmN0FVbl92OGhyS1NmUmdiT19rQ0VRNEdR0gHDAUFVX3lxTE85ekxWcF9NR3JIZWZPaFo5c082Qm1KYTBHd09jYjFNdVBUZlNFWFJFMzg0REc2UVZlVkhfZGpudmpkME43Rlp1VkIwYW85RHpEZUJlbWhWVVZNM1ZlOGxpOFdKd2JldFlMbDY5akJXR19NbkJpMGJ0WFNkNExMcDgyZzFiRTAzeHdNVGg4eVJ0MFN4TFVLYXBtWktfRTlYVnNpX3o5U2VWX3I0VFZHS1ZDT1E4aWkxdVUxMDE5UENFNVZWbw?oc=5"" target=""_blank"">Assam flood toll climbs to 80 as over 2.12 lakh remain affected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today NE</font>",Monsoon,en
"উত্তরবঙ্গে অতি ভারী বৃষ্টির কমলা সতর্কতা, ধসের আশঙ্কা! মঙ্গলবার থেকে কলকাতাসহ দক্ষিণবঙ্গে বাড়বে বর্ষার দাপট - najarbandi.in",https://news.google.com/rss/articles/CBMilAFBVV95cUxQSFpqR3F5NlE0UHZPdGMtQnFULWlYcThNYlZZX2Y1bTBzaG1vY00wMmpSUm1lZGNOZGFDdkdMdzljSzZjYWFPUkc2aWFHcnlaUXBIT0FDMi1fOEFwak5YMkliNnZHQ0Vyc080cDF5eGNYbC1YVnl2LXFKLWFFMUdnN0EzMXAtdmh4NldqNFg5ZDJUazlo?oc=5,2026-07-31 12:53:32,najarbandi.in,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQSFpqR3F5NlE0UHZPdGMtQnFULWlYcThNYlZZX2Y1bTBzaG1vY00wMmpSUm1lZGNOZGFDdkdMdzljSzZjYWFPUkc2aWFHcnlaUXBIT0FDMi1fOEFwak5YMkliNnZHQ0Vyc080cDF5eGNYbC1YVnl2LXFKLWFFMUdnN0EzMXAtdmh4NldqNFg5ZDJUazlo?oc=5"" target=""_blank"">উত্তরবঙ্গে অতি ভারী বৃষ্টির কমলা সতর্কতা, ধসের আশঙ্কা! মঙ্গলবার থেকে কলকাতাসহ দক্ষিণবঙ্গে বাড়বে বর্ষার দাপট</a>&nbsp;&nbsp;<font color=""#6f6f6f"">najarbandi.in</font>",Monsoon,bn
"Weather Update Today: देशभर में सक्रिय हुआ मॉनसून, कई राज्यों में भारी बारिश का अलर्ट, IMD की बड़ी चेतावनी - Kheti Junction",https://news.google.com/rss/articles/CBMif0FVX3lxTE1raDRVUy1tVXhuUE91U19uMjlWdktwT0hmVjY3STM2R1N4Y3hfXzNBa2ptQWd1aFBoVkNNYmtfcGEwWWJjay1qcERBdUFncm02X3d1Ml90dlVVa3VlUDhJazFiOHJnVDIwaVVTUWZVSU5nQ3pteC1jYkJsQ2VPQmc?oc=5,2026-07-31 10:48:18,Kheti Junction,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE1raDRVUy1tVXhuUE91U19uMjlWdktwT0hmVjY3STM2R1N4Y3hfXzNBa2ptQWd1aFBoVkNNYmtfcGEwWWJjay1qcERBdUFncm02X3d1Ml90dlVVa3VlUDhJazFiOHJnVDIwaVVTUWZVSU5nQ3pteC1jYkJsQ2VPQmc?oc=5"" target=""_blank"">Weather Update Today: देशभर में सक्रिय हुआ मॉनसून, कई राज्यों में भारी बारिश का अलर्ट, IMD की बड़ी चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kheti Junction</font>",Monsoon,hi
"Aaj Ka Mausam: मॉनसून हुआ सक्रिय! गुजरात, महाराष्ट्र, बिहार समेत कई राज्यों में भारी बारिश की चेतावनी - Kisan Tak",https://news.google.com/rss/articles/CBMiywFBVV95cUxNbDI5VWlsaDNtX1BFdEFOZG9UMEIzQzk2N01FWk9rNXVMZVlfSC1OY0pOQ1RXSFdGbjQyT3Nhb09EN1ZnbFRwbm9WUENobWlEQmp4VDNFWnR4MXp1aVY1bHRRaFZ5OEV2cXRUWXdUSzNDSE1pR1RCYzhlNF85RU1aYmF6d0diT21qRERFemg2ZlBpUlhDMnFNekpnM0pPa1NmU0FZM0prWnB3QnZ3ZWl5a05tWmVhekxjZ2FldEE3aXBPc3pzNlptbmhPNNIB0AFBVV95cUxQQi1MX0dZZm9qakFSbzJRMDFmLWZzcnFGM0FGSzVmVlI3RWtoMWRzUkdJbXJHbXZFcmNTNl84S1VBMGpwUTBlMzRXd1RIeUx1bzQ5eDZXUDBFc1BPM2ZnQ3NvbERYWXdYVFVMWEZYQnduZUtTcmJNNURkOWdRM3dtUENLVUtfSElQXzVnQmQ4dnNKcTlmYmtIcHRuYTdNNW5BM19Vc0QzaU94YmlTclZ3bjlYeDJMQ2MxcFNORF8tRE1vaHFabWxnQkp3ME9hQkdQ?oc=5,2026-07-31 08:45:40,Kisan Tak,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNbDI5VWlsaDNtX1BFdEFOZG9UMEIzQzk2N01FWk9rNXVMZVlfSC1OY0pOQ1RXSFdGbjQyT3Nhb09EN1ZnbFRwbm9WUENobWlEQmp4VDNFWnR4MXp1aVY1bHRRaFZ5OEV2cXRUWXdUSzNDSE1pR1RCYzhlNF85RU1aYmF6d0diT21qRERFemg2ZlBpUlhDMnFNekpnM0pPa1NmU0FZM0prWnB3QnZ3ZWl5a05tWmVhekxjZ2FldEE3aXBPc3pzNlptbmhPNNIB0AFBVV95cUxQQi1MX0dZZm9qakFSbzJRMDFmLWZzcnFGM0FGSzVmVlI3RWtoMWRzUkdJbXJHbXZFcmNTNl84S1VBMGpwUTBlMzRXd1RIeUx1bzQ5eDZXUDBFc1BPM2ZnQ3NvbERYWXdYVFVMWEZYQnduZUtTcmJNNURkOWdRM3dtUENLVUtfSElQXzVnQmQ4dnNKcTlmYmtIcHRuYTdNNW5BM19Vc0QzaU94YmlTclZ3bjlYeDJMQ2MxcFNORF8tRE1vaHFabWxnQkp3ME9hQkdQ?oc=5"" target=""_blank"">Aaj Ka Mausam: मॉनसून हुआ सक्रिय! गुजरात, महाराष्ट्र, बिहार समेत कई राज्यों में भारी बारिश की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kisan Tak</font>",Monsoon,hi
