Title,Link,Date,Source,Summary,Term,LanguageQueried
ISRO provided 33 flood inundation maps to Assam this monsoon: Centre - The Assam Tribune,https://news.google.com/rss/articles/CBMiqgFBVV95cUxONmgxRm5UUHlQc1lOOFNGTFhQcVZYU0VZWUlFVmIxWlk1RW9rMWlaOE5GSGVNUTVUWWJZVlhSQVFsSngtTjJJcGZWcjRqTkVhSGpFOWxDa0VuQzhuUkdCeUlBbU11NUVqZXhBQ2VWb2JHYzh5SWJNcG42QlFSQzBaMWVreUMwRm5maDdUN1hGYjFiaVgtQThVaXpYdlBTcGJ6MkhVdjllNklCQdIBrwFBVV95cUxOYWdpTkxyNU11VWliYjlvZjBQYWs4ZW8xbm5Tc2RYX09NaWpUUlBNaUttZmNRT05XcTh0M2pEd1dhWVNkdlB3RGhWMlhPZlhJLXcyQWpFQ3BTam8wVndFMlhFaGVTT3BQVTdyaEUxRjBzcWVZQkk4RmdLcC04b1VLTHcxWElqOEc1aEhIb01scjBFc2JtWFlHazgwakpVcm9FMG03UldaeVIzNFR5Rm9V?oc=5,2026-08-06 09:45:10,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxONmgxRm5UUHlQc1lOOFNGTFhQcVZYU0VZWUlFVmIxWlk1RW9rMWlaOE5GSGVNUTVUWWJZVlhSQVFsSngtTjJJcGZWcjRqTkVhSGpFOWxDa0VuQzhuUkdCeUlBbU11NUVqZXhBQ2VWb2JHYzh5SWJNcG42QlFSQzBaMWVreUMwRm5maDdUN1hGYjFiaVgtQThVaXpYdlBTcGJ6MkhVdjllNklCQdIBrwFBVV95cUxOYWdpTkxyNU11VWliYjlvZjBQYWs4ZW8xbm5Tc2RYX09NaWpUUlBNaUttZmNRT05XcTh0M2pEd1dhWVNkdlB3RGhWMlhPZlhJLXcyQWpFQ3BTam8wVndFMlhFaGVTT3BQVTdyaEUxRjBzcWVZQkk4RmdLcC04b1VLTHcxWElqOEc1aEhIb01scjBFc2JtWFlHazgwakpVcm9FMG03UldaeVIzNFR5Rm9V?oc=5"" target=""_blank"">ISRO provided 33 flood inundation maps to Assam this monsoon: Centre</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Monsoon,en
Video | Delimitation Talks | Centre- Meta Row | Jharkhand Protest | Assam Floods | Monsoon session - NDTV,https://news.google.com/rss/articles/CBMitwFBVV95cUxNYlNWLWNnMU5CYmh4VUNqVWFwYmVkYjdZVl93S1RYdkN4TVJhanVYVnc4UnF0dGNkZk81enpaODJpQmZ1S1l6b2laMXJTN0pVR3F1S0p3bzZuZzhTWU1CWGMtRDRBMlRiOVRFTzk4MG5xVDJYS0JFWU9WTWlBQ2txSERGMWhUY0RxbDRhYVBKcDBDZTA5ZV95Z2owUW1IT0o0VU1sTzBvd2FvSy1sVmxiTXRDMUJUNms?oc=5,2026-08-06 06:39:32,NDTV,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNYlNWLWNnMU5CYmh4VUNqVWFwYmVkYjdZVl93S1RYdkN4TVJhanVYVnc4UnF0dGNkZk81enpaODJpQmZ1S1l6b2laMXJTN0pVR3F1S0p3bzZuZzhTWU1CWGMtRDRBMlRiOVRFTzk4MG5xVDJYS0JFWU9WTWlBQ2txSERGMWhUY0RxbDRhYVBKcDBDZTA5ZV95Z2owUW1IT0o0VU1sTzBvd2FvSy1sVmxiTXRDMUJUNms?oc=5"" target=""_blank"">Video | Delimitation Talks | Centre- Meta Row | Jharkhand Protest | Assam Floods | Monsoon session</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>",Monsoon,en
ISRO's Flood Maps Enhance Assam's Monsoon Preparedness - pragnews.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxPUW9YUmtHcTM1TG5JMTQ3TVJ6cU9hYnpfMi04UnFNZVZVd3pJbmNSckswMWEzNUtQUTh0YWFwVmRWMm1DdEdSY29ydlhPNWJmYTJwVlZEXzJlU1BaN2JERkl0T0N2TEF3TDEyWHdPYUxCRGxUVmhKOW94Wl94RjVCc3lVa2xiWlZVU1AxX0JZSVZaUGF5UVlEUGpSVVBLOFJ4N3c?oc=5,2026-08-06 12:54:59,pragnews.com,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPUW9YUmtHcTM1TG5JMTQ3TVJ6cU9hYnpfMi04UnFNZVZVd3pJbmNSckswMWEzNUtQUTh0YWFwVmRWMm1DdEdSY29ydlhPNWJmYTJwVlZEXzJlU1BaN2JERkl0T0N2TEF3TDEyWHdPYUxCRGxUVmhKOW94Wl94RjVCc3lVa2xiWlZVU1AxX0JZSVZaUGF5UVlEUGpSVVBLOFJ4N3c?oc=5"" target=""_blank"">ISRO's Flood Maps Enhance Assam's Monsoon Preparedness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pragnews.com</font>",Monsoon,en
Arunachal riders deliver essential supplies to flood-affected families in Assam - The Assam Tribune,https://news.google.com/rss/articles/CBMivgFBVV95cUxPamFxck44a3VOa2JuQnhmTWJDNlhUU0R5bG9Vdnc3UkM3WHdPZnE1eGJaTWFYYjRCdFRHdVJHUDhOMU5Hd3RuX050bEQzS3ZrRFhpZGY1QWN0b09heDRuSnlCLUQzVURLa3FBZGZDUXFyMmFHUW1BWXJpazZ5VmtnOFJIeUoteVRoOEllb3RPRUZuUDU3bXN4dzIyeG96akhEcTlxODZKZmotMGNxR3FsX1pYQmxlZW9DQ2tuMGV30gHDAUFVX3lxTE5SUE1KV3VvaHVadVZqM3E3dENGWEZPNjRKNGxieEtUdUxZRENwaEFVc19ZUEhidlRXWEJIcXVJbHFVU1RGLXZsendkd01aTWdJdTIwOXJ3YWk5ekt5US12QUxhRGZNV1BUb1VaYlMwWmk5Q2g5Z1Zkb2ZGWjVCOVNvaUNQUHJ0NTdVc2ZKSFEwc2VXdnVZanZqQ1NEZmQ2Z1FpaUhBNHRlS1lCZWJndEppNUpjNzdERUlMZUhkdGFoN05YUQ?oc=5,2026-08-06 10:15:46,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPamFxck44a3VOa2JuQnhmTWJDNlhUU0R5bG9Vdnc3UkM3WHdPZnE1eGJaTWFYYjRCdFRHdVJHUDhOMU5Hd3RuX050bEQzS3ZrRFhpZGY1QWN0b09heDRuSnlCLUQzVURLa3FBZGZDUXFyMmFHUW1BWXJpazZ5VmtnOFJIeUoteVRoOEllb3RPRUZuUDU3bXN4dzIyeG96akhEcTlxODZKZmotMGNxR3FsX1pYQmxlZW9DQ2tuMGV30gHDAUFVX3lxTE5SUE1KV3VvaHVadVZqM3E3dENGWEZPNjRKNGxieEtUdUxZRENwaEFVc19ZUEhidlRXWEJIcXVJbHFVU1RGLXZsendkd01aTWdJdTIwOXJ3YWk5ekt5US12QUxhRGZNV1BUb1VaYlMwWmk5Q2g5Z1Zkb2ZGWjVCOVNvaUNQUHJ0NTdVc2ZKSFEwc2VXdnVZanZqQ1NEZmQ2Z1FpaUhBNHRlS1lCZWJndEppNUpjNzdERUlMZUhkdGFoN05YUQ?oc=5"" target=""_blank"">Arunachal riders deliver essential supplies to flood-affected families in Assam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Monsoon,en
All Assam Naga Welfare Society Extends Vital Flood Relief in Assam - pragnews.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxNVExpTGdyUVpSNVF0T1E1SjhraTRyR3dEeXRrd2pVWlRxLWJRLUhOVlFPLXczaGxUQ0FjSG50WlBUWnU5UXdDQVZtdjJCVnZIaFRRYUliaVpjRGpDYkhEWkFHM3lITGZ5YWJabEZsNU5DYXhDdlVBS1g1OFA0SHZiVV84TnJUeWtzendfQUNjUHRPV0w1M2ZYdUF3?oc=5,2026-08-06 12:55:34,pragnews.com,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNVExpTGdyUVpSNVF0T1E1SjhraTRyR3dEeXRrd2pVWlRxLWJRLUhOVlFPLXczaGxUQ0FjSG50WlBUWnU5UXdDQVZtdjJCVnZIaFRRYUliaVpjRGpDYkhEWkFHM3lITGZ5YWJabEZsNU5DYXhDdlVBS1g1OFA0SHZiVV84TnJUeWtzendfQUNjUHRPV0w1M2ZYdUF3?oc=5"" target=""_blank"">All Assam Naga Welfare Society Extends Vital Flood Relief in Assam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pragnews.com</font>",Monsoon,en
Monsoon floods and landslides kill over 133 across India - sharjah24.ae,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5fd3VFcHFaQ1NnODB3OURwZTZ0ZGtHb3doSThWTE5paVplcjg1Q2Z4dklSTUpYdENxSmE5QWJnbkhyV1UtTElGRktWZ2xXcUJPRl9vbFVvNk8wT2c?oc=5,2026-08-06 01:36:32,sharjah24.ae,"<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE5fd3VFcHFaQ1NnODB3OURwZTZ0ZGtHb3doSThWTE5paVplcjg1Q2Z4dklSTUpYdENxSmE5QWJnbkhyV1UtTElGRktWZ2xXcUJPRl9vbFVvNk8wT2c?oc=5"" target=""_blank"">Monsoon floods and landslides kill over 133 across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">sharjah24.ae</font>",Monsoon,en
"India Monsoon Fury: UP Floods, Uttarakhand Landslides, Assam Flood Death Toll Rises - Dainik Jagran MP CG",https://news.google.com/rss/articles/CBMizAFBVV95cUxPTExTa1pQcEdpYjZGdDVMMjRnaVJ3TmNoRXA4UU13TllFSW14NDNQSzYzVFBDY0tGcUUwUjJScFRVU2tuY2JVdkZlMEZjdmhWaUZQYjVpWGFlMU5Da0xnVGtsR1c4VWl0UTNZZ0M4a1F0YXlQSDExUC1IY2dGNklzTWZuQ2w0ay1VSllkbHQ1RTEybE80eVc2QlRSZFQ5b0RNbUI0WVhiRjM5SkluSHBnbXNoVmVjeGNyWlYwMmo0eTQ3RkR4UXRfSTNqOFk?oc=5,2026-08-06 12:53:10,Dainik Jagran MP CG,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPTExTa1pQcEdpYjZGdDVMMjRnaVJ3TmNoRXA4UU13TllFSW14NDNQSzYzVFBDY0tGcUUwUjJScFRVU2tuY2JVdkZlMEZjdmhWaUZQYjVpWGFlMU5Da0xnVGtsR1c4VWl0UTNZZ0M4a1F0YXlQSDExUC1IY2dGNklzTWZuQ2w0ay1VSllkbHQ1RTEybE80eVc2QlRSZFQ5b0RNbUI0WVhiRjM5SkluSHBnbXNoVmVjeGNyWlYwMmo0eTQ3RkR4UXRfSTNqOFk?oc=5"" target=""_blank"">India Monsoon Fury: UP Floods, Uttarakhand Landslides, Assam Flood Death Toll Rises</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Jagran MP CG</font>",Monsoon,en
"India Weather Update: Heavy Rain Alert For Uttarakhand, Kerala, Assam, Odisha - ETV Bharat",https://news.google.com/rss/articles/CBMixwFBVV95cUxPaUJLSGlKdkxyWUVYNF9WMXdwLUJFNjhwRzdmS2d3eHN5NDNnQ19FbnBLZmxVbFNIaklKalRFZFRXZmNTTWVNdGRISkpMbEREVnhwc2dWX3dtWDVlWVRtVC05QkhuOEU4WDFONHJyR0ZBVWhKcFpiNVdsc0ZiMks0SEV4NktJZW9KRUpYRlJqQ19DQWxvUkktU094My0waEU0aklpMG02a0p1NjlXUXZhUUFCdXROa3o4OGxWVzRzZERFVzAyNThr0gHHAUFVX3lxTE9pQktIaUp2THJZRVg0X1Yxd3AtQkU2OHBHN2ZLZ3d4c3k0M2dDX0VucEtmbFVsU0hqSUpqVEVkVFdmY1NNZU10ZEhKSkxsRERWeHBzZ1Zfd21YNWVZVG1ULTlCSG44RThYMU40cnJHRkFVaEpwWmI1V2xzRmIySzRIRXg2S0llb0pFSlhGUmpDX0NBbG9SSS1TT3gzLTBoRTRqSWkwbTZrSnU2OVdRdmFRQUJ1dE5rejg4bFZXNHNkREVXMDI1OGs?oc=5,2026-08-06 11:46:08,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPaUJLSGlKdkxyWUVYNF9WMXdwLUJFNjhwRzdmS2d3eHN5NDNnQ19FbnBLZmxVbFNIaklKalRFZFRXZmNTTWVNdGRISkpMbEREVnhwc2dWX3dtWDVlWVRtVC05QkhuOEU4WDFONHJyR0ZBVWhKcFpiNVdsc0ZiMks0SEV4NktJZW9KRUpYRlJqQ19DQWxvUkktU094My0waEU0aklpMG02a0p1NjlXUXZhUUFCdXROa3o4OGxWVzRzZERFVzAyNThr0gHHAUFVX3lxTE9pQktIaUp2THJZRVg0X1Yxd3AtQkU2OHBHN2ZLZ3d4c3k0M2dDX0VucEtmbFVsU0hqSUpqVEVkVFdmY1NNZU10ZEhKSkxsRERWeHBzZ1Zfd21YNWVZVG1ULTlCSG44RThYMU40cnJHRkFVaEpwWmI1V2xzRmIySzRIRXg2S0llb0pFSlhGUmpDX0NBbG9SSS1TT3gzLTBoRTRqSWkwbTZrSnU2OVdRdmFRQUJ1dE5rejg4bFZXNHNkREVXMDI1OGs?oc=5"" target=""_blank"">India Weather Update: Heavy Rain Alert For Uttarakhand, Kerala, Assam, Odisha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Monsoon,en
IFCSAP hands over ₹2.05 lakh flood relief to Papum Pare - arunachalobserver.org,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNOXNNY3hjbTFGelNaejJKZmpxU0J4STBqUmlfd1J1NHRUMmt2M243MzFEdnRxN2x2RUVnbk1QTHpxd0cyeF96VWNabTJsRmtYcDAyN1BPSGx3Q0RQRFl5bU8xTHItSXNWengyWTlUaE5wbTBrZzBWb29UTTV6ZXI3ZjZGUV9fVnFONVgxM3NWNDgyNE9DbTB3TUpKY19aUzUwYVZFN2FGUkM?oc=5,2026-08-06 01:13:02,arunachalobserver.org,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNOXNNY3hjbTFGelNaejJKZmpxU0J4STBqUmlfd1J1NHRUMmt2M243MzFEdnRxN2x2RUVnbk1QTHpxd0cyeF96VWNabTJsRmtYcDAyN1BPSGx3Q0RQRFl5bU8xTHItSXNWengyWTlUaE5wbTBrZzBWb29UTTV6ZXI3ZjZGUV9fVnFONVgxM3NWNDgyNE9DbTB3TUpKY19aUzUwYVZFN2FGUkM?oc=5"" target=""_blank"">IFCSAP hands over ₹2.05 lakh flood relief to Papum Pare</a>&nbsp;&nbsp;<font color=""#6f6f6f"">arunachalobserver.org</font>",Monsoon,en
Assam CM meets family of boy who died saving puppy from flood water - The Hindu,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPcTY3cTdiLVJOcm84QS14aVRrQXVwOHgtMEFGZXJQS3p0WHlZTHhDYldmdlBRUWh5UHhqVDBGeVZJNV9obFVDa3BoOENLZC1IYkRVU0s4ZzRhZVd5Z1FXdzJtZmhodWZTRXdlcnRNcDdDbjdRSzVFOTZJcmREZmJvQ3dzTTYyV19yYlItM2RRT05Lam5nMklfQTFnMlF0YXpFdmlRc0l5WjNleFEwSzh2Y2Rwa2tQcHdob3JzOTNVdHI0RlpUQWtGYnJYTF9jMTJYUUY00gHTAUFVX3lxTE9xNjdxN2ItUk5ybzhBLXhpVGtBdXA4eC0wQUZlclBLenRYeVlMeENiV2Z2UFFRaHlQeGpUMEZ5Vkk1X2hsVUNrcGg4Q0tkLUhiRFVTSzhnNGFlV3lnUVd3Mm1maGh1ZlNFd2VydE1wN0NuN1FLNUU5NklyZERmYm9Dd3NNNjJXX3JiUi0zZFFPTktqbmcySV9BMWcyUXRhekV2aVFzSXlaM2V4UTBLOHZjZHBra1Bwd2hvcnM5M1V0cjRGWlRBa0ZiclhMX2MxMlhRRjQ?oc=5,2026-08-06 00:39:07,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPcTY3cTdiLVJOcm84QS14aVRrQXVwOHgtMEFGZXJQS3p0WHlZTHhDYldmdlBRUWh5UHhqVDBGeVZJNV9obFVDa3BoOENLZC1IYkRVU0s4ZzRhZVd5Z1FXdzJtZmhodWZTRXdlcnRNcDdDbjdRSzVFOTZJcmREZmJvQ3dzTTYyV19yYlItM2RRT05Lam5nMklfQTFnMlF0YXpFdmlRc0l5WjNleFEwSzh2Y2Rwa2tQcHdob3JzOTNVdHI0RlpUQWtGYnJYTF9jMTJYUUY00gHTAUFVX3lxTE9xNjdxN2ItUk5ybzhBLXhpVGtBdXA4eC0wQUZlclBLenRYeVlMeENiV2Z2UFFRaHlQeGpUMEZ5Vkk1X2hsVUNrcGg4Q0tkLUhiRFVTSzhnNGFlV3lnUVd3Mm1maGh1ZlNFd2VydE1wN0NuN1FLNUU5NklyZERmYm9Dd3NNNjJXX3JiUi0zZFFPTktqbmcySV9BMWcyUXRhekV2aVFzSXlaM2V4UTBLOHZjZHBra1Bwd2hvcnM5M1V0cjRGWlRBa0ZiclhMX2MxMlhRRjQ?oc=5"" target=""_blank"">Assam CM meets family of boy who died saving puppy from flood water</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Monsoon,en
