Title,Link,Date,Source,Summary,Term,LanguageQueried
Monsoon havoc: Mumbai-Goa Highway hit by hours-long jams after flooding in Raigad - The Times of India,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOOU42S1lNVU5MSU1jSUpnQUFpU0ZIT25vZkVvV2tiUnNZNGZjV1ZSa1VLZzZpdk5zdWl4NEtqQl9JNkpaS2xJaUowaGRERVBCTjEtWFZtS3BzbkR6OWZYVFdsY3o1SDQ0b3FnX1g3UkFBZ3RkZ21HdndaY3YwR0h1YmI5VGxXWndyYldpdnlfVkZGMmhIeG4tWXNIeW1BTExXMGd4WmRvLXc2aVltTlZYQzM5ME9KODRUNFRJQmxYaU1FbFJDeDh2RzlPeEJTZl9hc3lLY0ZxVlg5Y2hrQjFfX3dFemhtQ0tBR3fSAe8BQVVfeXFMT2tEeTBwZFNIYXJLOURkNVJlUVltUWRJZTFVdUFELUdHZlB0dENBNFJEUnJOUDdhZlFxLTVSMzJUakVfbDZYVzh4eVk4OVM5NEhDSUpPdDNhZ2t2N0FEb0JTdmk1SlFHUkpaaTE2Slh6Y180Z0V2OG1vRkxXWUVWckUyUjNoelZFN0NOeUI0Rk5tNWxHLWltR1l6dUxOMEdtNkdULWlYVXdId3BEa2NOa0N3SGxGbXZjY09QQ1JkNmVHcVgwMDFwVzlabmdsOWltMEdVNUtjc3B0NUlzZ3doLVpDUnJsSUdEeGw2SWNuMWM?oc=5,2026-07-06 10:38:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOOU42S1lNVU5MSU1jSUpnQUFpU0ZIT25vZkVvV2tiUnNZNGZjV1ZSa1VLZzZpdk5zdWl4NEtqQl9JNkpaS2xJaUowaGRERVBCTjEtWFZtS3BzbkR6OWZYVFdsY3o1SDQ0b3FnX1g3UkFBZ3RkZ21HdndaY3YwR0h1YmI5VGxXWndyYldpdnlfVkZGMmhIeG4tWXNIeW1BTExXMGd4WmRvLXc2aVltTlZYQzM5ME9KODRUNFRJQmxYaU1FbFJDeDh2RzlPeEJTZl9hc3lLY0ZxVlg5Y2hrQjFfX3dFemhtQ0tBR3fSAe8BQVVfeXFMT2tEeTBwZFNIYXJLOURkNVJlUVltUWRJZTFVdUFELUdHZlB0dENBNFJEUnJOUDdhZlFxLTVSMzJUakVfbDZYVzh4eVk4OVM5NEhDSUpPdDNhZ2t2N0FEb0JTdmk1SlFHUkpaaTE2Slh6Y180Z0V2OG1vRkxXWUVWckUyUjNoelZFN0NOeUI0Rk5tNWxHLWltR1l6dUxOMEdtNkdULWlYVXdId3BEa2NOa0N3SGxGbXZjY09QQ1JkNmVHcVgwMDFwVzlabmdsOWltMEdVNUtjc3B0NUlzZ3doLVpDUnJsSUdEeGw2SWNuMWM?oc=5"" target=""_blank"">Monsoon havoc: Mumbai-Goa Highway hit by hours-long jams after flooding in Raigad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
Weak June monsoon leaves Goa dams far from capacity - The Times of India,https://news.google.com/rss/articles/CBMivwFBVV95cUxNUW9HVllLeDVUSHFObWhSYVRMaUpEeWhwUkN5eE5MYV9reTQ2X2Y4SEVEMi1mdWtxUGxHWlZZVk9RR1J1elIydTZyenpWS2pEc2VrSmpXYnhzR3BSZC05aWtqX3F0cEZRV2NpWnRvVDhfR3JSOGQtMmk5NGZwZ05QRnFWb3BOWEhncDB4V1Znal90RFo1THotb3QtNWQ0MU9aQ1o2ZW0yS0NSc29YSUREbzdONVhYc1gzTzRDYU1Pd9IBxAFBVV95cUxON3RCUUk5REdVcjc5NHJPTVFfeHQ5b3Nwd09hd0dhazBWUTFjSmRGV21EVmRMdG1pX2lTbmVmS0RsLUVXNUw1M3RPc0NjSjZaUXBKcUJUQ3pycDBUd3RuSnZ2dW0zdFZJRkVRblhfRi1MN3VXY2U2VDl1dVpabTZRcmMyMGo5bEVUQ3lNejcxTUdRdXJrYVNTSHVRN0hZQkF2Wmd2bGVoYlUwb3ZLZnN1aDcwNW5YcjU5UVhrV0VwTnEzaHNZ?oc=5,2026-07-06 00:55:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNUW9HVllLeDVUSHFObWhSYVRMaUpEeWhwUkN5eE5MYV9reTQ2X2Y4SEVEMi1mdWtxUGxHWlZZVk9RR1J1elIydTZyenpWS2pEc2VrSmpXYnhzR3BSZC05aWtqX3F0cEZRV2NpWnRvVDhfR3JSOGQtMmk5NGZwZ05QRnFWb3BOWEhncDB4V1Znal90RFo1THotb3QtNWQ0MU9aQ1o2ZW0yS0NSc29YSUREbzdONVhYc1gzTzRDYU1Pd9IBxAFBVV95cUxON3RCUUk5REdVcjc5NHJPTVFfeHQ5b3Nwd09hd0dhazBWUTFjSmRGV21EVmRMdG1pX2lTbmVmS0RsLUVXNUw1M3RPc0NjSjZaUXBKcUJUQ3pycDBUd3RuSnZ2dW0zdFZJRkVRblhfRi1MN3VXY2U2VDl1dVpabTZRcmMyMGo5bEVUQ3lNejcxTUdRdXJrYVNTSHVRN0hZQkF2Wmd2bGVoYlUwb3ZLZnN1aDcwNW5YcjU5UVhrV0VwTnEzaHNZ?oc=5"" target=""_blank"">Weak June monsoon leaves Goa dams far from capacity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"Vehicles stranded, train tracks flooded: Mumbai reels under monsoon fury - India Today",https://news.google.com/rss/articles/CBMi0AFBVV95cUxNbk5tZTd3SGg2VjBrbkMtSFpVTWZxMzgzbUp5RGFFbDgyTU9sckVBaVZXaVF0emotZGdwSzNiZEhOUFRjc21NX1FxRnptWUVOemF5OVBjME9Wdkg1M0pMNUhWMUFZeFJLTkFUQWN3eXZJbW5ubGhickZoV29aVzUyczV4MVRqcURWSUZMLTEtblYzY3I1UHl5V0hWUktGUlI5ck9mV0lJWkhsRzlGeWpNeS1kdzJKVkc2dGcxbDI5NkJmVVFzTXA0c2JpR291TG540gHQAUFVX3lxTE1uTm1lN3dIaDZWMGtuQy1IWlVNZnEzODNtSnlEYUVsODJNT2xyRUFpVldpUXR6ai1kZ3BLM2JkSE5QVGNzbU1fUXFGem1ZRU56YXk5UGMwT1Z2SDUzSkw1SFYxQVl4UktOQVRBY3d5dkltbm5saGJyRmhXb1pXNTJzNXgxVGpxRFZJRkwtMS1uVjNjcjVQeXlXSFZSS0ZSUjlyT2ZXSUlaSGxHOUZ5ak15LWR3MkpWRzZ0ZzFsMjk2QmZVUXNNcDRzYmlHb3VMbng?oc=5,2026-07-06 11:09:06,India Today,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNbk5tZTd3SGg2VjBrbkMtSFpVTWZxMzgzbUp5RGFFbDgyTU9sckVBaVZXaVF0emotZGdwSzNiZEhOUFRjc21NX1FxRnptWUVOemF5OVBjME9Wdkg1M0pMNUhWMUFZeFJLTkFUQWN3eXZJbW5ubGhickZoV29aVzUyczV4MVRqcURWSUZMLTEtblYzY3I1UHl5V0hWUktGUlI5ck9mV0lJWkhsRzlGeWpNeS1kdzJKVkc2dGcxbDI5NkJmVVFzTXA0c2JpR291TG540gHQAUFVX3lxTE1uTm1lN3dIaDZWMGtuQy1IWlVNZnEzODNtSnlEYUVsODJNT2xyRUFpVldpUXR6ai1kZ3BLM2JkSE5QVGNzbU1fUXFGem1ZRU56YXk5UGMwT1Z2SDUzSkw1SFYxQVl4UktOQVRBY3d5dkltbm5saGJyRmhXb1pXNTJzNXgxVGpxRFZJRkwtMS1uVjNjcjVQeXlXSFZSS0ZSUjlyT2ZXSUlaSGxHOUZ5ak15LWR3MkpWRzZ0ZzFsMjk2QmZVUXNNcDRzYmlHb3VMbng?oc=5"" target=""_blank"">Vehicles stranded, train tracks flooded: Mumbai reels under monsoon fury</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Monsoon,en
"Heavy rainfall floods Mumbai-Goa highway, traffic disrupted due to waterlogging - Deccan Herald",https://news.google.com/rss/articles/CBMizgFBVV95cUxNVTh6QTkyZTlLTGJwc09NcEk4QlQ0NElpTEd3R3pzZERvV1hiU2JWN3Q1elVXa3RCaTRpWE84RnhLZ2d1MHlSZ2Q4NzJYc3k2emdueUpmSjBqQ2JxWmJZenlxd1l6cW9LQUtvUFF3Vll4NUlNSkdVdXRJUTBhcGl6T3ExcjluWDBpUVFpVXZWdW1YYUdFd3lYY1Q1MlpTcndQTDRLVFFJZzB1djNDMDl6blE4WnV4RjJHZmQ0ajdLbVBvSDBJSXdLbl9WMGc5UQ?oc=5,2026-07-06 11:48:27,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNVTh6QTkyZTlLTGJwc09NcEk4QlQ0NElpTEd3R3pzZERvV1hiU2JWN3Q1elVXa3RCaTRpWE84RnhLZ2d1MHlSZ2Q4NzJYc3k2emdueUpmSjBqQ2JxWmJZenlxd1l6cW9LQUtvUFF3Vll4NUlNSkdVdXRJUTBhcGl6T3ExcjluWDBpUVFpVXZWdW1YYUdFd3lYY1Q1MlpTcndQTDRLVFFJZzB1djNDMDl6blE4WnV4RjJHZmQ0ajdLbVBvSDBJSXdLbl9WMGc5UQ?oc=5"" target=""_blank"">Heavy rainfall floods Mumbai-Goa highway, traffic disrupted due to waterlogging</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",Monsoon,en
"Weather tomorrow: IMD warns of heavy rain, thunderstorms across several states; monsoon set to advance fu - The Times of India",https://news.google.com/rss/articles/CBMijAJBVV95cUxOWnNsYWJLZGNoYVFOS0Z0V3pJT09hZVNOVGlpN2pxZWdiZktzY2NZNDBsR2UtOFc3RWtDZmo4ZGJJaXYtN0NHQWpJNkttN0ZHVkVsaVVFdDVBbVJwa1hjTVJweWFvSm9jR3hsNV9tcGNIajQxWktpNGJTVVM0N1JUME1Mc2xXZVZJaHN0cUlQMUhUOEQwNGxJeldwLTgtbmlrUFQ2R2ZfeE5Zb2p3U2FJajZxSzBCYTJuYUFMdjNOSWhZQzhIQU9tdVFQTGtOT2txeW10dmJiTmZhTTZoVE5IcVctMWpzUXFwR3hFb3M2RS1TV0tYU3VDclRsSFpKMms2NUtvYlZhNV9Yay1s0gGSAkFVX3lxTE5KMjgyVER2Z1laWDhmTlgyZS12ck5uam1TNGxNMjdpalBKSUduNTN2VGdYUVBhcExmQzgxUWZ2QXFWN3E1MF9UOUIzRENVbk9ualgtQkUtaU5zT1pYQ0lrTUJmMlpUb0ZVdU5FWVlnMDZya2FtanpEYmFpQWt6QWNHNFZrTVRoQ3h1cFpuWVhqbklQeFBMRGJFbUpGSzRwZkZHOHh0bV9uYWExRkwtZWNRRFFEUlRxTlNQaDRGcUxWd09UR1gtNmdrU3RlN291ZTlDWW9DejU5clhfOWlZQWhKTDZaTGdjSC1raFJ6cGpzN096dWRCZE04bHA5TjFLaDA3OE45b0Y3WklfNXZvZ2VsM3c?oc=5,2026-07-06 11:45:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMijAJBVV95cUxOWnNsYWJLZGNoYVFOS0Z0V3pJT09hZVNOVGlpN2pxZWdiZktzY2NZNDBsR2UtOFc3RWtDZmo4ZGJJaXYtN0NHQWpJNkttN0ZHVkVsaVVFdDVBbVJwa1hjTVJweWFvSm9jR3hsNV9tcGNIajQxWktpNGJTVVM0N1JUME1Mc2xXZVZJaHN0cUlQMUhUOEQwNGxJeldwLTgtbmlrUFQ2R2ZfeE5Zb2p3U2FJajZxSzBCYTJuYUFMdjNOSWhZQzhIQU9tdVFQTGtOT2txeW10dmJiTmZhTTZoVE5IcVctMWpzUXFwR3hFb3M2RS1TV0tYU3VDclRsSFpKMms2NUtvYlZhNV9Yay1s0gGSAkFVX3lxTE5KMjgyVER2Z1laWDhmTlgyZS12ck5uam1TNGxNMjdpalBKSUduNTN2VGdYUVBhcExmQzgxUWZ2QXFWN3E1MF9UOUIzRENVbk9ualgtQkUtaU5zT1pYQ0lrTUJmMlpUb0ZVdU5FWVlnMDZya2FtanpEYmFpQWt6QWNHNFZrTVRoQ3h1cFpuWVhqbklQeFBMRGJFbUpGSzRwZkZHOHh0bV9uYWExRkwtZWNRRFFEUlRxTlNQaDRGcUxWd09UR1gtNmdrU3RlN291ZTlDWW9DejU5clhfOWlZQWhKTDZaTGdjSC1raFJ6cGpzN096dWRCZE04bHA5TjFLaDA3OE45b0Y3WklfNXZvZ2VsM3c?oc=5"" target=""_blank"">Weather tomorrow: IMD warns of heavy rain, thunderstorms across several states; monsoon set to advance fu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
Thousands stranded as Mumbai-Goa highway flooded due to heavy rains - Rediff,https://news.google.com/rss/articles/CBMitgFBVV95cUxNYmpxUGMwRGZ0eVZUNlhvdHQtN0tUR3E2ekY0enB5cW1yTEJHc1Z0bWlSSDF6czZTLVY2cWpoVHpJb2Y2MDBkekNoVnlfREotZkRtMm1iM0drREpkY3VCc1VNeHQwWXZReTZDX2F1SEZyUmIxSkJSTjZTNmNENm9iWUkwNjBBeUwtTGxmQm5Zb05MOTlBSk5yaVdPYkRpeXBhdVlCWUJQWEpQUERsdHdmQ1BieV9YZ9IBuAFBVV95cUxNaXBHYnc1cm9rVkp1ckZMNmVNNDRVZjJIR2xUZGw4eF9iMk5hZUk5UDFsdUdZX1dqRHNoWENjRnBnUS1zMTdJY1N3b3F2cGZiUy1KVEpEOG9Cc1pab0pzNUVhbFgtS0tJNVV1Z29WdUJ1b3ZidUQ4Vm1UNUZZZXZ6ZWQzbFhJTVNEekFfbzZaSnBzNzBVUGV6aXo3MUs5dWFuNFlOVWhxb24tLXpkOExwUzR0V2l1b2Vs?oc=5,2026-07-06 12:55:09,Rediff,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNYmpxUGMwRGZ0eVZUNlhvdHQtN0tUR3E2ekY0enB5cW1yTEJHc1Z0bWlSSDF6czZTLVY2cWpoVHpJb2Y2MDBkekNoVnlfREotZkRtMm1iM0drREpkY3VCc1VNeHQwWXZReTZDX2F1SEZyUmIxSkJSTjZTNmNENm9iWUkwNjBBeUwtTGxmQm5Zb05MOTlBSk5yaVdPYkRpeXBhdVlCWUJQWEpQUERsdHdmQ1BieV9YZ9IBuAFBVV95cUxNaXBHYnc1cm9rVkp1ckZMNmVNNDRVZjJIR2xUZGw4eF9iMk5hZUk5UDFsdUdZX1dqRHNoWENjRnBnUS1zMTdJY1N3b3F2cGZiUy1KVEpEOG9Cc1pab0pzNUVhbFgtS0tJNVV1Z29WdUJ1b3ZidUQ4Vm1UNUZZZXZ6ZWQzbFhJTVNEekFfbzZaSnBzNzBVUGV6aXo3MUs5dWFuNFlOVWhxb24tLXpkOExwUzR0V2l1b2Vs?oc=5"" target=""_blank"">Thousands stranded as Mumbai-Goa highway flooded due to heavy rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rediff</font>",Monsoon,en
Weak June monsoon leaves Goa dams far from capacity - The Times of India,https://news.google.com/rss/articles/CBMixAFBVV95cUxON3RCUUk5REdVcjc5NHJPTVFfeHQ5b3Nwd09hd0dhazBWUTFjSmRGV21EVmRMdG1pX2lTbmVmS0RsLUVXNUw1M3RPc0NjSjZaUXBKcUJUQ3pycDBUd3RuSnZ2dW0zdFZJRkVRblhfRi1MN3VXY2U2VDl1dVpabTZRcmMyMGo5bEVUQ3lNejcxTUdRdXJrYVNTSHVRN0hZQkF2Wmd2bGVoYlUwb3ZLZnN1aDcwNW5YcjU5UVhrV0VwTnEzaHNZ0gHEAUFVX3lxTE43dEJRSTlER1VyNzk0ck9NUV94dDlvc3B3T2F3R2FrMFZRMWNKZEZXbURWZEx0bWlfaVNuZWZLRGwtRVc1TDUzdE9zQ2NKNlpRcEpxQlRDenJwMFR3dG5KdnZ1bTN0VklGRVFuWF9GLUw3dVdjZTZUOXV1WlptNlFyYzIwajlsRVRDeU16NzFNR1F1cmthU1NIdVE3SFlCQXZaZ3ZsZWhiVTBvdktmc3VoNzA1blhyNTlRWGtXRXBOcTNoc1k?oc=5,2026-07-06 00:55:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxON3RCUUk5REdVcjc5NHJPTVFfeHQ5b3Nwd09hd0dhazBWUTFjSmRGV21EVmRMdG1pX2lTbmVmS0RsLUVXNUw1M3RPc0NjSjZaUXBKcUJUQ3pycDBUd3RuSnZ2dW0zdFZJRkVRblhfRi1MN3VXY2U2VDl1dVpabTZRcmMyMGo5bEVUQ3lNejcxTUdRdXJrYVNTSHVRN0hZQkF2Wmd2bGVoYlUwb3ZLZnN1aDcwNW5YcjU5UVhrV0VwTnEzaHNZ0gHEAUFVX3lxTE43dEJRSTlER1VyNzk0ck9NUV94dDlvc3B3T2F3R2FrMFZRMWNKZEZXbURWZEx0bWlfaVNuZWZLRGwtRVc1TDUzdE9zQ2NKNlpRcEpxQlRDenJwMFR3dG5KdnZ1bTN0VklGRVFuWF9GLUw3dVdjZTZUOXV1WlptNlFyYzIwajlsRVRDeU16NzFNR1F1cmthU1NIdVE3SFlCQXZaZ3ZsZWhiVTBvdktmc3VoNzA1blhyNTlRWGtXRXBOcTNoc1k?oc=5"" target=""_blank"">Weak June monsoon leaves Goa dams far from capacity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
Heavy rains flood Mumbai-Goa highway; traffic disrupted for hours in Raigad - Mid-day,https://news.google.com/rss/articles/CBMizwFBVV95cUxQQUJidHhIYTNQa3ExRTM4elYyNjE2aEZXUUxDd2lQN1ZKRXljVXljVG4xU0xnUlhlS1RqcWN1dk5EUTNLQXhtRGtNN21xM1JzMEZseVBuSjFNRGg1NjZ0UWlZTnBiZDIxSW9tSEpOcVNjYW9Rc2pDdnM2TkZaSnpWMFp4clM3M1dBVU5KN3lSZEE0aWtHdm9XVUZPWTdXQnNfbzhNNVdaLWplMkFWSHo1by1nUXFLZFdJYk5uUl93MTNRdk1FdjBmT2R3VEI2NDTSAdQBQVVfeXFMTjVDbVlxUHJONlo4XzVyRG81NGhtQzZzN0JHSGVpU0k5Vm43QXo4aXVrZjZ1VmtWNGlXQVNqVndIZURlSENUOTNBX2FWNXEtalZwWG10ZmJCQ3c5c1BkWmZIaDNBOHlwcm03UkhyZEhBU29vdHNhOGZGQVJpNVNodG5NSDhtTFVVX012S2ZCWmNreWI5ZUEwZGtYMjF5c3Yza3MxcC1HNkZYdW5PNk1rOWxpOEZVeDhEMnVfc0JFUHBmakxQUTdUVEx6YkxMX0tJaVdWcHA?oc=5,2026-07-06 14:02:00,Mid-day,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQQUJidHhIYTNQa3ExRTM4elYyNjE2aEZXUUxDd2lQN1ZKRXljVXljVG4xU0xnUlhlS1RqcWN1dk5EUTNLQXhtRGtNN21xM1JzMEZseVBuSjFNRGg1NjZ0UWlZTnBiZDIxSW9tSEpOcVNjYW9Rc2pDdnM2TkZaSnpWMFp4clM3M1dBVU5KN3lSZEE0aWtHdm9XVUZPWTdXQnNfbzhNNVdaLWplMkFWSHo1by1nUXFLZFdJYk5uUl93MTNRdk1FdjBmT2R3VEI2NDTSAdQBQVVfeXFMTjVDbVlxUHJONlo4XzVyRG81NGhtQzZzN0JHSGVpU0k5Vm43QXo4aXVrZjZ1VmtWNGlXQVNqVndIZURlSENUOTNBX2FWNXEtalZwWG10ZmJCQ3c5c1BkWmZIaDNBOHlwcm03UkhyZEhBU29vdHNhOGZGQVJpNVNodG5NSDhtTFVVX012S2ZCWmNreWI5ZUEwZGtYMjF5c3Yza3MxcC1HNkZYdW5PNk1rOWxpOEZVeDhEMnVfc0JFUHBmakxQUTdUVEx6YkxMX0tJaVdWcHA?oc=5"" target=""_blank"">Heavy rains flood Mumbai-Goa highway; traffic disrupted for hours in Raigad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mid-day</font>",Monsoon,en
Traffic Alert: Mumbai-Goa Highway Closed After Landslide at Kashedi Ghat in Raigad - lokmattimes.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxQbmcwWmR0OE9GLS1wOEtFR1ZVb2NmQU1lc3JzZXBMeDRwdjROdkNjMk1YMjF0ZFdOWDJLRWJGVmZOQWJ1TGFOckRPQnRwWERjRVhmOVk5MDZlak5EQUc5NG1vTzhtZkJXeHVJY043cWE0TkEyRVJHM25Dem5WcWNQcF9jMUI4Uk44YW9yVFh3dTF6dUMwNUdQYWhrdHNLMkNOemZzVUlEdHJaOTNCZmIwV3k4R3g4S21TSV9ZRkNJb3huNFlzc2fSAcsBQVVfeXFMTWpDamlmZ0toTm1aLVNFQ0hIdlZCa0dieGdPV3RuNmd4LU1Mb1NpRTRQUjhMRVRzUnl3bTloY185aXV0cGpPcFFTTG90RzNqZ2hKOHJ1dTJUUWlDaGJuZ2QzeVUxZnpkN3l1SEFQdERhWDQzVkp0QjloM2Z3SUplNnA5UzdueDBaZzJHY0VUaUFSZXdMRFRZS2NUMGNkTnVIb1k2bVZDQW5CcDhLYUFBY19aeUt0RHgtRnplejFENENGb0tzdjIwb1NDSVk?oc=5,2026-07-06 12:28:46,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQbmcwWmR0OE9GLS1wOEtFR1ZVb2NmQU1lc3JzZXBMeDRwdjROdkNjMk1YMjF0ZFdOWDJLRWJGVmZOQWJ1TGFOckRPQnRwWERjRVhmOVk5MDZlak5EQUc5NG1vTzhtZkJXeHVJY043cWE0TkEyRVJHM25Dem5WcWNQcF9jMUI4Uk44YW9yVFh3dTF6dUMwNUdQYWhrdHNLMkNOemZzVUlEdHJaOTNCZmIwV3k4R3g4S21TSV9ZRkNJb3huNFlzc2fSAcsBQVVfeXFMTWpDamlmZ0toTm1aLVNFQ0hIdlZCa0dieGdPV3RuNmd4LU1Mb1NpRTRQUjhMRVRzUnl3bTloY185aXV0cGpPcFFTTG90RzNqZ2hKOHJ1dTJUUWlDaGJuZ2QzeVUxZnpkN3l1SEFQdERhWDQzVkp0QjloM2Z3SUplNnA5UzdueDBaZzJHY0VUaUFSZXdMRFRZS2NUMGNkTnVIb1k2bVZDQW5CcDhLYUFBY19aeUt0RHgtRnplejFENENGb0tzdjIwb1NDSVk?oc=5"" target=""_blank"">Traffic Alert: Mumbai-Goa Highway Closed After Landslide at Kashedi Ghat in Raigad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Monsoon,en
Heavy rains flood Mumbai-Goa highway; traffic disrupted - ThePrint,https://news.google.com/rss/articles/CBMikwFBVV95cUxNSFlMckxzOHk5aGVVWGViU0FSVHgtVUZ6RDY4ZTg0SWQ0OEhtbkdKUTVBT0o4TnBoMEsxcXRwZ185OWFjZkRGU3V2cG5XejE3bGlyaGQyNVBJTUdfRVZWSExtdG41YkdnQzBVTm1BNDdYLTYtWXpxdWw3a0RfZFR1N2R5Wm5QSGI0WG1QaWNDaW9GaHfSAZgBQVVfeXFMUHRzdWFpbmdSQ29ob1l0QUdaZ3N2THRLUEtZUnpsMlZnejR5N0wzUUFyUVN1aHZIMldaZEZvVFNTaVZvdnNNSEZlTWZIR3ltc1Q2bW4xR21WQWs5YVEyaWNnOXZ5MUx2Y0tETUZNVERwZFFNOHZCYUx3ZHp1eF9Id0ZWd3NhLWhtd3U0VUNDY0NLQk1iY3Etalc?oc=5,2026-07-06 10:15:25,ThePrint,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxNSFlMckxzOHk5aGVVWGViU0FSVHgtVUZ6RDY4ZTg0SWQ0OEhtbkdKUTVBT0o4TnBoMEsxcXRwZ185OWFjZkRGU3V2cG5XejE3bGlyaGQyNVBJTUdfRVZWSExtdG41YkdnQzBVTm1BNDdYLTYtWXpxdWw3a0RfZFR1N2R5Wm5QSGI0WG1QaWNDaW9GaHfSAZgBQVVfeXFMUHRzdWFpbmdSQ29ob1l0QUdaZ3N2THRLUEtZUnpsMlZnejR5N0wzUUFyUVN1aHZIMldaZEZvVFNTaVZvdnNNSEZlTWZIR3ltc1Q2bW4xR21WQWs5YVEyaWNnOXZ5MUx2Y0tETUZNVERwZFFNOHZCYUx3ZHp1eF9Id0ZWd3NhLWhtd3U0VUNDY0NLQk1iY3Etalc?oc=5"" target=""_blank"">Heavy rains flood Mumbai-Goa highway; traffic disrupted</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font>",Monsoon,en
