Title,Link,Date,Source,Summary,Term,LanguageQueried
"Haryana Weather: हरियाणा में आज से बारिश का यलो अलर्ट, 18 तक चेतावनी; मानसून की सक्रियता से कई जिलों में हुई वर्षा - haryana weather yellow alert for rain in haryana from today warning till 18th monsoon activity brings rain - Jagran",https://news.google.com/rss/articles/CBMiiwJBVV95cUxOXzJYMzZ3YkRfOVRzM2pENS1zWktSOTNtVUpmeXRhbXNfX3VHRTZ4LXFxX2Yyc0VoR0w2WmoxYW1HQ0g2M1BydU9faWZaT0dFY3NZSmRXalZZODl6aUc3NmswMVdEb2sxM2FmdTcxWDVDOFQ5eHg1b3ZmMl9qQ0ZPYm9veUVCbHJHT3JCSEZOV0w5TG4yei1OanFkT1ZSM19QT3lfRVc1SjE5ZGc3VmM5ZWtfRFlfdDNOLXZYMkJ5QlI5MTBPQnhPUEdVTUpRUEp3Y2ttajFNTEFwVGZqekJ6VmlPSmxad3BxSlBWTVJKa3pBQy1tLXlfRmt0UlNQU0x1OGdkREJYbGotM0U?oc=5,2026-09-13 06:02:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxOXzJYMzZ3YkRfOVRzM2pENS1zWktSOTNtVUpmeXRhbXNfX3VHRTZ4LXFxX2Yyc0VoR0w2WmoxYW1HQ0g2M1BydU9faWZaT0dFY3NZSmRXalZZODl6aUc3NmswMVdEb2sxM2FmdTcxWDVDOFQ5eHg1b3ZmMl9qQ0ZPYm9veUVCbHJHT3JCSEZOV0w5TG4yei1OanFkT1ZSM19QT3lfRVc1SjE5ZGc3VmM5ZWtfRFlfdDNOLXZYMkJ5QlI5MTBPQnhPUEdVTUpRUEp3Y2ttajFNTEFwVGZqekJ6VmlPSmxad3BxSlBWTVJKa3pBQy1tLXlfRmt0UlNQU0x1OGdkREJYbGotM0U?oc=5"" target=""_blank"">Haryana Weather: हरियाणा में आज से बारिश का यलो अलर्ट, 18 तक चेतावनी; मानसून की सक्रियता से कई जिलों में हुई वर्षा - haryana weather yellow alert for rain in haryana from today warning till 18th monsoon activity brings rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,hi
"IMD Weather Alert: उत्तराखंड में भारी बारिश का अनुमान, राजस्थान में तेज हवाओं के साथ बिजली गिरने का खतरा - Gaon Junction",https://news.google.com/rss/articles/CBMi6AFBVV95cUxQMWlUYWNJRW5BZDk4cWNtd2dFNlpkVlktS0I2ZVdUejNFUU5iQUFUcFNETU9yWTlwOWhnZm85M2hpY25YUzA5dkVKTWQzTkR6WG5JeFlvRTczM0k0S01MdEdTWVpWWjU1MERFSDc4Y3hIQUthQ1RvSEk5cGFySDgwaUo4NWw5dURuTUNaaFFSZDlJRU1CRG0xZkZWN2dSWVlJSlpTMFh4aHJuMnhRcE5IdkR4NUtCR0RFb0txLXM3UG4tNG9pVTRhd0pDaGZJOXgtS1o1RmYxaURGcTQtNTdLUzZwVi1ORTBW?oc=5,2026-09-13 08:22:55,Gaon Junction,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQMWlUYWNJRW5BZDk4cWNtd2dFNlpkVlktS0I2ZVdUejNFUU5iQUFUcFNETU9yWTlwOWhnZm85M2hpY25YUzA5dkVKTWQzTkR6WG5JeFlvRTczM0k0S01MdEdTWVpWWjU1MERFSDc4Y3hIQUthQ1RvSEk5cGFySDgwaUo4NWw5dURuTUNaaFFSZDlJRU1CRG0xZkZWN2dSWVlJSlpTMFh4aHJuMnhRcE5IdkR4NUtCR0RFb0txLXM3UG4tNG9pVTRhd0pDaGZJOXgtS1o1RmYxaURGcTQtNTdLUzZwVi1ORTBW?oc=5"" target=""_blank"">IMD Weather Alert: उत्तराखंड में भारी बारिश का अनुमान, राजस्थान में तेज हवाओं के साथ बिजली गिरने का खतरा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gaon Junction</font>",Monsoon,hi
"Haryana Weather: हरियाणा में आज से बारिश का यलो अलर्ट, 18 तक चेतावनी; मानसून की सक्रियता से कई जिलों में हुई वर्षा - haryana weather yellow alert for rain in haryana from today warning till 18th monsoon activity brings rain - Head Topics",https://news.google.com/rss/articles/CBMibEFVX3lxTE5EN3Ftb3VnZ01FbnlpaEF3LW1kSm56NHBzSEpaMjdSSExFMXExZWtGbUV0b0xsRlUwNDE3N0tzckRCaXpUb1J6Z2VQYmllejdEVDRzZWFSeEhwa2hJLXlfR3VudHg4S1ZJM1kwZQ?oc=5,2026-09-13 06:07:00,Head Topics,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE5EN3Ftb3VnZ01FbnlpaEF3LW1kSm56NHBzSEpaMjdSSExFMXExZWtGbUV0b0xsRlUwNDE3N0tzckRCaXpUb1J6Z2VQYmllejdEVDRzZWFSeEhwa2hJLXlfR3VudHg4S1ZJM1kwZQ?oc=5"" target=""_blank"">Haryana Weather: हरियाणा में आज से बारिश का यलो अलर्ट, 18 तक चेतावनी; मानसून की सक्रियता से कई जिलों में हुई वर्षा - haryana weather yellow alert for rain in haryana from today warning till 18th monsoon activity brings rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Head Topics</font>",Monsoon,hi
बाढ़ नियंत्रण को लेकर DC वर्षा खांगवाल अलर्ट: झज्जर में मुंगेशपुर ड्रेन का निरीक्षण; जलस्तर और सफाई व्यवस्थ... - Dainik Bhaskar,https://news.google.com/rss/articles/CBMizAFBVV95cUxQcFNQZlBOSUFUdjlBc1VCMjlMM2pWQXk3VVhVbVZfd0JKNXNuaTZnU051TUtFbFhral9sTUIwRlBTYTFOUHJzcGl4YmhBZGxZQVdCMGFMMERJa2I3dWpBTXR6blhxMm5XT25sRWgtM1R3eU1OT3VhZktpa2RNRmN0NTNHUXRsUVdiUi1zWVBGTGlKZEc3dGtYRWhsMkV1dmtCaE96dkxYRUdyOVI0cFkwZXhBOG5oXzRUTFRldWtpUkhPZkFoa0M0V2pPYkTSAdIBQVVfeXFMTmwxOE9UMzVBRlBtRWk3N1o4WnRYVmsxWndmaDRNYzFyT3pOOXZtVmgzM053S3hya3hRYlFIVmpTVllJOTFGN3NxVXNCX3pDUVJFYk5MQlhNR0EzVFpvYndiVmhmVHVXaVl4MUFWZFhiRjJxaG8yS3Vrd0hvdVIzV1NSV1pJTGtuazloRURaM2kyMUNOM1V5blpuY0JmMTB4Y0JDdW45cnBMLTFjQy15M09MME90MDgwcndWMHg5WjdWQmhEbWdYMkJaTGRCMUdrUXVR?oc=5,2026-09-13 06:35:21,Dainik Bhaskar,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQcFNQZlBOSUFUdjlBc1VCMjlMM2pWQXk3VVhVbVZfd0JKNXNuaTZnU051TUtFbFhral9sTUIwRlBTYTFOUHJzcGl4YmhBZGxZQVdCMGFMMERJa2I3dWpBTXR6blhxMm5XT25sRWgtM1R3eU1OT3VhZktpa2RNRmN0NTNHUXRsUVdiUi1zWVBGTGlKZEc3dGtYRWhsMkV1dmtCaE96dkxYRUdyOVI0cFkwZXhBOG5oXzRUTFRldWtpUkhPZkFoa0M0V2pPYkTSAdIBQVVfeXFMTmwxOE9UMzVBRlBtRWk3N1o4WnRYVmsxWndmaDRNYzFyT3pOOXZtVmgzM053S3hya3hRYlFIVmpTVllJOTFGN3NxVXNCX3pDUVJFYk5MQlhNR0EzVFpvYndiVmhmVHVXaVl4MUFWZFhiRjJxaG8yS3Vrd0hvdVIzV1NSV1pJTGtuazloRURaM2kyMUNOM1V5blpuY0JmMTB4Y0JDdW45cnBMLTFjQy15M09MME90MDgwcndWMHg5WjdWQmhEbWdYMkJaTGRCMUdrUXVR?oc=5"" target=""_blank"">बाढ़ नियंत्रण को लेकर DC वर्षा खांगवाल अलर्ट: झज्जर में मुंगेशपुर ड्रेन का निरीक्षण; जलस्तर और सफाई व्यवस्थ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Bhaskar</font>",Monsoon,hi
"IMD Predicts Isolated Heavy Rain in Haryana, Punjab Till September 17 - boldnewsonline.com",https://news.google.com/rss/articles/CBMinAFBVV95cUxNbE9oSUVGSHVnMVdULVU2enU1TXZSVVVSUFZGWnlma0xSYnRVOTVmQXJfY3JXX1U3TkJ6RTdvVlBMa3ZpcHBpSGVWOS15SnFIc0t4akpibGVHeW0zUEVRLXVGaEQ0NVBOZTk5VmkxLUFKWEQzN1RGWGlGaFlmNnNWYkdmZmp5VDdaenBKdkd3dmpSNHpOaXlaMEVHckc?oc=5,2026-09-13 12:13:18,boldnewsonline.com,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxNbE9oSUVGSHVnMVdULVU2enU1TXZSVVVSUFZGWnlma0xSYnRVOTVmQXJfY3JXX1U3TkJ6RTdvVlBMa3ZpcHBpSGVWOS15SnFIc0t4akpibGVHeW0zUEVRLXVGaEQ0NVBOZTk5VmkxLUFKWEQzN1RGWGlGaFlmNnNWYkdmZmp5VDdaenBKdkd3dmpSNHpOaXlaMEVHckc?oc=5"" target=""_blank"">IMD Predicts Isolated Heavy Rain in Haryana, Punjab Till September 17</a>&nbsp;&nbsp;<font color=""#6f6f6f"">boldnewsonline.com</font>",Monsoon,en
"IMD forecasts isolated heavy rain in Haryana, Punjab through Sept 17 - Daily Excelsior",https://news.google.com/rss/articles/CBMipAFBVV95cUxPb2FLbkN6bFRRNVlhaGV1NmVhRmRSVElqc1VxZ2VpOWxQNzBkdkZXb2xSTXVMTVF5RFJwMU5Fb0lFNVBpNmp5M1lGcHNjOUFlYlZZeWJVWjN3cFpvdXV4elBXX21kSXNLTGJMMWRhYjhjclZpQXFrSVhRSXpXSE5kLVFVSXM5WDV0UDFNODNvRXVrcnlJMjk0eFlrZzMxOVFCXzN0UtIBpAFBVV95cUxPb2FLbkN6bFRRNVlhaGV1NmVhRmRSVElqc1VxZ2VpOWxQNzBkdkZXb2xSTXVMTVF5RFJwMU5Fb0lFNVBpNmp5M1lGcHNjOUFlYlZZeWJVWjN3cFpvdXV4elBXX21kSXNLTGJMMWRhYjhjclZpQXFrSVhRSXpXSE5kLVFVSXM5WDV0UDFNODNvRXVrcnlJMjk0eFlrZzMxOVFCXzN0Ug?oc=5,2026-09-13 12:06:38,Daily Excelsior,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPb2FLbkN6bFRRNVlhaGV1NmVhRmRSVElqc1VxZ2VpOWxQNzBkdkZXb2xSTXVMTVF5RFJwMU5Fb0lFNVBpNmp5M1lGcHNjOUFlYlZZeWJVWjN3cFpvdXV4elBXX21kSXNLTGJMMWRhYjhjclZpQXFrSVhRSXpXSE5kLVFVSXM5WDV0UDFNODNvRXVrcnlJMjk0eFlrZzMxOVFCXzN0UtIBpAFBVV95cUxPb2FLbkN6bFRRNVlhaGV1NmVhRmRSVElqc1VxZ2VpOWxQNzBkdkZXb2xSTXVMTVF5RFJwMU5Fb0lFNVBpNmp5M1lGcHNjOUFlYlZZeWJVWjN3cFpvdXV4elBXX21kSXNLTGJMMWRhYjhjclZpQXFrSVhRSXpXSE5kLVFVSXM5WDV0UDFNODNvRXVrcnlJMjk0eFlrZzMxOVFCXzN0Ug?oc=5"" target=""_blank"">IMD forecasts isolated heavy rain in Haryana, Punjab through Sept 17</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Excelsior</font>",Monsoon,en
"IMD forecasts isolated heavy rain in Haryana, Punjab through Sept. 17 - uniindia.com",https://news.google.com/rss/articles/CBMirAFBVV95cUxQeVJGLTJpSV85MHRfdUEwMEJ5ZUxmdDZLakZON3BPbmp6VkxaWFRkVGMtbU02eVpOX2NEVkVCV0xTTl9ZRk5HYnFkYUZnNm9JYm1XdWNXUjNhTmlJaWNsZVdHUThXVENrT3FxWjBhNmQ0UXRnekZjUmNzMkwteTd1SVhhOXZHRW13YVVBZU9YbzRtTTZLaEZwN3haSzg0cFM3bDlBcjV1ZGRhV2RL?oc=5,2026-09-13 11:42:22,uniindia.com,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQeVJGLTJpSV85MHRfdUEwMEJ5ZUxmdDZLakZON3BPbmp6VkxaWFRkVGMtbU02eVpOX2NEVkVCV0xTTl9ZRk5HYnFkYUZnNm9JYm1XdWNXUjNhTmlJaWNsZVdHUThXVENrT3FxWjBhNmQ0UXRnekZjUmNzMkwteTd1SVhhOXZHRW13YVVBZU9YbzRtTTZLaEZwN3haSzg0cFM3bDlBcjV1ZGRhV2RL?oc=5"" target=""_blank"">IMD forecasts isolated heavy rain in Haryana, Punjab through Sept. 17</a>&nbsp;&nbsp;<font color=""#6f6f6f"">uniindia.com</font>",Monsoon,en
"Weather update: Red alert in Gujarat, heavy rain and thunderstorms forecast across several states - CNBC TV18",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPV3NMZHZjN2RZeXZTV0laRkJzRXdiNHhaUndacS02MldHLWVrejdsZkJvVkQ1UFMwUEtWNUktVnNUWnhjWDBvMUFxVmhySVdsaEc2VXdMWkRfbjRfRW5OUllxMUtvdUVJd3A4M1UtLW5CazdHemtrS1lsa1RwTlhic2JTbmlwXzB1S1F0aXg0MU9ISEI3RURDTTA3M2oyR2NfWDhPWFRna084LWZqcjlvWXVuNUdzZUZxY3pYUkJIU1lHVXc0LXdmZWpweVlhdDJwVmhVd2ZWcnhiY1hGMmNEVlB4Rk1TUdIB6wFBVV95cUxPQ0ViODRGVDdLSkFWQ19OQkNOU3VWZm1wdm0tVWx0RGgtWWJHYVc5NFRDTEV1T2tOOGpkd0p0U014SlN5dkF2RG5hcExleTJhS0hBd0hRNkRub09UOGg3MzJTMG42aUpfQTQzbWdiSE1XMkVzLUppVHBGZHo4UlgzdXZDRXNDVVBQd21xNGU4TTJ3akE3aWZyaDJFWXRralFIc29wU2dIazdpZlpkcF9VUTl2dmp6cGVFbFh2TGVKTEZfSHk1Vi10OVp2Y2RXNC1CSExMUVhNbDVhb1h0RUFjbExGRjdvTnlpME1v?oc=5,2026-09-13 05:10:58,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxPV3NMZHZjN2RZeXZTV0laRkJzRXdiNHhaUndacS02MldHLWVrejdsZkJvVkQ1UFMwUEtWNUktVnNUWnhjWDBvMUFxVmhySVdsaEc2VXdMWkRfbjRfRW5OUllxMUtvdUVJd3A4M1UtLW5CazdHemtrS1lsa1RwTlhic2JTbmlwXzB1S1F0aXg0MU9ISEI3RURDTTA3M2oyR2NfWDhPWFRna084LWZqcjlvWXVuNUdzZUZxY3pYUkJIU1lHVXc0LXdmZWpweVlhdDJwVmhVd2ZWcnhiY1hGMmNEVlB4Rk1TUdIB6wFBVV95cUxPQ0ViODRGVDdLSkFWQ19OQkNOU3VWZm1wdm0tVWx0RGgtWWJHYVc5NFRDTEV1T2tOOGpkd0p0U014SlN5dkF2RG5hcExleTJhS0hBd0hRNkRub09UOGg3MzJTMG42aUpfQTQzbWdiSE1XMkVzLUppVHBGZHo4UlgzdXZDRXNDVVBQd21xNGU4TTJ3akE3aWZyaDJFWXRralFIc29wU2dIazdpZlpkcF9VUTl2dmp6cGVFbFh2TGVKTEZfSHk1Vi10OVp2Y2RXNC1CSExMUVhNbDVhb1h0RUFjbExGRjdvTnlpME1v?oc=5"" target=""_blank"">Weather update: Red alert in Gujarat, heavy rain and thunderstorms forecast across several states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Monsoon,en
"IMD forecasts isolated heavy rain in Haryana, Punjab through Sept 17 - Daily Excelsior",https://news.google.com/rss/articles/CBMipgFBVV95cUxOQUFLeFRlaVhOX290eXU1b1BPZjl3YWdueXVOSmpwWEE1Uzh4LTNqRG5YendEZFVySDlYWTFjV2h4UTIteWx5N285WEZHTUJoMElHdU01Um15LWRlSU5rZERoZ2NBUVRfRGhEdXZUeW1zdHZJYmF5a2hmWXRpS3ZXSkJaV2hQUlBidnVxWjI0dmw1R1Y5N2NOOE9sbkdKbDkydnZxb3V30gGmAUFVX3lxTE5BQUt4VGVpWE5fb3R5dTVvUE9mOXdhZ255dU5KanBYQTVTOHgtM2pEblh6d0RkVXJIOVhZMWNXaHhRMi15bHk3bzlYRkdNQmgwSUd1TTVSbXktZGVJTmtkRGhnY0FRVF9EaER1dlR5bXN0dkliYXlraGZZdGlLdldKQlpXaFBSUGJ2dXFaMjR2bDVHVjk3Y044T2xuR0psOTJ2dnFvdXc?oc=5,2026-09-13 12:06:38,Daily Excelsior,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxOQUFLeFRlaVhOX290eXU1b1BPZjl3YWdueXVOSmpwWEE1Uzh4LTNqRG5YendEZFVySDlYWTFjV2h4UTIteWx5N285WEZHTUJoMElHdU01Um15LWRlSU5rZERoZ2NBUVRfRGhEdXZUeW1zdHZJYmF5a2hmWXRpS3ZXSkJaV2hQUlBidnVxWjI0dmw1R1Y5N2NOOE9sbkdKbDkydnZxb3V30gGmAUFVX3lxTE5BQUt4VGVpWE5fb3R5dTVvUE9mOXdhZ255dU5KanBYQTVTOHgtM2pEblh6d0RkVXJIOVhZMWNXaHhRMi15bHk3bzlYRkdNQmgwSUd1TTVSbXktZGVJTmtkRGhnY0FRVF9EaER1dlR5bXN0dkliYXlraGZZdGlLdldKQlpXaFBSUGJ2dXFaMjR2bDVHVjk3Y044T2xuR0psOTJ2dnFvdXc?oc=5"" target=""_blank"">IMD forecasts isolated heavy rain in Haryana, Punjab through Sept 17</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Excelsior</font>",Monsoon,en
"Delhi to see rain, thunderstorms as IMD forecasts showers across India - Business Standard",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPcjExMmc4V3JtOG0xZ0RRbVlyQWRLR3VMQ2lTYUQyLW5XbDEwMTFtYjRnSlk2U010MnFKTnJxNU5ZNE0wUEZ6bGZNQkI3ZjNwUFlfZmRpbkRTUUFyTl90enM4dlo0SzBNLWkyWDNpQXdRQW5VQlBORnVvdVdLM2ZDMjB5dndkdHFPd2dUSnd5YldveG1GU192ODdmZnRBeGxIbXFqNjFiakFFNWtnUUNkRnJ2bFJXVDN2NVNNbXBfN0VpTknSAcgBQVVfeXFMUGsxcF9kNGNoWENWakJnMkRNWXZ1OU5HLUhXV1dBaWQ0elBQbTVzX0NEWG5aZ3lva0R4QkY3VWk1dTloS2ZqcHJBS1ptNlZvSHBIM1F1TlpoTEp4djlnRFJZMGJMenF5eEIwaENuTjhKUUJsT29xRFItNTU0SGR4OWlYa0RxTkZqRnM1RTJDNmNBZGFZZ0lTT2xlaGlJLVhUNWdXU2tMTkZBeFQwR0Q1UEJMVTR5aWJDejZ1cURkZkVyb0dmZ0ZCQ3c?oc=5,2026-09-13 10:54:11,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPcjExMmc4V3JtOG0xZ0RRbVlyQWRLR3VMQ2lTYUQyLW5XbDEwMTFtYjRnSlk2U010MnFKTnJxNU5ZNE0wUEZ6bGZNQkI3ZjNwUFlfZmRpbkRTUUFyTl90enM4dlo0SzBNLWkyWDNpQXdRQW5VQlBORnVvdVdLM2ZDMjB5dndkdHFPd2dUSnd5YldveG1GU192ODdmZnRBeGxIbXFqNjFiakFFNWtnUUNkRnJ2bFJXVDN2NVNNbXBfN0VpTknSAcgBQVVfeXFMUGsxcF9kNGNoWENWakJnMkRNWXZ1OU5HLUhXV1dBaWQ0elBQbTVzX0NEWG5aZ3lva0R4QkY3VWk1dTloS2ZqcHJBS1ptNlZvSHBIM1F1TlpoTEp4djlnRFJZMGJMenF5eEIwaENuTjhKUUJsT29xRFItNTU0SGR4OWlYa0RxTkZqRnM1RTJDNmNBZGFZZ0lTT2xlaGlJLVhUNWdXU2tMTkZBeFQwR0Q1UEJMVTR5aWJDejZ1cURkZkVyb0dmZ0ZCQ3c?oc=5"" target=""_blank"">Delhi to see rain, thunderstorms as IMD forecasts showers across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Monsoon,en
