Title,Link,Date,Source,Summary,Term,LanguageQueried
"जाते-जाते पंजाब समेत इन राज्यों में भारी बारिश करवाएगा, जानें कब होने वाली है मॉनसून की वापसी - livehindustan.com",https://news.google.com/rss/articles/CBMizgFBVV95cUxPRUM2V1l4OFYwczdrOTBwT3lxYkFnVV9aNHZ3LXZvcTMwTmtOZUdVMVJvX1FsbDhFWTJuT044d3dBUDBJamJhR2Q3cllxbTdPSktaS3pyd20taklVdkJZNE9neXlGMnE2MTE2bTJPbjQxRUpkc3NHVVBVUjRpODN6YzhrZ2lBOGRmdXN4WERhQ25PdjZWekhFZU5YcTA0bnBYQVdHMVE0VFJ3YTlRT3M0ZlZnNHY1ZEM0RHZMVExTTVZ2ZVBlQlVPZGFPUDNfZ9IBzgFBVV95cUxPRUM2V1l4OFYwczdrOTBwT3lxYkFnVV9aNHZ3LXZvcTMwTmtOZUdVMVJvX1FsbDhFWTJuT044d3dBUDBJamJhR2Q3cllxbTdPSktaS3pyd20taklVdkJZNE9neXlGMnE2MTE2bTJPbjQxRUpkc3NHVVBVUjRpODN6YzhrZ2lBOGRmdXN4WERhQ25PdjZWekhFZU5YcTA0bnBYQVdHMVE0VFJ3YTlRT3M0ZlZnNHY1ZEM0RHZMVExTTVZ2ZVBlQlVPZGFPUDNfZw?oc=5,2026-09-15 07:25:13,livehindustan.com,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPRUM2V1l4OFYwczdrOTBwT3lxYkFnVV9aNHZ3LXZvcTMwTmtOZUdVMVJvX1FsbDhFWTJuT044d3dBUDBJamJhR2Q3cllxbTdPSktaS3pyd20taklVdkJZNE9neXlGMnE2MTE2bTJPbjQxRUpkc3NHVVBVUjRpODN6YzhrZ2lBOGRmdXN4WERhQ25PdjZWekhFZU5YcTA0bnBYQVdHMVE0VFJ3YTlRT3M0ZlZnNHY1ZEM0RHZMVExTTVZ2ZVBlQlVPZGFPUDNfZ9IBzgFBVV95cUxPRUM2V1l4OFYwczdrOTBwT3lxYkFnVV9aNHZ3LXZvcTMwTmtOZUdVMVJvX1FsbDhFWTJuT044d3dBUDBJamJhR2Q3cllxbTdPSktaS3pyd20taklVdkJZNE9neXlGMnE2MTE2bTJPbjQxRUpkc3NHVVBVUjRpODN6YzhrZ2lBOGRmdXN4WERhQ25PdjZWekhFZU5YcTA0bnBYQVdHMVE0VFJ3YTlRT3M0ZlZnNHY1ZEM0RHZMVExTTVZ2ZVBlQlVPZGFPUDNfZw?oc=5"" target=""_blank"">जाते-जाते पंजाब समेत इन राज्यों में भारी बारिश करवाएगा, जानें कब होने वाली है मॉनसून की वापसी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livehindustan.com</font>",Monsoon,hi
"विदाई के पहले मॉनसून ने लिया यूटर्न, गुजरात-राजस्थान में भारी बारिश का IMD अलर्ट, सितंबर के 15 दिन झमाझम बरसेंगे बदरा - ndtv.in",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPdGprUEU2ajVodU5udXloZHoxbDBTVXFQT3htQTEzcGlxRlJCUkZiUG5KUXNoX3NKN2lpZ0thTjNZR1VvamhGM0NiXzI3OF9KemMwRFBVQjYyZnhDQXVUeXI0ZUk0dVprNDAzcFdCZWd4TnZ1dUU0SVpuUUp4eWUyZDVvVWlqS3VzS3YwM2RSSjVnWHltS3hpTFUzMm05elFiZ3BmTFZ1VEpWZDhHazJMbE5NZWhUNm9MdGZXd2VnNUlZZFA2OWg5b1JscWF3eWhuTk15QlJmRE51dGctSmVkMEZqcUt3SGc?oc=5,2026-09-15 06:58:24,ndtv.in,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPdGprUEU2ajVodU5udXloZHoxbDBTVXFQT3htQTEzcGlxRlJCUkZiUG5KUXNoX3NKN2lpZ0thTjNZR1VvamhGM0NiXzI3OF9KemMwRFBVQjYyZnhDQXVUeXI0ZUk0dVprNDAzcFdCZWd4TnZ1dUU0SVpuUUp4eWUyZDVvVWlqS3VzS3YwM2RSSjVnWHltS3hpTFUzMm05elFiZ3BmTFZ1VEpWZDhHazJMbE5NZWhUNm9MdGZXd2VnNUlZZFA2OWg5b1JscWF3eWhuTk15QlJmRE51dGctSmVkMEZqcUt3SGc?oc=5"" target=""_blank"">विदाई के पहले मॉनसून ने लिया यूटर्न, गुजरात-राजस्थान में भारी बारिश का IMD अलर्ट, सितंबर के 15 दिन झमाझम बरसेंगे बदरा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ndtv.in</font>",Monsoon,hi
"मॉनसून का कहर : बिहार के 15 जिलों में बाढ़ से 49.67 लाख लोग प्रभावित, चीरबासा में भूस्खलन से केदारनाथ यात्रा लगातार तीसरे दिन बंद - m.khaskhabar.com",https://news.google.com/rss/articles/CBMi9AFBVV95cUxQT05HOUU2b3FaWXdJSE44MWpPMzlPV1U1eHZ1VFY0dGNQREZFQ0ZKaEdlRlFRN3ZQUVJ3N2RPR0o0bWdqNXlKU3BRUEdjZ3ZpbWV1SEpKRlB2TzYtLVFwQ0xiWnNLQXNYZHI1QTgwVFBsVE9wZEdnLU5qSUg2Qk1xVUtCbkhQcTk0amQxQVI4anYzSUREZ2EyRHZjMmVIOV9BTjNEY2NGczRodmlmYTBwajFBN3Nma1h1U25YUFV1dF81U1prZHR2bXRDdmc4cTBwbmRMN0lOX0xBcnlqQ2ZST0JNS3BmWlFZeDQ4TDRCWV85UGlO?oc=5,2026-09-15 07:57:00,m.khaskhabar.com,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxQT05HOUU2b3FaWXdJSE44MWpPMzlPV1U1eHZ1VFY0dGNQREZFQ0ZKaEdlRlFRN3ZQUVJ3N2RPR0o0bWdqNXlKU3BRUEdjZ3ZpbWV1SEpKRlB2TzYtLVFwQ0xiWnNLQXNYZHI1QTgwVFBsVE9wZEdnLU5qSUg2Qk1xVUtCbkhQcTk0amQxQVI4anYzSUREZ2EyRHZjMmVIOV9BTjNEY2NGczRodmlmYTBwajFBN3Nma1h1U25YUFV1dF81U1prZHR2bXRDdmc4cTBwbmRMN0lOX0xBcnlqQ2ZST0JNS3BmWlFZeDQ4TDRCWV85UGlO?oc=5"" target=""_blank"">मॉनसून का कहर : बिहार के 15 जिलों में बाढ़ से 49.67 लाख लोग प्रभावित, चीरबासा में भूस्खलन से केदारनाथ यात्रा लगातार तीसरे दिन बंद</a>&nbsp;&nbsp;<font color=""#6f6f6f"">m.khaskhabar.com</font>",Monsoon,hi
"Weather Update Today: विदाई की बेला में भी कहर बरपाने का तैयार मॉनसून, 22 राज्यों में होगी बारिश, घर से निकलने से पहले लें लेटेस्ट अपडेट - InKhabar",https://news.google.com/rss/articles/CBMihAJBVV95cUxQNW52dFRhVnBlTnJVN3pIejI2SzF6ZFRSS1p6Uk4tZW4wR213RHRmenBZeXoyclJYVnhvUUdVb0FuSGpvNDM0ckpwWl93bWNZZGhpSUJWS29MbkJ6ZU85c1AzdGxJU3lVSnFRTUsyZEtuejh1QjRJZUJDQmw3X2xRU251SnNTSW1pTlg3UzRfUU42ZFI3d2ZNbmJvNm9zVU5yUWZrdDJYVjd6MjN1Z2t4TVYxd0VESTFROG40YkxBWEtIelAwZkF6RG9rVzhjREZxaFB6amJjdkpLNDc0Y0pUQW1XSExfTmJfQUpsdm56cl9yRmV4UUUyT2txaEFyNmw5VmZ6ZA?oc=5,2026-09-15 07:53:57,InKhabar,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxQNW52dFRhVnBlTnJVN3pIejI2SzF6ZFRSS1p6Uk4tZW4wR213RHRmenBZeXoyclJYVnhvUUdVb0FuSGpvNDM0ckpwWl93bWNZZGhpSUJWS29MbkJ6ZU85c1AzdGxJU3lVSnFRTUsyZEtuejh1QjRJZUJDQmw3X2xRU251SnNTSW1pTlg3UzRfUU42ZFI3d2ZNbmJvNm9zVU5yUWZrdDJYVjd6MjN1Z2t4TVYxd0VESTFROG40YkxBWEtIelAwZkF6RG9rVzhjREZxaFB6amJjdkpLNDc0Y0pUQW1XSExfTmJfQUpsdm56cl9yRmV4UUUyT2txaEFyNmw5VmZ6ZA?oc=5"" target=""_blank"">Weather Update Today: विदाई की बेला में भी कहर बरपाने का तैयार मॉनसून, 22 राज्यों में होगी बारिश, घर से निकलने से पहले लें लेटेस्ट अपडेट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InKhabar</font>",Monsoon,hi
"जाते-जाते पंजाब समेत इन राज्यों में भारी बारिश करवाएगा, जानें कब होने वाली है मॉनसून की वापसी - livehindustan.com",https://news.google.com/rss/articles/CBMiyAFBVV95cUxNcGtOMExzcThsRUgydms4R1Fta3o5bUZTaXpPWGR0WENZYkYtQlBSOFpFUkZsTHJ6X2NVUW9wczFZUGpUZGtsYUxCZWR2WFpUaEZmTE1iYUpwaDdJY1BuYUlub1pzQWk5RzJiU2dOVU5VaW9aX0g2c1pBeEhadTlTdGZ0QnZISW9OQ1E2bEhxYlp1VXdKX3RPRXdpd3RRZ1VvYlpsNHM3WTBfdlB3SnNWNjJiNFpSWWtGYnl2c2p0MnNFU0hFQzliZ9IBzgFBVV95cUxPRUM2V1l4OFYwczdrOTBwT3lxYkFnVV9aNHZ3LXZvcTMwTmtOZUdVMVJvX1FsbDhFWTJuT044d3dBUDBJamJhR2Q3cllxbTdPSktaS3pyd20taklVdkJZNE9neXlGMnE2MTE2bTJPbjQxRUpkc3NHVVBVUjRpODN6YzhrZ2lBOGRmdXN4WERhQ25PdjZWekhFZU5YcTA0bnBYQVdHMVE0VFJ3YTlRT3M0ZlZnNHY1ZEM0RHZMVExTTVZ2ZVBlQlVPZGFPUDNfZw?oc=5,2026-09-15 07:25:13,livehindustan.com,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNcGtOMExzcThsRUgydms4R1Fta3o5bUZTaXpPWGR0WENZYkYtQlBSOFpFUkZsTHJ6X2NVUW9wczFZUGpUZGtsYUxCZWR2WFpUaEZmTE1iYUpwaDdJY1BuYUlub1pzQWk5RzJiU2dOVU5VaW9aX0g2c1pBeEhadTlTdGZ0QnZISW9OQ1E2bEhxYlp1VXdKX3RPRXdpd3RRZ1VvYlpsNHM3WTBfdlB3SnNWNjJiNFpSWWtGYnl2c2p0MnNFU0hFQzliZ9IBzgFBVV95cUxPRUM2V1l4OFYwczdrOTBwT3lxYkFnVV9aNHZ3LXZvcTMwTmtOZUdVMVJvX1FsbDhFWTJuT044d3dBUDBJamJhR2Q3cllxbTdPSktaS3pyd20taklVdkJZNE9neXlGMnE2MTE2bTJPbjQxRUpkc3NHVVBVUjRpODN6YzhrZ2lBOGRmdXN4WERhQ25PdjZWekhFZU5YcTA0bnBYQVdHMVE0VFJ3YTlRT3M0ZlZnNHY1ZEM0RHZMVExTTVZ2ZVBlQlVPZGFPUDNfZw?oc=5"" target=""_blank"">जाते-जाते पंजाब समेत इन राज्यों में भारी बारिश करवाएगा, जानें कब होने वाली है मॉनसून की वापसी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livehindustan.com</font>",Monsoon,hi
"IMD Weather Alert: Rain warning for Delhi-NCR, Punjab & North Bengal, active monsoon systems trigger nationwid - CNBC TV18",https://news.google.com/rss/articles/CBMi7gFBVV95cUxOUFVZWlhrMnpRX3dVa1dHZUQxS21WXzhjUzdjaTNiVVRIaGxabi1hNjMzS2lzZGg1cjBsU3BhNTB3cTViVVZ3TmdnUDR1MmRVcFNPT3ExSi0yYk5jaHE2OTJhLVFCZTY5cEFhUGdVenZEQnowbkozNk1qeVB2MTlrRGZTUVZjUzR4TG5uekZuMkphb2wzcHdhVUVGcG5TbGkzSzlrUElmX2IzTUJQclQta0s3LXhOMXV3Vk5uVjdzbmtMMXlxVjZONVZvREF1Q0g2Q2hVdWd1X2oyeUxwbG5oRjlzWFJCQk93SE05cHNB0gHzAUFVX3lxTFByY1FDeE9LZFFDNXZKZklPUms3Yk9zakE0aF9ZTXRpQ0F6bGFyUDlYcHdZUkpPbFBtV3o3WXlzdkw3VjZFcWpzMktlZnRJWTh1UGhIWWJ5OVNKdVR4U1lETXpqOFlFVGFuY0hoZ3Nsczk3VFh6YWVzYUFzUE45QV9rUk54NnZ6ZWJwaW9fRVl0dFNSVS16N1JrUVpaMFM2MVJla1VmOEZsRGtTcFdzTnpDMDRfVjkyQzk5ZzMwNTdzWVAxT0RLQmdzeFUxeDRZeE5ETDJkZTVUSkdHS2ZTam43V2Jsc05od2lSbkF6RkhIc1FLUQ?oc=5,2026-09-15 10:24:30,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxOUFVZWlhrMnpRX3dVa1dHZUQxS21WXzhjUzdjaTNiVVRIaGxabi1hNjMzS2lzZGg1cjBsU3BhNTB3cTViVVZ3TmdnUDR1MmRVcFNPT3ExSi0yYk5jaHE2OTJhLVFCZTY5cEFhUGdVenZEQnowbkozNk1qeVB2MTlrRGZTUVZjUzR4TG5uekZuMkphb2wzcHdhVUVGcG5TbGkzSzlrUElmX2IzTUJQclQta0s3LXhOMXV3Vk5uVjdzbmtMMXlxVjZONVZvREF1Q0g2Q2hVdWd1X2oyeUxwbG5oRjlzWFJCQk93SE05cHNB0gHzAUFVX3lxTFByY1FDeE9LZFFDNXZKZklPUms3Yk9zakE0aF9ZTXRpQ0F6bGFyUDlYcHdZUkpPbFBtV3o3WXlzdkw3VjZFcWpzMktlZnRJWTh1UGhIWWJ5OVNKdVR4U1lETXpqOFlFVGFuY0hoZ3Nsczk3VFh6YWVzYUFzUE45QV9rUk54NnZ6ZWJwaW9fRVl0dFNSVS16N1JrUVpaMFM2MVJla1VmOEZsRGtTcFdzTnpDMDRfVjkyQzk5ZzMwNTdzWVAxT0RLQmdzeFUxeDRZeE5ETDJkZTVUSkdHS2ZTam43V2Jsc05od2lSbkF6RkhIc1FLUQ?oc=5"" target=""_blank"">IMD Weather Alert: Rain warning for Delhi-NCR, Punjab & North Bengal, active monsoon systems trigger nationwid</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Monsoon,en
"River rafting, paragliding to resume in Kullu from Sept 16 after two-month monsoon ban - The Tribune",https://news.google.com/rss/articles/CBMizAFBVV95cUxQN3NZYldNa2tmWmdmS3JZQzlWdFpNZkc1NUVpZFEtc19kWVJkcFdUdUVRTlU0NnZhZGduQ0xISm8ySC1aSGNuUFhaNXgza3BUclJST2U2Z1JOT3JQUFpLdnhIcDVHWkowSVZfc1Bic1pVTGhaSlRHNmVVSWp6MVhDN3lVejUzb21YR3VmWEVhMWpiQnJQdnlFMjV5MG9Ra29hT0JXVWJNTXRLclN6T1lBNmxxNXphMkZKVFZ4eGhCRlgxTXdHcXhKSmdEZHnSAcwBQVVfeXFMUDdzWWJXTWtrZlpnZktyWUM5VnRaTWZHNTVFaWRRLXNfZFlSZHBXVHVFUU5VNDZ2YWRnbkNMSEpvMkgtWkhjblBYWjV4M2twVHJSUk9lNmdSTk9yUFBaS3Z4SHA1R1pKMElWX3NQYnNaVUxoWkpURzZlVUlqejFYQzd5VXo1M29tWEd1ZlhFYTFqYkJyUHZ5RTI1eTBvUWtvYU9CV1ViTU10S3JTek9ZQTZscTV6YTJGSlRWeHhoQkZYMU13R3F4SkpnRGR5?oc=5,2026-09-15 12:51:45,The Tribune,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQN3NZYldNa2tmWmdmS3JZQzlWdFpNZkc1NUVpZFEtc19kWVJkcFdUdUVRTlU0NnZhZGduQ0xISm8ySC1aSGNuUFhaNXgza3BUclJST2U2Z1JOT3JQUFpLdnhIcDVHWkowSVZfc1Bic1pVTGhaSlRHNmVVSWp6MVhDN3lVejUzb21YR3VmWEVhMWpiQnJQdnlFMjV5MG9Ra29hT0JXVWJNTXRLclN6T1lBNmxxNXphMkZKVFZ4eGhCRlgxTXdHcXhKSmdEZHnSAcwBQVVfeXFMUDdzWWJXTWtrZlpnZktyWUM5VnRaTWZHNTVFaWRRLXNfZFlSZHBXVHVFUU5VNDZ2YWRnbkNMSEpvMkgtWkhjblBYWjV4M2twVHJSUk9lNmdSTk9yUFBaS3Z4SHA1R1pKMElWX3NQYnNaVUxoWkpURzZlVUlqejFYQzd5VXo1M29tWEd1ZlhFYTFqYkJyUHZ5RTI1eTBvUWtvYU9CV1ViTU10S3JTek9ZQTZscTV6YTJGSlRWeHhoQkZYMU13R3F4SkpnRGR5?oc=5"" target=""_blank"">River rafting, paragliding to resume in Kullu from Sept 16 after two-month monsoon ban</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font>",Monsoon,en
Delhi Rain Alert: Heavy Rain and Thunderstorms Forecast on Tuesday - urbanacres.in,https://news.google.com/rss/articles/CBMikgFBVV95cUxPZUpOZmVyQ3BzYWI5SG9tY29ydnhmemIxUWxxRjNRTGpoenVrSmxKZDJ3R2VISHhuNV9uRzZYU09jQ0c1ZnRsdmJZRF9VTkRYSXNFYk0xMC1CZ0RVcUpiaEVGRnRsR3ZkSzZHSDB0SkVHZTE5VjMxaV9jejNsaEV1Yk51R2JGb3ZfMDlWaW43bjhoZw?oc=5,2026-09-15 05:39:00,urbanacres.in,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxPZUpOZmVyQ3BzYWI5SG9tY29ydnhmemIxUWxxRjNRTGpoenVrSmxKZDJ3R2VISHhuNV9uRzZYU09jQ0c1ZnRsdmJZRF9VTkRYSXNFYk0xMC1CZ0RVcUpiaEVGRnRsR3ZkSzZHSDB0SkVHZTE5VjMxaV9jejNsaEV1Yk51R2JGb3ZfMDlWaW43bjhoZw?oc=5"" target=""_blank"">Delhi Rain Alert: Heavy Rain and Thunderstorms Forecast on Tuesday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">urbanacres.in</font>",Monsoon,en
"IMD Weather Alert: Rain warning for Delhi-NCR, Punjab & North Bengal, active monsoon systems trigger nationwid - CNBC TV18",https://news.google.com/rss/articles/CBMi8wFBVV95cUxQcmNRQ3hPS2RRQzV2SmZJT1JrN2JPc2pBNGhfWU10aUNBemxhclA5WHB3WVJKT2xQbVd6N1l5c3ZMN1Y2RXFqczJLZWZ0SVk4dVBoSFlieTlTSnVUeFNZRE16ajhZRVRhbmNIaGdzbHM5N1RYemFlc2FBc1BOOUFfa1JOeDZ2emVicGlvX0VZdHRTUlUtejdSa1FaWjBTNjFSZWtVZjhGbERrU3BXc056QzA0X1Y5MkM5OWczMDU3c1lQMU9ES0Jnc3hVMXg0WXhOREwyZGU1VEpHR0tmU2puN1dibHNOaHdpUm5BekZISHNRS1HSAfMBQVVfeXFMUHJjUUN4T0tkUUM1dkpmSU9SazdiT3NqQTRoX1lNdGlDQXpsYXJQOVhwd1lSSk9sUG1XejdZeXN2TDdWNkVxanMyS2VmdElZOHVQaEhZYnk5U0p1VHhTWURNemo4WUVUYW5jSGhnc2xzOTdUWHphZXNhQXNQTjlBX2tSTng2dnplYnBpb19FWXR0U1JVLXo3UmtRWlowUzYxUmVrVWY4RmxEa1NwV3NOekMwNF9WOTJDOTlnMzA1N3NZUDFPREtCZ3N4VTF4NFl4TkRMMmRlNVRKR0dLZlNqbjdXYmxzTmh3aVJuQXpGSEhzUUtR?oc=5,2026-09-15 10:24:30,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxQcmNRQ3hPS2RRQzV2SmZJT1JrN2JPc2pBNGhfWU10aUNBemxhclA5WHB3WVJKT2xQbVd6N1l5c3ZMN1Y2RXFqczJLZWZ0SVk4dVBoSFlieTlTSnVUeFNZRE16ajhZRVRhbmNIaGdzbHM5N1RYemFlc2FBc1BOOUFfa1JOeDZ2emVicGlvX0VZdHRTUlUtejdSa1FaWjBTNjFSZWtVZjhGbERrU3BXc056QzA0X1Y5MkM5OWczMDU3c1lQMU9ES0Jnc3hVMXg0WXhOREwyZGU1VEpHR0tmU2puN1dibHNOaHdpUm5BekZISHNRS1HSAfMBQVVfeXFMUHJjUUN4T0tkUUM1dkpmSU9SazdiT3NqQTRoX1lNdGlDQXpsYXJQOVhwd1lSSk9sUG1XejdZeXN2TDdWNkVxanMyS2VmdElZOHVQaEhZYnk5U0p1VHhTWURNemo4WUVUYW5jSGhnc2xzOTdUWHphZXNhQXNQTjlBX2tSTng2dnplYnBpb19FWXR0U1JVLXo3UmtRWlowUzYxUmVrVWY4RmxEa1NwV3NOekMwNF9WOTJDOTlnMzA1N3NZUDFPREtCZ3N4VTF4NFl4TkRMMmRlNVRKR0dLZlNqbjdXYmxzTmh3aVJuQXpGSEhzUUtR?oc=5"" target=""_blank"">IMD Weather Alert: Rain warning for Delhi-NCR, Punjab & North Bengal, active monsoon systems trigger nationwid</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Monsoon,en
"IMD warns of heavy rainfall in Delhi, Punjab, and Haryana - NewsBytes",https://news.google.com/rss/articles/CBMiowFBVV95cUxQT1VtNk1vR0JqUHBFeG44LW1KRWs4NEJJRTNlUVFJQWktNkNjNEtsUVp3MDlDdnRleG5GVXBWa2tyWU5VV3FBQUVxdUFaX3JwcmtGc1loeTE0SThJcWtQV3FhbnpaUEM0SGo1eU43elpPdGxoVkRwSTlwamJQdkk3dTc5cmxzd3dkUzNmVTBmUktiR1YzT2hvaUt2VGpYYkVjZkI0?oc=5,2026-09-15 11:35:21,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQT1VtNk1vR0JqUHBFeG44LW1KRWs4NEJJRTNlUVFJQWktNkNjNEtsUVp3MDlDdnRleG5GVXBWa2tyWU5VV3FBQUVxdUFaX3JwcmtGc1loeTE0SThJcWtQV3FhbnpaUEM0SGo1eU43elpPdGxoVkRwSTlwamJQdkk3dTc5cmxzd3dkUzNmVTBmUktiR1YzT2hvaUt2VGpYYkVjZkI0?oc=5"" target=""_blank"">IMD warns of heavy rainfall in Delhi, Punjab, and Haryana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Monsoon,en
