Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather: भारी बारिश से उत्तर भारत हुआ तरबतर, हिमाचल-उत्तराखंड में रेड अलर्ट; जानें अन्य राज्यों के मौसम का हाल - Amar Ujala",https://news.google.com/rss/articles/CBMi6wFBVV95cUxOWVFzWGVLUXVzanNXQ0hMRDNVd0ZsWWFsMnhIZDZwcGowR2tLbkhtbXVQZml4RWd4WlhRWFowVFBQTlRYTTJHbEtYVFFFUThrbmNQLUk4UUx6eHBrY3NEeEJLbk1zTUNQc3NSY0FwOF9VckZTMnFrbi1SdUhqNEFQU1ZDLXJXQVFUZVhrZjJGRmhVMmpJZUxmWkdkc2Z3cF96ZGlpdk1RUmpZNFVHdmpJZzE5UW1tNWJ5SHM1YlVpWFFyeTdiRXdmeVpJWkNyOFJjNzF5eFpwSlNEM1B5WEdWb3NGSndteHdxMUJ30gHwAUFVX3lxTE1aS0Q5bmZTU2VmMk43cWFNeVVfSmNkems3dmMwZnB6SEpTUmQ5dFowTUFIMmVkNG1sMng4UnBOZzFEOFNLa0Fsb1ZKam5CYTBSQ2hvZHlCbkxjSGpENUN6U3kwUmdzbFp1TU85bHVFdzJydjNLMzRVcGwtSmZ2Q1ZyX3lYR1c5UHlNRWI1U053dmpyX3k4cnQ2QUZ1b3p3Y3FZekdqakFLRUp2VWlCZ0xjbENkWUx6NXZ2djVFajFERlp4MWpHTzlRd3FIbnZPdDhNUXZzcGRjMW1FeGFYYzV4empVaVRZOWpkWjM2ZDNvYg?oc=5,2025-07-07 07:43:28,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOWVFzWGVLUXVzanNXQ0hMRDNVd0ZsWWFsMnhIZDZwcGowR2tLbkhtbXVQZml4RWd4WlhRWFowVFBQTlRYTTJHbEtYVFFFUThrbmNQLUk4UUx6eHBrY3NEeEJLbk1zTUNQc3NSY0FwOF9VckZTMnFrbi1SdUhqNEFQU1ZDLXJXQVFUZVhrZjJGRmhVMmpJZUxmWkdkc2Z3cF96ZGlpdk1RUmpZNFVHdmpJZzE5UW1tNWJ5SHM1YlVpWFFyeTdiRXdmeVpJWkNyOFJjNzF5eFpwSlNEM1B5WEdWb3NGSndteHdxMUJ30gHwAUFVX3lxTE1aS0Q5bmZTU2VmMk43cWFNeVVfSmNkems3dmMwZnB6SEpTUmQ5dFowTUFIMmVkNG1sMng4UnBOZzFEOFNLa0Fsb1ZKam5CYTBSQ2hvZHlCbkxjSGpENUN6U3kwUmdzbFp1TU85bHVFdzJydjNLMzRVcGwtSmZ2Q1ZyX3lYR1c5UHlNRWI1U053dmpyX3k4cnQ2QUZ1b3p3Y3FZekdqakFLRUp2VWlCZ0xjbENkWUx6NXZ2djVFajFERlp4MWpHTzlRd3FIbnZPdDhNUXZzcGRjMW1FeGFYYzV4empVaVRZOWpkWjM2ZDNvYg?oc=5"" target=""_blank"">Weather: भारी बारिश से उत्तर भारत हुआ तरबतर, हिमाचल-उत्तराखंड में रेड अलर्ट; जानें अन्य राज्यों के मौसम का हाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Monsoon,hi
"हिमाचल के 10 जिलों में ऑरेंज अलर्ट: रातभर कई जगह भारी बारिश, अब तक फ्लैश फ्लड से 8, बादल फटने से 14 लोगों क... - Dainik Bhaskar",https://news.google.com/rss/articles/CBMi8wFBVV95cUxPbDRLdmxVM0hFV2p0a19xQWs3ekVMTDF1eGhuYUEtSHhhNmFBVU1CV2N2STRFbGNhYU5Idm5JTlVfNFd4N2t6NGNjejh5blBHQ1dFazhqcjQ5dGMzMTZiUlUtWS1yS2xFT2ZscmQ4aXNFa2pTdHlLb19qSXhpTnZmUVlycXpMemQxLWYwWkdWV0FNc0x3UzhCQXhqWVlJaDI3Nk1LT0U0YUstbW40N2ppQlpZUkktV0s5TjhFQVVZWXZEM1lsSDZUcUFVc2MyT084YTd0VkRjYXIwX0hZal82Y19rVE5TN3d0Yy1fc0dtbkxEWW_SAfgBQVVfeXFMTm5JcU9xMDl3bnBiYy1pRUR5N0FEQUl6OHFocmEtemVvZDVsalQwT1l6Q1NFSFQwY0RDYUZ1VkFHclFrcGo5dlBod2l4V3MxbUhWR2xZMV8xcmNnMGdodGtrZHF2WDhEXzROZVJZbnFpZ0FtaTJaVG1zVnV2UzlTTkltalJuR2RQcEpZUTR5SWk4Zld5QTk4al9ESUw0azVrQVl4MXhRQlFZSzI1dXdPRWJ1QjFUaHlwS0tkRXpKU2NrNWZSSHVpV0hMVnBqRFhuM2x6RkZuMzNtYW1mR3c3ZlM2dWF6aC13bUhBaUZQVGJ5ZUxvQ2RfbUg?oc=5,2025-07-07 03:03:00,Dainik Bhaskar,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxPbDRLdmxVM0hFV2p0a19xQWs3ekVMTDF1eGhuYUEtSHhhNmFBVU1CV2N2STRFbGNhYU5Idm5JTlVfNFd4N2t6NGNjejh5blBHQ1dFazhqcjQ5dGMzMTZiUlUtWS1yS2xFT2ZscmQ4aXNFa2pTdHlLb19qSXhpTnZmUVlycXpMemQxLWYwWkdWV0FNc0x3UzhCQXhqWVlJaDI3Nk1LT0U0YUstbW40N2ppQlpZUkktV0s5TjhFQVVZWXZEM1lsSDZUcUFVc2MyT084YTd0VkRjYXIwX0hZal82Y19rVE5TN3d0Yy1fc0dtbkxEWW_SAfgBQVVfeXFMTm5JcU9xMDl3bnBiYy1pRUR5N0FEQUl6OHFocmEtemVvZDVsalQwT1l6Q1NFSFQwY0RDYUZ1VkFHclFrcGo5dlBod2l4V3MxbUhWR2xZMV8xcmNnMGdodGtrZHF2WDhEXzROZVJZbnFpZ0FtaTJaVG1zVnV2UzlTTkltalJuR2RQcEpZUTR5SWk4Zld5QTk4al9ESUw0azVrQVl4MXhRQlFZSzI1dXdPRWJ1QjFUaHlwS0tkRXpKU2NrNWZSSHVpV0hMVnBqRFhuM2x6RkZuMzNtYW1mR3c3ZlM2dWF6aC13bUhBaUZQVGJ5ZUxvQ2RfbUg?oc=5"" target=""_blank"">हिमाचल के 10 जिलों में ऑरेंज अलर्ट: रातभर कई जगह भारी बारिश, अब तक फ्लैश फ्लड से 8, बादल फटने से 14 लोगों क...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Bhaskar</font>",Monsoon,hi
"हिमाचल में बाढ़ और भूस्खलन से अब तक 78 की मौत, मौसम आज फिर मचाएगा तांडव; इन जिलों के लिए अलर्ट - Jagran",https://news.google.com/rss/articles/CBMiggJBVV95cUxOaU42RDhCTEIwcmpYY1I1SUJuS3daM3YxYzJzSi1MREZpMWllTnhMOURhSjZ5dlFMYVhUa3ZPM2VCUFdOblF0THVid29hUlZiRjNOTmFDR2lxZ01qZTUwTy04M0pKSThBbVBIRjY4QWN1TUY0WmJORndXelBidEtVbEV3Z2dob0hQcFVuQ2ZTWWtHZGNac3FNU1lxOUJjSi0tc3dJamVSU2NyX0dndGdXeFMxS1A3cDlIUm9vZkxibHZXMU5FLUFxcEduUlBWdEZOdTJJTjl6TkJuU0ozZzlmampYOFJhMENQTjVWa1V3WVF2Y281dlR3NTFiSkFXZXZKaGc?oc=5,2025-07-07 08:27:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxOaU42RDhCTEIwcmpYY1I1SUJuS3daM3YxYzJzSi1MREZpMWllTnhMOURhSjZ5dlFMYVhUa3ZPM2VCUFdOblF0THVid29hUlZiRjNOTmFDR2lxZ01qZTUwTy04M0pKSThBbVBIRjY4QWN1TUY0WmJORndXelBidEtVbEV3Z2dob0hQcFVuQ2ZTWWtHZGNac3FNU1lxOUJjSi0tc3dJamVSU2NyX0dndGdXeFMxS1A3cDlIUm9vZkxibHZXMU5FLUFxcEduUlBWdEZOdTJJTjl6TkJuU0ozZzlmampYOFJhMENQTjVWa1V3WVF2Y281dlR3NTFiSkFXZXZKaGc?oc=5"" target=""_blank"">हिमाचल में बाढ़ और भूस्खलन से अब तक 78 की मौत, मौसम आज फिर मचाएगा तांडव; इन जिलों के लिए अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,hi
"India Weather Highlights: Death toll jumps to 74 after monsoon wreaks havoc in Himachal, 31 still missing - The Indian Express",https://news.google.com/rss/articles/CBMirwFBVV95cUxNaU5xa05HbHNHVFlZdWVlNVA1b0g0dG5QX1lUSk1adVZ4cmlZZkJYd0VyZ2tmazVqVEpBN1BpNXlkTkxrYUxPNURtN3Q5Z3F0ZTE3Z2MtOWRHV2FpSjl5ejFVbkFqeEZyamNXekcxWEc3em9rT0dEZTdHVDdaUDJJb3VxZXhGSzNuTmJablRiQk5CVFgyV1lnTE5jTUNZd01FdHB6THd1TlVkemIwREZR0gG2AUFVX3lxTE0wd0VmMHo4TVplYXVTSk1FSzRMRTRrN0tyVlhpYU55VFhPOG9mYXFaQnRkV2hWV0RERTBMclVVWTZ4Z19ZM0g1azg1am85Vi1Gelo2dWk5N0daNDU2b3NKRFB4amo5QlRQSzNxSjJrT3B6QkNMS3RtYU8ybnVOMVg3QkRFS0NIOVRjc2Nkc0gxa2FkV01NU2ZvbHVpTU9YLXZwa2t6OG04aGtxQ0RMcDkwS0REaV93?oc=5,2025-07-07 09:02:34,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNaU5xa05HbHNHVFlZdWVlNVA1b0g0dG5QX1lUSk1adVZ4cmlZZkJYd0VyZ2tmazVqVEpBN1BpNXlkTkxrYUxPNURtN3Q5Z3F0ZTE3Z2MtOWRHV2FpSjl5ejFVbkFqeEZyamNXekcxWEc3em9rT0dEZTdHVDdaUDJJb3VxZXhGSzNuTmJablRiQk5CVFgyV1lnTE5jTUNZd01FdHB6THd1TlVkemIwREZR0gG2AUFVX3lxTE0wd0VmMHo4TVplYXVTSk1FSzRMRTRrN0tyVlhpYU55VFhPOG9mYXFaQnRkV2hWV0RERTBMclVVWTZ4Z19ZM0g1azg1am85Vi1Gelo2dWk5N0daNDU2b3NKRFB4amo5QlRQSzNxSjJrT3B6QkNMS3RtYU8ybnVOMVg3QkRFS0NIOVRjc2Nkc0gxa2FkV01NU2ZvbHVpTU9YLXZwa2t6OG04aGtxQ0RMcDkwS0REaV93?oc=5"" target=""_blank"">India Weather Highlights: Death toll jumps to 74 after monsoon wreaks havoc in Himachal, 31 still missing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Monsoon,en
72 people killed as monsoon rain wreaks havoc in Himachal Pradesh: Deputy CM - Hindustan Times,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPV2lXVVlMakpfb1J6T3hmNktTRzRLTTNRQTlfMW1Xa3h5eW9CbW9FcS1wVG5TSEhnQ3Ywc0R1dlVqYTRlTXNaQWVnME80TUFRVlRhU1VzeHZDdXBFdFMxWklMZGY4YjNXTW5LbFpxOERpOUJockpjNWVWUDR4YUF0b1V3OHFMVF9QOWVPYkxtM0Q1U1hDcTZ4bTk2akRaM3JXTzdqdHo5V0RGRER6RTJ0V3lTRUFDcUFJWXVRUmVqLWhQSzJzYkgxbUZXSXpvY2J4eVhpcA?oc=5,2025-07-07 10:16:44,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPV2lXVVlMakpfb1J6T3hmNktTRzRLTTNRQTlfMW1Xa3h5eW9CbW9FcS1wVG5TSEhnQ3Ywc0R1dlVqYTRlTXNaQWVnME80TUFRVlRhU1VzeHZDdXBFdFMxWklMZGY4YjNXTW5LbFpxOERpOUJockpjNWVWUDR4YUF0b1V3OHFMVF9QOWVPYkxtM0Q1U1hDcTZ4bTk2akRaM3JXTzdqdHo5V0RGRER6RTJ0V3lTRUFDcUFJWXVRUmVqLWhQSzJzYkgxbUZXSXpvY2J4eVhpcA?oc=5"" target=""_blank"">72 people killed as monsoon rain wreaks havoc in Himachal Pradesh: Deputy CM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Monsoon,en
Rain ravages Himachal Pradesh: Flash floods triggered by cloudbursts leave 78 dead; Mandi worst-hit - Times of India,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPV2lJdkc5Z1haSWpsTE90ZWIydzRMNGYzMU00aGJRY3I4elFVdUpIX0RhazBVV09yaUtYX1hnTXJPZDRPVEh3dUdxejdkaFByMFQtaWNEUHhQRXYyVm5ncWR0Q2cyb0hFWnlhZzd3WV81VDNxZk0yZ3ZCdmJtcVZFVWJLRWlJei1jU2lvWEdwenJiRVE3MkpOMHRSZDVkM1c5VVI5ZDNjaWVjaGNBMDFTaWZiclRqNUQzaU5UQ01YOWdOa1ZuM0t3anVyZmtYczdiWFVDNDUtWjY3dmFPd0ZUZTdpWjNjRHFRZDF1VFRlVDdtZ9IB9wFBVV95cUxOc3I2TFBuTTFkWGRpZGxTSHd0ZjRRZGFlWEtwVXhRRmN3dmlwNE5mcm4wbENLX0ZrLURPZ1Y5MUxoM2t0RnpjakxOSy1vQWJtaDVxMWlDUFJQS0wzM253VFVTVHlQVzh0UnpnYjJad2t2bTFVUzIyby1KUnJ1V1pVNFFnYVpwOTdmZGlMbmxLSkRvMXd6ZlBGMjlwaG9jYl9yeUNId09VaGVYMVRHNU42MDdnMjFVU2s0NVVNS053anRsS3o5aUZNTVhhMmljMHAzbGFIRnNmTC1kZTdMUW14RUhjMHJraHZETjVXdGU5X3VoRHZyWmxZ?oc=5,2025-07-07 07:48:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxPV2lJdkc5Z1haSWpsTE90ZWIydzRMNGYzMU00aGJRY3I4elFVdUpIX0RhazBVV09yaUtYX1hnTXJPZDRPVEh3dUdxejdkaFByMFQtaWNEUHhQRXYyVm5ncWR0Q2cyb0hFWnlhZzd3WV81VDNxZk0yZ3ZCdmJtcVZFVWJLRWlJei1jU2lvWEdwenJiRVE3MkpOMHRSZDVkM1c5VVI5ZDNjaWVjaGNBMDFTaWZiclRqNUQzaU5UQ01YOWdOa1ZuM0t3anVyZmtYczdiWFVDNDUtWjY3dmFPd0ZUZTdpWjNjRHFRZDF1VFRlVDdtZ9IB9wFBVV95cUxOc3I2TFBuTTFkWGRpZGxTSHd0ZjRRZGFlWEtwVXhRRmN3dmlwNE5mcm4wbENLX0ZrLURPZ1Y5MUxoM2t0RnpjakxOSy1vQWJtaDVxMWlDUFJQS0wzM253VFVTVHlQVzh0UnpnYjJad2t2bTFVUzIyby1KUnJ1V1pVNFFnYVpwOTdmZGlMbmxLSkRvMXd6ZlBGMjlwaG9jYl9yeUNId09VaGVYMVRHNU42MDdnMjFVU2s0NVVNS053anRsS3o5aUZNTVhhMmljMHAzbGFIRnNmTC1kZTdMUW14RUhjMHJraHZETjVXdGU5X3VoRHZyWmxZ?oc=5"" target=""_blank"">Rain ravages Himachal Pradesh: Flash floods triggered by cloudbursts leave 78 dead; Mandi worst-hit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Monsoon,en
"Monsoon fury continues in Himachal; landslides, cloudbursts block roads & hit power - - News On AIR -",https://news.google.com/rss/articles/CBMirgFBVV95cUxQQUprX3dmVUhPQmthVU9QYjdMVm11WXoyaGI5Yi1WX3dMdlhfRGJ1U1NJMXZxd2o4YVI5ckZWMlUtNEFuOGtSdkY3TVZZeVNiRjFBVENhZ05Gb1NGTDEzb1J2NjlDR2VTZC1QR212QXl3ZUw2eVFaU2tWbGtpUEhOdmFZNUJWdGw3MEpCazFZZURNOFd6M2RwTFkyV056dWl1OTdJMkpmYld4LUVTeHc?oc=5,2025-07-07 09:14:00,News On AIR -,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQQUprX3dmVUhPQmthVU9QYjdMVm11WXoyaGI5Yi1WX3dMdlhfRGJ1U1NJMXZxd2o4YVI5ckZWMlUtNEFuOGtSdkY3TVZZeVNiRjFBVENhZ05Gb1NGTDEzb1J2NjlDR2VTZC1QR212QXl3ZUw2eVFaU2tWbGtpUEhOdmFZNUJWdGw3MEpCazFZZURNOFd6M2RwTFkyV056dWl1OTdJMkpmYld4LUVTeHc?oc=5"" target=""_blank"">Monsoon fury continues in Himachal; landslides, cloudbursts block roads & hit power -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR -</font>",Monsoon,en
"Monsoon horror in Himachal: 78 killed, several missing as cloudbursts, flash floods and landslides wreak havoc - India TV News",https://news.google.com/rss/articles/CBMimAJBVV95cUxOQk9lZU9YbDhOSmZsTnVEOWpEWjZHbkhzY0JobWhYN2lmbUcyWVo4RDQtZlhqdUFtTGhaeDM0MHFFRGp4azZVeXZhYm9RTWhFSVUzN0Z1UnBINlRpRmhYblBpNlRfRzFLZGRmajYtaWlQYlh1RjlSalBGSlR4d3UwS2I4QWdTQmMxcnVwUUtBZ1hLdFNwN3k0OVVYaXNoU2tzdXctWVBVNDFwQzg4ZWNpRlNVT211Zng3alRKdDllbUQ2YTNYWkdSdGY5ZXdXdnhkV2N6TnpMalA1UldTODk2Sk9qVGQ0dWh5dnJ4UEgwbFdpQThDUFV5X01ZRDk1d3NDM3l1S2V4RVVXQ1ZsMlhFR3FJSVBUVHJp0gGeAkFVX3lxTE9aNlRWd0RRMmVYTHJSVUNpNUtJSWc1elMzN2tqVWYxX0x3WmFDTGh5M1c5UDVqVEtPNWJzWGZhTzNIaXJUVVhWclpGN0RXcmZIM1FfZTFOWlo0b3NjYUJqeXF6Rnl1Sjd1Q1A4ZUs4alA0eE10bm9HVHZOWjQ5aUlUSXRsYTVlRUZtN2sxMk5MNmJuckc2ek5BQVFKYnhCX3IyYTQ5MERUN2tQVW94MGNzQ3ZMdVVLbGlsQlNNUm5DWnpLUklyd2hDRzA2MnFhaTZ5aEZJbEZGcFZCa1FQWGJhc2RweWNiT1ZubWZEdHRmQlNxbk8wTUMzM1JwZkpEZTRWQkQzSG5Ca3ZTZFpPQnptZ3REeFZOVnRHQURaV2c?oc=5,2025-07-07 08:31:13,India TV News,"<a href=""https://news.google.com/rss/articles/CBMimAJBVV95cUxOQk9lZU9YbDhOSmZsTnVEOWpEWjZHbkhzY0JobWhYN2lmbUcyWVo4RDQtZlhqdUFtTGhaeDM0MHFFRGp4azZVeXZhYm9RTWhFSVUzN0Z1UnBINlRpRmhYblBpNlRfRzFLZGRmajYtaWlQYlh1RjlSalBGSlR4d3UwS2I4QWdTQmMxcnVwUUtBZ1hLdFNwN3k0OVVYaXNoU2tzdXctWVBVNDFwQzg4ZWNpRlNVT211Zng3alRKdDllbUQ2YTNYWkdSdGY5ZXdXdnhkV2N6TnpMalA1UldTODk2Sk9qVGQ0dWh5dnJ4UEgwbFdpQThDUFV5X01ZRDk1d3NDM3l1S2V4RVVXQ1ZsMlhFR3FJSVBUVHJp0gGeAkFVX3lxTE9aNlRWd0RRMmVYTHJSVUNpNUtJSWc1elMzN2tqVWYxX0x3WmFDTGh5M1c5UDVqVEtPNWJzWGZhTzNIaXJUVVhWclpGN0RXcmZIM1FfZTFOWlo0b3NjYUJqeXF6Rnl1Sjd1Q1A4ZUs4alA0eE10bm9HVHZOWjQ5aUlUSXRsYTVlRUZtN2sxMk5MNmJuckc2ek5BQVFKYnhCX3IyYTQ5MERUN2tQVW94MGNzQ3ZMdVVLbGlsQlNNUm5DWnpLUklyd2hDRzA2MnFhaTZ5aEZJbEZGcFZCa1FQWGJhc2RweWNiT1ZubWZEdHRmQlNxbk8wTUMzM1JwZkpEZTRWQkQzSG5Ca3ZTZFpPQnptZ3REeFZOVnRHQURaV2c?oc=5"" target=""_blank"">Monsoon horror in Himachal: 78 killed, several missing as cloudbursts, flash floods and landslides wreak havoc</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font>",Monsoon,en
"Himachal monsoon mayhem: Cloudbursts hit Chamba, Mandi, woman swept away in Hamirpur - Hindustan Times",https://news.google.com/rss/articles/CBMi7AFBVV95cUxQSnhza25RXzZpT0pXb3ZULWlOVVBBZlFiaXFpNDVuSnBnc0lvbHB3MC1WYk9MRkRRTzdvSUczc1lnRHFWdkJId2tNVV9MXzUydmFieUFQa2RhT29UQjdHb3pma2pLeWdpRHJ3WkJTZnVXT3J1dmN1UjNHY2xaeXlJM05rZlhqOUJFQnNrSXVFaXV5d0ttNGlManlObTM1azZvdEVLOU5LZERycDRQVmxfRy1UX0RpOEdjY2tGMV9Ja0gwa1lMY2pVZFpXLUxwa09PQ3B1X29UYWxueW16SHRKNVltTlg5eWVIbWw0Zw?oc=5,2025-07-07 05:02:11,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQSnhza25RXzZpT0pXb3ZULWlOVVBBZlFiaXFpNDVuSnBnc0lvbHB3MC1WYk9MRkRRTzdvSUczc1lnRHFWdkJId2tNVV9MXzUydmFieUFQa2RhT29UQjdHb3pma2pLeWdpRHJ3WkJTZnVXT3J1dmN1UjNHY2xaeXlJM05rZlhqOUJFQnNrSXVFaXV5d0ttNGlManlObTM1azZvdEVLOU5LZERycDRQVmxfRy1UX0RpOEdjY2tGMV9Ja0gwa1lMY2pVZFpXLUxwa09PQ3B1X29UYWxueW16SHRKNVltTlg5eWVIbWw0Zw?oc=5"" target=""_blank"">Himachal monsoon mayhem: Cloudbursts hit Chamba, Mandi, woman swept away in Hamirpur</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Monsoon,en
"Himachal Weather Alert: Cloudbursts Hit Mandi, Chamba; 78 Dead Since June 20 - Deccan Herald",https://news.google.com/rss/articles/CBMiywFBVV95cUxORWU2NlNFX3pfQ0NkRkVhVlBFcURjQnNTS3pSbkFSbllvQjJzbHVpQ1M0LXJEQVZOaUJ4OU5NZHI1ZnBMQUFRSlhDLS1uNFNzQU9fZmZNY0ltdWx2bUhyMlBGWHVzWmVNSldSLXRNelRJU2hQZ1pObWkyOHA4VzRHMVVBSk5JTUsxY1Blb1BRamgwRE04cXNBQzYxUTIwODhacG5ScGNHRkdJd2lKdmhiRVJmVGNFM1hxV2JtdV9KOEZkTDM3NGtXOFFtaw?oc=5,2025-07-07 01:21:48,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxORWU2NlNFX3pfQ0NkRkVhVlBFcURjQnNTS3pSbkFSbllvQjJzbHVpQ1M0LXJEQVZOaUJ4OU5NZHI1ZnBMQUFRSlhDLS1uNFNzQU9fZmZNY0ltdWx2bUhyMlBGWHVzWmVNSldSLXRNelRJU2hQZ1pObWkyOHA4VzRHMVVBSk5JTUsxY1Blb1BRamgwRE04cXNBQzYxUTIwODhacG5ScGNHRkdJd2lKdmhiRVJmVGNFM1hxV2JtdV9KOEZkTDM3NGtXOFFtaw?oc=5"" target=""_blank"">Himachal Weather Alert: Cloudbursts Hit Mandi, Chamba; 78 Dead Since June 20</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",Monsoon,en
