Title,Link,Date,Source,Summary,Term,LanguageQueried
"Bihar Weather: सावधान! आज पूरे बिहार में होगी तूफानी बारिश, इन जिलों में आंधी-ओलावृष्टि का ऑरेंज अलर्ट जारी - Zee News",https://news.google.com/rss/articles/CBMihwJBVV95cUxNdDY3bVgzcGhmbWxnUWhfaUY4cFlYWlJEc2ZjTWo2bUo1amZsQVhDVWc2Q2NCWXZYbzdZZDd2WlpzcERnRlpZc0tDUUJ2T1V6WXFVVGFMOFFGSTh6T2xxd3hCWnhUZkg0bnJJWkl0V0dBTWFkVGNUTDJJVUsyTmR6alQ5UEFnQ0Fkakl4NzYzb0JjbUtnaHJEc3c1NmhuX3VBUDE4cDN0ZWp4Wm5nd1YxVGtNeHg5VVNBYzVIdjBxZE1iLVFuSW9kb1RsSEl6bGpuVmNKV3hmNS1ETlRnTDMyRC0xS09pOGd3enY4b3ZhSjd5THFwUWpBSWpObDRPbVktZS11bVlVTQ?oc=5,2026-04-06 07:17:19,Zee News,"<a href=""https://news.google.com/rss/articles/CBMihwJBVV95cUxNdDY3bVgzcGhmbWxnUWhfaUY4cFlYWlJEc2ZjTWo2bUo1amZsQVhDVWc2Q2NCWXZYbzdZZDd2WlpzcERnRlpZc0tDUUJ2T1V6WXFVVGFMOFFGSTh6T2xxd3hCWnhUZkg0bnJJWkl0V0dBTWFkVGNUTDJJVUsyTmR6alQ5UEFnQ0Fkakl4NzYzb0JjbUtnaHJEc3c1NmhuX3VBUDE4cDN0ZWp4Wm5nd1YxVGtNeHg5VVNBYzVIdjBxZE1iLVFuSW9kb1RsSEl6bGpuVmNKV3hmNS1ETlRnTDMyRC0xS09pOGd3enY4b3ZhSjd5THFwUWpBSWpObDRPbVktZS11bVlVTQ?oc=5"" target=""_blank"">Bihar Weather: सावधान! आज पूरे बिहार में होगी तूफानी बारिश, इन जिलों में आंधी-ओलावृष्टि का ऑरेंज अलर्ट जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Monsoon,hi
"IMD Weather Update: दिल्ली, यूपी और बिहार में गरज, तूफान के साथ बारिश का अलर्ट, कई राज्यों में भी बदलेगा मौसम का मिजाज - Moneycontrol Hindi",https://news.google.com/rss/articles/CBMiuwFBVV95cUxQUU54MGllbV9oTGo5cEljOTgweVBFM002a3JDUmttcjJEUGZLRFdXT0F6UWpyMzhQVjEwUVRYbmpjLXpVR2V0QU05Q0phT193bDVXVXJ6S2FyR2E2UENkeVY2cjYzX0NtczVZRE45anBTeTdXMnNwR2FuV09Eb0FmNWpSa0JZaHVrYjNBcXQxaDBuR1doWGdlMlowb2lKeG4wS2h0UkNuTzAxUTNBZTZqa0VRejNndmZ5WXZ30gHAAUFVX3lxTE4yb2JCME9RVjFjb0ZFelhSV1hLcVNNS1dnMnJvSTE1c2doamxiTWZ0V1Voang1bXdkZmRZR3FER25LSE5tcEpVVlhIc3NOWUVFbEdrbjhYNURfb2dMdkR4U3BwbVNBT2xGbnVsckd6WHFxVjVUYW96Z1FaOFg1RWlHMlRkcjFWbjN2M0c2UjB2VEpHMHZucXAzRDFvNWxZSUtTOXFLZlZna3JzbHNXbkg4VmtfQWtfVE9pdmRUVXdtVA?oc=5,2026-04-06 09:43:19,Moneycontrol Hindi,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQUU54MGllbV9oTGo5cEljOTgweVBFM002a3JDUmttcjJEUGZLRFdXT0F6UWpyMzhQVjEwUVRYbmpjLXpVR2V0QU05Q0phT193bDVXVXJ6S2FyR2E2UENkeVY2cjYzX0NtczVZRE45anBTeTdXMnNwR2FuV09Eb0FmNWpSa0JZaHVrYjNBcXQxaDBuR1doWGdlMlowb2lKeG4wS2h0UkNuTzAxUTNBZTZqa0VRejNndmZ5WXZ30gHAAUFVX3lxTE4yb2JCME9RVjFjb0ZFelhSV1hLcVNNS1dnMnJvSTE1c2doamxiTWZ0V1Voang1bXdkZmRZR3FER25LSE5tcEpVVlhIc3NOWUVFbEdrbjhYNURfb2dMdkR4U3BwbVNBT2xGbnVsckd6WHFxVjVUYW96Z1FaOFg1RWlHMlRkcjFWbjN2M0c2UjB2VEpHMHZucXAzRDFvNWxZSUtTOXFLZlZna3JzbHNXbkg4VmtfQWtfVE9pdmRUVXdtVA?oc=5"" target=""_blank"">IMD Weather Update: दिल्ली, यूपी और बिहार में गरज, तूफान के साथ बारिश का अलर्ट, कई राज्यों में भी बदलेगा मौसम का मिजाज</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol Hindi</font>",Monsoon,hi
IMD issues orange alert for heavy rain Rajasthan Bihar Jharkhand - newsbytesapp.com,https://news.google.com/rss/articles/CBMirgFBVV95cUxQMlpzZE1UZDR5VXd1aTJoSHYxRWdsVi1TU2JZMlcyYy1SckxOaTBzVER1OWtrUFMxRnFkRkliUEppNGVVUFFzVFpNTUZFVTg3YzZRTFdrSUJ6MjhDZHFieTQwWEtrNWQzNktlY0VVbTQ0SjV1djd4bFFVOHEtWXljSnFadHEwMkJLNXA1eHpUQm5FVXY1NXI0QXUtdTF6MnA3NUx1QjJxN0N6LXYtV2c?oc=5,2026-04-06 10:20:42,newsbytesapp.com,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQMlpzZE1UZDR5VXd1aTJoSHYxRWdsVi1TU2JZMlcyYy1SckxOaTBzVER1OWtrUFMxRnFkRkliUEppNGVVUFFzVFpNTUZFVTg3YzZRTFdrSUJ6MjhDZHFieTQwWEtrNWQzNktlY0VVbTQ0SjV1djd4bFFVOHEtWXljSnFadHEwMkJLNXA1eHpUQm5FVXY1NXI0QXUtdTF6MnA3NUx1QjJxN0N6LXYtV2c?oc=5"" target=""_blank"">IMD issues orange alert for heavy rain Rajasthan Bihar Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsbytesapp.com</font>",Monsoon,en
"Monsoon Alert – Heavy Rain and Storms to Hit 10 States, Know the Forecast - timesbull.com",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPYk9DNWRadm44blVRZ0NlRFpvOG9DNmpvcVZWOFpxWVdxcGhXRHpXY2FuUi1PTVhSMEhKTW1VbG1CaU1MZ2xsanJnZVA0U3R0TC16bFJjZGVnNkYwSG1JeXlpR055UjNBYlFtYXNOTVl4MFFzd1hKRnBhM3E0X05JT3hIZDgxRjZuT3JjWVdrc3h3dVBpbm92QmJoMlR4a0RPRmRXRHF6VWRnV2NDZ1c4RmRmMm94OVZDZFlB?oc=5,2026-04-06 06:33:43,timesbull.com,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPYk9DNWRadm44blVRZ0NlRFpvOG9DNmpvcVZWOFpxWVdxcGhXRHpXY2FuUi1PTVhSMEhKTW1VbG1CaU1MZ2xsanJnZVA0U3R0TC16bFJjZGVnNkYwSG1JeXlpR055UjNBYlFtYXNOTVl4MFFzd1hKRnBhM3E0X05JT3hIZDgxRjZuT3JjWVdrc3h3dVBpbm92QmJoMlR4a0RPRmRXRHF6VWRnV2NDZ1c4RmRmMm94OVZDZFlB?oc=5"" target=""_blank"">Monsoon Alert – Heavy Rain and Storms to Hit 10 States, Know the Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">timesbull.com</font>",Monsoon,en
Monsoon Forecast – IMD Issues Heavy Rain & Hailstorm Warning for 12 States Over Next 48 Hours - timesbull.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOa1hWZHhYelk2V1diVmR0UXlrUjJ1aGtIbk0tMjBmNkw3QzVHdjFIVHpNSWEyczZOeTBIYUNrc3VIclc1cVB3Tko0VnJiTzBpQUxNVFo0ZkxIWWxadlhoLWFuSExtMkotZTBRNk5ZNkp5blp0Zjdtcld2RWdFYldlUTVkeFBVbXpjV2xkTHRQNUdhR08zRHF5R19hemhqVXJiMkVDalQ2Y3k3UU9mUmkydEhsUGQ3bnpYV3p6dGFYb0xpdnpic2dPT0s0cUFBODVDajBuMw?oc=5,2026-04-06 11:46:45,timesbull.com,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOa1hWZHhYelk2V1diVmR0UXlrUjJ1aGtIbk0tMjBmNkw3QzVHdjFIVHpNSWEyczZOeTBIYUNrc3VIclc1cVB3Tko0VnJiTzBpQUxNVFo0ZkxIWWxadlhoLWFuSExtMkotZTBRNk5ZNkp5blp0Zjdtcld2RWdFYldlUTVkeFBVbXpjV2xkTHRQNUdhR08zRHF5R19hemhqVXJiMkVDalQ2Y3k3UU9mUmkydEhsUGQ3bnpYV3p6dGFYb0xpdnpic2dPT0s0cUFBODVDajBuMw?oc=5"" target=""_blank"">Monsoon Forecast – IMD Issues Heavy Rain & Hailstorm Warning for 12 States Over Next 48 Hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">timesbull.com</font>",Monsoon,en
"Weather today: Rajasthan, Bihar, Jharkhand on IMD's orange alert for heavy rains — see full forecast here - Mint",https://news.google.com/rss/articles/CBMi6wFBVV95cUxPTk10SUJwandVaEptejNDdWlrZV9TRm0xdEJGd21za3BZcTNlVncxMU52UUxxQkZhU21xMXBCVmpTYW80YzJkMGFVbUJqZzBORnZmei1kNTNndWRTWl93WEp0c3kxdE5SOVNva0V3Q1VveUJBcnd3ZnZZcWN4MkRFN1QyWllzWTdkRXRMS2hBakdGNGJHUUxqV1NiWnN3cWhncFFqYUItYlM4RHJZTmVTU0lTUjdrQXMxZ3pQRjJ3bGgzTWFLaUl3enVoZ09pRU9mT3paelU5emdPZ2wzek9vRjJ3OVowZ09RcWV30gHwAUFVX3lxTE1aMnZxR2tqSkZFQnFBeHo1N2d5NW14dnhUQjNvejhhOTFYSXNkci16NGxERHhLREJqZ3ZQbWtBQTc1clJhdWpiNVdwUndiWEtGakJwcnItUUxoWHA3UHp5NUNFYlhyRHh2c2NLbE9qa2xyLUNqVWh0THlZcElobkkybDdPblAzMGRXQkJqb3pERDBPRTd0VkpjRDlIdU81ejgtTFpxbU1kWHlUQ0hnYUJTa3IybEZnM2J3WWlqMDVlYW5MWlAzcFZidnR2YTZjVkFNc1RCdjJldmhpaG1QRGgxRTV5SWZ2TW1jRHB3VkhMeg?oc=5,2026-04-06 06:48:50,Mint,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPTk10SUJwandVaEptejNDdWlrZV9TRm0xdEJGd21za3BZcTNlVncxMU52UUxxQkZhU21xMXBCVmpTYW80YzJkMGFVbUJqZzBORnZmei1kNTNndWRTWl93WEp0c3kxdE5SOVNva0V3Q1VveUJBcnd3ZnZZcWN4MkRFN1QyWllzWTdkRXRMS2hBakdGNGJHUUxqV1NiWnN3cWhncFFqYUItYlM4RHJZTmVTU0lTUjdrQXMxZ3pQRjJ3bGgzTWFLaUl3enVoZ09pRU9mT3paelU5emdPZ2wzek9vRjJ3OVowZ09RcWV30gHwAUFVX3lxTE1aMnZxR2tqSkZFQnFBeHo1N2d5NW14dnhUQjNvejhhOTFYSXNkci16NGxERHhLREJqZ3ZQbWtBQTc1clJhdWpiNVdwUndiWEtGakJwcnItUUxoWHA3UHp5NUNFYlhyRHh2c2NLbE9qa2xyLUNqVWh0THlZcElobkkybDdPblAzMGRXQkJqb3pERDBPRTd0VkpjRDlIdU81ejgtTFpxbU1kWHlUQ0hnYUJTa3IybEZnM2J3WWlqMDVlYW5MWlAzcFZidnR2YTZjVkFNc1RCdjJldmhpaG1QRGgxRTV5SWZ2TW1jRHB3VkhMeg?oc=5"" target=""_blank"">Weather today: Rajasthan, Bihar, Jharkhand on IMD's orange alert for heavy rains — see full forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,en
"IMD Forecasts Rain, Hailstorms In Several States As Western Disturbance Intensifies - ndtvprofit.com",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNcjZTZ0RDV21fNFFzNmxmZ2FrRWUtdlMtZWJseFpwdHR5dVdaYTYzamZaWTFhdXRnQXNjNC1rQlR4LV9HX3VSLXpJaTVPTkphTUM0V2NXMTgyNUdUcVc1azNVYXRQeEVvWXdmODhQcFNRZ244bW1rRGlNX1RqZ0NPS3dsT09GRGdDVU4wRjhqTHQwV2pWZWFrUzZ6VzUxTFkwdTlFZGVIam5wcG9vN0QyRWNUVUxhWEsxcmZsbkJiNlNuQdIBygFBVV95cUxQTWJqdHo2ZjlRcnluQ2oxWmRUQ2NHTk5Sek9vbTdnN3FyWmxFVms0UGpJeUNZS0xOa2xjOVNFRnpveXh5N1hYWmJ6OHp2WmJOMUM0eDNDT3VLbGRMeVEzN2wtTkEzOWZTMDRvczd6MkktLVpVN2hvZFdjUDlDTnVoSjNtcnB6ak9rQ3hCSVhqb3JoVnY4YXNmeTJKYlZoRTIzYVFaOWtsTnd6UllQUDFBNXRGdWtpTmlpLUhsMXpJQUdNVnYwUV83VzV3?oc=5,2026-04-06 09:51:04,ndtvprofit.com,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNcjZTZ0RDV21fNFFzNmxmZ2FrRWUtdlMtZWJseFpwdHR5dVdaYTYzamZaWTFhdXRnQXNjNC1rQlR4LV9HX3VSLXpJaTVPTkphTUM0V2NXMTgyNUdUcVc1azNVYXRQeEVvWXdmODhQcFNRZ244bW1rRGlNX1RqZ0NPS3dsT09GRGdDVU4wRjhqTHQwV2pWZWFrUzZ6VzUxTFkwdTlFZGVIam5wcG9vN0QyRWNUVUxhWEsxcmZsbkJiNlNuQdIBygFBVV95cUxQTWJqdHo2ZjlRcnluQ2oxWmRUQ2NHTk5Sek9vbTdnN3FyWmxFVms0UGpJeUNZS0xOa2xjOVNFRnpveXh5N1hYWmJ6OHp2WmJOMUM0eDNDT3VLbGRMeVEzN2wtTkEzOWZTMDRvczd6MkktLVpVN2hvZFdjUDlDTnVoSjNtcnB6ak9rQ3hCSVhqb3JoVnY4YXNmeTJKYlZoRTIzYVFaOWtsTnd6UllQUDFBNXRGdWtpTmlpLUhsMXpJQUdNVnYwUV83VzV3?oc=5"" target=""_blank"">IMD Forecasts Rain, Hailstorms In Several States As Western Disturbance Intensifies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ndtvprofit.com</font>",Monsoon,en
"Weather today: Rajasthan, Bihar, Jharkhand on IMD's orange alert for heavy rains — see full forecast here - Mint",https://news.google.com/rss/articles/CBMi8AFBVV95cUxNWjJ2cUdrakpGRUJxQXh6NTdneTVteHZ4VEIzb3o4YTkxWElzZHItejRsRER4S0RCamd2UG1rQUE3NXJSYXVqYjVXcFJ3YlhLRmpCcHJyLVFMaFhwN1B6eTVDRWJYckR4dnNjS2xPamtsci1DalVodEx5WXBJaG5JMmw3T25QMzBkV0JCam96REQwT0U3dFZKY0Q5SHVPNXo4LUxacW1NZFh5VENIZ2FCU2tyMmxGZzNid1lpajA1ZWFuTFpQM3BWYnZ0dmE2Y1ZBTXNUQnYyZXZoaWhtUERoMUU1eUlmdk1tY0Rwd1ZITHrSAfABQVVfeXFMTVoydnFHa2pKRkVCcUF4ejU3Z3k1bXh2eFRCM296OGE5MVhJc2RyLXo0bEREeEtEQmpndlBta0FBNzVyUmF1amI1V3BSd2JYS0ZqQnByci1RTGhYcDdQenk1Q0ViWHJEeHZzY0tsT2prbHItQ2pVaHRMeVlwSWhuSTJsN09uUDMwZFdCQmpvekREME9FN3RWSmNEOUh1TzV6OC1MWnFtTWRYeVRDSGdhQlNrcjJsRmczYndZaWowNWVhbkxaUDNwVmJ2dHZhNmNWQU1zVEJ2MmV2aGlobVBEaDFFNXlJZnZNbWNEcHdWSEx6?oc=5,2026-04-06 06:48:50,Mint,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxNWjJ2cUdrakpGRUJxQXh6NTdneTVteHZ4VEIzb3o4YTkxWElzZHItejRsRER4S0RCamd2UG1rQUE3NXJSYXVqYjVXcFJ3YlhLRmpCcHJyLVFMaFhwN1B6eTVDRWJYckR4dnNjS2xPamtsci1DalVodEx5WXBJaG5JMmw3T25QMzBkV0JCam96REQwT0U3dFZKY0Q5SHVPNXo4LUxacW1NZFh5VENIZ2FCU2tyMmxGZzNid1lpajA1ZWFuTFpQM3BWYnZ0dmE2Y1ZBTXNUQnYyZXZoaWhtUERoMUU1eUlmdk1tY0Rwd1ZITHrSAfABQVVfeXFMTVoydnFHa2pKRkVCcUF4ejU3Z3k1bXh2eFRCM296OGE5MVhJc2RyLXo0bEREeEtEQmpndlBta0FBNzVyUmF1amI1V3BSd2JYS0ZqQnByci1RTGhYcDdQenk1Q0ViWHJEeHZzY0tsT2prbHItQ2pVaHRMeVlwSWhuSTJsN09uUDMwZFdCQmpvekREME9FN3RWSmNEOUh1TzV6OC1MWnFtTWRYeVRDSGdhQlNrcjJsRmczYndZaWowNWVhbkxaUDNwVmJ2dHZhNmNWQU1zVEJ2MmV2aGlobVBEaDFFNXlJZnZNbWNEcHdWSEx6?oc=5"" target=""_blank"">Weather today: Rajasthan, Bihar, Jharkhand on IMD's orange alert for heavy rains — see full forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,en
"Weather today: Rajasthan, Bihar, Jharkhand on IMD's orange alert for heavy rains — see full forecast here - MSN",https://news.google.com/rss/articles/CBMi4wFBVV95cUxNV1lxcjN5UzV4eExZOG5PMVVNbHFFeDRKa1ZiRUlYNjcyV0puelBXRVVwN1hSaXc1Q0VxQm03THVoWDBKNW1hUHVPWFhpdVB5NnlpSDFMY2ptZXItZlBCRXUwdEhaZXhZaWw3OThOQ2UxM0xlQjNUQTJhQ2E3NFlPelFvbXI4N3N2OFZpbDZxakIxdnRmUFVqS3JjQmdPZXdheG5Xd2w4Z1ZCS1FiV1c4VHZ0b0FUME91akhRbEtPS20yRWhNTXFVOHV2SHUwRWRXSTBETWVaa05MNUNkdFRvRVV6VQ?oc=5,2026-04-06 07:28:11,MSN,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxNV1lxcjN5UzV4eExZOG5PMVVNbHFFeDRKa1ZiRUlYNjcyV0puelBXRVVwN1hSaXc1Q0VxQm03THVoWDBKNW1hUHVPWFhpdVB5NnlpSDFMY2ptZXItZlBCRXUwdEhaZXhZaWw3OThOQ2UxM0xlQjNUQTJhQ2E3NFlPelFvbXI4N3N2OFZpbDZxakIxdnRmUFVqS3JjQmdPZXdheG5Xd2w4Z1ZCS1FiV1c4VHZ0b0FUME91akhRbEtPS20yRWhNTXFVOHV2SHUwRWRXSTBETWVaa05MNUNkdFRvRVV6VQ?oc=5"" target=""_blank"">Weather today: Rajasthan, Bihar, Jharkhand on IMD's orange alert for heavy rains — see full forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
"Agri Minister takes stock of crop losses from hailstorm, heavy rainfall as fresh WD looms - Kashmir Reader",https://news.google.com/rss/articles/CBMixAFBVV95cUxPQmtsTVJQZnBzN1FUTFA2Z1oxYzdGZ3NNUU5wX2I4Z1ZYaGFMM2V1RG13R1VFSDZCb2ozT214SmJieXp5NzBsZVdySm1XaWRMLTFMZmhsNHU5SzlJc2xVNVhVdEFjMDBBMU1yMmZEWVJoZ3daUHc0d2JuWkNueTd0MDd6QVdoWlJYaW9SNHgxZkxXbkstR0tZYTlWUFZfUGw5VWpLVnNTaGcwLUVUZE96YUFYZW9fdG9BUHI2QVRuQlg2c1hM?oc=5,2026-04-06 03:14:57,Kashmir Reader,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPQmtsTVJQZnBzN1FUTFA2Z1oxYzdGZ3NNUU5wX2I4Z1ZYaGFMM2V1RG13R1VFSDZCb2ozT214SmJieXp5NzBsZVdySm1XaWRMLTFMZmhsNHU5SzlJc2xVNVhVdEFjMDBBMU1yMmZEWVJoZ3daUHc0d2JuWkNueTd0MDd6QVdoWlJYaW9SNHgxZkxXbkstR0tZYTlWUFZfUGw5VWpLVnNTaGcwLUVUZE96YUFYZW9fdG9BUHI2QVRuQlg2c1hM?oc=5"" target=""_blank"">Agri Minister takes stock of crop losses from hailstorm, heavy rainfall as fresh WD looms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir Reader</font>",Monsoon,en
