Title,Link,Date,Source,Summary,Term,LanguageQueried
"Bihar Weather Update: बिहार के तीन जिलों में भारी बारिश का अलर्ट, 2-3 दिनों बाद 3 डिग्री तक बढ़ेगा राज्य का तापमान - Jagran",https://news.google.com/rss/articles/CBMitwFBVV95cUxQNWV2N0lXRjdUSVZYTEZ4T1IzZ01vNDZKOHBwenJlb09OdGNFazN6VzhzQ1ZMMFN0Yk5HZUg4THlvMkctblY5cnQ0bUZ4MklUWXduNFpDa2tJYTNoT2I2X3RLb2xSMTVUdUpUTkZPY3dYZGhXSXM3cjFuckk1ZUVZbGFvUi1FLWVLVy0ta0lyYlZ6MEFTUDlMMUR0cUcweWdxSG15b185WUVmX3VEdkFzVWFKdU56X2c?oc=5,2026-09-18 07:33:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQNWV2N0lXRjdUSVZYTEZ4T1IzZ01vNDZKOHBwenJlb09OdGNFazN6VzhzQ1ZMMFN0Yk5HZUg4THlvMkctblY5cnQ0bUZ4MklUWXduNFpDa2tJYTNoT2I2X3RLb2xSMTVUdUpUTkZPY3dYZGhXSXM3cjFuckk1ZUVZbGFvUi1FLWVLVy0ta0lyYlZ6MEFTUDlMMUR0cUcweWdxSG15b185WUVmX3VEdkFzVWFKdU56X2c?oc=5"" target=""_blank"">Bihar Weather Update: बिहार के तीन जिलों में भारी बारिश का अलर्ट, 2-3 दिनों बाद 3 डिग्री तक बढ़ेगा राज्य का तापमान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,hi
"मॉनसून जाते-जाते बरसाएगा कहर! दिल्ली-NCR, यूपी-बिहार समेत कई राज्यों में भारी बारिश का अलर्ट, जानें किन इलाकों में होगा असर - Janbhawna Times",https://news.google.com/rss/articles/CBMizgFBVV95cUxNUzN3UGtES19paWtMcV9YMEVZQTJtSm0xUHNwclBzU1h4NWtYNDJSaTI0bWtoa3l2S25NMjNSczFiRVQ1U3ZZbVNTZ0V5dXVxMzN1RUhuc3dCa2JNUXBJQ3B3dzRXU1U3LXMyOW1qNnY4Qm9pM2pqSkNFTTA3V1UwZ2xSMjJSclJpN2dndUE2ZkxodURuZjRaSlV2VDJheWlOODhGRS05RTlpenVwa3dlcldkNUVkcjFLYk5jZ01FMjZIc3h3Y29zT19Nank5Zw?oc=5,2026-09-18 09:40:00,Janbhawna Times,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNUzN3UGtES19paWtMcV9YMEVZQTJtSm0xUHNwclBzU1h4NWtYNDJSaTI0bWtoa3l2S25NMjNSczFiRVQ1U3ZZbVNTZ0V5dXVxMzN1RUhuc3dCa2JNUXBJQ3B3dzRXU1U3LXMyOW1qNnY4Qm9pM2pqSkNFTTA3V1UwZ2xSMjJSclJpN2dndUE2ZkxodURuZjRaSlV2VDJheWlOODhGRS05RTlpenVwa3dlcldkNUVkcjFLYk5jZ01FMjZIc3h3Y29zT19Nank5Zw?oc=5"" target=""_blank"">मॉनसून जाते-जाते बरसाएगा कहर! दिल्ली-NCR, यूपी-बिहार समेत कई राज्यों में भारी बारिश का अलर्ट, जानें किन इलाकों में होगा असर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Janbhawna Times</font>",Monsoon,hi
"Bihar Weather Update: बिहार के तीन जिलों में भारी बारिश का अलर्ट, 2-3 दिनों बाद 3 डिग्री तक बढ़ेगा राज्य का तापमान - bihar weather update heavy rain alert temperature to rise soon - Head Topics",https://news.google.com/rss/articles/CBMibEFVX3lxTE0zWTl4R2p6aUxPVWRheEt3SnFtMEVpaDkwRktwa1o0b2xMVUZaU0tVNHR0bFc3azZrYTBGdEQ1aWtPeGtBcGZDT0cwQm1GVEljV3I2eW1UQndVamN1elpZRXp6MXZ3QTllZXBYMw?oc=5,2026-09-18 07:45:00,Head Topics,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE0zWTl4R2p6aUxPVWRheEt3SnFtMEVpaDkwRktwa1o0b2xMVUZaU0tVNHR0bFc3azZrYTBGdEQ1aWtPeGtBcGZDT0cwQm1GVEljV3I2eW1UQndVamN1elpZRXp6MXZ3QTllZXBYMw?oc=5"" target=""_blank"">Bihar Weather Update: बिहार के तीन जिलों में भारी बारिश का अलर्ट, 2-3 दिनों बाद 3 डिग्री तक बढ़ेगा राज्य का तापमान - bihar weather update heavy rain alert temperature to rise soon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Head Topics</font>",Monsoon,hi
"Jharkhand Weather: झारखंड में आज फिर बरसेंगे बादल, रांची समेत कई जिलों में अगले कुछ दिनों तक भारी बारिश की चेतावनी - jharkhand weather update heavy rain alert for ranchi and many districts temperature drop - Jagran",https://news.google.com/rss/articles/CBMi2gFBVV95cUxNb2xuV1VRanh6S0EweTByUl9yZUgwZG5ueUtFMDlNcWtDSkVFOTFQYWp3OTdIUVZyV0lyRFIyMm5JanBoNHlDNEJrR0o4S3lRc3NjTlcwOUZBQnp4U0ZjdXZLeVNWUGJ2OEhEa19FcjR4dlhGbE9JV1JiaVU4V2hzbzRrR1NXa3kzdS02Mk5NSDBnT2YtWGxselYzcmRwNHRnUTYyLXgxVWFKOTUxSmVTZVBaeU8xVnE4dVdkSGlodE1MUzMtSTZBcVQzTHIxb2pBdTVGeXZyOTJ4UQ?oc=5,2026-09-18 07:48:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNb2xuV1VRanh6S0EweTByUl9yZUgwZG5ueUtFMDlNcWtDSkVFOTFQYWp3OTdIUVZyV0lyRFIyMm5JanBoNHlDNEJrR0o4S3lRc3NjTlcwOUZBQnp4U0ZjdXZLeVNWUGJ2OEhEa19FcjR4dlhGbE9JV1JiaVU4V2hzbzRrR1NXa3kzdS02Mk5NSDBnT2YtWGxselYzcmRwNHRnUTYyLXgxVWFKOTUxSmVTZVBaeU8xVnE4dVdkSGlodE1MUzMtSTZBcVQzTHIxb2pBdTVGeXZyOTJ4UQ?oc=5"" target=""_blank"">Jharkhand Weather: झारखंड में आज फिर बरसेंगे बादल, रांची समेत कई जिलों में अगले कुछ दिनों तक भारी बारिश की चेतावनी - jharkhand weather update heavy rain alert for ranchi and many districts temperature drop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,hi
"Jharkhand Weather: झारखंड में आज फिर बरसेंगे बादल, रांची समेत कई जिलों में अगले कुछ दिनों तक भारी बारिश की चेतावनी - jharkhand weather update heavy rain alert for ranchi and many districts temperature drop - Head Topics",https://news.google.com/rss/articles/CBMibEFVX3lxTFBJNzVtTWQxdnBLSnZ1eTd1TWd3VlhITnd2XzVvYl9LenFKZzhYZXMyQ3Vob1BvbFM3V0Q0MzBXSUttdGltcmxfSmV1OE1ORFhXMVVDa2dOQXlMaUhJYTMxVjZqZTZpR0hPN0hsMQ?oc=5,2026-09-18 08:02:00,Head Topics,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTFBJNzVtTWQxdnBLSnZ1eTd1TWd3VlhITnd2XzVvYl9LenFKZzhYZXMyQ3Vob1BvbFM3V0Q0MzBXSUttdGltcmxfSmV1OE1ORFhXMVVDa2dOQXlMaUhJYTMxVjZqZTZpR0hPN0hsMQ?oc=5"" target=""_blank"">Jharkhand Weather: झारखंड में आज फिर बरसेंगे बादल, रांची समेत कई जिलों में अगले कुछ दिनों तक भारी बारिश की चेतावनी - jharkhand weather update heavy rain alert for ranchi and many districts temperature drop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Head Topics</font>",Monsoon,hi
बिहार मौसम अलर्ट: 13 जिलों में कल भारी बारिश और तूफान - Prabhat Khabar,https://news.google.com/rss/articles/CBMizwFBVV95cUxQdHdoaFVzNFZPN0ZuZ09WTmRHUTZSRmFZT0pLY2kzUXNfVUVTRVRyOVlJQU83a0NwRmdPeEZYd1FYWlhxSVR3ZVQzRjVQQk1iQ2NfUkNqZ1lBa2E2cnZKN0NBRUZjNHRNSmxON3BmQjVxMU80RjNNQkRGQ3VCNXdqbloyTDFWc3c3NHBoS0RZdXBCR2IwcFNkN3YwSGN4ck9hMU9uSkUzU3pVQzZsa2ZQNUg1eDB0QTFpSXdlY0lPRUpHaVRBVzFHaE9QaHBXTGs?oc=5,2026-09-18 14:28:33,Prabhat Khabar,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQdHdoaFVzNFZPN0ZuZ09WTmRHUTZSRmFZT0pLY2kzUXNfVUVTRVRyOVlJQU83a0NwRmdPeEZYd1FYWlhxSVR3ZVQzRjVQQk1iQ2NfUkNqZ1lBa2E2cnZKN0NBRUZjNHRNSmxON3BmQjVxMU80RjNNQkRGQ3VCNXdqbloyTDFWc3c3NHBoS0RZdXBCR2IwcFNkN3YwSGN4ck9hMU9uSkUzU3pVQzZsa2ZQNUg1eDB0QTFpSXdlY0lPRUpHaVRBVzFHaE9QaHBXTGs?oc=5"" target=""_blank"">बिहार मौसम अलर्ट: 13 जिलों में कल भारी बारिश और तूफान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prabhat Khabar</font>",Monsoon,hi
"Southwest monsoon advances further into eastern, southern India, heavy rains forecast for northeast - DD News",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQaktSUUxBdzZuaE9oMnkxSXhnVF92T1l5TWFLN1V0WXBZb2E0My1lQUZCcV93MjFBQzJJNFh5U3QyS0NQVzdhbGV6Vm9DVUFLNnRTdlpfazNhMHNSU1BxbHY0N1FwbDdXSHptSGpCSURzaGpzYkllcXVZYnlyQmtHOGRtRGR3TDBHX3kwajlOSWdZcHBmOUVqTDlxV3ktSjVpUjhTUkNJZE96LXhJLWFQbFpPMkhWZmRYVlFqaFZNdDc?oc=5,2026-09-18 00:43:22,DD News,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQaktSUUxBdzZuaE9oMnkxSXhnVF92T1l5TWFLN1V0WXBZb2E0My1lQUZCcV93MjFBQzJJNFh5U3QyS0NQVzdhbGV6Vm9DVUFLNnRTdlpfazNhMHNSU1BxbHY0N1FwbDdXSHptSGpCSURzaGpzYkllcXVZYnlyQmtHOGRtRGR3TDBHX3kwajlOSWdZcHBmOUVqTDlxV3ktSjVpUjhTUkNJZE96LXhJLWFQbFpPMkhWZmRYVlFqaFZNdDc?oc=5"" target=""_blank"">Southwest monsoon advances further into eastern, southern India, heavy rains forecast for northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DD News</font>",Monsoon,en
"Weather Update: Heavy Rain Likely In Gujarat, Maharashtra, Odisha; Check IMD Forecast For Delhi, UP - The Daily Jagran",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOVUJEcGRFcV9SS0Q5QjkyWlJIYUxFMXUtVFRHR1dhalIxcUpCaE5PN29WYmhKYWFHeGFhUDJnRnBmbXZXazNXYTAxeGZEWUFkZThVcTdtR01zWFlMVnJJV29zYl82M1JJTnpZVXJybVNWUVYxNmdfZHlzTHFLZmd6RGVTNmVuVm1udFlTbDBFaVU0MDgxQ0lCQzBtTGRrd09raVZ4RHpmbktVdENWTDFoMmczV285VkpUaVRsbGpDSEhYUWdjNVF5MXlRSUJ1N2pRbjM1Qk9OaTdMVjQ5NlHSAeQBQVVfeXFMUGtHSEMxM05jeDZvbDlqYXR0enlBaHlCZ0NXMkZXMEc0Q0s3dW1iUG94MnJqbGdSRFI2REhGNmx1X2pXODltUHlCdW5fdEY0ekhna0dhUVY3SWZSM0tGNnlJRWV6d1dXS0xIWlpiVHRRS1dwU1JBRFFTaHpnZkhhN3JSOS04cHpZRzFOemhMTHl1MmFoTDVQbUF4Mlc1emVUSFJQVUpDR3o3ZWR5OVZJQ2ZuYjBtTTJrNjFrWmMxOW1yb3BuZkJHcUtDS1FEVGgyMXQ3dEZmNXdTd2pEdVN3dUw3bTJI?oc=5,2026-09-18 07:56:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOVUJEcGRFcV9SS0Q5QjkyWlJIYUxFMXUtVFRHR1dhalIxcUpCaE5PN29WYmhKYWFHeGFhUDJnRnBmbXZXazNXYTAxeGZEWUFkZThVcTdtR01zWFlMVnJJV29zYl82M1JJTnpZVXJybVNWUVYxNmdfZHlzTHFLZmd6RGVTNmVuVm1udFlTbDBFaVU0MDgxQ0lCQzBtTGRrd09raVZ4RHpmbktVdENWTDFoMmczV285VkpUaVRsbGpDSEhYUWdjNVF5MXlRSUJ1N2pRbjM1Qk9OaTdMVjQ5NlHSAeQBQVVfeXFMUGtHSEMxM05jeDZvbDlqYXR0enlBaHlCZ0NXMkZXMEc0Q0s3dW1iUG94MnJqbGdSRFI2REhGNmx1X2pXODltUHlCdW5fdEY0ekhna0dhUVY3SWZSM0tGNnlJRWV6d1dXS0xIWlpiVHRRS1dwU1JBRFFTaHpnZkhhN3JSOS04cHpZRzFOemhMTHl1MmFoTDVQbUF4Mlc1emVUSFJQVUpDR3o3ZWR5OVZJQ2ZuYjBtTTJrNjFrWmMxOW1yb3BuZkJHcUtDS1FEVGgyMXQ3dEZmNXdTd2pEdVN3dUw3bTJI?oc=5"" target=""_blank"">Weather Update: Heavy Rain Likely In Gujarat, Maharashtra, Odisha; Check IMD Forecast For Delhi, UP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Monsoon,en
Delhi weather: Dry spell ahead as monsoon withdrawal begins on September 19 - Business Standard,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOVi0zYmpuYUtwNnllSF9NVG1JMlBVNnlaVnBDbmJEdC05c3ZnNXJYeUdPVTF2dDVBRExWWlhBWGRDUTN5VFphM2hOa3p6OF9rM0hfaEcxWGJBWHFTV043S3otQzNlSjBOcnlSbEprcVA0LXoyWVk1Y0V5aU1iZEVvaV9fdHZfQUd6andvOWJIM18xOGlnUFZ1N2NfREtrQXpJY0pQUnUzYmhaLUpmSmF3Q0RLenBELXlUQTJtTEk0VWY0bzkzZEZuV3B0NmhTY3lOQVZvMkNR0gHbAUFVX3lxTE5LWG1femlMWkFuOEJINkJRcnNsVmpUODFFSFJ2YURmcEVjcEYxY0syanRQRTh5cGdMTElPYjBPNTNLWWJBVTVBV1JBOTU5cTN6UE9CUHVUZVplajhNYVNRZjlqSl9NTXhWYzYzV2htbWtQa1JUOWQyU2IwT2tjdXFBS2pZdWI1RmZtelR1SjJHRk5CQzhqY0RfM25jQU1ZRjM5VGd3NXh3bmtzOXE1MXk1NUh4bnlsdjlmNVA5UkI0Skc5VWFLQWN5bzNyQUNENDdjLXFfZ3RudDVEbw?oc=5,2026-09-18 10:28:14,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOVi0zYmpuYUtwNnllSF9NVG1JMlBVNnlaVnBDbmJEdC05c3ZnNXJYeUdPVTF2dDVBRExWWlhBWGRDUTN5VFphM2hOa3p6OF9rM0hfaEcxWGJBWHFTV043S3otQzNlSjBOcnlSbEprcVA0LXoyWVk1Y0V5aU1iZEVvaV9fdHZfQUd6andvOWJIM18xOGlnUFZ1N2NfREtrQXpJY0pQUnUzYmhaLUpmSmF3Q0RLenBELXlUQTJtTEk0VWY0bzkzZEZuV3B0NmhTY3lOQVZvMkNR0gHbAUFVX3lxTE5LWG1femlMWkFuOEJINkJRcnNsVmpUODFFSFJ2YURmcEVjcEYxY0syanRQRTh5cGdMTElPYjBPNTNLWWJBVTVBV1JBOTU5cTN6UE9CUHVUZVplajhNYVNRZjlqSl9NTXhWYzYzV2htbWtQa1JUOWQyU2IwT2tjdXFBS2pZdWI1RmZtelR1SjJHRk5CQzhqY0RfM25jQU1ZRjM5VGd3NXh3bmtzOXE1MXk1NUh4bnlsdjlmNVA5UkI0Skc5VWFLQWN5bzNyQUNENDdjLXFfZ3RudDVEbw?oc=5"" target=""_blank"">Delhi weather: Dry spell ahead as monsoon withdrawal begins on September 19</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Monsoon,en
"IMD warns of heavy rainfall in north, east India - NewsBytes",https://news.google.com/rss/articles/CBMikgFBVV95cUxQN3ZnMk5LbU5QeHBONFhxNHFpalc2NEpqNUQycktfQnhwVXF5M2VBOEVMTC1Mc0xJSVNrMGJLd3lSR2dValVnWngyOXhjU3VCVEp6a1VOS1pnSDZyWWhheWE3UXpvTW0ybWZtQmdBTHlJcXdKWHVLeHp0SGhueGZvaWQ2aktZS2tpQVRXNmR5TlNuUQ?oc=5,2026-09-18 11:55:41,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxQN3ZnMk5LbU5QeHBONFhxNHFpalc2NEpqNUQycktfQnhwVXF5M2VBOEVMTC1Mc0xJSVNrMGJLd3lSR2dValVnWngyOXhjU3VCVEp6a1VOS1pnSDZyWWhheWE3UXpvTW0ybWZtQmdBTHlJcXdKWHVLeHp0SGhueGZvaWQ2aktZS2tpQVRXNmR5TlNuUQ?oc=5"" target=""_blank"">IMD warns of heavy rainfall in north, east India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Monsoon,en
