Title,Link,Date,Source,Summary,Term,LanguageQueried
"India Set to Launch Exclusive Waterfalls Tours in Karnataka by September, Promoting Responsible and Safe Monsoon Tourism Across Scenic Districts - Travel And Tour World",https://news.google.com/rss/articles/CBMinAJBVV95cUxPWFlEMEkyN25ZQXkwQ0dJdERmWHNWc3FPRmgxVFFlekR2bnRzRlRucEtIQ19ZdFIxNkJodlpySzZtOWpWMXdkWDFDY1BlMTdMYmtIVE15SlRWVkw5YkpLQ05OTUlYbF9RQVFISDdjenNUNm44dlhVN1htWkx1TTBwbEtLUmVLTHhuNVdFU1BwNlk4QnEtelFjUjk2WE8wb2V0SU5sVDNhdGlFelVORkk4N01jelI5RHlvMy1heWNabDNWOVlXclZnQVQ3U3B6ZHc3WXhoTVZRNVpFREJ0Wi1RUS1lVDA0UzNneG5JT1czOGFacVZqSHVCNFByX0ttWU93emFGRDhLVEtUcU40alVPWEx4Wi1xTnExM3NacQ?oc=5,2025-07-20 09:14:20,Travel And Tour World,"<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxPWFlEMEkyN25ZQXkwQ0dJdERmWHNWc3FPRmgxVFFlekR2bnRzRlRucEtIQ19ZdFIxNkJodlpySzZtOWpWMXdkWDFDY1BlMTdMYmtIVE15SlRWVkw5YkpLQ05OTUlYbF9RQVFISDdjenNUNm44dlhVN1htWkx1TTBwbEtLUmVLTHhuNVdFU1BwNlk4QnEtelFjUjk2WE8wb2V0SU5sVDNhdGlFelVORkk4N01jelI5RHlvMy1heWNabDNWOVlXclZnQVQ3U3B6ZHc3WXhoTVZRNVpFREJ0Wi1RUS1lVDA0UzNneG5JT1czOGFacVZqSHVCNFByX0ttWU93emFGRDhLVEtUcU40alVPWEx4Wi1xTnExM3NacQ?oc=5"" target=""_blank"">India Set to Launch Exclusive Waterfalls Tours in Karnataka by September, Promoting Responsible and Safe Monsoon Tourism Across Scenic Districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Travel And Tour World</font>",Monsoon,en
"2-yr-old girl dies, 5 injured as house collapses in Karnataka due to heavy rain - MSN",https://news.google.com/rss/articles/CBMixgFBVV95cUxONUQ1V2VjMGtKaUN5Zk40ODk0cUxzQ3B1MWFxVGp4UXdxSENTajREck4tX1RXbWNLNFVuS0h3LVRhUERJS19kYlYzU0dtVEw1aURQV3FBcG9BNnZsNmdzR3RrYW10NmN5cjl5Q1p4RXgxMlVmdDc4d0c1Smp2TWJkeVNHX2VZSFQ5T0ZLSk5lMkNaMWM3ZmNoUjlweHY4RUVpTUJsLUV5ZVd0bUNMWHBRZHdZY1hqSHBpMGZSb053bjQwT0p5N1E?oc=5,2025-07-20 00:12:04,MSN,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxONUQ1V2VjMGtKaUN5Zk40ODk0cUxzQ3B1MWFxVGp4UXdxSENTajREck4tX1RXbWNLNFVuS0h3LVRhUERJS19kYlYzU0dtVEw1aURQV3FBcG9BNnZsNmdzR3RrYW10NmN5cjl5Q1p4RXgxMlVmdDc4d0c1Smp2TWJkeVNHX2VZSFQ5T0ZLSk5lMkNaMWM3ZmNoUjlweHY4RUVpTUJsLUV5ZVd0bUNMWHBRZHdZY1hqSHBpMGZSb053bjQwT0p5N1E?oc=5"" target=""_blank"">2-yr-old girl dies, 5 injured as house collapses in Karnataka due to heavy rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
"Weather Today: Kerala And Karnataka On Red Alert, Heavy Rain Till July 25 - Newstrack English",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPX2h5bWxoZS1uYWh3Z1ctWHZjV3ZXSHlKMWxNTlZZaHNJbE5yZHkxMFRxNWlxWlU3bVpXVkZqQjViNDR5MkxsWm5vMXZFc3dTYXBSYnMxRXhDc185V0JkUTZoVk1jSDhHZkxrXzJaMzM5WlpyMGxjcFZLNDlvam1TbkxyZHJHME9KWDJfZEJFa0ZPa3lzX3Y3RjdtdDZhdldjVkRwY05pYUtiajhZazZqLTg0M0NuQlk1d2Nr0gHAAUFVX3lxTE1RbXN0WUhuYkkzVU1fRm5WQkF4TXh5MTBUWHhoLVRzdW9MaEF0MGxIQkNteU9SeVEzSHVpSTJZUVVvbHZtTDBJY3ZZZWwwdGpvV0xGSzh6Mml0M0s0Um1rcHoxMlRUMG9ZLWNZeXhycUtfbG5EcVVUc2Z3YUsycmhQaWFmVlNSM2E0X3N2aVYwUVZUWjB0V2J5NUMzYTdhbWE5U1AtRy1DRTJNb01yVmV0Y1pYeUo5SnlFVGt3WEtQVg?oc=5,2025-07-20 07:51:30,Newstrack English,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPX2h5bWxoZS1uYWh3Z1ctWHZjV3ZXSHlKMWxNTlZZaHNJbE5yZHkxMFRxNWlxWlU3bVpXVkZqQjViNDR5MkxsWm5vMXZFc3dTYXBSYnMxRXhDc185V0JkUTZoVk1jSDhHZkxrXzJaMzM5WlpyMGxjcFZLNDlvam1TbkxyZHJHME9KWDJfZEJFa0ZPa3lzX3Y3RjdtdDZhdldjVkRwY05pYUtiajhZazZqLTg0M0NuQlk1d2Nr0gHAAUFVX3lxTE1RbXN0WUhuYkkzVU1fRm5WQkF4TXh5MTBUWHhoLVRzdW9MaEF0MGxIQkNteU9SeVEzSHVpSTJZUVVvbHZtTDBJY3ZZZWwwdGpvV0xGSzh6Mml0M0s0Um1rcHoxMlRUMG9ZLWNZeXhycUtfbG5EcVVUc2Z3YUsycmhQaWFmVlNSM2E0X3N2aVYwUVZUWjB0V2J5NUMzYTdhbWE5U1AtRy1DRTJNb01yVmV0Y1pYeUo5SnlFVGt3WEtQVg?oc=5"" target=""_blank"">Weather Today: Kerala And Karnataka On Red Alert, Heavy Rain Till July 25</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newstrack English</font>",Monsoon,en
"Weather today: Kerala, Karnataka on IMD's red alert, heavy showers likely till July 25; Delhi-NCR to receive more rain - Mint",https://news.google.com/rss/articles/CBMi_gFBVV95cUxNaTF2Qm01em9nM1M2VXZEZU55d1pwYU01WEJ3Z0Q1SnJzd3h6R3BzckdyUmpZb2hTQ3NCdFVxZFdBckNZRzljQUdiWGgyc2I5cHNVVHp4WW5Cc1FHYzQyU3I0NGN2eUlRUWxPUjd5TzNfbjlzUWNOamNaS2NkYktGTGFRUy0tRnNhTTgtYVhQTUI3UFlBMGhDcHg5Z2ZqdzdIU2dvaHhobUxNVHllX0pPaXNzLTE1X0R3S09TSEVlZHpyVTNmUVVaNGRYWFBOUUhYcWxBT2h0d2tpVzVrc2lpU3YtOGxWV1hWVFdzRG9memp5X1JPc1RNNTJhQWo2UdIBgwJBVV95cUxPejQzN3dZVWdVTG9iLXVrT1BMZFhRZVZIRzZQY2FUdFZTdGtseUw5aE1abjFNcC1OdHMxTE5BbS1Bb2IxMzh1ZlhIaVNUTUV4VWJUYmVWM0VzRk1wZllFOVAzS0xkblkyUFloS0RiaVFTWHRoVFNtZFJNX2pSa0Y4Q09uV0p5YTRsZ1NQbDNDZlJsVUh4YWxic3VIbno3T2JnSDVBQjJicVFiY1ZvNEc0UnI2Ni16RTEzMXRQMmw2TWNVOC0tQ3RscmV5NjJIYzllRUx4a2lVc1BPdU9tZjdrREVHcm9ROEpqTDluTnJXallmNlVkNEFLRWt4Nl9wY3FYclZ3?oc=5,2025-07-20 06:42:44,Mint,"<a href=""https://news.google.com/rss/articles/CBMi_gFBVV95cUxNaTF2Qm01em9nM1M2VXZEZU55d1pwYU01WEJ3Z0Q1SnJzd3h6R3BzckdyUmpZb2hTQ3NCdFVxZFdBckNZRzljQUdiWGgyc2I5cHNVVHp4WW5Cc1FHYzQyU3I0NGN2eUlRUWxPUjd5TzNfbjlzUWNOamNaS2NkYktGTGFRUy0tRnNhTTgtYVhQTUI3UFlBMGhDcHg5Z2ZqdzdIU2dvaHhobUxNVHllX0pPaXNzLTE1X0R3S09TSEVlZHpyVTNmUVVaNGRYWFBOUUhYcWxBT2h0d2tpVzVrc2lpU3YtOGxWV1hWVFdzRG9memp5X1JPc1RNNTJhQWo2UdIBgwJBVV95cUxPejQzN3dZVWdVTG9iLXVrT1BMZFhRZVZIRzZQY2FUdFZTdGtseUw5aE1abjFNcC1OdHMxTE5BbS1Bb2IxMzh1ZlhIaVNUTUV4VWJUYmVWM0VzRk1wZllFOVAzS0xkblkyUFloS0RiaVFTWHRoVFNtZFJNX2pSa0Y4Q09uV0p5YTRsZ1NQbDNDZlJsVUh4YWxic3VIbno3T2JnSDVBQjJicVFiY1ZvNEc0UnI2Ni16RTEzMXRQMmw2TWNVOC0tQ3RscmV5NjJIYzllRUx4a2lVc1BPdU9tZjdrREVHcm9ROEpqTDluTnJXallmNlVkNEFLRWt4Nl9wY3FYclZ3?oc=5"" target=""_blank"">Weather today: Kerala, Karnataka on IMD's red alert, heavy showers likely till July 25; Delhi-NCR to receive more rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,en
"Delhi enjoys pleasant weather as IMD issues red alert for Kerala, Karnataka - Business Standard",https://news.google.com/rss/articles/CBMiwwFBVV95cUxOYTFlN3RkTll6dW9KYU9tbDloc2s3cHBYTW1DeEZkMjRaZklRZVVqNTZ0V1YyaWJHYkdZMmhuNFlnRTFLWlVOa2oweGR3aUtEbXh4VXFaNjBNS1FwMmZVTnhXWXFiazFhX1pUZl83VHZka0c2U25QaENEdFhCd0MxTE40djFDQlJvTkNCemxaVXNxTXpYeHAxR1ZXanZVQVVHSGE2SVJKb29BcU1ZaUZidExhVVhUM3Q1d2R6b3VzOWtDMFnSAcgBQVVfeXFMT3l3aHhmcTBodTZDLUxWZVllclVPV2dqR3BSSS1fWXNfSWo0TlF0NWhSWTlwaVRHUVJnd2NaQnF3SWRHSDl6Yjl1dFlFd0FoZ0gxUHVJVzFjbjFuNU1BbGR3aUlfMXJxcFg1YVZqMGh6dFBoek9rVG1lTXNSTjBhNl8zekxmQWVTU0ZkampNcDlaU2h5V3Y4TUhjTlp6anNkd3J4RW9obzdsbE5zWXNGYzJWMnBrdlVpWFpDTmxlSEVCVkF1cE1oSEQ?oc=5,2025-07-20 08:18:43,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxOYTFlN3RkTll6dW9KYU9tbDloc2s3cHBYTW1DeEZkMjRaZklRZVVqNTZ0V1YyaWJHYkdZMmhuNFlnRTFLWlVOa2oweGR3aUtEbXh4VXFaNjBNS1FwMmZVTnhXWXFiazFhX1pUZl83VHZka0c2U25QaENEdFhCd0MxTE40djFDQlJvTkNCemxaVXNxTXpYeHAxR1ZXanZVQVVHSGE2SVJKb29BcU1ZaUZidExhVVhUM3Q1d2R6b3VzOWtDMFnSAcgBQVVfeXFMT3l3aHhmcTBodTZDLUxWZVllclVPV2dqR3BSSS1fWXNfSWo0TlF0NWhSWTlwaVRHUVJnd2NaQnF3SWRHSDl6Yjl1dFlFd0FoZ0gxUHVJVzFjbjFuNU1BbGR3aUlfMXJxcFg1YVZqMGh6dFBoek9rVG1lTXNSTjBhNl8zekxmQWVTU0ZkampNcDlaU2h5V3Y4TUhjTlp6anNkd3J4RW9obzdsbE5zWXNGYzJWMnBrdlVpWFpDTmxlSEVCVkF1cE1oSEQ?oc=5"" target=""_blank"">Delhi enjoys pleasant weather as IMD issues red alert for Kerala, Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Monsoon,en
"Weather today: Karnataka, Kerala receive red alert for heavy rainfall, several states issued orange alert - The Economic Times",https://news.google.com/rss/articles/CBMijAJBVV95cUxPdWxJQ2xQbURBLVFrSnNaQlI3aWhvcDVRYkM4MXBGd0xwcEJTMEMwUmJBQk9Za0xFYlhWSlM0VWJhdGtYRlZYbWo4dFpLbkxfOUxBLWNBRi1kejVmMmtyYWJuVlNlTkdaTmxVWmxoYmpBalVBdEVRdHdJbDNPYWp0VG1ocDN6enFLa2lCWFNxOGdPdVRFVjhZMG5PbGxjWTJNQWFwQ3lTUDBaVThpaW1ydG9VZzFWWDRqa1BVVmdCd25DUmhpMnJwd3FkenJ1UjVsdGFVM2U0MnpqUE9QSGtIbHBhOVhOZ2VVS19ndG9ib1JPSUYzX3NaMnFrUThjbU9jVW8zVXVsMm9NeDNG0gGSAkFVX3lxTE1fUDBNQ01GaFQwYzlDSVlkeWlrWVFHNEdtZjBRRGFyQTkxWG5RcXg4b1VkWFhkSXlOMG9FSTZyak5KNzVTLXI3eWR6aUI5TDExSHFiU1lxMEJSR3NYYlRzbEN6NUlmR1RXMi1UajFkRUJlRVpDMGZXb2tWTldmZnh0S2ZhMEpMNWtIeHZPZHBDWUhfRzhPRHVlamlUZi1VNk9DRXBhSFRseWUwQi1EM0hQcUdyRmZlVG5SWlVCUm5NUy1ZbUk3alljMmQtR0NuOHpBVllROFA5TURuRDNUYi11YnBpdEZ5U3FZTlVpaHBDMms0M3h2RzExLXVQOFJMSjJzTm8tazM3d3BxUHE1eXpvTlE?oc=5,2025-07-20 10:09:21,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMijAJBVV95cUxPdWxJQ2xQbURBLVFrSnNaQlI3aWhvcDVRYkM4MXBGd0xwcEJTMEMwUmJBQk9Za0xFYlhWSlM0VWJhdGtYRlZYbWo4dFpLbkxfOUxBLWNBRi1kejVmMmtyYWJuVlNlTkdaTmxVWmxoYmpBalVBdEVRdHdJbDNPYWp0VG1ocDN6enFLa2lCWFNxOGdPdVRFVjhZMG5PbGxjWTJNQWFwQ3lTUDBaVThpaW1ydG9VZzFWWDRqa1BVVmdCd25DUmhpMnJwd3FkenJ1UjVsdGFVM2U0MnpqUE9QSGtIbHBhOVhOZ2VVS19ndG9ib1JPSUYzX3NaMnFrUThjbU9jVW8zVXVsMm9NeDNG0gGSAkFVX3lxTE1fUDBNQ01GaFQwYzlDSVlkeWlrWVFHNEdtZjBRRGFyQTkxWG5RcXg4b1VkWFhkSXlOMG9FSTZyak5KNzVTLXI3eWR6aUI5TDExSHFiU1lxMEJSR3NYYlRzbEN6NUlmR1RXMi1UajFkRUJlRVpDMGZXb2tWTldmZnh0S2ZhMEpMNWtIeHZPZHBDWUhfRzhPRHVlamlUZi1VNk9DRXBhSFRseWUwQi1EM0hQcUdyRmZlVG5SWlVCUm5NUy1ZbUk3alljMmQtR0NuOHpBVllROFA5TURuRDNUYi11YnBpdEZ5U3FZTlVpaHBDMms0M3h2RzExLXVQOFJMSjJzTm8tazM3d3BxUHE1eXpvTlE?oc=5"" target=""_blank"">Weather today: Karnataka, Kerala receive red alert for heavy rainfall, several states issued orange alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
Heavy Rain hits Dakshina Kannada and Udupi; IMD issues red alert - Udayavani,https://news.google.com/rss/articles/CBMipAFBVV95cUxQYk9uaC1iSWg5N09MbjZXbmthV2JCNURsVEV0S05zSTNhemU5TUdYcHhwejBsbkVrZ21TazgxUkM5X3dmajZxcF9xMmV3RFhCR1A0MTI0RktxeGRhT3d6N1BtUW5wbGgtSnFNOF9JSVhBel9aZ0lLZFA5N2tWYTFSVTNZbng3dEMyMjBQTl9MckkzSEJPZzNXLW5tUkNKZlZoT1gtVw?oc=5,2025-07-20 08:42:00,Udayavani,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQYk9uaC1iSWg5N09MbjZXbmthV2JCNURsVEV0S05zSTNhemU5TUdYcHhwejBsbkVrZ21TazgxUkM5X3dmajZxcF9xMmV3RFhCR1A0MTI0RktxeGRhT3d6N1BtUW5wbGgtSnFNOF9JSVhBel9aZ0lLZFA5N2tWYTFSVTNZbng3dEMyMjBQTl9MckkzSEJPZzNXLW5tUkNKZlZoT1gtVw?oc=5"" target=""_blank"">Heavy Rain hits Dakshina Kannada and Udupi; IMD issues red alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udayavani</font>",Monsoon,en
"Heavy Rains Prompt School Closures, Alerts in Dakshina Kannada - newskarnataka.com",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNX01wS1hKUGh2OU5QSTZud3RKZ0xCXzVqWmFRM05LdE1ZcDkwSV9GUXE4ZlBjQjB1M1dxaGRVYy1NSng5UnFKR2JKT2d0azhCV0ZuQnc1WTJ0Q3ZiQUFtc1M0RE9qeDlsVUlDYVRGOFBtMzF1ZU81RlhuVTk1Si1tblo0VXhEZnF6dThyS3JFWDZERHFLeUpBZ0M5VVdpQWlJOUlvbjEtZWlLa1U?oc=5,2025-07-20 10:21:59,newskarnataka.com,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNX01wS1hKUGh2OU5QSTZud3RKZ0xCXzVqWmFRM05LdE1ZcDkwSV9GUXE4ZlBjQjB1M1dxaGRVYy1NSng5UnFKR2JKT2d0azhCV0ZuQnc1WTJ0Q3ZiQUFtc1M0RE9qeDlsVUlDYVRGOFBtMzF1ZU81RlhuVTk1Si1tblo0VXhEZnF6dThyS3JFWDZERHFLeUpBZ0M5VVdpQWlJOUlvbjEtZWlLa1U?oc=5"" target=""_blank"">Heavy Rains Prompt School Closures, Alerts in Dakshina Kannada</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newskarnataka.com</font>",Monsoon,en
Heavy rain in Dakshina Kannada; Red alert issued for July 20 - Daijiworld,https://news.google.com/rss/articles/CBMickFVX3lxTE5qZnRyRDFhWlhUd2pXVW5SYzAzc29BU2JyaFAtTWhPRXM4V2VBellMVm9ycV9NUWctNFdqRTd1akJJdGdGT2tRNDZGVXBuWUU0VGNiVWVEMF92bV9MWVZaOFdHbUFMU1ZLUzJqZnlNbkVGQQ?oc=5,2025-07-20 08:21:30,Daijiworld,"<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE5qZnRyRDFhWlhUd2pXVW5SYzAzc29BU2JyaFAtTWhPRXM4V2VBellMVm9ycV9NUWctNFdqRTd1akJJdGdGT2tRNDZGVXBuWUU0VGNiVWVEMF92bV9MWVZaOFdHbUFMU1ZLUzJqZnlNbkVGQQ?oc=5"" target=""_blank"">Heavy rain in Dakshina Kannada; Red alert issued for July 20</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daijiworld</font>",Monsoon,en
"Weather Update: Heavy Rainfall Predicted Across Rajasthan, Kerala, Maharashtra, Bengal & More States Amid Active Monsoon - Krishi Jagran",https://news.google.com/rss/articles/CBMi7AFBVV95cUxPTkt2eV9GVjl5eldaS3R0cXVTekp1QkFNQ3hNVzlPdS1zZkM3eG5qY3c3cmtDTmFiYlBmYml4MWZtYTd4Z2czdTROMVNpMjA4M2tMLW5FbXVhWWJEeGN6TEVjejNjbDFsYnRNeEF6MDBlTTZ2SHVsd1RXTUFVN3BFSVJWSGprTXBJS2xyTzQ2aUlTY1dIR2JheHVWYzNlX2h2S0xzSHN3VHZKVS02bmhtQU1paW40clFLSHlnZXktd1ZobEJxTUJNdE9mQ2ZXWnA1dXVCQ3NEQU9aYzcxUGpSc3g3YWltbERMcVFwUw?oc=5,2025-07-20 06:48:49,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPTkt2eV9GVjl5eldaS3R0cXVTekp1QkFNQ3hNVzlPdS1zZkM3eG5qY3c3cmtDTmFiYlBmYml4MWZtYTd4Z2czdTROMVNpMjA4M2tMLW5FbXVhWWJEeGN6TEVjejNjbDFsYnRNeEF6MDBlTTZ2SHVsd1RXTUFVN3BFSVJWSGprTXBJS2xyTzQ2aUlTY1dIR2JheHVWYzNlX2h2S0xzSHN3VHZKVS02bmhtQU1paW40clFLSHlnZXktd1ZobEJxTUJNdE9mQ2ZXWnA1dXVCQ3NEQU9aYzcxUGpSc3g3YWltbERMcVFwUw?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall Predicted Across Rajasthan, Kerala, Maharashtra, Bengal & More States Amid Active Monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Monsoon,en
