Title,Link,Date,Source,Summary,Term,LanguageQueried
India weather: Heatwave scorches north as monsoon drenches south and Northeast - The Indian Express,https://news.google.com/rss/articles/CBMipAFBVV95cUxPejJJTDNTUFJEN09kZ2xTWVhyX0FtblVOU3h5U2c4OFhYVnRXTW9VSGVzSElxaUp2YjAwdGdmUGdTX3BuUW9ndklWaGdkVVZPdEY4TWxiM2ZENVdFV1NTVzNIaVdqMnh1elM4T3g2eGxKN1kycmoyckk2dHJzeVNVNl85c21CUFl1bjRFYzVBeW1FTTdXZVhoWktIanQ5NWR2ai1NetIBqwFBVV95cUxNalJnWHdsdVNPRHgxZEc0SmpkaDAtaFlFLWlJVVRtVjd3N3JTbGhCU0dIQ1I2R2Y5YUozZHZ2WXB5MTZLQkNWNFVNcHJWYkdCRGFITnpLQVhKOEVHcmMyTGpFSm5ZNnNrbC1ITC1pT2ZrVTR0R2J0aVBpdFlRR3NJUVBGODFFN0xSdThtcXB3emMtM1AzQjFaM0RLaktGUTFBdnNNeDdxRTJGUDA?oc=5,2026-06-09 11:31:17,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPejJJTDNTUFJEN09kZ2xTWVhyX0FtblVOU3h5U2c4OFhYVnRXTW9VSGVzSElxaUp2YjAwdGdmUGdTX3BuUW9ndklWaGdkVVZPdEY4TWxiM2ZENVdFV1NTVzNIaVdqMnh1elM4T3g2eGxKN1kycmoyckk2dHJzeVNVNl85c21CUFl1bjRFYzVBeW1FTTdXZVhoWktIanQ5NWR2ai1NetIBqwFBVV95cUxNalJnWHdsdVNPRHgxZEc0SmpkaDAtaFlFLWlJVVRtVjd3N3JTbGhCU0dIQ1I2R2Y5YUozZHZ2WXB5MTZLQkNWNFVNcHJWYkdCRGFITnpLQVhKOEVHcmMyTGpFSm5ZNnNrbC1ITC1pT2ZrVTR0R2J0aVBpdFlRR3NJUVBGODFFN0xSdThtcXB3emMtM1AzQjFaM0RLaktGUTFBdnNNeDdxRTJGUDA?oc=5"" target=""_blank"">India weather: Heatwave scorches north as monsoon drenches south and Northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Monsoon,en
"Monsoon reaches 13 states in 5 days: Dust storms, rain lash MP, UP; red alert in Kerala, Karnataka, heatwav... - Bhaskar English",https://news.google.com/rss/articles/CBMiugFBVV95cUxPMWIyeEl2amFzWXNpWUwyRldLTTVzRDFvXzBDUlJTdkhPVzR5Qi1MV0xtcVU2Y2tSOWROeHVRUElhX3J5a0JZSXZnd3k1MnBWUmF4R0ZtRmJXSWREQUcyWEszbEFISFozN0FVMmxSb0t3Q2dQZms0MjVMSG1jY3JPMF9US2ZVT1IxRzNxM1NJQzl6TkxacTlKRXB4SDF1czZYcmRRbFpqOUtnNmUzMmNXWVNuQW5HN2Zqa3fSAboBQVVfeXFMTzFiMnhJdmphc1lzaVlMMkZXS001c0Qxb18wQ1JSU3ZIT1c0eUItTFdMbXFVNmNrUjlkTnh1UVBJYV9yeWtCWUl2Z3d5NTJwVlJheEdGbUZiV0lkREFHMlhLM2xBSEhaMzdBVTJsUm9Ld0NnUGZrNDI1TEhtY2NyTzBfVEtmVU9SMUczcTNTSUM5ek5MWnE5SkVweEgxdXM2WHJkUWxaajlLZzZlMzJjV1lTbkFuRzdmamt3?oc=5,2026-06-09 07:13:50,Bhaskar English,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPMWIyeEl2amFzWXNpWUwyRldLTTVzRDFvXzBDUlJTdkhPVzR5Qi1MV0xtcVU2Y2tSOWROeHVRUElhX3J5a0JZSXZnd3k1MnBWUmF4R0ZtRmJXSWREQUcyWEszbEFISFozN0FVMmxSb0t3Q2dQZms0MjVMSG1jY3JPMF9US2ZVT1IxRzNxM1NJQzl6TkxacTlKRXB4SDF1czZYcmRRbFpqOUtnNmUzMmNXWVNuQW5HN2Zqa3fSAboBQVVfeXFMTzFiMnhJdmphc1lzaVlMMkZXS001c0Qxb18wQ1JSU3ZIT1c0eUItTFdMbXFVNmNrUjlkTnh1UVBJYV9yeWtCWUl2Z3d5NTJwVlJheEdGbUZiV0lkREFHMlhLM2xBSEhaMzdBVTJsUm9Ld0NnUGZrNDI1TEhtY2NyTzBfVEtmVU9SMUczcTNTSUM5ek5MWnE5SkVweEgxdXM2WHJkUWxaajlLZzZlMzJjV1lTbkFuRzdmamt3?oc=5"" target=""_blank"">Monsoon reaches 13 states in 5 days: Dust storms, rain lash MP, UP; red alert in Kerala, Karnataka, heatwav...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bhaskar English</font>",Monsoon,en
"As monsoon begins, Kerala cracks down on illegal fishing to protect breeding fresh water fish | India News - Hindustan Times",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQb3FvQmxtQVpCSklDcC1vdzNLNHRacE82WEQwTktzd095Q3BfVllUQlJYa0RUZTh6am90N3FGYzA1T0hNZjdVRUtrblZKbmhidUMxSGxMQWh0YVZuclV6NFp3X0FuSml2QTRjVDRGY1lXLXFyWGtDVDNlYlFTeTJNOVN0RXlZalg3N0VUVlFYY2NjQm1OU2VJOTBvY3pfYkY1X3IzRUN3UGthcGd0VWVCQVB1SGVNSVp2TkxpWHhoZVZCdTIzTElrcUVQM252d29qS3lyc1FRQzhpZ0RjRnBJYVVhQXhqOGJWb3Vr0gHwAUFVX3lxTE1CaWhrclQwT1lCdHhGWDJielZObElTc2xvY3dLd2JnSFRhTDFrV2xMamk4VUg4cmVXRmlhY0phc2pDQW42cEF6MWgxSDdkNWQtTnVKQXBMT0lZQldoQnh3WU1LcFdNc015dWFnakJtem9IZWJwSEVxOUUwSVFPVXJSd3V3bVJhOGh0QkdJd2RDODlOQW1TcjBKcHA3angybXBIa2RhTGpTWTQtR0loeVBDZEZNa2xUbERweUloUW5SckZNQndGS1VhZFhhTmxYYjNONEl3MFF1S3lSM3RxTTFjZzZKb3lDbDVMTkc1NXV3LQ?oc=5,2026-06-09 11:02:38,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQb3FvQmxtQVpCSklDcC1vdzNLNHRacE82WEQwTktzd095Q3BfVllUQlJYa0RUZTh6am90N3FGYzA1T0hNZjdVRUtrblZKbmhidUMxSGxMQWh0YVZuclV6NFp3X0FuSml2QTRjVDRGY1lXLXFyWGtDVDNlYlFTeTJNOVN0RXlZalg3N0VUVlFYY2NjQm1OU2VJOTBvY3pfYkY1X3IzRUN3UGthcGd0VWVCQVB1SGVNSVp2TkxpWHhoZVZCdTIzTElrcUVQM252d29qS3lyc1FRQzhpZ0RjRnBJYVVhQXhqOGJWb3Vr0gHwAUFVX3lxTE1CaWhrclQwT1lCdHhGWDJielZObElTc2xvY3dLd2JnSFRhTDFrV2xMamk4VUg4cmVXRmlhY0phc2pDQW42cEF6MWgxSDdkNWQtTnVKQXBMT0lZQldoQnh3WU1LcFdNc015dWFnakJtem9IZWJwSEVxOUUwSVFPVXJSd3V3bVJhOGh0QkdJd2RDODlOQW1TcjBKcHA3angybXBIa2RhTGpTWTQtR0loeVBDZEZNa2xUbERweUloUW5SckZNQndGS1VhZFhhTmxYYjNONEl3MFF1S3lSM3RxTTFjZzZKb3lDbDVMTkc1NXV3LQ?oc=5"" target=""_blank"">As monsoon begins, Kerala cracks down on illegal fishing to protect breeding fresh water fish | India News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Monsoon,en
"Heavy Rain, Thunderstorms Forecast Across India as IMD Issues Orange Warning for Kerala - News On AIR",https://news.google.com/rss/articles/CBMisgFBVV95cUxPZGRxTkhLRlZsVUhrcElsZER1MXdUY19hbHdXNWNCMnludzlPSkE4aEZkNUF4MUJIT3g1TXo4ZXZHWWZJVW5HellKSWZtZldhV05rQXJOOUdWYVNVck5EWWt3a3A4eUpuUjVIVVZtRU5WN0VNRHRnS3VOcnhieE85WUpvVWNqazZhRnR4aXA3ZW83TW9KenVKb0x1VlBTQk5URnpOeHRDY1BUanZWZGtPN2pB?oc=5,2026-06-09 02:26:57,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPZGRxTkhLRlZsVUhrcElsZER1MXdUY19hbHdXNWNCMnludzlPSkE4aEZkNUF4MUJIT3g1TXo4ZXZHWWZJVW5HellKSWZtZldhV05rQXJOOUdWYVNVck5EWWt3a3A4eUpuUjVIVVZtRU5WN0VNRHRnS3VOcnhieE85WUpvVWNqazZhRnR4aXA3ZW83TW9KenVKb0x1VlBTQk5URnpOeHRDY1BUanZWZGtPN2pB?oc=5"" target=""_blank"">Heavy Rain, Thunderstorms Forecast Across India as IMD Issues Orange Warning for Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
Kerala Rains: IMD Issues Extremely Heavy Rainfall Alert For Kerala On June 9; Check Detailed Weather Forecast - NDTV Profit,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQdEd2TzhVc0dqY0FRbzUtVXNJR2duUV9RVmRib3J4U3hIanFYSF9fUkFFS2VhV1lJZThkVkdfdkhRR1ZBYTVMLVJ0STd1NmIwanpGX1doelZvMm5PbDNYMEhKMVU5Qm9meFVFd1lOalFKbVJxYXhESFdjZFpGY0NjaEpobVNYVFV1V0FuN1RWZl9GdDcydXFLR3ZlOTdHb2p5RlhjME1SVXFTLXdxSmZHbENuTWpRalg5WXE5ZkVmcDB4cURnUE5OcHluU0E1Sk5Wa2Y0ZEQyallMREswZHUyd2xNONIB6wFBVV95cUxPalVaZVBtTEhTYmt0ZEk5VzM3aTQ2S2JqR3FTWlN0VTItWnBlemkxOEtGNG9zZy1adWJ0WDN3MHJaVXVRY3VTZ1BFeTR1cjVrUElQVmgzVW9vRC03RW0xaGl6RFN1Z2dxZW1mbEp5ajQ4Xy1wc2ZnbnlUbUdwZXQ5XzBoTWlWd1VEZTlCWExNdTlRVVBNNGpBZzJiRUI3NGRLdkEzVXROMmNfY1dleXdWaWlPd2xqaXlQbjZZVU1Mc29Sbkh0dURTNWV0TTJUd2cxT20xMkZHYWVWeTNlWU81R3hkR0RzTHNoNWRZ?oc=5,2026-06-09 07:08:40,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxQdEd2TzhVc0dqY0FRbzUtVXNJR2duUV9RVmRib3J4U3hIanFYSF9fUkFFS2VhV1lJZThkVkdfdkhRR1ZBYTVMLVJ0STd1NmIwanpGX1doelZvMm5PbDNYMEhKMVU5Qm9meFVFd1lOalFKbVJxYXhESFdjZFpGY0NjaEpobVNYVFV1V0FuN1RWZl9GdDcydXFLR3ZlOTdHb2p5RlhjME1SVXFTLXdxSmZHbENuTWpRalg5WXE5ZkVmcDB4cURnUE5OcHluU0E1Sk5Wa2Y0ZEQyallMREswZHUyd2xNONIB6wFBVV95cUxPalVaZVBtTEhTYmt0ZEk5VzM3aTQ2S2JqR3FTWlN0VTItWnBlemkxOEtGNG9zZy1adWJ0WDN3MHJaVXVRY3VTZ1BFeTR1cjVrUElQVmgzVW9vRC03RW0xaGl6RFN1Z2dxZW1mbEp5ajQ4Xy1wc2ZnbnlUbUdwZXQ5XzBoTWlWd1VEZTlCWExNdTlRVVBNNGpBZzJiRUI3NGRLdkEzVXROMmNfY1dleXdWaWlPd2xqaXlQbjZZVU1Mc29Sbkh0dURTNWV0TTJUd2cxT20xMkZHYWVWeTNlWU81R3hkR0RzTHNoNWRZ?oc=5"" target=""_blank"">Kerala Rains: IMD Issues Extremely Heavy Rainfall Alert For Kerala On June 9; Check Detailed Weather Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",Monsoon,en
IMD issues red alert for three Kerala dts as extremely heavy rain batters state - Hindusthan Samachar English,https://news.google.com/rss/articles/CBMijwFBVV95cUxNcFZhRVpndHFIRzBVZ0dVd2VCb09XblVQQ3I1MklnMk5PaDNzajNrMWZTNk00Q1U0dncxUUJiSlR6N0F1dFdaQ3ctWmx5ZkJpX0JsUS1ENTlYSUxqZjl5N29zUTVvZWc4eHRWOTBDQ0JEMUtSUC1ibHBmbXhWdTVwalBMaUtFMXk2UlRwbDJ0NA?oc=5,2026-06-09 08:39:44,Hindusthan Samachar English,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNcFZhRVpndHFIRzBVZ0dVd2VCb09XblVQQ3I1MklnMk5PaDNzajNrMWZTNk00Q1U0dncxUUJiSlR6N0F1dFdaQ3ctWmx5ZkJpX0JsUS1ENTlYSUxqZjl5N29zUTVvZWc4eHRWOTBDQ0JEMUtSUC1ibHBmbXhWdTVwalBMaUtFMXk2UlRwbDJ0NA?oc=5"" target=""_blank"">IMD issues red alert for three Kerala dts as extremely heavy rain batters state</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindusthan Samachar English</font>",Monsoon,en
Kerala Rains: IMD issues red alert in 3 districts - News On AIR,https://news.google.com/rss/articles/CBMif0FVX3lxTE9Ea29jLWMwSm9mNUdGV21hWkN6aWhScnlLTF90anFtOU5acGkwblhzS2NhcDF0MDlhNWtMVzE2WFdveUEtel9vdUFYUlV0Ul9hNkU1NC1CVGpqb3g4ZnhLeVZTUWhwdHdYTnYzNDRjMlJzM2Fkd09VTFIydTBzY28?oc=5,2026-06-09 04:42:34,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE9Ea29jLWMwSm9mNUdGV21hWkN6aWhScnlLTF90anFtOU5acGkwblhzS2NhcDF0MDlhNWtMVzE2WFdveUEtel9vdUFYUlV0Ul9hNkU1NC1CVGpqb3g4ZnhLeVZTUWhwdHdYTnYzNDRjMlJzM2Fkd09VTFIydTBzY28?oc=5"" target=""_blank"">Kerala Rains: IMD issues red alert in 3 districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"Delhi to brace for heatwave even as monsoon advances; extremely heavy rain alert for Kerala, Karnataka - CNBC TV18",https://news.google.com/rss/articles/CBMi6AFBVV95cUxNaWo0MlV3N2Q4eDM2ZGpWTFJ2U25wNTJQSGZjVWoyV2tBWTFpUnZWT3FYdERrVE5teVNwNXdGZlpmR054VWVqUUFKSkZKZHNLQ1Z0c09KZ193MW5qMGdKT3lndE9oLWRhVlVTRXhYY0pncGZVbDhnUjFUVFNKeFBnQmdld0VfRDhZYm1zcmdhOW9CS2p0cml2X1ZyRFBEQ3ZCS1RXb21hMi1pU0d6eVl2d0pUTmllTlVrdVhVUEJ5R1FBTEZNY2NwNWUyV01fZXRacUJYS2RYNnB5bGxqTExpN3pWeDYtUUdx0gHoAUFVX3lxTE1pajQyVXc3ZDh4MzZkalZMUnZTbnA1MlBIZmNVajJXa0FZMWlSdlZPcVh0RGtUTm15U3A1d0ZmWmZHTnhVZWpRQUpKRkpkc0tDVnRzT0pnX3cxbmowZ0pPeWd0T2gtZGFWVVNFeFhjSmdwZlVsOGdSMVRUU0p4UGdCZ2V3RV9EOFlibXNyZ2E5b0JLanRyaXZfVnJEUERDdkJLVFdvbWEyLWlTR3p5WXZ3SlROaWVOVWt1WFVQQnlHUUFMRk1jY3A1ZTJXTV9ldFpxQlhLZFg2cHlsbGpMTGk3elZ4Ni1RR3E?oc=5,2026-06-09 05:00:47,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNaWo0MlV3N2Q4eDM2ZGpWTFJ2U25wNTJQSGZjVWoyV2tBWTFpUnZWT3FYdERrVE5teVNwNXdGZlpmR054VWVqUUFKSkZKZHNLQ1Z0c09KZ193MW5qMGdKT3lndE9oLWRhVlVTRXhYY0pncGZVbDhnUjFUVFNKeFBnQmdld0VfRDhZYm1zcmdhOW9CS2p0cml2X1ZyRFBEQ3ZCS1RXb21hMi1pU0d6eVl2d0pUTmllTlVrdVhVUEJ5R1FBTEZNY2NwNWUyV01fZXRacUJYS2RYNnB5bGxqTExpN3pWeDYtUUdx0gHoAUFVX3lxTE1pajQyVXc3ZDh4MzZkalZMUnZTbnA1MlBIZmNVajJXa0FZMWlSdlZPcVh0RGtUTm15U3A1d0ZmWmZHTnhVZWpRQUpKRkpkc0tDVnRzT0pnX3cxbmowZ0pPeWd0T2gtZGFWVVNFeFhjSmdwZlVsOGdSMVRUU0p4UGdCZ2V3RV9EOFlibXNyZ2E5b0JLanRyaXZfVnJEUERDdkJLVFdvbWEyLWlTR3p5WXZ3SlROaWVOVWt1WFVQQnlHUUFMRk1jY3A1ZTJXTV9ldFpxQlhLZFg2cHlsbGpMTGk3elZ4Ni1RR3E?oc=5"" target=""_blank"">Delhi to brace for heatwave even as monsoon advances; extremely heavy rain alert for Kerala, Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Monsoon,en
"Centre releases relief amount of Rs 5,850 crore to 14 flood-affected states - News On AIR",https://news.google.com/rss/articles/CBMiogFBVV95cUxOT0R2dE9hWFRNbkRHbWEzOXNyT2JtSnktM1lQam1yWF9DemdKR3kzYzdvRllXMnVFSHNHaURUWklTLUxZWmloS3BQeVc1VHdUTkhxODdKdko3Zm9QMHRZT3VlZ3BOb2JOdmNSc2NGTFp0RXFtbFVEMWZJREpNaXlnMUtFYUtaci11Tnc2ZFNlcV9HUUxtdGxETnVzdW5PUV9vX3c?oc=5,2026-06-09 00:05:53,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOT0R2dE9hWFRNbkRHbWEzOXNyT2JtSnktM1lQam1yWF9DemdKR3kzYzdvRllXMnVFSHNHaURUWklTLUxZWmloS3BQeVc1VHdUTkhxODdKdko3Zm9QMHRZT3VlZ3BOb2JOdmNSc2NGTFp0RXFtbFVEMWZJREpNaXlnMUtFYUtaci11Tnc2ZFNlcV9HUUxtdGxETnVzdW5PUV9vX3c?oc=5"" target=""_blank"">Centre releases relief amount of Rs 5,850 crore to 14 flood-affected states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"Kerala Weather Today: Red Alert, School Holidays And Flash Flood Warning - NativePlanet",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPQmtzYjNYZmpRSC05T05oRkNmcXlVQ0l6alh6VmUxM3lIZm55ZjJWWHYzdWJPRHRFcHRKZ3JnMDVHNE9HalFidmgwdTFqTm5wc3dQZXByNkVRcmRnUVN4NjhIWnBpY09ZMHhsckxJMlMzQTlqV3dnVWxqbER1WFpwaDVGaXQ5MGY4Ykw1emNlVV96QnBDOWpiUFRkNXlZR1lEVi1lcUZwX3hmcVN6aktMS09KZ241TTRiTkxybnNJeWRQZXlMNmUta0w1em9FdjlkLTRnMDMxNjM?oc=5,2026-06-09 10:59:08,NativePlanet,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPQmtzYjNYZmpRSC05T05oRkNmcXlVQ0l6alh6VmUxM3lIZm55ZjJWWHYzdWJPRHRFcHRKZ3JnMDVHNE9HalFidmgwdTFqTm5wc3dQZXByNkVRcmRnUVN4NjhIWnBpY09ZMHhsckxJMlMzQTlqV3dnVWxqbER1WFpwaDVGaXQ5MGY4Ykw1emNlVV96QnBDOWpiUFRkNXlZR1lEVi1lcUZwX3hmcVN6aktMS09KZ241TTRiTkxybnNJeWRQZXlMNmUta0w1em9FdjlkLTRnMDMxNjM?oc=5"" target=""_blank"">Kerala Weather Today: Red Alert, School Holidays And Flash Flood Warning</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NativePlanet</font>",Monsoon,en
