Title,Link,Date,Source,Summary,Term,LanguageQueried
Maharashtra Weather Update: महाराष्ट्रात वादळी वाऱ्यासह मुसळधार पावसाचे संकट! 20 ते 22 एप्रिल दरम्यान ‘या’ जिल्ह्यांना अलर्ट Maharashtra Weather update stormy Unseasonal rain forecast for some district in the state bet - Marathi Jagran,https://news.google.com/rss/articles/CBMi8AFBVV95cUxOMjVpYUg5aTJmdXFDSEdqYldMaU5IOHFtTzdrZkt3TXVhYktydmtLdm1rczF5X21LcDlTeWE0c0NzVUNWcTBkQUs0V0dZX2p1QXlWRkpiRmhIZE9MMkdIMnVJUi1yQ3EyQTZFcXIyRXM3ZlM5XzlZNmY0SHpLdkxWeF9pTjZUNnRoeU5BZ2p4QXZlQ1pSN044RHpGXy1qUXhMTnBWNkhueWJxLVI1VWhkUy1BRzUwLW8xaWhSTE5rMVdmalM2ZGd4NzhNWF80OWRHX0FTSjhBZ0o1VGRkQ25aOVZhNmxrLThzeWtPc003LVI?oc=5,2026-04-20 10:04:00,Marathi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxOMjVpYUg5aTJmdXFDSEdqYldMaU5IOHFtTzdrZkt3TXVhYktydmtLdm1rczF5X21LcDlTeWE0c0NzVUNWcTBkQUs0V0dZX2p1QXlWRkpiRmhIZE9MMkdIMnVJUi1yQ3EyQTZFcXIyRXM3ZlM5XzlZNmY0SHpLdkxWeF9pTjZUNnRoeU5BZ2p4QXZlQ1pSN044RHpGXy1qUXhMTnBWNkhueWJxLVI1VWhkUy1BRzUwLW8xaWhSTE5rMVdmalM2ZGd4NzhNWF80OWRHX0FTSjhBZ0o1VGRkQ25aOVZhNmxrLThzeWtPc003LVI?oc=5"" target=""_blank"">Maharashtra Weather Update: महाराष्ट्रात वादळी वाऱ्यासह मुसळधार पावसाचे संकट! 20 ते 22 एप्रिल दरम्यान ‘या’ जिल्ह्यांना अलर्ट Maharashtra Weather update stormy Unseasonal rain forecast for some district in the state bet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Marathi Jagran</font>",Monsoon,mr
"Bhendwal Bhavishyvani 2026: यंदा देशात मुसळधार पाऊस, महापूर येणार; भेंडवळच्या घटमांडणीचा अंदाज जाहीर, वाचा सविस्तर - Saam Tv",https://news.google.com/rss/articles/CBMi-AFBVV95cUxNLWxfdGQ0T3REMWxGdVE0ejRQYWI2dFg5elFMc1R3UE5rZzhuTE16N0lqY25aaHhZcXJPNnJtRGQ1ZEpVajJlM2pNUnVqckl2amxyRktwbW52Sk1lbzBjYjluY2t1YnN5emhBeTNhZE1YYXQzeWpFMFQtSXF3Zy1XMjNsTVdKdnlrd29yNUthR1g2T2djMHhHV0U5TmwzclhjVzVJeEotalEzRGtWNUhqZm1tOUllS2xILVF1OHVyanhpNjNQUXUzRi13b04teGE4RS1nVExSd0ZqenFVQkZTc2gwcUpxTDlWTDZ6eFFMamtKX2tYckhYetIBhgJBVV95cUxPV0RESkR1dlkySzZ1T2ZoeGV6QTR4NEVTTTYyQ09TYzRSN1ZFS252NjhqYzRueG02dEVudk5va3VYVnNyTmJ4S25DOGpLN0k2Rmd4YUkwc3l3UWlEcDlGakgycFVnUWFRWVVlSE5iT215Q0IwcnN5OTUyYjZ5MExRMS1XNnhfc1Z2VjhlQ3dCMU1BWmo0eVJjdXNnajRwcHZMTHVrb0w5ZDZ5N21EWHBxTk1CTHFoTk1fQVM0S2hnQ25WeFhXVXdUOS0yZjFmd0tiQ0h0X0M0QVhlUF9VLTBKYnpSYjFpbWlfRW8xbEJTcUJOcXpIajJKTGoyWnd3c3YtRWtQeEd3?oc=5,2026-04-20 07:34:43,Saam Tv,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNLWxfdGQ0T3REMWxGdVE0ejRQYWI2dFg5elFMc1R3UE5rZzhuTE16N0lqY25aaHhZcXJPNnJtRGQ1ZEpVajJlM2pNUnVqckl2amxyRktwbW52Sk1lbzBjYjluY2t1YnN5emhBeTNhZE1YYXQzeWpFMFQtSXF3Zy1XMjNsTVdKdnlrd29yNUthR1g2T2djMHhHV0U5TmwzclhjVzVJeEotalEzRGtWNUhqZm1tOUllS2xILVF1OHVyanhpNjNQUXUzRi13b04teGE4RS1nVExSd0ZqenFVQkZTc2gwcUpxTDlWTDZ6eFFMamtKX2tYckhYetIBhgJBVV95cUxPV0RESkR1dlkySzZ1T2ZoeGV6QTR4NEVTTTYyQ09TYzRSN1ZFS252NjhqYzRueG02dEVudk5va3VYVnNyTmJ4S25DOGpLN0k2Rmd4YUkwc3l3UWlEcDlGakgycFVnUWFRWVVlSE5iT215Q0IwcnN5OTUyYjZ5MExRMS1XNnhfc1Z2VjhlQ3dCMU1BWmo0eVJjdXNnajRwcHZMTHVrb0w5ZDZ5N21EWHBxTk1CTHFoTk1fQVM0S2hnQ25WeFhXVXdUOS0yZjFmd0tiQ0h0X0M0QVhlUF9VLTBKYnpSYjFpbWlfRW8xbEJTcUJOcXpIajJKTGoyWnd3c3YtRWtQeEd3?oc=5"" target=""_blank"">Bhendwal Bhavishyvani 2026: यंदा देशात मुसळधार पाऊस, महापूर येणार; भेंडवळच्या घटमांडणीचा अंदाज जाहीर, वाचा सविस्तर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Saam Tv</font>",Monsoon,mr
"Bhendwal Bhavishyvani 2026: जूनमध्ये मुसळधार पाऊस, महापूर येणार देशाची संरक्षण स्थिती तणावात - ABP Majha",https://news.google.com/rss/articles/CBMiiwJBVV95cUxQM1hSWVhrWUlUbHJuSWR2MTdXR1BTV1R4b19qWE9vbFRncVhiY3RkaWlaZGFNMHh3a0N2bUlBUFlMYnpqSlVDclJWaTRGX2swU2wtV3NMUHRrZGJLdlV2dlJqcWh6Ym9pVHB6NW5vWjN6d1U5V0lMdVo5dFI4ZEdGNmJ0aGU0SERpaFFGdUx6Nll2YUY4dlFndEJoREl0dWJkQU5XR0NNMVN6a1U3VlB0Wk9vc2g5dXpjRml3WnBHaVBBOEl4MDdXNkZwWEV1LUlxTjY0SmJGVHJ3SG5PamNuU2NmQVhXaURfaUNyWHZzenY5SmwxM2J3dzh6LThsbjJOZ1FNd1lrM1UxVVnSAZACQVVfeXFMTnRraTNNNDVldDRPTUlSQm9BMThUTDgxVlRiaW84aTdkaW9xRDZBanlSMXROMXYxbWVZbDhINEF6Vkt3YlZIaDZsdElkRE9JWUFWRG9lZmQ4cTZaQmhMdXhySi1MMDFtUjJuNktyMl9KU0w3Rll3bl9oRHFyQlAwY2xRbWJkRGhwWjJIdExrYzBQNkZXMXFha0huWDlyWDJkamNkZGREMVRMQTA2SnVsWVRJUWZNZXJFVUxXMk5icFJNcUNVTGZxSXNRMlkwR1UzamdQcGFQbXJ1a056eWpIVmdVUnNjb2ZVRTJ1NTVZa0szNGxMcG0xYURQNkxCVF9OazdUaWlKWFhSV2VjMVVydWI?oc=5,2026-04-20 06:58:11,ABP Majha,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxQM1hSWVhrWUlUbHJuSWR2MTdXR1BTV1R4b19qWE9vbFRncVhiY3RkaWlaZGFNMHh3a0N2bUlBUFlMYnpqSlVDclJWaTRGX2swU2wtV3NMUHRrZGJLdlV2dlJqcWh6Ym9pVHB6NW5vWjN6d1U5V0lMdVo5dFI4ZEdGNmJ0aGU0SERpaFFGdUx6Nll2YUY4dlFndEJoREl0dWJkQU5XR0NNMVN6a1U3VlB0Wk9vc2g5dXpjRml3WnBHaVBBOEl4MDdXNkZwWEV1LUlxTjY0SmJGVHJ3SG5PamNuU2NmQVhXaURfaUNyWHZzenY5SmwxM2J3dzh6LThsbjJOZ1FNd1lrM1UxVVnSAZACQVVfeXFMTnRraTNNNDVldDRPTUlSQm9BMThUTDgxVlRiaW84aTdkaW9xRDZBanlSMXROMXYxbWVZbDhINEF6Vkt3YlZIaDZsdElkRE9JWUFWRG9lZmQ4cTZaQmhMdXhySi1MMDFtUjJuNktyMl9KU0w3Rll3bl9oRHFyQlAwY2xRbWJkRGhwWjJIdExrYzBQNkZXMXFha0huWDlyWDJkamNkZGREMVRMQTA2SnVsWVRJUWZNZXJFVUxXMk5icFJNcUNVTGZxSXNRMlkwR1UzamdQcGFQbXJ1a056eWpIVmdVUnNjb2ZVRTJ1NTVZa0szNGxMcG0xYURQNkxCVF9OazdUaWlKWFhSV2VjMVVydWI?oc=5"" target=""_blank"">Bhendwal Bhavishyvani 2026: जूनमध्ये मुसळधार पाऊस, महापूर येणार देशाची संरक्षण स्थिती तणावात</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Majha</font>",Monsoon,mr
"Maharashtra Weather Update: राज्यात वादळी वाऱ्यासह अवकाळी पावसाची हजेरी; पंढरपूर तालुक्यात विजांचा कडकडाट, नागरिकांमध्ये भीती Possibility of rain accompanied by thunder in some parts of the state - Marathi Jagran",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQUkk2ZWRobm9oakNwekl2TDVEOFFLTGhLdDJxNDVnOXdrRDlLREFyTmEzd0E4RVZvdnZWbWxJQWpSSW1tbHhfSV9FQm5SbVlvMHVudG5IVGlXeE9ENGZnbTZPaHc2eU9scTR2aU45M3FMcHVsLTdEYllaNUx3WGVsX0NWc20yeWdBbHRJbDhCNXFiR004SVRlMkR6TG8taU5WQXQ4QUJOSlZBX1BjNlJCTHhRcnhaV1VyNDFHclZPeXk3aFE?oc=5,2026-04-20 07:29:00,Marathi Jagran,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQUkk2ZWRobm9oakNwekl2TDVEOFFLTGhLdDJxNDVnOXdrRDlLREFyTmEzd0E4RVZvdnZWbWxJQWpSSW1tbHhfSV9FQm5SbVlvMHVudG5IVGlXeE9ENGZnbTZPaHc2eU9scTR2aU45M3FMcHVsLTdEYllaNUx3WGVsX0NWc20yeWdBbHRJbDhCNXFiR004SVRlMkR6TG8taU5WQXQ4QUJOSlZBX1BjNlJCTHhRcnhaV1VyNDFHclZPeXk3aFE?oc=5"" target=""_blank"">Maharashtra Weather Update: राज्यात वादळी वाऱ्यासह अवकाळी पावसाची हजेरी; पंढरपूर तालुक्यात विजांचा कडकडाट, नागरिकांमध्ये भीती Possibility of rain accompanied by thunder in some parts of the state</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Marathi Jagran</font>",Monsoon,mr
Maharashtra Weather Alert: राज्यावर ‘पूर्वमोसमी’चे सावट - Agrowon,https://news.google.com/rss/articles/CBMigwFBVV95cUxPZjlzRUFQdkpFWGtxNVE2clNOSkNsVm5RT2VnWTRUODhtbm8zZGJzT3RWUmpLd1l4T2Nfc3NHcTZDSUpidDNDUmpNX3JqUWtVUnpMVE85V3FpTllndFBLUmRpQ0VybTBfWWl0ODJ4NnFDQlJkWkI5UHdXd2J0RktFdGlobw?oc=5,2026-04-20 06:00:00,Agrowon,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxPZjlzRUFQdkpFWGtxNVE2clNOSkNsVm5RT2VnWTRUODhtbm8zZGJzT3RWUmpLd1l4T2Nfc3NHcTZDSUpidDNDUmpNX3JqUWtVUnpMVE85V3FpTllndFBLUmRpQ0VybTBfWWl0ODJ4NnFDQlJkWkI5UHdXd2J0RktFdGlobw?oc=5"" target=""_blank"">Maharashtra Weather Alert: राज्यावर ‘पूर्वमोसमी’चे सावट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agrowon</font>",Monsoon,mr
Maharashtra Weather: राज्यात पावसासह वादळी वाऱ्याचा इशारा; समुद्रापासून दूर राहण्याचा हवामान विभागाचा सल्ला - Pudhari,https://news.google.com/rss/articles/CBMitgFBVV95cUxQZEpFc2pJS2M2OGl5Tm52Z2ZTRWhuQzRKLUN4ZlhsZzZ4d0pqTExXLWMxNFF5SDUtcmswRmpiY2k0ZUVaUEo0akEyUERVcVJPaG5GOEZqdmhGZ1dNUEVsOVJxYWRZaGJ5Q0pEcm83MHBJbmdsZXFOekRNbHBPeU9IYVc5NmZlX3dsNVZUWmlCLWZvYjhvZ3hYdEFsVVFYb2ZHQnpWMENGTTN0d0VwR1A0dzRZZG1lZ9IBwwFBVV95cUxNNWg4WDNwR0cxdjNIZGhwVmstakYyRDlTeFB2OUNHdEN0dmhDbkljdVdnaU53TUE2dHljTjNBWU84OVF1MjBnRTlfSC1jNkp1blZIT0JpcjgxcjdqR2FUMk1sbjVUZmlMaWlZNWdpSmlMZURLRnpxbk9DRHhsSzJzMEExX0ltTDdBT2NrU1p4UkxMdEVtX3lWeDRDSEI1ZFloajBTaUJfV1M1SUNlSkVuc29PZ2tLTUoxRlMwV3loUTJESzA?oc=5,2026-04-20 08:25:27,Pudhari,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQZEpFc2pJS2M2OGl5Tm52Z2ZTRWhuQzRKLUN4ZlhsZzZ4d0pqTExXLWMxNFF5SDUtcmswRmpiY2k0ZUVaUEo0akEyUERVcVJPaG5GOEZqdmhGZ1dNUEVsOVJxYWRZaGJ5Q0pEcm83MHBJbmdsZXFOekRNbHBPeU9IYVc5NmZlX3dsNVZUWmlCLWZvYjhvZ3hYdEFsVVFYb2ZHQnpWMENGTTN0d0VwR1A0dzRZZG1lZ9IBwwFBVV95cUxNNWg4WDNwR0cxdjNIZGhwVmstakYyRDlTeFB2OUNHdEN0dmhDbkljdVdnaU53TUE2dHljTjNBWU84OVF1MjBnRTlfSC1jNkp1blZIT0JpcjgxcjdqR2FUMk1sbjVUZmlMaWlZNWdpSmlMZURLRnpxbk9DRHhsSzJzMEExX0ltTDdBT2NrU1p4UkxMdEVtX3lWeDRDSEI1ZFloajBTaUJfV1M1SUNlSkVuc29PZ2tLTUoxRlMwV3loUTJESzA?oc=5"" target=""_blank"">Maharashtra Weather: राज्यात पावसासह वादळी वाऱ्याचा इशारा; समुद्रापासून दूर राहण्याचा हवामान विभागाचा सल्ला</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pudhari</font>",Monsoon,mr
"North, Central India Brace For Heatwave; Northeast To See Intense Rainfall: IMD - NDTV Profit",https://news.google.com/rss/articles/CBMi0wFBVV95cUxOOW1xbm96SEJpUFJNaWx4VDRJSkZmdGNQajBVQWxRdTRuZlF2QjhXYXpvLUhSQ1NVX2MwdkxFekxFSFVWTEJKU3ZSckVMOFJXVE9kRzVON05qbzZ1ald5S0tVUWdVQTM4N3l6UGpQVi1nVWx6OW15YzQzVHdic2p6VEp4TnFCRi0zT0dlaldxWXowTFRPdHJwSG5PZ3RYVUlqOTVJUWNEMnZRQWFBQXM0akw4NHlQbnQ3dU84YzVuTzRKMTRxMFEwTmxhNTh6VFhlSWtN0gHbAUFVX3lxTFBPcHFKRDRVV2I0ek03RUJsYkZaaFB3WHJpZGpxRkVydmdqbXkwMVlncFp2TGhlWWZ6U0hIR1BtMC1UNjdrTFpzakxIOUtLb0ROaGhhd2JwNm5qYlljdUl0cXFwYjZmNVZmQlpKMi00MHh0bnJIbjFYT29RRFI4QkUtN0FkVFNKMXNQVGR6czNjT2pVcVRuVUk5X0MwU3AwN0ZQWGx5cTZxcTNKSmJlOFF3a21oLVlVSzh3bHVZMzNQR3h1UEVIcVdmRmJ1TVZ3ZVZWQnA1RjBXQjc5bw?oc=5,2026-04-20 10:04:01,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOOW1xbm96SEJpUFJNaWx4VDRJSkZmdGNQajBVQWxRdTRuZlF2QjhXYXpvLUhSQ1NVX2MwdkxFekxFSFVWTEJKU3ZSckVMOFJXVE9kRzVON05qbzZ1ald5S0tVUWdVQTM4N3l6UGpQVi1nVWx6OW15YzQzVHdic2p6VEp4TnFCRi0zT0dlaldxWXowTFRPdHJwSG5PZ3RYVUlqOTVJUWNEMnZRQWFBQXM0akw4NHlQbnQ3dU84YzVuTzRKMTRxMFEwTmxhNTh6VFhlSWtN0gHbAUFVX3lxTFBPcHFKRDRVV2I0ek03RUJsYkZaaFB3WHJpZGpxRkVydmdqbXkwMVlncFp2TGhlWWZ6U0hIR1BtMC1UNjdrTFpzakxIOUtLb0ROaGhhd2JwNm5qYlljdUl0cXFwYjZmNVZmQlpKMi00MHh0bnJIbjFYT29RRFI4QkUtN0FkVFNKMXNQVGR6czNjT2pVcVRuVUk5X0MwU3AwN0ZQWGx5cTZxcTNKSmJlOFF3a21oLVlVSzh3bHVZMzNQR3h1UEVIcVdmRmJ1TVZ3ZVZWQnA1RjBXQjc5bw?oc=5"" target=""_blank"">North, Central India Brace For Heatwave; Northeast To See Intense Rainfall: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",Monsoon,en
Assam Floods: Woman Dies After Falling Into Open Drain Amid Heavy Rains In Guwahati – Video - Free Press Journal,https://news.google.com/rss/articles/CBMixAFBVV95cUxNSmFQc0dLTUZaWGtXNEs0aFRiaUJJMVBHb3VZcWt6bmtLeHdkckt3Sk13aC1oNU01OFNVdzZOR1dFS0pKWXlZMUJhTjNwN3dIM1A4Sk5ZaUFNVnRoY3dkSTdDN3p6aU41OVBBLXBKc1RSS0FZYXU3aTBzbnRyWGd0bGlxWm5jWnJnLUdNLWFQeUVBMm43WmJtU18ycE1XUncxYUlMWHR6bkxXTnVia05xWGVFbE1WVVFoaVpVbnZPX2tQUV850gHKAUFVX3lxTE4tS0lwZWFmejQ3SmU3bS1oTXBjZG5xc09VQ25nNFY5RXIzODVESElUY1V2TUZKMjlOeDhQNjFUaXhyeFQ0NlFRUktnUkYxdzNyQlVKTnU2NDM0ejFLc0VBc0t3Tk52NUc5d1pHMzRjSmxrOUlDM2tfQ3RVd0pYYzZYNG00MWNCVEczWXhDTDZ1RDJMdVZia19xaG9ZMzh0M0FXMjBfcjJET3ZIZ2VTOXc4dzVnTzlSY0YtdmVQYUFjV2dRb28zaUYxUHc?oc=5,2026-04-20 11:14:10,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNSmFQc0dLTUZaWGtXNEs0aFRiaUJJMVBHb3VZcWt6bmtLeHdkckt3Sk13aC1oNU01OFNVdzZOR1dFS0pKWXlZMUJhTjNwN3dIM1A4Sk5ZaUFNVnRoY3dkSTdDN3p6aU41OVBBLXBKc1RSS0FZYXU3aTBzbnRyWGd0bGlxWm5jWnJnLUdNLWFQeUVBMm43WmJtU18ycE1XUncxYUlMWHR6bkxXTnVia05xWGVFbE1WVVFoaVpVbnZPX2tQUV850gHKAUFVX3lxTE4tS0lwZWFmejQ3SmU3bS1oTXBjZG5xc09VQ25nNFY5RXIzODVESElUY1V2TUZKMjlOeDhQNjFUaXhyeFQ0NlFRUktnUkYxdzNyQlVKTnU2NDM0ejFLc0VBc0t3Tk52NUc5d1pHMzRjSmxrOUlDM2tfQ3RVd0pYYzZYNG00MWNCVEczWXhDTDZ1RDJMdVZia19xaG9ZMzh0M0FXMjBfcjJET3ZIZ2VTOXc4dzVnTzlSY0YtdmVQYUFjV2dRb28zaUYxUHc?oc=5"" target=""_blank"">Assam Floods: Woman Dies After Falling Into Open Drain Amid Heavy Rains In Guwahati – Video</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",Monsoon,en
"Potholes, cracks & flood: Roads here will test your driving skills - The Times of India",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPa2FuSGU4eE1obGhNMHNZd1FVajY3ekprVHdQZjVSbEcwMVpPNnJEN0tfWmxISnR0VzMzbC13TjE1Rlo0UHFxZ0tlbnNoSkFHVi1ZNWhZeEJ0bHhvaHd6RjU1cDNJTWJGZ1U2QkwxRmIwSVJrOXk1NFJ2VkJMX1JGM01DUFdfT0R5LXExcFpSQTVEb0NweWc4Wm5QM0hxNDNnSEQ0T0FjRFBtZEVURTQ4UnFIRnVvc25yLUZpV0MxSWZBeS1oQTI3VVotU1hWbDZv0gHWAUFVX3lxTE92THdzNWswcl9TcThCYzhtV3dmQ2hNMFFyWUN2VHFDdWpfdTVVWnEwZWF1VXZUbzVDM0hOWVp1RkVwLWpjREVPc3gyX0xXQjRWV2dpRFJGRWdvY0g5elJ3ajBBQ3pubzhrZkNjRGxSOW1La2x5Z2hBMWRsVWtNSFAwajRkcHdrdjFveDd1T0UtY2g4MU80RXFDc2RvYTczX25ORUZnWmtpZEV5NndEc2c1SlliMWVMOW1MYzVJTlVmZ0ZnNGpXYWpONE9sZmpnbDhlMjREVVE?oc=5,2026-04-20 00:35:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPa2FuSGU4eE1obGhNMHNZd1FVajY3ekprVHdQZjVSbEcwMVpPNnJEN0tfWmxISnR0VzMzbC13TjE1Rlo0UHFxZ0tlbnNoSkFHVi1ZNWhZeEJ0bHhvaHd6RjU1cDNJTWJGZ1U2QkwxRmIwSVJrOXk1NFJ2VkJMX1JGM01DUFdfT0R5LXExcFpSQTVEb0NweWc4Wm5QM0hxNDNnSEQ0T0FjRFBtZEVURTQ4UnFIRnVvc25yLUZpV0MxSWZBeS1oQTI3VVotU1hWbDZv0gHWAUFVX3lxTE92THdzNWswcl9TcThCYzhtV3dmQ2hNMFFyWUN2VHFDdWpfdTVVWnEwZWF1VXZUbzVDM0hOWVp1RkVwLWpjREVPc3gyX0xXQjRWV2dpRFJGRWdvY0g5elJ3ajBBQ3pubzhrZkNjRGxSOW1La2x5Z2hBMWRsVWtNSFAwajRkcHdrdjFveDd1T0UtY2g4MU80RXFDc2RvYTczX25ORUZnWmtpZEV5NndEc2c1SlliMWVMOW1MYzVJTlVmZ0ZnNGpXYWpONE9sZmpnbDhlMjREVVE?oc=5"" target=""_blank"">Potholes, cracks & flood: Roads here will test your driving skills</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"Rainwater harvesting systems defunct in Gurgaon’s Sector 40, residents flag flood threat - The Times of India",https://news.google.com/rss/articles/CBMi8wFBVV95cUxPR0MyYW83N0NqUmRmV0ZPM0NxT3V4cXdfWW8yekhLRlRNb1VCZ2x4eGtkREhGX1EzRURRek84VklCSWZwbkVQN3VHUVctb1FmUmY4Tm5DeGhaQ2VLZXlYSGItUUJIZGRxSFhURVNzM3lsQnRvVUpzTFd1RHNyZDJXSmdJRHRGVFFJbzZpUENBbmVkZm1SS3IxdVQ0eEdocy1kcVBkTEl4TE8yQ2Z2YUVDUTlKS1BnWTdVQnh1OEtyeERydXAtN3FWTm5Bc3NyQm44RkZoaUs4dlB0Qk5xOFNNS0NkN0ZiZU1GRENEX0JpWk5ZekXSAfgBQVVfeXFMTnBreGdfYVRMQmk5Y29BakRsR2x1TEhUaGdwZTktTkM4RzBJWWJfSWhodGpoeV9zdlJoZGhLT3lISGdUWHRaSmFhODVOT0x3M3BwbTNrb3FydHJvOWxWNGpENEdfMWJVOUdWYUJtNXY2cU91a0tuaGJEVURDTDRkU3FQd3JFZllvclh2VnNvYkJsZHJmeGZ4a095enBael8teWpBdVNNUEllUjNmZDBwRUVLM1pSY2UzT2lKV3doMmp4YWNWQUF6T0pScVhiLTVVc2w4bWdwUnVidDFZSHJkdEtMTXkyWjYwWWZKSGlqNDliN0xMaDdMU0g?oc=5,2026-04-20 01:22:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxPR0MyYW83N0NqUmRmV0ZPM0NxT3V4cXdfWW8yekhLRlRNb1VCZ2x4eGtkREhGX1EzRURRek84VklCSWZwbkVQN3VHUVctb1FmUmY4Tm5DeGhaQ2VLZXlYSGItUUJIZGRxSFhURVNzM3lsQnRvVUpzTFd1RHNyZDJXSmdJRHRGVFFJbzZpUENBbmVkZm1SS3IxdVQ0eEdocy1kcVBkTEl4TE8yQ2Z2YUVDUTlKS1BnWTdVQnh1OEtyeERydXAtN3FWTm5Bc3NyQm44RkZoaUs4dlB0Qk5xOFNNS0NkN0ZiZU1GRENEX0JpWk5ZekXSAfgBQVVfeXFMTnBreGdfYVRMQmk5Y29BakRsR2x1TEhUaGdwZTktTkM4RzBJWWJfSWhodGpoeV9zdlJoZGhLT3lISGdUWHRaSmFhODVOT0x3M3BwbTNrb3FydHJvOWxWNGpENEdfMWJVOUdWYUJtNXY2cU91a0tuaGJEVURDTDRkU3FQd3JFZllvclh2VnNvYkJsZHJmeGZ4a095enBael8teWpBdVNNUEllUjNmZDBwRUVLM1pSY2UzT2lKV3doMmp4YWNWQUF6T0pScVhiLTVVc2w4bWdwUnVidDFZSHJkdEtMTXkyWjYwWWZKSGlqNDliN0xMaDdMU0g?oc=5"" target=""_blank"">Rainwater harvesting systems defunct in Gurgaon’s Sector 40, residents flag flood threat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
