Title,Link,Date,Source,Summary,Term,LanguageQueried
"Centre releases Rs 1,066.80 crore for flood, landslide relief in 6 states - Greater Kashmir",https://news.google.com/rss/articles/CBMisgFBVV95cUxPRUYxNjR1U2I4bTdDV0dNV3ZGSl9raG9oN2NySnRRQ29lRklhX0FqVmt3QVd3Zl9wRDhkNTF4Q21CaEFTbGpFb3pwQUpXMkFzXzFHbHE1eFNDM09tTlN6ZmI1WUtEbG1OaEtYbGtYNlRZVTJvTV9uaEhQWXdGVVJaSDBXUWFuWW1jN0YzSnhzeTl4bGpZZFdVYVp5S1VGRHFwTXdFOE9fTHk3WEwyaDFPUWhn0gG7AUFVX3lxTE84Wk16d0dKZ0NtM1czVk1BYzMwYWY0bFJqdVZsMURQMjdmb1RqblVndjJaU2dpOEJ6dUVrejdZVGQ2d1JoZHZGQ3hWdGhsTnNUZXc3bW4xWUVFbXZnR2U1LThMR1lMZjZuRm5XbkF0UjNRMkxpX0ROaVoyMkFjZk9pVTY3Z1RHU3JqUjQyYmJac3hyVnhSRVU0ZXFGcDF5MndnelhNNjlSWGQ1RTJwQjF3LVFmbDlmVVpGc0E?oc=5,2025-07-11 00:30:03,Greater Kashmir,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPRUYxNjR1U2I4bTdDV0dNV3ZGSl9raG9oN2NySnRRQ29lRklhX0FqVmt3QVd3Zl9wRDhkNTF4Q21CaEFTbGpFb3pwQUpXMkFzXzFHbHE1eFNDM09tTlN6ZmI1WUtEbG1OaEtYbGtYNlRZVTJvTV9uaEhQWXdGVVJaSDBXUWFuWW1jN0YzSnhzeTl4bGpZZFdVYVp5S1VGRHFwTXdFOE9fTHk3WEwyaDFPUWhn0gG7AUFVX3lxTE84Wk16d0dKZ0NtM1czVk1BYzMwYWY0bFJqdVZsMURQMjdmb1RqblVndjJaU2dpOEJ6dUVrejdZVGQ2d1JoZHZGQ3hWdGhsTnNUZXc3bW4xWUVFbXZnR2U1LThMR1lMZjZuRm5XbkF0UjNRMkxpX0ROaVoyMkFjZk9pVTY3Z1RHU3JqUjQyYmJac3hyVnhSRVU0ZXFGcDF5MndnelhNNjlSWGQ1RTJwQjF3LVFmbDlmVVpGc0E?oc=5"" target=""_blank"">Centre releases Rs 1,066.80 crore for flood, landslide relief in 6 states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Greater Kashmir</font>",Monsoon,en
"Heavy Rain Alert: In the next 48 to 72 hours, these states are likely to face heavy to very heavy rainfall ... - businessleague.in",https://news.google.com/rss/articles/CBMi6gFBVV95cUxNYW96dl9IM3V4cm1wLUE3VVM2bDhJaDFYSUVJOGlOaXdmRVlaZWptRXVlRmJwc1REdTVNd3AxekZwOGRoX1J3RGtJcFA3R3VFVDNacHB0c0tfOGZuVGsyMGNJOWpDMDBPLXNYQVdtclI4RjItM3FFMm1haHUybnhncXFzTm1hOGt6Q1ItSWNSa2ZpLWoybVZic21yNkVvalYzWHR3LXdNTllEcnFOa1NFaEduRnAyb2hCTklxRS02NEExMFgyY19PbzdKaC1QOTN1Z1d6TDZEaEZkbHVYRzI4bHVPc25fbng5NmfSAeoBQVVfeXFMTWFvenZfSDN1eHJtcC1BN1VTNmw4SWgxWElFSThpTml3ZkVZWmVqbUV1ZUZicHNURHU1TXdwMXpGcDhkaF9Sd0RrSXBQN0d1RVQzWnBwdHNLXzhmblRrMjBjSTlqQzAwTy1zWEFXbXJSOEYyLTNxRTJtYWh1Mm54Z3Fxc05tYThrekNSLUljUmtmaS1qMm1WYnNtcjZFb2pWM1h0dy13TU5ZRHJxTmtTRWhHbkZwMm9oQk5JcUUtNjRBMTBYMmNfT283SmgtUDkzdWdXekw2RGhGZGx1WEcyOGx1T3NuX254OTZn?oc=5,2025-07-11 09:59:12,businessleague.in,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNYW96dl9IM3V4cm1wLUE3VVM2bDhJaDFYSUVJOGlOaXdmRVlaZWptRXVlRmJwc1REdTVNd3AxekZwOGRoX1J3RGtJcFA3R3VFVDNacHB0c0tfOGZuVGsyMGNJOWpDMDBPLXNYQVdtclI4RjItM3FFMm1haHUybnhncXFzTm1hOGt6Q1ItSWNSa2ZpLWoybVZic21yNkVvalYzWHR3LXdNTllEcnFOa1NFaEduRnAyb2hCTklxRS02NEExMFgyY19PbzdKaC1QOTN1Z1d6TDZEaEZkbHVYRzI4bHVPc25fbng5NmfSAeoBQVVfeXFMTWFvenZfSDN1eHJtcC1BN1VTNmw4SWgxWElFSThpTml3ZkVZWmVqbUV1ZUZicHNURHU1TXdwMXpGcDhkaF9Sd0RrSXBQN0d1RVQzWnBwdHNLXzhmblRrMjBjSTlqQzAwTy1zWEFXbXJSOEYyLTNxRTJtYWh1Mm54Z3Fxc05tYThrekNSLUljUmtmaS1qMm1WYnNtcjZFb2pWM1h0dy13TU5ZRHJxTmtTRWhHbkZwMm9oQk5JcUUtNjRBMTBYMmNfT283SmgtUDkzdWdXekw2RGhGZGx1WEcyOGx1T3NuX254OTZn?oc=5"" target=""_blank"">Heavy Rain Alert: In the next 48 to 72 hours, these states are likely to face heavy to very heavy rainfall ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">businessleague.in</font>",Monsoon,en
Monsoon Update: Alert of thunder and heavy rain in these districts - Times Bull,https://news.google.com/rss/articles/CBMimwFBVV95cUxQX1JMU1VRNWlNX3VCQkNYaVk2S3JWRkdUaFpQQXJEQzBEQ2JfM3A3X25rSTBxYVpNY3BqSnVOdXNRcDQzSnhja2VYSThySktvSzcwSWM5YUk0V1JDbnJtcmVpaGxpc2E3Z1puZDZCT3FPam1wQVhaemxpc3M3OUhhbkJCWlZKLWVjbm5UQnM2R1FDZlREMmV0elE1QdIBoAFBVV95cUxQbGI1TGRlQTRseTkzbEVha0lCZTltUmRoZlNBMkxrY1JSajJVVk5mNUlZZEtqQ21Ec1h4aUUwQ09WeF94Q1RLX0hMY21qRzlqaXdaSWhEbVNyaldHaVZ6ZDF3ZzFxc0ljaTFORGtpczdxb2hmczlUWjd6R1NsckdmRVg5b2xhVzYzSjZJTkJVVzJiSWREQjlOUEhycnhrVEFP?oc=5,2025-07-11 07:35:38,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxQX1JMU1VRNWlNX3VCQkNYaVk2S3JWRkdUaFpQQXJEQzBEQ2JfM3A3X25rSTBxYVpNY3BqSnVOdXNRcDQzSnhja2VYSThySktvSzcwSWM5YUk0V1JDbnJtcmVpaGxpc2E3Z1puZDZCT3FPam1wQVhaemxpc3M3OUhhbkJCWlZKLWVjbm5UQnM2R1FDZlREMmV0elE1QdIBoAFBVV95cUxQbGI1TGRlQTRseTkzbEVha0lCZTltUmRoZlNBMkxrY1JSajJVVk5mNUlZZEtqQ21Ec1h4aUUwQ09WeF94Q1RLX0hMY21qRzlqaXdaSWhEbVNyaldHaVZ6ZDF3ZzFxc0ljaTFORGtpczdxb2hmczlUWjd6R1NsckdmRVg5b2xhVzYzSjZJTkJVVzJiSWREQjlOUEhycnhrVEFP?oc=5"" target=""_blank"">Monsoon Update: Alert of thunder and heavy rain in these districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Monsoon,en
Heavy rains trigger flash flood in Manipur’s Churachandpur - Nagaland Post,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOaHZWc3NTMENZZHdMQjVwOENhbVR5MmFFVzh2VWlnSXpvT0RVQzctLVdJMEFnVlBZek16cVB4aS1VT0lQdE12Z1BjeGZvWnYzdkpNcmtqOGxnNlV3V3AyWDhfYnBFalVlUVJxUHpDVDdzcHY0NFNDaENydXZBRmFhNEVWeFRQRTZSOTNJ?oc=5,2025-07-11 01:35:33,Nagaland Post,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxOaHZWc3NTMENZZHdMQjVwOENhbVR5MmFFVzh2VWlnSXpvT0RVQzctLVdJMEFnVlBZek16cVB4aS1VT0lQdE12Z1BjeGZvWnYzdkpNcmtqOGxnNlV3V3AyWDhfYnBFalVlUVJxUHpDVDdzcHY0NFNDaENydXZBRmFhNEVWeFRQRTZSOTNJ?oc=5"" target=""_blank"">Heavy rains trigger flash flood in Manipur’s Churachandpur</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nagaland Post</font>",Monsoon,en
"Centre approve Rs 1,066 cr to six flood, landslides affected states - UNITED NEWS OF INDIA",https://news.google.com/rss/articles/CBMitgFBVV95cUxPN1ZpWE1VTTd4V0JJeE9TZW80U3E1UFV1ekEzalA0c0ROOGNzQ1FyZk9qdXlSUVhVU25CNjFYcDd0Vk1ySXNzOWplRkp1Z3N3eDRDaU1COVg1alZQNzBETEJGY2RZUFlnWVUyWUNzUXlnclZ5V193OFFfbWhvSjFLX05kcGhoUk1BX0ltZmpmY013RWl2OVhHNWF1ZXduSWpocHd0QW5Xcmxlb2Nmakw4NlQ1cHhUdw?oc=5,2025-07-11 07:46:00,UNITED NEWS OF INDIA,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPN1ZpWE1VTTd4V0JJeE9TZW80U3E1UFV1ekEzalA0c0ROOGNzQ1FyZk9qdXlSUVhVU25CNjFYcDd0Vk1ySXNzOWplRkp1Z3N3eDRDaU1COVg1alZQNzBETEJGY2RZUFlnWVUyWUNzUXlnclZ5V193OFFfbWhvSjFLX05kcGhoUk1BX0ltZmpmY013RWl2OVhHNWF1ZXduSWpocHd0QW5Xcmxlb2Nmakw4NlQ1cHhUdw?oc=5"" target=""_blank"">Centre approve Rs 1,066 cr to six flood, landslides affected states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UNITED NEWS OF INDIA</font>",Monsoon,en
"Centre Sanctions Rs 1066 Cr For Flood And Landslide HIt Assam, Manipur, Meghalaya & Mizoram - Northeast Live",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNVm1jWE5McGdxeDk4cVVfN1FHSXN3aFdTN3o2VEdGcnlYVl8wQ09WcGxQQzdXajhFOTNLdEpMVGFjMk1KVFJKWk9XOWxfWGxHbzNuRTBSVFZDcnhybzAzQTh6QUxlazE3dWliT09STDdUZFNhV0ZpWXcxMW9DYVBIS3ljbkZvQWRkRzBwMlFWNVF1Mk1HU0tIVDNOV0NFTzMyT3VCOTJuRmdBZmd6bDlFZ1MtQ2FyWmNUYlFmYk9wX2ptZw?oc=5,2025-07-11 09:36:58,Northeast Live,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNVm1jWE5McGdxeDk4cVVfN1FHSXN3aFdTN3o2VEdGcnlYVl8wQ09WcGxQQzdXajhFOTNLdEpMVGFjMk1KVFJKWk9XOWxfWGxHbzNuRTBSVFZDcnhybzAzQTh6QUxlazE3dWliT09STDdUZFNhV0ZpWXcxMW9DYVBIS3ljbkZvQWRkRzBwMlFWNVF1Mk1HU0tIVDNOV0NFTzMyT3VCOTJuRmdBZmd6bDlFZ1MtQ2FyWmNUYlFmYk9wX2ptZw?oc=5"" target=""_blank"">Centre Sanctions Rs 1066 Cr For Flood And Landslide HIt Assam, Manipur, Meghalaya & Mizoram</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeast Live</font>",Monsoon,en
Braving the storm: Indian Army brings hope to flood-hit Northeast under 'Operation Jal Rahat 2’ - Eastern Mirror,https://news.google.com/rss/articles/CBMiygFBVV95cUxNZG5WNXlfZ0VjVmloMUxLNENPeWppcGdNSy1acW5PcEt6ZWNPV25hUXRTT1Rfb0kzUXQ4LVd1V2hBaVB0TXFwM2ZtR2paUVFpd3hibW5MMjUwRFU4TjVPcXBlZzVNWGxQLWRmWTdQblprM0pCRzdwVVIzQy1VYmRrWjJld1JCNklTNGZHYUh4YWMtUkFRNnBTTGFzNXZXaG5mTGl6UmNTMFZmUUVSTWZHSmxaMUhISkRyQVFXT0c3WDBQcmpRT2NuT0tB?oc=5,2025-07-11 05:54:53,Eastern Mirror,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNZG5WNXlfZ0VjVmloMUxLNENPeWppcGdNSy1acW5PcEt6ZWNPV25hUXRTT1Rfb0kzUXQ4LVd1V2hBaVB0TXFwM2ZtR2paUVFpd3hibW5MMjUwRFU4TjVPcXBlZzVNWGxQLWRmWTdQblprM0pCRzdwVVIzQy1VYmRrWjJld1JCNklTNGZHYUh4YWMtUkFRNnBTTGFzNXZXaG5mTGl6UmNTMFZmUUVSTWZHSmxaMUhISkRyQVFXT0c3WDBQcmpRT2NuT0tB?oc=5"" target=""_blank"">Braving the storm: Indian Army brings hope to flood-hit Northeast under 'Operation Jal Rahat 2’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Eastern Mirror</font>",Monsoon,en
"मॉनसून का अब विकराल रूप, बचकर रहें! 11 से 14 जुलाई तक इन राज्यों में भारी से भारी बारिश का कहर, जानें कहां... - Zee News",https://news.google.com/rss/articles/CBMi7AFBVV95cUxNcHZzd21mZ3FVd2k5c2xVM1NUNXdVNUVZQlRpTTJtVHhNZUszcGlpUUpTLUtHdWh5VjJncFk0d05zVkE2SjNrMTlTNGQtNG1pa0FGd2lZUXVlUFZJeVhSLVI5VjdUbUNLRDRTSGcydG9ra1RoSmR3aDlYRjNLeTZYQ2NDamd0N1lSMVpESU1taVBmUG52M1ByWEo2eHk1T213dHVFc3diLXVqU3dNeG1FN1pyemZzVWJia0VsY0tUTEJId3I0eUx2aHh1R3lMbUc1NDhsSkhoQ2RCUHJFVVVFeE9NVWVlUmdzb2l1dtIB8gFBVV95cUxNOHhxZ2RjZC1mTVQ5bE5vTWMydWt5ejE4V0s2Ui1jT3B2bmNrLWhXQXRiakY1dmR1YXRCSUdlLXFsUkJqZ3RsSFRNUDZ4NXluUUd6eG0yLWdLTU1aM0lEU3AyRllEYnItN0kwTGhpRlI2OGtIWTBGR3o1b1pncmoxcTNGdl95emxoWW5rdmRTMnB2V0NpTVdBY2otQWVfU0NwNFFucFZWNjlZVVJsWTRTNENLakVSSEpIV2pzWjF3SEp3RzZWNWVBM040WVJXa1A0OERpVlVIMGs0Y0M3NXdiQ3lzcExCQnBhWGZnSnhuQU5IZw?oc=5,2025-07-11 06:49:09,Zee News,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNcHZzd21mZ3FVd2k5c2xVM1NUNXdVNUVZQlRpTTJtVHhNZUszcGlpUUpTLUtHdWh5VjJncFk0d05zVkE2SjNrMTlTNGQtNG1pa0FGd2lZUXVlUFZJeVhSLVI5VjdUbUNLRDRTSGcydG9ra1RoSmR3aDlYRjNLeTZYQ2NDamd0N1lSMVpESU1taVBmUG52M1ByWEo2eHk1T213dHVFc3diLXVqU3dNeG1FN1pyemZzVWJia0VsY0tUTEJId3I0eUx2aHh1R3lMbUc1NDhsSkhoQ2RCUHJFVVVFeE9NVWVlUmdzb2l1dtIB8gFBVV95cUxNOHhxZ2RjZC1mTVQ5bE5vTWMydWt5ejE4V0s2Ui1jT3B2bmNrLWhXQXRiakY1dmR1YXRCSUdlLXFsUkJqZ3RsSFRNUDZ4NXluUUd6eG0yLWdLTU1aM0lEU3AyRllEYnItN0kwTGhpRlI2OGtIWTBGR3o1b1pncmoxcTNGdl95emxoWW5rdmRTMnB2V0NpTVdBY2otQWVfU0NwNFFucFZWNjlZVVJsWTRTNENLakVSSEpIV2pzWjF3SEp3RzZWNWVBM040WVJXa1A0OERpVlVIMGs0Y0M3NXdiQ3lzcExCQnBhWGZnSnhuQU5IZw?oc=5"" target=""_blank"">मॉनसून का अब विकराल रूप, बचकर रहें! 11 से 14 जुलाई तक इन राज्यों में भारी से भारी बारिश का कहर, जानें कहां...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Monsoon,hi
"Weather today: राजधानी दिल्ली पानी-पानी, हिमाचल से ओडिशा तक भारी बारिश की चेतावनी जारी - Mint",https://news.google.com/rss/articles/CBMi2wFBVV95cUxPQjRLVG4xNGlJM1RRRFEyeGdtaVdaSGJSbHA0X3hSUE5XUnRXNmJFLUxxclBDdEU3djJhdUZiMVJoWWYtbW83NS1PT2lFMDNRZm02Njd6U04xU3U3ajJpQnd0QkFxdFloejRtUUFiWXpFalh6dWJ6c3h1V283dXpCeGlXS19YVk1fM0QwZDRzR3dRQW1CejdKLXdaQ3hvOGhEQUItYkN0VW0yMnQyaGxoUWpGb1RFSXdpcVdHRUJGbFFYemdfY2pKREdRaVZJRjZZX1JSSXlMeXEzbjTSAeABQVVfeXFMTm5GUnNJc0xpQm9MYVpWOExweDJkaU5Oei1CNkZYdVRaRTU4ZVJhUkxnaDI0R2R1T2RFQTZkQzlkTG52cVRYMERMSTJ4WlNlS2RMY0RxVXdwTmg3bU5hZHlTSFNmZGdyTWljWEVUZGNYOVlEZDFVSV9NWmtzQU9TMmlKMnlKT00tVWhhSEF1UTdmSW9QU2ZpbTl4ZlFXeDBwbFpMWTFPY1FFMlRVQWVUUFBPRGdvakFYLUN4emp2bEdrbkJ1RlV1cE1qUHcyOHJWc25zN2xyZUtwWUdtYWg5MFA?oc=5,2025-07-11 06:30:26,Mint,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPQjRLVG4xNGlJM1RRRFEyeGdtaVdaSGJSbHA0X3hSUE5XUnRXNmJFLUxxclBDdEU3djJhdUZiMVJoWWYtbW83NS1PT2lFMDNRZm02Njd6U04xU3U3ajJpQnd0QkFxdFloejRtUUFiWXpFalh6dWJ6c3h1V283dXpCeGlXS19YVk1fM0QwZDRzR3dRQW1CejdKLXdaQ3hvOGhEQUItYkN0VW0yMnQyaGxoUWpGb1RFSXdpcVdHRUJGbFFYemdfY2pKREdRaVZJRjZZX1JSSXlMeXEzbjTSAeABQVVfeXFMTm5GUnNJc0xpQm9MYVpWOExweDJkaU5Oei1CNkZYdVRaRTU4ZVJhUkxnaDI0R2R1T2RFQTZkQzlkTG52cVRYMERMSTJ4WlNlS2RMY0RxVXdwTmg3bU5hZHlTSFNmZGdyTWljWEVUZGNYOVlEZDFVSV9NWmtzQU9TMmlKMnlKT00tVWhhSEF1UTdmSW9QU2ZpbTl4ZlFXeDBwbFpMWTFPY1FFMlRVQWVUUFBPRGdvakFYLUN4emp2bEdrbkJ1RlV1cE1qUHcyOHJWc25zN2xyZUtwWUdtYWg5MFA?oc=5"" target=""_blank"">Weather today: राजधानी दिल्ली पानी-पानी, हिमाचल से ओडिशा तक भारी बारिश की चेतावनी जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,hi
"Heavy Rain Alert: अगले 48 से 72 घंटे इन राज्यों में आफत की बरसात, भारी से बहुत भारी वर्षा, आंधी-तूफान का अलर्ट - Prabhat Khabar",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNHFYQjRwUWlpRl9VajVSX2xnQlFyckJ1eEJ3V0NTTGtHVFBDOHFDcFFOXzhMNXFtMjVuVjlhWW9wek9CUVIwaUdSaXJndmhjcmZURjRBSER2aktiZHNWd1dCUHZrbDREZWllUExOWVQ5TGg1eFA0MDNSRlV1NnlSdGZuMUZLZFhzVllOdXRHZzBNeUZCMENfMk5yd0o5Vmtnd2dJbDBITGdOckJaamFzVVBwTWhESTNN0gG-AUFVX3lxTE4tX2dCOGhQZWpjeEpIbUU4ZWtqcmNwNWJEMVhqT1NRSDMwZ1ppaUpjVE11cVk4RzRXcW5uT3hfVlJaaUJUZzJQb2FmR2dfWTVEZkl4ZnBNQ05jYTh4WFVLU3VoOEMzbWZIdW5NNFdJVTlWNW1NVUEyQVg3MzV5TDVLaTZyb0lCbGh3VUJaM3BDNUZPWU9weFhVUnNBR01EeE95YTNHQm5jTFpCZ0hyVlNrbnQwWnZnd3VnMDVqMkE?oc=5,2025-07-11 05:35:00,Prabhat Khabar,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNHFYQjRwUWlpRl9VajVSX2xnQlFyckJ1eEJ3V0NTTGtHVFBDOHFDcFFOXzhMNXFtMjVuVjlhWW9wek9CUVIwaUdSaXJndmhjcmZURjRBSER2aktiZHNWd1dCUHZrbDREZWllUExOWVQ5TGg1eFA0MDNSRlV1NnlSdGZuMUZLZFhzVllOdXRHZzBNeUZCMENfMk5yd0o5Vmtnd2dJbDBITGdOckJaamFzVVBwTWhESTNN0gG-AUFVX3lxTE4tX2dCOGhQZWpjeEpIbUU4ZWtqcmNwNWJEMVhqT1NRSDMwZ1ppaUpjVE11cVk4RzRXcW5uT3hfVlJaaUJUZzJQb2FmR2dfWTVEZkl4ZnBNQ05jYTh4WFVLU3VoOEMzbWZIdW5NNFdJVTlWNW1NVUEyQVg3MzV5TDVLaTZyb0lCbGh3VUJaM3BDNUZPWU9weFhVUnNBR01EeE95YTNHQm5jTFpCZ0hyVlNrbnQwWnZnd3VnMDVqMkE?oc=5"" target=""_blank"">Heavy Rain Alert: अगले 48 से 72 घंटे इन राज्यों में आफत की बरसात, भारी से बहुत भारी वर्षा, आंधी-तूफान का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prabhat Khabar</font>",Monsoon,hi
