Title,Link,Date,Source,Summary,Term,LanguageQueried
"Heavy rains expected in Eastern and Central India as Bay of Bengal system moves in, says IMD - News9live",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQMEk4Z20xMGpTNnh3cERDbjVOZkhUX3FVTzFRYXhXUFBpem1wM20yb3RrOGFlcWVQZFpBZU1Rai1BQ2FZWjdHaGhLUTRJWWUyUTI5ZDRSNWpTNFhIeVRqRndEOVV6cWJCdkwyNTRGcGg3SHJmRHRfSmwyZlgzZmFjdk9EN3QtRzVscVRQaWl3dGJCWWRTcndJMF90akJndXZtdDRTejhSZWp6cHBLRU1FZU55Nmw2bGhpT29ETElFejBUcERweEZFNFpiWTBvRGla0gHQAUFVX3lxTFAwSThnbTEwalM2eHdwRENuNU5mSFRfcVVPMVFheFdQUGl6bXAzbTJvdGs4YWVxZVBkWkFlTVFqLUFDYVlaN0doaEtRNElZZTJRMjlkNFI1alM0WEh5VGpGd0Q5VXpxYkJ2TDI1NEZwaDdIcmZEdF9KbDJmWDNmYWN2T0Q3dC1HNWxxVFBpaXd0YkJZZFNyd0kwX3RqQmd1dm10NFN6OFJlanpwcEtFTUVlTnk2bDZsaGlPb0RMSUV6MFRwRHB4RkU0WmJZMG9EaVo?oc=5,2026-09-11 06:58:08,News9live,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQMEk4Z20xMGpTNnh3cERDbjVOZkhUX3FVTzFRYXhXUFBpem1wM20yb3RrOGFlcWVQZFpBZU1Rai1BQ2FZWjdHaGhLUTRJWWUyUTI5ZDRSNWpTNFhIeVRqRndEOVV6cWJCdkwyNTRGcGg3SHJmRHRfSmwyZlgzZmFjdk9EN3QtRzVscVRQaWl3dGJCWWRTcndJMF90akJndXZtdDRTejhSZWp6cHBLRU1FZU55Nmw2bGhpT29ETElFejBUcERweEZFNFpiWTBvRGla0gHQAUFVX3lxTFAwSThnbTEwalM2eHdwRENuNU5mSFRfcVVPMVFheFdQUGl6bXAzbTJvdGs4YWVxZVBkWkFlTVFqLUFDYVlaN0doaEtRNElZZTJRMjlkNFI1alM0WEh5VGpGd0Q5VXpxYkJ2TDI1NEZwaDdIcmZEdF9KbDJmWDNmYWN2T0Q3dC1HNWxxVFBpaXd0YkJZZFNyd0kwX3RqQmd1dm10NFN6OFJlanpwcEtFTUVlTnk2bDZsaGlPb0RMSUV6MFRwRHB4RkU0WmJZMG9EaVo?oc=5"" target=""_blank"">Heavy rains expected in Eastern and Central India as Bay of Bengal system moves in, says IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9live</font>",Monsoon,en
"Heavy rains expected in Eastern and Central India as Bay of Bengal system moves in, says IMD - News9live",https://news.google.com/rss/articles/CBMiywFBVV95cUxOd2R3TFdQTzVkY3JaUF9ZNlNyQVRSQTZZWHl2UjRjUVBPNWVJNjJNT0Jubzd0X2JodEU3S1g0ZVI3YzNhUUNnbHlPMFQ4Um5GcWRTb0d4OHpVSFZqUk1WMFV1cl9udmw5c2JhRi0xWGRhRGtXRzVwc2FoU25iMjNTTHFPeXVfbHVIeFNpR1NGNk5kOUlJQjNzd2JIZ1dTVDNMVXR4VW1hbjlVa0poQnlOOU5lYzkyTnFLYmxKRHlITFZxT2ZKcExpV1pOUQ?oc=5,2026-09-11 06:58:08,News9live,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOd2R3TFdQTzVkY3JaUF9ZNlNyQVRSQTZZWHl2UjRjUVBPNWVJNjJNT0Jubzd0X2JodEU3S1g0ZVI3YzNhUUNnbHlPMFQ4Um5GcWRTb0d4OHpVSFZqUk1WMFV1cl9udmw5c2JhRi0xWGRhRGtXRzVwc2FoU25iMjNTTHFPeXVfbHVIeFNpR1NGNk5kOUlJQjNzd2JIZ1dTVDNMVXR4VW1hbjlVa0poQnlOOU5lYzkyTnFLYmxKRHlITFZxT2ZKcExpV1pOUQ?oc=5"" target=""_blank"">Heavy rains expected in Eastern and Central India as Bay of Bengal system moves in, says IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9live</font>",Monsoon,en
"Substandard, Spurious Medicines Flood Assam Market as Health Department Faces Criticism - The Sentinel - of this Land, for its People",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNWEQ4aWlBa1NWQkVJd0xCMC1PNjFxODc2RVM3NGtab0JvZW41bjBWOThOMFJMNUZucVBHX3RGMjJldHQ1SHFINU1UaGpfVHRxV24xSWR2MmtCc2ZnYzFtaUNXYS1ISFF6RDBVUDBqRXphUTNlS0RWSDJNT3NuOHJ6ZFhtZDBVYmlfblpEOU1NRUFfTjhLN2lMNFd3SzNGOE42aUtUOFBNLTZqLU1pWU9jMHdoUEJwWGJSWS12TmkwVjA2SEdMalZ5aVhLUjFkZTd3UUpZc0tR0gHWAUFVX3lxTE1YRDhpaUFrU1ZCRUl3TEIwLU82MXE4NzZFUzc0a1pvQm9lbjVuMFY5OE4wUkw1Rm5xUEdfdEYyMmV0dDVIcUg1TVRoal9UdHFXbjFJZHYya0JzZmdjMW1pQ1dhLUhIUXpEMFVQMGpFemFRM2VLRFZIMk1Pc244cnpkWG1kMFViaV9uWkQ5TU1FQV9OOEs3aUw0V3dLM0Y4TjZpS1Q4UE0tNmotTWlZT2Mwd2hQQnBYYlJZLXZOaTBWMDZIR0xqVnlpWEtSMWRlN3dRSllzS1E?oc=5,2026-09-11 07:16:31,"The Sentinel - of this Land, for its People","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNWEQ4aWlBa1NWQkVJd0xCMC1PNjFxODc2RVM3NGtab0JvZW41bjBWOThOMFJMNUZucVBHX3RGMjJldHQ1SHFINU1UaGpfVHRxV24xSWR2MmtCc2ZnYzFtaUNXYS1ISFF6RDBVUDBqRXphUTNlS0RWSDJNT3NuOHJ6ZFhtZDBVYmlfblpEOU1NRUFfTjhLN2lMNFd3SzNGOE42aUtUOFBNLTZqLU1pWU9jMHdoUEJwWGJSWS12TmkwVjA2SEdMalZ5aVhLUjFkZTd3UUpZc0tR0gHWAUFVX3lxTE1YRDhpaUFrU1ZCRUl3TEIwLU82MXE4NzZFUzc0a1pvQm9lbjVuMFY5OE4wUkw1Rm5xUEdfdEYyMmV0dDVIcUg1TVRoal9UdHFXbjFJZHYya0JzZmdjMW1pQ1dhLUhIUXpEMFVQMGpFemFRM2VLRFZIMk1Pc244cnpkWG1kMFViaV9uWkQ5TU1FQV9OOEs3aUw0V3dLM0Y4TjZpS1Q4UE0tNmotTWlZT2Mwd2hQQnBYYlJZLXZOaTBWMDZIR0xqVnlpWEtSMWRlN3dRSllzS1E?oc=5"" target=""_blank"">Substandard, Spurious Medicines Flood Assam Market as Health Department Faces Criticism</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sentinel - of this Land, for its People</font>",Monsoon,en
MP Weather Today: रीवा-सतना समेत 12 जिलों में भारी बारिश का अलर्ट - Kheti Junction,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1rWUNCUDQ1QVBKMEQ4NGR2dHYtRkJ2QVV1YUVNWEhCblpBZnJtaHRuZnRUdHcxbzhOUnYtSnFURzVJUlRWUlBDQWh1OWdVQ21sZEUwSUxpcXZPZw?oc=5,2026-09-11 10:58:36,Kheti Junction,"<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE1rWUNCUDQ1QVBKMEQ4NGR2dHYtRkJ2QVV1YUVNWEhCblpBZnJtaHRuZnRUdHcxbzhOUnYtSnFURzVJUlRWUlBDQWh1OWdVQ21sZEUwSUxpcXZPZw?oc=5"" target=""_blank"">MP Weather Today: रीवा-सतना समेत 12 जिलों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kheti Junction</font>",Monsoon,hi
"MP Weather: एमपी में फिर एक्टिव होगा मानसून, ग्वालियर समेत इन इलाकों में 12 सितंबर से भारी बारिश का अलर्ट - Nai Dunia",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOOGVwbE91QzJXZGhfeDJfRjJoYkRyN2JKN1lrSzJEQ042Ul9Ld2pBdDVLY2pqbFAwMi1BOGY0d0l4NlhCdTh4VVJ0eWJRQ0V2TVdVd3FNaWNOVU5VeFNoTlVoS3picm1hRXZnSnktVjRZZHZCV1l3Y05DY2dHRVRuSXltMExaN0JBc1I0S0htTzdiSTI5ZjZiMXA4MU9fVk9DZnFOblRMZ25LX3diMzhoeE1zVVpyRjNwbHU1WnlHdGZ3Zi1ILW9LRnQ1RGkwYUMtUVVKNEFqLUtEOUhoQ0E?oc=5,2026-09-11 07:46:18,Nai Dunia,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOOGVwbE91QzJXZGhfeDJfRjJoYkRyN2JKN1lrSzJEQ042Ul9Ld2pBdDVLY2pqbFAwMi1BOGY0d0l4NlhCdTh4VVJ0eWJRQ0V2TVdVd3FNaWNOVU5VeFNoTlVoS3picm1hRXZnSnktVjRZZHZCV1l3Y05DY2dHRVRuSXltMExaN0JBc1I0S0htTzdiSTI5ZjZiMXA4MU9fVk9DZnFOblRMZ25LX3diMzhoeE1zVVpyRjNwbHU1WnlHdGZ3Zi1ILW9LRnQ1RGkwYUMtUVVKNEFqLUtEOUhoQ0E?oc=5"" target=""_blank"">MP Weather: एमपी में फिर एक्टिव होगा मानसून, ग्वालियर समेत इन इलाकों में 12 सितंबर से भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nai Dunia</font>",Monsoon,hi
"MP Weather Today: रीवा-सतना समेत इन जिलों में भारी बारिश के साथ आंधी-बिजली की चेतावनी, अगले तीन दिन में बदलेगा मौसम - bansalnews.com",https://news.google.com/rss/articles/CBMizgFBVV95cUxNMXp0ZEREcXFTN2hSMENzMkhtTnp3UUZXZzFxSl9vWDVxbzV3a1JlRG9SR3MyTWdTeHNKSkZfVmwybTVXWFlVLUpMY09OQldscWttcGdkWENEOE5ISUlrWGJFR3kxdmdRYmMtMEgzZG43Mndielc4WkVnM2d3SHFDSXNUbFZqOWw0QzZDU0JSNEVUSUg1WmdVWU5kbm5vOTR4MmZlREQxeEcyQjZRZ1g0SnBxd2JmcmFfSmRMZ3VhTGRpeEszSzZfVFhHbEpOd9IB0wFBVV95cUxPUExiNjNXSUlvVXp1d0xDUTB0OW9WNC1TMmh0TVNTdmZ1MjZXdjFVX1FmX3p4b1daYmVPMDlIVjhYYkJrT1RHNXF5dlpwMS1GTzJtTndWdjU0TFc4cHlac1BmWVAxQlVKeTEtN1ExeVpyOEVFcWpYWHlvbFpDMEZqNkdiSnhxMEJRNHhCSkowSlZNMWR2ZjJxc20xMEJvRDktQjJyUlF2U3J1LUxJOHMzWjlzNnd4OF8xY0poMGVJTFdIVHJFdUNlU3hfVFRFWUJwUjNF?oc=5,2026-09-11 06:30:37,bansalnews.com,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNMXp0ZEREcXFTN2hSMENzMkhtTnp3UUZXZzFxSl9vWDVxbzV3a1JlRG9SR3MyTWdTeHNKSkZfVmwybTVXWFlVLUpMY09OQldscWttcGdkWENEOE5ISUlrWGJFR3kxdmdRYmMtMEgzZG43Mndielc4WkVnM2d3SHFDSXNUbFZqOWw0QzZDU0JSNEVUSUg1WmdVWU5kbm5vOTR4MmZlREQxeEcyQjZRZ1g0SnBxd2JmcmFfSmRMZ3VhTGRpeEszSzZfVFhHbEpOd9IB0wFBVV95cUxPUExiNjNXSUlvVXp1d0xDUTB0OW9WNC1TMmh0TVNTdmZ1MjZXdjFVX1FmX3p4b1daYmVPMDlIVjhYYkJrT1RHNXF5dlpwMS1GTzJtTndWdjU0TFc4cHlac1BmWVAxQlVKeTEtN1ExeVpyOEVFcWpYWHlvbFpDMEZqNkdiSnhxMEJRNHhCSkowSlZNMWR2ZjJxc20xMEJvRDktQjJyUlF2U3J1LUxJOHMzWjlzNnd4OF8xY0poMGVJTFdIVHJFdUNlU3hfVFRFWUJwUjNF?oc=5"" target=""_blank"">MP Weather Today: रीवा-सतना समेत इन जिलों में भारी बारिश के साथ आंधी-बिजली की चेतावनी, अगले तीन दिन में बदलेगा मौसम</a>&nbsp;&nbsp;<font color=""#6f6f6f"">bansalnews.com</font>",Monsoon,hi
"MP Weather: मध्य प्रदेश में फिर बदलेगा मौसम, 12 जिलों में भारी बारिश का अलर्ट - Haribhoomi",https://news.google.com/rss/articles/CBMiuAFBVV95cUxOZkRockJleERIMmMzSUdXWnJ6SGoxOWNTSVNBUl84QVlUdFBVWnhQeVcyX2xpTmVIVjBEOFMwNldKZEhNTmxQM3g2RTROTDZfT2JrUktTWmFWa0dzV29aaV9FSGxfR0pqS01pemtaX1ZxdXFGVWhDY2xOb09od09feG9vV1ZZeGZFazhYcEhZdU1BdjBGcy1USzdZX1pDU201OVR0TmkzVFJfSml2dUwtbHZSTF9iNmlP?oc=5,2026-09-11 09:14:00,Haribhoomi,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOZkRockJleERIMmMzSUdXWnJ6SGoxOWNTSVNBUl84QVlUdFBVWnhQeVcyX2xpTmVIVjBEOFMwNldKZEhNTmxQM3g2RTROTDZfT2JrUktTWmFWa0dzV29aaV9FSGxfR0pqS01pemtaX1ZxdXFGVWhDY2xOb09od09feG9vV1ZZeGZFazhYcEhZdU1BdjBGcy1USzdZX1pDU201OVR0TmkzVFJfSml2dUwtbHZSTF9iNmlP?oc=5"" target=""_blank"">MP Weather: मध्य प्रदेश में फिर बदलेगा मौसम, 12 जिलों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Haribhoomi</font>",Monsoon,hi
"MP Weather Update: तीन दिन के ब्रेक के बाद फिर एक्टिव हुआ मानसून, 12 जिलों में भारी बारिश का अलर्ट - navbharatlive.com",https://news.google.com/rss/articles/CBMirgFBVV95cUxQTDFfVkRmTlBOcFVzZENPZkdhaHNFeFlJVTRnSmI0WXFJaGlNUEY2V2Q2RWdCYVczOVliSmFZejctMERqU24yRXBhQjgzYTlzNVBKZDFDTy1JR3Q4aS1KSUhsaFJ1V3BkUHdnWlNyMzVFVzVtS2RGN1AtNzBhU0lQZWZPSGY0alg0MGlDT0FhdnBITVRKWmhXWWxZNURyVVZjSUlwQk5KNWQ3bGhYVnfSAbsBQVVfeXFMUGdHZ2VIRFFuZUt0S0J3enBIRWsyNlhPa2ZrZmxQdXhPa1dUc0tramxlVThvVG9FVDlUZEYxSG41QVI4WDZxb0dkUjhQclEtOWtJQXk1bFRLNlV3dmJWQWg1eG11S3hLMTlfQ3dPangtUFUtN0ZHX1RpeDBvei03N3ZYcXBBT3BIY1FQYXE3VkprZzU5aTZ5LXlvVzV4NXFJSW55dU9qeW5SNnBCVzVKcjAwa25GamdLazF0aw?oc=5,2026-09-11 11:04:38,navbharatlive.com,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQTDFfVkRmTlBOcFVzZENPZkdhaHNFeFlJVTRnSmI0WXFJaGlNUEY2V2Q2RWdCYVczOVliSmFZejctMERqU24yRXBhQjgzYTlzNVBKZDFDTy1JR3Q4aS1KSUhsaFJ1V3BkUHdnWlNyMzVFVzVtS2RGN1AtNzBhU0lQZWZPSGY0alg0MGlDT0FhdnBITVRKWmhXWWxZNURyVVZjSUlwQk5KNWQ3bGhYVnfSAbsBQVVfeXFMUGdHZ2VIRFFuZUt0S0J3enBIRWsyNlhPa2ZrZmxQdXhPa1dUc0tramxlVThvVG9FVDlUZEYxSG41QVI4WDZxb0dkUjhQclEtOWtJQXk1bFRLNlV3dmJWQWg1eG11S3hLMTlfQ3dPangtUFUtN0ZHX1RpeDBvei03N3ZYcXBBT3BIY1FQYXE3VkprZzU5aTZ5LXlvVzV4NXFJSW55dU9qeW5SNnBCVzVKcjAwa25GamdLazF0aw?oc=5"" target=""_blank"">MP Weather Update: तीन दिन के ब्रेक के बाद फिर एक्टिव हुआ मानसून, 12 जिलों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">navbharatlive.com</font>",Monsoon,hi
"MP Weather: तीन दिन के ब्रेक के बाद फिर एक्टिव हुआ मानसून, 12 जिलों में भारी बारिश का अलर्ट - IND24",https://news.google.com/rss/articles/CBMisgFBVV95cUxOTmU0NEVCNlZkZy1palJvMENUTG1yQjhmRU9qU1JOeW1OZXVhU1lLOVYxc01JOUtlMVpiUkl0bzYxZUh0TnJtaDFGU203Z3VuVFcwOVEzY0ozd0FNSE9FS3VScmIzaUdKUWpsVU5fd2hsREFlTXdxTXNUTzdLOUs1aFdrMXpuM1FGR29idUxlWnZYajNsdk85SUNrX1NjRUdpRThIVW5XdzNiSkkwbUxuNGVn?oc=5,2026-09-11 08:51:47,IND24,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOTmU0NEVCNlZkZy1palJvMENUTG1yQjhmRU9qU1JOeW1OZXVhU1lLOVYxc01JOUtlMVpiUkl0bzYxZUh0TnJtaDFGU203Z3VuVFcwOVEzY0ozd0FNSE9FS3VScmIzaUdKUWpsVU5fd2hsREFlTXdxTXNUTzdLOUs1aFdrMXpuM1FGR29idUxlWnZYajNsdk85SUNrX1NjRUdpRThIVW5XdzNiSkkwbUxuNGVn?oc=5"" target=""_blank"">MP Weather: तीन दिन के ब्रेक के बाद फिर एक्टिव हुआ मानसून, 12 जिलों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IND24</font>",Monsoon,hi
"MP Weather Update: मध्य प्रदेश में फिर सक्रिय हुआ मानसून, 12 जिलों में भारी बारिश का अलर्ट - Inh News",https://news.google.com/rss/articles/CBMijAFBVV95cUxOQkVhRWdmRjJKUkFQZ28xUnpKWm8tMEdzNjJGY21xQnl6d1pnaE43bGRIeHY1NkJFcmFaMGdVVEJiZlZMOHp2TFFWSWlaOXVYdHcwNXNTdS1iY3pKOFBJUEYza2IyeVRCbExvSWM3RkdUcFJZUFBiWlFCbHpOSjhoY01IcDdOM25BRVVjQ9IBjAFBVV95cUxOQkVhRWdmRjJKUkFQZ28xUnpKWm8tMEdzNjJGY21xQnl6d1pnaE43bGRIeHY1NkJFcmFaMGdVVEJiZlZMOHp2TFFWSWlaOXVYdHcwNXNTdS1iY3pKOFBJUEYza2IyeVRCbExvSWM3RkdUcFJZUFBiWlFCbHpOSjhoY01IcDdOM25BRVVjQw?oc=5,2026-09-11 14:19:24,Inh News,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxOQkVhRWdmRjJKUkFQZ28xUnpKWm8tMEdzNjJGY21xQnl6d1pnaE43bGRIeHY1NkJFcmFaMGdVVEJiZlZMOHp2TFFWSWlaOXVYdHcwNXNTdS1iY3pKOFBJUEYza2IyeVRCbExvSWM3RkdUcFJZUFBiWlFCbHpOSjhoY01IcDdOM25BRVVjQ9IBjAFBVV95cUxOQkVhRWdmRjJKUkFQZ28xUnpKWm8tMEdzNjJGY21xQnl6d1pnaE43bGRIeHY1NkJFcmFaMGdVVEJiZlZMOHp2TFFWSWlaOXVYdHcwNXNTdS1iY3pKOFBJUEYza2IyeVRCbExvSWM3RkdUcFJZUFBiWlFCbHpOSjhoY01IcDdOM25BRVVjQw?oc=5"" target=""_blank"">MP Weather Update: मध्य प्रदेश में फिर सक्रिय हुआ मानसून, 12 जिलों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inh News</font>",Monsoon,hi
