Title,Link,Date,Source,Summary,Term,LanguageQueried
"Monsoon rainfall 13% below normal so far, 14 states record deficits - MillenniumPost",https://news.google.com/rss/articles/CBMiugFBVV95cUxNakpnekpwRXU3eC1iM05ydTVuR0RncFZmZUptckViRE1iSDh3LU95VmlTOXBVajNjNTBiaVViaXlQOWtDUU1rSThoaWx0cEd3RDFzdUxMaWhUR3RzdDEwNl9uaEpXNHgtQTltaGxKRDFVRzlpY0twRHo0VFdtMnVHLUhpLWFwRjU2ODc3NVc1WWxQN2RaVmg2cUtQNy1PVW0zQV9HMG91dHFfNlFsdmZqUGVjQjh6RUtwUXfSAboBQVVfeXFMTWpKZ3pKcEV1N3gtYjNOcnU1bkdEZ3BWZmVKbXJFYkRNYkg4dy1PeVZpUzlwVWozYzUwYmlVYml5UDlrQ1FNa0k4aGlsdHBHd0Qxc3VMTGloVEd0c3QxMDZfbmhKVzR4LUE5bWhsSkQxVUc5aWNLcER6NFRXbTJ1Ry1IaS1hcEY1Njg3NzVXNVlsUDdkWlZoNnFLUDctT1VtM0FfRzBvdXRxXzZRbHZmalBlY0I4ekVLcFF3?oc=5,2026-08-28 01:24:33,MillenniumPost,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNakpnekpwRXU3eC1iM05ydTVuR0RncFZmZUptckViRE1iSDh3LU95VmlTOXBVajNjNTBiaVViaXlQOWtDUU1rSThoaWx0cEd3RDFzdUxMaWhUR3RzdDEwNl9uaEpXNHgtQTltaGxKRDFVRzlpY0twRHo0VFdtMnVHLUhpLWFwRjU2ODc3NVc1WWxQN2RaVmg2cUtQNy1PVW0zQV9HMG91dHFfNlFsdmZqUGVjQjh6RUtwUXfSAboBQVVfeXFMTWpKZ3pKcEV1N3gtYjNOcnU1bkdEZ3BWZmVKbXJFYkRNYkg4dy1PeVZpUzlwVWozYzUwYmlVYml5UDlrQ1FNa0k4aGlsdHBHd0Qxc3VMTGloVEd0c3QxMDZfbmhKVzR4LUE5bWhsSkQxVUc5aWNLcER6NFRXbTJ1Ry1IaS1hcEY1Njg3NzVXNVlsUDdkWlZoNnFLUDctT1VtM0FfRzBvdXRxXzZRbHZmalBlY0I4ekVLcFF3?oc=5"" target=""_blank"">Monsoon rainfall 13% below normal so far, 14 states record deficits</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MillenniumPost</font>",Monsoon,en
"Weather tomorrow, August 29: IMD issues heavy rain warning for northeast, Bihar, Jharkhand – Check forecast f - India.com",https://news.google.com/rss/articles/CBMijgJBVV95cUxPYXdIUFJMRHRpdV9xWjhnTmliV1ZCTUp4Z3h4b3RxajE0blhxdGdmLVpfVXVXbGNRanBCblFVcXZiRThkUXJDcTRUa1ZCV3BSRkxkdzdhOTJfWjQxQ2liQldqXzVpYTlWNS0yZXpuSTFlSWF1Nkt1ZDQwZHF0UHNIV2dzcEVQa1VDYS1qOVNialdqWTREZ2hmcEVWSFdnbDZlTE1id2E2anROczRHemRYMkxlaVZxd0RQVUc4alE0NmxJVFNvZDJySGRQVnNOYnQybWZzOC1icTJpcmk5STlJMGhFMXdVbnBEb0UwWkUtRi04dFVaSTJ6UTE0R2lRXzlJdExtTzlmYi1sNmdmTmfSAZQCQVVfeXFMT2RBVXlDeXNEUjYzb2tyY05TQ2ZDcHhXZVBCSkM5aGgzNDZHRmVsNklBQ0tpNzQ0NUlmN3NIcGVTUm56NzBPQzkyX0tDSnAxWkhHS0J1UEZ1Ym5majdVVS0tVEtybkFkZkNsRUtrWkFPM1AwdnlzME0zdzF2NnNwZk5ZckFCcVR3TFFCdnQ5bTFYZ2NGc3pFc3lyMm9ycF9uOTBsOXNUdHgwTnk0WDYzaVktY09QRktfVk82NnN1N2lVUS1VTXlET0lrVmU2ZW84LURCTERBMzRxQkd4MFVFNEpUbDFTRkszQ0dGLVBfRUZCZmw4TUhWZl9TRXFyd0k0b3VuT1VRWHk3ZUh3XzNabUZYRnlO?oc=5,2026-08-28 18:14:39,India.com,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxPYXdIUFJMRHRpdV9xWjhnTmliV1ZCTUp4Z3h4b3RxajE0blhxdGdmLVpfVXVXbGNRanBCblFVcXZiRThkUXJDcTRUa1ZCV3BSRkxkdzdhOTJfWjQxQ2liQldqXzVpYTlWNS0yZXpuSTFlSWF1Nkt1ZDQwZHF0UHNIV2dzcEVQa1VDYS1qOVNialdqWTREZ2hmcEVWSFdnbDZlTE1id2E2anROczRHemRYMkxlaVZxd0RQVUc4alE0NmxJVFNvZDJySGRQVnNOYnQybWZzOC1icTJpcmk5STlJMGhFMXdVbnBEb0UwWkUtRi04dFVaSTJ6UTE0R2lRXzlJdExtTzlmYi1sNmdmTmfSAZQCQVVfeXFMT2RBVXlDeXNEUjYzb2tyY05TQ2ZDcHhXZVBCSkM5aGgzNDZHRmVsNklBQ0tpNzQ0NUlmN3NIcGVTUm56NzBPQzkyX0tDSnAxWkhHS0J1UEZ1Ym5majdVVS0tVEtybkFkZkNsRUtrWkFPM1AwdnlzME0zdzF2NnNwZk5ZckFCcVR3TFFCdnQ5bTFYZ2NGc3pFc3lyMm9ycF9uOTBsOXNUdHgwTnk0WDYzaVktY09QRktfVk82NnN1N2lVUS1VTXlET0lrVmU2ZW84LURCTERBMzRxQkd4MFVFNEpUbDFTRkszQ0dGLVBfRUZCZmw4TUhWZl9TRXFyd0k0b3VuT1VRWHk3ZUh3XzNabUZYRnlO?oc=5"" target=""_blank"">Weather tomorrow, August 29: IMD issues heavy rain warning for northeast, Bihar, Jharkhand – Check forecast f</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font>",Monsoon,en
India weather (August 29): IMD expects very heavy rain in Odisha; rain and thunderstorms likely in several - The Economic Times,https://news.google.com/rss/articles/CBMikgJBVV95cUxOREZCbEJ0MXQ1X29MbkJDNHZ1NjkwRklHQUFscVVjVTZocU1ncng0ZU5DQjg1anE4OWY3Tm1OOTNINWZhT0lYLV9VMmxaSWhkbUdCd2gwNFMtU3VVdEh3d0gzVGRzMU9mSGhPd2RIUjAxbmR2TjZuNzRCVVBaaERyZ1p2c0VVbExqUnVBQ3VqUXVUbHpLT0FoeDZWS3c1SFFWeGI3ZFpQTTItSnhyQUNPQWNYYTFxMkZPOXJJV3NveHQ4U2hYd284X3loYzAtTzJ5VlAxOWV1TEUxQ0V4SHg1X3dKbTloQlZNaEVrRlRTZzZMTXotTkF2X3pTaVQxWEFZNTBQNWxqNmtuYWhuenBuUTZR0gGSAkFVX3lxTE5ERkJsQnQxdDVfb0xuQkM0dnU2OTBGSUdBQWxxVWNVNmhxTWdyeDRlTkNCODVqcTg5ZjdObU45M0g1ZmFPSVgtX1UybFpJaGRtR0J3aDA0Uy1TdVV0SHd3SDNUZHMxT2ZIaE93ZEhSMDFuZHZONm43NEJVUFpoRHJnWnZzRVVsTGpSdUFDdWpRdVRsektPQWh4NlZLdzVIUVZ4YjdkWlBNMi1KeHJBQ09BY1hhMXEyRk85cklXc294dDhTaFh3bzhfeWhjMC1PMnlWUDE5ZXVMRTFDRXhIeDVfd0ptOWhCVk1oRWtGVFNnNkxNei1OQXZfelNpVDFYQVk1MFA1bGo2a25haG56cG5RNlE?oc=5,2026-08-28 19:53:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMikgJBVV95cUxOREZCbEJ0MXQ1X29MbkJDNHZ1NjkwRklHQUFscVVjVTZocU1ncng0ZU5DQjg1anE4OWY3Tm1OOTNINWZhT0lYLV9VMmxaSWhkbUdCd2gwNFMtU3VVdEh3d0gzVGRzMU9mSGhPd2RIUjAxbmR2TjZuNzRCVVBaaERyZ1p2c0VVbExqUnVBQ3VqUXVUbHpLT0FoeDZWS3c1SFFWeGI3ZFpQTTItSnhyQUNPQWNYYTFxMkZPOXJJV3NveHQ4U2hYd284X3loYzAtTzJ5VlAxOWV1TEUxQ0V4SHg1X3dKbTloQlZNaEVrRlRTZzZMTXotTkF2X3pTaVQxWEFZNTBQNWxqNmtuYWhuenBuUTZR0gGSAkFVX3lxTE5ERkJsQnQxdDVfb0xuQkM0dnU2OTBGSUdBQWxxVWNVNmhxTWdyeDRlTkNCODVqcTg5ZjdObU45M0g1ZmFPSVgtX1UybFpJaGRtR0J3aDA0Uy1TdVV0SHd3SDNUZHMxT2ZIaE93ZEhSMDFuZHZONm43NEJVUFpoRHJnWnZzRVVsTGpSdUFDdWpRdVRsektPQWh4NlZLdzVIUVZ4YjdkWlBNMi1KeHJBQ09BY1hhMXEyRk85cklXc294dDhTaFh3bzhfeWhjMC1PMnlWUDE5ZXVMRTFDRXhIeDVfd0ptOWhCVk1oRWtGVFNnNkxNei1OQXZfelNpVDFYQVk1MFA1bGo2a25haG56cG5RNlE?oc=5"" target=""_blank"">India weather (August 29): IMD expects very heavy rain in Odisha; rain and thunderstorms likely in several</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
"Weather tomorrow: IMD forecasts rain across several states; heavy rain alert for northeast, Bihar, Jharkh - The Times of India",https://news.google.com/rss/articles/CBMijgJBVV95cUxOaHdZWHJZRzNLVmpiemQ3YlZrTUU2Ym1RRWZnSnA4UTJvTWNhSUozSHpmV283bHZWWHRjT3loVUg0dEU5ZC1WRnZYZXVkemdMZnNsbFdqWEdiTmlsZTRSQzVBNlIwZHBHdU5MREdoTFJCQjNKcXVIREJaTXFnOGgxejN0NEg3aGhUTDl1SjVlZFpSa3BiWjhETUZCYmdXRDR5Wk5JN3JGREhtbWoyY0pIemhwaTdLZVVPRFllOWJIYXN5MENLdmtmQlFtZ1g1WmNFVm1KQVM0VENfcjJLYWwxc3ZrQkZxSFJlUkFaRzlBcWRmWmQ3VGJ4NGxtY1lmdVVjVkhwRUUzU21iUklDRXfSAY4CQVVfeXFMTmh3WVhyWUczS1ZqYnpkN2JWa01FNmJtUUVmZ0pwOFEyb01jYUlKM0h6ZldvN2x2Vlh0Y095aFVINHRFOWQtVkZ2WGV1ZHpnTGZzbGxXalhHYk5pbGU0UkM1QTZSMGRwR3VOTERHaExSQkIzSnF1SERCWk1xZzhoMXozdDRIN2hoVEw5dUo1ZWRaUmtwYlo4RE1GQmJnV0Q0eVpOSTdyRkRIbW1qMmNKSHpocGk3S2VVT0RZZTliSGFzeTBDS3ZrZkJRbWdYNVpjRVZtSkFTNFRDX3IyS2FsMXN2a0JGcUhSZVJBWkc5QXFkZlpkN1RieDRsbWNZZnVVY1ZIcEVFM1NtYlJJQ0V3?oc=5,2026-08-28 13:07:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxOaHdZWHJZRzNLVmpiemQ3YlZrTUU2Ym1RRWZnSnA4UTJvTWNhSUozSHpmV283bHZWWHRjT3loVUg0dEU5ZC1WRnZYZXVkemdMZnNsbFdqWEdiTmlsZTRSQzVBNlIwZHBHdU5MREdoTFJCQjNKcXVIREJaTXFnOGgxejN0NEg3aGhUTDl1SjVlZFpSa3BiWjhETUZCYmdXRDR5Wk5JN3JGREhtbWoyY0pIemhwaTdLZVVPRFllOWJIYXN5MENLdmtmQlFtZ1g1WmNFVm1KQVM0VENfcjJLYWwxc3ZrQkZxSFJlUkFaRzlBcWRmWmQ3VGJ4NGxtY1lmdVVjVkhwRUUzU21iUklDRXfSAY4CQVVfeXFMTmh3WVhyWUczS1ZqYnpkN2JWa01FNmJtUUVmZ0pwOFEyb01jYUlKM0h6ZldvN2x2Vlh0Y095aFVINHRFOWQtVkZ2WGV1ZHpnTGZzbGxXalhHYk5pbGU0UkM1QTZSMGRwR3VOTERHaExSQkIzSnF1SERCWk1xZzhoMXozdDRIN2hoVEw5dUo1ZWRaUmtwYlo4RE1GQmJnV0Q0eVpOSTdyRkRIbW1qMmNKSHpocGk3S2VVT0RZZTliSGFzeTBDS3ZrZkJRbWdYNVpjRVZtSkFTNFRDX3IyS2FsMXN2a0JGcUhSZVJBWkc5QXFkZlpkN1RieDRsbWNZZnVVY1ZIcEVFM1NtYlJJQ0V3?oc=5"" target=""_blank"">Weather tomorrow: IMD forecasts rain across several states; heavy rain alert for northeast, Bihar, Jharkh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
India weather (August 29): IMD expects very heavy rain in Odisha; rain and thunderstorms likely in several - The Economic Times,https://news.google.com/rss/articles/CBMijAJBVV95cUxNeDhwZmd6NVo2dzNUaXhrQ3pQTTNNYU0yS0szd0JOeUc4LU5mWnUySjBQYjRHOWJibjhnMjgxQ0MwbUhyUTZ3US1IekhRRFNIQXFHREZNT0dxRXBwelBISmx0OGxLR2JGY1hXZ0hRRzhQR2JOSmdyemJqUVRKV2lrcFhNVG55TExEbkJxNDdMX2U0RHBoZW5BU3dxYkxoblNUdGFFWjVCdDRLUlJsaWZkNW1TS1I2dlVJLXlPeWRRMTF3NlNjNG8yMV9pU2ZKTVB2VmpsaUJ5bXpKcU5nc2paVUlmTW84Q0tuVU0yWmZlR0ZuRWcyeUtrOUJjZFkyRUtLcFVlNm12VENpZm1w0gGSAkFVX3lxTE5ERkJsQnQxdDVfb0xuQkM0dnU2OTBGSUdBQWxxVWNVNmhxTWdyeDRlTkNCODVqcTg5ZjdObU45M0g1ZmFPSVgtX1UybFpJaGRtR0J3aDA0Uy1TdVV0SHd3SDNUZHMxT2ZIaE93ZEhSMDFuZHZONm43NEJVUFpoRHJnWnZzRVVsTGpSdUFDdWpRdVRsektPQWh4NlZLdzVIUVZ4YjdkWlBNMi1KeHJBQ09BY1hhMXEyRk85cklXc294dDhTaFh3bzhfeWhjMC1PMnlWUDE5ZXVMRTFDRXhIeDVfd0ptOWhCVk1oRWtGVFNnNkxNei1OQXZfelNpVDFYQVk1MFA1bGo2a25haG56cG5RNlE?oc=5,2026-08-28 19:53:02,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMijAJBVV95cUxNeDhwZmd6NVo2dzNUaXhrQ3pQTTNNYU0yS0szd0JOeUc4LU5mWnUySjBQYjRHOWJibjhnMjgxQ0MwbUhyUTZ3US1IekhRRFNIQXFHREZNT0dxRXBwelBISmx0OGxLR2JGY1hXZ0hRRzhQR2JOSmdyemJqUVRKV2lrcFhNVG55TExEbkJxNDdMX2U0RHBoZW5BU3dxYkxoblNUdGFFWjVCdDRLUlJsaWZkNW1TS1I2dlVJLXlPeWRRMTF3NlNjNG8yMV9pU2ZKTVB2VmpsaUJ5bXpKcU5nc2paVUlmTW84Q0tuVU0yWmZlR0ZuRWcyeUtrOUJjZFkyRUtLcFVlNm12VENpZm1w0gGSAkFVX3lxTE5ERkJsQnQxdDVfb0xuQkM0dnU2OTBGSUdBQWxxVWNVNmhxTWdyeDRlTkNCODVqcTg5ZjdObU45M0g1ZmFPSVgtX1UybFpJaGRtR0J3aDA0Uy1TdVV0SHd3SDNUZHMxT2ZIaE93ZEhSMDFuZHZONm43NEJVUFpoRHJnWnZzRVVsTGpSdUFDdWpRdVRsektPQWh4NlZLdzVIUVZ4YjdkWlBNMi1KeHJBQ09BY1hhMXEyRk85cklXc294dDhTaFh3bzhfeWhjMC1PMnlWUDE5ZXVMRTFDRXhIeDVfd0ptOWhCVk1oRWtGVFNnNkxNei1OQXZfelNpVDFYQVk1MFA1bGo2a25haG56cG5RNlE?oc=5"" target=""_blank"">India weather (August 29): IMD expects very heavy rain in Odisha; rain and thunderstorms likely in several</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
"Satellite imagery shows widespread destruction along more than 50 miles of Himalayan valleys where at least 1,000 people remain missing after deadly flooding on Wednesday. - facebook.com",https://news.google.com/rss/articles/CBMi0wFBVV95cUxPc1BsT0ZmcEhZenRXRzlrWndSd2wzUTVHM2NqWDFrcEZRNHpYV0Vla3VmMVZmdjBYVnRLUGc4QW1HR1BJcHY5SjFLMUJKbG1FYUQ1UE5UTldUdnplQW5pOGVIeFgwRjN6RlFvQ0NXWkNsR0NCSWFjRkh5d1BtUjlWb3hzckRHSE1RVWg4WU9EaGxRRWFYNXBoN3JCTUdWRDFEb3BqWFFXcmFacVdxeHd6UG1UNVNLWkFTQmxoYWtnTm9JUUxRTzdqT2VkRGxyWkV1eE5F?oc=5,2026-08-28 09:07:07,facebook.com,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPc1BsT0ZmcEhZenRXRzlrWndSd2wzUTVHM2NqWDFrcEZRNHpYV0Vla3VmMVZmdjBYVnRLUGc4QW1HR1BJcHY5SjFLMUJKbG1FYUQ1UE5UTldUdnplQW5pOGVIeFgwRjN6RlFvQ0NXWkNsR0NCSWFjRkh5d1BtUjlWb3hzckRHSE1RVWg4WU9EaGxRRWFYNXBoN3JCTUdWRDFEb3BqWFFXcmFacVdxeHd6UG1UNVNLWkFTQmxoYWtnTm9JUUxRTzdqT2VkRGxyWkV1eE5F?oc=5"" target=""_blank"">Satellite imagery shows widespread destruction along more than 50 miles of Himalayan valleys where at least 1,000 people remain missing after deadly flooding on Wednesday.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">facebook.com</font>",Monsoon,en
"11 Gujarat Travellers Reported Missing, Uncontactable After Nepal Flash Floods; One Confirmed Safe - NewsGram",https://news.google.com/rss/articles/CBMingFBVV95cUxOY0lYZTZhSU0teFdCcDVTbDVKakh0SGdnM2hIUVB5YnFxUU9KbWxUUzJzcWRXNDRmdUF1b1FjTTBpMFFGVGdqUWhuVGFJSHQ1TUZNT0dlRWVkUEpPMnBTcTdFeHhnSnNnSU1saGF5QWRwV0tJbS1ER2ZkeS1HcEVDMll2LTBsTW1oSG5TOFJUVXBsWl81MF9GcmlzaUZXQdIBngFBVV95cUxOY0lYZTZhSU0teFdCcDVTbDVKakh0SGdnM2hIUVB5YnFxUU9KbWxUUzJzcWRXNDRmdUF1b1FjTTBpMFFGVGdqUWhuVGFJSHQ1TUZNT0dlRWVkUEpPMnBTcTdFeHhnSnNnSU1saGF5QWRwV0tJbS1ER2ZkeS1HcEVDMll2LTBsTW1oSG5TOFJUVXBsWl81MF9GcmlzaUZXQQ?oc=5,2026-08-28 01:46:06,NewsGram,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxOY0lYZTZhSU0teFdCcDVTbDVKakh0SGdnM2hIUVB5YnFxUU9KbWxUUzJzcWRXNDRmdUF1b1FjTTBpMFFGVGdqUWhuVGFJSHQ1TUZNT0dlRWVkUEpPMnBTcTdFeHhnSnNnSU1saGF5QWRwV0tJbS1ER2ZkeS1HcEVDMll2LTBsTW1oSG5TOFJUVXBsWl81MF9GcmlzaUZXQdIBngFBVV95cUxOY0lYZTZhSU0teFdCcDVTbDVKakh0SGdnM2hIUVB5YnFxUU9KbWxUUzJzcWRXNDRmdUF1b1FjTTBpMFFGVGdqUWhuVGFJSHQ1TUZNT0dlRWVkUEpPMnBTcTdFeHhnSnNnSU1saGF5QWRwV0tJbS1ER2ZkeS1HcEVDMll2LTBsTW1oSG5TOFJUVXBsWl81MF9GcmlzaUZXQQ?oc=5"" target=""_blank"">11 Gujarat Travellers Reported Missing, Uncontactable After Nepal Flash Floods; One Confirmed Safe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsGram</font>",Monsoon,en
Dramatic rescue in Nepal as survivors crawl through mud from flood-hit tunnel - video - The Times of India,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQcmpRQUlZYU41c2FsR1E2Qm9LMGpISVVYTFpKNzNTcXNaRTJTeEFxVVp4UXZsOGVKem16eDVTS0JCOVktbEE1ZzgybEMzbjJlMDVlMjRXNzBhb1I0Zi1PTGt1MnZEMWxFd3liVU9XN2Q5ZGktSlhiX05NV2JEXzFnclI0QlBkTERZbVJCcGRZZEM0SHk2bFAzVXUtcWNnaG0yY2w2OEpHOW55U05oandNcnpsdGhmanI4MU9NWktxNnNIU1ZMYW4xQWpqS0hQYXp3ZktPc1VDOF93QjlsdzB1VGJCS1c4MHh3eTYxaS1vR3RGcm4x0gH6AUFVX3lxTFBKcmQ5UEJMUzk2TkRBWVQzZk5WWTdUdWJLWUpKVEJSSUw2Vy16Y282ZWc1QVg4Wk1tT2Z3WVVKd0QyTzNiZjU5SXR1VmpLU2UxS1lMWkhVeDd0blRKMy1Mb082VlB2bTVCaWZWNnVjQjkzR0x5RTRkN1JrMzI0aU1Pd1VYcWdzNWdpdXFrbE53ZzVwaFMwNU1lNDU1b3BrSVQ2LXZVekI1VTdsbVU4NVpTWmFQczlfT3ZQQWpGbUZpcDU4bHNmY3ZTZnZCX2JjZVZaZzJhdFNESlZkSGJoeDdDY1JrNnZmdl9kVjRHdTZTOHgzeEdmVU9oOEE?oc=5,2026-08-28 18:40:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxQcmpRQUlZYU41c2FsR1E2Qm9LMGpISVVYTFpKNzNTcXNaRTJTeEFxVVp4UXZsOGVKem16eDVTS0JCOVktbEE1ZzgybEMzbjJlMDVlMjRXNzBhb1I0Zi1PTGt1MnZEMWxFd3liVU9XN2Q5ZGktSlhiX05NV2JEXzFnclI0QlBkTERZbVJCcGRZZEM0SHk2bFAzVXUtcWNnaG0yY2w2OEpHOW55U05oandNcnpsdGhmanI4MU9NWktxNnNIU1ZMYW4xQWpqS0hQYXp3ZktPc1VDOF93QjlsdzB1VGJCS1c4MHh3eTYxaS1vR3RGcm4x0gH6AUFVX3lxTFBKcmQ5UEJMUzk2TkRBWVQzZk5WWTdUdWJLWUpKVEJSSUw2Vy16Y282ZWc1QVg4Wk1tT2Z3WVVKd0QyTzNiZjU5SXR1VmpLU2UxS1lMWkhVeDd0blRKMy1Mb082VlB2bTVCaWZWNnVjQjkzR0x5RTRkN1JrMzI0aU1Pd1VYcWdzNWdpdXFrbE53ZzVwaFMwNU1lNDU1b3BrSVQ2LXZVekI1VTdsbVU4NVpTWmFQczlfT3ZQQWpGbUZpcDU4bHNmY3ZTZnZCX2JjZVZaZzJhdFNESlZkSGJoeDdDY1JrNnZmdl9kVjRHdTZTOHgzeEdmVU9oOEE?oc=5"" target=""_blank"">Dramatic rescue in Nepal as survivors crawl through mud from flood-hit tunnel - video</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
Nepal warns of fresh flood risk after water levels rise at disaster site - nenews.in,https://news.google.com/rss/articles/CBMirAFBVV95cUxNOUQyd3dqU2s3WXRYLThWT0E1SkZEbG94NEZMVms0czJMaGthbEZQU3BldTdSQVZLYkNTNGRhbWRZSVRtTkZ4bFlIRzlsdnA4Y0p2bFdEVjFoSTYwRGgwN2lUUDFWSkhUY2Nkc1lIai02RW1YclNUZm9CSGprLURkZmJlOXRqUmJKdm92MGFXQzRZcVJyS1NpQmU1eG1heFctbHZKYURfVjdfYjZX?oc=5,2026-08-28 13:10:24,nenews.in,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNOUQyd3dqU2s3WXRYLThWT0E1SkZEbG94NEZMVms0czJMaGthbEZQU3BldTdSQVZLYkNTNGRhbWRZSVRtTkZ4bFlIRzlsdnA4Y0p2bFdEVjFoSTYwRGgwN2lUUDFWSkhUY2Nkc1lIai02RW1YclNUZm9CSGprLURkZmJlOXRqUmJKdm92MGFXQzRZcVJyS1NpQmU1eG1heFctbHZKYURfVjdfYjZX?oc=5"" target=""_blank"">Nepal warns of fresh flood risk after water levels rise at disaster site</a>&nbsp;&nbsp;<font color=""#6f6f6f"">nenews.in</font>",Monsoon,en
"Assam College Principals’ Council extends support to flood-affected colleges - The Sentinel - of this Land, for its People",https://news.google.com/rss/articles/CBMi4gFBVV95cUxONjdSeWI1Q1NSdy1LUmtYelhoZ2E5MHhCVGFKVWZ4R3VjbmVkRnVOWkRDUTNkOEwtYnVMeWJ4QU4yenZhTmNGSzVwX0stRkhaR3E1OWIzdk1kaEk0NFJhUThXOHFjT0NFcFBKcWhVNllTcHlJeGwtWlhkN2Rkc2ppWGsyT1owaTFzc3p5RU5MazBBdFlFOGNMa2pnT3RLRFJCbGFMcjJOTFNoSjhpM3ctMzF0WlBLNWpYUjd2WThLNFAzZlJOem9lbWRsTWQwT0E0eFFKSlJUc1o1TjVWQ1JaYmd30gHiAUFVX3lxTE42N1J5YjVDU1J3LUtSa1h6WGhnYTkweEJUYUpVZnhHdWNuZWRGdU5aRENRM2Q4TC1idUx5YnhBTjJ6dmFOY0ZLNXBfSy1GSFpHcTU5YjN2TWRoSTQ0UmFROFc4cWNPQ0VwUEpxaFU2WVNweUl4bC1aWGQ3ZGRzamlYazJPWjBpMXNzenlFTkxrMEF0WUU4Y0xramdPdEtEUkJsYUxyMk5MU2hKOGkzdy0zMXRaUEs1alhSN3ZZOEs0UDNmUk56b2VtZGxNZDBPQTR4UUpKUlRzWjVONVZDUlpiZ3c?oc=5,2026-08-28 11:45:19,"The Sentinel - of this Land, for its People","<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxONjdSeWI1Q1NSdy1LUmtYelhoZ2E5MHhCVGFKVWZ4R3VjbmVkRnVOWkRDUTNkOEwtYnVMeWJ4QU4yenZhTmNGSzVwX0stRkhaR3E1OWIzdk1kaEk0NFJhUThXOHFjT0NFcFBKcWhVNllTcHlJeGwtWlhkN2Rkc2ppWGsyT1owaTFzc3p5RU5MazBBdFlFOGNMa2pnT3RLRFJCbGFMcjJOTFNoSjhpM3ctMzF0WlBLNWpYUjd2WThLNFAzZlJOem9lbWRsTWQwT0E0eFFKSlJUc1o1TjVWQ1JaYmd30gHiAUFVX3lxTE42N1J5YjVDU1J3LUtSa1h6WGhnYTkweEJUYUpVZnhHdWNuZWRGdU5aRENRM2Q4TC1idUx5YnhBTjJ6dmFOY0ZLNXBfSy1GSFpHcTU5YjN2TWRoSTQ0UmFROFc4cWNPQ0VwUEpxaFU2WVNweUl4bC1aWGQ3ZGRzamlYazJPWjBpMXNzenlFTkxrMEF0WUU4Y0xramdPdEtEUkJsYUxyMk5MU2hKOGkzdy0zMXRaUEs1alhSN3ZZOEs0UDNmUk56b2VtZGxNZDBPQTR4UUpKUlRzWjVONVZDUlpiZ3c?oc=5"" target=""_blank"">Assam College Principals’ Council extends support to flood-affected colleges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sentinel - of this Land, for its People</font>",Monsoon,en
