Title,Link,Date,Source,Summary,Term,LanguageQueried
Monsoon paradox: Why Assam flooded despite a 29% rainfall deficit - EastMojo,https://news.google.com/rss/articles/CBMipAFBVV95cUxQazRsclA1Tkhqdm52YUM3VFlJM09tNGFrZHdPcXp4VGp1Yk4xYTNwbXZlZmJsNTJEbnY5NnB4NWpYRnlyM0xPN1puS3kwVGRzTzVsT3FVaFFrNGRsb0JjenlXNjVqd1ZnUzc1b3dOUFFYT1BrNUxwT0VOMklwLVZKTmt5OXp1VDN0X3ZOUllaVEZlT3FjY29pX0ZQcDdLNnYwV2pNeQ?oc=5,2026-07-30 12:40:19,EastMojo,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQazRsclA1Tkhqdm52YUM3VFlJM09tNGFrZHdPcXp4VGp1Yk4xYTNwbXZlZmJsNTJEbnY5NnB4NWpYRnlyM0xPN1puS3kwVGRzTzVsT3FVaFFrNGRsb0JjenlXNjVqd1ZnUzc1b3dOUFFYT1BrNUxwT0VOMklwLVZKTmt5OXp1VDN0X3ZOUllaVEZlT3FjY29pX0ZQcDdLNnYwV2pNeQ?oc=5"" target=""_blank"">Monsoon paradox: Why Assam flooded despite a 29% rainfall deficit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EastMojo</font>",Monsoon,en
"IMD update: Heavy rain expected in Arunachal, Nagaland as Assam flood situation remains grim - thehindubusinessline.com",https://news.google.com/rss/articles/CBMi8wFBVV95cUxOV3d5UDA4b2JhQjktN2NQdjJjb1FGLVI4ZHBMTl93aXFpVW1DWV9HVmFJb0ljN3EyTHZpMHBJbnZacnlHSl81UFNfdENmWnppZjRLcFdGM3B4U0lLaHJKTzN2LTBSZ1JxeUZ6b1czWDBTYnhqd2NqRXNfNGhGLTJKQTExVFlDdmk5eWtZeUpGU0NUVGVpSW1ObkRXTFdZeHBuUEtkSHlyQTczbkVoYVFEcWJ5QVlURUFJSDhCMDNnanU5dUFLc0x6ZjBGNlhVRU9ZVlFNT3ZhU1ZSOTUxRnp3amhMZVI3OG91N2U5NTVqVWtjR0XSAfoBQVVfeXFMUE8wcEVleGhZa3F5RjZWMnhpMno4cnZObmdZZWt4WFYxQjBnTDU2cXVmWTBLMG5FcUdJRHhLaHNscGYxUXA3QjRPZm81NXVQd2RUdG8yYnRqb0hJZVJRRGZJbWZYX1RBLU9ZaHRwWDRHdmk1azhTM2szVERCem5vanlud0Mza0lzQ0lCR3FHclhSTHBvOFM4NmtnZWJqOWN1YnJ6RUsxU2xfdFJhanVzeVJ2b203WDRET0tqMjh4MXpWM0tYUlE4RGplU3d6RVlPNktlZWVIdjRlQmU4dWZUZE5nS0FsRVl3bXZQeG5vSzQyRVhuclI2REJTUQ?oc=5,2026-07-30 10:56:30,thehindubusinessline.com,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxOV3d5UDA4b2JhQjktN2NQdjJjb1FGLVI4ZHBMTl93aXFpVW1DWV9HVmFJb0ljN3EyTHZpMHBJbnZacnlHSl81UFNfdENmWnppZjRLcFdGM3B4U0lLaHJKTzN2LTBSZ1JxeUZ6b1czWDBTYnhqd2NqRXNfNGhGLTJKQTExVFlDdmk5eWtZeUpGU0NUVGVpSW1ObkRXTFdZeHBuUEtkSHlyQTczbkVoYVFEcWJ5QVlURUFJSDhCMDNnanU5dUFLc0x6ZjBGNlhVRU9ZVlFNT3ZhU1ZSOTUxRnp3amhMZVI3OG91N2U5NTVqVWtjR0XSAfoBQVVfeXFMUE8wcEVleGhZa3F5RjZWMnhpMno4cnZObmdZZWt4WFYxQjBnTDU2cXVmWTBLMG5FcUdJRHhLaHNscGYxUXA3QjRPZm81NXVQd2RUdG8yYnRqb0hJZVJRRGZJbWZYX1RBLU9ZaHRwWDRHdmk1azhTM2szVERCem5vanlud0Mza0lzQ0lCR3FHclhSTHBvOFM4NmtnZWJqOWN1YnJ6RUsxU2xfdFJhanVzeVJ2b203WDRET0tqMjh4MXpWM0tYUlE4RGplU3d6RVlPNktlZWVIdjRlQmU4dWZUZE5nS0FsRVl3bXZQeG5vSzQyRVhuclI2REJTUQ?oc=5"" target=""_blank"">IMD update: Heavy rain expected in Arunachal, Nagaland as Assam flood situation remains grim</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thehindubusinessline.com</font>",Monsoon,en
"Assam Flood Situation Remains Grim As IMD Predicts Heavy Rain In Arunachal, Nagaland - Northeast Today",https://news.google.com/rss/articles/CBMi1AFBVV95cUxNMTRCU1N1OHVtSFh5SnBYdWJJUENxVUVwUGx2bFRjc3pvRWRncmpPYzB1TUFwZ1NuM1pOM1RpS0hienRHaUladFpPV3NiekZvZF9QQmY2ZGlxY2EtYVBwUHRfQ2hQQUpWcDctQm1Ycm0tZzdJTHVHeGJqSjgwallQVk1CMW43aEU4Wk53bm9JNl9ZVHNCX2RVT0x1ZDZ4NHc4OHEtYVIwTGVtMEd0QlQ0cjNxcUVfUUdMZng2UEdnbS1QQU45WFFUYkQ3dGJnbE4yUlhIWQ?oc=5,2026-07-30 12:34:02,Northeast Today,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNMTRCU1N1OHVtSFh5SnBYdWJJUENxVUVwUGx2bFRjc3pvRWRncmpPYzB1TUFwZ1NuM1pOM1RpS0hienRHaUladFpPV3NiekZvZF9QQmY2ZGlxY2EtYVBwUHRfQ2hQQUpWcDctQm1Ycm0tZzdJTHVHeGJqSjgwallQVk1CMW43aEU4Wk53bm9JNl9ZVHNCX2RVT0x1ZDZ4NHc4OHEtYVIwTGVtMEd0QlQ0cjNxcUVfUUdMZng2UEdnbS1QQU45WFFUYkQ3dGJnbE4yUlhIWQ?oc=5"" target=""_blank"">Assam Flood Situation Remains Grim As IMD Predicts Heavy Rain In Arunachal, Nagaland</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeast Today</font>",Monsoon,en
Assam flood leaves 78 dead; IMD predicts more rains till August 3 - The Federal,https://news.google.com/rss/articles/CBMilwFBVV95cUxOVnR1VU5vQWx4cVo4NEtUa0wtZXFTS2dxUVVIejlfb1pfNnhXRDExc29Ba2M0MkRPRFN3VU1RY0FpTVRJbUNBX3kyZ09KNTlFM3ZTZjFRLXVxTTdwNmNHclhFdjRuNHhZRzZtTjFRRzhPSElSZjZuaS15YURUb1NhVnp5LUpTWDVFTmpicXlpYzQzU1BzRm1n?oc=5,2026-07-30 11:51:01,The Federal,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOVnR1VU5vQWx4cVo4NEtUa0wtZXFTS2dxUVVIejlfb1pfNnhXRDExc29Ba2M0MkRPRFN3VU1RY0FpTVRJbUNBX3kyZ09KNTlFM3ZTZjFRLXVxTTdwNmNHclhFdjRuNHhZRzZtTjFRRzhPSElSZjZuaS15YURUb1NhVnp5LUpTWDVFTmpicXlpYzQzU1BzRm1n?oc=5"" target=""_blank"">Assam flood leaves 78 dead; IMD predicts more rains till August 3</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Federal</font>",Monsoon,en
"IMD forecasts fresh spell of heavy rain cross Assam, northeast; flood risk looms - India Today NE",https://news.google.com/rss/articles/CBMi0wFBVV95cUxObDNsLUx1OUZIQld0SUpJREdrTHc0bmZnXzBsVS1IVXB5YTcxLURjMVBVaU84aUdRZzRWMFI0bjdGNmthSGFVc0tfYnhUVzNtVDZyblN5MkVTcXFuSnlqM092WUplNzd0WWhMandKM0dDOE5EcFdWbFpQY0FwR0ZMNHI1LUVIZjJVNFdldmYwWHptUFNieWhKcWRRVUpTUWZkendNUE1wcFZReXJuX1dBTWxlWl85YXdxamJ6bWt1ZzBmMEN6U3pjM2NDYnNXZUpQWHhJ0gHYAUFVX3lxTE1fNmFWNldrS3FGOVd4LTBZdDF2QWM3T3loN293ZVJSQW5ORUlHd190S2twTVByRk9va1hteGp0dnNzMHNRbzBQODFXeWI3Z0lUYTI2Zk1oU09UbVU3dE5BVnlwejktaE0wTGMtVVJ4MUtiS1lJS2JETjJrako0akYwTWZRY0ZaalhsdVdXNGxkWk9xb0xjNy1LVzgzY3YteEEtazBfR1ZXTG0tZm9vSHJwNVJwN2V4YTVMS0hGUENNWFR4eVFnbU1IaDEtczY3cS11aGIzWHVXaQ?oc=5,2026-07-30 09:42:27,India Today NE,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxObDNsLUx1OUZIQld0SUpJREdrTHc0bmZnXzBsVS1IVXB5YTcxLURjMVBVaU84aUdRZzRWMFI0bjdGNmthSGFVc0tfYnhUVzNtVDZyblN5MkVTcXFuSnlqM092WUplNzd0WWhMandKM0dDOE5EcFdWbFpQY0FwR0ZMNHI1LUVIZjJVNFdldmYwWHptUFNieWhKcWRRVUpTUWZkendNUE1wcFZReXJuX1dBTWxlWl85YXdxamJ6bWt1ZzBmMEN6U3pjM2NDYnNXZUpQWHhJ0gHYAUFVX3lxTE1fNmFWNldrS3FGOVd4LTBZdDF2QWM3T3loN293ZVJSQW5ORUlHd190S2twTVByRk9va1hteGp0dnNzMHNRbzBQODFXeWI3Z0lUYTI2Zk1oU09UbVU3dE5BVnlwejktaE0wTGMtVVJ4MUtiS1lJS2JETjJrako0akYwTWZRY0ZaalhsdVdXNGxkWk9xb0xjNy1LVzgzY3YteEEtazBfR1ZXTG0tZm9vSHJwNVJwN2V4YTVMS0hGUENNWFR4eVFnbU1IaDEtczY3cS11aGIzWHVXaQ?oc=5"" target=""_blank"">IMD forecasts fresh spell of heavy rain cross Assam, northeast; flood risk looms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today NE</font>",Monsoon,en
"Weather tomorrow: IMD warns of heavy rain in Delhi, Karnataka, Assam, Gujarat; 'orange' alert for Kerala - The Times of India",https://news.google.com/rss/articles/CBMi_wFBVV95cUxQS3ppUzMwcTdwdTlYUWoybkNFeVRIaUlkdDhMdTdMNEE0SmFRZkNuT1dCV1RjYVhuUTZYZ01TODNraU14ZFdSbTlwWm1OZnM2V3dpNkxWeF9Qc3FueG5NN0g2Sl9OTHNtSDRyVDhfVkpOeDdEazhIa29WUV90TU5FZkMtMVJsNlJyaE4tbDJkVU5rZ2oxMTdFNDNvVXF4WHdKSEttS201dHNJMlNyaEZIWktoRkJIRjRWOHExRWVYYkwzVnZRQUlQQ1pFR1R5dEU1YWlnNWdlQjhrQ0pNRXptLUlndDNCOHFMcWh3UG9uUWJTNTFuU0xTVGc5V2V3QnfSAYQCQVVfeXFMTmMtQXA0UE9VeTdnT293V1Y3MG9GeDR5QjI0ZHVpeTFtM0lIM0V5eE10NFFpeWJtT2VGdi1NZm05TTMyOW5tU1BKeWhmcDVEb3NVMFNsYWdIaHJNdFF0dFhtZ282QmZ2d2w2MUdZVDM1MnRHZS1QOFJzYncwM0pPbFlQVExUcVh5ckRmYmtyZV9VYXplU2xpcEh5ZjJvSm5LUDVPSlRrREJBSjJHSVdzVnZoeWtLODByR2hZNm1nU3V3YU53OENJbHZ3VHFjRXBobEMxU2lDTmo3c1VxR0h1QUpqNERBbHh1eHAtTDNsdWctdXBETXNBSUVDMWRVVkIwMzZXazk?oc=5,2026-07-30 11:36:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxQS3ppUzMwcTdwdTlYUWoybkNFeVRIaUlkdDhMdTdMNEE0SmFRZkNuT1dCV1RjYVhuUTZYZ01TODNraU14ZFdSbTlwWm1OZnM2V3dpNkxWeF9Qc3FueG5NN0g2Sl9OTHNtSDRyVDhfVkpOeDdEazhIa29WUV90TU5FZkMtMVJsNlJyaE4tbDJkVU5rZ2oxMTdFNDNvVXF4WHdKSEttS201dHNJMlNyaEZIWktoRkJIRjRWOHExRWVYYkwzVnZRQUlQQ1pFR1R5dEU1YWlnNWdlQjhrQ0pNRXptLUlndDNCOHFMcWh3UG9uUWJTNTFuU0xTVGc5V2V3QnfSAYQCQVVfeXFMTmMtQXA0UE9VeTdnT293V1Y3MG9GeDR5QjI0ZHVpeTFtM0lIM0V5eE10NFFpeWJtT2VGdi1NZm05TTMyOW5tU1BKeWhmcDVEb3NVMFNsYWdIaHJNdFF0dFhtZ282QmZ2d2w2MUdZVDM1MnRHZS1QOFJzYncwM0pPbFlQVExUcVh5ckRmYmtyZV9VYXplU2xpcEh5ZjJvSm5LUDVPSlRrREJBSjJHSVdzVnZoeWtLODByR2hZNm1nU3V3YU53OENJbHZ3VHFjRXBobEMxU2lDTmo3c1VxR0h1QUpqNERBbHh1eHAtTDNsdWctdXBETXNBSUVDMWRVVkIwMzZXazk?oc=5"" target=""_blank"">Weather tomorrow: IMD warns of heavy rain in Delhi, Karnataka, Assam, Gujarat; 'orange' alert for Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"IMD Forecasts Heavy Rain Across Assam, Flood and Landslide Risk also Increases - The Sentinel - of this Land, for its People",https://news.google.com/rss/articles/CBMivAFBVV95cUxQYk1Wc0psSFFmT1BRTHRzcHBoVUNkOHRVNkZaSi1fdHY1cjB6aVExVTA3cm1HazJJZUlqcDVqeU5DMDhHb19Ha3RCdE00ZWV5NW1rSURBNjduUm52NGdqdFhGLWtLUFpEbDByUWV3WFh2aVE1anV3LVNoZ2RxLUpVTkIyQ0ZFZURlZlhVUlhqSDlVNlF6UUpnMWJvcURhQjZ2N09PQktwZlQyeVNsUEU5RjZHQ3BnVDRmZnU4d9IBygFBVV95cUxPTTlwNjU4c2Z6MGc5b3NYMkRYWHp3TUhqc2dEUzdEazR0cGpTWkhYVDdnaXVUOHdoSll1WnNQT3ZNeWN4R3lHVU5nN1ZKZG1RZnZWdEFyelNUMDBock10N1RERU5ZZ214RzN3ejVycDJoODI1Rzc3LXVGakRSRDVtRE5WeFEyRUo5YWd1S1FuWWkyTUlLT2VaY2U1Y1dPZFZuLTFFd3pmb1plUUE3UFduc0JpUnk5R1dOVm1xYVNEaWNhTjloSDZPRE1n?oc=5,2026-07-30 12:15:00,"The Sentinel - of this Land, for its People","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQYk1Wc0psSFFmT1BRTHRzcHBoVUNkOHRVNkZaSi1fdHY1cjB6aVExVTA3cm1HazJJZUlqcDVqeU5DMDhHb19Ha3RCdE00ZWV5NW1rSURBNjduUm52NGdqdFhGLWtLUFpEbDByUWV3WFh2aVE1anV3LVNoZ2RxLUpVTkIyQ0ZFZURlZlhVUlhqSDlVNlF6UUpnMWJvcURhQjZ2N09PQktwZlQyeVNsUEU5RjZHQ3BnVDRmZnU4d9IBygFBVV95cUxPTTlwNjU4c2Z6MGc5b3NYMkRYWHp3TUhqc2dEUzdEazR0cGpTWkhYVDdnaXVUOHdoSll1WnNQT3ZNeWN4R3lHVU5nN1ZKZG1RZnZWdEFyelNUMDBock10N1RERU5ZZ214RzN3ejVycDJoODI1Rzc3LXVGakRSRDVtRE5WeFEyRUo5YWd1S1FuWWkyTUlLT2VaY2U1Y1dPZFZuLTFFd3pmb1plUUE3UFduc0JpUnk5R1dOVm1xYVNEaWNhTjloSDZPRE1n?oc=5"" target=""_blank"">IMD Forecasts Heavy Rain Across Assam, Flood and Landslide Risk also Increases</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sentinel - of this Land, for its People</font>",Monsoon,en
"IMD Warns of Heavy Rain Spell in Assam, Flood, Landslide Risk - Pratidin Time",https://news.google.com/rss/articles/CBMi0AFBVV95cUxNRkl0Z2FPUWpWXzJHUTJOdi1obU9jekdwX3MyaUNiaVhCTUJKQ3NYT2UzbVJNNDhOWUlwMWN6a0ZyMUVGMFpFNFVtd01fZEI1WnNkNE1VcHFLeXJyMXhMMHhlbGhJWUVaMThSd2pfQTRTaHlNUXlhUmYtVHE0Y3dzYUZJWExEYm43MUlad05XNzAtOUNvaXRjNmsyVnZpR2R5Q3NjckpzT3V0RXE0QnZvTWFfV1NnbWJVY2JsLVFqNW00ZkdlYXE2RDRucDlQSXRa0gHQAUFVX3lxTE1GSXRnYU9RalZfMkdRMk52LWhtT2N6R3BfczJpQ2JpWEJNQkpDc1hPZTNtUk00OE5ZSXAxY3prRnIxRUYwWkU0VW13TV9kQjVac2Q0TVVwcUt5cnIxeEwweGVsaElZRVoxOFJ3al9BNFNoeU1ReWFSZi1UcTRjd3NhRklYTERibjcxSVp3Tlc3MC05Q29pdGM2azJWdmlHZHlDc2NySnNPdXRFcTRCdm9NYV9XU2dtYlVjYmwtUWo1bTRmR2VhcTZENG5wOVBJdFo?oc=5,2026-07-30 12:09:15,Pratidin Time,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNRkl0Z2FPUWpWXzJHUTJOdi1obU9jekdwX3MyaUNiaVhCTUJKQ3NYT2UzbVJNNDhOWUlwMWN6a0ZyMUVGMFpFNFVtd01fZEI1WnNkNE1VcHFLeXJyMXhMMHhlbGhJWUVaMThSd2pfQTRTaHlNUXlhUmYtVHE0Y3dzYUZJWExEYm43MUlad05XNzAtOUNvaXRjNmsyVnZpR2R5Q3NjckpzT3V0RXE0QnZvTWFfV1NnbWJVY2JsLVFqNW00ZkdlYXE2RDRucDlQSXRa0gHQAUFVX3lxTE1GSXRnYU9RalZfMkdRMk52LWhtT2N6R3BfczJpQ2JpWEJNQkpDc1hPZTNtUk00OE5ZSXAxY3prRnIxRUYwWkU0VW13TV9kQjVac2Q0TVVwcUt5cnIxeEwweGVsaElZRVoxOFJ3al9BNFNoeU1ReWFSZi1UcTRjd3NhRklYTERibjcxSVp3Tlc3MC05Q29pdGM2azJWdmlHZHlDc2NySnNPdXRFcTRCdm9NYV9XU2dtYlVjYmwtUWo1bTRmR2VhcTZENG5wOVBJdFo?oc=5"" target=""_blank"">IMD Warns of Heavy Rain Spell in Assam, Flood, Landslide Risk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pratidin Time</font>",Monsoon,en
IMD forecasts heavy to very heavy rainfall in Assam over next 3-4 day - News On AIR,https://news.google.com/rss/articles/CBMimwFBVV95cUxPU2Mwbm1xZENILUFIUVpUVWJLb085TVZKak9aTDRURTQ4MHZpQi1CMXRXaHZKelA4SmR0R1k2LXBYYm9HRndZb2F6WGNzWFZHWnVoTnRibFQ2c05DWXFOZGV3UW5zZE1zYzVaaFZrLUtXcmUzZkQtLUlVdS1LejZOTkp1dmxUUGhZbmk2bGxUWjZ4cEpxVkxBMFJMMA?oc=5,2026-07-30 08:55:00,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPU2Mwbm1xZENILUFIUVpUVWJLb085TVZKak9aTDRURTQ4MHZpQi1CMXRXaHZKelA4SmR0R1k2LXBYYm9HRndZb2F6WGNzWFZHWnVoTnRibFQ2c05DWXFOZGV3UW5zZE1zYzVaaFZrLUtXcmUzZkQtLUlVdS1LejZOTkp1dmxUUGhZbmk2bGxUWjZ4cEpxVkxBMFJMMA?oc=5"" target=""_blank"">IMD forecasts heavy to very heavy rainfall in Assam over next 3-4 day</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
India weather alert: IMD reports heatwave conditions alongside heavy rainfall and thunderstorms - DD News,https://news.google.com/rss/articles/CBMivAFBVV95cUxOR3hXdzVweXdvUTJFd1U3UlVVOXczRWpCcEhOcFRTdWc3V3hXYUE0YXJpNUd1RHBkcWRlRTdUUjJ5NUd0c2tTZ1NXRHp3VlBQUkN2TDkwNlZERWdHakNCQWFLVHFxcmQ3NVV2TUtVd1gwSjVBWXltS0M1a1ZMQkdNTjRQb2ppZWRHbjF2Nm9ra180TEZLc2VCTVhoMkd0OV9tNm5URDlWRGQwZWN2eG9ucXNOUDcwcWQtRlNxLQ?oc=5,2026-07-30 02:00:11,DD News,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxOR3hXdzVweXdvUTJFd1U3UlVVOXczRWpCcEhOcFRTdWc3V3hXYUE0YXJpNUd1RHBkcWRlRTdUUjJ5NUd0c2tTZ1NXRHp3VlBQUkN2TDkwNlZERWdHakNCQWFLVHFxcmQ3NVV2TUtVd1gwSjVBWXltS0M1a1ZMQkdNTjRQb2ppZWRHbjF2Nm9ra180TEZLc2VCTVhoMkd0OV9tNm5URDlWRGQwZWN2eG9ucXNOUDcwcWQtRlNxLQ?oc=5"" target=""_blank"">India weather alert: IMD reports heatwave conditions alongside heavy rainfall and thunderstorms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DD News</font>",Monsoon,en
