Title,Link,Date,Source,Summary,Term,LanguageQueried
"Cyclonic circulation over Bay of Bengal: IMD predicts heavy rainfall in Odisha, Monsoon revival expected - Odisha TV",https://news.google.com/rss/articles/CBMi2AFBVV95cUxOdXBlLUtaeHoxSzgtX2UyNHFXUTNBR1JUeVEzZXVoWUZ4NEtnMDBKNVI0TzdsYWI5MTBHWndKSEhlQ3E5azRaZFA0NW10bjduRTVGU0FWS1lYeGlEN2U4QjZtVGhlVWJVREZNdV9pVVowLXliTkF1VkdiMF9KSE5pZ0pzdk90M3QzNWZKc3NtWXpGb0dUUVE5VnJBczZ0OWxuam1DbFJCYjBveDUzNUhKTVFhVS1TZTF0cmZ4UE0tbWVlcElsXy1sQlJJYk5uVUlSRThWNjFfR1jSAd4BQVVfeXFMUGUzQ256UTdDM1RseVNlTkpReHJxaG1fY0l0bkVUV0JkOWVYcGl3aDZqZ3JqOU9pX0NxSmxhTVJ0S1hSM2RqeEdmRDRBVkxOS0gzVW9wVFF1Q3JiQkMzUHJsT2d4b0hubThmZUg5M1dJREdrVHJxQmN5akQwNUlHM01WN2NsLUh5bGk1cmZqcC0wTmRuXzlzYXNRQm95bHNVeUE4emticlB5RldVTDFOVnNTWE94WmxsX1pUTEJQSlFSTUU3Mzhwb0t1TDBVSWlHZTFJV09jR25faUk4S2p3?oc=5,2025-06-16 08:35:00,Odisha TV,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOdXBlLUtaeHoxSzgtX2UyNHFXUTNBR1JUeVEzZXVoWUZ4NEtnMDBKNVI0TzdsYWI5MTBHWndKSEhlQ3E5azRaZFA0NW10bjduRTVGU0FWS1lYeGlEN2U4QjZtVGhlVWJVREZNdV9pVVowLXliTkF1VkdiMF9KSE5pZ0pzdk90M3QzNWZKc3NtWXpGb0dUUVE5VnJBczZ0OWxuam1DbFJCYjBveDUzNUhKTVFhVS1TZTF0cmZ4UE0tbWVlcElsXy1sQlJJYk5uVUlSRThWNjFfR1jSAd4BQVVfeXFMUGUzQ256UTdDM1RseVNlTkpReHJxaG1fY0l0bkVUV0JkOWVYcGl3aDZqZ3JqOU9pX0NxSmxhTVJ0S1hSM2RqeEdmRDRBVkxOS0gzVW9wVFF1Q3JiQkMzUHJsT2d4b0hubThmZUg5M1dJREdrVHJxQmN5akQwNUlHM01WN2NsLUh5bGk1cmZqcC0wTmRuXzlzYXNRQm95bHNVeUE4emticlB5RldVTDFOVnNTWE94WmxsX1pUTEJQSlFSTUU3Mzhwb0t1TDBVSWlHZTFJV09jR25faUk4S2p3?oc=5"" target=""_blank"">Cyclonic circulation over Bay of Bengal: IMD predicts heavy rainfall in Odisha, Monsoon revival expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha TV</font>",Monsoon,en
Weather Alert: Heavy Rainfall Likely In Six Odisha Districts Today - Ommcom News,https://news.google.com/rss/articles/CBMiowFBVV95cUxOOFFZQ0xHQ192cC1lQi1GWDRJTlEtMVZMeUg2Z2lKNUNlN08yblh5OUdsdkNGeDVYQU0xZ0JIcVNDc3hGcUdycWR4NlhXMVA1aEt2c3ZTU0toMnlZVEFrQ3k1Y0M2MW9aWnMwYTN2d2hkaU1fMFhBZnhDNTB4MzZTNnl5MkhDeWVHMWRwV2VmcUtvbW5PVWZUX2lxbmFxVzNEQ0Qw?oc=5,2025-06-16 09:39:41,Ommcom News,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxOOFFZQ0xHQ192cC1lQi1GWDRJTlEtMVZMeUg2Z2lKNUNlN08yblh5OUdsdkNGeDVYQU0xZ0JIcVNDc3hGcUdycWR4NlhXMVA1aEt2c3ZTU0toMnlZVEFrQ3k1Y0M2MW9aWnMwYTN2d2hkaU1fMFhBZnhDNTB4MzZTNnl5MkhDeWVHMWRwV2VmcUtvbW5PVWZUX2lxbmFxVzNEQ0Qw?oc=5"" target=""_blank"">Weather Alert: Heavy Rainfall Likely In Six Odisha Districts Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ommcom News</font>",Monsoon,en
"North India Monsoon 2025 LIVE: Southwest Monsoon Set To Advance Over Gujarat, Odisha, And More States - news24online.com",https://news.google.com/rss/articles/CBMi2wJBVV95cUxNOVhJamtVSWRJLUpGMXhSeEZWLUowdjAxLU1OcUx3bVZqNlk1a2RpVFBYb2RVemR6YzEzOGViWFg4NUxGUXYxSWZxUDdFLVZNdVE1a0hiRDVxSGVVWWk4Z1c1dTVtd1lwaThjWUEtUGExSFRkVVhXbzYzRmxBSzNqbHdnSVNIMGlfeF9ienhZN3RBRUQ3M2JCb1dzbjdlLXhPeDZ3RHk5S0puWnEwb2FERHhSZUxyRURZWGVTTW9zQ2pMcGFqYzFhbFVCTXY5aGd1aE1NbXVBWmJrbkdMT0g0M1ljVTRFMnlfWFN6cy13WlRsOHlQQzBKZ0Uwb1A0T2ZuOGpNa0VUY2pNYUJBNzFGdXBkVmI4SU4tT0RIWmptTi0wZ0xramc4bzctVFRUM000UkRoWmNvZVB5Qm8tUDNOYnJMcjFkRkhSbXktcnZWeElWZHBlQzNsUVBobw?oc=5,2025-06-16 09:31:37,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMi2wJBVV95cUxNOVhJamtVSWRJLUpGMXhSeEZWLUowdjAxLU1OcUx3bVZqNlk1a2RpVFBYb2RVemR6YzEzOGViWFg4NUxGUXYxSWZxUDdFLVZNdVE1a0hiRDVxSGVVWWk4Z1c1dTVtd1lwaThjWUEtUGExSFRkVVhXbzYzRmxBSzNqbHdnSVNIMGlfeF9ienhZN3RBRUQ3M2JCb1dzbjdlLXhPeDZ3RHk5S0puWnEwb2FERHhSZUxyRURZWGVTTW9zQ2pMcGFqYzFhbFVCTXY5aGd1aE1NbXVBWmJrbkdMT0g0M1ljVTRFMnlfWFN6cy13WlRsOHlQQzBKZ0Uwb1A0T2ZuOGpNa0VUY2pNYUJBNzFGdXBkVmI4SU4tT0RIWmptTi0wZ0xramc4bzctVFRUM000UkRoWmNvZVB5Qm8tUDNOYnJMcjFkRkhSbXktcnZWeElWZHBlQzNsUVBobw?oc=5"" target=""_blank"">North India Monsoon 2025 LIVE: Southwest Monsoon Set To Advance Over Gujarat, Odisha, And More States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Monsoon,en
Widespread rainfall likely across Odisha over next four days: IMD - Prameyanews,https://news.google.com/rss/articles/CBMilwFBVV95cUxQTjQyNEF5SURqb2EwUHVJc0NfdmthbldlR09tRG1tamhuOURlaXhJeklwNWplNDhpZXR5eW1UanlXMU9zODB1WVJsbmdQejA3dHA5Snc1LWhYNW51RzN1X292VERZM2tKdjRJRUhzRlFJdXVWN1dxWDkyeDVMU2R1NUtFcGJ1QmhBYUJKYmFvUUI2V3VFbmdJ?oc=5,2025-06-16 10:53:18,Prameyanews,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQTjQyNEF5SURqb2EwUHVJc0NfdmthbldlR09tRG1tamhuOURlaXhJeklwNWplNDhpZXR5eW1UanlXMU9zODB1WVJsbmdQejA3dHA5Snc1LWhYNW51RzN1X292VERZM2tKdjRJRUhzRlFJdXVWN1dxWDkyeDVMU2R1NUtFcGJ1QmhBYUJKYmFvUUI2V3VFbmdJ?oc=5"" target=""_blank"">Widespread rainfall likely across Odisha over next four days: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prameyanews</font>",Monsoon,en
Heavy Rain Alert: IMD Issues Red-Orange Alerts for Several States Until June 20th - Patrika News,https://news.google.com/rss/articles/CBMiygFBVV95cUxQV1dHQ01fSGxaSnRpVllRUVFsblp1YmxldnloSWtrdmlSR0lVMEFBQ1RWUkE2aXBxN0lGVFlyRWh1QTV1aWlaVEk5cUI4OWk2UE9FcHFLVTVQUkdRczVHUEg4NDlIMDc1cXlvVE43eDBrSHhzLUEyZjUxZnNaRmRkOXJjcmhQZFItZmxjRzRaTDRlNWg3MVQ2YVJvLWlQQmhha1AwX01EQ2NZLUo3d3l0ZFRjWlZTVEN3RUJxUXRkclZVeEZVdy1pTUtB0gHSAUFVX3lxTE5DSjhwak9sdTJNaGFaV3NCVWltWFNEVnI4UVFwajdocDNOUGZhQXRYR2k3THBaTE5QeTJWbG1iT2VlQzJiaDFZaVBxWmV5aDhmMU5ERmkzV05IUlUzRUNUbVA3UE5NN3BlRTU2bmZJVXp4SENSUFNnaXFyaGlsY2RXS1lEbDNQMndJakFuSGFkMVpSRU9HcXdqNE9qaldtczExQmh0elVmVTJyWVRkcDMwUm93cU8zNjI2Uy1CTUFnSXBQbXpOY1FrZm1rRkJLQ3ZEQQ?oc=5,2025-06-16 09:01:26,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQV1dHQ01fSGxaSnRpVllRUVFsblp1YmxldnloSWtrdmlSR0lVMEFBQ1RWUkE2aXBxN0lGVFlyRWh1QTV1aWlaVEk5cUI4OWk2UE9FcHFLVTVQUkdRczVHUEg4NDlIMDc1cXlvVE43eDBrSHhzLUEyZjUxZnNaRmRkOXJjcmhQZFItZmxjRzRaTDRlNWg3MVQ2YVJvLWlQQmhha1AwX01EQ2NZLUo3d3l0ZFRjWlZTVEN3RUJxUXRkclZVeEZVdy1pTUtB0gHSAUFVX3lxTE5DSjhwak9sdTJNaGFaV3NCVWltWFNEVnI4UVFwajdocDNOUGZhQXRYR2k3THBaTE5QeTJWbG1iT2VlQzJiaDFZaVBxWmV5aDhmMU5ERmkzV05IUlUzRUNUbVA3UE5NN3BlRTU2bmZJVXp4SENSUFNnaXFyaGlsY2RXS1lEbDNQMndJakFuSGFkMVpSRU9HcXdqNE9qaldtczExQmh0elVmVTJyWVRkcDMwUm93cU8zNjI2Uy1CTUFnSXBQbXpOY1FrZm1rRkJLQ3ZEQQ?oc=5"" target=""_blank"">Heavy Rain Alert: IMD Issues Red-Orange Alerts for Several States Until June 20th</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Monsoon,en
"Monsoon Update: IMD issued heavy rain alert in 14 states, know detail - Times Bull",https://news.google.com/rss/articles/CBMipwFBVV95cUxQaFQya3dzbUJjSmk1bHdFbmdNbzNuc2cyX0ZCS2E0UkZOdE0wODVuZUhxTk1lM1Q0MEVfMEJSeFNYYWhZSFp5S3g3NUZyMXVYYmpYNjdMR1FRQWRKM3Z0RVc5QUZIZGtZcDJTVzhfaF83VUZGQ1lXUzVkUHFLZGJjbmlXcjRRamFjQVlwMHJkeVFUMHE4NGpFQjJ2OEZtUTBkZFJxbjdkNA?oc=5,2025-06-16 06:20:34,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQaFQya3dzbUJjSmk1bHdFbmdNbzNuc2cyX0ZCS2E0UkZOdE0wODVuZUhxTk1lM1Q0MEVfMEJSeFNYYWhZSFp5S3g3NUZyMXVYYmpYNjdMR1FRQWRKM3Z0RVc5QUZIZGtZcDJTVzhfaF83VUZGQ1lXUzVkUHFLZGJjbmlXcjRRamFjQVlwMHJkeVFUMHE4NGpFQjJ2OEZtUTBkZFJxbjdkNA?oc=5"" target=""_blank"">Monsoon Update: IMD issued heavy rain alert in 14 states, know detail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Monsoon,en
"Severe cyclone Dana moves closer to Odisha coast, evacuation efforts expedited - MSN",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNb3RqQVdHY3dMX3RNVWV6dmJ5Nzdyc0g4TGtJUndvQnpDQkprY3BQbnEwVUl3MEx1N0pBT0dsVGo0SEl5VjBUeGhVUkNJVTJpTHVya0JiWHAtMW1XdW5ya3NsLW8ya0VELS1ZSHo5ZzRVUnlxLUdMSm85X2FMTjBjYUNkS29KZ2pwVEtSTUxkTmNfV25DU1pWVlM0NHE5TE9lazV5ZGRPMjRIc09aVmc5SUdiOXJKcFZTMmxTMVhJMjltX2FMTUxQT3VkM2xBQ2JXSThCcVROcw?oc=5,2025-06-16 04:24:00,MSN,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNb3RqQVdHY3dMX3RNVWV6dmJ5Nzdyc0g4TGtJUndvQnpDQkprY3BQbnEwVUl3MEx1N0pBT0dsVGo0SEl5VjBUeGhVUkNJVTJpTHVya0JiWHAtMW1XdW5ya3NsLW8ya0VELS1ZSHo5ZzRVUnlxLUdMSm85X2FMTjBjYUNkS29KZ2pwVEtSTUxkTmNfV25DU1pWVlM0NHE5TE9lazV5ZGRPMjRIc09aVmc5SUdiOXJKcFZTMmxTMVhJMjltX2FMTUxQT3VkM2xBQ2JXSThCcVROcw?oc=5"" target=""_blank"">Severe cyclone Dana moves closer to Odisha coast, evacuation efforts expedited</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
IMD sounds flash flood alert for northeast & south India - The New Indian Express,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPRnIxb3ZKVjh1dWxIV1NhSm1YdXBNZm4tUVBWTE55cl82OWpWbGhoZ2l5S1ByNW5PcmFuMVBBOVJjd05qdUNVTHRUZ2hKOHhfcjJfdHRGUzRzWjJwVjVRTkE2Uzk4WW56aHpvMVBfMy02OGEzUFRkRFBoYWxfMnl1YlVLMUN1YmZ2cG9IeXNMcm9IajBCTWtUSHVOc0VLU1JITjBIeUlLTGFzQdIBtwFBVV95cUxNaUpnZGE1RlAtMm1rVnJBQkh6MmlyYW9sQl9NN1lLYXdxcFNmdXNrMjRtRHFtQ3h3VDRnLXlWX0FiZEdhejlIeWF3NmlndDZmQUxfVHpTbzM2Y0tSQU9PU1NjVUtWVjdqLXphcUlXMFJ0ZTlRMU1TQU5mMm1LdDZLaGM0WFlqUk5ubkpEaXhlMmUyd2FmY282VUhtMTl0Mml4bWdsd3lLd0N4SmdIMzd5cWRaOHZUSzg?oc=5,2025-06-16 09:05:22,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPRnIxb3ZKVjh1dWxIV1NhSm1YdXBNZm4tUVBWTE55cl82OWpWbGhoZ2l5S1ByNW5PcmFuMVBBOVJjd05qdUNVTHRUZ2hKOHhfcjJfdHRGUzRzWjJwVjVRTkE2Uzk4WW56aHpvMVBfMy02OGEzUFRkRFBoYWxfMnl1YlVLMUN1YmZ2cG9IeXNMcm9IajBCTWtUSHVOc0VLU1JITjBIeUlLTGFzQdIBtwFBVV95cUxNaUpnZGE1RlAtMm1rVnJBQkh6MmlyYW9sQl9NN1lLYXdxcFNmdXNrMjRtRHFtQ3h3VDRnLXlWX0FiZEdhejlIeWF3NmlndDZmQUxfVHpTbzM2Y0tSQU9PU1NjVUtWVjdqLXphcUlXMFJ0ZTlRMU1TQU5mMm1LdDZLaGM0WFlqUk5ubkpEaXhlMmUyd2FmY282VUhtMTl0Mml4bWdsd3lLd0N4SmdIMzd5cWRaOHZUSzg?oc=5"" target=""_blank"">IMD sounds flash flood alert for northeast & south India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Monsoon,en
India Faces Heavy Rainfall Across 15 States This Week - urbanacres.in,https://news.google.com/rss/articles/CBMiggFBVV95cUxQVUJ3OEtRNUlzVjVSRHV3bHRfYktsRThZS0k0clM0blp6b0ZXdXBMVTJuX1FYS0JSWVFqZHZkZllKOTRxLTltZC1lMmlmc0I2Qzgwek1sb3gzUHo4RFFleUJhQmNqaHZCQ3MyLWtIUE1PazQ5TTBPWHNLRVc4N3drN05R?oc=5,2025-06-16 04:18:51,urbanacres.in,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxQVUJ3OEtRNUlzVjVSRHV3bHRfYktsRThZS0k0clM0blp6b0ZXdXBMVTJuX1FYS0JSWVFqZHZkZllKOTRxLTltZC1lMmlmc0I2Qzgwek1sb3gzUHo4RFFleUJhQmNqaHZCQ3MyLWtIUE1PazQ5TTBPWHNLRVc4N3drN05R?oc=5"" target=""_blank"">India Faces Heavy Rainfall Across 15 States This Week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">urbanacres.in</font>",Monsoon,en
"Weather Update: इस हफ्ते पूर्वी भारत में दस्तक देगा मॉनसून, बिहार-झारखंड में आज से बारिश के आसार, उत्तर भारत में कब बरसेंगे बदरा - Zee News",https://news.google.com/rss/articles/CBMi5AFBVV95cUxQTkhjSHhra0MxcE9kZlhnaWZEdE13M1p5VEszWThoRER3blVCZFVqdFdqV1RXc25Ha2t6REVPWldTNDFqeU5Ha3RrdndNVjNEVTFBX3NfVUhCNVVZTzdaT1lmQjVMRV9lcHYyWElMcnBqbGZIbGlNb0VIQnpidF9oQVZlcF9VUW12YjRKRVBDbkJ6RTNic0c3cVp0dXhqdEwzVUFpM1Q1WmZrTEd4QVJBZEVQXzdQZ0RMcE5OUk1ZRGZmMFRlczVpSkl2c3FQVTE1SXd1OGFDZ2V6TmFJN2xPcE1WSFo?oc=5,2025-06-16 05:09:36,Zee News,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQTkhjSHhra0MxcE9kZlhnaWZEdE13M1p5VEszWThoRER3blVCZFVqdFdqV1RXc25Ha2t6REVPWldTNDFqeU5Ha3RrdndNVjNEVTFBX3NfVUhCNVVZTzdaT1lmQjVMRV9lcHYyWElMcnBqbGZIbGlNb0VIQnpidF9oQVZlcF9VUW12YjRKRVBDbkJ6RTNic0c3cVp0dXhqdEwzVUFpM1Q1WmZrTEd4QVJBZEVQXzdQZ0RMcE5OUk1ZRGZmMFRlczVpSkl2c3FQVTE1SXd1OGFDZ2V6TmFJN2xPcE1WSFo?oc=5"" target=""_blank"">Weather Update: इस हफ्ते पूर्वी भारत में दस्तक देगा मॉनसून, बिहार-झारखंड में आज से बारिश के आसार, उत्तर भारत में कब बरसेंगे बदरा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Monsoon,hi
