Title,Link,Date,Source,Summary,Term,LanguageQueried
"Daily weather tracker: Heavy rain alert for Odisha, Chhattisgarh and Andhra Pradesh; several other states to witness rainfall - Down To Earth",https://news.google.com/rss/articles/CBMi_AFBVV95cUxNNDV2Sk9mUnNnUk1RWHEwVG5xU2hyczdKYXlmNzFnQjFlX3JHOUdHdUM3QS1ONG0wYnphTzNRVS15UThWVGhGLVdwODJoZ2hYQ0cwZjQ3c1BCaTFwLWR1NHBaR2NQSTJiY3M2MXk0UkNNLUJIMnhGdmhNOTdvSWZCRHNUdjZlVU44ZVgtWGFzRUdzTjVTVERqVjd3b2s4S1lKeXp5aUpGRkd5VGpMSE5FMmoxd0pzOS1CTkVkUC1zZndINmpGZEtWOGhIYnJxU01OLVFnZC1jNUtLV2hsRDdzb0lXU1B5S3BTMi1CTGhBM3RfNFAxSG5NOURvVW7SAYoCQVVfeXFMT0VkWjFFbWlQdFE4OU5ER21XcF9ZbXRXdjFNcjNselJjNWVMRDg1R2RNd0VXbVdJNGkycDdubnBzUmZWSU11NE1rQ2tNQm5lT2NBNkNiNjRPVFVuYlZWV3ktN3BlMjNGLVFSU3FWRXVlLXRyNzVLemxpM3ljQUE1bjFndjJLTmFSSVlIN1VXWi1NbjNObnk1TFRZcURNZkVoaWJPS002NUxyWU5oOE0tSk02Q0R1a09TQnAxM3ZES0NiUFRGVkNzOWVXZ1hZZkNRVDdmWHFhVGd3NXRDZ1ladUptVU1Nek9iVzdDcE52Zi1DeHFSZlJIU0U2SVRHdjRjSkszU3E3cjI0Ymc?oc=5,2026-09-11 11:11:17,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNNDV2Sk9mUnNnUk1RWHEwVG5xU2hyczdKYXlmNzFnQjFlX3JHOUdHdUM3QS1ONG0wYnphTzNRVS15UThWVGhGLVdwODJoZ2hYQ0cwZjQ3c1BCaTFwLWR1NHBaR2NQSTJiY3M2MXk0UkNNLUJIMnhGdmhNOTdvSWZCRHNUdjZlVU44ZVgtWGFzRUdzTjVTVERqVjd3b2s4S1lKeXp5aUpGRkd5VGpMSE5FMmoxd0pzOS1CTkVkUC1zZndINmpGZEtWOGhIYnJxU01OLVFnZC1jNUtLV2hsRDdzb0lXU1B5S3BTMi1CTGhBM3RfNFAxSG5NOURvVW7SAYoCQVVfeXFMT0VkWjFFbWlQdFE4OU5ER21XcF9ZbXRXdjFNcjNselJjNWVMRDg1R2RNd0VXbVdJNGkycDdubnBzUmZWSU11NE1rQ2tNQm5lT2NBNkNiNjRPVFVuYlZWV3ktN3BlMjNGLVFSU3FWRXVlLXRyNzVLemxpM3ljQUE1bjFndjJLTmFSSVlIN1VXWi1NbjNObnk1TFRZcURNZkVoaWJPS002NUxyWU5oOE0tSk02Q0R1a09TQnAxM3ZES0NiUFRGVkNzOWVXZ1hZZkNRVDdmWHFhVGd3NXRDZ1ladUptVU1Nek9iVzdDcE52Zi1DeHFSZlJIU0U2SVRHdjRjSkszU3E3cjI0Ymc?oc=5"" target=""_blank"">Daily weather tracker: Heavy rain alert for Odisha, Chhattisgarh and Andhra Pradesh; several other states to witness rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Monsoon,en
"Delhi may get rain, thunderstorms today; heavy rain in Odisha, Chhattisgarh - Business Standard",https://news.google.com/rss/articles/CBMi0wFBVV95cUxPSTZMRXNfOFB2TEY4RzZsYWRSZFFtN05JYzFTSW1RdjBud2JEb2NqTVFSQ3J2RHNORl8zeWsyNGZkRzNhSUt2VXE1VDZPUVAyOVBObkFfVEFUdFNldHFZTDJReW9MaTRfWjBPSnU2Y1VkdS10SHhscDZWcEQ0S0dQZVBoNjN6eDZuQkVqTG5IYXR5TlE2dmdUM2lhQ2NuRW5zYjZySEhzWEhFV09lRldZdmpKbUp4UkstRmNkTWlOTF9yWFRPcFZkdkJObWtSYUx6M3RN0gHYAUFVX3lxTE1DdFVuTVp0SmRxeEQ5VTdVeDNIVXpJNWZUTjR2MnZVYTJGZlFDWm9xQkU5OThXbGVWeURORlY2QnFpTlg3aDE2MUFCOHBIN2Y4X29KSlNTWEJyU2NQQU9wTmhvUjNlYWdRSkhCMFFFWVU0eTRCQzk1MklYMG5vaWFqRzF1bTIya3B2b3BfenZTdE9JRUZxTlJQdGdJMVNBcFE1UkhIeE41V1JxZ0VrMkI0T0JUSHpLNW1PNnppM2xKTm5YNzdienZ3NHhyWGdoTFl4UVFONXJRWg?oc=5,2026-09-11 09:09:39,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPSTZMRXNfOFB2TEY4RzZsYWRSZFFtN05JYzFTSW1RdjBud2JEb2NqTVFSQ3J2RHNORl8zeWsyNGZkRzNhSUt2VXE1VDZPUVAyOVBObkFfVEFUdFNldHFZTDJReW9MaTRfWjBPSnU2Y1VkdS10SHhscDZWcEQ0S0dQZVBoNjN6eDZuQkVqTG5IYXR5TlE2dmdUM2lhQ2NuRW5zYjZySEhzWEhFV09lRldZdmpKbUp4UkstRmNkTWlOTF9yWFRPcFZkdkJObWtSYUx6M3RN0gHYAUFVX3lxTE1DdFVuTVp0SmRxeEQ5VTdVeDNIVXpJNWZUTjR2MnZVYTJGZlFDWm9xQkU5OThXbGVWeURORlY2QnFpTlg3aDE2MUFCOHBIN2Y4X29KSlNTWEJyU2NQQU9wTmhvUjNlYWdRSkhCMFFFWVU0eTRCQzk1MklYMG5vaWFqRzF1bTIya3B2b3BfenZTdE9JRUZxTlJQdGdJMVNBcFE1UkhIeE41V1JxZ0VrMkI0T0JUSHpLNW1PNnppM2xKTm5YNzdienZ3NHhyWGdoTFl4UVFONXJRWg?oc=5"" target=""_blank"">Delhi may get rain, thunderstorms today; heavy rain in Odisha, Chhattisgarh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Monsoon,en
Kalahandi Schools to remain closed today due to heavy rain warning - prameyanews.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxNQVRVT1Z3RVR1VktVb3J2Ums5cTUzTVFwOEFoVW8tWlNfeEUzdG9kYVVmSFBwUnJSeklnclRHaDRYdEllSlphU0JHRl9nZUdHOUlWRUFaUTFVaS10aC1WcmMxTXliUUdTeWtKYlRVbWtqZHNhNU4zWmZEbmhpdndmZUpYTVMtWmsxVGVFOHZPUTd0dlM5SncyU0d3?oc=5,2026-09-11 09:35:47,prameyanews.com,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNQVRVT1Z3RVR1VktVb3J2Ums5cTUzTVFwOEFoVW8tWlNfeEUzdG9kYVVmSFBwUnJSeklnclRHaDRYdEllSlphU0JHRl9nZUdHOUlWRUFaUTFVaS10aC1WcmMxTXliUUdTeWtKYlRVbWtqZHNhNU4zWmZEbmhpdndmZUpYTVMtWmsxVGVFOHZPUTd0dlM5SncyU0d3?oc=5"" target=""_blank"">Kalahandi Schools to remain closed today due to heavy rain warning</a>&nbsp;&nbsp;<font color=""#6f6f6f"">prameyanews.com</font>",Monsoon,en
Heavy rain lashes Odisha; Kalahandi records highest rainfall at 159 mm - Odisha TV,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMEtNNm9KT1hEai1ESFFsQWt6OXhNc0tlamZ3dWJaWm9pU2FjLU40SDR1M1pCUndlOWdoZzZxdS1QekhtcFRpNTkwcWVSV0oyTHQ2ZFB0QVpSQkVNUi1FMzRnaldOM01MZkhKQ3hZTmhHam5qaDJqOG52bTZxZmxrQ2p6NUNfajNxUHRrZ3dqM3gxYVNlN1ZGblpxTnk0RDJQR25xNmEzbkNvUQ?oc=5,2026-09-11 12:00:20,Odisha TV,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMEtNNm9KT1hEai1ESFFsQWt6OXhNc0tlamZ3dWJaWm9pU2FjLU40SDR1M1pCUndlOWdoZzZxdS1QekhtcFRpNTkwcWVSV0oyTHQ2ZFB0QVpSQkVNUi1FMzRnaldOM01MZkhKQ3hZTmhHam5qaDJqOG52bTZxZmxrQ2p6NUNfajNxUHRrZ3dqM3gxYVNlN1ZGblpxTnk0RDJQR25xNmEzbkNvUQ?oc=5"" target=""_blank"">Heavy rain lashes Odisha; Kalahandi records highest rainfall at 159 mm</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha TV</font>",Monsoon,en
IMD Weather Alert: Heavy Rain and High-Wave Warnings Issued for Key Regions Today - NativePlanet,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNbE03TUtxN1BCSTBoTFphNlFNdTVOYUo4elFhVTNRMjRLak93aGZ3Sk1VeWdQcmVqUEgwNGRBU1RLMDlqcUZLZ0pYY2YxYmExYjNhYld0Z1FMcThnVUdFM0NJOTRRODh1YWpTVnktTEpFMGxIUEk4OWJjREZtSk1wTmcyY0FWbXJDY3NUUzVOY2JSTDZ2cWhqVG9rajBoNjhwY01oUWYwcEZ5TTgtVmVCbi1fZGZMdkxHTmUwb2VZWFpKUThBRWpmYmhrV0otNThCUnlvdWhyTG81dw?oc=5,2026-09-11 08:21:41,NativePlanet,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNbE03TUtxN1BCSTBoTFphNlFNdTVOYUo4elFhVTNRMjRLak93aGZ3Sk1VeWdQcmVqUEgwNGRBU1RLMDlqcUZLZ0pYY2YxYmExYjNhYld0Z1FMcThnVUdFM0NJOTRRODh1YWpTVnktTEpFMGxIUEk4OWJjREZtSk1wTmcyY0FWbXJDY3NUUzVOY2JSTDZ2cWhqVG9rajBoNjhwY01oUWYwcEZ5TTgtVmVCbi1fZGZMdkxHTmUwb2VZWFpKUThBRWpmYmhrV0otNThCUnlvdWhyTG81dw?oc=5"" target=""_blank"">IMD Weather Alert: Heavy Rain and High-Wave Warnings Issued for Key Regions Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NativePlanet</font>",Monsoon,en
"Weather Update: IMD Issues Rain Alert For Delhi-NCR, UP; Check Forecast For Odisha, Jharkhand - The Daily Jagran",https://news.google.com/rss/articles/CBMi1wFBVV95cUxQNEk1cmI0VEt2YjFjOTdEdlc1LTU2MVhmT3hNVmdJaDR0NXYySl9SWllINmFNbk9zNEM5QmZZNEdtUjBQX0FWWGxfc1JaRXp6SGFzOW5xRHBYR1hEbHh5NlpWZUdwLW9uM1pEWmYtODlQdnlGcGhtYklPcG51S3h2V3hZa3FrN0NiTzdFV25XZjFGUVQzX0l5S09Ya3lTNU52aVpPOVlWcC1OWm9uRnk4SG1mRUI3U0VVRDctNTJRNzh4bmdnTzVsZEN4TTNRZ3RfdFdOWVZMOA?oc=5,2026-09-11 08:54:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQNEk1cmI0VEt2YjFjOTdEdlc1LTU2MVhmT3hNVmdJaDR0NXYySl9SWllINmFNbk9zNEM5QmZZNEdtUjBQX0FWWGxfc1JaRXp6SGFzOW5xRHBYR1hEbHh5NlpWZUdwLW9uM1pEWmYtODlQdnlGcGhtYklPcG51S3h2V3hZa3FrN0NiTzdFV25XZjFGUVQzX0l5S09Ya3lTNU52aVpPOVlWcC1OWm9uRnk4SG1mRUI3U0VVRDctNTJRNzh4bmdnTzVsZEN4TTNRZ3RfdFdOWVZMOA?oc=5"" target=""_blank"">Weather Update: IMD Issues Rain Alert For Delhi-NCR, UP; Check Forecast For Odisha, Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Monsoon,en
IMD warns heavy rain across eastern and central India Friday - NewsBytes,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQcDREamtkUC11TFF4Tkw1eUhFRFFsbzF0RklpOTBYUUhMZ0NmZmhTU2hNd3Q3OHkxdHdCVFVFSGIwa1pkVjJ0ZEl0OFlNREY0RTk3bDhGSkItOVlEV2tJRk1qOHhZdjlNd0lYc2pMa3B3NkNNS2UyWFV1NjBENjRuX0pVMFplYlMtX2tsSjhYY0NnMDdDenEzN2JMSXlHSnpraW5zUXYtb0U?oc=5,2026-09-11 08:44:37,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQcDREamtkUC11TFF4Tkw1eUhFRFFsbzF0RklpOTBYUUhMZ0NmZmhTU2hNd3Q3OHkxdHdCVFVFSGIwa1pkVjJ0ZEl0OFlNREY0RTk3bDhGSkItOVlEV2tJRk1qOHhZdjlNd0lYc2pMa3B3NkNNS2UyWFV1NjBENjRuX0pVMFplYlMtX2tsSjhYY0NnMDdDenEzN2JMSXlHSnpraW5zUXYtb0U?oc=5"" target=""_blank"">IMD warns heavy rain across eastern and central India Friday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Monsoon,en
"IMD issues Orange Alert for very heavy rainfall over Chhattisgarh, Coastal Andhra Pradesh & Odisha - News On AIR",https://news.google.com/rss/articles/CBMivgFBVV95cUxQbUpjWi14TzlvSGQweElkQVJLNU9FS2FocmRxcFdzellKUzJoNGt5SXRwWF9YMWpHT2w3NTJ2TG1uVHFJdTVkQkJSRXFLcDZjQUJaMXdkZEtmN0M3Y3dxbmdHNFpVTjBNOFFYY25xX2hGSG9rb2diVVd2OGVOdDdZU3Nvd3ZmSk8zV0xyNy1lUVJIR3JXbXVuYWU5T0FFQ0x4R2p3aHJRMmlWa2ZSUzg5RHFrcjJTeUhmd3VsRHl3?oc=5,2026-09-11 07:33:01,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQbUpjWi14TzlvSGQweElkQVJLNU9FS2FocmRxcFdzellKUzJoNGt5SXRwWF9YMWpHT2w3NTJ2TG1uVHFJdTVkQkJSRXFLcDZjQUJaMXdkZEtmN0M3Y3dxbmdHNFpVTjBNOFFYY25xX2hGSG9rb2diVVd2OGVOdDdZU3Nvd3ZmSk8zV0xyNy1lUVJIR3JXbXVuYWU5T0FFQ0x4R2p3aHJRMmlWa2ZSUzg5RHFrcjJTeUhmd3VsRHl3?oc=5"" target=""_blank"">IMD issues Orange Alert for very heavy rainfall over Chhattisgarh, Coastal Andhra Pradesh & Odisha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"IMD issues fresh warning of extremely heavy rain in Kalahandi, Kandhamal - The Times of India",https://news.google.com/rss/articles/CBMi5AFBVV95cUxPZHJIbTcwLVNZVjNvOFdqQTVJTHEteXRfNXZVMGMwRkIyaFh5UFZmYTNJYzR5a0djU2ZIRWRtN1dwR0dUUXM1LVdaU2xvaVdXcU5JM2J2WmxhSjQwd0ppZHFMN2ZsUDhoWEJ4bHhpMkljZUQyNWxYemUxTTN2c0duUmpGMDl1dVB0TWc0T051bGt0WEszTWh0d2MwVUJPTlV3T3V0dy1IalF6V1oyM3pudHZnSlB1X1pBUHkyNkpDUFYyN0xrRDFJcTdibkM2bDVwRV9HTmhpaEoxbnFxN0JtckZ1TGjSAeoBQVVfeXFMUEYwQ0VtUEJxU0Z4cW9RZUdmNDEzT3Y0ZkZxOWpjVWZZYjNTRThrRkpfN2hYLWJIYzlRTVBiOXRoeHdCVUtma0xsVDQydFNPX2FscVJBZ093Ym1Hc3IyckRYYVJ5VEhPY09UaGFqQUNDbkp6elRUTTA5RG5yYzVzUkNoV0xjYTk5bXRGSTBRc2FkdFk4TVB4WU4wRzdTTkpOakFNS3lVckpSYWpNWUhjektvekg5YUI4aVNNSXRyWU9wSTdkTWZCYjF5VDJpemtMRjVaeGlCU3JaRml4N2VZQlVwZXhFcE1kZVRn?oc=5,2026-09-11 00:29:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPZHJIbTcwLVNZVjNvOFdqQTVJTHEteXRfNXZVMGMwRkIyaFh5UFZmYTNJYzR5a0djU2ZIRWRtN1dwR0dUUXM1LVdaU2xvaVdXcU5JM2J2WmxhSjQwd0ppZHFMN2ZsUDhoWEJ4bHhpMkljZUQyNWxYemUxTTN2c0duUmpGMDl1dVB0TWc0T051bGt0WEszTWh0d2MwVUJPTlV3T3V0dy1IalF6V1oyM3pudHZnSlB1X1pBUHkyNkpDUFYyN0xrRDFJcTdibkM2bDVwRV9HTmhpaEoxbnFxN0JtckZ1TGjSAeoBQVVfeXFMUEYwQ0VtUEJxU0Z4cW9RZUdmNDEzT3Y0ZkZxOWpjVWZZYjNTRThrRkpfN2hYLWJIYzlRTVBiOXRoeHdCVUtma0xsVDQydFNPX2FscVJBZ093Ym1Hc3IyckRYYVJ5VEhPY09UaGFqQUNDbkp6elRUTTA5RG5yYzVzUkNoV0xjYTk5bXRGSTBRc2FkdFk4TVB4WU4wRzdTTkpOakFNS3lVckpSYWpNWUhjektvekg5YUI4aVNNSXRyWU9wSTdkTWZCYjF5VDJpemtMRjVaeGlCU3JaRml4N2VZQlVwZXhFcE1kZVRn?oc=5"" target=""_blank"">IMD issues fresh warning of extremely heavy rain in Kalahandi, Kandhamal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"Flood mars Ganesh Puja festivities in Kendrapara district, idol makers face losses - The New Indian Express",https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQngtZTUtVlJTVU5SWThfYzc1WTBBMUlmSzZxUHpKekpSNzU0TWI3Tk42UTJKZnZ6SUdlTkN2ZXBjZGM0RXZXRTMtVWFpSGU4RnA5cm9XZm5Ldm0xVk5CTUxRVnFLeG51SnVfU0tDcnZnV204M2l0bFFfYlpnc0U2WDRmUXdyaHlyVWRzcDhKOTFLNEliQ2tKWjVqTV9jWlpDVTdxQ003YUNyTExycFF0cl9VMnFHTnE0enZBUkxrYXRWRjc1cjFEaFVPYjlnRlNJNDRHQTdHU1VKdG5YXzdTczN4MnLSAeQBQVVfeXFMTUJ4LWU1LVZSU1VOUlk4X2M3NVkwQTFJZks2cVB6SnpKUjc1NE1iN05ONlEySmZ2eklHZU5DdmVwY2RjNEV2V0UzLVVhaUhlOEZwOXJvV2ZuS3ZtMVZOQk1MUVZxS3hudUp1X1NLQ3J2Z1dtODNpdGxRX2JaZ3NFNlg0ZlF3cmh5clVkc3A4SjkxSzRJYkNrSlo1ak1fY1paQ1U3cUNNN2FDckxMcnBRdHJfVTJxR05xNHp2QVJMa2F0VkY3NXIxRGhVT2I5Z0ZTSTQ0R0E3R1NVSnRuWF83U3MzeDJy?oc=5,2026-09-11 09:54:00,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQngtZTUtVlJTVU5SWThfYzc1WTBBMUlmSzZxUHpKekpSNzU0TWI3Tk42UTJKZnZ6SUdlTkN2ZXBjZGM0RXZXRTMtVWFpSGU4RnA5cm9XZm5Ldm0xVk5CTUxRVnFLeG51SnVfU0tDcnZnV204M2l0bFFfYlpnc0U2WDRmUXdyaHlyVWRzcDhKOTFLNEliQ2tKWjVqTV9jWlpDVTdxQ003YUNyTExycFF0cl9VMnFHTnE0enZBUkxrYXRWRjc1cjFEaFVPYjlnRlNJNDRHQTdHU1VKdG5YXzdTczN4MnLSAeQBQVVfeXFMTUJ4LWU1LVZSU1VOUlk4X2M3NVkwQTFJZks2cVB6SnpKUjc1NE1iN05ONlEySmZ2eklHZU5DdmVwY2RjNEV2V0UzLVVhaUhlOEZwOXJvV2ZuS3ZtMVZOQk1MUVZxS3hudUp1X1NLQ3J2Z1dtODNpdGxRX2JaZ3NFNlg0ZlF3cmh5clVkc3A4SjkxSzRJYkNrSlo1ak1fY1paQ1U3cUNNN2FDckxMcnBRdHJfVTJxR05xNHp2QVJMa2F0VkY3NXIxRGhVT2I5Z0ZTSTQ0R0E3R1NVSnRuWF83U3MzeDJy?oc=5"" target=""_blank"">Flood mars Ganesh Puja festivities in Kendrapara district, idol makers face losses</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Monsoon,en
