Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Alert Punjab: ਪਠਾਨਕੋਟ 'ਚ ਸਵੇਰ ਤੋਂ ਭਾਰੀ ਮੀਂਹ, ਪੰਜਾਬ ਦੇ 14 ਜ਼ਿਲ੍ਹਿਆਂ ਲਈ ਮੀਂਹ ਦਾ ਅਲਰਟ - sachkahoonpunjabi.com",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNbkFhMjU0QU1BRm9iekt0NEVXQy1UeDJSdGxJUzBfYTdtS3h4MGRnbVo2T0xCSkxvLWVVXy1kSmdERWxGbGZJMGZIV0JRNVdNNVVwMjJnNzgzWldPcE10VFotTG5tSmpib05QLXdEX0N4ZThwSkR3VEhuM3BES01BSlpWeTNUZGFL?oc=5,2026-09-02 10:59:15,sachkahoonpunjabi.com,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNbkFhMjU0QU1BRm9iekt0NEVXQy1UeDJSdGxJUzBfYTdtS3h4MGRnbVo2T0xCSkxvLWVVXy1kSmdERWxGbGZJMGZIV0JRNVdNNVVwMjJnNzgzWldPcE10VFotTG5tSmpib05QLXdEX0N4ZThwSkR3VEhuM3BES01BSlpWeTNUZGFL?oc=5"" target=""_blank"">Weather Alert Punjab: ਪਠਾਨਕੋਟ 'ਚ ਸਵੇਰ ਤੋਂ ਭਾਰੀ ਮੀਂਹ, ਪੰਜਾਬ ਦੇ 14 ਜ਼ਿਲ੍ਹਿਆਂ ਲਈ ਮੀਂਹ ਦਾ ਅਲਰਟ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">sachkahoonpunjabi.com</font>",Monsoon,pa
Punjab Weather Alert- ਪੰਜਾਬ ਦੇ 10 ਜਿਲ੍ਹਿਆਂ ਵਿਚ ਭਾਰੀ ਮੀਂਹ ਤੇ ਤੂਫਾਨ ਦਾ ਅਲਰਟ - News18 Punjab,https://news.google.com/rss/articles/CBMiygFBVV95cUxQMWhSXzE2OEl4dWs3UmFVOHlrcEhyTGlVbXpRcV9ERFhPaUJfYUxrY0NFcHJxcHZRZTRlb2syMlBhUTF4dXIxaWRmMEtLRDczT0RaRkZoUlNhT2F3RC1lLUx5X2Vxd0lTWE0zTjdldjNiTDlGS2F0NzlZZ3hvUUFTTTFWM0Zpd0hORXVPT0tTalA3Y2lySUd1YlhKVE9QTzlSNENONVFwU2thY05adURsTXlTQ2x2R3RvNjg5dmhBNHJrYVZ3NGdzUEhB?oc=5,2026-09-02 09:40:15,News18 Punjab,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQMWhSXzE2OEl4dWs3UmFVOHlrcEhyTGlVbXpRcV9ERFhPaUJfYUxrY0NFcHJxcHZRZTRlb2syMlBhUTF4dXIxaWRmMEtLRDczT0RaRkZoUlNhT2F3RC1lLUx5X2Vxd0lTWE0zTjdldjNiTDlGS2F0NzlZZ3hvUUFTTTFWM0Zpd0hORXVPT0tTalA3Y2lySUd1YlhKVE9QTzlSNENONVFwU2thY05adURsTXlTQ2x2R3RvNjg5dmhBNHJrYVZ3NGdzUEhB?oc=5"" target=""_blank"">Punjab Weather Alert- ਪੰਜਾਬ ਦੇ 10 ਜਿਲ੍ਹਿਆਂ ਵਿਚ ਭਾਰੀ ਮੀਂਹ ਤੇ ਤੂਫਾਨ ਦਾ ਅਲਰਟ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Punjab</font>",Monsoon,pa
Over Rs 11.25 crore losses in Hamirpur district due to heavy rain in two days - The Tribune,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPWFJhZ1pYU1Y0NExBX21XUmlmcFlaRko4bWlOeVp3Q0tvRUt6SHRYWWE0YWFiT0VXZnhNdERkVmhONjJVOTFSZ3ItSGdYOVFUTXJMLWw0MjFNTWVMN3VXdEVsOHloRTYyTGhDemhZZk92QlJlYTRnZHhxd0F3TUJrQ3l0TVBJbGRTSHpnTGNlSUo3WXpiTTVIMGlONkdyNm5ZckhnelRNYTVZVWp2cDRXaEJxVTZzX3FodkE4eDVRbEJsd9IBwgFBVV95cUxPWFJhZ1pYU1Y0NExBX21XUmlmcFlaRko4bWlOeVp3Q0tvRUt6SHRYWWE0YWFiT0VXZnhNdERkVmhONjJVOTFSZ3ItSGdYOVFUTXJMLWw0MjFNTWVMN3VXdEVsOHloRTYyTGhDemhZZk92QlJlYTRnZHhxd0F3TUJrQ3l0TVBJbGRTSHpnTGNlSUo3WXpiTTVIMGlONkdyNm5ZckhnelRNYTVZVWp2cDRXaEJxVTZzX3FodkE4eDVRbEJsdw?oc=5,2026-09-02 01:26:32,The Tribune,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPWFJhZ1pYU1Y0NExBX21XUmlmcFlaRko4bWlOeVp3Q0tvRUt6SHRYWWE0YWFiT0VXZnhNdERkVmhONjJVOTFSZ3ItSGdYOVFUTXJMLWw0MjFNTWVMN3VXdEVsOHloRTYyTGhDemhZZk92QlJlYTRnZHhxd0F3TUJrQ3l0TVBJbGRTSHpnTGNlSUo3WXpiTTVIMGlONkdyNm5ZckhnelRNYTVZVWp2cDRXaEJxVTZzX3FodkE4eDVRbEJsd9IBwgFBVV95cUxPWFJhZ1pYU1Y0NExBX21XUmlmcFlaRko4bWlOeVp3Q0tvRUt6SHRYWWE0YWFiT0VXZnhNdERkVmhONjJVOTFSZ3ItSGdYOVFUTXJMLWw0MjFNTWVMN3VXdEVsOHloRTYyTGhDemhZZk92QlJlYTRnZHhxd0F3TUJrQ3l0TVBJbGRTSHpnTGNlSUo3WXpiTTVIMGlONkdyNm5ZckhnelRNYTVZVWp2cDRXaEJxVTZzX3FodkE4eDVRbEJsdw?oc=5"" target=""_blank"">Over Rs 11.25 crore losses in Hamirpur district due to heavy rain in two days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font>",Monsoon,en
"School Holiday Today (September 2, 2026): Will Schools Remain Closed Due to Heavy Rain? Check State-Wise Updates - Jagran Josh",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPX1E3MktTNlVTeEs4S25tajFWbUxLQXhFd21CSVhXODFJbTJRQm0wTzZOU0JyQ0p3eFVnMjA3S05XdzN6ck1ESkFVRWFra0dXc1BuOHdoT0g1UWw1bWtJTG1LN3pXWUVxR1Myc0lSZWZpc2RQajF4b1lITGExYVJSSWxnS0pZZ0NESk1fejIzMnRDYVNsNE5MaGFDNThCQmNVcVVWRlYyWHZmQnZrOFMxbDN2NWdQY041ZnQ4WXM2OXJ0bUV4U3ltRDQyeXRUT0R0aklidkVnem0zdS16ZjJJ0gHmAUFVX3lxTFBuSHh0VWJEZi1yOVBpX1lEOUVLUU1oMXlWdmJSUUwyMFB0aW02Z1g2WFFiUnIyME5BREhtM0VrWGdMbnNHM1hHbUZndXNLMkV2RUtYX0VjR19ZU2taLTBCREktLWcwanJubUJJN01vRG5yZXJjZ29VUzRmWXdDbUtPZzY1SWxzZ2NReHAzRi02ZHRDTUdveXljT2FodnZLYU9PYVRIbUdIckVMdFBvZFhORFlNVG1qMjBOVzdUTXJZV3lDNlFWWXFEaThrZVBvVko1QW8tRkcwb3I5N2M0bW80SU5ZZy1B?oc=5,2026-09-02 10:47:32,Jagran Josh,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPX1E3MktTNlVTeEs4S25tajFWbUxLQXhFd21CSVhXODFJbTJRQm0wTzZOU0JyQ0p3eFVnMjA3S05XdzN6ck1ESkFVRWFra0dXc1BuOHdoT0g1UWw1bWtJTG1LN3pXWUVxR1Myc0lSZWZpc2RQajF4b1lITGExYVJSSWxnS0pZZ0NESk1fejIzMnRDYVNsNE5MaGFDNThCQmNVcVVWRlYyWHZmQnZrOFMxbDN2NWdQY041ZnQ4WXM2OXJ0bUV4U3ltRDQyeXRUT0R0aklidkVnem0zdS16ZjJJ0gHmAUFVX3lxTFBuSHh0VWJEZi1yOVBpX1lEOUVLUU1oMXlWdmJSUUwyMFB0aW02Z1g2WFFiUnIyME5BREhtM0VrWGdMbnNHM1hHbUZndXNLMkV2RUtYX0VjR19ZU2taLTBCREktLWcwanJubUJJN01vRG5yZXJjZ29VUzRmWXdDbUtPZzY1SWxzZ2NReHAzRi02ZHRDTUdveXljT2FodnZLYU9PYVRIbUdIckVMdFBvZFhORFlNVG1qMjBOVzdUTXJZV3lDNlFWWXFEaThrZVBvVko1QW8tRkcwb3I5N2M0bW80SU5ZZy1B?oc=5"" target=""_blank"">School Holiday Today (September 2, 2026): Will Schools Remain Closed Due to Heavy Rain? Check State-Wise Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran Josh</font>",Monsoon,en
"India Weather Today (September 2): IMD Issues Heavy Rain Alert for Uttarakhand, Madhya Pradesh, Chhattisgarh and Several Other States – Check Forecast & Latest Update - The Sunday Guardian",https://news.google.com/rss/articles/CBMiqgJBVV95cUxPdmdxZEJhb1pOYlNzcERWTTVaYzIyNHdtVUVWM0x5bGNKUU41dkU1YjJIaWtxVFp6ZzZZbmF6NTZuc2Q3VUM0V19fdWp5cnhkczNHSDM4OTJKUTFQTHBXMUpqZjhDSm9QS2tEQndLWGFNZXE5UU4wY0x1d3VLNHY4NDV1N0NnV3FpYVdmWk9DSXRQMEVQbTZiY3FRUnpPaWZIOVRTSVJMX3Voa3BjWk9SSl9oczNWMHY5TEw2Nk1BaWN5Ulc4NXZ3WlFpQTFoQ3N6QTljLTZDUldFdU1nSnhIWlZmSGRPLVRZMHAtMHY2Tk1oU3BXYVBwdEVnVVk5TFNWVDNqQVJuUTJCLWtzOUV0MEg5ODVJV0ZDVkRzdXZ1ZmtmdjIxWUR6MEJn0gGvAkFVX3lxTFBRRFI4RUs2cVYyUE9uZUEwb2dlV25FYmgtYlN6UFRmMkVZeWtBU2R1aU1oR3c0UTBtQWFnOHRKMWQyaUVHR1ZwZ01DRG9ETTQyWGtfM1FlNi03dlpxc0dqNWkzUWhJT0tUTWJKbkFnY0laajY1cmo0NE05WEJVRmR0TEc5czBnM0NVSVJGd3lIWERnNkUxOVJNZ1hseGdQUkdfaUUwVlEzb21rT0RlZVlMbTJwOUtRakdJUUdUeUxtUGZfRkp1LVRJM3kzbUlGTEJGNmluQm9nX1R0MlhDVlB0Sy11blA5d3VRY0FVb3RtQS1DWG1Xb1RoSElHaWRKUF9KQ2JZOHhPYkhfc3l3dnhfYjFQclBqQ3BGMldJYy03elFxblZZaWlURkVqX0hucw?oc=5,2026-09-02 08:20:34,The Sunday Guardian,"<a href=""https://news.google.com/rss/articles/CBMiqgJBVV95cUxPdmdxZEJhb1pOYlNzcERWTTVaYzIyNHdtVUVWM0x5bGNKUU41dkU1YjJIaWtxVFp6ZzZZbmF6NTZuc2Q3VUM0V19fdWp5cnhkczNHSDM4OTJKUTFQTHBXMUpqZjhDSm9QS2tEQndLWGFNZXE5UU4wY0x1d3VLNHY4NDV1N0NnV3FpYVdmWk9DSXRQMEVQbTZiY3FRUnpPaWZIOVRTSVJMX3Voa3BjWk9SSl9oczNWMHY5TEw2Nk1BaWN5Ulc4NXZ3WlFpQTFoQ3N6QTljLTZDUldFdU1nSnhIWlZmSGRPLVRZMHAtMHY2Tk1oU3BXYVBwdEVnVVk5TFNWVDNqQVJuUTJCLWtzOUV0MEg5ODVJV0ZDVkRzdXZ1ZmtmdjIxWUR6MEJn0gGvAkFVX3lxTFBRRFI4RUs2cVYyUE9uZUEwb2dlV25FYmgtYlN6UFRmMkVZeWtBU2R1aU1oR3c0UTBtQWFnOHRKMWQyaUVHR1ZwZ01DRG9ETTQyWGtfM1FlNi03dlpxc0dqNWkzUWhJT0tUTWJKbkFnY0laajY1cmo0NE05WEJVRmR0TEc5czBnM0NVSVJGd3lIWERnNkUxOVJNZ1hseGdQUkdfaUUwVlEzb21rT0RlZVlMbTJwOUtRakdJUUdUeUxtUGZfRkp1LVRJM3kzbUlGTEJGNmluQm9nX1R0MlhDVlB0Sy11blA5d3VRY0FVb3RtQS1DWG1Xb1RoSElHaWRKUF9KQ2JZOHhPYkhfc3l3dnhfYjFQclBqQ3BGMldJYy03elFxblZZaWlURkVqX0hucw?oc=5"" target=""_blank"">India Weather Today (September 2): IMD Issues Heavy Rain Alert for Uttarakhand, Madhya Pradesh, Chhattisgarh and Several Other States – Check Forecast & Latest Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sunday Guardian</font>",Monsoon,en
"School Holiday Today (September 2): Will Schools Remain Closed Due to Heavy Rain? Check Forecast, Official Advisory & State-Wise Updates - The Sunday Guardian",https://news.google.com/rss/articles/CBMihAJBVV95cUxNS0xFZzBjU0RIRnNHdmFINVFwM2pnNXdOUWRWVHV2MjNfTGtuN0Z3ZEpkOEJ2elRrdmd1VzU5ZkFveDBkU19xV3JCV2FnczRYZDhTc2ZNWUw5ci1iajMtTll2WVBoQ1UwNXF0RzdhZmU1UFd2anFjRzl3M29OV0FBa1QweWpGVEhNNVFwRC1XRW9QdWVjczNoZl9JZFJQRVR0Y1ZRdjNCb21mWjBweFVnZGJaWWdtNVNQV3BYSDdyOFpORF84ZzRrbFc4TlRiMkxiNXRKdy1uYVRub3FPdjhYeU55VGVQdEtxLWN0VC1zZENmLThaeENhV2V6XzZHX1dMNWZXNtIBigJBVV95cUxQTUsxV21ZNEhKSmhCcm1DeFN6eVJuMjZtdTBEREhrQlVFTGJ1MFRWU3FUb3kyNE9rYWhvRXI2TGcwWUtfdUdiZWF6eUM4ZG10bVMxZmczSDBMRkx5cUdyWXdkTXBmcUlRd3ZHM1d0bWhmaWRzOWk2Wm9Kck92ZGxtMVJ0ZzR6ZklvQVk5RTdVMTRMNFZ2XzFyNkhXb1JIYmkySVBDVXhGYTlpTEN0NVJEZ19uQ01veXNfMUFCMnRlLWdnT00xTVlYOVpEX0lGVDd0NWVuOXJUT2ZJUGtJc0lzcGZLNU1uNGx6SzUwVzNZaWNtVWpnQW1OM21vSkxxRnYtZlFkVTlVc2NfUQ?oc=5,2026-09-02 06:10:19,The Sunday Guardian,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxNS0xFZzBjU0RIRnNHdmFINVFwM2pnNXdOUWRWVHV2MjNfTGtuN0Z3ZEpkOEJ2elRrdmd1VzU5ZkFveDBkU19xV3JCV2FnczRYZDhTc2ZNWUw5ci1iajMtTll2WVBoQ1UwNXF0RzdhZmU1UFd2anFjRzl3M29OV0FBa1QweWpGVEhNNVFwRC1XRW9QdWVjczNoZl9JZFJQRVR0Y1ZRdjNCb21mWjBweFVnZGJaWWdtNVNQV3BYSDdyOFpORF84ZzRrbFc4TlRiMkxiNXRKdy1uYVRub3FPdjhYeU55VGVQdEtxLWN0VC1zZENmLThaeENhV2V6XzZHX1dMNWZXNtIBigJBVV95cUxQTUsxV21ZNEhKSmhCcm1DeFN6eVJuMjZtdTBEREhrQlVFTGJ1MFRWU3FUb3kyNE9rYWhvRXI2TGcwWUtfdUdiZWF6eUM4ZG10bVMxZmczSDBMRkx5cUdyWXdkTXBmcUlRd3ZHM1d0bWhmaWRzOWk2Wm9Kck92ZGxtMVJ0ZzR6ZklvQVk5RTdVMTRMNFZ2XzFyNkhXb1JIYmkySVBDVXhGYTlpTEN0NVJEZ19uQ01veXNfMUFCMnRlLWdnT00xTVlYOVpEX0lGVDd0NWVuOXJUT2ZJUGtJc0lzcGZLNU1uNGx6SzUwVzNZaWNtVWpnQW1OM21vSkxxRnYtZlFkVTlVc2NfUQ?oc=5"" target=""_blank"">School Holiday Today (September 2): Will Schools Remain Closed Due to Heavy Rain? Check Forecast, Official Advisory & State-Wise Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sunday Guardian</font>",Monsoon,en
IMD issues orange alert for heavy to very heavy rainfall in North-eastern region - News On AIR,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNDl6c2JnSlo4WElVVDNaQmNodHRRTHlHbl96Vm1adExLZGJMYklGV09aTjhhWFJZTXZYeHgzakpVVG9RSDNObk1GQkRTZmxTb2duZHhIVDFJQXJGd1k0OVJCQWVNOHA2WkZIRFp2ZzF2SFdabFFDU1dxeGh0UkJzTEVOUnlaMHZPLWJOTHhpRllscWZnelZ1UWYxbkI1blFUYzZNc1ozV2pDQQ?oc=5,2026-09-02 04:40:58,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNDl6c2JnSlo4WElVVDNaQmNodHRRTHlHbl96Vm1adExLZGJMYklGV09aTjhhWFJZTXZYeHgzakpVVG9RSDNObk1GQkRTZmxTb2duZHhIVDFJQXJGd1k0OVJCQWVNOHA2WkZIRFp2ZzF2SFdabFFDU1dxeGh0UkJzTEVOUnlaMHZPLWJOTHhpRllscWZnelZ1UWYxbkI1blFUYzZNc1ozV2pDQQ?oc=5"" target=""_blank"">IMD issues orange alert for heavy to very heavy rainfall in North-eastern region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
Govt issues advisory against consuming unknown fish swept in from Nepal floodwaters - Babushahi.com,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5MOGh4Qm1yZ0tHTnlZT01Cd0tkc0dOd192dXBxRE5wWkg1TXUza1NmUVZKMjZmWmp0T2xZN001bjRiMzczdWNxV3pjZnZmSG1hRmQwY2htR1JCLXE1RFE?oc=5,2026-09-02 13:12:00,Babushahi.com,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE5MOGh4Qm1yZ0tHTnlZT01Cd0tkc0dOd192dXBxRE5wWkg1TXUza1NmUVZKMjZmWmp0T2xZN001bjRiMzczdWNxV3pjZnZmSG1hRmQwY2htR1JCLXE1RFE?oc=5"" target=""_blank"">Govt issues advisory against consuming unknown fish swept in from Nepal floodwaters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Babushahi.com</font>",Monsoon,en
"20-metre breach in Sirhind canal floods Bhairomajra road, villages face flood threat - Babushahi.com",https://news.google.com/rss/articles/CBMiXkFVX3lxTE1SQmJEYkU5cC1Sd2xFOUhGMHdKTGkwelRVYlJxVExUVjh5ek50eWZRd2p2TmNFZV90MGFZcUl3VFFzNFFXQkpwSGdhanlfaUVqZWZJZW93akh1TmdEYXc?oc=5,2026-09-02 14:34:00,Babushahi.com,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE1SQmJEYkU5cC1Sd2xFOUhGMHdKTGkwelRVYlJxVExUVjh5ek50eWZRd2p2TmNFZV90MGFZcUl3VFFzNFFXQkpwSGdhanlfaUVqZWZJZW93akh1TmdEYXc?oc=5"" target=""_blank"">20-metre breach in Sirhind canal floods Bhairomajra road, villages face flood threat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Babushahi.com</font>",Monsoon,en
"Sonu Sood visits one of Nepal's towns most devastated by flood, lauds India's aid to neighbouring country - Babushahi.com",https://news.google.com/rss/articles/CBMickFVX3lxTE9FejNfM0xPb1JYLXdzU2JLcFZ4WTlQVlFITkZQV2o4UXA4THdycmJrSDdsUC1pUXlRcXFJSUZDaTUtNXZjUnRnWWxmVWR0bGh0a2pWdFR6U0g3ZE8xY3lyeU1uMWN6X21fYjE3R1RBWjl4QQ?oc=5,2026-09-02 10:30:00,Babushahi.com,"<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE9FejNfM0xPb1JYLXdzU2JLcFZ4WTlQVlFITkZQV2o4UXA4THdycmJrSDdsUC1pUXlRcXFJSUZDaTUtNXZjUnRnWWxmVWR0bGh0a2pWdFR6U0g3ZE8xY3lyeU1uMWN6X21fYjE3R1RBWjl4QQ?oc=5"" target=""_blank"">Sonu Sood visits one of Nepal's towns most devastated by flood, lauds India's aid to neighbouring country</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Babushahi.com</font>",Monsoon,en
