Title,Link,Date,Source,Summary,Term,LanguageQueried
"Rain Alert: पूर्वी व मध्य भारत में तूफान के साथ होगी भारी बारिश, पूरे राजस्थान व पश्चिम हिमालय से चार दिन पहले लौटा मानसून - Patrika News",https://news.google.com/rss/articles/CBMi6AFBVV95cUxQeFJ5VnljQWlLeFQtSWhQMkVNQmpoY1RjVWplVXRjbjBZblNFTlEyRXV4aEpTLWh2MG1nXzhDSUxxXzg3OGFSamJfRnFmQ0d6MG5SQjJpWnpQa3pIZW5kc0xDNzZRWFBtaVcyUGwyUG9icXFWRUhUMW91Zms3UDRJU3VHUTU3OU5uRnMyQUdsNWlyU3FqZ3h6Z2N5SzkzeFJIODdFaWlFRFF6ZzZFa2ZRVUNRQy1jc0ZjOFRYQzZKRjBGUTVTUlIxNUlIU3dVX3FITVpIMVFLbVdkb1BDcTJpbTNZM1g0eWpU0gHuAUFVX3lxTFB6UjE1WTZWT3dLbWtRcVR0TTVwTGN0bWRJa294Sm5GeTRxR3lBTnZwenpJcW1ua1E0cU9uSkd3WURnV0E1VWt1ckp0anIyNnBzd1NZZHVuRkF1UzlDTjZHZ2Nzb0lmR2ZfcV9LTE1DVXVXZ3BFRnZhQjVENnM2UUU4U3JVSEVkVlJXZ1RBa2hSd2xONmxGV0xPM28zbDFvN1QtMmNoYXhjb3YweWtXV25mZDFZclhrSHpYUjI0TUFfRDY3bmhlNHVTUVZsUFMtbU45cXVmR0hEMTY5MmxEWkFqS3hWYTc0Z2hGMWhDRGc?oc=5,2025-09-27 07:10:35,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQeFJ5VnljQWlLeFQtSWhQMkVNQmpoY1RjVWplVXRjbjBZblNFTlEyRXV4aEpTLWh2MG1nXzhDSUxxXzg3OGFSamJfRnFmQ0d6MG5SQjJpWnpQa3pIZW5kc0xDNzZRWFBtaVcyUGwyUG9icXFWRUhUMW91Zms3UDRJU3VHUTU3OU5uRnMyQUdsNWlyU3FqZ3h6Z2N5SzkzeFJIODdFaWlFRFF6ZzZFa2ZRVUNRQy1jc0ZjOFRYQzZKRjBGUTVTUlIxNUlIU3dVX3FITVpIMVFLbVdkb1BDcTJpbTNZM1g0eWpU0gHuAUFVX3lxTFB6UjE1WTZWT3dLbWtRcVR0TTVwTGN0bWRJa294Sm5GeTRxR3lBTnZwenpJcW1ua1E0cU9uSkd3WURnV0E1VWt1ckp0anIyNnBzd1NZZHVuRkF1UzlDTjZHZ2Nzb0lmR2ZfcV9LTE1DVXVXZ3BFRnZhQjVENnM2UUU4U3JVSEVkVlJXZ1RBa2hSd2xONmxGV0xPM28zbDFvN1QtMmNoYXhjb3YweWtXV25mZDFZclhrSHpYUjI0TUFfRDY3bmhlNHVTUVZsUFMtbU45cXVmR0hEMTY5MmxEWkFqS3hWYTc0Z2hGMWhDRGc?oc=5"" target=""_blank"">Rain Alert: पूर्वी व मध्य भारत में तूफान के साथ होगी भारी बारिश, पूरे राजस्थान व पश्चिम हिमालय से चार दिन पहले लौटा मानसून</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Monsoon,hi
Heavy rain alert in Rajasthan-MP for next 3 days: Hyderabad houses flooded with two feet of water; 454 deat... - Bhaskar English,https://news.google.com/rss/articles/CBMisgFBVV95cUxQWHVuQXhrYW5NckRDbE9PSXFvWUxNdDd1NFM3MGxJckwxeXJUby03WVJseUE5bTM0aHA3bDE2bU9HVXZDdHVjaUpObHNmdnVUcVN4WnJRaVJZUm9NejNZcFZFcVlRUThMZkJ2MXZTTklLM0hjZVhkQVJmYWNpS2lPTldkWjctLTRLeWhQVWgzckhkWmZWV3lpU1RJRlRRWkdqRlcxenJwSmpYaGhULWdiM1d30gG3AUFVX3lxTFBNTVNqM2dhSVdmQ2Z4a29wTS1PMENVMGNTYjd0WjUwZmkzclJGZlg2ellGbl9IXzF6Rk1JQjN4Skt1X2ZCSnN0UThsQXRHWThXSzN1bm1EcFBwaWhNOGhlZzZQUjRteGhnOHVCTm16MVZrOXgxU3ZqWWdPSU9JWGMzNEd5dTBGTENBc0xIQk1xMlZqNVN4UUJYWGh3V3FpRXpSdUhpaWJtemd6X2ZtenF1azRNNE43Yw?oc=5,2025-09-27 09:31:26,Bhaskar English,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQWHVuQXhrYW5NckRDbE9PSXFvWUxNdDd1NFM3MGxJckwxeXJUby03WVJseUE5bTM0aHA3bDE2bU9HVXZDdHVjaUpObHNmdnVUcVN4WnJRaVJZUm9NejNZcFZFcVlRUThMZkJ2MXZTTklLM0hjZVhkQVJmYWNpS2lPTldkWjctLTRLeWhQVWgzckhkWmZWV3lpU1RJRlRRWkdqRlcxenJwSmpYaGhULWdiM1d30gG3AUFVX3lxTFBNTVNqM2dhSVdmQ2Z4a29wTS1PMENVMGNTYjd0WjUwZmkzclJGZlg2ellGbl9IXzF6Rk1JQjN4Skt1X2ZCSnN0UThsQXRHWThXSzN1bm1EcFBwaWhNOGhlZzZQUjRteGhnOHVCTm16MVZrOXgxU3ZqWWdPSU9JWGMzNEd5dTBGTENBc0xIQk1xMlZqNVN4UUJYWGh3V3FpRXpSdUhpaWJtemd6X2ZtenF1azRNNE43Yw?oc=5"" target=""_blank"">Heavy rain alert in Rajasthan-MP for next 3 days: Hyderabad houses flooded with two feet of water; 454 deat...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bhaskar English</font>",Monsoon,en
"Rain alert issued for 5 districts in today: Monsoon departs from state, but showers likely over next 3 days... - Bhaskar English",https://news.google.com/rss/articles/CBMigAJBVV95cUxNZmMwekl5UURjR2tyRTY3ZGNQbU9lMURWTTdRcE9ZRWJkVVVJekt0MTc4UGMyc1dRTldTdVhnazh4UnVpdlVCd3BNc0VwZmNHU1dwWlJnX2wwendGY2IwWnN0T25ja043U09SUU5OTHJrYU13QzlQdm1lSDNYdDhUcDdLV2lBSm5ISVNPMTFhNnViZ2Z4TVBuQ0xwSkZEODlKVGpiMTZYT01RYm5ZcXpQTklVZnc4dUJiWU0wWmpmUi02T0NsQ1pSbjBzTE43UUpfTWVxOExMcGx3bXVZSk44cDBMQTFOa0JrbGRJWk5STGFDMFZWdUI1ZzQ5M1NtM1pB0gGGAkFVX3lxTE1wRFdDQS1DQU13MWVHRmtNNUdEZ0xkR0NRdzUyV3Z2eU8yTzQtWjdPLUg3eHVuSUZCY2M0SldrTlhJejhUNnJvSmxtZWxkblhyb0ljcTNILXJiakNoYU1oZ2h4eWV3QWZBVWg2bmlXT053Rm5UN1c0YXJ1LXJjVDR0QU96aFpKNWdnN200VVduQ3ZCZUhtaHB1UDlmNDYzNk5hV3k1a2xkdExnX2Vjd2MzR05fYnpDRmVRdmItTnZnOHFvNzFGVzY2bXcwU3NJdm5rRU9pTXhKRGxWemNabmhidjZyOTdaYWhnUlRubW51aU1oSUJuM1JPa3ZPTFV1bGp1T1ltcnc?oc=5,2025-09-27 07:44:48,Bhaskar English,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxNZmMwekl5UURjR2tyRTY3ZGNQbU9lMURWTTdRcE9ZRWJkVVVJekt0MTc4UGMyc1dRTldTdVhnazh4UnVpdlVCd3BNc0VwZmNHU1dwWlJnX2wwendGY2IwWnN0T25ja043U09SUU5OTHJrYU13QzlQdm1lSDNYdDhUcDdLV2lBSm5ISVNPMTFhNnViZ2Z4TVBuQ0xwSkZEODlKVGpiMTZYT01RYm5ZcXpQTklVZnc4dUJiWU0wWmpmUi02T0NsQ1pSbjBzTE43UUpfTWVxOExMcGx3bXVZSk44cDBMQTFOa0JrbGRJWk5STGFDMFZWdUI1ZzQ5M1NtM1pB0gGGAkFVX3lxTE1wRFdDQS1DQU13MWVHRmtNNUdEZ0xkR0NRdzUyV3Z2eU8yTzQtWjdPLUg3eHVuSUZCY2M0SldrTlhJejhUNnJvSmxtZWxkblhyb0ljcTNILXJiakNoYU1oZ2h4eWV3QWZBVWg2bmlXT053Rm5UN1c0YXJ1LXJjVDR0QU96aFpKNWdnN200VVduQ3ZCZUhtaHB1UDlmNDYzNk5hV3k1a2xkdExnX2Vjd2MzR05fYnpDRmVRdmItTnZnOHFvNzFGVzY2bXcwU3NJdm5rRU9pTXhKRGxWemNabmhidjZyOTdaYWhnUlRubW51aU1oSUJuM1JPa3ZPTFV1bGp1T1ltcnc?oc=5"" target=""_blank"">Rain alert issued for 5 districts in today: Monsoon departs from state, but showers likely over next 3 days...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bhaskar English</font>",Monsoon,en
"Varying Weather Across India: Monsoon Withdraws, Heavy Rains in Some States - dynamitenews.com",https://news.google.com/rss/articles/CBMisAFBVV95cUxPYXlhdnBsb3VPZ2RTbnFEX21hcjJucTNCSmo4YUo4enlycGpwdkR3VFFlV3J5NEdaaW52dm4yQTdURGNrZTRsYzhUOFRnZExRWTNLc1EtcE43YUpuT2lBVnVNODR0QzFJaWxMckRwS3NoUFRlMFc0ZV9XN3RCTHU3N2xfQzNRWXdSUDRSYTN0X0hPd3hpVjNhY1JFTXliX3ZldC1SMGRqdjVwWnE0bnk3Vw?oc=5,2025-09-27 09:44:27,dynamitenews.com,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPYXlhdnBsb3VPZ2RTbnFEX21hcjJucTNCSmo4YUo4enlycGpwdkR3VFFlV3J5NEdaaW52dm4yQTdURGNrZTRsYzhUOFRnZExRWTNLc1EtcE43YUpuT2lBVnVNODR0QzFJaWxMckRwS3NoUFRlMFc0ZV9XN3RCTHU3N2xfQzNRWXdSUDRSYTN0X0hPd3hpVjNhY1JFTXliX3ZldC1SMGRqdjVwWnE0bnk3Vw?oc=5"" target=""_blank"">Varying Weather Across India: Monsoon Withdraws, Heavy Rains in Some States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">dynamitenews.com</font>",Monsoon,en
Yellow Alert in Bihar: IMD Warns of Heavy Rain in 19 Districts - Patna Press,https://news.google.com/rss/articles/CBMijgFBVV95cUxNanB4UEVJbHVNRWV0bFVqX2NWQ2I5Y3ZhbTBMMTl5a1F4WU5oeUNUM05sbncwWHJENmRHS05Zdms1VjJWc1NvR18yVkFBRFEtb3pCRXFWVDlhVmhtMlRzY2FGWkdFWXpzcmhlcUpUa2N5dFpQb190X2o2YWxRaWNnUC1rd3ZFYlJiQWJkVTR3?oc=5,2025-09-27 07:18:42,Patna Press,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNanB4UEVJbHVNRWV0bFVqX2NWQ2I5Y3ZhbTBMMTl5a1F4WU5oeUNUM05sbncwWHJENmRHS05Zdms1VjJWc1NvR18yVkFBRFEtb3pCRXFWVDlhVmhtMlRzY2FGWkdFWXpzcmhlcUpUa2N5dFpQb190X2o2YWxRaWNnUC1rd3ZFYlJiQWJkVTR3?oc=5"" target=""_blank"">Yellow Alert in Bihar: IMD Warns of Heavy Rain in 19 Districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patna Press</font>",Monsoon,en
Mumbai braces for heavy rain; IMD issues orange alert - Tribune India,https://news.google.com/rss/articles/CBMingFBVV95cUxQangtdEpMdXkzS2kwMi1xczN3eEFJS2VHclk0Ul9RWHFhZld2VlZqYWRUa2pMa00xUEU5WXl1LVVvTjNnQUgtSVVBMW8yblM3N0xkaEFrcDhNVDFNNmFGZHBQOXZFNklaZDFsUDYyc0MtQU9YaTNWeEN6UHBEVC10NWV4UnR1VXVNcHNDRTZaYk9kUl9nbVRVYW95Y010QdIBngFBVV95cUxQangtdEpMdXkzS2kwMi1xczN3eEFJS2VHclk0Ul9RWHFhZld2VlZqYWRUa2pMa00xUEU5WXl1LVVvTjNnQUgtSVVBMW8yblM3N0xkaEFrcDhNVDFNNmFGZHBQOXZFNklaZDFsUDYyc0MtQU9YaTNWeEN6UHBEVC10NWV4UnR1VXVNcHNDRTZaYk9kUl9nbVRVYW95Y010QQ?oc=5,2025-09-27 10:43:36,Tribune India,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxQangtdEpMdXkzS2kwMi1xczN3eEFJS2VHclk0Ul9RWHFhZld2VlZqYWRUa2pMa00xUEU5WXl1LVVvTjNnQUgtSVVBMW8yblM3N0xkaEFrcDhNVDFNNmFGZHBQOXZFNklaZDFsUDYyc0MtQU9YaTNWeEN6UHBEVC10NWV4UnR1VXVNcHNDRTZaYk9kUl9nbVRVYW95Y010QdIBngFBVV95cUxQangtdEpMdXkzS2kwMi1xczN3eEFJS2VHclk0Ul9RWHFhZld2VlZqYWRUa2pMa00xUEU5WXl1LVVvTjNnQUgtSVVBMW8yblM3N0xkaEFrcDhNVDFNNmFGZHBQOXZFNklaZDFsUDYyc0MtQU9YaTNWeEN6UHBEVC10NWV4UnR1VXVNcHNDRTZaYk9kUl9nbVRVYW95Y010QQ?oc=5"" target=""_blank"">Mumbai braces for heavy rain; IMD issues orange alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>",Monsoon,en
Monsoon withdraws after inflicting heavy damage - Tribune India,https://news.google.com/rss/articles/CBMimgFBVV95cUxNMm5WQkhyTl9TOE9yQ0djWlljeklKc2hMMzMwSEVTbWZ2R1FZdjY1cGlXVmIwSm5lZHR5QXBXSUd2VzJRZmVMdVVlb1hjM2xJZjZHWEdmM1gtRWhoa0xsUENyTjN1emJMRWFqWGswWWdGQV9qUHBSWnBSN2h4Q3F2UURYcG9ZT1JpdnltX0ZzWHdrOVYtMDF3WHFB0gGaAUFVX3lxTE0yblZCSHJOX1M4T3JDR2NaWWN6SUpzaEwzMzBIRVNtZnZHUVl2NjVwaVdWYjBKbmVkdHlBcFdJR3ZXMlFmZUx1VWVvWGMzbElmNkdYR2YzWC1FaGhrTGxQQ3JOM3V6YkxFYWpYazBZZ0ZBX2pQcFJacFI3aHhDcXZRRFhwb1lPUml2eW1fRnNYd2s5Vi0wMXdYcUE?oc=5,2025-09-27 02:15:19,Tribune India,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNMm5WQkhyTl9TOE9yQ0djWlljeklKc2hMMzMwSEVTbWZ2R1FZdjY1cGlXVmIwSm5lZHR5QXBXSUd2VzJRZmVMdVVlb1hjM2xJZjZHWEdmM1gtRWhoa0xsUENyTjN1emJMRWFqWGswWWdGQV9qUHBSWnBSN2h4Q3F2UURYcG9ZT1JpdnltX0ZzWHdrOVYtMDF3WHFB0gGaAUFVX3lxTE0yblZCSHJOX1M4T3JDR2NaWWN6SUpzaEwzMzBIRVNtZnZHUVl2NjVwaVdWYjBKbmVkdHlBcFdJR3ZXMlFmZUx1VWVvWGMzbElmNkdYR2YzWC1FaGhrTGxQQ3JOM3V6YkxFYWpYazBZZ0ZBX2pQcFJacFI3aHhDcXZRRFhwb1lPUml2eW1fRnNYd2s5Vi0wMXdYcUE?oc=5"" target=""_blank"">Monsoon withdraws after inflicting heavy damage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>",Monsoon,en
"RS MP, DC hand over flood relief cheques to 4 families - Tribune India",https://news.google.com/rss/articles/CBMiakFVX3lxTFBaZm1SWXJjV21ybDd6U1JFalQ2dGgtRHJJd1VSY3JxQjZPRlN5MkdZUFJ3MW9RNGJrWGNWMVZzb0pXZnZRSXNwTC1fSDlwMXE1RWsybEowTllkX3h6QUJrbXVtVkRVMHZyY1HSAW5BVV95cUxOOFAxQm8wd2hTV1VGR2tSVWZJOVhnNXFpWnZ6WkY2V1FGTU5WclVpSHFROWJyZTRhS1QwMHo2c0R4eXZFOFR1TTFCcFFuSXNTTEFreEdoRVFBQUZMMmw3ZVNMVjVDZkpGV1FfZE40dw?oc=5,2025-09-27 02:00:52,Tribune India,"<a href=""https://news.google.com/rss/articles/CBMiakFVX3lxTFBaZm1SWXJjV21ybDd6U1JFalQ2dGgtRHJJd1VSY3JxQjZPRlN5MkdZUFJ3MW9RNGJrWGNWMVZzb0pXZnZRSXNwTC1fSDlwMXE1RWsybEowTllkX3h6QUJrbXVtVkRVMHZyY1HSAW5BVV95cUxOOFAxQm8wd2hTV1VGR2tSVWZJOVhnNXFpWnZ6WkY2V1FGTU5WclVpSHFROWJyZTRhS1QwMHo2c0R4eXZFOFR1TTFCcFFuSXNTTEFreEdoRVFBQUZMMmw3ZVNMVjVDZkpGV1FfZE40dw?oc=5"" target=""_blank"">RS MP, DC hand over flood relief cheques to 4 families</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>",Monsoon,en
"RMPI stages protest, seeks Rs 40,000 crore flood relief - Tribune India",https://news.google.com/rss/articles/CBMiogFBVV95cUxOMHRHbGJUS2hERnkzRVBfWC1pNWwwUnU4c2VwVkY2azhLRXdOTFctbVd5X01jb0RrVVoySGt3clExM0ljYVZMNU15eVFHVThyX09PUVpqR3NSRnkwdXNoV3dJTG9pMk9aYzBHV2JlT2lacVVuZHFHYXozeURDU3JvYmY4UDRBRFdrTzZCNHExd3JqRkVLcHFoQkpNOU9vMHJaSnfSAaIBQVVfeXFMTjB0R2xiVEtoREZ5M0VQX1gtaTVsMFJ1OHNlcFZGNms4S0V3TkxXLW1XeV9NY29Ea1VaMkhrd3JRMTNJY2FWTDVNeXlRR1U4cl9PT1FaakdzUkZ5MHVzaFd3SUxvaTJPWmMwR1diZU9pWnFVbmRxR2F6M3lEQ1Nyb2JmOFA0QURXa082QjRxMXdyakZFS3BxaEJKTTlPbzByWkp3?oc=5,2025-09-27 04:00:07,Tribune India,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOMHRHbGJUS2hERnkzRVBfWC1pNWwwUnU4c2VwVkY2azhLRXdOTFctbVd5X01jb0RrVVoySGt3clExM0ljYVZMNU15eVFHVThyX09PUVpqR3NSRnkwdXNoV3dJTG9pMk9aYzBHV2JlT2lacVVuZHFHYXozeURDU3JvYmY4UDRBRFdrTzZCNHExd3JqRkVLcHFoQkpNOU9vMHJaSnfSAaIBQVVfeXFMTjB0R2xiVEtoREZ5M0VQX1gtaTVsMFJ1OHNlcFZGNms4S0V3TkxXLW1XeV9NY29Ea1VaMkhrd3JRMTNJY2FWTDVNeXlRR1U4cl9PT1FaakdzUkZ5MHVzaFd3SUxvaTJPWmMwR1diZU9pWnFVbmRxR2F6M3lEQ1Nyb2JmOFA0QURXa082QjRxMXdyakZFS3BxaEJKTTlPbzByWkp3?oc=5"" target=""_blank"">RMPI stages protest, seeks Rs 40,000 crore flood relief</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>",Monsoon,en
"AAP protests in Panipat, seeks relief on Punjab pattern for flood victims - Tribune India",https://news.google.com/rss/articles/CBMiugFBVV95cUxPM0R5aXFjdDVhVmpiWF9KbzVzZzNUUEFveEUzOU1tVVB2OHkxbDk1MVRIcVdoRHZrdEVPLXlxam1tQ2xaT3RRLU04TTByOGFwbUlyaHNFY1ZsdlhTWjllWkJZb1RDemszeXBHWXpOY0lzSlpfVC1BZ055Z1F2WTVraS1nbm5KV3N0M0ptRUFqa0I3Sk1adjYtQzI1V3lFYndJbmJ4d0lsQkJrMmRJT0VqYmJpaVczWGxJUmfSAboBQVVfeXFMTzNEeWlxY3Q1YVZqYlhfSm81c2czVFBBb3hFMzlNbVVQdjh5MWw5NTFUSHFXaER2a3RFTy15cWptbUNsWk90US1NOE0wcjhhcG1JcmhzRWNWbHZYU1o5ZVpCWW9UQ3prM3lwR1l6TmNJc0paX1QtQWdOeWdRdlk1a2ktZ25uSldzdDNKbUVBamtCN0pNWnY2LUMyNVd5RWJ3SW5ieHdJbEJCazJkSU9FamJiaWlXM1hsSVJn?oc=5,2025-09-27 02:45:57,Tribune India,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPM0R5aXFjdDVhVmpiWF9KbzVzZzNUUEFveEUzOU1tVVB2OHkxbDk1MVRIcVdoRHZrdEVPLXlxam1tQ2xaT3RRLU04TTByOGFwbUlyaHNFY1ZsdlhTWjllWkJZb1RDemszeXBHWXpOY0lzSlpfVC1BZ055Z1F2WTVraS1nbm5KV3N0M0ptRUFqa0I3Sk1adjYtQzI1V3lFYndJbmJ4d0lsQkJrMmRJT0VqYmJpaVczWGxJUmfSAboBQVVfeXFMTzNEeWlxY3Q1YVZqYlhfSm81c2czVFBBb3hFMzlNbVVQdjh5MWw5NTFUSHFXaER2a3RFTy15cWptbUNsWk90US1NOE0wcjhhcG1JcmhzRWNWbHZYU1o5ZVpCWW9UQ3prM3lwR1l6TmNJc0paX1QtQWdOeWdRdlk1a2ktZ25uSldzdDNKbUVBamtCN0pNWnY2LUMyNVd5RWJ3SW5ieHdJbEJCazJkSU9FamJiaWlXM1hsSVJn?oc=5"" target=""_blank"">AAP protests in Panipat, seeks relief on Punjab pattern for flood victims</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>",Monsoon,en
