Title,Link,Date,Source,Summary,Term,LanguageQueried
Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31 - Times Bull,https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5,2025-10-30 06:31:38,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5"" target=""_blank"">Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Monsoon,en
"Cyclone Montha LIVE: IMD predicts heavy rainfall in West Bengal, Bihar, Sikkim till Oct 31 - Mint",https://news.google.com/rss/articles/CBMigAJBVV95cUxPSHEweVVzZ0lvMjBNYnBiSUJZVmo5ZEhRcTBhaU9XUWVrUmkweHl2Vk5RWlZ0WGFNVnZnS0VHM3VFQ0owNXVMV0d2ZVFMSWVtSS02WXIzajlpNDlpbWs4MjdaM3hFbkpGd3VKTDlpUzdoUjF1VkVxNy1seV9Ea1pwbVhOWjZxTFg5NnRoeDItaGVSNGRsNnhvdGp3aktVVThub0dhUVRtQm9ybXRRRE9TeEl4UWtRVkJzdlQ3aDE4UFhwN29mVDYwVVVzSVI4NUkzRzk1QXBFdGlXVDc4aEtRbzc5cVlySEhOOERFTUtlM0h3Znh6MUxHOTZfRm1CSXI30gGGAkFVX3lxTFA2MVpoWWo5UFR5UGhINXlrcTJJVm1jQTEwWmxUNEJfY2lOUkhINF9rSU16OUczaDNBN3dYUUxPcHpZTXhIa3hZanpSa2RYa1paTm1GT1doU0U4UjI5TVVLZ2g1S1pON3hybFVsS2NfRGRkN3QwUTV4VVhUM1RIV3ZSZEYxOEhKQjkzd3RBeDc0TWNuZDU1dUI4R1U2ZFVaQXhXdEJGNk9iMlg4czB0YXlJZDYwRE4yUWk4MTl2TzRJY3pIVVliYkVfb2tEcG9XY0hZUjFuek5sWHM3cjZ3S3ExM3FiWVhySHNlZ200Z29MZHFTNDVjZmhHRTFVU1IxX0Q0N2dldUE?oc=5,2025-10-30 08:54:51,Mint,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxPSHEweVVzZ0lvMjBNYnBiSUJZVmo5ZEhRcTBhaU9XUWVrUmkweHl2Vk5RWlZ0WGFNVnZnS0VHM3VFQ0owNXVMV0d2ZVFMSWVtSS02WXIzajlpNDlpbWs4MjdaM3hFbkpGd3VKTDlpUzdoUjF1VkVxNy1seV9Ea1pwbVhOWjZxTFg5NnRoeDItaGVSNGRsNnhvdGp3aktVVThub0dhUVRtQm9ybXRRRE9TeEl4UWtRVkJzdlQ3aDE4UFhwN29mVDYwVVVzSVI4NUkzRzk1QXBFdGlXVDc4aEtRbzc5cVlySEhOOERFTUtlM0h3Znh6MUxHOTZfRm1CSXI30gGGAkFVX3lxTFA2MVpoWWo5UFR5UGhINXlrcTJJVm1jQTEwWmxUNEJfY2lOUkhINF9rSU16OUczaDNBN3dYUUxPcHpZTXhIa3hZanpSa2RYa1paTm1GT1doU0U4UjI5TVVLZ2g1S1pON3hybFVsS2NfRGRkN3QwUTV4VVhUM1RIV3ZSZEYxOEhKQjkzd3RBeDc0TWNuZDU1dUI4R1U2ZFVaQXhXdEJGNk9iMlg4czB0YXlJZDYwRE4yUWk4MTl2TzRJY3pIVVliYkVfb2tEcG9XY0hZUjFuek5sWHM3cjZ3S3ExM3FiWVhySHNlZ200Z29MZHFTNDVjZmhHRTFVU1IxX0Q0N2dldUE?oc=5"" target=""_blank"">Cyclone Montha LIVE: IMD predicts heavy rainfall in West Bengal, Bihar, Sikkim till Oct 31</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,en
Weather news: IMD warns of continued heavy rainfall as Cyclone Montha shifts northeast - Mathrubhumi English,https://news.google.com/rss/articles/CBMirgFBVV95cUxPamFvSk5ZVlpKbmtudWhEelo0Z3AySEhhRXp1d1dGSTdCYW1FbTdUdTB0amtxU19za1BPRTJXaXNybEhLSTZYb2NmZHE5WHhWY2JDR1UxaUtXUXNiQ24wVmlHdkZueXRwbC1tVGV1SDlvNFRnVkcydEhfY3BWUGwxOFVHSmlMZVFTUjhWejdmTDlwNmE0Wjc0ejlaYmw5MVNCLW9kbUZ2ZnFUbXg2WmfSAa4BQVVfeXFMT2phb0pOWVZaSm5rbnVoRHpaNGdwMkhIYUV6dXdXRkk3QmFtRW03VHUwdGprcVNfc2tQT0UyV2lzcmxIS0k2WG9jZmRxOVh4VmNiQ0dVMWlLV1FzYkNuMFZpR3ZGbnl0cGwtbVRldUg5bzRUZ1ZHMnRIX2NwVlBsMThVR0ppTGVRU1I4Vno3Zkw5cDZhNFo3NHo5WmJsOTFTQi1vZG1GdmZxVG14Nlpn?oc=5,2025-10-30 07:22:46,Mathrubhumi English,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPamFvSk5ZVlpKbmtudWhEelo0Z3AySEhhRXp1d1dGSTdCYW1FbTdUdTB0amtxU19za1BPRTJXaXNybEhLSTZYb2NmZHE5WHhWY2JDR1UxaUtXUXNiQ24wVmlHdkZueXRwbC1tVGV1SDlvNFRnVkcydEhfY3BWUGwxOFVHSmlMZVFTUjhWejdmTDlwNmE0Wjc0ejlaYmw5MVNCLW9kbUZ2ZnFUbXg2WmfSAa4BQVVfeXFMT2phb0pOWVZaSm5rbnVoRHpaNGdwMkhIYUV6dXdXRkk3QmFtRW03VHUwdGprcVNfc2tQT0UyV2lzcmxIS0k2WG9jZmRxOVh4VmNiQ0dVMWlLV1FzYkNuMFZpR3ZGbnl0cGwtbVRldUg5bzRUZ1ZHMnRIX2NwVlBsMThVR0ppTGVRU1I4Vno3Zkw5cDZhNFo3NHo5WmJsOTFTQi1vZG1GdmZxVG14Nlpn?oc=5"" target=""_blank"">Weather news: IMD warns of continued heavy rainfall as Cyclone Montha shifts northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mathrubhumi English</font>",Monsoon,en
"Monsoon Shifts North: Heavy Rain Warning In 10 States, Cyclone Montha Hits Bihar And East | Check IMD Forecast - Zee News",https://news.google.com/rss/articles/CBMipwFBVV95cUxPQXVUUHBSNzNnS09Ha0QySUpnanpzMkl1Wi1IbHpWSUliTl9QTmVSZDk3NVFmalRIdWJ2eXExME1oVGE0ZmFyeUhvbUp3TUVrc1JOTzF5bFF0SjktQmt5dFpkbjNjLVAwMDF0NWZWMDNjZXZzQ0tvTXY3ZW9IUmduNW1hdmlMcTJWRzlWTjhac0Y3TXNkMHd3TFhqMVR1LWNfZkRlNHNya9IBrAFBVV95cUxOTGZiQnpHalBmYk5WdGZzcnpJXzhxbDBNOVkwekFKRHVBcGJWWkQ1aTJ4SW9KOUxRbXBXS25aTWRPZlJub0FDVDE0Q0V0S3NiNWoyNmIxT0swT25IREdPNzExVkl1c1JGUUctbzRRaVoxQnRLWDJHNmhIdGRIWEtLSkxmNGY3R3RsOEY0eDNOOWozaUF3R1FiLVBzR3BkakF0RTJkaUszR1U1bElV?oc=5,2025-10-30 08:15:22,Zee News,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxPQXVUUHBSNzNnS09Ha0QySUpnanpzMkl1Wi1IbHpWSUliTl9QTmVSZDk3NVFmalRIdWJ2eXExME1oVGE0ZmFyeUhvbUp3TUVrc1JOTzF5bFF0SjktQmt5dFpkbjNjLVAwMDF0NWZWMDNjZXZzQ0tvTXY3ZW9IUmduNW1hdmlMcTJWRzlWTjhac0Y3TXNkMHd3TFhqMVR1LWNfZkRlNHNya9IBrAFBVV95cUxOTGZiQnpHalBmYk5WdGZzcnpJXzhxbDBNOVkwekFKRHVBcGJWWkQ1aTJ4SW9KOUxRbXBXS25aTWRPZlJub0FDVDE0Q0V0S3NiNWoyNmIxT0swT25IREdPNzExVkl1c1JGUUctbzRRaVoxQnRLWDJHNmhIdGRIWEtLSkxmNGY3R3RsOEY0eDNOOWozaUF3R1FiLVBzR3BkakF0RTJkaUszR1U1bElV?oc=5"" target=""_blank"">Monsoon Shifts North: Heavy Rain Warning In 10 States, Cyclone Montha Hits Bihar And East | Check IMD Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Monsoon,en
"Weather today: IMD forecast heavy rain, strong winds for October 30, 31 amidst weakening Cyclone Montha - theweek.in",https://news.google.com/rss/articles/CBMi5AFBVV95cUxPV1BiVlJENWF3cnV5Sm9GaV9yNktMbEY4eGUtYWYxZWlHTzViOGg5RUNlMkRxSFBnaVJoWUVrcVZTZHRxOFVUbXRxYWktZ3I1SW9wX0hrSC1TWWtRNFphejZFdXRTdlpzcGNySmEyZjBuNXpOWkNjd2pxR29LU0VLYnZUUUQ0dHAyWUo4bzdLUWdjZkVId3ZaWC1taFNTLVhCcXFnSVFxNWlRUTQ1SWlyOE54MkZvSXpwQkl2UDl0LTRsNWV4WHRMLTlvTGFXWXFZVnhfTEtCZ3pLNlh2VnBoWktZbVLSAeoBQVVfeXFMUDlKSW9jaGROOXFGSjNUYXQxcm8tS0FONjlKaVRTVzVFNnBfUHFnYnpuZUpnNmdBNjRwTk93QmxpS1FQMnl3YTZ5bGhFbjBXZFVSYldHOVo0eVV0ZjVsc0JCc1Bqa2lwSmpqZ1BSZElUdkVKNHZ2MXo1OERwVlRyUG95cG1CbFdVLU5zMWtLQ2RsQk5BeDNlQ1NJV1FmNVd0WGhrbG9BSG53WmdKZ0IyX2tUbFpxdTJPMVZOU0tCeFFUVTB1ZnpveURIZmcyaUJLVlFCcjQ4YnVycnZ6MEJZOUNnc2hueXJMSzNn?oc=5,2025-10-30 09:36:00,theweek.in,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPV1BiVlJENWF3cnV5Sm9GaV9yNktMbEY4eGUtYWYxZWlHTzViOGg5RUNlMkRxSFBnaVJoWUVrcVZTZHRxOFVUbXRxYWktZ3I1SW9wX0hrSC1TWWtRNFphejZFdXRTdlpzcGNySmEyZjBuNXpOWkNjd2pxR29LU0VLYnZUUUQ0dHAyWUo4bzdLUWdjZkVId3ZaWC1taFNTLVhCcXFnSVFxNWlRUTQ1SWlyOE54MkZvSXpwQkl2UDl0LTRsNWV4WHRMLTlvTGFXWXFZVnhfTEtCZ3pLNlh2VnBoWktZbVLSAeoBQVVfeXFMUDlKSW9jaGROOXFGSjNUYXQxcm8tS0FONjlKaVRTVzVFNnBfUHFnYnpuZUpnNmdBNjRwTk93QmxpS1FQMnl3YTZ5bGhFbjBXZFVSYldHOVo0eVV0ZjVsc0JCc1Bqa2lwSmpqZ1BSZElUdkVKNHZ2MXo1OERwVlRyUG95cG1CbFdVLU5zMWtLQ2RsQk5BeDNlQ1NJV1FmNVd0WGhrbG9BSG53WmdKZ0IyX2tUbFpxdTJPMVZOU0tCeFFUVTB1ZnpveURIZmcyaUJLVlFCcjQ4YnVycnZ6MEJZOUNnc2hueXJMSzNn?oc=5"" target=""_blank"">Weather today: IMD forecast heavy rain, strong winds for October 30, 31 amidst weakening Cyclone Montha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">theweek.in</font>",Monsoon,en
"Weather today: IMD issues red alert for Telangana, heavy rainfall warnings for West Bengal, Bihar, and Andhra Pradesh - Mint",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPb2diT3l2ekRuTHJOck5lc3h2UXdSdTNSWkxaYzVETEQ0LUNkYXVQQkZBNkhiYjJlR0pYZTBRQWhfMDBCTkJwY2Z0dzRwV1hYeTIzLVRWQktHeGVuUVdQLUd0WjN6S1ZtZ19kWV8wLTdGTXZ0LXhsZ2pzY1RVV2x6OVBnXzB6QXJLLTN6cmVHVTZpdWJtcDB3dEV1clR4UlQtODBrUTJpbGtLMU9GQ2Vkb2ZWN1VOQXFweE5TbGcxN0lrTG9OZnhhNWI5bU5WTV9MOWdGNW9jdG5LT3V5THBjUkZlcVVkbVVJSk12QmlxSXdxOFFMcUHSAfsBQVVfeXFMT2xVZEtGNnBZbUZVNGVWNjlJRDIzY1lqaEdVZ216RGRYRHl6YmQ0bHA3QVhJOEwxcDVaeU55YUlQWnhTNVUwbU9QZEZKVTByV29iVzNpWG1OSHlnN21QcndwbDZjSHR4aEVFcG5VLU1YdWNOcFRBVHE3QzEyMXFZOUhxQUY4bnRWVk9xQkNBNE0ydmJONlltSTZzWlRqNjRMS3QyYzU2TEFpS3BTaXVBVVo1NlRlSWJzZGd1QXRTTHNLN3U1UDZJdTl0YWdJNlJ5R09CSkN2NTlHY19uVVU2UVl6S21lM2RPcF9uZ0ZfaGxpTEZSbmhJaUN1cUU?oc=5,2025-10-30 07:11:23,Mint,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPb2diT3l2ekRuTHJOck5lc3h2UXdSdTNSWkxaYzVETEQ0LUNkYXVQQkZBNkhiYjJlR0pYZTBRQWhfMDBCTkJwY2Z0dzRwV1hYeTIzLVRWQktHeGVuUVdQLUd0WjN6S1ZtZ19kWV8wLTdGTXZ0LXhsZ2pzY1RVV2x6OVBnXzB6QXJLLTN6cmVHVTZpdWJtcDB3dEV1clR4UlQtODBrUTJpbGtLMU9GQ2Vkb2ZWN1VOQXFweE5TbGcxN0lrTG9OZnhhNWI5bU5WTV9MOWdGNW9jdG5LT3V5THBjUkZlcVVkbVVJSk12QmlxSXdxOFFMcUHSAfsBQVVfeXFMT2xVZEtGNnBZbUZVNGVWNjlJRDIzY1lqaEdVZ216RGRYRHl6YmQ0bHA3QVhJOEwxcDVaeU55YUlQWnhTNVUwbU9QZEZKVTByV29iVzNpWG1OSHlnN21QcndwbDZjSHR4aEVFcG5VLU1YdWNOcFRBVHE3QzEyMXFZOUhxQUY4bnRWVk9xQkNBNE0ydmJONlltSTZzWlRqNjRMS3QyYzU2TEFpS3BTaXVBVVo1NlRlSWJzZGd1QXRTTHNLN3U1UDZJdTl0YWdJNlJ5R09CSkN2NTlHY19uVVU2UVl6S21lM2RPcF9uZ0ZfaGxpTEZSbmhJaUN1cUU?oc=5"" target=""_blank"">Weather today: IMD issues red alert for Telangana, heavy rainfall warnings for West Bengal, Bihar, and Andhra Pradesh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,en
"Weather today: Cyclone Montha weakens, but IMD issues heavy rain alert for Telangana, Gujarat, Bengal, Bih - The Economic Times",https://news.google.com/rss/articles/CBMikwJBVV95cUxPRjFZYmxLS1J3QnEyOXF1bXdFTnFURkJabzR4dlBLZ3FXV0d2RkJuWmFicTFNV1NGNDkxbGlfSlJBbWdmaXZORFNnRU94dFQ4WlRxd0J2X01EZ3pHRlR6anJERGozaFdXSExtQmFpai0wLUFyYy1xeHg4UVZXMF9RQV90SW9zaUVFWVZmdlJIZ19HeVhwZkFOQTdoODNMQVBtRVBqOHlWVkM2bGQ1Sk5Pd1YwQXhVd2pZbEpPR0c2STJPOGZ6eTFLNDdPVUFHbG5HakJjN0lNVWJtQ3V5YUxOUThlSV9adUI2UlRNR1E3TEVibEdwSEpjeno4T2h1enBmWUtJbnYtX05zaXdqR2hoNzBkONIBkwJBVV95cUxPRjFZYmxLS1J3QnEyOXF1bXdFTnFURkJabzR4dlBLZ3FXV0d2RkJuWmFicTFNV1NGNDkxbGlfSlJBbWdmaXZORFNnRU94dFQ4WlRxd0J2X01EZ3pHRlR6anJERGozaFdXSExtQmFpai0wLUFyYy1xeHg4UVZXMF9RQV90SW9zaUVFWVZmdlJIZ19HeVhwZkFOQTdoODNMQVBtRVBqOHlWVkM2bGQ1Sk5Pd1YwQXhVd2pZbEpPR0c2STJPOGZ6eTFLNDdPVUFHbG5HakJjN0lNVWJtQ3V5YUxOUThlSV9adUI2UlRNR1E3TEVibEdwSEpjeno4T2h1enBmWUtJbnYtX05zaXdqR2hoNzBkOA?oc=5,2025-10-30 07:42:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxPRjFZYmxLS1J3QnEyOXF1bXdFTnFURkJabzR4dlBLZ3FXV0d2RkJuWmFicTFNV1NGNDkxbGlfSlJBbWdmaXZORFNnRU94dFQ4WlRxd0J2X01EZ3pHRlR6anJERGozaFdXSExtQmFpai0wLUFyYy1xeHg4UVZXMF9RQV90SW9zaUVFWVZmdlJIZ19HeVhwZkFOQTdoODNMQVBtRVBqOHlWVkM2bGQ1Sk5Pd1YwQXhVd2pZbEpPR0c2STJPOGZ6eTFLNDdPVUFHbG5HakJjN0lNVWJtQ3V5YUxOUThlSV9adUI2UlRNR1E3TEVibEdwSEpjeno4T2h1enBmWUtJbnYtX05zaXdqR2hoNzBkONIBkwJBVV95cUxPRjFZYmxLS1J3QnEyOXF1bXdFTnFURkJabzR4dlBLZ3FXV0d2RkJuWmFicTFNV1NGNDkxbGlfSlJBbWdmaXZORFNnRU94dFQ4WlRxd0J2X01EZ3pHRlR6anJERGozaFdXSExtQmFpai0wLUFyYy1xeHg4UVZXMF9RQV90SW9zaUVFWVZmdlJIZ19HeVhwZkFOQTdoODNMQVBtRVBqOHlWVkM2bGQ1Sk5Pd1YwQXhVd2pZbEpPR0c2STJPOGZ6eTFLNDdPVUFHbG5HakJjN0lNVWJtQ3V5YUxOUThlSV9adUI2UlRNR1E3TEVibEdwSEpjeno4T2h1enBmWUtJbnYtX05zaXdqR2hoNzBkOA?oc=5"" target=""_blank"">Weather today: Cyclone Montha weakens, but IMD issues heavy rain alert for Telangana, Gujarat, Bengal, Bih</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
"Weather today: Cyclone Montha weakens, but IMD issues heavy rain alert for Telangana, Gujarat, Bengal, Bih - The Economic Times",https://news.google.com/rss/articles/CBMijgJBVV95cUxQNDluaG5rYThwdWVxZjB5MDNEbG8zMXVTMjVEZDdmUzh3T3NyWTI3ckprc09lUzVtOWs3OTBBT0ZZcUs2QzA2RVVoUWdDMDh3N3hRSF9nU1dZRTljUDBrZnhhR0pMMnhOMXp2cjh2VHBVWnIyckI1dDQ5cDhLWXFFaVRlc09HUmZQeGptMHZ5RVltVzlMUUFaSWlucUNtN0N1djNVTnM0Tmh3bnVLeUdveGNxdlhkZGs4b1I0VTEybkJ6UTJCcWxjcGNYS0FQcXB3UnlFZjA3Q3pSNzE0YmlMWGhObG1iZ1NkTHZxZTNBdDk3VTNmSUNlQ0dNRGtSTHpNclgxWjFackJxdkxjUXfSAZMCQVVfeXFMT0YxWWJsS0tSd0JxMjlxdW13RU5xVEZCWm80eHZQS2dxV1dHdkZCblphYnExTVdTRjQ5MWxpX0pSQW1nZml2TkRTZ0VPeHRUOFpUcXdCdl9NRGd6R0ZUempyRERqM2hXV0hMbUJhaWotMC1BcmMtcXh4OFFWVzBfUUFfdElvc2lFRVlWZnZSSGdfR3lYcGZBTkE3aDgzTEFQbUVQajh5VlZDNmxkNUpOT3dWMEF4VXdqWWxKT0dHNkkyTzhmenkxSzQ3T1VBR2xuR2pCYzdJTVVibUN1eWFMTlE4ZUlfWnVCNlJUTUdRN0xFYmxHcEhKY3p6OE9odXpwZllLSW52LV9Oc2l3akdoaDcwZDg?oc=5,2025-10-30 07:42:20,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxQNDluaG5rYThwdWVxZjB5MDNEbG8zMXVTMjVEZDdmUzh3T3NyWTI3ckprc09lUzVtOWs3OTBBT0ZZcUs2QzA2RVVoUWdDMDh3N3hRSF9nU1dZRTljUDBrZnhhR0pMMnhOMXp2cjh2VHBVWnIyckI1dDQ5cDhLWXFFaVRlc09HUmZQeGptMHZ5RVltVzlMUUFaSWlucUNtN0N1djNVTnM0Tmh3bnVLeUdveGNxdlhkZGs4b1I0VTEybkJ6UTJCcWxjcGNYS0FQcXB3UnlFZjA3Q3pSNzE0YmlMWGhObG1iZ1NkTHZxZTNBdDk3VTNmSUNlQ0dNRGtSTHpNclgxWjFackJxdkxjUXfSAZMCQVVfeXFMT0YxWWJsS0tSd0JxMjlxdW13RU5xVEZCWm80eHZQS2dxV1dHdkZCblphYnExTVdTRjQ5MWxpX0pSQW1nZml2TkRTZ0VPeHRUOFpUcXdCdl9NRGd6R0ZUempyRERqM2hXV0hMbUJhaWotMC1BcmMtcXh4OFFWVzBfUUFfdElvc2lFRVlWZnZSSGdfR3lYcGZBTkE3aDgzTEFQbUVQajh5VlZDNmxkNUpOT3dWMEF4VXdqWWxKT0dHNkkyTzhmenkxSzQ3T1VBR2xuR2pCYzdJTVVibUN1eWFMTlE4ZUlfWnVCNlJUTUdRN0xFYmxHcEhKY3p6OE9odXpwZllLSW52LV9Oc2l3akdoaDcwZDg?oc=5"" target=""_blank"">Weather today: Cyclone Montha weakens, but IMD issues heavy rain alert for Telangana, Gujarat, Bengal, Bih</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
"Assam: Cabinet approves Rs 2,205-cr ADB-funded flood control project - The Sentinel - of this Land, for its People",https://news.google.com/rss/articles/CBMiuwFBVV95cUxQVkx6UUtrTWJpeHRqalF5SVlaWnJRbDU3ekdhT2lJeUJTYXl3dW9rNG1QMTdnNkE2cVFoN1JEZ0N4VW1UekRPT2g1SWhpZjFrcjlUSXY0MGZBMHVjMU5PWndYb1RKVW10VzVyV01ULUkzQ25fQ1JTMjl4YnZ6bW5pYkhBU3pndkV5RDZYb3k4cFpFQkVkb0hCZTRGOXhZU0NFd1M5a0NoaHp2akRwX0p2bEFtREhVMXBHQ3Br0gG7AUFVX3lxTFBWTHpRS2tNYml4dGpqUXlJWVpaclFsNTd6R2FPaUl5QlNheXd1b2s0bVAxN2c2QTZxUWg3UkRnQ3hVbVR6RE9PaDVJaGlmMWtyOVRJdjQwZkEwdWMxTk9ad1hvVEpVbXRXNXJXTVQtSTNDbl9DUlMyOXhidnptbmliSEFTemd2RXlENlhveThwWkVCRWRvSEJlNEY5eFlTQ0V3UzlrQ2hoenZqRHBfSnZsQW1ESFUxcEdDcGs?oc=5,2025-10-30 08:03:10,"The Sentinel - of this Land, for its People","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQVkx6UUtrTWJpeHRqalF5SVlaWnJRbDU3ekdhT2lJeUJTYXl3dW9rNG1QMTdnNkE2cVFoN1JEZ0N4VW1UekRPT2g1SWhpZjFrcjlUSXY0MGZBMHVjMU5PWndYb1RKVW10VzVyV01ULUkzQ25fQ1JTMjl4YnZ6bW5pYkhBU3pndkV5RDZYb3k4cFpFQkVkb0hCZTRGOXhZU0NFd1M5a0NoaHp2akRwX0p2bEFtREhVMXBHQ3Br0gG7AUFVX3lxTFBWTHpRS2tNYml4dGpqUXlJWVpaclFsNTd6R2FPaUl5QlNheXd1b2s0bVAxN2c2QTZxUWg3UkRnQ3hVbVR6RE9PaDVJaGlmMWtyOVRJdjQwZkEwdWMxTk9ad1hvVEpVbXRXNXJXTVQtSTNDbl9DUlMyOXhidnptbmliSEFTemd2RXlENlhveThwWkVCRWRvSEJlNEY5eFlTQ0V3UzlrQ2hoenZqRHBfSnZsQW1ESFUxcEdDcGs?oc=5"" target=""_blank"">Assam: Cabinet approves Rs 2,205-cr ADB-funded flood control project</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sentinel - of this Land, for its People</font>",Monsoon,en
"इन राज्यों में तेज हवा, गरज के साथ भारी बारिश को लेकर मौसम विभाग का अलर्ट, चक्रवाती तूफान मोंथा का असर - ETV Bharat",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQQXg2V0dqZGt3VFQ5aUdTUWRPVG1rUmVjcjdnNlBhQnNCRkU0Ui1lcGUxd2FWalF2UUVLdFlfMTRKclNBOC1lUEFSLWhXRWI2aF8zZnFWUGJ5ejBFY3VzX1VrMmYzNXBRSnA1OHRSWjM5OTlvU1VBWlVsT29Hck8xTDE5MEVPUEhlTnVHRk5YeDFpcXV4MlluS3RkTnZfaHQ0ODZiWGRQM21HZHB3cXpBM0g2c2xTV1l2RGRRWkJsNDFPT3lsVjNOc2o5Mzl2MEtjaGFhX2xUWGVzSFhWTE5fcDhCQi1ISWczdFJFUjFuamPSAfABQVVfeXFMUEF4NldHamRrd1RUOWlHU1FkT1Rta1JlY3I3ZzZQYUJzQkZFNFItZXBlMXdhVmpRdlFFS3RZXzE0SnJTQTgtZVBBUi1oV0ViNmhfM2ZxVlBieXowRWN1c19VazJmMzVwUUpwNTh0UlozOTk5b1NVQVpVbE9vR3JPMUwxOTBFT1BIZU51R0ZOWHgxaXF1eDJZbkt0ZE52X2h0NDg2YlhkUDNtR2Rwd3F6QTNINnNsU1dZdkRkUVpCbDQxT095bFYzTnNqOTM5djBLY2hhYV9sVFhlc0hYVkxOX3A4QkItSElnM3RSRVIxbmpj?oc=5,2025-10-30 08:11:42,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxQQXg2V0dqZGt3VFQ5aUdTUWRPVG1rUmVjcjdnNlBhQnNCRkU0Ui1lcGUxd2FWalF2UUVLdFlfMTRKclNBOC1lUEFSLWhXRWI2aF8zZnFWUGJ5ejBFY3VzX1VrMmYzNXBRSnA1OHRSWjM5OTlvU1VBWlVsT29Hck8xTDE5MEVPUEhlTnVHRk5YeDFpcXV4MlluS3RkTnZfaHQ0ODZiWGRQM21HZHB3cXpBM0g2c2xTV1l2RGRRWkJsNDFPT3lsVjNOc2o5Mzl2MEtjaGFhX2xUWGVzSFhWTE5fcDhCQi1ISWczdFJFUjFuamPSAfABQVVfeXFMUEF4NldHamRrd1RUOWlHU1FkT1Rta1JlY3I3ZzZQYUJzQkZFNFItZXBlMXdhVmpRdlFFS3RZXzE0SnJTQTgtZVBBUi1oV0ViNmhfM2ZxVlBieXowRWN1c19VazJmMzVwUUpwNTh0UlozOTk5b1NVQVpVbE9vR3JPMUwxOTBFT1BIZU51R0ZOWHgxaXF1eDJZbkt0ZE52X2h0NDg2YlhkUDNtR2Rwd3F6QTNINnNsU1dZdkRkUVpCbDQxT095bFYzTnNqOTM5djBLY2hhYV9sVFhlc0hYVkxOX3A4QkItSElnM3RSRVIxbmpj?oc=5"" target=""_blank"">इन राज्यों में तेज हवा, गरज के साथ भारी बारिश को लेकर मौसम विभाग का अलर्ट, चक्रवाती तूफान मोंथा का असर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Monsoon,hi
