Title,Link,Date,Source,Summary,Term,LanguageQueried
TN Weather News: மேற்கு தொடர்ச்சி மலை மாவட்டங்களுக்கு கனமழை வார்னிங்? சென்னை? - தமிழக வானிலை - ABP Nadu,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNSWRhV2p0QnpZLVVuUEN4SDJqRWxGVTJIY19uc2ZLcnllcTR3c0FyUGtBUy1kMVZRYlVHSlBYX050WDZjUjJTMC1FeVNBbk0xc0hHaG1kUGV0emhGNERCd3pKRmtscVJfUVVYTUFUdGROYnVza1VYNlhJLVQ0N0xGNnliT3R0OUpCaFNYM0J1OTFRWUZUYXd6SWFmTmlYU21pWUI4a1JrLVZLWnp0b2hjZzZmUU84UVFTckc3dF9TTmR2bVRnaHVUdmFxay1uSF85dDBoMXdQdHpyLW1OM0pnUm9WUFQ4ckVDLVl5X1ZEQmJhcVVoYnlyX9IB_gFBVV95cUxOOTdBYm9FbF9mMG1VT3Z0bWh4LVFGYUQzX1ZTWTZFZHRmbEttQjRDZi1hUWgyUDROSm9NaDJvVFhJSFQyMm1UbHp5RGZHT3RZekJ3c3pDMkdhTFVDMFBwd0dsNlpZOGZvWTZJX2k2OFN3bjRhREY1RDllRXkxdjJfYkdpZVRGU05kVnFwel82MDBneC01NmdWRDlKMjY2dmlacEgtelY1YmVMNUgxV3N1TVo1ZUw0bFRBdkxiM1RDNnJ1V0FZenFMbVVFajE1REpsUnJ2NjBjcXphSEVveTRCeE15aWtGdElKQTlzTG1WQWNHbS0tanZFYmlnTXBYZw?oc=5,2026-07-27 06:23:52,ABP Nadu,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNSWRhV2p0QnpZLVVuUEN4SDJqRWxGVTJIY19uc2ZLcnllcTR3c0FyUGtBUy1kMVZRYlVHSlBYX050WDZjUjJTMC1FeVNBbk0xc0hHaG1kUGV0emhGNERCd3pKRmtscVJfUVVYTUFUdGROYnVza1VYNlhJLVQ0N0xGNnliT3R0OUpCaFNYM0J1OTFRWUZUYXd6SWFmTmlYU21pWUI4a1JrLVZLWnp0b2hjZzZmUU84UVFTckc3dF9TTmR2bVRnaHVUdmFxay1uSF85dDBoMXdQdHpyLW1OM0pnUm9WUFQ4ckVDLVl5X1ZEQmJhcVVoYnlyX9IB_gFBVV95cUxOOTdBYm9FbF9mMG1VT3Z0bWh4LVFGYUQzX1ZTWTZFZHRmbEttQjRDZi1hUWgyUDROSm9NaDJvVFhJSFQyMm1UbHp5RGZHT3RZekJ3c3pDMkdhTFVDMFBwd0dsNlpZOGZvWTZJX2k2OFN3bjRhREY1RDllRXkxdjJfYkdpZVRGU05kVnFwel82MDBneC01NmdWRDlKMjY2dmlacEgtelY1YmVMNUgxV3N1TVo1ZUw0bFRBdkxiM1RDNnJ1V0FZenFMbVVFajE1REpsUnJ2NjBjcXphSEVveTRCeE15aWtGdElKQTlzTG1WQWNHbS0tanZFYmlnTXBYZw?oc=5"" target=""_blank"">TN Weather News: மேற்கு தொடர்ச்சி மலை மாவட்டங்களுக்கு கனமழை வார்னிங்? சென்னை? - தமிழக வானிலை</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Nadu</font>",Monsoon,ta
Weak monsoon pushes Kerala towards water crisis; rainfall deficit rises to 37% - Kerala Kaumudi,https://news.google.com/rss/articles/CBMioAFBVV95cUxPcTZYMktGOGNrTGJRODBiQkVxX3FIYkJST1QxU09USUVLRzFmT1ppT2pVVUVmOVpsRTVZRWMwMGR2c0Q1NUphbk94N2FrbXRBbVFaVDZQR0gyTHdocUpOdzlWQ290VExIemxmcEQzQUE3b1JHOWttT3dtaWR4U3k4dndDbkRxR3ZfQTROSzZ6WGRJdVZqd2pjN3p2SWpWYUpS?oc=5,2026-07-27 00:29:35,Kerala Kaumudi,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPcTZYMktGOGNrTGJRODBiQkVxX3FIYkJST1QxU09USUVLRzFmT1ppT2pVVUVmOVpsRTVZRWMwMGR2c0Q1NUphbk94N2FrbXRBbVFaVDZQR0gyTHdocUpOdzlWQ290VExIemxmcEQzQUE3b1JHOWttT3dtaWR4U3k4dndDbkRxR3ZfQTROSzZ6WGRJdVZqd2pjN3p2SWpWYUpS?oc=5"" target=""_blank"">Weak monsoon pushes Kerala towards water crisis; rainfall deficit rises to 37%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kerala Kaumudi</font>",Monsoon,en
TN's Tambaram Corporation plans stormwater drain network to tackle chronic flooding - thehawk.in,https://news.google.com/rss/articles/CBMitwFBVV95cUxPd1JkUlJNcmdPdUIzZHZRWC1OZUM1eHhXSVRmX1RTOU0xS3lPTXNoZDZJY2V1WkhHTnVVcUhsVjE0emRMQV9BT2w0OXJLUE0zNXl5VjFXWVRUUl94OXNHMzl1ZjhhMWs0ZGdxNC1kOXJIT0dvUGNwdjZnTy02Rndzd1pNOU14RDdPWmoweDNwOTdjYWhzOWpscllNVW93ZjRFNXdNTnJZMm9ESGJlUWl1bjRpTE5LdHM?oc=5,2026-07-27 09:09:37,thehawk.in,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPd1JkUlJNcmdPdUIzZHZRWC1OZUM1eHhXSVRmX1RTOU0xS3lPTXNoZDZJY2V1WkhHTnVVcUhsVjE0emRMQV9BT2w0OXJLUE0zNXl5VjFXWVRUUl94OXNHMzl1ZjhhMWs0ZGdxNC1kOXJIT0dvUGNwdjZnTy02Rndzd1pNOU14RDdPWmoweDNwOTdjYWhzOWpscllNVW93ZjRFNXdNTnJZMm9ESGJlUWl1bjRpTE5LdHM?oc=5"" target=""_blank"">TN's Tambaram Corporation plans stormwater drain network to tackle chronic flooding</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thehawk.in</font>",Monsoon,en
"Madhya Pradesh July 27, 2026, Weather Update: Strong Monsoon System Turns Active In State, Heavy Rain Alert - Free Press Journal",https://news.google.com/rss/articles/CBMijgJBVV95cUxQcHdLdUwwYk9ZMk1mODRja0VJdU9aQi02aWJpUWRQM1FsM3plTkcwWkY0b3c3ZGxzMGZYemtZc0o3X0dpbC1rSk9uMGNsdHgxQXlMRE1MY1RfUk8zMTVGWVlUVV9iRUNTRlFuSVFpN3Y0NW12eXFWODR1aHplYjJlVzBBcEFxRWFHQXBfMm5Rbk9rZURiTDh2SEphb0RLcGVwSzYxRmJzb082MER4UDZnOF9aVjhVRGNyRl8yZUlRX1Q0LVE4NjBXejdLcEVlaGRNelpnQmUxVk1tRXBfNDlpeEptb0ZQQXVGaF80cmJvd0FMVXRybWlsZklOTGxlSmh6d2JSSUJMM2VwRVdiTnfSAZMCQVVfeXFMT2kwQS1fSWI2c2N0emhaTEM4SUVIcnY1VDQ1QnZvSlBlVHJsSm1yRXB3OHc1WWdoU1paVGxuYmY3VTdXeUYwbmkzRXo3MUxkZkpqeThNMnJEQmE2M2QyTFVXU29JeUd0MUp1SW1sY1BPakRNbWlzbGJ5OWxVMTRGMkRFX3kwdEtYOFJIdm1xbWNxZW40bTBFVWdMc1U4MTN0WXZIWjhWWkV5UlVnNHBtQkxhSjB5OVNLMTQtOWxHZ3d1UG43ck5iZkFodHZzTW9BcGFIeTVTUTdwcUpKeHdxbWNxUGpTaExaLXJMSXFpUFFYQkhMTGIxNGpEOHZtY1Q4ejZFelBKWE16cHN6OGdMNlZyQWs?oc=5,2026-07-27 09:39:39,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxQcHdLdUwwYk9ZMk1mODRja0VJdU9aQi02aWJpUWRQM1FsM3plTkcwWkY0b3c3ZGxzMGZYemtZc0o3X0dpbC1rSk9uMGNsdHgxQXlMRE1MY1RfUk8zMTVGWVlUVV9iRUNTRlFuSVFpN3Y0NW12eXFWODR1aHplYjJlVzBBcEFxRWFHQXBfMm5Rbk9rZURiTDh2SEphb0RLcGVwSzYxRmJzb082MER4UDZnOF9aVjhVRGNyRl8yZUlRX1Q0LVE4NjBXejdLcEVlaGRNelpnQmUxVk1tRXBfNDlpeEptb0ZQQXVGaF80cmJvd0FMVXRybWlsZklOTGxlSmh6d2JSSUJMM2VwRVdiTnfSAZMCQVVfeXFMT2kwQS1fSWI2c2N0emhaTEM4SUVIcnY1VDQ1QnZvSlBlVHJsSm1yRXB3OHc1WWdoU1paVGxuYmY3VTdXeUYwbmkzRXo3MUxkZkpqeThNMnJEQmE2M2QyTFVXU29JeUd0MUp1SW1sY1BPakRNbWlzbGJ5OWxVMTRGMkRFX3kwdEtYOFJIdm1xbWNxZW40bTBFVWdMc1U4MTN0WXZIWjhWWkV5UlVnNHBtQkxhSjB5OVNLMTQtOWxHZ3d1UG43ck5iZkFodHZzTW9BcGFIeTVTUTdwcUpKeHdxbWNxUGpTaExaLXJMSXFpUFFYQkhMTGIxNGpEOHZtY1Q4ejZFelBKWE16cHN6OGdMNlZyQWs?oc=5"" target=""_blank"">Madhya Pradesh July 27, 2026, Weather Update: Strong Monsoon System Turns Active In State, Heavy Rain Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",Monsoon,en
"School Holiday Today, July 27: Will schools remain closed on Monday as IMD predicts heavy rainfall in seve - The Economic Times",https://news.google.com/rss/articles/CBMiiwJBVV95cUxOSElrbDJFV0ZGSU1ET2ZYd21NSWJYRFpjb3l6R1Mycm1xUGVSMVhqSkVha3NSczZXMHRTUGdLWG9aX0RDRnd0SHBlZlUtaGpWQ2laQlVZVDR5aTFzeHVNS0FxY2ZIcXdhYlpVRlJRdHBNcEFzcGFfcGxaS0RvREFVZWN4RU1wdXlaZjNGOG4zZVhHRkFnalh6NTM1UUhGRmZyQk43WGU3Y2RHZWtXYlBuaHZSWENBVUkzajNzbVhQc290cV9ZMi1wMy0zVFhJRE5JamRMYmVwWUg1Z2N2bUc0c2hCaE42T0tNUTZyYmdpS0FwTk9nVlNvUFN0Qm9iVmJjalNWV2cyVEFCcmfSAZACQVVfeXFMTTlaZTZUd0RELWUwUU5ZQmwzYzFtTXRtMWZrWFhES0hlWFhTYlJSZlZVOGFyaGt4d2F5U3hMaDFYSWoybG03MHJWMkUybHoydEZCbndabV9zcDVQT3JDamNUTjVRSG9XS3hRUnBqdEN5aW9jRjZLbjJkVFppYUlyN0lySU9KS01UZm1ZakJsTEpOOUhJY3FyNHVmQi1GZVhYSkJLVTZTQVdyU0tESDI2bThlN21KVVpjTWNJNVpKNU16eDRnMTJlV3J6RFA2OHRhRVZaNm5JdEdKTzR6U1hGeURsZFFzbWYyVDF4T09peENSWVdjTkhsUkZYUnJYOXBydGVCdWxENU81azZvcW0zd28?oc=5,2026-07-27 12:10:53,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxOSElrbDJFV0ZGSU1ET2ZYd21NSWJYRFpjb3l6R1Mycm1xUGVSMVhqSkVha3NSczZXMHRTUGdLWG9aX0RDRnd0SHBlZlUtaGpWQ2laQlVZVDR5aTFzeHVNS0FxY2ZIcXdhYlpVRlJRdHBNcEFzcGFfcGxaS0RvREFVZWN4RU1wdXlaZjNGOG4zZVhHRkFnalh6NTM1UUhGRmZyQk43WGU3Y2RHZWtXYlBuaHZSWENBVUkzajNzbVhQc290cV9ZMi1wMy0zVFhJRE5JamRMYmVwWUg1Z2N2bUc0c2hCaE42T0tNUTZyYmdpS0FwTk9nVlNvUFN0Qm9iVmJjalNWV2cyVEFCcmfSAZACQVVfeXFMTTlaZTZUd0RELWUwUU5ZQmwzYzFtTXRtMWZrWFhES0hlWFhTYlJSZlZVOGFyaGt4d2F5U3hMaDFYSWoybG03MHJWMkUybHoydEZCbndabV9zcDVQT3JDamNUTjVRSG9XS3hRUnBqdEN5aW9jRjZLbjJkVFppYUlyN0lySU9KS01UZm1ZakJsTEpOOUhJY3FyNHVmQi1GZVhYSkJLVTZTQVdyU0tESDI2bThlN21KVVpjTWNJNVpKNU16eDRnMTJlV3J6RFA2OHRhRVZaNm5JdEdKTzR6U1hGeURsZFFzbWYyVDF4T09peENSWVdjTkhsUkZYUnJYOXBydGVCdWxENU81azZvcW0zd28?oc=5"" target=""_blank"">School Holiday Today, July 27: Will schools remain closed on Monday as IMD predicts heavy rainfall in seve</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
IMD warns of torrential rain today across several states - The Hans India,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQdzF5ajJjR29RYVJ5VDNjZVM2aFNQRHJoS01DcmM3ajNhQ0dTOGVvSTFwY1I5RlRULVJ2QTJ0NWRKTmVsR01pa0xxdUZsUnpxMTZoU2ZNUFhzNDVyZ0t6YmNRcWhid1RFZ1JoZ2pRVVV5czFaTldYWW11Qk9fN214YlpBMVktaVhIVHV2NWRXUkt6ckJYTkV6VWNnOUtCY1VZU3FMRVhaWEpfRTNjZGxOSUIzMGdvT2xtWE5r0gG7AUFVX3lxTFB3MXlqMmNHb1FhUnlUM2NlUzZoU1BEcmhLTUNyYzdqM2FDR1M4ZW9JMXBjUjlGVFQtUnZBMnQ1ZEpOZWxHTWlrTHF1RmxSenExNmhTZk1QWHM0NXJnS3piY1FxaGJ3VEVnUmhnalFVVXlzMVpOV1hZbXVCT183bXhiWkExWS1pWEhUdXY1ZFdSS3pyQlhORXpVY2c5S0JjVVlTcUxFWFpYSl9FM2NkbE5JQjMwZ29PbG1YTms?oc=5,2026-07-27 07:15:18,The Hans India,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQdzF5ajJjR29RYVJ5VDNjZVM2aFNQRHJoS01DcmM3ajNhQ0dTOGVvSTFwY1I5RlRULVJ2QTJ0NWRKTmVsR01pa0xxdUZsUnpxMTZoU2ZNUFhzNDVyZ0t6YmNRcWhid1RFZ1JoZ2pRVVV5czFaTldYWW11Qk9fN214YlpBMVktaVhIVHV2NWRXUkt6ckJYTkV6VWNnOUtCY1VZU3FMRVhaWEpfRTNjZGxOSUIzMGdvT2xtWE5r0gG7AUFVX3lxTFB3MXlqMmNHb1FhUnlUM2NlUzZoU1BEcmhLTUNyYzdqM2FDR1M4ZW9JMXBjUjlGVFQtUnZBMnQ1ZEpOZWxHTWlrTHF1RmxSenExNmhTZk1QWHM0NXJnS3piY1FxaGJ3VEVnUmhnalFVVXlzMVpOV1hZbXVCT183bXhiWkExWS1pWEhUdXY1ZFdSS3pyQlhORXpVY2c5S0JjVVlTcUxFWFpYSl9FM2NkbE5JQjMwZ29PbG1YTms?oc=5"" target=""_blank"">IMD warns of torrential rain today across several states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hans India</font>",Monsoon,en
IMD issues yellow alert for nine districts in Keralam due to rain forecast - The News Mill,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQcFo5UUl0cXRpanZWVkxIQ0oyZTBUUGNRVHFkWFFoVTdCR3RqTzkybFI1NlpSaWVFWTY5TzI1M24wRVdXUFdaNS16eVhUeG05Z29sMldRbm1XaGxsZmZoUFF4QnJNb3gtXzBaUzIzd0FYQWdYNW9DOVhKX1JGb2paOUFTc0xtb3g5X2lMLVMwVEVnelVyc2hOTlVZQkNzU19RX2JMRlJYa1ZUUjg?oc=5,2026-07-27 06:07:12,The News Mill,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQcFo5UUl0cXRpanZWVkxIQ0oyZTBUUGNRVHFkWFFoVTdCR3RqTzkybFI1NlpSaWVFWTY5TzI1M24wRVdXUFdaNS16eVhUeG05Z29sMldRbm1XaGxsZmZoUFF4QnJNb3gtXzBaUzIzd0FYQWdYNW9DOVhKX1JGb2paOUFTc0xtb3g5X2lMLVMwVEVnelVyc2hOTlVZQkNzU19RX2JMRlJYa1ZUUjg?oc=5"" target=""_blank"">IMD issues yellow alert for nine districts in Keralam due to rain forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News Mill</font>",Monsoon,en
IMD issues flash flood warning for 27 districts as incessant rain lashes Odisha - The New Indian Express,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPdkg0cWRlNUl2alZ0YnpZeUZKLUs2aTNSOWRoa204MHNuYTJvY3ZnV2lJV3Rpa2JEMWdJc2tmd253bnBjaUswT0dXM2VMLVM3UnBNWmhDTkZYb3QwMmlEZDVMb1JZcUdmTjUteV90SDRqdUxGMWh2WVZRMzZZeE41RXQ2ZjZKMGJxQmZLR25iZFZOZ3pyYTYxMmIxN3FDM0pFS1Bxc0FRV0NTLTFsR2d2RzRVbGx2VmxxbzlzTWlPWUpzUDFJSmRyUmRqUy13RlBUa0p6TzdwZ0xCT28xdkdySEFn0gHiAUFVX3lxTE92SDRxZGU1SXZqVnRiell5RkotSzZpM1I5ZGhrbTgwc25hMm9jdmdXaUlXdGlrYkQxZ0lza2Z3bnducGNpSzBPR1czZUwtUzdScE1aaENORlhvdDAyaURkNUxvUllxR2ZONS15X3RINGp1TEYxaHZZVlEzNll4TjVFdDZmNkowYnFCZktHbmJkVk5nenJhNjEyYjE3cUMzSkVLUHFzQVFXQ1MtMWxHZ3ZHNFVsbHZWbHFvOXNNaU9ZSnNQMUlKZHJSZGpTLXdGUFRrSnpPN3BnTEJPbzF2R3JIQWc?oc=5,2026-07-27 08:40:00,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxPdkg0cWRlNUl2alZ0YnpZeUZKLUs2aTNSOWRoa204MHNuYTJvY3ZnV2lJV3Rpa2JEMWdJc2tmd253bnBjaUswT0dXM2VMLVM3UnBNWmhDTkZYb3QwMmlEZDVMb1JZcUdmTjUteV90SDRqdUxGMWh2WVZRMzZZeE41RXQ2ZjZKMGJxQmZLR25iZFZOZ3pyYTYxMmIxN3FDM0pFS1Bxc0FRV0NTLTFsR2d2RzRVbGx2VmxxbzlzTWlPWUpzUDFJSmRyUmRqUy13RlBUa0p6TzdwZ0xCT28xdkdySEFn0gHiAUFVX3lxTE92SDRxZGU1SXZqVnRiell5RkotSzZpM1I5ZGhrbTgwc25hMm9jdmdXaUlXdGlrYkQxZ0lza2Z3bnducGNpSzBPR1czZUwtUzdScE1aaENORlhvdDAyaURkNUxvUllxR2ZONS15X3RINGp1TEYxaHZZVlEzNll4TjVFdDZmNkowYnFCZktHbmJkVk5nenJhNjEyYjE3cUMzSkVLUHFzQVFXQ1MtMWxHZ3ZHNFVsbHZWbHFvOXNNaU9ZSnNQMUlKZHJSZGpTLXdGUFRrSnpPN3BnTEJPbzF2R3JIQWc?oc=5"" target=""_blank"">IMD issues flash flood warning for 27 districts as incessant rain lashes Odisha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Monsoon,en
AI-powered early flood alert system to shield cities in AP - The New Indian Express,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQUU9LNnd4Z0U0Qk9kdXZhUkswWGlweU5QSERtSV96clp2V0ZNUkRYUXhPTm9GSEJuOVFTd2s0SEtxakZuOFdRQVBqdjNyenpsYnc1N0Zubi1SczRZaFVkcENUbEZzcG1qMzBRalB6bGxRMnhKaFg5V1NvNG1GQUt6UmdiNDNhSy1iOTk1VWpXZ1BHRkFWQU5wVEV3WmFlcTJnS1YyWkphaV9CSmpBNE5Bc3R6OTZYM3JzZ1VlS01mVFpldEc1UHdrenQwVzQ3SjJs0gHQAUFVX3lxTFBRT0s2d3hnRTRCT2R1dmFSSzBYaXB5TlBIRG1JX3pyWnZXRk1SRFhReE9Ob0ZIQm45UVN3azRIS3FqRm44V1FBUGp2M3J6emxidzU3Rm5uLVJzNFloVWRwQ1RsRnNwbWozMFFqUHpsbFEyeEpoWDlXU280bUZBS3pSZ2I0M2FLLWI5OTVValdnUEdGQVZBTnBURXdaYWVxMmdLVjJaSmFpX0JKakE0TkFzdHo5NlgzcnNnVWVLTWZUWmV0RzVQd2t6dDBXNDdKMmw?oc=5,2026-07-27 08:44:00,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQUU9LNnd4Z0U0Qk9kdXZhUkswWGlweU5QSERtSV96clp2V0ZNUkRYUXhPTm9GSEJuOVFTd2s0SEtxakZuOFdRQVBqdjNyenpsYnc1N0Zubi1SczRZaFVkcENUbEZzcG1qMzBRalB6bGxRMnhKaFg5V1NvNG1GQUt6UmdiNDNhSy1iOTk1VWpXZ1BHRkFWQU5wVEV3WmFlcTJnS1YyWkphaV9CSmpBNE5Bc3R6OTZYM3JzZ1VlS01mVFpldEc1UHdrenQwVzQ3SjJs0gHQAUFVX3lxTFBRT0s2d3hnRTRCT2R1dmFSSzBYaXB5TlBIRG1JX3pyWnZXRk1SRFhReE9Ob0ZIQm45UVN3azRIS3FqRm44V1FBUGp2M3J6emxidzU3Rm5uLVJzNFloVWRwQ1RsRnNwbWozMFFqUHpsbFEyeEpoWDlXU280bUZBS3pSZ2I0M2FLLWI5OTVValdnUEdGQVZBTnBURXdaYWVxMmdLVjJaSmFpX0JKakE0TkFzdHo5NlgzcnNnVWVLTWZUWmV0RzVQd2t6dDBXNDdKMmw?oc=5"" target=""_blank"">AI-powered early flood alert system to shield cities in AP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Monsoon,en
Army rescues 790+ people as Gujarat flood relief operations end - The Times of India,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPOXpLdkZWU09zZVNZMlRrWWxXRWZwUXNqbnRFWmhKeGZlaFVGajljT1lqT3o2amJzX0FncmxhT3gtT0Z4cjcwX2l6eFN4NS1LaTBsaVhrR3JEbUtNUjdOdDVDSG9HdEJHLTI0Y3pNbDUwemp5YzRoOVhxLXBkczJiZVZmaUl6WVZJUGtBR1VfNkoxQnMxQVJmeTVvSFN1MHZTd2E4bUpJbU5FRnpJd05vUEpKV0pDXzRZdTNSVXFoN3RyeDZIdmJyRU1LT21BbUtIVWJka0J30gHbAUFVX3lxTE4yWEtqNlJrdHlLZ2wzbVZlMTVIcWdBT1ZVelBuMmI0LUF4a2dIaFhHdXAtNGlvdnRfUTdSVWpYLTB1cEx1dkNlUXB4bUM1Unkxd3FnQjVPOUt3cEpadUt4UkpWVmJLeVhqS3FoOFJQR1pmbTlBNDFjRVRNMTNmMEtmUGxYTHdXNExrd3AxMzM1ZEdXVjVSWDdEdXdzNGdnSmVaZkYxQ3ZSc2twb3hXVmJ2aFNrcC1kLUg3WHFzaS04bGlHVC1aVS0ta2lDTV9OWlp3LVl5UXB4ODh0MA?oc=5,2026-07-27 00:14:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPOXpLdkZWU09zZVNZMlRrWWxXRWZwUXNqbnRFWmhKeGZlaFVGajljT1lqT3o2amJzX0FncmxhT3gtT0Z4cjcwX2l6eFN4NS1LaTBsaVhrR3JEbUtNUjdOdDVDSG9HdEJHLTI0Y3pNbDUwemp5YzRoOVhxLXBkczJiZVZmaUl6WVZJUGtBR1VfNkoxQnMxQVJmeTVvSFN1MHZTd2E4bUpJbU5FRnpJd05vUEpKV0pDXzRZdTNSVXFoN3RyeDZIdmJyRU1LT21BbUtIVWJka0J30gHbAUFVX3lxTE4yWEtqNlJrdHlLZ2wzbVZlMTVIcWdBT1ZVelBuMmI0LUF4a2dIaFhHdXAtNGlvdnRfUTdSVWpYLTB1cEx1dkNlUXB4bUM1Unkxd3FnQjVPOUt3cEpadUt4UkpWVmJLeVhqS3FoOFJQR1pmbTlBNDFjRVRNMTNmMEtmUGxYTHdXNExrd3AxMzM1ZEdXVjVSWDdEdXdzNGdnSmVaZkYxQ3ZSc2twb3hXVmJ2aFNrcC1kLUg3WHFzaS04bGlHVC1aVS0ta2lDTV9OWlp3LVl5UXB4ODh0MA?oc=5"" target=""_blank"">Army rescues 790+ people as Gujarat flood relief operations end</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
