Title,Link,Date,Source,Summary,Term,LanguageQueried
"TN Weather News: 9 மாவட்டங்களுக்கு இன்று கனமழை வார்னிங், சென்னை நிலவரம்? தமிழக வானிலை அறிக்கை - tamil.abplive.com",https://news.google.com/rss/articles/CBMikwJBVV95cUxOSE1UaU5QQnAzVVIxX01fZjJlaGNiQXUwcGFOcmNhOVNIUjFYZVJXOTlIdlpENHVOQVMxUWViOTZnTzhDR2xjSXNRWXBJWUR0d1AycEFLbnhkNmJzVnRlXzVRbmo4d010eDR4eTV5bVpCbnZ5LVplenQ0bjVsbG1zNTJ6NHlldUxNa1M0T0gxdVVDVjhhVEI3U1RCMWdNaklTYnE5bi1xaVpNcHhEQWpubmVRWU5RdVU5WlRSOTlpNzJabHRpMFg5c1BSTUpwN2lnTkpwMU0yWS1NejZBVFhGWnRIVWluM0VxdjRnRlpSU2JFMFg0VHotcXkxVjhvUFZYTE1OQXI1NndDcnVOMDVxcks5WdIBmAJBVV95cUxON2duRlFOSExvb29KNzF5SjQyUng0OUFuRHB0N19GSUxWN1hjdlJIc19YSUtORnZDbDhDMi11RlhCWWt6TEVQMGdlUExzMlBLM1c1RGZyM3I3RUFKVzNybE9yZ2lOWWd1N2RqVjdsRTA3Q0ttZzVVZnlkMDlpUUo1RHFWR3diWHRFaS1sOTdyWWd5aEVNZDhRZ2lxQl9SUmcxeVBOYWhvaXY0YVQtcU1yMTM2SUQ2M3VxLVlraHVuQmo1ZVJQdVJZVHdxWlpLYTBDcDgxbDRCX0RIYlpJSnlZTkRYZlpOLS1KSEs3VXdaT0JPS240djdKN3VET0tqSHg1eHZfeGpya1EwMUNBTHpFUEdBajZoQXNJ?oc=5,2026-09-15 06:21:00,tamil.abplive.com,"<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxOSE1UaU5QQnAzVVIxX01fZjJlaGNiQXUwcGFOcmNhOVNIUjFYZVJXOTlIdlpENHVOQVMxUWViOTZnTzhDR2xjSXNRWXBJWUR0d1AycEFLbnhkNmJzVnRlXzVRbmo4d010eDR4eTV5bVpCbnZ5LVplenQ0bjVsbG1zNTJ6NHlldUxNa1M0T0gxdVVDVjhhVEI3U1RCMWdNaklTYnE5bi1xaVpNcHhEQWpubmVRWU5RdVU5WlRSOTlpNzJabHRpMFg5c1BSTUpwN2lnTkpwMU0yWS1NejZBVFhGWnRIVWluM0VxdjRnRlpSU2JFMFg0VHotcXkxVjhvUFZYTE1OQXI1NndDcnVOMDVxcks5WdIBmAJBVV95cUxON2duRlFOSExvb29KNzF5SjQyUng0OUFuRHB0N19GSUxWN1hjdlJIc19YSUtORnZDbDhDMi11RlhCWWt6TEVQMGdlUExzMlBLM1c1RGZyM3I3RUFKVzNybE9yZ2lOWWd1N2RqVjdsRTA3Q0ttZzVVZnlkMDlpUUo1RHFWR3diWHRFaS1sOTdyWWd5aEVNZDhRZ2lxQl9SUmcxeVBOYWhvaXY0YVQtcU1yMTM2SUQ2M3VxLVlraHVuQmo1ZVJQdVJZVHdxWlpLYTBDcDgxbDRCX0RIYlpJSnlZTkRYZlpOLS1KSEs3VXdaT0JPS240djdKN3VET0tqSHg1eHZfeGpya1EwMUNBTHpFUEdBajZoQXNJ?oc=5"" target=""_blank"">TN Weather News: 9 மாவட்டங்களுக்கு இன்று கனமழை வார்னிங், சென்னை நிலவரம்? தமிழக வானிலை அறிக்கை</a>&nbsp;&nbsp;<font color=""#6f6f6f"">tamil.abplive.com</font>",Monsoon,ta
Weather Update: இன்று கனமழை எச்சரிக்கை... எந்தெந்த மாவட்டங்களில்? - Kumudam,https://news.google.com/rss/articles/CBMijAFBVV95cUxNaDQxcEdqc0plN3VjeXRlRkhIbkphWlpfc0o1UkdZSHEwaW50b3VWMmlWeEFaS1JLSVFBMmg4czh3enl3eGhNMHpLb3F5b2NSYVdObjdHa1QwWU54TEYzUmtLaExxVUhMMU05Rm9SbjFfNE56SUlFTEdEdWdDOWZ2VzdpRHRYT2dGdnNtSA?oc=5,2026-09-15 07:25:00,Kumudam,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxNaDQxcEdqc0plN3VjeXRlRkhIbkphWlpfc0o1UkdZSHEwaW50b3VWMmlWeEFaS1JLSVFBMmg4czh3enl3eGhNMHpLb3F5b2NSYVdObjdHa1QwWU54TEYzUmtLaExxVUhMMU05Rm9SbjFfNE56SUlFTEdEdWdDOWZ2VzdpRHRYT2dGdnNtSA?oc=5"" target=""_blank"">Weather Update: இன்று கனமழை எச்சரிக்கை... எந்தெந்த மாவட்டங்களில்?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kumudam</font>",Monsoon,ta
Heavy Rain Alert | மக்களே அலெர்ட்.. தமிழ்நாட்டில் இன்று இந்த 9 மாவட்டங்களில் கனமழை வெளுக்கும்.. வானிலை லேட்டஸ்ட் அப்டேட்.! - News18 Tamil,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOZEdYcXFGUzdqS21LVzgxUTdlRXpvYnBLa20tUUJsOWZfbVBEdmF6MU5qdkY3S2RSbUpGUmN0LW1PTHBoX0hha0JRVTlzQ0ZGT0NQTDRFWnBUb1E4QkQ1MjZPMTA1akNoM2F4TmxjV0tYZl9EZFNfaWNXZzNhSW1vTTEtR3VnNVZrcWhxazR5MEdINk9Jall3Zl8zZzZLX3FGNnF2TkllVWhOMWQ5QkdzNkI5QjBETHZKRF9lalVjeGpaVm9FbGx4Y1ozdkhJRGE5M05tQnc0dkI5bkRiZjNYNUpUaEhFWnNJVXBmdkstMjNHZw?oc=5,2026-09-15 07:00:00,News18 Tamil,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxOZEdYcXFGUzdqS21LVzgxUTdlRXpvYnBLa20tUUJsOWZfbVBEdmF6MU5qdkY3S2RSbUpGUmN0LW1PTHBoX0hha0JRVTlzQ0ZGT0NQTDRFWnBUb1E4QkQ1MjZPMTA1akNoM2F4TmxjV0tYZl9EZFNfaWNXZzNhSW1vTTEtR3VnNVZrcWhxazR5MEdINk9Jall3Zl8zZzZLX3FGNnF2TkllVWhOMWQ5QkdzNkI5QjBETHZKRF9lalVjeGpaVm9FbGx4Y1ozdkhJRGE5M05tQnc0dkI5bkRiZjNYNUpUaEhFWnNJVXBmdkstMjNHZw?oc=5"" target=""_blank"">Heavy Rain Alert | மக்களே அலெர்ட்.. தமிழ்நாட்டில் இன்று இந்த 9 மாவட்டங்களில் கனமழை வெளுக்கும்.. வானிலை லேட்டஸ்ட் அப்டேட்.!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Tamil</font>",Monsoon,ta
Weather Update | 'குடை' முக்கியம் மக்களே! இன்று 9 மாவட்டங்களில் கனமழை வெளுக்கும்.. வானிலை மையம் அலர்ட்! - News18 Tamil,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPbTloRjlUM0hHRERDM2Z6X1dfZ2NSTkpPN01XaFF4Ukw4M3hPWi0xRlpGelJXVnhCRG93SjFOVzhwWlViS1RrMWZLSDNiRTQ2S1hWa2xTYTJ0M29yR3ZubmZzbTl5T2tyOURma2NXdTlSSF83ZnVFVjZ6NVhQV0NDUld5cTByX1N1MnBrd0F6ZERsTXJhOXJGNkhQTlRQVXhVRThZZjg1b3NoZTBESjh2N0V5UVAzZzVGY3k0N05xanJvSW9tY2dMd0ZRWW9OWGJCS25tbTV2azFjbkFN?oc=5,2026-09-15 14:00:00,News18 Tamil,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxPbTloRjlUM0hHRERDM2Z6X1dfZ2NSTkpPN01XaFF4Ukw4M3hPWi0xRlpGelJXVnhCRG93SjFOVzhwWlViS1RrMWZLSDNiRTQ2S1hWa2xTYTJ0M29yR3ZubmZzbTl5T2tyOURma2NXdTlSSF83ZnVFVjZ6NVhQV0NDUld5cTByX1N1MnBrd0F6ZERsTXJhOXJGNkhQTlRQVXhVRThZZjg1b3NoZTBESjh2N0V5UVAzZzVGY3k0N05xanJvSW9tY2dMd0ZRWW9OWGJCS25tbTV2azFjbkFN?oc=5"" target=""_blank"">Weather Update | 'குடை' முக்கியம் மக்களே! இன்று 9 மாவட்டங்களில் கனமழை வெளுக்கும்.. வானிலை மையம் அலர்ட்!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Tamil</font>",Monsoon,ta
"Monsoon 2026 Hits Kerala! IMD Issues Alert For Telangana, Tamil Nadu | Heavy Rain in Delhi Amid Yellow Alert - Goodreturns",https://news.google.com/rss/articles/CBMi2AFBVV95cUxOSHlVeWVoV3ZFRTJLUEtzVlcwM0tkTWF0V2x5bXNYY2pwSU9mQ3NweS1lZTR4dlhUN0ZWeHdjNEszNEROVEpJZjh6Qklnc2JDaE95V29zX24yLW9TeGlkdkh6UWZWa1VvVmlDdlFlRGtpRXZoMi0zajVUU2tnZFd6OTJlem9jMUdCa3ZvWGVwUFVtbDNoSmwwaGlsOE1UTzlGSFdWOEppVXRqLVhjR3BzbDZsSVd6LTNiamZVYmZ2Sld6RlhtSWw1MUp4SWw3S0RmVHBIUFpWSkQ?oc=5,2026-09-15 00:19:15,Goodreturns,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOSHlVeWVoV3ZFRTJLUEtzVlcwM0tkTWF0V2x5bXNYY2pwSU9mQ3NweS1lZTR4dlhUN0ZWeHdjNEszNEROVEpJZjh6Qklnc2JDaE95V29zX24yLW9TeGlkdkh6UWZWa1VvVmlDdlFlRGtpRXZoMi0zajVUU2tnZFd6OTJlem9jMUdCa3ZvWGVwUFVtbDNoSmwwaGlsOE1UTzlGSFdWOEppVXRqLVhjR3BzbDZsSVd6LTNiamZVYmZ2Sld6RlhtSWw1MUp4SWw3S0RmVHBIUFpWSkQ?oc=5"" target=""_blank"">Monsoon 2026 Hits Kerala! IMD Issues Alert For Telangana, Tamil Nadu | Heavy Rain in Delhi Amid Yellow Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goodreturns</font>",Monsoon,en
"Southwest Monsoon Arrives in Kerala, IMD Announces Onset of Rainy Season - DD News",https://news.google.com/rss/articles/CBMingFBVV95cUxPaENFU1hLUkthUlotZ1I4RU9TbVlleXJZYkRReE54UFdaZ05YdkNFS1ZPejJzdDFZbWlIdHd0d1hJSFZWUGR6UHNPQXktc3dtcjVmejRYelNCNmhTaW9pSGx5Z2RZb1FkSzZrX2wxeFBPX2ZLX3h1alZnZXg3SklHMkNPcFBMUkpMNTU1WG9aUlhieHI5WklCblZlN04tQQ?oc=5,2026-09-15 00:39:14,DD News,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPaENFU1hLUkthUlotZ1I4RU9TbVlleXJZYkRReE54UFdaZ05YdkNFS1ZPejJzdDFZbWlIdHd0d1hJSFZWUGR6UHNPQXktc3dtcjVmejRYelNCNmhTaW9pSGx5Z2RZb1FkSzZrX2wxeFBPX2ZLX3h1alZnZXg3SklHMkNPcFBMUkpMNTU1WG9aUlhieHI5WklCblZlN04tQQ?oc=5"" target=""_blank"">Southwest Monsoon Arrives in Kerala, IMD Announces Onset of Rainy Season</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DD News</font>",Monsoon,en
"Daily weather tracker: Monsoon retreat begins, but rain, thunderstorms and strong winds continue across India - Down To Earth",https://news.google.com/rss/articles/CBMi5wFBVV95cUxOcGpTb0RjTnM2bTZtelV2NWJWVzU2dnhTb1VXQWZ0OTlMMnZRTkVKUUhtNy05MmZvWm5uYTRBUl91bmV0LXZrSm9hcXdiTVliQmdVbm1QSmRkXzZ5QW52LVBtdm0yb1BhOHBTRklsc0FZRU5abnFoOUFBS29WczFLclE3Nm04SmtQYXVDdkNObUFrY1RNTUdaWUdBWmJjcG4wV1lFVWpiaDNCWnEwZW5JU25MYjdpYUlUa2pzMkNRYlhneVFNTVZIdWVhR0Q3NVhCUGFoSVBDOWxBbVVSbjdud3d6SE1DZGvSAfQBQVVfeXFMTnpzdWRKdTY5Qnk5NXYzTFRvTlBLeWFBR1Vid0w5ZlRxZkNfb1RmZHpiVl9aR0g1THdiTU91Sm1LUk1wTGpXcHpyNEg5NUdGMVVMcm94cnFBWUd0ZE5EU1VNU1d6V2ZpUWlsc0Ytd0w2ZnBKLWJtMTlabmN6ZThUQVl0UUlveGl2dklFOXNKMERCc0ZJMnE1MFkxQjZzeU1SVnJlVXJudUc3M3VVMU82MkVhaDB3ZlFLVDBpcmJadmNlTDVyZ2JOMzZTcWVnT2tSWERKVmlVVHhFc3pDazBxcFZtNUVycTVQZDgyM0VpTHJ5X0lhRg?oc=5,2026-09-15 10:23:36,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOcGpTb0RjTnM2bTZtelV2NWJWVzU2dnhTb1VXQWZ0OTlMMnZRTkVKUUhtNy05MmZvWm5uYTRBUl91bmV0LXZrSm9hcXdiTVliQmdVbm1QSmRkXzZ5QW52LVBtdm0yb1BhOHBTRklsc0FZRU5abnFoOUFBS29WczFLclE3Nm04SmtQYXVDdkNObUFrY1RNTUdaWUdBWmJjcG4wV1lFVWpiaDNCWnEwZW5JU25MYjdpYUlUa2pzMkNRYlhneVFNTVZIdWVhR0Q3NVhCUGFoSVBDOWxBbVVSbjdud3d6SE1DZGvSAfQBQVVfeXFMTnpzdWRKdTY5Qnk5NXYzTFRvTlBLeWFBR1Vid0w5ZlRxZkNfb1RmZHpiVl9aR0g1THdiTU91Sm1LUk1wTGpXcHpyNEg5NUdGMVVMcm94cnFBWUd0ZE5EU1VNU1d6V2ZpUWlsc0Ytd0w2ZnBKLWJtMTlabmN6ZThUQVl0UUlveGl2dklFOXNKMERCc0ZJMnE1MFkxQjZzeU1SVnJlVXJudUc3M3VVMU82MkVhaDB3ZlFLVDBpcmJadmNlTDVyZ2JOMzZTcWVnT2tSWERKVmlVVHhFc3pDazBxcFZtNUVycTVQZDgyM0VpTHJ5X0lhRg?oc=5"" target=""_blank"">Daily weather tracker: Monsoon retreat begins, but rain, thunderstorms and strong winds continue across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Monsoon,en
Monsoon Withdrawal From September 19? IMD Flags Rain Deficit In Key States - NDTV Profit,https://news.google.com/rss/articles/CBMivgFBVV95cUxNUndBT1BkYUs2QWR5T0hXNGIxc2FLUXVMZlVQNWlobEw3cHFEdE1LaWFmZHgxR1pCSWg2YUJVS2wzejFBQm4zSDZDbXh0QWhTeUMwaG1aelpTNVJLa05QQk14c2pGbENHTmtSZy1vVXZlcGxUZXk5LVhUeG15VzBEM2JYSk00cHVrQ0Q1eW1HTDl6UmJ5ekljTE1SVFNRX1lmeU15WWE3UFcxVDFfWWthX3BVNEFUX2ZPQVVjVFhB0gG-AUFVX3lxTE1Sd0FPUGRhSzZBZHlPSFc0YjFzYUtRdUxmVVA1aWhsTDdwcUR0TUtpYWZkeDFHWkJJaDZhQlVLbDN6MUFCbjNINkNteHRBaFN5QzBobVp6WlM1UktrTlBCTXhzakZsQ0dOa1JnLW9VdmVwbFRleTktWFR4bXlXMEQzYlhKTTRwdWtDRDV5bUdMOXpSYnl6SWNMTVJUU1FfWWZ5TXlZYTdQVzFUMV9Za2FfcFU0QVRfZk9BVWNUWEE?oc=5,2026-09-15 07:33:47,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNUndBT1BkYUs2QWR5T0hXNGIxc2FLUXVMZlVQNWlobEw3cHFEdE1LaWFmZHgxR1pCSWg2YUJVS2wzejFBQm4zSDZDbXh0QWhTeUMwaG1aelpTNVJLa05QQk14c2pGbENHTmtSZy1vVXZlcGxUZXk5LVhUeG15VzBEM2JYSk00cHVrQ0Q1eW1HTDl6UmJ5ekljTE1SVFNRX1lmeU15WWE3UFcxVDFfWWthX3BVNEFUX2ZPQVVjVFhB0gG-AUFVX3lxTE1Sd0FPUGRhSzZBZHlPSFc0YjFzYUtRdUxmVVA1aWhsTDdwcUR0TUtpYWZkeDFHWkJJaDZhQlVLbDN6MUFCbjNINkNteHRBaFN5QzBobVp6WlM1UktrTlBCTXhzakZsQ0dOa1JnLW9VdmVwbFRleTktWFR4bXlXMEQzYlhKTTRwdWtDRDV5bUdMOXpSYnl6SWNMTVJUU1FfWWZ5TXlZYTdQVzFUMV9Za2FfcFU0QVRfZk9BVWNUWEE?oc=5"" target=""_blank"">Monsoon Withdrawal From September 19? IMD Flags Rain Deficit In Key States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",Monsoon,en
"Monsoon withdrawal from September 19? IMD predicts rain in Delhi, Punjab, Uttar Pradesh, Bihar, Odisha, Kerala and Tamil Nadu – Check state-wise forecast here - news24online.com",https://news.google.com/rss/articles/CBMinAJBVV95cUxNb3BBQU1mUlVEN2Jna3laMk9SZUZDRGFJUVdacGh3LU9CVk5HMVhnNkdzUmhzNVJOWDdlR1JlMzdSQUx6ZktTUERPYUZDeW56a1FSWEZZYmJqU2lCUFpsVnZ4SDVXQnVodHFvcFk3TlVGOWstazFwcUdJdTJfTkZ0TDh3R3lwbnhpNEg0amdreUFxZHdwQXY3NFI4c1BmRVBrb1VoYnBZZVFlbDNiOTBMNXhIS21tdU1MMHQwdTJaOTE3LVBMWnhfRkdsNmQ2eHp4X19XX2E1UzBCSnJ2ZER6bmNOeGNvZ3RhVWFHYjExSEtuODdBTEVVUlUxY2JLTkNTSjNrazh0WVlSSy1QcXpfekJReWYxOGNTOGJ6LdIBnAJBVV95cUxNb3BBQU1mUlVEN2Jna3laMk9SZUZDRGFJUVdacGh3LU9CVk5HMVhnNkdzUmhzNVJOWDdlR1JlMzdSQUx6ZktTUERPYUZDeW56a1FSWEZZYmJqU2lCUFpsVnZ4SDVXQnVodHFvcFk3TlVGOWstazFwcUdJdTJfTkZ0TDh3R3lwbnhpNEg0amdreUFxZHdwQXY3NFI4c1BmRVBrb1VoYnBZZVFlbDNiOTBMNXhIS21tdU1MMHQwdTJaOTE3LVBMWnhfRkdsNmQ2eHp4X19XX2E1UzBCSnJ2ZER6bmNOeGNvZ3RhVWFHYjExSEtuODdBTEVVUlUxY2JLTkNTSjNrazh0WVlSSy1QcXpfekJReWYxOGNTOGJ6LQ?oc=5,2026-09-15 10:48:47,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxNb3BBQU1mUlVEN2Jna3laMk9SZUZDRGFJUVdacGh3LU9CVk5HMVhnNkdzUmhzNVJOWDdlR1JlMzdSQUx6ZktTUERPYUZDeW56a1FSWEZZYmJqU2lCUFpsVnZ4SDVXQnVodHFvcFk3TlVGOWstazFwcUdJdTJfTkZ0TDh3R3lwbnhpNEg0amdreUFxZHdwQXY3NFI4c1BmRVBrb1VoYnBZZVFlbDNiOTBMNXhIS21tdU1MMHQwdTJaOTE3LVBMWnhfRkdsNmQ2eHp4X19XX2E1UzBCSnJ2ZER6bmNOeGNvZ3RhVWFHYjExSEtuODdBTEVVUlUxY2JLTkNTSjNrazh0WVlSSy1QcXpfekJReWYxOGNTOGJ6LdIBnAJBVV95cUxNb3BBQU1mUlVEN2Jna3laMk9SZUZDRGFJUVdacGh3LU9CVk5HMVhnNkdzUmhzNVJOWDdlR1JlMzdSQUx6ZktTUERPYUZDeW56a1FSWEZZYmJqU2lCUFpsVnZ4SDVXQnVodHFvcFk3TlVGOWstazFwcUdJdTJfTkZ0TDh3R3lwbnhpNEg0amdreUFxZHdwQXY3NFI4c1BmRVBrb1VoYnBZZVFlbDNiOTBMNXhIS21tdU1MMHQwdTJaOTE3LVBMWnhfRkdsNmQ2eHp4X19XX2E1UzBCSnJ2ZER6bmNOeGNvZ3RhVWFHYjExSEtuODdBTEVVUlUxY2JLTkNTSjNrazh0WVlSSy1QcXpfekJReWYxOGNTOGJ6LQ?oc=5"" target=""_blank"">Monsoon withdrawal from September 19? IMD predicts rain in Delhi, Punjab, Uttar Pradesh, Bihar, Odisha, Kerala and Tamil Nadu – Check state-wise forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Monsoon,en
Heavy rain forecast for nine Tamil Nadu districts till September 20 - DD News,https://news.google.com/rss/articles/CBMimAFBVV95cUxQNEt2VUp1cEZaUG9PXzlUQl90SGVWbHREQXdNMVlNWnNQdmQweHU5RUpicExPcFhqYVNhNmRNSmgwcjM2U1kzRkFQb2xHazJoRzJhUzNRc0RSLU1JMEdaNzdiZV8yM05td2hvX2s3TUpienZjdHpzeVJpUHRQRjFTeWFMUWlYa2FsMF95QWMwNmxqay1DQTh3TA?oc=5,2026-09-15 11:38:02,DD News,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxQNEt2VUp1cEZaUG9PXzlUQl90SGVWbHREQXdNMVlNWnNQdmQweHU5RUpicExPcFhqYVNhNmRNSmgwcjM2U1kzRkFQb2xHazJoRzJhUzNRc0RSLU1JMEdaNzdiZV8yM05td2hvX2s3TUpienZjdHpzeVJpUHRQRjFTeWFMUWlYa2FsMF95QWMwNmxqay1DQTh3TA?oc=5"" target=""_blank"">Heavy rain forecast for nine Tamil Nadu districts till September 20</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DD News</font>",Monsoon,en
