Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Alert: আরও শক্তিশালী নিম্নচাপ, আজও ভারী বৃষ্টি, সঙ্গে দমকা হাওয়া, উইকেন্ডে ভাসবে কোন কোন জেলা? - ABP Ananda",https://news.google.com/rss/articles/CBMi1AFBVV95cUxNbGEwSjZzMWUzeG91XzRJSWZzbmhjdHViNExYdU1GaHBrYXYzZzlfSnBhc1daQUZfU3NFZ3lRdXZXaFpvbnNRM0xUdzlvRW9MVjhicWxDeHpDdGhQT0JvanQ0aXNJaDNIQ0hfUW03OW5jSXk4WThzcjgzTjViZmhuZUN1TFhpOG5pMGhDVUgwZFpXR201UkpqUlI1anlaNTM0TXBKdmRNeU9KZzhlbkc0S3lHRHpGcWFhMXgtZ010c2xnb0pkd3BRa3BjM01PWUJ3enhiR9IB2gFBVV95cUxOSmtWUk5KSWdKa21ySV9UakJlSmdtMTAzdXFnS3VWS2NFN01fczJJQWY1VUZaSFF2SnpvNjZiVXNpSFp6RlpvOGVEbVpiR3ViYTI0d21MY2tRakZjOVl3bmFOd1YwMGNtMWhqRkVMV3F6eWhpejdFV0VoTmJ0WmJzTTJCck1pLXY4eTBsODVqNjlwUGhzZ3lSYzM5UlVWcEFXZDdnQ1NVT1NFOGhIRnFIM2RMOFBwc0pKWTJvOGVoRE9xaTB2TjRsXy1WU29McDd2eGh0VlhhX21idw?oc=5,2026-08-30 01:19:33,ABP Ananda,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNbGEwSjZzMWUzeG91XzRJSWZzbmhjdHViNExYdU1GaHBrYXYzZzlfSnBhc1daQUZfU3NFZ3lRdXZXaFpvbnNRM0xUdzlvRW9MVjhicWxDeHpDdGhQT0JvanQ0aXNJaDNIQ0hfUW03OW5jSXk4WThzcjgzTjViZmhuZUN1TFhpOG5pMGhDVUgwZFpXR201UkpqUlI1anlaNTM0TXBKdmRNeU9KZzhlbkc0S3lHRHpGcWFhMXgtZ010c2xnb0pkd3BRa3BjM01PWUJ3enhiR9IB2gFBVV95cUxOSmtWUk5KSWdKa21ySV9UakJlSmdtMTAzdXFnS3VWS2NFN01fczJJQWY1VUZaSFF2SnpvNjZiVXNpSFp6RlpvOGVEbVpiR3ViYTI0d21MY2tRakZjOVl3bmFOd1YwMGNtMWhqRkVMV3F6eWhpejdFV0VoTmJ0WmJzTTJCck1pLXY4eTBsODVqNjlwUGhzZ3lSYzM5UlVWcEFXZDdnQ1NVT1NFOGhIRnFIM2RMOFBwc0pKWTJvOGVoRE9xaTB2TjRsXy1WU29McDd2eGh0VlhhX21idw?oc=5"" target=""_blank"">Weather Alert: আরও শক্তিশালী নিম্নচাপ, আজও ভারী বৃষ্টি, সঙ্গে দমকা হাওয়া, উইকেন্ডে ভাসবে কোন কোন জেলা?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Ananda</font>",Monsoon,bn
"Weather Alert: রবিবার ভারী বৃষ্টি, সঙ্গে ঝোড়ো হাওয়া, সপ্তাহান্তে কেমন থাকবে আবহাওয়া? জানাল - ABP Ananda",https://news.google.com/rss/articles/CBMi4wFBVV95cUxNMWJCS2VyUjBScExsaURXOGxqV2hHUlNTMmlaVDR4OF9QcmtORGhNWUVtT3FjMHFFUGJBdTMxb0lvVE9sek9jeEtUM0tNc0dKaWpPaWdPeE41UzVMaFpLMnN0NXcxVm9ldlp3OFVWTHk4TzVkSjhGcnE1RGNwMmVVYmlFUksyTFJDSEp0aXAtVkJiYXRwWHRKYUJESUZRaUw2STNiMnlMalJYX0x2aU1uSGZyODFTT2pvMkZ2VWhIWC1ndnNRdTJFMG5pYWE0cW1QLWNxSEJua2lrUzJkekZBZWZQRdIB6AFBVV95cUxNbDUyUmcwVDFqVTRXa2pxbnJ3VFRpYV9pNVBmQWs3aU82WFZuYUdMeUFMRllyazNnOUFxSEk3aUxuQ0UxQ1FrRVloYVlvOThJOWtZNTVOT3lMSTlRTDYzZjNqeGVpdVp1YW5qZllSQzV5NnpqaHBma0pJSVpIazJ0VWNVbDZPS0cwZ0pMOVk0R2I4elFCWG1yUlpobGJuR1FldjZVdGxKNGhXM3Q5Z0VsM3NhbHJuZTJtcGF4SjAxNGd1c3lwZllQS1Vub3hva0cxdm44OEJTaXdreEotQlg1ZHNIX21nQjRF?oc=5,2026-08-30 01:13:58,ABP Ananda,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxNMWJCS2VyUjBScExsaURXOGxqV2hHUlNTMmlaVDR4OF9QcmtORGhNWUVtT3FjMHFFUGJBdTMxb0lvVE9sek9jeEtUM0tNc0dKaWpPaWdPeE41UzVMaFpLMnN0NXcxVm9ldlp3OFVWTHk4TzVkSjhGcnE1RGNwMmVVYmlFUksyTFJDSEp0aXAtVkJiYXRwWHRKYUJESUZRaUw2STNiMnlMalJYX0x2aU1uSGZyODFTT2pvMkZ2VWhIWC1ndnNRdTJFMG5pYWE0cW1QLWNxSEJua2lrUzJkekZBZWZQRdIB6AFBVV95cUxNbDUyUmcwVDFqVTRXa2pxbnJ3VFRpYV9pNVBmQWs3aU82WFZuYUdMeUFMRllyazNnOUFxSEk3aUxuQ0UxQ1FrRVloYVlvOThJOWtZNTVOT3lMSTlRTDYzZjNqeGVpdVp1YW5qZllSQzV5NnpqaHBma0pJSVpIazJ0VWNVbDZPS0cwZ0pMOVk0R2I4elFCWG1yUlpobGJuR1FldjZVdGxKNGhXM3Q5Z0VsM3NhbHJuZTJtcGF4SjAxNGd1c3lwZllQS1Vub3hva0cxdm44OEJTaXdreEotQlg1ZHNIX21nQjRF?oc=5"" target=""_blank"">Weather Alert: রবিবার ভারী বৃষ্টি, সঙ্গে ঝোড়ো হাওয়া, সপ্তাহান্তে কেমন থাকবে আবহাওয়া? জানাল</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Ananda</font>",Monsoon,bn
"নেপালের বন্যায় শত শত মৃত্যু, শোকস্তব্ধ অমিতাভ বচ্চন - Indian Express Bengali",https://news.google.com/rss/articles/CBMixwFBVV95cUxNa2UyYWRsb3BmcXVfVlNOSERMMHUzV3lyY09BMTZWdkhlUFRLLWtpLXZQSnVJdlFlNExRYllIckdFVk1TTDJxMVN1UHNzTEhhMGktbFFhRmxzVzI2QktzNmcxVmZkMDFnUFg3SU1Tc3JaU1drWGZYbE5rZ3JoNHpIbXU3V0hPZXdDWkVPUk9mdTZxWjh6VzRnaWRuUVJaSmg3X3ZPcTd3SS1USHpVYWhDT2ZnR01ENk8zMUtIVWlqenRyUm5BckdB0gHHAUFVX3lxTE1rZTJhZGxvcGZxdV9WU05IREwwdTNXeXJjT0ExNlZ2SGVQVEsta2ktdlBKdUl2UWU0TFFiWUhyR0VWTVNMMnExU3VQc3NMSGEwaS1sUWFGbHNXMjZCS3M2ZzFWZmQwMWdQWDdJTVNzclpTV2tYZlhsTmtncmg0ekhtdTdXSE9ld0NaRU9ST2Z1NnFaOHpXNGdpZG5RUlpKaDdfdk9xN3dJLVRIelVhaENPZmdHTUQ2TzMxS0hVaWp6dHJSbkFyR0E?oc=5,2026-08-30 08:31:37,Indian Express Bengali,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNa2UyYWRsb3BmcXVfVlNOSERMMHUzV3lyY09BMTZWdkhlUFRLLWtpLXZQSnVJdlFlNExRYllIckdFVk1TTDJxMVN1UHNzTEhhMGktbFFhRmxzVzI2QktzNmcxVmZkMDFnUFg3SU1Tc3JaU1drWGZYbE5rZ3JoNHpIbXU3V0hPZXdDWkVPUk9mdTZxWjh6VzRnaWRuUVJaSmg3X3ZPcTd3SS1USHpVYWhDT2ZnR01ENk8zMUtIVWlqenRyUm5BckdB0gHHAUFVX3lxTE1rZTJhZGxvcGZxdV9WU05IREwwdTNXeXJjT0ExNlZ2SGVQVEsta2ktdlBKdUl2UWU0TFFiWUhyR0VWTVNMMnExU3VQc3NMSGEwaS1sUWFGbHNXMjZCS3M2ZzFWZmQwMWdQWDdJTVNzclpTV2tYZlhsTmtncmg0ekhtdTdXSE9ld0NaRU9ST2Z1NnFaOHpXNGdpZG5RUlpKaDdfdk9xN3dJLVRIelVhaENPZmdHTUQ2TzMxS0hVaWp6dHJSbkFyR0E?oc=5"" target=""_blank"">নেপালের বন্যায় শত শত মৃত্যু, শোকস্তব্ধ অমিতাভ বচ্চন</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Express Bengali</font>",Monsoon,bn
Weather tomorrow: IMD warns of heavy to very heavy rain several states; thunderstorms likely in many area - The Times of India,https://news.google.com/rss/articles/CBMijgJBVV95cUxQMHFMR0tzVTZNZE5Tb3hSVnNpRFdQcUo3dHpiMk1Rcm1LVlhvV19TWld0cEl4VlZEQmV5anZBVGdVYWlhM2ctMm1PRGNEME5BcjM0RTZrNzRKLVBmcS0xdkZJWUE4ZlJoMC1rNkU4LTl1WUt6cXBZMFd0MEM5bmtpT3V0aFZjQlhNc3lmZjN3cmUwYWRMZkRjdmNwbDNhdW1VS0JMMzE3YnNFWEx4VFBzM1p2amNENkNISDBCNVd6VGhPcGNPUDhQWGdMSTBxbFZHTnZhM0JaX2RPUkd1dFBUVnVtZ1NzZEVkU3liMXZpLXFtNl9UOV9MR3FYd0J5aWJzNHV3XzVOOTFfM1BxcmfSAY4CQVVfeXFMUDBxTEdLc1U2TWROU294UlZzaURXUHFKN3R6YjJNUXJtS1ZYb1dfU1pXdHBJeFZWREJleWp2QVRnVWFpYTNnLTJtT0RjRDBOQXIzNEU2azc0Si1QZnEtMXZGSVlBOGZSaDAtazZFOC05dVlLenFwWTBXdDBDOW5raU91dGhWY0JYTXN5ZmYzd3JlMGFkTGZEY3ZjcGwzYXVtVUtCTDMxN2JzRVhMeFRQczNadmpjRDZDSEgwQjVXelRoT3BjT1A4UFhnTEkwcWxWR052YTNCWl9kT1JHdXRQVFZ1bWdTc2RFZFN5YjF2aS1xbTZfVDlfTEdxWHdCeWliczR1d181TjkxXzNQcXJn?oc=5,2026-08-30 10:52:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxQMHFMR0tzVTZNZE5Tb3hSVnNpRFdQcUo3dHpiMk1Rcm1LVlhvV19TWld0cEl4VlZEQmV5anZBVGdVYWlhM2ctMm1PRGNEME5BcjM0RTZrNzRKLVBmcS0xdkZJWUE4ZlJoMC1rNkU4LTl1WUt6cXBZMFd0MEM5bmtpT3V0aFZjQlhNc3lmZjN3cmUwYWRMZkRjdmNwbDNhdW1VS0JMMzE3YnNFWEx4VFBzM1p2amNENkNISDBCNVd6VGhPcGNPUDhQWGdMSTBxbFZHTnZhM0JaX2RPUkd1dFBUVnVtZ1NzZEVkU3liMXZpLXFtNl9UOV9MR3FYd0J5aWJzNHV3XzVOOTFfM1BxcmfSAY4CQVVfeXFMUDBxTEdLc1U2TWROU294UlZzaURXUHFKN3R6YjJNUXJtS1ZYb1dfU1pXdHBJeFZWREJleWp2QVRnVWFpYTNnLTJtT0RjRDBOQXIzNEU2azc0Si1QZnEtMXZGSVlBOGZSaDAtazZFOC05dVlLenFwWTBXdDBDOW5raU91dGhWY0JYTXN5ZmYzd3JlMGFkTGZEY3ZjcGwzYXVtVUtCTDMxN2JzRVhMeFRQczNadmpjRDZDSEgwQjVXelRoT3BjT1A4UFhnTEkwcWxWR052YTNCWl9kT1JHdXRQVFZ1bWdTc2RFZFN5YjF2aS1xbTZfVDlfTEdxWHdCeWliczR1d181TjkxXzNQcXJn?oc=5"" target=""_blank"">Weather tomorrow: IMD warns of heavy to very heavy rain several states; thunderstorms likely in many area</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
Heavy rainfall forecast in parts of India on Monday - NewsBytes,https://news.google.com/rss/articles/CBMikgFBVV95cUxQdTktUWtaQmRSTnc3bnN4YWg2SGdCSFB5NzJQVjUxNjFHcXhsdlZSMVA0Q0dsb3pGN214RXk3U1lmSGhLbGd1NVotOE5YakZLNHhqZzdHdjVLb2N2MTVidGR0TkdmSFI2bkFKcjZrV3Ztdk1YNUozVlFTbE9rdHJSdFkyUndzRFJzdFlzTlRPdWk3UQ?oc=5,2026-08-30 12:33:14,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxQdTktUWtaQmRSTnc3bnN4YWg2SGdCSFB5NzJQVjUxNjFHcXhsdlZSMVA0Q0dsb3pGN214RXk3U1lmSGhLbGd1NVotOE5YakZLNHhqZzdHdjVLb2N2MTVidGR0TkdmSFI2bkFKcjZrV3Ztdk1YNUozVlFTbE9rdHJSdFkyUndzRFJzdFlzTlRPdWk3UQ?oc=5"" target=""_blank"">Heavy rainfall forecast in parts of India on Monday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Monsoon,en
"No rains in Delhi for the next 2 days, UP, Bihar and Punjab to witness heavy rainfall, says IMD - News9live",https://news.google.com/rss/articles/CBMizAFBVV95cUxOTE05NGdZbmJLRFVVbEhDaEkzVWw4OTdvYkEzdXp3WElpZWxaY0Q5N2Q0MThZWk5PeXprWEVQME5LbDVqTmhfQ1E0ejU3cTkzd09qTjBqZzJNR1F4WXFWR1QzWFZjUGE0QURtU1FRSzBUcy0tLWhjZUhfYi16TEZpWGotSWhNMkFIMFlZdlo0aHBaTTZRb2VUaHdWeUlfeUUxeEdtTXEyYndaZHZ4Qk5mM01NRUtWM0tUOXpldWRUUnZmalZBQjF5NmotaznSAdIBQVVfeXFMTnRqRmlmNklYOUVTUTZBVWkzd25aejVXSy04N1EwUDFXVGhxWWpNQ3h0YXNyT2tiR0dZR0UwNUIzc0VocmJXZWEzN25tc2JOWXhNMUJQdGR3bTFIYkFkSVhrejc3ai1xd2pXUDRIeDVnbXpGM3ZrdXN2LWhuMV8zRE1vdHVDUWpmcFhNRXl1d0R4TUd1VGlmOFZSOVFPdWJ1VHF4MlZQT0hBalc2MkM4Um9KTTl6QUNVZEdESzlfa3BRRFdGckMwb3ZfZzRSVU1QZUN3?oc=5,2026-08-30 09:32:03,News9live,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOTE05NGdZbmJLRFVVbEhDaEkzVWw4OTdvYkEzdXp3WElpZWxaY0Q5N2Q0MThZWk5PeXprWEVQME5LbDVqTmhfQ1E0ejU3cTkzd09qTjBqZzJNR1F4WXFWR1QzWFZjUGE0QURtU1FRSzBUcy0tLWhjZUhfYi16TEZpWGotSWhNMkFIMFlZdlo0aHBaTTZRb2VUaHdWeUlfeUUxeEdtTXEyYndaZHZ4Qk5mM01NRUtWM0tUOXpldWRUUnZmalZBQjF5NmotaznSAdIBQVVfeXFMTnRqRmlmNklYOUVTUTZBVWkzd25aejVXSy04N1EwUDFXVGhxWWpNQ3h0YXNyT2tiR0dZR0UwNUIzc0VocmJXZWEzN25tc2JOWXhNMUJQdGR3bTFIYkFkSVhrejc3ai1xd2pXUDRIeDVnbXpGM3ZrdXN2LWhuMV8zRE1vdHVDUWpmcFhNRXl1d0R4TUd1VGlmOFZSOVFPdWJ1VHF4MlZQT0hBalc2MkM4Um9KTTl6QUNVZEdESzlfa3BRRFdGckMwb3ZfZzRSVU1QZUN3?oc=5"" target=""_blank"">No rains in Delhi for the next 2 days, UP, Bihar and Punjab to witness heavy rainfall, says IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9live</font>",Monsoon,en
"IMD warns of heavy to very heavy rainfall across several states, with Odisha facing the most intense conditions - SSBCrack",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUXloMXFlUWhmUlJ4U3F3TXEzdGppY0VxM1NCcGxvTkJSUXhxdGtfa3BGOWw5SkFhMUhBYTZYa2FUSkZBYVYzOXlnMklDUDctMEpHeTNZN29PbTFCS0k5Y19IU2xzbER6c2YxWkUxdVFPWTJuUllfQUxGUGJ6TVRXTWh3R3FmbENkZGdkMXM1dW9ZMzdOcmFhOVFvUFQ1VXl2TGhWaG4ya3Ric3BMZWJybDdPS0ZwNzN0dGNibjYzbE5IeS0wdmx3WmFFcjZZbEgyMUM0?oc=5,2026-08-30 06:32:33,SSBCrack,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUXloMXFlUWhmUlJ4U3F3TXEzdGppY0VxM1NCcGxvTkJSUXhxdGtfa3BGOWw5SkFhMUhBYTZYa2FUSkZBYVYzOXlnMklDUDctMEpHeTNZN29PbTFCS0k5Y19IU2xzbER6c2YxWkUxdVFPWTJuUllfQUxGUGJ6TVRXTWh3R3FmbENkZGdkMXM1dW9ZMzdOcmFhOVFvUFQ1VXl2TGhWaG4ya3Ric3BMZWJybDdPS0ZwNzN0dGNibjYzbE5IeS0wdmx3WmFFcjZZbEgyMUM0?oc=5"" target=""_blank"">IMD warns of heavy to very heavy rainfall across several states, with Odisha facing the most intense conditions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SSBCrack</font>",Monsoon,en
IMD issues rain warning: Heavy to very heavy showers forecast across several Indian states; what travelle - The Times of India,https://news.google.com/rss/articles/CBMiqwJBVV95cUxORUlmbXJjc19tYTExLWZWUzBRd2FOLVdKUnlFUl9KMnpHTWs0dkNqVmFVM0NQckFESjQtWFFPYmZDUWxkbWxCU2lRemhNRmFjTGhuU2NXVDl6dmRXNnZlN2lIcEoyNXRaM3BCRUJWSGNkRzI2eGRPeUVNVmRTdGFUd1VPdlM2ZmlIdUNFcXNfZVFiWW0yWE4wQTVzQ3BkQlRQYTBHeWRoUGJFbUNXaGpyTmJ4VEcwMm9RSloyeVNya3M3Q0w3MEdIdExIZ1hHaDBla0kyWWUwNFhCMjJKQ0M0d1ppMUxza0JvNjJfVFdQQVRDYS0tNHdjZEFkMHZpSThVbDB3T3VnS1pGUjlWanE2WTNYLVZkS2NtTF83M1NmWVI2WmRsSUFWclZuMNIBsAJBVV95cUxOX1JhMmRrbjd5TnRHUzVYOVJ4S2VnSnEtWEhKZUNMcVZyY2R6MzQ0LWtjYkdUZlRENndaNU94djYzWUFOTE5sWFIyZnFKY1JGZE55bEN2bXhMMnZJckVPZ0tYQUdadXNmX09rUXFkeXROTndLNm9rN3JSckhXeW9JOTNMa2V0eFVjZG9DMTFWdWMzOUpkWWg1cWVNM01VQnFxOXgwQ2U4N2JrSXhxb1AwREVoSWpwdXBBMXpST3Rfb1NGTkt3QmJ6SmsxbkE0TjJFdFhJSGpOZ3BiUm9vYmVvMGwwMXJWS0h6aENoQlpOMG1nMTRic0xiWjF2dkhYS1U1WGJzNFRyVDJtck43Z1VUb2Z0SF9rZDlDYlFSdm0yakFsa0R2cXpvdDFiVXBNeENy?oc=5,2026-08-30 09:44:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiqwJBVV95cUxORUlmbXJjc19tYTExLWZWUzBRd2FOLVdKUnlFUl9KMnpHTWs0dkNqVmFVM0NQckFESjQtWFFPYmZDUWxkbWxCU2lRemhNRmFjTGhuU2NXVDl6dmRXNnZlN2lIcEoyNXRaM3BCRUJWSGNkRzI2eGRPeUVNVmRTdGFUd1VPdlM2ZmlIdUNFcXNfZVFiWW0yWE4wQTVzQ3BkQlRQYTBHeWRoUGJFbUNXaGpyTmJ4VEcwMm9RSloyeVNya3M3Q0w3MEdIdExIZ1hHaDBla0kyWWUwNFhCMjJKQ0M0d1ppMUxza0JvNjJfVFdQQVRDYS0tNHdjZEFkMHZpSThVbDB3T3VnS1pGUjlWanE2WTNYLVZkS2NtTF83M1NmWVI2WmRsSUFWclZuMNIBsAJBVV95cUxOX1JhMmRrbjd5TnRHUzVYOVJ4S2VnSnEtWEhKZUNMcVZyY2R6MzQ0LWtjYkdUZlRENndaNU94djYzWUFOTE5sWFIyZnFKY1JGZE55bEN2bXhMMnZJckVPZ0tYQUdadXNmX09rUXFkeXROTndLNm9rN3JSckhXeW9JOTNMa2V0eFVjZG9DMTFWdWMzOUpkWWg1cWVNM01VQnFxOXgwQ2U4N2JrSXhxb1AwREVoSWpwdXBBMXpST3Rfb1NGTkt3QmJ6SmsxbkE0TjJFdFhJSGpOZ3BiUm9vYmVvMGwwMXJWS0h6aENoQlpOMG1nMTRic0xiWjF2dkhYS1U1WGJzNFRyVDJtck43Z1VUb2Z0SF9rZDlDYlFSdm0yakFsa0R2cXpvdDFiVXBNeENy?oc=5"" target=""_blank"">IMD issues rain warning: Heavy to very heavy showers forecast across several Indian states; what travelle</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"'Entire family got swept away, cousin saved by a whisker': Kin of Nepal flash flood victims recounts tragedy - Tripura Chronicle",https://news.google.com/rss/articles/CBMi3AFBVV95cUxPa1RDTmE2RVU1Yk5mUUxnbUVoTTNwYUR5T0N0b2V5MVRzT1lwZVNrV3RzR24yYk9Td0xXU29aWVZJdE5sRnBZRGp5OFpuMGpJSXc1enlsSFlWME1teVhjMkNGcUxZWkpab2ozTk80YWRIY1NvbTVydHJMTjFTNGotUXlTb1B6VExEZ2d1c2N0Tk1OWEhlTHNYbjFlajRPMkxiUnIzY2lpZDdBYlI2WF9HNFNQZWVYVTBCM3AtWEtKZ2ljRVh2TXZxRU5BcTNneE1laHN2SjVlQ2lRcTky?oc=5,2026-08-30 15:06:39,Tripura Chronicle,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxPa1RDTmE2RVU1Yk5mUUxnbUVoTTNwYUR5T0N0b2V5MVRzT1lwZVNrV3RzR24yYk9Td0xXU29aWVZJdE5sRnBZRGp5OFpuMGpJSXc1enlsSFlWME1teVhjMkNGcUxZWkpab2ozTk80YWRIY1NvbTVydHJMTjFTNGotUXlTb1B6VExEZ2d1c2N0Tk1OWEhlTHNYbjFlajRPMkxiUnIzY2lpZDdBYlI2WF9HNFNQZWVYVTBCM3AtWEtKZ2ljRVh2TXZxRU5BcTNneE1laHN2SjVlQ2lRcTky?oc=5"" target=""_blank"">'Entire family got swept away, cousin saved by a whisker': Kin of Nepal flash flood victims recounts tragedy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tripura Chronicle</font>",Monsoon,en
Nepal floods: Indian forensic experts to help with DNA analysis of victims - Tripura Chronicle,https://news.google.com/rss/articles/CBMiswFBVV95cUxOUUFzMVViblJFOHRvaG5EUHk3VWlsUEZCcmpVOWgyU1dJdm1tQnlya1FBQ1A3dEF5ejBfOEJkV1VySnh6RGg1S1BSYmFGYmhDQU5FWTRvSDZGYnlEWEVmZjVSVHVCZWxTYjhSdFJqdFNtZE5CUTEwMDFZUl9mWW9LRDByYXFKN2xwYUpPNWdFTVVpeWhoTkRSdGVkY1lWNDVsRWUwbXRmVTJ0NHdfUExpU2JDcw?oc=5,2026-08-30 15:00:24,Tripura Chronicle,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOUUFzMVViblJFOHRvaG5EUHk3VWlsUEZCcmpVOWgyU1dJdm1tQnlya1FBQ1A3dEF5ejBfOEJkV1VySnh6RGg1S1BSYmFGYmhDQU5FWTRvSDZGYnlEWEVmZjVSVHVCZWxTYjhSdFJqdFNtZE5CUTEwMDFZUl9mWW9LRDByYXFKN2xwYUpPNWdFTVVpeWhoTkRSdGVkY1lWNDVsRWUwbXRmVTJ0NHdfUExpU2JDcw?oc=5"" target=""_blank"">Nepal floods: Indian forensic experts to help with DNA analysis of victims</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tripura Chronicle</font>",Monsoon,en
