Title,Link,Date,Source,Summary,Term,LanguageQueried
IMD अलर्ट: उत्तर भारत के इन 8 राज्यों में 25 जनवरी तक भारी बारिश और तूफान का खतरा! - rightnewsindia.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPcldjSW8ycWpWb2VmQ0V0SnlBb1FQTnJ1ZjZBQU1aYmFLMktiTVBEZjhLaC1DTDZUYzI1WUJtdy00SkQ2Z1I0akh2cm9yanN0d3dENTNTem9zZVJodVVqSkVsY2I4eUw5WXBUV1lXMERHbmFkZVBuNHdaUnJVblI1YWwwUTBwQkZrVG5UOC1ldUwwYzdWRHMtMXVlaFlyN1p6Y3lrZUxzbVFMa1RjZVVCVUJ0NzZpLWxuSlQ4?oc=5,2026-01-22 08:50:54,rightnewsindia.com,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPcldjSW8ycWpWb2VmQ0V0SnlBb1FQTnJ1ZjZBQU1aYmFLMktiTVBEZjhLaC1DTDZUYzI1WUJtdy00SkQ2Z1I0akh2cm9yanN0d3dENTNTem9zZVJodVVqSkVsY2I4eUw5WXBUV1lXMERHbmFkZVBuNHdaUnJVblI1YWwwUTBwQkZrVG5UOC1ldUwwYzdWRHMtMXVlaFlyN1p6Y3lrZUxzbVFMa1RjZVVCVUJ0NzZpLWxuSlQ4?oc=5"" target=""_blank"">IMD अलर्ट: उत्तर भारत के इन 8 राज्यों में 25 जनवरी तक भारी बारिश और तूफान का खतरा!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">rightnewsindia.com</font>",Monsoon,hi
"Weather Update: अगले 48 घंटे इन राज्यों पर भारी, ओले-बारिश और तूफानी हवाओं का रेड अलर्ट! - rightnewsindia.com",https://news.google.com/rss/articles/CBMipwFBVV95cUxQQkNfRzMtUHdwQ2lwQzJsWmVhU0pYVzJjMjFEa3FzekMtMHNJZWRMTTlzcHJNZFpybjB4X0lHYXJtc1JFN0RtS2k0OVFqNS1iNTB1Q2NFNmRuV1pzVXk0cy1tVExmQjBObkJqcFM3QnhrYnFqbEJNYVYtRjk2WDJDZXVGU3h1a2NodG1nN1Y1R2ExZVVTRjRXVVhNRElRcXNhQjJMc0Rybw?oc=5,2026-01-22 01:07:58,rightnewsindia.com,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQQkNfRzMtUHdwQ2lwQzJsWmVhU0pYVzJjMjFEa3FzekMtMHNJZWRMTTlzcHJNZFpybjB4X0lHYXJtc1JFN0RtS2k0OVFqNS1iNTB1Q2NFNmRuV1pzVXk0cy1tVExmQjBObkJqcFM3QnhrYnFqbEJNYVYtRjk2WDJDZXVGU3h1a2NodG1nN1Y1R2ExZVVTRjRXVVhNRElRcXNhQjJMc0Rybw?oc=5"" target=""_blank"">Weather Update: अगले 48 घंटे इन राज्यों पर भारी, ओले-बारिश और तूफानी हवाओं का रेड अलर्ट!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">rightnewsindia.com</font>",Monsoon,hi
"Aaj Ka Mausam: दिल्ली समेत 8 राज्यों में भारी बारिश की आशंका, गिरेगा पारा, बढ़ेगी ठंड, Weather अपडेट - Oneindia Hindi",https://news.google.com/rss/articles/CBMi4gFBVV95cUxQeDdYaVZYR0VzbGZDNk55cUtibTFjVmpNOTF4dTlFSHhlaDFZTzF1dlM4WXcwRGVJcVVZT2JRdDBiRGREa3pVTDN1ZFd0ZEt5SzFfVEhrSkZUdDVNS1VDbk1OVHluN3hRa1dhNTVZRk8wc3owa2NFQ296dUszalpmUmZaTWIzdUMzbFJ2cXh1Q1JyU0ZtUlFKcWpySEhSZUhWbEVnc0tTLUMtdnU4cExLZHg1WTBFWFYzVU5YbFBQeU1VR0JwNjJ6Tkc4NVB4VHpjTGhpOXRIWE5hLTlJRWJ0TWd3?oc=5,2026-01-22 08:22:44,Oneindia Hindi,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQeDdYaVZYR0VzbGZDNk55cUtibTFjVmpNOTF4dTlFSHhlaDFZTzF1dlM4WXcwRGVJcVVZT2JRdDBiRGREa3pVTDN1ZFd0ZEt5SzFfVEhrSkZUdDVNS1VDbk1OVHluN3hRa1dhNTVZRk8wc3owa2NFQ296dUszalpmUmZaTWIzdUMzbFJ2cXh1Q1JyU0ZtUlFKcWpySEhSZUhWbEVnc0tTLUMtdnU4cExLZHg1WTBFWFYzVU5YbFBQeU1VR0JwNjJ6Tkc4NVB4VHpjTGhpOXRIWE5hLTlJRWJ0TWd3?oc=5"" target=""_blank"">Aaj Ka Mausam: दिल्ली समेत 8 राज्यों में भारी बारिश की आशंका, गिरेगा पारा, बढ़ेगी ठंड, Weather अपडेट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia Hindi</font>",Monsoon,hi
"Weather Warning: Rain in Delhi today? Cold wave continues in Punjab, Haryana, Rajasthan, Uttar Pradesh, Adamp - india.com",https://news.google.com/rss/articles/CBMiwgJBVV95cUxQRXFmMkxybGNPSVc1RE12b0duNWxwY0I4aENfM3FDTlRVTlFSRi04R1d6ZTcxWDBFcVhvTGVVZHNsSktMRFB2dVJTcmlOMG5ISUNEd1g1alNhTVNXbjBlMkIzZU1kXzZlM2FVU3o2WjVtQ1FfdzdORmlIdlhWQ2pJU0U4OC1NeTJKa0NURm5IMGZBZVdnNGRzX1Fjbzc3RVBJazdlMVRfNHRjaXBTSlprdDJrWVhFLU94czNfRElTZGpPYnN0enNNalZWVUQ5blc1VGxRMXZ0b19IT292RVJGS0ZaWmFpNjVfalYzVDJaTVAwN3FwX0dyVEhWOTRUT1FYN1pCQUNQUzZoUEhUa1c0bEtYVXZiX096T1pNTHVTTjBQMFFRa1doXzl0NTlNTnpjNndaTk1tLTFRNFhJUjl2Qi130gHHAkFVX3lxTE94QnNYZmE5V1lnTG5uNVVFOWVwQ2d4RlNpMEg4YXhyRnExZTFrdWhZUFRBdlZMOGtrX2kxaHhoSU43U0VwNjc3c2czNGptVUw0cW1Dc3pCd3otQmVyZzdLWmpjLWVZZ294TFhFcFoxeUh3SDRJanlQNHVHSWdOQkJDUmc5Z1B6TWNMVTM0d3VHYzVrR25KYnYwZ1NBazhiNXVKRnlMVUEwTE5fR2lFaTdYTHV3aENrSzFUOUFjVjVWeWcwYmtjakZVX2VUQXcwb3ZaSFVGVGN4Vkg1Y0pYM25oMzFUREpwYUh1a1NrVWNta1ZucF9razJlZ1YxR0FIMkFRVGZNM3RyU1pVaGNBbW02c1VNaGgyTmItTmpJMTA3cV9mWmx2ZnZqTWlmZ3J3VGVpTlNOVW5kQ0VkT2s5VFB5eDlYR1ljYw?oc=5,2026-01-22 06:52:55,india.com,"<a href=""https://news.google.com/rss/articles/CBMiwgJBVV95cUxQRXFmMkxybGNPSVc1RE12b0duNWxwY0I4aENfM3FDTlRVTlFSRi04R1d6ZTcxWDBFcVhvTGVVZHNsSktMRFB2dVJTcmlOMG5ISUNEd1g1alNhTVNXbjBlMkIzZU1kXzZlM2FVU3o2WjVtQ1FfdzdORmlIdlhWQ2pJU0U4OC1NeTJKa0NURm5IMGZBZVdnNGRzX1Fjbzc3RVBJazdlMVRfNHRjaXBTSlprdDJrWVhFLU94czNfRElTZGpPYnN0enNNalZWVUQ5blc1VGxRMXZ0b19IT292RVJGS0ZaWmFpNjVfalYzVDJaTVAwN3FwX0dyVEhWOTRUT1FYN1pCQUNQUzZoUEhUa1c0bEtYVXZiX096T1pNTHVTTjBQMFFRa1doXzl0NTlNTnpjNndaTk1tLTFRNFhJUjl2Qi130gHHAkFVX3lxTE94QnNYZmE5V1lnTG5uNVVFOWVwQ2d4RlNpMEg4YXhyRnExZTFrdWhZUFRBdlZMOGtrX2kxaHhoSU43U0VwNjc3c2czNGptVUw0cW1Dc3pCd3otQmVyZzdLWmpjLWVZZ294TFhFcFoxeUh3SDRJanlQNHVHSWdOQkJDUmc5Z1B6TWNMVTM0d3VHYzVrR25KYnYwZ1NBazhiNXVKRnlMVUEwTE5fR2lFaTdYTHV3aENrSzFUOUFjVjVWeWcwYmtjakZVX2VUQXcwb3ZaSFVGVGN4Vkg1Y0pYM25oMzFUREpwYUh1a1NrVWNta1ZucF9razJlZ1YxR0FIMkFRVGZNM3RyU1pVaGNBbW02c1VNaGgyTmItTmpJMTA3cV9mWmx2ZnZqTWlmZ3J3VGVpTlNOVW5kQ0VkT2s5VFB5eDlYR1ljYw?oc=5"" target=""_blank"">Weather Warning: Rain in Delhi today? Cold wave continues in Punjab, Haryana, Rajasthan, Uttar Pradesh, Adamp</a>&nbsp;&nbsp;<font color=""#6f6f6f"">india.com</font>",Monsoon,en
"Monsoon Update – 5 States to Witness Thunderstorms and Heavy Rainfall, Check Forecast - Timesbull",https://news.google.com/rss/articles/CBMi0AFBVV95cUxNcVFiZ21BczZ4WlRKUV9aWjRYZjhabkJjYlg4MmpxVENjYkliRnJhZFpzVkZDZVVHNTVKZlZfSWJsd1lFVEJWSDFrWnpmZEVZdWRWcnU0SmRGWjdRUW9DREZ0VFNiS2hLNU9OTzRtcWVBd0NNYl91eXZHaWk2ZmZfNFBVRVBmcUJQY0VfNjVOWFdkUWh6X0RVcUtneXhVRUdVNEc3VndtMWtRMXhybjg3cW1nV3Uwc0t6ZDhHM2FIcG0xUDAzdi1PbVRBc3UyNnJu0gHQAUFVX3lxTE1xUWJnbUFzNnhaVEpRX1paNFhmOFpuQmNiWDgyanFUQ2NiSWJGcmFkWnNWRkNlVUc1NUpmVl9JYmx3WUVUQlZIMWtaemZkRVl1ZFZydTRKZEZaN1FRb0NERnRUU2JLaEs1T05PNG1xZUF3Q01iX3V5dkdpaTZmZl80UFVFUGZxQlBjRV82NU5YV2RRaHpfRFVxS2d5eFVFR1U0RzdWd20xa1ExeHJuODdxbWdXdTBzS3pkOEczYUhwbTFQMDN2LU9tVEFzdTI2cm4?oc=5,2026-01-22 06:51:16,Timesbull,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNcVFiZ21BczZ4WlRKUV9aWjRYZjhabkJjYlg4MmpxVENjYkliRnJhZFpzVkZDZVVHNTVKZlZfSWJsd1lFVEJWSDFrWnpmZEVZdWRWcnU0SmRGWjdRUW9DREZ0VFNiS2hLNU9OTzRtcWVBd0NNYl91eXZHaWk2ZmZfNFBVRVBmcUJQY0VfNjVOWFdkUWh6X0RVcUtneXhVRUdVNEc3VndtMWtRMXhybjg3cW1nV3Uwc0t6ZDhHM2FIcG0xUDAzdi1PbVRBc3UyNnJu0gHQAUFVX3lxTE1xUWJnbUFzNnhaVEpRX1paNFhmOFpuQmNiWDgyanFUQ2NiSWJGcmFkWnNWRkNlVUc1NUpmVl9JYmx3WUVUQlZIMWtaemZkRVl1ZFZydTRKZEZaN1FRb0NERnRUU2JLaEs1T05PNG1xZUF3Q01iX3V5dkdpaTZmZl80UFVFUGZxQlBjRV82NU5YV2RRaHpfRFVxS2d5eFVFR1U0RzdWd20xa1ExeHJuODdxbWdXdTBzS3pkOEczYUhwbTFQMDN2LU9tVEFzdTI2cm4?oc=5"" target=""_blank"">Monsoon Update – 5 States to Witness Thunderstorms and Heavy Rainfall, Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Timesbull</font>",Monsoon,en
"What’s the weather today: IMD warns of heavy rain, snowfall and thunderstorms in these northwestern state - Times of India",https://news.google.com/rss/articles/CBMiowJBVV95cUxNMmh6Mjk5TENvXzExeDFVWWEzcWVBT0VuN1g0Z1Z3dF9FR0NpU0hnV09YVTg3aFRfZzZuWkhTZUxUVlhpTU1WYWk5bVpMZHN6LTY0blFkYUFCblI0LWhtZVFDTUg5MXAzVEVNTDdKWDlpM0tRNEFELVZLZzlTVkNvLUdITkd0NjNpRENCbVUwcTFjS0pETzJIbjVKUWxzWDBaQWZod29VVnc2R05Wb1FLWHhxYThNWU1sQWJvRl9jbE85U3FsM1Z2QUFRVG9qdzJwUmpPQTdEVkgyTmJqZEhKZTFmUVJIWWVqbmV2S3lNMmJnVTAyc1Q4dFExZzRldEZfU011V2Z3MDEySVpWXzkyYnNfdThaVm92b1hCbWFkTVRMbknSAagCQVVfeXFMUHdfUDcxaE5FVUs2WDI4WGEzS184UVF5MjVkSTkzTmZGMUNYV0NtcW1jVkQwQWl3di1zRXZYNVlMM3AtYnBPZW9fRVd5eG1UQ3B4UGVvSkZOTzlhaUlFUDhYeUtUR0dwU2tXX3BKdEtZRFB3ZERkckZlRTZpQ0VFOG1VNmR3VEhOZHdJdHhOMEJWTERjQVlzU2JsWXFzaWRkbkF1THNXSU9FN2xYOVp4UDRhZF9aSVY3LUhNNWRvdE52d214TERTY2huTndsbkpQZm0xN0RnNWhjcXUyOUMzbGFaWjBOWksyOThsMWNwTEs5c083LXBKUjNBZjM0NnA0aXBfVi1mYl9IaUVQTU1RWTNMMVZ5NzBxWk9IN0R0cF9meTVBOEpSdVM?oc=5,2026-01-22 07:27:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiowJBVV95cUxNMmh6Mjk5TENvXzExeDFVWWEzcWVBT0VuN1g0Z1Z3dF9FR0NpU0hnV09YVTg3aFRfZzZuWkhTZUxUVlhpTU1WYWk5bVpMZHN6LTY0blFkYUFCblI0LWhtZVFDTUg5MXAzVEVNTDdKWDlpM0tRNEFELVZLZzlTVkNvLUdITkd0NjNpRENCbVUwcTFjS0pETzJIbjVKUWxzWDBaQWZod29VVnc2R05Wb1FLWHhxYThNWU1sQWJvRl9jbE85U3FsM1Z2QUFRVG9qdzJwUmpPQTdEVkgyTmJqZEhKZTFmUVJIWWVqbmV2S3lNMmJnVTAyc1Q4dFExZzRldEZfU011V2Z3MDEySVpWXzkyYnNfdThaVm92b1hCbWFkTVRMbknSAagCQVVfeXFMUHdfUDcxaE5FVUs2WDI4WGEzS184UVF5MjVkSTkzTmZGMUNYV0NtcW1jVkQwQWl3di1zRXZYNVlMM3AtYnBPZW9fRVd5eG1UQ3B4UGVvSkZOTzlhaUlFUDhYeUtUR0dwU2tXX3BKdEtZRFB3ZERkckZlRTZpQ0VFOG1VNmR3VEhOZHdJdHhOMEJWTERjQVlzU2JsWXFzaWRkbkF1THNXSU9FN2xYOVp4UDRhZF9aSVY3LUhNNWRvdE52d214TERTY2huTndsbkpQZm0xN0RnNWhjcXUyOUMzbGFaWjBOWksyOThsMWNwTEs5c083LXBKUjNBZjM0NnA0aXBfVi1mYl9IaUVQTU1RWTNMMVZ5NzBxWk9IN0R0cF9meTVBOEpSdVM?oc=5"" target=""_blank"">What’s the weather today: IMD warns of heavy rain, snowfall and thunderstorms in these northwestern state</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Monsoon,en
"UP Rains: Hailstorm Alert in 15 Districts of Uttar Pradesh, Stormy Rain Expected in 41 Districts Tomorrow, IMD Latest Update - Patrika News",https://news.google.com/rss/articles/CBMi_AFBVV95cUxQbWlMcGhzUGh0NHJOR0FEQnJLeEZZLWNGNzZJUGYyR21mMlROdDhwTXR3NXNMMXNvM1NyeG41eE4xalNpN09fcWxuRGY4X2FDUzhhbllreFRZUW1kUmp1VDVzREFXekNvT0E2S3JHQmg2LTFvaXlJOE1rYVViWE5QeWtDeFdGLTlaMjVBUmZQMjVVODlSQlVxZkxTcHd6c0hwQ0FqOWNVUHlYUTBpRUVFT1RzOXBhY1EyMlF1S2VtVlJCVVFJS2cyOVRTVWd3d29Ba3JWajdJeUtvV2w0QTFGbjI2UDd6djMyR0tSc1pDSTBHS1Z3c2N2MjRWd1HSAYICQVVfeXFMUDZFZ1dtZVNpVFEwVm9WSGtsNGJnNVVqbzZWR0h2QllQb1dqRUVLTTFBWldKUW9xVVFvVUtaU1I3TjZQT2xDSm5vakFKczB0a19Ub2ZLSEFmcGFCczQ3YlJMYnRXZjhELS1WZ1JlaWNIM1ZYMXFMSzlBWEZXMmYyRFpXTkI3UlZtNWVpeEx1WmRNZWQwY0w0TXRXazRBbkJHNzdUbnNZQmo2NGxqU0hXNEd4S3EwQVhheWZIemJwejBvWTZ5Z2NpdWhBd0ZUa1I4cjAzMEhvSl9XM3BXTXQtZkRsUEFmMTREblF4cUp2WmRfLXpSRTIwelRIWE9qUVA5WDZ3?oc=5,2026-01-22 10:34:14,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxQbWlMcGhzUGh0NHJOR0FEQnJLeEZZLWNGNzZJUGYyR21mMlROdDhwTXR3NXNMMXNvM1NyeG41eE4xalNpN09fcWxuRGY4X2FDUzhhbllreFRZUW1kUmp1VDVzREFXekNvT0E2S3JHQmg2LTFvaXlJOE1rYVViWE5QeWtDeFdGLTlaMjVBUmZQMjVVODlSQlVxZkxTcHd6c0hwQ0FqOWNVUHlYUTBpRUVFT1RzOXBhY1EyMlF1S2VtVlJCVVFJS2cyOVRTVWd3d29Ba3JWajdJeUtvV2w0QTFGbjI2UDd6djMyR0tSc1pDSTBHS1Z3c2N2MjRWd1HSAYICQVVfeXFMUDZFZ1dtZVNpVFEwVm9WSGtsNGJnNVVqbzZWR0h2QllQb1dqRUVLTTFBWldKUW9xVVFvVUtaU1I3TjZQT2xDSm5vakFKczB0a19Ub2ZLSEFmcGFCczQ3YlJMYnRXZjhELS1WZ1JlaWNIM1ZYMXFMSzlBWEZXMmYyRFpXTkI3UlZtNWVpeEx1WmRNZWQwY0w0TXRXazRBbkJHNzdUbnNZQmo2NGxqU0hXNEd4S3EwQVhheWZIemJwejBvWTZ5Z2NpdWhBd0ZUa1I4cjAzMEhvSl9XM3BXTXQtZkRsUEFmMTREblF4cUp2WmRfLXpSRTIwelRIWE9qUVA5WDZ3?oc=5"" target=""_blank"">UP Rains: Hailstorm Alert in 15 Districts of Uttar Pradesh, Stormy Rain Expected in 41 Districts Tomorrow, IMD Latest Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Monsoon,en
"UP Weather: There will be hailstorm and heavy rain along with strong winds in UP, IMD alert - informalnewz",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNUlpoZ0VucWVqMGM3M0xRQVZWRzVJM1hySjVXWG9aOTZ4N29rREMxSEtOVDdCLUF2UEwteWJ0cFYtVFBNUDJsSlprLVZfVjBqMFQ1eUczTmUwVVlSOWdELUtlZjdkc2hmaVhYaG5ZYS02VFpDaVVXc3pwbGx6ekxRS3E1RDBkTUI2YzMzbGp5cVNEWHI2VFZwLWhrVWpZdFBjUU9rZWYwWXpjSURSbUxlZzh5eEd6b3VDTTFr0gG7AUFVX3lxTE1SWmhnRW5xZWowYzczTFFBVlZHNUkzWHJKNVdYb1o5Nng3b2tEQzFIS05UN0ItQXZQTC15YnRwVi1UUE1QMmxKWmstVl9WMGowVDV5RzNOZTBVWVI5Z0QtS2VmN2RzaGZpWFhobllhLTZUWkNpVVdzenBsbHp6TFFLcTVEMGRNQjZjMzNsanlxU0RYcjZUVnAtaGtVall0UGNRT2tlZjBZemNJRFJtTGVnOHl4R3pvdUNNMWs?oc=5,2026-01-22 09:17:44,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNUlpoZ0VucWVqMGM3M0xRQVZWRzVJM1hySjVXWG9aOTZ4N29rREMxSEtOVDdCLUF2UEwteWJ0cFYtVFBNUDJsSlprLVZfVjBqMFQ1eUczTmUwVVlSOWdELUtlZjdkc2hmaVhYaG5ZYS02VFpDaVVXc3pwbGx6ekxRS3E1RDBkTUI2YzMzbGp5cVNEWHI2VFZwLWhrVWpZdFBjUU9rZWYwWXpjSURSbUxlZzh5eEd6b3VDTTFr0gG7AUFVX3lxTE1SWmhnRW5xZWowYzczTFFBVlZHNUkzWHJKNVdYb1o5Nng3b2tEQzFIS05UN0ItQXZQTC15YnRwVi1UUE1QMmxKWmstVl9WMGowVDV5RzNOZTBVWVI5Z0QtS2VmN2RzaGZpWFhobllhLTZUWkNpVVdzenBsbHp6TFFLcTVEMGRNQjZjMzNsanlxU0RYcjZUVnAtaGtVall0UGNRT2tlZjBZemNJRFJtTGVnOHl4R3pvdUNNMWs?oc=5"" target=""_blank"">UP Weather: There will be hailstorm and heavy rain along with strong winds in UP, IMD alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Monsoon,en
"उत्तर भारत में जारी सर्दी का कहर: कश्मीर-हिमाचल में भारी बर्फबारी, दिल्ली-यूपी में बारिश का अलर्ट - weather update heavy rain north india winter forecast imd delhi ncr to up bihar haryana punjab jammu kashmir himachal pr - Jagran",https://news.google.com/rss/articles/CBMijgJBVV95cUxOX1VSR2hzc1U0a3ZISllWc09lTEk3X1VIV3RxV3YxRndqdUFIMjlIRlJVVDdBN2JxU3ozbWVTSmxlX2ttbDBOZTJsUlBLVWhyUDNqcHkxMHk5MUZvbkJLT0otZmUzVXVXWVl0Nk05ZS1YZU4zVE96NmFmTE1xUFFyazR1dVRBcTJsMmFtRDNNUUQ2M0FWdFl4cXljOHR1aTd0MEJXb0x5M25lXzRfcnU3amlYSWVnSU1sc2dEQ0lsWk11dXcweUNyWHN5RjJHLTFjUHlGM1pOVl9aaHhKejNVQ2YyM3ptS2NteF85elpRVnIxNngtU3pia0xkdlRpQjdDM1VXNXFPVGxhaFBnUkE?oc=5,2026-01-22 05:30:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxOX1VSR2hzc1U0a3ZISllWc09lTEk3X1VIV3RxV3YxRndqdUFIMjlIRlJVVDdBN2JxU3ozbWVTSmxlX2ttbDBOZTJsUlBLVWhyUDNqcHkxMHk5MUZvbkJLT0otZmUzVXVXWVl0Nk05ZS1YZU4zVE96NmFmTE1xUFFyazR1dVRBcTJsMmFtRDNNUUQ2M0FWdFl4cXljOHR1aTd0MEJXb0x5M25lXzRfcnU3amlYSWVnSU1sc2dEQ0lsWk11dXcweUNyWHN5RjJHLTFjUHlGM1pOVl9aaHhKejNVQ2YyM3ptS2NteF85elpRVnIxNngtU3pia0xkdlRpQjdDM1VXNXFPVGxhaFBnUkE?oc=5"" target=""_blank"">उत्तर भारत में जारी सर्दी का कहर: कश्मीर-हिमाचल में भारी बर्फबारी, दिल्ली-यूपी में बारिश का अलर्ट - weather update heavy rain north india winter forecast imd delhi ncr to up bihar haryana punjab jammu kashmir himachal pr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,ur
"Heavy Rain Alert: इस राज्य में आने वाले 36 घंटे तक बरसेंगे बादल, IMD ने ओलावृष्टि के साथ तेज हवाओं का भी अलर्ट किया जारी - Punjab Kesari",https://news.google.com/rss/articles/CBMiugFBVV95cUxNNzN3TDFDV3lnNmlYUURyWkRsNXdtdHp0S0xLY2d2VGwweFk2MTNoR05RTUs5TG5XVUhaU3NmM2s1NlRkWGlKWkdCT1hzcDBIaUNlOXk3U1M4dmxMdms0UGI5eFQ4Ri04SGhkUkl0QmRrcWtiY1QzQk9ERkFEbm43aktIZHk1V2oybDNJNkVnOTFUTGprd3o4V1VSd3JpMnk0MUJhSlZTT040Snp2M25Rb0MzYXRSRjV1TGfSAbwBQVVfeXFMTl9wUTRBSnpMMHZkYXVoWWE5aktHV09kU0JuWF9UMWVRVFU4bDhNd2s4d3FHV1ptbm1la3lKVnZlNVRtQVZqZm93R0xXUFNlREh3NVVpNkk5d2E5bHBpa2Z2WHVIRTNKdDZ2ZFpQQV9zbTFTdjlNUnRQb3JXNXNveHlJY1Y1djRwUFdBOGEwWHhmNnZpY0ppWUJKSXhMdmRHT3M2Z2c4cFBWOHRiWXJURWVhRm1QN0NaRDNFeHY?oc=5,2026-01-22 09:36:20,Punjab Kesari,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNNzN3TDFDV3lnNmlYUURyWkRsNXdtdHp0S0xLY2d2VGwweFk2MTNoR05RTUs5TG5XVUhaU3NmM2s1NlRkWGlKWkdCT1hzcDBIaUNlOXk3U1M4dmxMdms0UGI5eFQ4Ri04SGhkUkl0QmRrcWtiY1QzQk9ERkFEbm43aktIZHk1V2oybDNJNkVnOTFUTGprd3o4V1VSd3JpMnk0MUJhSlZTT040Snp2M25Rb0MzYXRSRjV1TGfSAbwBQVVfeXFMTl9wUTRBSnpMMHZkYXVoWWE5aktHV09kU0JuWF9UMWVRVFU4bDhNd2s4d3FHV1ptbm1la3lKVnZlNVRtQVZqZm93R0xXUFNlREh3NVVpNkk5d2E5bHBpa2Z2WHVIRTNKdDZ2ZFpQQV9zbTFTdjlNUnRQb3JXNXNveHlJY1Y1djRwUFdBOGEwWHhmNnZpY0ppWUJKSXhMdmRHT3M2Z2c4cFBWOHRiWXJURWVhRm1QN0NaRDNFeHY?oc=5"" target=""_blank"">Heavy Rain Alert: इस राज्य में आने वाले 36 घंटे तक बरसेंगे बादल, IMD ने ओलावृष्टि के साथ तेज हवाओं का भी अलर्ट किया जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Punjab Kesari</font>",Monsoon,ur
