Title,Link,Date,Source,Summary,Term,LanguageQueried
"उत्तराखंड में मॉनसून का कहर जारी, आज इन पांच जिलों में भारी बारिश का अलर्ट - Hindustan",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQZ2NQNmE4TlprU1FtaFI4T2RnUlZmYWlzSXYxZk5Xb0JqWk5XUkhTZWowS0dVdG5jM1hUR3ZLMHlWa25SSzhqbFkwOTBMdmx0WDItVkZRcGtYcm9VZVhFeEZVdGMyNVlmeEJ5d19IcWt5Rzk1RURsTkg5TjBOQTltNnhRRkgwWFd0TXdaeGJ4bUZfX2pKQ3N1LTNMdUZ0YnFSUjdibGgwV0JsQ1RUb3lNaE00dzM5UGpCTFlicHY5dzV4bGd2SmgtSmY0bnBnOGN5T09n0gHTAUFVX3lxTFBnY1A2YThOWmtTUW1oUjhPZGdSVmZhaXNJdjFmTldvQmpaTldSSFNlajBLR1V0bmMzWFRHdksweVZrblJLOGpsWTA5MEx2bHRYMi1WRlFwa1hyb1VlWEV4RlV0YzI1WWZ4Qnl3X0hxa3lHOTVFRGxOSDlOME5BOW02eFFGSDBYV3RNd1p4YnhtRl9fakpDc3UtM0x1RnRicVJSN2JsaDBXQmxDVFRveU1oTTR3MzlQakJMWWJwdjl3NXhsZ3ZKaC1KZjRucGc4Y3lPT2c?oc=5,2025-07-17 08:35:36,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQZ2NQNmE4TlprU1FtaFI4T2RnUlZmYWlzSXYxZk5Xb0JqWk5XUkhTZWowS0dVdG5jM1hUR3ZLMHlWa25SSzhqbFkwOTBMdmx0WDItVkZRcGtYcm9VZVhFeEZVdGMyNVlmeEJ5d19IcWt5Rzk1RURsTkg5TjBOQTltNnhRRkgwWFd0TXdaeGJ4bUZfX2pKQ3N1LTNMdUZ0YnFSUjdibGgwV0JsQ1RUb3lNaE00dzM5UGpCTFlicHY5dzV4bGd2SmgtSmY0bnBnOGN5T09n0gHTAUFVX3lxTFBnY1A2YThOWmtTUW1oUjhPZGdSVmZhaXNJdjFmTldvQmpaTldSSFNlajBLR1V0bmMzWFRHdksweVZrblJLOGpsWTA5MEx2bHRYMi1WRlFwa1hyb1VlWEV4RlV0YzI1WWZ4Qnl3X0hxa3lHOTVFRGxOSDlOME5BOW02eFFGSDBYV3RNd1p4YnhtRl9fakpDc3UtM0x1RnRicVJSN2JsaDBXQmxDVFRveU1oTTR3MzlQakJMWWJwdjl3NXhsZ3ZKaC1KZjRucGc4Y3lPT2c?oc=5"" target=""_blank"">उत्तराखंड में मॉनसून का कहर जारी, आज इन पांच जिलों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Monsoon,hi
"Uttarakhand Weather: पांच जिलों में भारी बारिश का ऑरेंज अलर्ट, जिलाधिकारियों को सतर्क रहने के निर्देश - Amar Ujala",https://news.google.com/rss/articles/CBMigwJBVV95cUxPMko1ejNib3p3NmppNE40Tjk4VE11NXQtbUY2TXFuTzRSY0RpNmRXZmdjU2FpcjFXWXFXSVpEMjdzc1J0NWU1SWdSYzJfSkZWX0tFdnZab2pnUmlXWXZ6aV9JS0dVTkFZRkoxNElGR0ViUDFRem8wU1lwVHpzcHRJX1dQaXBQUVpMWHZjNWI0NU9vRHlwclM5VU1hZzJHVnMzZWVmZTJEaTRwakVOQTJmbXVQRGxtYzBLMFRhSTZRV1ZOR2lRRllKemFIeTlMWks4a09kMUVON0hFWmFzX3QxQWRLcDhpbTQwZHNYQkpQVGVUNkducWhxdVdJai1vWHptYmlR0gHvAUFVX3lxTE5WQmpKb0dJblJ3bmtfSVBCY2pNNnhjRnZpT1FzOEpUM1FjZE90UC1qVkEyc2N0ZWpsbHphSTVPM3Z5c2d1NjhNRW41Mk5pNHU4UDU3VEJvX3M4b3NZSzFjcFFBalJRVlN2SGpoRDBIdWpBRF9CZDNva1A0c1JBRkRJaVlzcFZkak5vS1BPSFVOU0sxSldCS0pYZFNKSGF4QjJBX09ZQlNKRE95OUVuVnV0YnNSU2hDSFVEbmdJUXh6ZEJiOWE0XzJvTnVpdGFUdU1ZYUFKdTZJMWh1X0JIdWllaEhxRE9OdnhrMFFUQ1FJ?oc=5,2025-07-17 01:00:02,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxPMko1ejNib3p3NmppNE40Tjk4VE11NXQtbUY2TXFuTzRSY0RpNmRXZmdjU2FpcjFXWXFXSVpEMjdzc1J0NWU1SWdSYzJfSkZWX0tFdnZab2pnUmlXWXZ6aV9JS0dVTkFZRkoxNElGR0ViUDFRem8wU1lwVHpzcHRJX1dQaXBQUVpMWHZjNWI0NU9vRHlwclM5VU1hZzJHVnMzZWVmZTJEaTRwakVOQTJmbXVQRGxtYzBLMFRhSTZRV1ZOR2lRRllKemFIeTlMWks4a09kMUVON0hFWmFzX3QxQWRLcDhpbTQwZHNYQkpQVGVUNkducWhxdVdJai1vWHptYmlR0gHvAUFVX3lxTE5WQmpKb0dJblJ3bmtfSVBCY2pNNnhjRnZpT1FzOEpUM1FjZE90UC1qVkEyc2N0ZWpsbHphSTVPM3Z5c2d1NjhNRW41Mk5pNHU4UDU3VEJvX3M4b3NZSzFjcFFBalJRVlN2SGpoRDBIdWpBRF9CZDNva1A0c1JBRkRJaVlzcFZkak5vS1BPSFVOU0sxSldCS0pYZFNKSGF4QjJBX09ZQlNKRE95OUVuVnV0YnNSU2hDSFVEbmdJUXh6ZEJiOWE0XzJvTnVpdGFUdU1ZYUFKdTZJMWh1X0JIdWllaEhxRE9OdnhrMFFUQ1FJ?oc=5"" target=""_blank"">Uttarakhand Weather: पांच जिलों में भारी बारिश का ऑरेंज अलर्ट, जिलाधिकारियों को सतर्क रहने के निर्देश</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Monsoon,hi
"Weather Alert: पहाड़ों पर आज भारी बारिश का अलर्ट, जानें मैदानी इलाकों में कैसा रहेगा मौसम - आज तक",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQRDJ0Y3VVLW00WGFEZXhKYTVhWVpYaFN1X3JnSUV4OUpHeVpfSUpCZXoydjRXN2lHeXpaT1lkSUx2ejlzWGR1OHVqLVpyYndidWdLNG8yeWhXd2lLUFJLd0haOWZXX1hXZktVdkItLWJsc0R3VzRha0I1dmRaMnNpLTkybEQybUkzZE5oSnl3enRaRmN1NG51WFRoSm53eVYxbEVyeE5Vemt0WTNRdTJlRVhCQ3F0YVMxdTFpQmxmNjduWmxKcVYtcmtzQ1FmaWtPbjZ2bmV1MFZWUGNjcTlTYnRnZHpuNVhSeTdN0gHwAUFVX3lxTE5XZ3otb0NFdTFNR09sYkxnaWZFcjlZOVA2LW9GTkZVRGpLYW9VU2pQQVlDRDRwdGNfcmctZ0NEN1piVXJjNDFfQXRFX1hWc1NVVjRIeG82SVFHeHlyckdtRWszYVJqR0k0NGlKV3FKYnFEYjl0Vzk3S0FmdzRwZF9IV2Izc3Y0SHlOZDVCWDNjU3E2WEEtck9oTFdCRkJBT1hxR3V1LUJnaEtLU2dtTjdEUXhtVUhjZlUtQXFYbmVKTmQ2Sm5Nd1g0eHBzWmR5OXpQbk9LS0hZMURnd05vZmJqVkFodEtRaDBMb1R2Uk5jRA?oc=5,2025-07-17 07:34:30,आज तक,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQRDJ0Y3VVLW00WGFEZXhKYTVhWVpYaFN1X3JnSUV4OUpHeVpfSUpCZXoydjRXN2lHeXpaT1lkSUx2ejlzWGR1OHVqLVpyYndidWdLNG8yeWhXd2lLUFJLd0haOWZXX1hXZktVdkItLWJsc0R3VzRha0I1dmRaMnNpLTkybEQybUkzZE5oSnl3enRaRmN1NG51WFRoSm53eVYxbEVyeE5Vemt0WTNRdTJlRVhCQ3F0YVMxdTFpQmxmNjduWmxKcVYtcmtzQ1FmaWtPbjZ2bmV1MFZWUGNjcTlTYnRnZHpuNVhSeTdN0gHwAUFVX3lxTE5XZ3otb0NFdTFNR09sYkxnaWZFcjlZOVA2LW9GTkZVRGpLYW9VU2pQQVlDRDRwdGNfcmctZ0NEN1piVXJjNDFfQXRFX1hWc1NVVjRIeG82SVFHeHlyckdtRWszYVJqR0k0NGlKV3FKYnFEYjl0Vzk3S0FmdzRwZF9IV2Izc3Y0SHlOZDVCWDNjU3E2WEEtck9oTFdCRkJBT1hxR3V1LUJnaEtLU2dtTjdEUXhtVUhjZlUtQXFYbmVKTmQ2Sm5Nd1g0eHBzWmR5OXpQbk9LS0hZMURnd05vZmJqVkFodEtRaDBMb1R2Uk5jRA?oc=5"" target=""_blank"">Weather Alert: पहाड़ों पर आज भारी बारिश का अलर्ट, जानें मैदानी इलाकों में कैसा रहेगा मौसम</a>&nbsp;&nbsp;<font color=""#6f6f6f"">आज तक</font>",Monsoon,hi
"Uttarakhand Weather: उत्तराखंड में नाच नचाएंगे बारिश और बिजली, रुद्रप्रयाग, नैनीताल सहित इन जिलों में भारी बारिश का अलर्ट - Zee News",https://news.google.com/rss/articles/CBMimwJBVV95cUxNM1RvR1RSSnpGcXRzenplQ2NlUjZjMzg2TDlOb1hhLTVtQW9zOEVjR25adGRpczB0eTNwQlBRWE02Y3AyU0xtNk03VUx5U2FXb1dmQ1dGd2xzSnBYNzVXWmJLZC0tdHVhQm5hUkRCQVV5Y3Y0emtFNUZMM0Fob0pFaGUtLWVwV3JmNWhHUEl6WmVXWFVXQzVxNmljZ3BCdWM0MXNUR3R1VVVDd2FIQ3V3eW9ORUNyOXlJUWNaRE1yV19vZUhHME1WNnFJX1lYZWpJYUs1TUF0NWhGNU83bkhydm0xUG5FS2NaTmhsUHhENkRyZEJPc0duaEF4dVMxWW1rQm8xLTZYNXlYdG9zV24xR2xiN01oX0dMUzVF?oc=5,2025-07-17 06:49:02,Zee News,"<a href=""https://news.google.com/rss/articles/CBMimwJBVV95cUxNM1RvR1RSSnpGcXRzenplQ2NlUjZjMzg2TDlOb1hhLTVtQW9zOEVjR25adGRpczB0eTNwQlBRWE02Y3AyU0xtNk03VUx5U2FXb1dmQ1dGd2xzSnBYNzVXWmJLZC0tdHVhQm5hUkRCQVV5Y3Y0emtFNUZMM0Fob0pFaGUtLWVwV3JmNWhHUEl6WmVXWFVXQzVxNmljZ3BCdWM0MXNUR3R1VVVDd2FIQ3V3eW9ORUNyOXlJUWNaRE1yV19vZUhHME1WNnFJX1lYZWpJYUs1TUF0NWhGNU83bkhydm0xUG5FS2NaTmhsUHhENkRyZEJPc0duaEF4dVMxWW1rQm8xLTZYNXlYdG9zV24xR2xiN01oX0dMUzVF?oc=5"" target=""_blank"">Uttarakhand Weather: उत्तराखंड में नाच नचाएंगे बारिश और बिजली, रुद्रप्रयाग, नैनीताल सहित इन जिलों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Monsoon,hi
"Weather Updates: उत्तराखंड और UP के कई जिलों में भारी बारिश का अलर्ट, जानिए दिल्ली- NCR में मौसम का हाल - Mint",https://news.google.com/rss/articles/CBMi5gFBVV95cUxONGJELVhaU2R0Q0dxb1pqQWNfNkw0MXRBR0xfT1AwSXZ5MUl4T3U2UzhhVjBEVzdiSVgxQVhOSlpCVi1Mc25MeGExUmwzYVNlU0RubFZxeHFNdGMzc2FucUdzLWd2bHpodVZaLXNpUlNBQmJ5V2FyeEVfaXR1SGV1OXc0Smpoemt5emVPd3hxeVBmc0huX0NFcFlCbTVuYlpFSWhUY1VUSzI0UXVOandXS1d4R19oREFnbG1TMHQ4aGVCUGMxRHpXVklNSVZyMHgxUVNYLWVRNHQyTXJRdURhTlU2LTFSZ9IB6wFBVV95cUxOaEFZRGp6eHNCT1pZZXU0RXRBVUtoTGk0dldkaXdDbW16eVVrMkk5MVdYdFFqQmF6UXpFQlRCeE5BVVdzQ05QRHZ4Rm03ZVowX3N1cUlJYWJEaVR6elF3VE5DcDJRVkEtMGpBcHJJLWdwemlaVHgxNXZoSzBiekhqMnl4WVh6X2ZBTGpzSFliLVdTN2Q4Z3BsWWJfS0ZlVGYzT1BCV19IalJHdjY5UDFUTVB4NzEwXzRiaFFNMmlYbzAwTHA1UTJzT2lzSDBDSzRQSFo3U3FIUWs4ek1CdHlVM0U4YldTdG5ia3A4?oc=5,2025-07-17 06:26:22,Mint,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxONGJELVhaU2R0Q0dxb1pqQWNfNkw0MXRBR0xfT1AwSXZ5MUl4T3U2UzhhVjBEVzdiSVgxQVhOSlpCVi1Mc25MeGExUmwzYVNlU0RubFZxeHFNdGMzc2FucUdzLWd2bHpodVZaLXNpUlNBQmJ5V2FyeEVfaXR1SGV1OXc0Smpoemt5emVPd3hxeVBmc0huX0NFcFlCbTVuYlpFSWhUY1VUSzI0UXVOandXS1d4R19oREFnbG1TMHQ4aGVCUGMxRHpXVklNSVZyMHgxUVNYLWVRNHQyTXJRdURhTlU2LTFSZ9IB6wFBVV95cUxOaEFZRGp6eHNCT1pZZXU0RXRBVUtoTGk0dldkaXdDbW16eVVrMkk5MVdYdFFqQmF6UXpFQlRCeE5BVVdzQ05QRHZ4Rm03ZVowX3N1cUlJYWJEaVR6elF3VE5DcDJRVkEtMGpBcHJJLWdwemlaVHgxNXZoSzBiekhqMnl4WVh6X2ZBTGpzSFliLVdTN2Q4Z3BsWWJfS0ZlVGYzT1BCV19IalJHdjY5UDFUTVB4NzEwXzRiaFFNMmlYbzAwTHA1UTJzT2lzSDBDSzRQSFo3U3FIUWs4ek1CdHlVM0U4YldTdG5ia3A4?oc=5"" target=""_blank"">Weather Updates: उत्तराखंड और UP के कई जिलों में भारी बारिश का अलर्ट, जानिए दिल्ली- NCR में मौसम का हाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,hi
"Weather Update: Heavy Rainfall Likely in Delhi, Bihar, Rajasthan, Kerala and Other States Amid Active Monsoon - Krishi Jagran",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQV25udThvZnh1Uy03alR1TEV0UXZBWlpyRFZ2TzkxdGJqUVhVOHE2T1hRbVRzanpZRko4czF6Z1BaT2RRRlROa1RvWFdJWERjWDZVSTNZWW92T0RrTzc1U3JhUmhfeVl0clAxRDUtTkFkU05NaFpUMWxhckRKWThsWDFiM1U3QUIwY1hrZlJISFZCNDVaYUpndGxqSGxxYVlNSEVnNXJBLTRublJYLThiOW5GVk4tZmVrMU03bW00R0Q4bEljcUpxUHR1NDdydVNLakp3eHJoUVkxTkpqNjVsUg?oc=5,2025-07-17 06:37:45,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQV25udThvZnh1Uy03alR1TEV0UXZBWlpyRFZ2TzkxdGJqUVhVOHE2T1hRbVRzanpZRko4czF6Z1BaT2RRRlROa1RvWFdJWERjWDZVSTNZWW92T0RrTzc1U3JhUmhfeVl0clAxRDUtTkFkU05NaFpUMWxhckRKWThsWDFiM1U3QUIwY1hrZlJISFZCNDVaYUpndGxqSGxxYVlNSEVnNXJBLTRublJYLThiOW5GVk4tZmVrMU03bW00R0Q4bEljcUpxUHR1NDdydVNLakp3eHJoUVkxTkpqNjVsUg?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall Likely in Delhi, Bihar, Rajasthan, Kerala and Other States Amid Active Monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Monsoon,en
"Uttarakhand Weather update: IMD predicts heavy rains, issues alert for Dehradun, Nainital, Tehri - India TV News",https://news.google.com/rss/articles/CBMi4wFBVV95cUxQZHBhWURYQXF0eUFnd3ZwVFItSWNld1h5SjdWUzVOSGh6dGx4RVBsMlE0SmdnMXNmcXA5cjNHR1p0cWRsMUE2VkJQazRiOUJTSlUtNWQ3NFlwUVJwRlloUzNpOGY0QWt1ZmwxcHJGeTRzRV9XM2xzYVFXZTlsNUQ1STBJQWhCWlk3Y0VxZ3pwdlJscUk0aUN0bmo3d2dpT1BPZ2NuY0RkWGhNbXl0WGFtVnZOWXd3eno0TVRyUmFxa2tnODhxaXdkZlppZm9WMFJBSGtvbVBYSVN3V2hCdXZjaVNsNNIB6AFBVV95cUxNbEZBR2YzYkRQeFQ1YXBLV3pGaWlEQ3lmSzVZNUgzdkJrYlJMV0Z2X3RwWGtlYkpTNTRQX0xXWVVfb0YxR2Z0d3JxdXFyVVdjMW9WMmczVW9NbHJuRXZjSGVfUlVpVWtqV0YtMlJxRzBDMU16OVU0RXA5VWpxYjlLTzJ3SmpzUkc0Vkx2cUxiaU9HeEtaQU0xOF9rZ2NSU29mMzVyQ2dyWUFUaEx6WkFJbWlscmFvQml2b3pwbWtOTGpxck1wS25ldHM2V3FUa0NWbHc4VEt6VjU1bXRjWmp2YkxpdHBZSWtv?oc=5,2025-07-17 09:12:05,India TV News,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxQZHBhWURYQXF0eUFnd3ZwVFItSWNld1h5SjdWUzVOSGh6dGx4RVBsMlE0SmdnMXNmcXA5cjNHR1p0cWRsMUE2VkJQazRiOUJTSlUtNWQ3NFlwUVJwRlloUzNpOGY0QWt1ZmwxcHJGeTRzRV9XM2xzYVFXZTlsNUQ1STBJQWhCWlk3Y0VxZ3pwdlJscUk0aUN0bmo3d2dpT1BPZ2NuY0RkWGhNbXl0WGFtVnZOWXd3eno0TVRyUmFxa2tnODhxaXdkZlppZm9WMFJBSGtvbVBYSVN3V2hCdXZjaVNsNNIB6AFBVV95cUxNbEZBR2YzYkRQeFQ1YXBLV3pGaWlEQ3lmSzVZNUgzdkJrYlJMV0Z2X3RwWGtlYkpTNTRQX0xXWVVfb0YxR2Z0d3JxdXFyVVdjMW9WMmczVW9NbHJuRXZjSGVfUlVpVWtqV0YtMlJxRzBDMU16OVU0RXA5VWpxYjlLTzJ3SmpzUkc0Vkx2cUxiaU9HeEtaQU0xOF9rZ2NSU29mMzVyQ2dyWUFUaEx6WkFJbWlscmFvQml2b3pwbWtOTGpxck1wS25ldHM2V3FUa0NWbHc4VEt6VjU1bXRjWmp2YkxpdHBZSWtv?oc=5"" target=""_blank"">Uttarakhand Weather update: IMD predicts heavy rains, issues alert for Dehradun, Nainital, Tehri</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font>",Monsoon,en
"IMD Issues Heavy Rainfall Alert for 15 States, Including Uttar Pradesh and Bihar - Patrika News",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOSUN4bXFCQ3dIdlJhMjNxNXY3LUl5Y2F5V21JeklDWTdFZjE5Z0JQcXcyOW9rWmxIWUdMaWV2cFI4LVRRNWRzN25KbV9kZzYwNDlPdGswUE93ZGR0X3RfeFJmb1l1Ui1WV3ZaUUJlWmpySm1WQTB2MER5YnJYem1NdjJVaGU4Z0pFVzRQT195bExQY0F5T2xnaDFpYUQ4THNfNFlPSzlXSjlnbVE1YTNKZzgwREVPSXFQak5WZEQ5ODNBNHF2VjgtaA?oc=5,2025-07-17 09:02:58,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOSUN4bXFCQ3dIdlJhMjNxNXY3LUl5Y2F5V21JeklDWTdFZjE5Z0JQcXcyOW9rWmxIWUdMaWV2cFI4LVRRNWRzN25KbV9kZzYwNDlPdGswUE93ZGR0X3RfeFJmb1l1Ui1WV3ZaUUJlWmpySm1WQTB2MER5YnJYem1NdjJVaGU4Z0pFVzRQT195bExQY0F5T2xnaDFpYUQ4THNfNFlPSzlXSjlnbVE1YTNKZzgwREVPSXFQak5WZEQ5ODNBNHF2VjgtaA?oc=5"" target=""_blank"">IMD Issues Heavy Rainfall Alert for 15 States, Including Uttar Pradesh and Bihar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Monsoon,en
"Uttarakhand weather update: Orange alert for very heavy rain in five districts, landslides disrupt roads in Mussoorie and Chakrata - News9live",https://news.google.com/rss/articles/CBMi_AFBVV95cUxPWEVreVh6cUNNbEtpMHFSbmxxX3NleGM5UWotRVU3TWRWY3g5c2dvTmxNV1RzMm93c1ZHVmdwMmVSVWozZDFMbE5NNG5maFFXajRWU0plNDRoeEIyMEZwMEFnbEVEd1ZzV0lvQ05MU3VoalczVk9PM0kybndvV2JGUEtPS3RXRmxqZmZEY1FQNHdPTW9CSkItODlaWG1zLVktNkhsZUVYbWZBZjVEYVpYTjlDWFZsVmlZcFZXNk1vQlVpQk1sd3NzNHRXT01jS0dXeVhyOTNvU3BldTdRYUYycENTemlZRDlrSXVFb1ZyR1F4OXNWdEJEd1NSRkLSAYICQVVfeXFMTldMQ2RkZTRrZzRoQ1V0bldXQzFvOGoyMzZQUHp4VVZHYV81dGJGOU51ZG1hMUwzcV9pTnl1SXctQm1jbzBSOVFZWVRIMmc2WTFLOXA0cVl6bEdLNzk3ZGJZVXdqeldlaFdneUNqZFRKS2NHcHFhdnVyVkEwTnN3bUVHak4tMm5BX0Q5bzZSdDBnX0RCMnRqVTVGRlF4S2wwMUc0TE03VVpvOEpjaU0wUVJNTmgwWnhhak1mQUdreTZZUkRObnBXNWgzTGp1NTFlRW45T0hmVGxPaG5iWnBlOFcyZzdQRnd3dHVmZ1M1UmNINGx2Z1FrdFZfLVBOSmdsTzdn?oc=5,2025-07-17 08:16:04,News9live,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxPWEVreVh6cUNNbEtpMHFSbmxxX3NleGM5UWotRVU3TWRWY3g5c2dvTmxNV1RzMm93c1ZHVmdwMmVSVWozZDFMbE5NNG5maFFXajRWU0plNDRoeEIyMEZwMEFnbEVEd1ZzV0lvQ05MU3VoalczVk9PM0kybndvV2JGUEtPS3RXRmxqZmZEY1FQNHdPTW9CSkItODlaWG1zLVktNkhsZUVYbWZBZjVEYVpYTjlDWFZsVmlZcFZXNk1vQlVpQk1sd3NzNHRXT01jS0dXeVhyOTNvU3BldTdRYUYycENTemlZRDlrSXVFb1ZyR1F4OXNWdEJEd1NSRkLSAYICQVVfeXFMTldMQ2RkZTRrZzRoQ1V0bldXQzFvOGoyMzZQUHp4VVZHYV81dGJGOU51ZG1hMUwzcV9pTnl1SXctQm1jbzBSOVFZWVRIMmc2WTFLOXA0cVl6bEdLNzk3ZGJZVXdqeldlaFdneUNqZFRKS2NHcHFhdnVyVkEwTnN3bUVHak4tMm5BX0Q5bzZSdDBnX0RCMnRqVTVGRlF4S2wwMUc0TE03VVpvOEpjaU0wUVJNTmgwWnhhak1mQUdreTZZUkRObnBXNWgzTGp1NTFlRW45T0hmVGxPaG5iWnBlOFcyZzdQRnd3dHVmZ1M1UmNINGx2Z1FrdFZfLVBOSmdsTzdn?oc=5"" target=""_blank"">Uttarakhand weather update: Orange alert for very heavy rain in five districts, landslides disrupt roads in Mussoorie and Chakrata</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9live</font>",Monsoon,en
"IMD Weather Alert: Heavy Rain Likely In North, East, and South India, Red And Orange Warnings Issued Till July 22 - NewsX",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNOWx2VkFRbjBJamF1OER4WUU1Ti1TVmUzWkV3aGgxaVh4UkRiQjBENTJsTVpRZ3ZnWHBMaE1OMnAtOHBQRjAwRUt4U3lIQWlBMG9BRm1ic1hJS0FwR0Vic1RjVnNmcmQ4ZGJXU2E4cExNV1hDenhSRmh1UTltcWVUUUEyWmZPSGEtNldhUVZCMnRBNENGdmRqbHRsYjVXc3BFWmt4MlBJU29yT0R6MWFPb0hKcWdGZFVBeHdKcmdSc1JrNTFJQnBPSjdpekVMdDVudUZobElPQlJybm530gHiAUFVX3lxTE1ZeVR4SWtQbXU3UWlJZElfdXdwajFBZjBPNHk3YUx4bGRWdjBkOHIxRmZwRG9uNlBxcHIxTVp1NzVnUFNTT3FqbTZ4cjNkTGZ4SEdoUEVicHFVNmItRDBXT0VvQlRZZElWVXBZTmtuZ2NFYmdoUzB1TmdvYzkzai1PSGpYQnNsTGZzSDYwLVczWkJlNE5xSHYzQS1UTzVFWmFKOVc0YVlBdUV1TTlhcjVVS3Nwa3hYVkdFSkY5d2pXZHZEQzV4UVhrQjI1MUNNSU9pOXdtbURPZWI4SUd2aTFWeHc?oc=5,2025-07-17 09:38:36,NewsX,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNOWx2VkFRbjBJamF1OER4WUU1Ti1TVmUzWkV3aGgxaVh4UkRiQjBENTJsTVpRZ3ZnWHBMaE1OMnAtOHBQRjAwRUt4U3lIQWlBMG9BRm1ic1hJS0FwR0Vic1RjVnNmcmQ4ZGJXU2E4cExNV1hDenhSRmh1UTltcWVUUUEyWmZPSGEtNldhUVZCMnRBNENGdmRqbHRsYjVXc3BFWmt4MlBJU29yT0R6MWFPb0hKcWdGZFVBeHdKcmdSc1JrNTFJQnBPSjdpekVMdDVudUZobElPQlJybm530gHiAUFVX3lxTE1ZeVR4SWtQbXU3UWlJZElfdXdwajFBZjBPNHk3YUx4bGRWdjBkOHIxRmZwRG9uNlBxcHIxTVp1NzVnUFNTT3FqbTZ4cjNkTGZ4SEdoUEVicHFVNmItRDBXT0VvQlRZZElWVXBZTmtuZ2NFYmdoUzB1TmdvYzkzai1PSGpYQnNsTGZzSDYwLVczWkJlNE5xSHYzQS1UTzVFWmFKOVc0YVlBdUV1TTlhcjVVS3Nwa3hYVkdFSkY5d2pXZHZEQzV4UVhrQjI1MUNNSU9pOXdtbURPZWI4SUd2aTFWeHc?oc=5"" target=""_blank"">IMD Weather Alert: Heavy Rain Likely In North, East, and South India, Red And Orange Warnings Issued Till July 22</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsX</font>",Monsoon,en
