Title,Link,Date,Source,Summary,Term,LanguageQueried
"Uttarakand Weather: मॉनसून फिर ऐक्टिव, देहरादून समेत 10 जिलों में वज्रपात की चेतावनी; स्कूलों में छुट्टी - Hindustan",https://news.google.com/rss/articles/CBMihwJBVV95cUxQeU12dEp4cFBZZTM4ekRGVmQ4b1JfemFMYzdxVmJlNVN1VWg0QWVXWmhNVW5oY2VfNW9BVmtYc3JWNXJoRmNnUzBIOERsUW1XLXkydkFfeGNEOC1VSjUxOHI4VXNUZk5RU1lMcmk0QW9id2tGVm1ILTJfOTZ6UURweU9aSERiZ2FzcU44RWtqNEVXemQwZzJaUzBEUXRuZnQzT3hFdmRsdVBNdDhYRlF3dml1WkVsbEhfYk5CQVJGcW9hNzVnVEk0clRURklwSlRZY19BTnR4MlhKdWQ4U2ZDSUswczB0a19OVml2emZTNWhSYzMzV2R6ZHgwd3poamd2NFhkQlNkd9IBhwJBVV95cUxQeU12dEp4cFBZZTM4ekRGVmQ4b1JfemFMYzdxVmJlNVN1VWg0QWVXWmhNVW5oY2VfNW9BVmtYc3JWNXJoRmNnUzBIOERsUW1XLXkydkFfeGNEOC1VSjUxOHI4VXNUZk5RU1lMcmk0QW9id2tGVm1ILTJfOTZ6UURweU9aSERiZ2FzcU44RWtqNEVXemQwZzJaUzBEUXRuZnQzT3hFdmRsdVBNdDhYRlF3dml1WkVsbEhfYk5CQVJGcW9hNzVnVEk0clRURklwSlRZY19BTnR4MlhKdWQ4U2ZDSUswczB0a19OVml2emZTNWhSYzMzV2R6ZHgwd3poamd2NFhkQlNkdw?oc=5,2026-08-05 07:56:54,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMihwJBVV95cUxQeU12dEp4cFBZZTM4ekRGVmQ4b1JfemFMYzdxVmJlNVN1VWg0QWVXWmhNVW5oY2VfNW9BVmtYc3JWNXJoRmNnUzBIOERsUW1XLXkydkFfeGNEOC1VSjUxOHI4VXNUZk5RU1lMcmk0QW9id2tGVm1ILTJfOTZ6UURweU9aSERiZ2FzcU44RWtqNEVXemQwZzJaUzBEUXRuZnQzT3hFdmRsdVBNdDhYRlF3dml1WkVsbEhfYk5CQVJGcW9hNzVnVEk0clRURklwSlRZY19BTnR4MlhKdWQ4U2ZDSUswczB0a19OVml2emZTNWhSYzMzV2R6ZHgwd3poamd2NFhkQlNkd9IBhwJBVV95cUxQeU12dEp4cFBZZTM4ekRGVmQ4b1JfemFMYzdxVmJlNVN1VWg0QWVXWmhNVW5oY2VfNW9BVmtYc3JWNXJoRmNnUzBIOERsUW1XLXkydkFfeGNEOC1VSjUxOHI4VXNUZk5RU1lMcmk0QW9id2tGVm1ILTJfOTZ6UURweU9aSERiZ2FzcU44RWtqNEVXemQwZzJaUzBEUXRuZnQzT3hFdmRsdVBNdDhYRlF3dml1WkVsbEhfYk5CQVJGcW9hNzVnVEk0clRURklwSlRZY19BTnR4MlhKdWQ4U2ZDSUswczB0a19OVml2emZTNWhSYzMzV2R6ZHgwd3poamd2NFhkQlNkdw?oc=5"" target=""_blank"">Uttarakand Weather: मॉनसून फिर ऐक्टिव, देहरादून समेत 10 जिलों में वज्रपात की चेतावनी; स्कूलों में छुट्टी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Monsoon,hi
"Weather: आज कहां बारिश के आसार? झारखंड में वज्रपात से 14 मौतें, केरल में बाढ़ और कश्मीर में बादल फटने से तबाही - Amar Ujala",https://news.google.com/rss/articles/CBMi0wFBVV95cUxOSUc1ZVNPT2tPeUFOdDd2NXBuZVhyZ0tldHFCMkVlVTJYcXp0SjZjeFVtV2U5VDRvSzFqYWI0Ymo5MEpibmJzLVlsMGpneFRrUXFxRFpkOXNPU3IzVGxrZnBsRmMxamxvcjB1ZmU1LTJwaVpkSDdjR25sUktrYi10RnFvQWR2cjZYaHVfYWFWVDAydHIwVjFtbUoyZkZJdWVxaWVOMkZVazlXN2k1M2NIRDJHbkNCT3NxMjJ5a0lJTHlyXzd3cE1vbTd2YjBvUUt2MmVR0gHYAUFVX3lxTE1fRTIyUC04YXNna2dySXFKUl9Gb3NQak5xa2RnSjl5Q2JwdlUxVXRRVnZEVlByaFJCcUh5WUVvX3k4cDRianY0NnJKX3BYYkt5c0NxV2kyX1lNVks2Y1RwV00wdjNQRDgtR0c3TVB0eWFIWUE1aVJWdlFzVVdvRzhBX3VKbkdNQlpyTGp2bWZ2RnNQMHFaYms1QUxLdXhGMnFQcm9HOTY4aTBmdy1JWXRCTjBEMXpmcVprcWxaRWQ4QndpMkxqMG1BUXRKM1F0aEJKRDhHOFY2Vg?oc=5,2026-08-05 05:44:16,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOSUc1ZVNPT2tPeUFOdDd2NXBuZVhyZ0tldHFCMkVlVTJYcXp0SjZjeFVtV2U5VDRvSzFqYWI0Ymo5MEpibmJzLVlsMGpneFRrUXFxRFpkOXNPU3IzVGxrZnBsRmMxamxvcjB1ZmU1LTJwaVpkSDdjR25sUktrYi10RnFvQWR2cjZYaHVfYWFWVDAydHIwVjFtbUoyZkZJdWVxaWVOMkZVazlXN2k1M2NIRDJHbkNCT3NxMjJ5a0lJTHlyXzd3cE1vbTd2YjBvUUt2MmVR0gHYAUFVX3lxTE1fRTIyUC04YXNna2dySXFKUl9Gb3NQak5xa2RnSjl5Q2JwdlUxVXRRVnZEVlByaFJCcUh5WUVvX3k4cDRianY0NnJKX3BYYkt5c0NxV2kyX1lNVks2Y1RwV00wdjNQRDgtR0c3TVB0eWFIWUE1aVJWdlFzVVdvRzhBX3VKbkdNQlpyTGp2bWZ2RnNQMHFaYms1QUxLdXhGMnFQcm9HOTY4aTBmdy1JWXRCTjBEMXpmcVprcWxaRWQ4QndpMkxqMG1BUXRKM1F0aEJKRDhHOFY2Vg?oc=5"" target=""_blank"">Weather: आज कहां बारिश के आसार? झारखंड में वज्रपात से 14 मौतें, केरल में बाढ़ और कश्मीर में बादल फटने से तबाही</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Monsoon,hi
"Uttarakand Weather: मॉनसून फिर ऐक्टिव, देहरादून समेत 10 जिलों में वज्रपात की चेतावनी; स्कूलों की छुट्टी - Hindustan",https://news.google.com/rss/articles/CBMiggJBVV95cUxPRUg0NmkyY0NrVU1ydk52SzgwNjlNa0tSM240NkloYzR4b3V1RU1lTkNvdmpmNWU2eDBLR2pGTC1IM0xTcXcwWkhxVy1CXy1rbUdWLVNfU01XZGsyMGJJcGFUd2lWRUtieERGeHdVMEtxV0VkVnNUTUlLOHg2ckJnX2l0Sk1sLUxYSXVIOURta0RsbGhHaFluX2R5ZmltSE5GMVJUTXRfVDdBYlNKSEk3ajhPTmxMOUc0UUt1ZExVRFVzTC1MT0FIWXhxREl3Z1l4QXFxZjBra2RVbE5SYy14SGFsNUhlNVdEa25wRWNJUW02WXZsR1NEUzlEUkJyVUNwRVHSAYcCQVVfeXFMUHlNdnRKeHBQWWUzOHpERlZkOG9SX3phTGM3cVZiZTVTdVVoNEFlV1poTVVuaGNlXzVvQVZrWHNyVjVyaEZjZ1MwSDhEbFFtVy15MnZBX3hjRDgtVUo1MThyOFVzVGZOUVNZTHJpNEFvYndrRlZtSC0yXzk2elFEcHlPWkhEYmdhc3FOOEVrajRFV3pkMGcyWlMwRFF0bmZ0M094RXZkbHVQTXQ4WEZRd3ZpdVpFbGxIX2JOQkFSRnFvYTc1Z1RJNHJUVEZJcEpUWWNfQU50eDJYSnVkOFNmQ0lLMHMwdGtfTlZpdnpmUzVoUmMzM1dkemR4MHd6aGpndjRYZEJTZHc?oc=5,2026-08-05 07:56:54,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxPRUg0NmkyY0NrVU1ydk52SzgwNjlNa0tSM240NkloYzR4b3V1RU1lTkNvdmpmNWU2eDBLR2pGTC1IM0xTcXcwWkhxVy1CXy1rbUdWLVNfU01XZGsyMGJJcGFUd2lWRUtieERGeHdVMEtxV0VkVnNUTUlLOHg2ckJnX2l0Sk1sLUxYSXVIOURta0RsbGhHaFluX2R5ZmltSE5GMVJUTXRfVDdBYlNKSEk3ajhPTmxMOUc0UUt1ZExVRFVzTC1MT0FIWXhxREl3Z1l4QXFxZjBra2RVbE5SYy14SGFsNUhlNVdEa25wRWNJUW02WXZsR1NEUzlEUkJyVUNwRVHSAYcCQVVfeXFMUHlNdnRKeHBQWWUzOHpERlZkOG9SX3phTGM3cVZiZTVTdVVoNEFlV1poTVVuaGNlXzVvQVZrWHNyVjVyaEZjZ1MwSDhEbFFtVy15MnZBX3hjRDgtVUo1MThyOFVzVGZOUVNZTHJpNEFvYndrRlZtSC0yXzk2elFEcHlPWkhEYmdhc3FOOEVrajRFV3pkMGcyWlMwRFF0bmZ0M094RXZkbHVQTXQ4WEZRd3ZpdVpFbGxIX2JOQkFSRnFvYTc1Z1RJNHJUVEZJcEpUWWNfQU50eDJYSnVkOFNmQ0lLMHMwdGtfTlZpdnpmUzVoUmMzM1dkemR4MHd6aGpndjRYZEJTZHc?oc=5"" target=""_blank"">Uttarakand Weather: मॉनसून फिर ऐक्टिव, देहरादून समेत 10 जिलों में वज्रपात की चेतावनी; स्कूलों की छुट्टी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Monsoon,hi
"हिमाचल प्रदेश में फ्लैश फ्लड और लैंडस्लाइड की चेतावनी, 3 घंटे भारी बारिश का अलर्ट; नदी-नाले उफान पर - Jagran",https://news.google.com/rss/articles/CBMitwFBVV95cUxOTVJQM0dfN3VPRWlFTUdyOVBxNG5yTUJZQmZnd1Y1eHZGTkU4cExMb1RsVkhoaWkzSUpPMWpKQzZxekVDNlAxdzIzNHFRTl9BekFhZVJPcW5CbjZZRndCSVdESGgzSzJHcDNndUQ3dlNkWlhIN01TWndmenJjVkcweEg0MVd5YTUwbE0yakFSMVJ3eEJOcGRabzNJOG81S3RJN1FRV0l1TVRnVHhQUFRnbjRyZWlHTWs?oc=5,2026-08-05 11:20:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOTVJQM0dfN3VPRWlFTUdyOVBxNG5yTUJZQmZnd1Y1eHZGTkU4cExMb1RsVkhoaWkzSUpPMWpKQzZxekVDNlAxdzIzNHFRTl9BekFhZVJPcW5CbjZZRndCSVdESGgzSzJHcDNndUQ3dlNkWlhIN01TWndmenJjVkcweEg0MVd5YTUwbE0yakFSMVJ3eEJOcGRabzNJOG81S3RJN1FRV0l1TVRnVHhQUFRnbjRyZWlHTWs?oc=5"" target=""_blank"">हिमाचल प्रदेश में फ्लैश फ्लड और लैंडस्लाइड की चेतावनी, 3 घंटे भारी बारिश का अलर्ट; नदी-नाले उफान पर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,hi
"जम्मू-कश्मीर में बाढ़ का तांडव, कई इलाकों में फ्लैश फ्लड का कहर - Aaj Tak News",https://news.google.com/rss/articles/CBMi7AFBVV95cUxQQXlSanZtdEg4NFhlTFBGVTBoMnZvaHlUUnVlUG5jOFQ2QTF3cXV1Wm56SjZSLU5xSDRzXzNOeFRYT1NHcTRBdnpsRG9ONDZDOS1oZUdhYUVQSHA1ZWRuMVFsdWJzMHhmbUZ2UkVIZmNuVkQ2MlNGNDB3V09hVzdMWVFURHR2dDFyN2ZrTHF1YXNQUzFNbmlydEpfZFZKRDc5T1FvTnlodnp3TGtKOGdtVmo3dmgybTV1eXdVMjZBRVBCR085SjFrRENsalVwOUo0M3VlWldjVTA1dUMyLUhLa25XcDJTQU5NbVh6MdIB7AFBVV95cUxQQXlSanZtdEg4NFhlTFBGVTBoMnZvaHlUUnVlUG5jOFQ2QTF3cXV1Wm56SjZSLU5xSDRzXzNOeFRYT1NHcTRBdnpsRG9ONDZDOS1oZUdhYUVQSHA1ZWRuMVFsdWJzMHhmbUZ2UkVIZmNuVkQ2MlNGNDB3V09hVzdMWVFURHR2dDFyN2ZrTHF1YXNQUzFNbmlydEpfZFZKRDc5T1FvTnlodnp3TGtKOGdtVmo3dmgybTV1eXdVMjZBRVBCR085SjFrRENsalVwOUo0M3VlWldjVTA1dUMyLUhLa25XcDJTQU5NbVh6MQ?oc=5,2026-08-05 09:29:26,Aaj Tak News,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQQXlSanZtdEg4NFhlTFBGVTBoMnZvaHlUUnVlUG5jOFQ2QTF3cXV1Wm56SjZSLU5xSDRzXzNOeFRYT1NHcTRBdnpsRG9ONDZDOS1oZUdhYUVQSHA1ZWRuMVFsdWJzMHhmbUZ2UkVIZmNuVkQ2MlNGNDB3V09hVzdMWVFURHR2dDFyN2ZrTHF1YXNQUzFNbmlydEpfZFZKRDc5T1FvTnlodnp3TGtKOGdtVmo3dmgybTV1eXdVMjZBRVBCR085SjFrRENsalVwOUo0M3VlWldjVTA1dUMyLUhLa25XcDJTQU5NbVh6MdIB7AFBVV95cUxQQXlSanZtdEg4NFhlTFBGVTBoMnZvaHlUUnVlUG5jOFQ2QTF3cXV1Wm56SjZSLU5xSDRzXzNOeFRYT1NHcTRBdnpsRG9ONDZDOS1oZUdhYUVQSHA1ZWRuMVFsdWJzMHhmbUZ2UkVIZmNuVkQ2MlNGNDB3V09hVzdMWVFURHR2dDFyN2ZrTHF1YXNQUzFNbmlydEpfZFZKRDc5T1FvTnlodnp3TGtKOGdtVmo3dmgybTV1eXdVMjZBRVBCR085SjFrRENsalVwOUo0M3VlWldjVTA1dUMyLUhLa25XcDJTQU5NbVh6MQ?oc=5"" target=""_blank"">जम्मू-कश्मीर में बाढ़ का तांडव, कई इलाकों में फ्लैश फ्लड का कहर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aaj Tak News</font>",Monsoon,hi
"Rain alert: Monsoon to turn vigorous, heavy downpour over UP, Bihar, Uttarakhand - India Today",https://news.google.com/rss/articles/CBMiyAFBVV95cUxQMy1ibW9nVFY3Ql9ScVh0emYyS3N4dlZyVjhyWlBxQ0UydEhqdEFKeFd1MWZ0QTVodjVjOFR3czFRWlVZQUVpdEtfUDdFYXM1b1lvem1TcjNYbGVrbDBob0lQT0ZrdHphcmMyNDFZVk1SdmF3bHBER3dURklRekEtV3h4VFZuNUJCMk1oRUdJUXVUZnZTZUVTeHh3bWtVYWdfY0xQRUdaZlZxdjdXUUo3bjlxMlR5dXpKQzNZa0hCV1otdVV4X1pRQ9IBzgFBVV95cUxPYTFNTlhnd1JucDJIMDFzOWxneGhHcVM5dUQyNndVZzlhektXRUNsbnRDNTVoeXhkTzJZaDJLZzZUS2RJbTdiWVI5Z2YyTlBsU0RKaEFsLW9BUTFnUHE1aGVrYXM3aFEyU3ZJOTZCQUlwbzhEZGdELWV6VWJWbTJ5eFF4LTdKOWpid3VkVmlJeW5Mbjd4OUotOGJvckdwZ3pLRXBPTXdqU2JvdEZNcFhxeW03dVl1LTk2d3hSQ0NibEhxR1E0UC1tclRGT0Q2dw?oc=5,2026-08-05 10:57:52,India Today,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQMy1ibW9nVFY3Ql9ScVh0emYyS3N4dlZyVjhyWlBxQ0UydEhqdEFKeFd1MWZ0QTVodjVjOFR3czFRWlVZQUVpdEtfUDdFYXM1b1lvem1TcjNYbGVrbDBob0lQT0ZrdHphcmMyNDFZVk1SdmF3bHBER3dURklRekEtV3h4VFZuNUJCMk1oRUdJUXVUZnZTZUVTeHh3bWtVYWdfY0xQRUdaZlZxdjdXUUo3bjlxMlR5dXpKQzNZa0hCV1otdVV4X1pRQ9IBzgFBVV95cUxPYTFNTlhnd1JucDJIMDFzOWxneGhHcVM5dUQyNndVZzlhektXRUNsbnRDNTVoeXhkTzJZaDJLZzZUS2RJbTdiWVI5Z2YyTlBsU0RKaEFsLW9BUTFnUHE1aGVrYXM3aFEyU3ZJOTZCQUlwbzhEZGdELWV6VWJWbTJ5eFF4LTdKOWpid3VkVmlJeW5Mbjd4OUotOGJvckdwZ3pLRXBPTXdqU2JvdEZNcFhxeW03dVl1LTk2d3hSQ0NibEhxR1E0UC1tclRGT0Q2dw?oc=5"" target=""_blank"">Rain alert: Monsoon to turn vigorous, heavy downpour over UP, Bihar, Uttarakhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Monsoon,en
Why the next seven days could be among the wettest of the monsoon so far for these Indian states; what tr - The Times of India,https://news.google.com/rss/articles/CBMiugJBVV95cUxQZ1EtYnlxV3hGcmxROUk0dkRXZEZPc0Flai13U1lQR0hXZ0prVTA2UVhQaWIxdjZQeDFPQ0lzbVNDcmJ3MmlBQmtndzFVckhiU2FfLVBCUDJGalhseEZ0MlplR2M4a0gwaHFWWGxlYTAtODJRVmgzUVJpb1BPeldlWldwSDY1QjBxQ09VREtNU0NJNnBlMVp4VjBJY1l0RGpjNXJReVVPcllYOUItbEVZcW8zNjFxc0J4WmhZTUxaUDhQWjVrdGZZaHpmaUlmbHJKcE55RE1tX0xaa1NDNXNQNFdNLVVDU1hKdFJ2YlE5R3Y1c0F6TTE4M2J6cG0xMTRRSHlBX295U1pVTmJwNlVxQzJncEdNRXlCQ0c4Mmtsa3pZQThKWnZiRlVXNERnQXZpMlZZMFlydGtiUdIBugJBVV95cUxQZ1EtYnlxV3hGcmxROUk0dkRXZEZPc0Flai13U1lQR0hXZ0prVTA2UVhQaWIxdjZQeDFPQ0lzbVNDcmJ3MmlBQmtndzFVckhiU2FfLVBCUDJGalhseEZ0MlplR2M4a0gwaHFWWGxlYTAtODJRVmgzUVJpb1BPeldlWldwSDY1QjBxQ09VREtNU0NJNnBlMVp4VjBJY1l0RGpjNXJReVVPcllYOUItbEVZcW8zNjFxc0J4WmhZTUxaUDhQWjVrdGZZaHpmaUlmbHJKcE55RE1tX0xaa1NDNXNQNFdNLVVDU1hKdFJ2YlE5R3Y1c0F6TTE4M2J6cG0xMTRRSHlBX295U1pVTmJwNlVxQzJncEdNRXlCQ0c4Mmtsa3pZQThKWnZiRlVXNERnQXZpMlZZMFlydGtiUQ?oc=5,2026-08-05 09:19:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiugJBVV95cUxQZ1EtYnlxV3hGcmxROUk0dkRXZEZPc0Flai13U1lQR0hXZ0prVTA2UVhQaWIxdjZQeDFPQ0lzbVNDcmJ3MmlBQmtndzFVckhiU2FfLVBCUDJGalhseEZ0MlplR2M4a0gwaHFWWGxlYTAtODJRVmgzUVJpb1BPeldlWldwSDY1QjBxQ09VREtNU0NJNnBlMVp4VjBJY1l0RGpjNXJReVVPcllYOUItbEVZcW8zNjFxc0J4WmhZTUxaUDhQWjVrdGZZaHpmaUlmbHJKcE55RE1tX0xaa1NDNXNQNFdNLVVDU1hKdFJ2YlE5R3Y1c0F6TTE4M2J6cG0xMTRRSHlBX295U1pVTmJwNlVxQzJncEdNRXlCQ0c4Mmtsa3pZQThKWnZiRlVXNERnQXZpMlZZMFlydGtiUdIBugJBVV95cUxQZ1EtYnlxV3hGcmxROUk0dkRXZEZPc0Flai13U1lQR0hXZ0prVTA2UVhQaWIxdjZQeDFPQ0lzbVNDcmJ3MmlBQmtndzFVckhiU2FfLVBCUDJGalhseEZ0MlplR2M4a0gwaHFWWGxlYTAtODJRVmgzUVJpb1BPeldlWldwSDY1QjBxQ09VREtNU0NJNnBlMVp4VjBJY1l0RGpjNXJReVVPcllYOUItbEVZcW8zNjFxc0J4WmhZTUxaUDhQWjVrdGZZaHpmaUlmbHJKcE55RE1tX0xaa1NDNXNQNFdNLVVDU1hKdFJ2YlE5R3Y1c0F6TTE4M2J6cG0xMTRRSHlBX295U1pVTmJwNlVxQzJncEdNRXlCQ0c4Mmtsa3pZQThKWnZiRlVXNERnQXZpMlZZMFlydGtiUQ?oc=5"" target=""_blank"">Why the next seven days could be among the wettest of the monsoon so far for these Indian states; what tr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"Weather Update: Uttar Pradesh, Uttarakhand, Bihar, Assam, Meghalaya to receive intense rainfall today; Check IMD's full forecast here - DNA India",https://news.google.com/rss/articles/CBMiiAJBVV95cUxNM0FlemtVaDhTR0RwNW44WmNRU1pGSUVLVlRjVXRlQ3hvSGd4MExDV2dSc1RwSHg4XzdLNEZBeU5MQjJKQlBLUUFwYWt2RHZtWE1fbEd0azdwT2RmZENZV19ZOFY3UEdIOHZrT3YxNVFFSVNRU0NxSlNuNjRyVjdYU3JTNlZnZUNJcy0tNXRnaUJvXzBzX1ljY0g3LTFfN0tCOGxmVjN2UXBQSVVXS2s4alBQWXBsVXBJbXBNLTMzbTBaVUlOamY1dEx4VTdYbTluMTVtT3RoNVJsaE1aNVFRaUI4UnA1czd6MlVGdzB4MXcwT2stVHhxc0s1SEE4aVV4MHpfRDBQcEHSAYgCQVVfeXFMTTNBZXprVWg4U0dEcDVuOFpjUVNaRklFS1ZUY1V0ZUN4b0hneDBMQ1dnUnNUcEh4OF83SzRGQXlOTEIySkJQS1FBcGFrdkR2bVhNX2xHdGs3cE9kZmRDWVdfWThWN1BHSDh2a092MTVRRUlTUVNDcUpTbjY0clY3WFNyUzZWZ2VDSXMtLTV0Z2lCb18wc19ZY2NINy0xXzdLQjhsZlYzdlFwUElVV0trOGpQUFlwbFVwSW1wTS0zM20wWlVJTmpmNXRMeFU3WG05bjE1bU90aDVSbGhNWjVRUWlCOFJwNXM3ejJVRncweDF3ME9rLVR4cXNLNUhBOGlVeDB6X0QwUHBB?oc=5,2026-08-05 08:30:00,DNA India,"<a href=""https://news.google.com/rss/articles/CBMiiAJBVV95cUxNM0FlemtVaDhTR0RwNW44WmNRU1pGSUVLVlRjVXRlQ3hvSGd4MExDV2dSc1RwSHg4XzdLNEZBeU5MQjJKQlBLUUFwYWt2RHZtWE1fbEd0azdwT2RmZENZV19ZOFY3UEdIOHZrT3YxNVFFSVNRU0NxSlNuNjRyVjdYU3JTNlZnZUNJcy0tNXRnaUJvXzBzX1ljY0g3LTFfN0tCOGxmVjN2UXBQSVVXS2s4alBQWXBsVXBJbXBNLTMzbTBaVUlOamY1dEx4VTdYbTluMTVtT3RoNVJsaE1aNVFRaUI4UnA1czd6MlVGdzB4MXcwT2stVHhxc0s1SEE4aVV4MHpfRDBQcEHSAYgCQVVfeXFMTTNBZXprVWg4U0dEcDVuOFpjUVNaRklFS1ZUY1V0ZUN4b0hneDBMQ1dnUnNUcEh4OF83SzRGQXlOTEIySkJQS1FBcGFrdkR2bVhNX2xHdGs3cE9kZmRDWVdfWThWN1BHSDh2a092MTVRRUlTUVNDcUpTbjY0clY3WFNyUzZWZ2VDSXMtLTV0Z2lCb18wc19ZY2NINy0xXzdLQjhsZlYzdlFwUElVV0trOGpQUFlwbFVwSW1wTS0zM20wWlVJTmpmNXRMeFU3WG05bjE1bU90aDVSbGhNWjVRUWlCOFJwNXM3ejJVRncweDF3ME9rLVR4cXNLNUhBOGlVeDB6X0QwUHBB?oc=5"" target=""_blank"">Weather Update: Uttar Pradesh, Uttarakhand, Bihar, Assam, Meghalaya to receive intense rainfall today; Check IMD's full forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font>",Monsoon,en
"School Holiday Today, August 5, 2026: Will Schools Remain Closed in Dehradun, Kerala, Assam? Check IMD Rain Alert and State-wise Updates - Jagran Josh",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPd281Wl9jNHR3THBzcVBOcV9JWXpnNUFPa2pCMTJIT3JzM0VjY0FoZjd2Q1pkdFNLTWNUVlF5OVZ5ZFZHUFZUVUlaVUhFZU9zN3NtdFNXYTlXYVpGNEtXNklBOW0zWlZzaFRQVWxCLUNxQ3EwOXdRRURUMjBLcGJxWGRfSGdoNnZSQXc3ZmhRYjdOVURtRWU1Yl94b0c5SjJyX1lzb3RvZTFSMEh0OVRxUzNudVV2SmdsRU9ZVTY1TjZCdTZxQktyNGFiMjdJOTRMa3hMUFc0VGhGSDNUYUFmU2s2T052MVVzS3NON0NNTC01SWF0T1HSAfwBQVVfeXFMTWxQd0V3VlQxaHFsc2R1cXdXVHJaTC01cFBtaG5nanNtcVhSZlU0UVNYZV9XX1VuVUZTMTBjUW80ODhQVU5FVXU0bUg2RUwwSURtMmNsaXFkNHlLX2lkVGhNMUZFR3E3dFlRR055SElUbmZ0dl9vM1VRNHlac2VEeF9kT3MtZjBEdUNtMHFUMlR0WUI4ZG5GMngxekFhbHphaVVjUzRJSjlHcXVSa2xvdDVaMDVyN3JsMXpzWGVQeVJ1UEp6dXhwTnlTZnUweExHMy00ZTFLcm1ER0tQQkpCQ1FDT19tcVpCM3d1VDU3eHVOZ0JpdnZYNmxHY05J?oc=5,2026-08-05 06:19:00,Jagran Josh,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPd281Wl9jNHR3THBzcVBOcV9JWXpnNUFPa2pCMTJIT3JzM0VjY0FoZjd2Q1pkdFNLTWNUVlF5OVZ5ZFZHUFZUVUlaVUhFZU9zN3NtdFNXYTlXYVpGNEtXNklBOW0zWlZzaFRQVWxCLUNxQ3EwOXdRRURUMjBLcGJxWGRfSGdoNnZSQXc3ZmhRYjdOVURtRWU1Yl94b0c5SjJyX1lzb3RvZTFSMEh0OVRxUzNudVV2SmdsRU9ZVTY1TjZCdTZxQktyNGFiMjdJOTRMa3hMUFc0VGhGSDNUYUFmU2s2T052MVVzS3NON0NNTC01SWF0T1HSAfwBQVVfeXFMTWxQd0V3VlQxaHFsc2R1cXdXVHJaTC01cFBtaG5nanNtcVhSZlU0UVNYZV9XX1VuVUZTMTBjUW80ODhQVU5FVXU0bUg2RUwwSURtMmNsaXFkNHlLX2lkVGhNMUZFR3E3dFlRR055SElUbmZ0dl9vM1VRNHlac2VEeF9kT3MtZjBEdUNtMHFUMlR0WUI4ZG5GMngxekFhbHphaVVjUzRJSjlHcXVSa2xvdDVaMDVyN3JsMXpzWGVQeVJ1UEp6dXhwTnlTZnUweExHMy00ZTFLcm1ER0tQQkpCQ1FDT19tcVpCM3d1VDU3eHVOZ0JpdnZYNmxHY05J?oc=5"" target=""_blank"">School Holiday Today, August 5, 2026: Will Schools Remain Closed in Dehradun, Kerala, Assam? Check IMD Rain Alert and State-wise Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran Josh</font>",Monsoon,en
"Dehradun schools shut as heavy rain batters Uttarakhand, orange alert issued - DD India",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNM05icmdPWjZTWU5zbDBzMHpQWXh0MFZ4cW5IajhJTEIyanVZR3RqbklucW13cWx4TGNPMDhtVzhWZWFoeGdiZGN4aHYxaVdjeDNIN1FsMS1UY1pSTWFsVmFzblFWRVFLeEt3czhjcF9wT2kzMHJRWS1VbXdkQVVnLTVUTnA4RHAtRV92M1JiTjVmazNjVzdZVHdOMnpiMTBlT1dRWkRlenROZw?oc=5,2026-08-05 09:49:00,DD India,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxNM05icmdPWjZTWU5zbDBzMHpQWXh0MFZ4cW5IajhJTEIyanVZR3RqbklucW13cWx4TGNPMDhtVzhWZWFoeGdiZGN4aHYxaVdjeDNIN1FsMS1UY1pSTWFsVmFzblFWRVFLeEt3czhjcF9wT2kzMHJRWS1VbXdkQVVnLTVUTnA4RHAtRV92M1JiTjVmazNjVzdZVHdOMnpiMTBlT1dRWkRlenROZw?oc=5"" target=""_blank"">Dehradun schools shut as heavy rain batters Uttarakhand, orange alert issued</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DD India</font>",Monsoon,en
