Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Update: বেলা বাড়লেই ভ্যাপসা গরম, কবে বর্ষার মুখ দেখবে কলকাতা-হাওড়া-হুগলি - TV9 Bangla",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQVDIzbEF0dV9zT05KZ0NicGV4d2pvNDBueEhyczFHYkhLVXVGLVhVVkp1YUhGN21JN01fbXZWN1A1Vms5M0M5ZTU0cUpSSWdNNmJ3WVRvZmwybmN0cGVQaGJIbWthWjVrRnZBRXlRY2dFTkd3QTN3NThGa0VPRUtoVmcwY21PY0xGQTVwOFZRSjBDYlhOTmNscllJeUxSekJmeTRJblNIWjdKMnEwN2pGWU81cVlYOFRONkZwQ2hJQ19FQ1nSAcgBQVVfeXFMUGExU1BOZWdqYWdDTjc3d1VMaVRNWXVxdEowQzJQbjM1dHN0cFhPN0trb1AtNHZEN1h4Y043aTloWEVHeUdxQjJWb3QtWm95bGxrcXBpVXB6bVMxYkFWMGFudE15MEFMRGtSXzZBcURVWnE1VmI4S3NyalpxLXdfbTgzWmwwTk10d1pEc0hTOFpMYzBDU1hseUQ0Z1czb1U3UDUwdzlLNUpJLWcwUnFYUkZRdlRuZVFCNWoxdFVKQzBYZTJHcTBOLUI?oc=5,2026-06-12 07:30:57,TV9 Bangla,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQVDIzbEF0dV9zT05KZ0NicGV4d2pvNDBueEhyczFHYkhLVXVGLVhVVkp1YUhGN21JN01fbXZWN1A1Vms5M0M5ZTU0cUpSSWdNNmJ3WVRvZmwybmN0cGVQaGJIbWthWjVrRnZBRXlRY2dFTkd3QTN3NThGa0VPRUtoVmcwY21PY0xGQTVwOFZRSjBDYlhOTmNscllJeUxSekJmeTRJblNIWjdKMnEwN2pGWU81cVlYOFRONkZwQ2hJQ19FQ1nSAcgBQVVfeXFMUGExU1BOZWdqYWdDTjc3d1VMaVRNWXVxdEowQzJQbjM1dHN0cFhPN0trb1AtNHZEN1h4Y043aTloWEVHeUdxQjJWb3QtWm95bGxrcXBpVXB6bVMxYkFWMGFudE15MEFMRGtSXzZBcURVWnE1VmI4S3NyalpxLXdfbTgzWmwwTk10d1pEc0hTOFpMYzBDU1hseUQ0Z1czb1U3UDUwdzlLNUpJLWcwUnFYUkZRdlRuZVFCNWoxdFVKQzBYZTJHcTBOLUI?oc=5"" target=""_blank"">Weather Update: বেলা বাড়লেই ভ্যাপসা গরম, কবে বর্ষার মুখ দেখবে কলকাতা-হাওড়া-হুগলি</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TV9 Bangla</font>",Monsoon,bn
"West Bengal Weather: ভারী বৃষ্টির পূর্বাভাস, সঙ্গে বইবে ঝড়, আজ কোন কোন জেলায় দুর্যোগ? - AajTak Bangla",https://news.google.com/rss/articles/CBMizgFBVV95cUxOdGFST29DRzNHVnpYQzdBbE5Yb2I5NTk3XzNJNEcteHVrSkhoVW5wUjMwTUxBajVwM09udV9yZ0JEVDgxcVJZX0dkd2ZZVVd5djhmNlJtak5BeGpsS1RxOUlKbmIxeGlmckk4YlNfMFdCYWZQYzlwaWgyTFZfTDdEMEJvMjFqNUdnVWwydFlLN0NHR2VIalg0LVNFR2dkMVpFSGlYcVJoUDV5WXlveWJTaUpWdnRPSDNiVDNIaUxVQXl5SkstVERIcTJSQ2NfUdIB0wFBVV95cUxOMS1xN2x1ZE9fRlFNdWhfZkNtUHhCR0dxVkI1RktJSVRRWXJtSE8wQTI0NmlfRE9lZXN6dWFEVFF2UzFEYmhFZTlkYXpUdUM0LVg2Z0Q4Rl85RV9tenh2UkN4YVM0SERVX3dMZEFwZWRCa2pjbTczWG9WaEwwSkRMQ0xLanVseFlISVFkd19qZW0zeUNDX05Ld2pXdG5fQmJYNDNha2pJM0xBRUVqZlh4Y3VETzA4T0VTZXJHemdKb3lhLTJpSGZNWlFHSnZvRWJPelJ3?oc=5,2026-06-12 06:19:53,AajTak Bangla,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOdGFST29DRzNHVnpYQzdBbE5Yb2I5NTk3XzNJNEcteHVrSkhoVW5wUjMwTUxBajVwM09udV9yZ0JEVDgxcVJZX0dkd2ZZVVd5djhmNlJtak5BeGpsS1RxOUlKbmIxeGlmckk4YlNfMFdCYWZQYzlwaWgyTFZfTDdEMEJvMjFqNUdnVWwydFlLN0NHR2VIalg0LVNFR2dkMVpFSGlYcVJoUDV5WXlveWJTaUpWdnRPSDNiVDNIaUxVQXl5SkstVERIcTJSQ2NfUdIB0wFBVV95cUxOMS1xN2x1ZE9fRlFNdWhfZkNtUHhCR0dxVkI1RktJSVRRWXJtSE8wQTI0NmlfRE9lZXN6dWFEVFF2UzFEYmhFZTlkYXpUdUM0LVg2Z0Q4Rl85RV9tenh2UkN4YVM0SERVX3dMZEFwZWRCa2pjbTczWG9WaEwwSkRMQ0xLanVseFlISVFkd19qZW0zeUNDX05Ld2pXdG5fQmJYNDNha2pJM0xBRUVqZlh4Y3VETzA4T0VTZXJHemdKb3lhLTJpSGZNWlFHSnZvRWJPelJ3?oc=5"" target=""_blank"">West Bengal Weather: ভারী বৃষ্টির পূর্বাভাস, সঙ্গে বইবে ঝড়, আজ কোন কোন জেলায় দুর্যোগ?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AajTak Bangla</font>",Monsoon,bn
"WB Weather Alerts: সপ্তাহান্তে উত্তর ও দক্ষিণবঙ্গে ভারী বৃষ্টির সতর্কতা, কখন থেকে নামবে বৃষ্টি? জানুন বিরাট আপডেট - Asianet News Bangla",https://news.google.com/rss/articles/CBMigAJBVV95cUxOV1FjaG5iendRekpzQm9FNWxGcmJnOGhoMmhhZzlzQ2tmX3VRT1NWa25QcTdoU20wdDduYzdJWVhrT0Z6QmFvWUYxNnpITkZSeGlHWVc0TmhlVGRJMnd4V2tNWmxEOXN1S2tXQS1vb0liakV3bzdtTmtXenNUWUF5OVE5T3hHeFdSYU9WU3R6MFR1d3RvY3lmeEF4amQ4TzUwellSTlRteGpSaVlJS0JyMXJBWG1OMnZwekplVmlMbmNxMjJQR2RZX28wTExvVkZTUi1qbjFlZkoyQ0hicjNCMmtURFlid0lFLXF4VDVYUGJmMmxqb0JLeDYtRTZrNld60gGAAkFVX3lxTE5XUWNobmJ6d1F6SnNCb0U1bEZyYmc4aGgyaGFnOXNDa2ZfdVFPU1ZrblBxN2hTbTB0N25jN0lZWGtPRnpCYW9ZRjE2ekhORlJ4aUdZVzROaGVUZEkyd3hXa01abEQ5c3VLa1dBLW9vSWJqRXdvN21Oa1d6c1RZQXk5UTlPeEd4V1JhT1ZTdHowVHV3dG9jeWZ4QXhqZDhPNTB6WVJOVG14alJpWUlLQnIxckFYbU4ydnB6SmVWaUxuY3EyMlBHZFlfbzBMTG9WRlNSLWpuMWVmSjJDSGJyM0Iya1REWWJ3SUUtcXhUNVhQYmYybGpvQkt4Ni1FNms2V3o?oc=5,2026-06-12 06:46:24,Asianet News Bangla,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxOV1FjaG5iendRekpzQm9FNWxGcmJnOGhoMmhhZzlzQ2tmX3VRT1NWa25QcTdoU20wdDduYzdJWVhrT0Z6QmFvWUYxNnpITkZSeGlHWVc0TmhlVGRJMnd4V2tNWmxEOXN1S2tXQS1vb0liakV3bzdtTmtXenNUWUF5OVE5T3hHeFdSYU9WU3R6MFR1d3RvY3lmeEF4amQ4TzUwellSTlRteGpSaVlJS0JyMXJBWG1OMnZwekplVmlMbmNxMjJQR2RZX28wTExvVkZTUi1qbjFlZkoyQ0hicjNCMmtURFlid0lFLXF4VDVYUGJmMmxqb0JLeDYtRTZrNld60gGAAkFVX3lxTE5XUWNobmJ6d1F6SnNCb0U1bEZyYmc4aGgyaGFnOXNDa2ZfdVFPU1ZrblBxN2hTbTB0N25jN0lZWGtPRnpCYW9ZRjE2ekhORlJ4aUdZVzROaGVUZEkyd3hXa01abEQ5c3VLa1dBLW9vSWJqRXdvN21Oa1d6c1RZQXk5UTlPeEd4V1JhT1ZTdHowVHV3dG9jeWZ4QXhqZDhPNTB6WVJOVG14alJpWUlLQnIxckFYbU4ydnB6SmVWaUxuY3EyMlBHZFlfbzBMTG9WRlNSLWpuMWVmSjJDSGJyM0Iya1REWWJ3SUUtcXhUNVhQYmYybGpvQkt4Ni1FNms2V3o?oc=5"" target=""_blank"">WB Weather Alerts: সপ্তাহান্তে উত্তর ও দক্ষিণবঙ্গে ভারী বৃষ্টির সতর্কতা, কখন থেকে নামবে বৃষ্টি? জানুন বিরাট আপডেট</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet News Bangla</font>",Monsoon,bn
"শুক্রবারও সাত জেলায় ঝড়! বিক্ষিপ্ত বৃষ্টির সম্ভাবনা কলকাতা-সহ দক্ষিণে, বর্ষা ঢুকবে কবে? কোথায় কী পূর্বাভাস - Anandabazar Patrika",https://news.google.com/rss/articles/CBMizwFBVV95cUxNQk5pV1lkVUtrdi14cGIzT1NVMmZJNTdjT0xmYTBNMVVTRzJjRXh4SlAxOHZhTU81SG1od2lMS1VqTWpiWVhnQ1poeGo1RmZ0dFpULVBXN3paY3I5X1pVRXRGbmctV2l2UDNJVGZITTAxOTFqMW1MNXY5UjNraGloajhfYlpTdXcwNDdzcHV0TjlBYlpxZTI5cjFpVjBiSjZDQmxHTC13dXd2T25ieDBRV1lkeUpNX09mUHE3Nk9vcV82bUk2bXZ0cEVnT0VLLTjSAc8BQVVfeXFMTUJOaVdZZFVLa3YteHBiM09TVTJmSTU3Y09MZmEwTTFVU0cyY0V4eEpQMTh2YU1PNUhtaHdpTEtVak1qYllYZ0NaaHhqNUZmdHRaVC1QVzd6WmNyOV9aVUV0Rm5nLVdpdlAzSVRmSE0wMTkxajFtTDV2OVIza2hpaGo4X2JaU3V3MDQ3c3B1dE45QWJacWUyOXIxaVYwYko2Q0JsR0wtd3V3dk9uYngwUVdZZHlKTV9PZlBxNzZPb3FfNm1JNm12dHBFZ09FSy04?oc=5,2026-06-12 10:32:50,Anandabazar Patrika,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNQk5pV1lkVUtrdi14cGIzT1NVMmZJNTdjT0xmYTBNMVVTRzJjRXh4SlAxOHZhTU81SG1od2lMS1VqTWpiWVhnQ1poeGo1RmZ0dFpULVBXN3paY3I5X1pVRXRGbmctV2l2UDNJVGZITTAxOTFqMW1MNXY5UjNraGloajhfYlpTdXcwNDdzcHV0TjlBYlpxZTI5cjFpVjBiSjZDQmxHTC13dXd2T25ieDBRV1lkeUpNX09mUHE3Nk9vcV82bUk2bXZ0cEVnT0VLLTjSAc8BQVVfeXFMTUJOaVdZZFVLa3YteHBiM09TVTJmSTU3Y09MZmEwTTFVU0cyY0V4eEpQMTh2YU1PNUhtaHdpTEtVak1qYllYZ0NaaHhqNUZmdHRaVC1QVzd6WmNyOV9aVUV0Rm5nLVdpdlAzSVRmSE0wMTkxajFtTDV2OVIza2hpaGo4X2JaU3V3MDQ3c3B1dE45QWJacWUyOXIxaVYwYko2Q0JsR0wtd3V3dk9uYngwUVdZZHlKTV9PZlBxNzZPb3FfNm1JNm12dHBFZ09FSy04?oc=5"" target=""_blank"">শুক্রবারও সাত জেলায় ঝড়! বিক্ষিপ্ত বৃষ্টির সম্ভাবনা কলকাতা-সহ দক্ষিণে, বর্ষা ঢুকবে কবে? কোথায় কী পূর্বাভাস</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Anandabazar Patrika</font>",Monsoon,bn
"Weather Update: বেলা বাড়লেই ভ্যাপসা গরম, কবে বর্ষার মুখ দেখবে কলকাতা-হাওড়া-হুগলি - TV9 Bangla",https://news.google.com/rss/articles/CBMiyAFBVV95cUxQYTFTUE5lZ2phZ0NONzd3VUxpVE1ZdXF0SjBDMlBuMzV0c3RwWE83S2tvUC00dkQ3WHhjTjdpOWhYRUd5R3FCMlZvdC1ab3lsbGtxcGlVcHptUzFiQVYwYW50TXkwQUxEa1JfNkFxRFVacTVWYjhLc3JqWnEtd19tODNabDBOTXR3WkRzSFM4WkxjMENTWGx5RDRnVzNvVTdQNTB3OUs1SkktZzBScVhSRlF2VG5lUUI1ajF0VUpDMFhlMkdxME4tQtIByAFBVV95cUxQYTFTUE5lZ2phZ0NONzd3VUxpVE1ZdXF0SjBDMlBuMzV0c3RwWE83S2tvUC00dkQ3WHhjTjdpOWhYRUd5R3FCMlZvdC1ab3lsbGtxcGlVcHptUzFiQVYwYW50TXkwQUxEa1JfNkFxRFVacTVWYjhLc3JqWnEtd19tODNabDBOTXR3WkRzSFM4WkxjMENTWGx5RDRnVzNvVTdQNTB3OUs1SkktZzBScVhSRlF2VG5lUUI1ajF0VUpDMFhlMkdxME4tQg?oc=5,2026-06-12 07:30:57,TV9 Bangla,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQYTFTUE5lZ2phZ0NONzd3VUxpVE1ZdXF0SjBDMlBuMzV0c3RwWE83S2tvUC00dkQ3WHhjTjdpOWhYRUd5R3FCMlZvdC1ab3lsbGtxcGlVcHptUzFiQVYwYW50TXkwQUxEa1JfNkFxRFVacTVWYjhLc3JqWnEtd19tODNabDBOTXR3WkRzSFM4WkxjMENTWGx5RDRnVzNvVTdQNTB3OUs1SkktZzBScVhSRlF2VG5lUUI1ajF0VUpDMFhlMkdxME4tQtIByAFBVV95cUxQYTFTUE5lZ2phZ0NONzd3VUxpVE1ZdXF0SjBDMlBuMzV0c3RwWE83S2tvUC00dkQ3WHhjTjdpOWhYRUd5R3FCMlZvdC1ab3lsbGtxcGlVcHptUzFiQVYwYW50TXkwQUxEa1JfNkFxRFVacTVWYjhLc3JqWnEtd19tODNabDBOTXR3WkRzSFM4WkxjMENTWGx5RDRnVzNvVTdQNTB3OUs1SkktZzBScVhSRlF2VG5lUUI1ajF0VUpDMFhlMkdxME4tQg?oc=5"" target=""_blank"">Weather Update: বেলা বাড়লেই ভ্যাপসা গরম, কবে বর্ষার মুখ দেখবে কলকাতা-হাওড়া-হুগলি</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TV9 Bangla</font>",Monsoon,bn
"শুক্রবারও সাত জেলায় ঝড়! বিক্ষিপ্ত বৃষ্টির সম্ভাবনা কলকাতা-সহ দক্ষিণে, বর্ষা ঢুকবে কবে? কোথায় কী পূর্বাভাস - Anandabazar Patrika",https://news.google.com/rss/articles/CBMiygFBVV95cUxOQWlPWGk2TGlkUlBrSlE5NHMtNmZpa2NQZHdTS3A4bGFDWE5JWlc2VVNBWUdCd2p3aFRaajc2RDM2cnBuX0JUZktvcWJxUTY0cGczRDRmLU5DdzcyN2RhYW9sanJUVU1rMEIwejJBbmFITC1NTEVZajdyaERoT1JPS1VXb0E2SlBnNUZJdHltMXNKNVZ3NUR1MnRlODFob1hFdVhQeFJ5SV9aMEIwYUdCRDM5RFI4SndzZHNBX1hlRE5keVJHVjY3dzFn0gHPAUFVX3lxTE1CTmlXWWRVS2t2LXhwYjNPU1UyZkk1N2NPTGZhME0xVVNHMmNFeHhKUDE4dmFNTzVIbWh3aUxLVWpNamJZWGdDWmh4ajVGZnR0WlQtUFc3elpjcjlfWlVFdEZuZy1XaXZQM0lUZkhNMDE5MWoxbUw1djlSM2toaWhqOF9iWlN1dzA0N3NwdXROOUFiWnFlMjlyMWlWMGJKNkNCbEdMLXd1d3ZPbmJ4MFFXWWR5Sk1fT2ZQcTc2T29xXzZtSTZtdnRwRWdPRUstOA?oc=5,2026-06-12 10:32:50,Anandabazar Patrika,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOQWlPWGk2TGlkUlBrSlE5NHMtNmZpa2NQZHdTS3A4bGFDWE5JWlc2VVNBWUdCd2p3aFRaajc2RDM2cnBuX0JUZktvcWJxUTY0cGczRDRmLU5DdzcyN2RhYW9sanJUVU1rMEIwejJBbmFITC1NTEVZajdyaERoT1JPS1VXb0E2SlBnNUZJdHltMXNKNVZ3NUR1MnRlODFob1hFdVhQeFJ5SV9aMEIwYUdCRDM5RFI4SndzZHNBX1hlRE5keVJHVjY3dzFn0gHPAUFVX3lxTE1CTmlXWWRVS2t2LXhwYjNPU1UyZkk1N2NPTGZhME0xVVNHMmNFeHhKUDE4dmFNTzVIbWh3aUxLVWpNamJZWGdDWmh4ajVGZnR0WlQtUFc3elpjcjlfWlVFdEZuZy1XaXZQM0lUZkhNMDE5MWoxbUw1djlSM2toaWhqOF9iWlN1dzA0N3NwdXROOUFiWnFlMjlyMWlWMGJKNkNCbEdMLXd1d3ZPbmJ4MFFXWWR5Sk1fT2ZQcTc2T29xXzZtSTZtdnRwRWdPRUstOA?oc=5"" target=""_blank"">শুক্রবারও সাত জেলায় ঝড়! বিক্ষিপ্ত বৃষ্টির সম্ভাবনা কলকাতা-সহ দক্ষিণে, বর্ষা ঢুকবে কবে? কোথায় কী পূর্বাভাস</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Anandabazar Patrika</font>",Monsoon,bn
Kolkata Weather LATEST Update: South Bengal Awaits Monsoon as North Bengal Receives Heavy Rainfall - Asianet Newsable,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQdy1UbDRNRzJSOWVNeERtSGl4V1B2THJGYzNWbVdZZ19MQWhBc2J5SVZiUFFBT2h4RXNycTNzbGM1ZG5rb0s3dzlnMmVURm45V3FiV1ExdnNFbDl5dDJkRlVlYWhmRDZHWWtXV3pBdTJnNHlYN1M5a0JrcDBOU3dNbnNtclktN0hhcnlRZnNVOEJQajVfM21pOG9oa0hmc2d0aWVGSVVTVDJaa2JTU2FhUjZQNV84bmNNSXVaX3pGMVBPVE1NOWQwajVacmprZVlOWDl6OUJORjJfUkh3QmJ2X0picHNMREnSAewBQVVfeXFMTVdGSU5FYjBocV9PTV9DRGJPa2hkcEw0RURnNUpkNTh5YVREbWk4MW5Mb2M1X2pXZVZsOXVQenBmMnhDcFZtTTZMZ016N2ttOWhnWl9KdmJvS3g4bHIyY01UVG5CeFRzemloVjNmV3MwZDJnV1RnOElraVpOaFc1TWVnTmpvWkxGc1NxUE4wYjJLNXFGcFU5UWVhUHpKaFdJUEZxMjk1VTVQamhCMElMMFNBaVh5LUNQdFJQUWVXcVhOemFONWpCdm9zWkNyb3h1S28tbjdpLUdEVHVJTGRoeVZCNm16QURnajlLTDc?oc=5,2026-06-12 08:06:25,Asianet Newsable,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQdy1UbDRNRzJSOWVNeERtSGl4V1B2THJGYzNWbVdZZ19MQWhBc2J5SVZiUFFBT2h4RXNycTNzbGM1ZG5rb0s3dzlnMmVURm45V3FiV1ExdnNFbDl5dDJkRlVlYWhmRDZHWWtXV3pBdTJnNHlYN1M5a0JrcDBOU3dNbnNtclktN0hhcnlRZnNVOEJQajVfM21pOG9oa0hmc2d0aWVGSVVTVDJaa2JTU2FhUjZQNV84bmNNSXVaX3pGMVBPVE1NOWQwajVacmprZVlOWDl6OUJORjJfUkh3QmJ2X0picHNMREnSAewBQVVfeXFMTVdGSU5FYjBocV9PTV9DRGJPa2hkcEw0RURnNUpkNTh5YVREbWk4MW5Mb2M1X2pXZVZsOXVQenBmMnhDcFZtTTZMZ016N2ttOWhnWl9KdmJvS3g4bHIyY01UVG5CeFRzemloVjNmV3MwZDJnV1RnOElraVpOaFc1TWVnTmpvWkxGc1NxUE4wYjJLNXFGcFU5UWVhUHpKaFdJUEZxMjk1VTVQamhCMElMMFNBaVh5LUNQdFJQUWVXcVhOemFONWpCdm9zWkNyb3h1S28tbjdpLUdEVHVJTGRoeVZCNm16QURnajlLTDc?oc=5"" target=""_blank"">Kolkata Weather LATEST Update: South Bengal Awaits Monsoon as North Bengal Receives Heavy Rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",Monsoon,en
IMD warns of intense heatwaves and heavy rain across these popular tourist regions in India; what travellers need to know - MSN,https://news.google.com/rss/articles/CBMivwJBVV95cUxNSzNESjhVdGRKcG1kTjZJZTFHc2V0UEVVQlVnNlNRS2NySlNaeUU1VVNheU5NOEluUGtGdTdyWGhlVW4yYzZMdDRYSWlvN2lNamswRVNqanZIMGdPN2hMTkRNdkx5N2pNeGotSjkwblNlQ3RabkY3aS1WNkpna1doSEZDMHpIX2NjUGJxdGFEalJGc3d5NjNhSGEyZTNTT3NpSVlqS0ZBNFBHenlGdVV0V2hpOWhibUdyazFHM0NZbElXOWtpRnR6bnppU0k3ZDNkeVpmdFFWMVJJTVVPNk5hT1NOSV9LcG5mWlM5eHppZTJHb1dubFRKTzdJRFAyYmJBZzl6LTF6Y2tHbzU5OWgydFpQVU1kSS1MN19Oc0VIYUtRU0U1NVo5NUc3dFpoRmQ1cUxmNnQ1S3Z1WG1mYzdv?oc=5,2026-06-12 02:52:46,MSN,"<a href=""https://news.google.com/rss/articles/CBMivwJBVV95cUxNSzNESjhVdGRKcG1kTjZJZTFHc2V0UEVVQlVnNlNRS2NySlNaeUU1VVNheU5NOEluUGtGdTdyWGhlVW4yYzZMdDRYSWlvN2lNamswRVNqanZIMGdPN2hMTkRNdkx5N2pNeGotSjkwblNlQ3RabkY3aS1WNkpna1doSEZDMHpIX2NjUGJxdGFEalJGc3d5NjNhSGEyZTNTT3NpSVlqS0ZBNFBHenlGdVV0V2hpOWhibUdyazFHM0NZbElXOWtpRnR6bnppU0k3ZDNkeVpmdFFWMVJJTVVPNk5hT1NOSV9LcG5mWlM5eHppZTJHb1dubFRKTzdJRFAyYmJBZzl6LTF6Y2tHbzU5OWgydFpQVU1kSS1MN19Oc0VIYUtRU0U1NVo5NUc3dFpoRmQ1cUxmNnQ1S3Z1WG1mYzdv?oc=5"" target=""_blank"">IMD warns of intense heatwaves and heavy rain across these popular tourist regions in India; what travellers need to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
Extremely Heavy Rainfall Expected in Sub-Himalayan West Bengal & Sikkim Today: IMD - News On AIR,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQa0lYcUZFWGExMUEtWEFQZFQ4elc3YkJHLUxkOUR4azVySGxjYnNuWEtrcm1hcGJVVm03RnJrRjB6UjNzTjh3WGZnZWk1TG5QczNwSS05YWpCN0VjdFBNV2FpM1RMWUxUYnZHdlhfRnNTTDR2dHZkd1RKRnpwZTdvYV9saVgxWWpYM01zMkxLeXRpcmtpdlltMkJrMHFjRGtJd2dvbmpTWDE?oc=5,2026-06-12 00:38:59,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQa0lYcUZFWGExMUEtWEFQZFQ4elc3YkJHLUxkOUR4azVySGxjYnNuWEtrcm1hcGJVVm03RnJrRjB6UjNzTjh3WGZnZWk1TG5QczNwSS05YWpCN0VjdFBNV2FpM1RMWUxUYnZHdlhfRnNTTDR2dHZkd1RKRnpwZTdvYV9saVgxWWpYM01zMkxLeXRpcmtpdlltMkJrMHFjRGtJd2dvbmpTWDE?oc=5"" target=""_blank"">Extremely Heavy Rainfall Expected in Sub-Himalayan West Bengal & Sikkim Today: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"IMD forecasts heavy rainfall over Northeastern states, Kerala, Mahe and Sub-Himalayan West Bengal - News On AIR",https://news.google.com/rss/articles/CBMivgFBVV95cUxOVXloLVU5aE9sZ2E1aVFNTVdNNHIwSFlWVHdja0o4UVV2U2ZJNEljZ19PODdyQ2RyN2VlMnJRbWpyMnMxaWpBQ1lKbFFhZUFYb3ktVGVfcW9mcEJndFAwblRYcDFOVVBLNVc0ei0yQXdCcVJCZHdjbTNiMng3X2tqaEhaS2ZaZ1dEZnplSFVSZ2xvbGdtZzZKNkpzbG5Ta0tOOG5yZklScE96STJFXzBRZmxVZUZ2eXpiMzNsODlB?oc=5,2026-06-12 06:15:49,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOVXloLVU5aE9sZ2E1aVFNTVdNNHIwSFlWVHdja0o4UVV2U2ZJNEljZ19PODdyQ2RyN2VlMnJRbWpyMnMxaWpBQ1lKbFFhZUFYb3ktVGVfcW9mcEJndFAwblRYcDFOVVBLNVc0ei0yQXdCcVJCZHdjbTNiMng3X2tqaEhaS2ZaZ1dEZnplSFVSZ2xvbGdtZzZKNkpzbG5Ta0tOOG5yZklScE96STJFXzBRZmxVZUZ2eXpiMzNsODlB?oc=5"" target=""_blank"">IMD forecasts heavy rainfall over Northeastern states, Kerala, Mahe and Sub-Himalayan West Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
