Title,Link,Date,Source,Summary,Term,LanguageQueried
"Cyclone ‘Senyar’: IMD forecasts heavy rain in these states; check expected landfall timing, other details - livemint.com",https://news.google.com/rss/articles/CBMizgFBVV95cUxPYkFqcHNJcHJ6Z0oxZ0laNXBhNTRCVXhrYW1OTlpkMFl2N3laSjc4YWZTbFB2bi1MX21pcUdkZnduRm0zeWpKc2RJenVxMzRvSkJjMm9QT0lzc0Y2a1RXc0d3VXR6VnJDbFQ3eFNFUi1BSmxVRjl2bXkzcVN4Q3kybnNFZTMwNHg3SFdUUmRIXzBvMF94WHVzWDVpZ2RsV0d5SEs2Ul9VOVZmUE1ESDQxeGdLM2lpN3FJMFNkSTZmNDFVeExQS0duQXhtSXFzZ9IB0wFBVV95cUxNTzhzcXFpVjVWMHkxcWpzampCSVBybWlhQlZ4aENTWW9DdFNsLW1Vem5aTlJSdnFQRjB5ZXQyZWk1NGVFZWVqQnhtX3pjMU8wdzB0TEo3WjdVR2czR3huZVRUT3dsaTRCWTdVVjMyN3J6ZWlFNHNfQnVaR0lBdWJhbWM4dWpaUm1vZjZKMERBcnJVcGZxQTdpR3Znb2ExMXV1ZmlVX2llTXlFbU5UR2I5QXByeE1ZejcwZ2VHbGNNRWhzUzlaU0Z5YllMU2RvNkZHX2FB?oc=5,2025-11-26 08:45:58,livemint.com,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPYkFqcHNJcHJ6Z0oxZ0laNXBhNTRCVXhrYW1OTlpkMFl2N3laSjc4YWZTbFB2bi1MX21pcUdkZnduRm0zeWpKc2RJenVxMzRvSkJjMm9QT0lzc0Y2a1RXc0d3VXR6VnJDbFQ3eFNFUi1BSmxVRjl2bXkzcVN4Q3kybnNFZTMwNHg3SFdUUmRIXzBvMF94WHVzWDVpZ2RsV0d5SEs2Ul9VOVZmUE1ESDQxeGdLM2lpN3FJMFNkSTZmNDFVeExQS0duQXhtSXFzZ9IB0wFBVV95cUxNTzhzcXFpVjVWMHkxcWpzampCSVBybWlhQlZ4aENTWW9DdFNsLW1Vem5aTlJSdnFQRjB5ZXQyZWk1NGVFZWVqQnhtX3pjMU8wdzB0TEo3WjdVR2czR3huZVRUT3dsaTRCWTdVVjMyN3J6ZWlFNHNfQnVaR0lBdWJhbWM4dWpaUm1vZjZKMERBcnJVcGZxQTdpR3Znb2ExMXV1ZmlVX2llTXlFbU5UR2I5QXByeE1ZejcwZ2VHbGNNRWhzUzlaU0Z5YllMU2RvNkZHX2FB?oc=5"" target=""_blank"">Cyclone ‘Senyar’: IMD forecasts heavy rain in these states; check expected landfall timing, other details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",Monsoon,en
"Cyclone Senyar LIVE tracker: Low pressure system intensifies, severe flooding at Tamil Nadu's Thirparappu waterfall - livemint.com",https://news.google.com/rss/articles/CBMi6gFBVV95cUxNRUZ0bnJjUksxMzJuV3BQXy16dHhiMmNqOVk0ZG9CN2hUTVBHbU1wenh5VVNQbFdkaHE1MHVteWpOMFJSWnAzb0xtbHFXcUxwRmpoZWNOQTlNa1lUQnk5TUFtSWg4eDdnN1k2OEFOaFBNRkg1cDh4VkZ2T3UwRHZnLVMzR2hPN1REM1J6aW1qVFZfUE5STmsycmJpQ2dtQ1B4YkgybWc5Q09CT010aXRza0ViZEpOZFJ5Y0NBbktPYUdzZHVjaS13SkprZGFUTGtKOTVOeXZhY0VvcWJSa29tMmtnSzhoWV9uMmfSAe8BQVVfeXFMT0hSSDNtanJydjlxckd3b3FQTE9FcFpxdFpNZ1l3cWI2MVUxWGJJdE5qY1dlc3hVRHV3WVdYZ0NRUmZYTXVMQlFGd0gxdzNpbno3QmRMRndPWGFEMXNZUkNKVHNGUUR3T1lDVXpXb2JCSUpXS2RFU3NXaGdoNC0wRkg5bTFjMDY3elkxWDNpT0lyTUllYXl0RC00cml2RkZHSkhENFdhVG1EX3hqMElHdzh3aU1uZmpKZV8xRTNqQkZqMWJQUEtzc19CNEU0cmlBVlEzTVZIMXItbkNKSFVQM19NWmZEOHVSbm9PT1VGMUU?oc=5,2025-11-26 08:40:01,livemint.com,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNRUZ0bnJjUksxMzJuV3BQXy16dHhiMmNqOVk0ZG9CN2hUTVBHbU1wenh5VVNQbFdkaHE1MHVteWpOMFJSWnAzb0xtbHFXcUxwRmpoZWNOQTlNa1lUQnk5TUFtSWg4eDdnN1k2OEFOaFBNRkg1cDh4VkZ2T3UwRHZnLVMzR2hPN1REM1J6aW1qVFZfUE5STmsycmJpQ2dtQ1B4YkgybWc5Q09CT010aXRza0ViZEpOZFJ5Y0NBbktPYUdzZHVjaS13SkprZGFUTGtKOTVOeXZhY0VvcWJSa29tMmtnSzhoWV9uMmfSAe8BQVVfeXFMT0hSSDNtanJydjlxckd3b3FQTE9FcFpxdFpNZ1l3cWI2MVUxWGJJdE5qY1dlc3hVRHV3WVdYZ0NRUmZYTXVMQlFGd0gxdzNpbno3QmRMRndPWGFEMXNZUkNKVHNGUUR3T1lDVXpXb2JCSUpXS2RFU3NXaGdoNC0wRkg5bTFjMDY3elkxWDNpT0lyTUllYXl0RC00cml2RkZHSkhENFdhVG1EX3hqMElHdzh3aU1uZmpKZV8xRTNqQkZqMWJQUEtzc19CNEU0cmlBVlEzTVZIMXItbkNKSFVQM19NWmZEOHVSbm9PT1VGMUU?oc=5"" target=""_blank"">Cyclone Senyar LIVE tracker: Low pressure system intensifies, severe flooding at Tamil Nadu's Thirparappu waterfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",Monsoon,en
"Cyclone Senyar Live Updates: When will it make landfall? Heavy rains in Andaman and Nicobar Islands, Tamil Nadu, Kerala, Lakshadweep - DNA India",https://news.google.com/rss/articles/CBMi-gFBVV95cUxNcE9qblpTUEdxa2dUcEF1ZVp1VWdiYUlFMUY2bjBwMTlWWFAxZ01DM1ZnSE02QTU2Q2FnaUEtei0wQ3hPWnZuaEhzX18yTWYtaU9CVlh4cXlKTXE0SzY5U0lpaEN5X0swbk15dHFWWDBfclMwdzFvMUJvcmlpcDlsZGpDRWJZRHd2R2I3cktTaTdPQ1dUb2Y5ZmcxdlhQZWdhSm1zZnU0eG04SmdwNVdTQllCYXZRRWhoV0haR0Rua2lmUGZMbXRwTDV4X1JfeVFpR1ZXcnAzcjROZEF2S1o1aGZfdFFZNThCaUVILUNOalZZaE5TRHREckF30gH_AUFVX3lxTE5qRDI2TkxmV3VDSUlIODZhSVp0bVJZV3BKLUZYaXhYUmlhRTNvUTlMeThOUHROUHBrWlA0c3R0UmRSTTVDbWhlR1p3VGswTTV0X29mcEoxdHc1aW1MS191bGliemQ3UE9MWVBLQmpHM0Rid1hBSXZ4RVRWdzJZZHoxWS1EelZqbVJnczQ0d2ZzWnZTWDhjd2ZpTTZDTU5RZUtkTm95MTJnNkl2YVg5TEdXNHZJd2lHR2ZHdkpxMFBfLTZJWnlXakN6bWZOWjY5NXI1eWJsbTY5UFRMeGFEOU0xTmk0eW03aEhUQnRQSHRHVGtTY3pUSjM4Q1FJYmQzbw?oc=5,2025-11-26 10:07:00,DNA India,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxNcE9qblpTUEdxa2dUcEF1ZVp1VWdiYUlFMUY2bjBwMTlWWFAxZ01DM1ZnSE02QTU2Q2FnaUEtei0wQ3hPWnZuaEhzX18yTWYtaU9CVlh4cXlKTXE0SzY5U0lpaEN5X0swbk15dHFWWDBfclMwdzFvMUJvcmlpcDlsZGpDRWJZRHd2R2I3cktTaTdPQ1dUb2Y5ZmcxdlhQZWdhSm1zZnU0eG04SmdwNVdTQllCYXZRRWhoV0haR0Rua2lmUGZMbXRwTDV4X1JfeVFpR1ZXcnAzcjROZEF2S1o1aGZfdFFZNThCaUVILUNOalZZaE5TRHREckF30gH_AUFVX3lxTE5qRDI2TkxmV3VDSUlIODZhSVp0bVJZV3BKLUZYaXhYUmlhRTNvUTlMeThOUHROUHBrWlA0c3R0UmRSTTVDbWhlR1p3VGswTTV0X29mcEoxdHc1aW1MS191bGliemQ3UE9MWVBLQmpHM0Rid1hBSXZ4RVRWdzJZZHoxWS1EelZqbVJnczQ0d2ZzWnZTWDhjd2ZpTTZDTU5RZUtkTm95MTJnNkl2YVg5TEdXNHZJd2lHR2ZHdkpxMFBfLTZJWnlXakN6bWZOWjY5NXI1eWJsbTY5UFRMeGFEOU0xTmk0eW03aEhUQnRQSHRHVGtTY3pUSjM4Q1FJYmQzbw?oc=5"" target=""_blank"">Cyclone Senyar Live Updates: When will it make landfall? Heavy rains in Andaman and Nicobar Islands, Tamil Nadu, Kerala, Lakshadweep</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font>",Monsoon,en
"Chennai rain alert: Cyclone 'Senyar' to bring heavy rainfall in Tamil Nadu, Andhra and other southern stat - The Economic Times",https://news.google.com/rss/articles/CBMinwJBVV95cUxQTXFrdGhmWFo0QnJsT3BqR2k2LTZRSnY4LWtaOWZILVlpM01PbjVRZ1pDS0VOVWxTRWZWMzg5RHJ1ZXRaV2VrOXo1MFFQNkdPUnMzXzc1RWFabWR3VjdIZEJlOG5jU1VKcmxEbnNMdWpUWUY3NkE0TUw2WGU1bkI1eVRYbzRxNUxodWU3N2k2R192U3lUOXp4bDRYaXAwRkx0eVlKOHdPNVJUY2NuQkZROVFUYXlvOVpJbko3NzRIc3FmU1BLazMtak9qMVlTV1BjNVV6NGF3eEMxa042ODc4Um1fT2RJWklxME8zUWQyM3lvNXNfT1hKb0NVNy16R0VvVGtwalRxMVgxMHBPSTFNRnoxVHgwWHdoNE5BMWVXNNIBpAJBVV95cUxPUHZUb05lVy0xb2pIN0o2ZFlqbmxIeFdmckMxV0libUIxRjBJd0JFRlVQTnZZQVpXdkJHcFl0QmN3ZHpuUFZ3YTV4aEt4NmE2aHl2NTRpNzJ1T1dpOURGVmJFMGdBVHFtMFZVUkxsNHg4cWs5VV8zc2w3eE5fU0VQSFNyWmxia1dPU21XWl9EMW45bFdFOHZaVFA4Q0FxTHF5T0JFR0VmS0ZhOXlWM1l5aDdfb3Q4d3VzbTQ5WXJXbnJkVTRhZ3QzN21ZUE00NkI5OEkta19leUV2bHhLT3J0UG1JYlVjQXFuUC1QRTQ5LTJ3T3NRRHRPSTVTWUZfQjlaWExCY3RPcHByUVlZLU9QNE1PVlhQTTRlLTEyc01LN296Snpa?oc=5,2025-11-26 08:40:47,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMinwJBVV95cUxQTXFrdGhmWFo0QnJsT3BqR2k2LTZRSnY4LWtaOWZILVlpM01PbjVRZ1pDS0VOVWxTRWZWMzg5RHJ1ZXRaV2VrOXo1MFFQNkdPUnMzXzc1RWFabWR3VjdIZEJlOG5jU1VKcmxEbnNMdWpUWUY3NkE0TUw2WGU1bkI1eVRYbzRxNUxodWU3N2k2R192U3lUOXp4bDRYaXAwRkx0eVlKOHdPNVJUY2NuQkZROVFUYXlvOVpJbko3NzRIc3FmU1BLazMtak9qMVlTV1BjNVV6NGF3eEMxa042ODc4Um1fT2RJWklxME8zUWQyM3lvNXNfT1hKb0NVNy16R0VvVGtwalRxMVgxMHBPSTFNRnoxVHgwWHdoNE5BMWVXNNIBpAJBVV95cUxPUHZUb05lVy0xb2pIN0o2ZFlqbmxIeFdmckMxV0libUIxRjBJd0JFRlVQTnZZQVpXdkJHcFl0QmN3ZHpuUFZ3YTV4aEt4NmE2aHl2NTRpNzJ1T1dpOURGVmJFMGdBVHFtMFZVUkxsNHg4cWs5VV8zc2w3eE5fU0VQSFNyWmxia1dPU21XWl9EMW45bFdFOHZaVFA4Q0FxTHF5T0JFR0VmS0ZhOXlWM1l5aDdfb3Q4d3VzbTQ5WXJXbnJkVTRhZ3QzN21ZUE00NkI5OEkta19leUV2bHhLT3J0UG1JYlVjQXFuUC1QRTQ5LTJ3T3NRRHRPSTVTWUZfQjlaWExCY3RPcHByUVlZLU9QNE1PVlhQTTRlLTEyc01LN296Snpa?oc=5"" target=""_blank"">Chennai rain alert: Cyclone 'Senyar' to bring heavy rainfall in Tamil Nadu, Andhra and other southern stat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
"Weather today: Tamil Nadu, Kerala brace for heavy rain ahead of cyclone ‘Senyar’; cold wave grips Kashmir - livemint.com",https://news.google.com/rss/articles/CBMi9gFBVV95cUxOcjFzdWpSdkpxbC14cXJqZlBpQzZ6X2J5M0tlLVJfeFZacWN5OG9OclJKZWZ2Um5FWGwtV3l1bU0wcmZKbWZOX2FMTjFzckRHS3hNZmRtekpBR3UwaGhVaEJKUzZrN1RyLWYyZkNkeVlySmc2VF8zeUZtbDhFT3pCQkQ0TEJfWkxTT0JpM2MwM216ZE1vclNGbzl4dThnRkdSdXpoNmdrdklkbmZTRUt4eVRYZW13YkZiMEtxUkhTQlN6amFOcFBBNktpRlVhX2lkd0pGQVE2V0FmWElnVVhFSEV2OU40Wkp1YTdIQkFlYzE5ak92cFHSAfsBQVVfeXFMTkFxU1ktQURZS1BfeTUtRzQ2bDdNS0RCb3hHM0Z0QXRKUFFIdWVmMFNodnVDNDhPd1Y5TU5Sa05nalA3MjJUM3VDVkFuTjctcTRmb21keVBaaHRndlFIRGItaUZ4enlqRldqejh5cjZ0c1NvblgwaHdvSWFhVjNJUFl1eUQzUWdUMGREWXVCdFZCZFhSOW1GVTBIQkRMbkg5LThqWVBiaDFhMnF0bjViV3RXRVUtdUliTklIQkp6bTF2bjNOMjgzUWI0WDFNdmUzeTFkU0tFazlsS3VaR25NdFZXR1RPcmR4NjBsQ2pKMEJLRnVKd3pibzRYSnM?oc=5,2025-11-26 09:16:07,livemint.com,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxOcjFzdWpSdkpxbC14cXJqZlBpQzZ6X2J5M0tlLVJfeFZacWN5OG9OclJKZWZ2Um5FWGwtV3l1bU0wcmZKbWZOX2FMTjFzckRHS3hNZmRtekpBR3UwaGhVaEJKUzZrN1RyLWYyZkNkeVlySmc2VF8zeUZtbDhFT3pCQkQ0TEJfWkxTT0JpM2MwM216ZE1vclNGbzl4dThnRkdSdXpoNmdrdklkbmZTRUt4eVRYZW13YkZiMEtxUkhTQlN6amFOcFBBNktpRlVhX2lkd0pGQVE2V0FmWElnVVhFSEV2OU40Wkp1YTdIQkFlYzE5ak92cFHSAfsBQVVfeXFMTkFxU1ktQURZS1BfeTUtRzQ2bDdNS0RCb3hHM0Z0QXRKUFFIdWVmMFNodnVDNDhPd1Y5TU5Sa05nalA3MjJUM3VDVkFuTjctcTRmb21keVBaaHRndlFIRGItaUZ4enlqRldqejh5cjZ0c1NvblgwaHdvSWFhVjNJUFl1eUQzUWdUMGREWXVCdFZCZFhSOW1GVTBIQkRMbkg5LThqWVBiaDFhMnF0bjViV3RXRVUtdUliTklIQkp6bTF2bjNOMjgzUWI0WDFNdmUzeTFkU0tFazlsS3VaR25NdFZXR1RPcmR4NjBsQ2pKMEJLRnVKd3pibzRYSnM?oc=5"" target=""_blank"">Weather today: Tamil Nadu, Kerala brace for heavy rain ahead of cyclone ‘Senyar’; cold wave grips Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",Monsoon,en
"Cyclone Senyar Alert: IMD Issues Heavy Rain Warning For Tamil Nadu, Kerala Today, Nov 26 - Zee News",https://news.google.com/rss/articles/CBMilgFBVV95cUxOZFdBWjdZQmtnVVFGYVdsdV9DZUtNTHhmNHJ0WjB0bVgwZ1dKMHVQaW9oSVJEeFQtTkg2djJrMDZIR0k3NU92UnVicGw5UXBRSldBNmZkSzhxV3QxS3ZndEtKMk15S3NsbkhoMkZnYXpsWUU0MjNyMUEzTU90V29zc1pKQjgteXM3Ri1vUnhQUVNzQzk0RkHSAZsBQVVfeXFMTWMyTVlVdGlOZjZXVXZ0UWJCT1hzMmtKY25JWmxBMm1XeU1oUkZLR3NRV1dNVk5WQnlCYXZEYnltVU5BY1Z2MDg2MkZsRDV4S2JnNmdvS0x4bDVtcWM3MnVlSFVjSTc4a3o2VjIwSm5VQVAwUmpiSl9JZE95aWc3dFY1bXpERl9feXFHSnFvdDNfMEdlT04zemJnUkU?oc=5,2025-11-26 09:36:52,Zee News,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOZFdBWjdZQmtnVVFGYVdsdV9DZUtNTHhmNHJ0WjB0bVgwZ1dKMHVQaW9oSVJEeFQtTkg2djJrMDZIR0k3NU92UnVicGw5UXBRSldBNmZkSzhxV3QxS3ZndEtKMk15S3NsbkhoMkZnYXpsWUU0MjNyMUEzTU90V29zc1pKQjgteXM3Ri1vUnhQUVNzQzk0RkHSAZsBQVVfeXFMTWMyTVlVdGlOZjZXVXZ0UWJCT1hzMmtKY25JWmxBMm1XeU1oUkZLR3NRV1dNVk5WQnlCYXZEYnltVU5BY1Z2MDg2MkZsRDV4S2JnNmdvS0x4bDVtcWM3MnVlSFVjSTc4a3o2VjIwSm5VQVAwUmpiSl9JZE95aWc3dFY1bXpERl9feXFHSnFvdDNfMEdlT04zemJnUkU?oc=5"" target=""_blank"">Cyclone Senyar Alert: IMD Issues Heavy Rain Warning For Tamil Nadu, Kerala Today, Nov 26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Monsoon,en
"Today School Holiday (26 November) Live: Check States And City-Wise School Closure On Due To Cyclone 'Senyar', Severe AQI & Festivals - thedailyjagran.com",https://news.google.com/rss/articles/CBMigwJBVV95cUxPRGxHUHA0NXdEVlJYS0Y5RWFtWHdzd1lZRlVxYlJiVjZGQU1VZDA1bm5fdEttVnZtRFBSc2UtQklyZ0IxVXNjX0lvWEl6MUlfRWNRc2RaVWhNLTlIRVFLYWRUZVFRSExQSHBUaGhYc2FRNmh0S3lCZTA4dXpCWU5mb2FFVDFBSjJfWHdPbEJpMFhqTkVTNGhUZUZ6SEI5VGNsQ0cxOFBIMmJDNFVLdUNYLVh1UnBFMnRRWDNCQ3cwY1d3YTA2VTZRZHNodVBfVXo2c19FV0FTYnBJdHJac0ZBSEkxTHphTDdkSkVvRGlyLXJBY25aSk96NF9FZEdJbjlSNmp3?oc=5,2025-11-26 08:51:00,thedailyjagran.com,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxPRGxHUHA0NXdEVlJYS0Y5RWFtWHdzd1lZRlVxYlJiVjZGQU1VZDA1bm5fdEttVnZtRFBSc2UtQklyZ0IxVXNjX0lvWEl6MUlfRWNRc2RaVWhNLTlIRVFLYWRUZVFRSExQSHBUaGhYc2FRNmh0S3lCZTA4dXpCWU5mb2FFVDFBSjJfWHdPbEJpMFhqTkVTNGhUZUZ6SEI5VGNsQ0cxOFBIMmJDNFVLdUNYLVh1UnBFMnRRWDNCQ3cwY1d3YTA2VTZRZHNodVBfVXo2c19FV0FTYnBJdHJac0ZBSEkxTHphTDdkSkVvRGlyLXJBY25aSk96NF9FZEdJbjlSNmp3?oc=5"" target=""_blank"">Today School Holiday (26 November) Live: Check States And City-Wise School Closure On Due To Cyclone 'Senyar', Severe AQI & Festivals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thedailyjagran.com</font>",Monsoon,en
"Heavy rainfall, thunderstorms and rough seas forecast across south India and Andaman region - The Times of India",https://news.google.com/rss/articles/CBMi_wFBVV95cUxQWXRsbEJ5Y2lvMGJSWTUzSFQ4dVduSmxOelJGMlZJMnotY2FIZU4zY2dic2F3RHF4OXpMTUIta2RZODczWDQ4VDJ2WldzbFdKWWxTd3JwYml3eGItSDlyOVktV1lNZWFRZmJ5MWFjREQ5cFhhQVBKQjhZNkMwNy1uTVhJZVcwbUthZWdHUjFhSVhvR2xBVnVGNjEzNC1zNkZvMmVoTUF5eGxhSEhQSlBfblVLWE9fS2p2RlBiWXNlOFJSb2V0QnFiUmN4QW1GSTE4dmVYUGdqYWlCcWtIV1ZPM3ZLNHF3ZWl3QmJlZ01YUHFDdWJ0b2dyaXd2ZU1XaTg?oc=5,2025-11-26 09:43:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxQWXRsbEJ5Y2lvMGJSWTUzSFQ4dVduSmxOelJGMlZJMnotY2FIZU4zY2dic2F3RHF4OXpMTUIta2RZODczWDQ4VDJ2WldzbFdKWWxTd3JwYml3eGItSDlyOVktV1lNZWFRZmJ5MWFjREQ5cFhhQVBKQjhZNkMwNy1uTVhJZVcwbUthZWdHUjFhSVhvR2xBVnVGNjEzNC1zNkZvMmVoTUF5eGxhSEhQSlBfblVLWE9fS2p2RlBiWXNlOFJSb2V0QnFiUmN4QW1GSTE4dmVYUGdqYWlCcWtIV1ZPM3ZLNHF3ZWl3QmJlZ01YUHFDdWJ0b2dyaXd2ZU1XaTg?oc=5"" target=""_blank"">Heavy rainfall, thunderstorms and rough seas forecast across south India and Andaman region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"Cyclone Senyar Tracker LIVE Updates: Heavy rains lash southern states; when, where is the landfall? - livemint.com",https://news.google.com/rss/articles/CBMi9gFBVV95cUxNdFhJa2tNYWJOYjVBS3h5TVVuc0pRQ1ZLQ0YzUnAtSk50YVlBR28yMTNWUkVwaUwwZ1hibjRFdmRsTFdsR01NajRxQlRmMjRQUS1GTWwzaEJWVzVqa2REckVJZnR2UWdLRzh4M3psTjdQS3paVEZlcGQ3QnFJZ1dUSVd5cDdodTc3bXFTdGtvSHFXMGN0ZEJfNXNsWDJMMHcxZERfZnVsSC1feklFVmpTYlI5U2RMMVhWb2kwSUg0SEFwQ3dWVUhjV1pQcVJQbzFOWWptNzRVNml1U0pzWUpGRHF3NHd0S3dKMXlxZ3dyNlFGMUpncEE?oc=5,2025-11-26 09:56:08,livemint.com,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxNdFhJa2tNYWJOYjVBS3h5TVVuc0pRQ1ZLQ0YzUnAtSk50YVlBR28yMTNWUkVwaUwwZ1hibjRFdmRsTFdsR01NajRxQlRmMjRQUS1GTWwzaEJWVzVqa2REckVJZnR2UWdLRzh4M3psTjdQS3paVEZlcGQ3QnFJZ1dUSVd5cDdodTc3bXFTdGtvSHFXMGN0ZEJfNXNsWDJMMHcxZERfZnVsSC1feklFVmpTYlI5U2RMMVhWb2kwSUg0SEFwQ3dWVUhjV1pQcVJQbzFOWWptNzRVNml1U0pzWUpGRHF3NHd0S3dKMXlxZ3dyNlFGMUpncEE?oc=5"" target=""_blank"">Cyclone Senyar Tracker LIVE Updates: Heavy rains lash southern states; when, where is the landfall?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",Monsoon,en
"Cyclone Senyar forms over Strait of Malacca, heavy rain alert for region - India Today",https://news.google.com/rss/articles/CBMi4gFBVV95cUxPTE9pc0NMeTFPSDY5aTg0TThGcklfX21peDhKWGlpYU9EbDhuQmZvRWZoZmlReU1JRS12TUZFREc4RjlwZGk3VkdFVXJ4R3R4MlhrSjJGcENSTHFJekxCbEpEN3N5c3BKY0lTNzlldGw0RXRlX29CSGgyemJ3c0tPQzVuZ2dreUxJNjZOd3p2RGF4Sk12UUFoSkl0Wk5Sd1FFM2pfcThtcDhqNUduTXZLakV5YXpZZi1GcmZBUTBoVTlVbm5pUENOV1p2VXB3TnRLb2FUdnJ2cGRldkZiV3hPamFn0gHnAUFVX3lxTE1PZEZUU3Z4U2M2ejZHem4tN2FJNUdZNVRVM2luUlBQWDk3cklMdWIxZU5WWTEtbjA1c3RqOXU2VzRTSy0wUGlLVnFza0pnU0tzWl9xVU4xbkxhT2U5eVMxZGxKU1pKSl9UNFRmMGlQSl9BbUhNTjNza00wSFBhVUhUWGNFRC16M3dpUm93a3lISHlWZnVkX3NXUnFaei04bWl3SnE2UVRudm5MNUVrSGxiVWM1UG1ZcWlVTGF4MnlCc182ZTZRTmg5eTdyTXc3QnBZYVRYVDMwT1ZiaDFZLU9pVEw3UUZicw?oc=5,2025-11-26 10:18:03,India Today,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxPTE9pc0NMeTFPSDY5aTg0TThGcklfX21peDhKWGlpYU9EbDhuQmZvRWZoZmlReU1JRS12TUZFREc4RjlwZGk3VkdFVXJ4R3R4MlhrSjJGcENSTHFJekxCbEpEN3N5c3BKY0lTNzlldGw0RXRlX29CSGgyemJ3c0tPQzVuZ2dreUxJNjZOd3p2RGF4Sk12UUFoSkl0Wk5Sd1FFM2pfcThtcDhqNUduTXZLakV5YXpZZi1GcmZBUTBoVTlVbm5pUENOV1p2VXB3TnRLb2FUdnJ2cGRldkZiV3hPamFn0gHnAUFVX3lxTE1PZEZUU3Z4U2M2ejZHem4tN2FJNUdZNVRVM2luUlBQWDk3cklMdWIxZU5WWTEtbjA1c3RqOXU2VzRTSy0wUGlLVnFza0pnU0tzWl9xVU4xbkxhT2U5eVMxZGxKU1pKSl9UNFRmMGlQSl9BbUhNTjNza00wSFBhVUhUWGNFRC16M3dpUm93a3lISHlWZnVkX3NXUnFaei04bWl3SnE2UVRudm5MNUVrSGxiVWM1UG1ZcWlVTGF4MnlCc182ZTZRTmg5eTdyTXc3QnBZYVRYVDMwT1ZiaDFZLU9pVEw3UUZicw?oc=5"" target=""_blank"">Cyclone Senyar forms over Strait of Malacca, heavy rain alert for region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Monsoon,en
