Title,Link,Date,Source,Summary,Term,LanguageQueried
"मॉनसून ने पकड़ी रफ्तार, आज इन राज्यों में भारी बारिश के आसार, जानिए आज के मौसम का हाल - ETV Bharat",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQeWVqWm1VTUI3OS1GOWdDTnNBT0FZTnY2RjVKVVlBOU8xMko1Y21tZzNDOE8yQlJHZEEtZkV5OVJkXzlMNURJendYX1VIdXNZSW9LSDVhczRQdlp2a2xxaXNrM0pxb1A3QzBLUnU3S2R2NFNUMnBCU2tpdVFId0hQaGJoWlRSZ1RXbDhHTWNYY2tiVWRPR3RCTXRGNlNYUEx3QXhlQ3ZnR21admtZcEZNZjlqRjRlZ0g5bE9wQUZhUVNTMkhDd3FSWTBJTjExU1NEVGdBeGkxZFpPb3B4OGtz0gHkAUFVX3lxTFBaZDNGVnRYbTYtTG5nMmJuMGl0UDBRTU5xVEx3VVBDV0VvM3VYZzdyaDh2c05tQ2NvU3pZMlByQmpDUzhTU05OS0U3S1ZXdGk0NWlwUUxPS1k1Qk5yYzNLLTZQVnJmY0VPV2xGVVRyMUNYNG1PalNkeTR0TVY2a0xhbHFtbnZyQmNjNFFQMlRobWFWVm1rSGVlMlFXN0lveXZUb1lucnczTVRJRkNpdWt3c1g2ZjdHODAyVlE3Tm5ybWwzR3hqLUxCdnhxMWhRb0t3dHF6bjhuVkdtNWNidHRXaGtxeA?oc=5,2025-06-18 07:22:42,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQeWVqWm1VTUI3OS1GOWdDTnNBT0FZTnY2RjVKVVlBOU8xMko1Y21tZzNDOE8yQlJHZEEtZkV5OVJkXzlMNURJendYX1VIdXNZSW9LSDVhczRQdlp2a2xxaXNrM0pxb1A3QzBLUnU3S2R2NFNUMnBCU2tpdVFId0hQaGJoWlRSZ1RXbDhHTWNYY2tiVWRPR3RCTXRGNlNYUEx3QXhlQ3ZnR21admtZcEZNZjlqRjRlZ0g5bE9wQUZhUVNTMkhDd3FSWTBJTjExU1NEVGdBeGkxZFpPb3B4OGtz0gHkAUFVX3lxTFBaZDNGVnRYbTYtTG5nMmJuMGl0UDBRTU5xVEx3VVBDV0VvM3VYZzdyaDh2c05tQ2NvU3pZMlByQmpDUzhTU05OS0U3S1ZXdGk0NWlwUUxPS1k1Qk5yYzNLLTZQVnJmY0VPV2xGVVRyMUNYNG1PalNkeTR0TVY2a0xhbHFtbnZyQmNjNFFQMlRobWFWVm1rSGVlMlFXN0lveXZUb1lucnczTVRJRkNpdWt3c1g2ZjdHODAyVlE3Tm5ybWwzR3hqLUxCdnhxMWhRb0t3dHF6bjhuVkdtNWNidHRXaGtxeA?oc=5"" target=""_blank"">मॉनसून ने पकड़ी रफ्तार, आज इन राज्यों में भारी बारिश के आसार, जानिए आज के मौसम का हाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Monsoon,hi
छत्तीसगढ़ में अगले 2 दिन भारी बारिश और बिजली गिरने का खतरा: मौसम विभाग ने आज भारी वर्षा का किया अलर्ट जारी - Bansal news,https://news.google.com/rss/articles/CBMilwFBVV95cUxOUXpsdUJQTW5nX1JQVjJoSGlQUU5jTXc2YUkxVzBiNTI3bVVrWkxMTTM5eW0xU1JINnBraHd3dHBjcE1SNXROMkdCanlGeHZDbG1INkZmdlJGS3c0OXRSZ1NrRTdGd2p1MmRYTDhWYWtWNXBlc0paeERaX1daaDFmNm1nYmRXLU9QZ2JvYURDWjlHZDItNTFB?oc=5,2025-06-18 06:50:34,Bansal news,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOUXpsdUJQTW5nX1JQVjJoSGlQUU5jTXc2YUkxVzBiNTI3bVVrWkxMTTM5eW0xU1JINnBraHd3dHBjcE1SNXROMkdCanlGeHZDbG1INkZmdlJGS3c0OXRSZ1NrRTdGd2p1MmRYTDhWYWtWNXBlc0paeERaX1daaDFmNm1nYmRXLU9QZ2JvYURDWjlHZDItNTFB?oc=5"" target=""_blank"">छत्तीसगढ़ में अगले 2 दिन भारी बारिश और बिजली गिरने का खतरा: मौसम विभाग ने आज भारी वर्षा का किया अलर्ट जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bansal news</font>",Monsoon,hi
"Weather Update: झारखंड, बंगाल, उड़ीसा, छत्तीसगढ़ में भारी बारिश,MP में पूर्वी दिशा मानसून सक्रिय, इंदौर- भोपाल में कमजोर - Mediawala",https://news.google.com/rss/articles/CBMikAFBVV95cUxPbm4yR3hoelpoZG9WbEJLSVB6LU5aSVJDSWxQUmZ2SElzQWtJVklCWlJVV3JkenpsWUZhNmEwV0xua08zaEpaTWZ5SVFlZm1aWjZXeU5XaGFUQjdmUzNBeFBWc3JvaWZlYmo5SXlCbWVHamM1OW9jWUNJcWpxMmpjeXBTekNVV2JVbTFHNVVyeDY?oc=5,2025-06-18 08:21:10,Mediawala,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxPbm4yR3hoelpoZG9WbEJLSVB6LU5aSVJDSWxQUmZ2SElzQWtJVklCWlJVV3JkenpsWUZhNmEwV0xua08zaEpaTWZ5SVFlZm1aWjZXeU5XaGFUQjdmUzNBeFBWc3JvaWZlYmo5SXlCbWVHamM1OW9jWUNJcWpxMmpjeXBTekNVV2JVbTFHNVVyeDY?oc=5"" target=""_blank"">Weather Update: झारखंड, बंगाल, उड़ीसा, छत्तीसगढ़ में भारी बारिश,MP में पूर्वी दिशा मानसून सक्रिय, इंदौर- भोपाल में कमजोर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mediawala</font>",Monsoon,hi
"CG Weather Update: छत्तीसगढ़ में मानसून का असर, भारी बारिश, बिजली गिरने का अलर्ट! - npg.news",https://news.google.com/rss/articles/CBMizgFBVV95cUxObVI3QzdFenZDMUFhWkZXTjlCei1IT01mSVFhcFd3TGtVb0JQLTNxWFJnWmxaOVBnbTMyRl9TZmhDcThmVE1jWjBsZXROTm1Gd2phdklGZUtNcUphY1pYOTVvb3djdXBiNWhFLU5HQVUtdVJkRHJwU181aUxyTXdRTFh5bC0xTkZwN3ZoQlJIMFBVNW5VMkh2WFFiME5zaHdpMHJFYUh2ZUpSSjE0S3BhRFBwSXhhdmlVODJFdEQ1MVFpMVpPY0pNc2oxQml0QdIBzgFBVV95cUxObVI3QzdFenZDMUFhWkZXTjlCei1IT01mSVFhcFd3TGtVb0JQLTNxWFJnWmxaOVBnbTMyRl9TZmhDcThmVE1jWjBsZXROTm1Gd2phdklGZUtNcUphY1pYOTVvb3djdXBiNWhFLU5HQVUtdVJkRHJwU181aUxyTXdRTFh5bC0xTkZwN3ZoQlJIMFBVNW5VMkh2WFFiME5zaHdpMHJFYUh2ZUpSSjE0S3BhRFBwSXhhdmlVODJFdEQ1MVFpMVpPY0pNc2oxQml0QQ?oc=5,2025-06-18 09:54:37,npg.news,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxObVI3QzdFenZDMUFhWkZXTjlCei1IT01mSVFhcFd3TGtVb0JQLTNxWFJnWmxaOVBnbTMyRl9TZmhDcThmVE1jWjBsZXROTm1Gd2phdklGZUtNcUphY1pYOTVvb3djdXBiNWhFLU5HQVUtdVJkRHJwU181aUxyTXdRTFh5bC0xTkZwN3ZoQlJIMFBVNW5VMkh2WFFiME5zaHdpMHJFYUh2ZUpSSjE0S3BhRFBwSXhhdmlVODJFdEQ1MVFpMVpPY0pNc2oxQml0QdIBzgFBVV95cUxObVI3QzdFenZDMUFhWkZXTjlCei1IT01mSVFhcFd3TGtVb0JQLTNxWFJnWmxaOVBnbTMyRl9TZmhDcThmVE1jWjBsZXROTm1Gd2phdklGZUtNcUphY1pYOTVvb3djdXBiNWhFLU5HQVUtdVJkRHJwU181aUxyTXdRTFh5bC0xTkZwN3ZoQlJIMFBVNW5VMkh2WFFiME5zaHdpMHJFYUh2ZUpSSjE0S3BhRFBwSXhhdmlVODJFdEQ1MVFpMVpPY0pNc2oxQml0QQ?oc=5"" target=""_blank"">CG Weather Update: छत्तीसगढ़ में मानसून का असर, भारी बारिश, बिजली गिरने का अलर्ट!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">npg.news</font>",Monsoon,hi
Chandigarh News: जलभराव से बचने के लिए नगर निगम ने 18 बाढ़ नियंत्रण टीमें और 7 नियंत्रण कक्ष बनाए - Amar Ujala,https://news.google.com/rss/articles/CBMikwJBVV95cUxPaGV6cm1NbmlrdVJHVHAySl9Vb0dGaTlMSEdJWmJtaEU1TzJMd3Q0R0QwSHBJS0dHZW1mWTEyX2hINE9qcDQ3d0dHVE8wY1YtTjRmbDBndWlhYUZ0czdwTEQ1S0dOcGpPc3d4UUVxcHYwcmN3Z2hYV1JlUExPRDMzdEpkRGcxWG51dDRvWnY3Zms1eVpNZURvdjBjQmpETnZlSXZVX3R6NGxKWlJWaDdKYmNRYVNvczZIY2Nja1dDX0RldXNTMEYxZnpoanRBbW1GWlcyTWlxSGNpcXh3Ylg5d3RxazM0RUVGUGR0bUprNmUwTFJzUy1LX0sybVl1M3lxeUlsb2p3eHdpeXVFcHpvcGJNSdIBmAJBVV95cUxOeERzRHhJaXhtUklRVk44MnBqQl9GVjF0aGxjLTlmMUc3eGNfYjhQa0l2SFpCU2ZkSlJUQWZZU3FnYW53aXNSQWVIUmk3b0VRSkdzVTQyUTVYaTFkQ2s1UlphZ2NWck1NUzdRcEJrNEZkNG1jUXpVMERBZlB6TWlsaFhtZllLUHNrNGFXejFuTF9FMF8xQ2dFdXB4blNOLXZCNDJtbU1DVzc1ZUVDc2MweDNXb0xGRE0xaUpUak82Y0F1R1AxVXJLa2N3YllCNzkwa2stY1o1bjZrY3Fac05iTzZrd3BhTHBJdmNVZDRicl83NG9CaGZidEZDOWVHTS1ucmxvUEVELXJXVHlkeGZXcWlqOTJPa2Vp?oc=5,2025-06-18 01:52:32,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxPaGV6cm1NbmlrdVJHVHAySl9Vb0dGaTlMSEdJWmJtaEU1TzJMd3Q0R0QwSHBJS0dHZW1mWTEyX2hINE9qcDQ3d0dHVE8wY1YtTjRmbDBndWlhYUZ0czdwTEQ1S0dOcGpPc3d4UUVxcHYwcmN3Z2hYV1JlUExPRDMzdEpkRGcxWG51dDRvWnY3Zms1eVpNZURvdjBjQmpETnZlSXZVX3R6NGxKWlJWaDdKYmNRYVNvczZIY2Nja1dDX0RldXNTMEYxZnpoanRBbW1GWlcyTWlxSGNpcXh3Ylg5d3RxazM0RUVGUGR0bUprNmUwTFJzUy1LX0sybVl1M3lxeUlsb2p3eHdpeXVFcHpvcGJNSdIBmAJBVV95cUxOeERzRHhJaXhtUklRVk44MnBqQl9GVjF0aGxjLTlmMUc3eGNfYjhQa0l2SFpCU2ZkSlJUQWZZU3FnYW53aXNSQWVIUmk3b0VRSkdzVTQyUTVYaTFkQ2s1UlphZ2NWck1NUzdRcEJrNEZkNG1jUXpVMERBZlB6TWlsaFhtZllLUHNrNGFXejFuTF9FMF8xQ2dFdXB4blNOLXZCNDJtbU1DVzc1ZUVDc2MweDNXb0xGRE0xaUpUak82Y0F1R1AxVXJLa2N3YllCNzkwa2stY1o1bjZrY3Fac05iTzZrd3BhTHBJdmNVZDRicl83NG9CaGZidEZDOWVHTS1ucmxvUEVELXJXVHlkeGZXcWlqOTJPa2Vp?oc=5"" target=""_blank"">Chandigarh News: जलभराव से बचने के लिए नगर निगम ने 18 बाढ़ नियंत्रण टीमें और 7 नियंत्रण कक्ष बनाए</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Monsoon,hi
"Weather news: Pune gets heavy rainfall, Ludhiana waterlogged, Chandigarh drainage unprepared — top updates - Mint",https://news.google.com/rss/articles/CBMihwJBVV95cUxPendZb3VDdlZ1QnJuMkpxVnV2cmpTenJuaVY4UDBHbzVEcGV3bjVpbDZwWm1sTklPU002WHpNNzVqeEIyRGY1M25VZUtTOWczNjlrYkFuT2Z1eE9pT1g3WU0xZkw0OHVlbXFnY1Niank3MFZDN21INVdCUE9lVXU0eGxvSE9SbDFKTEVnTGM2X0V6NjljaGpTZlI1ZV9JY0dhVFUzMkRnU1MyenlvWV9WaWlkcW43NXZwamdLQWRDUkwyb1F3dzhyRUtweFBOVDQ0WjJXaGM0MDRPLVBkZG9PTHlrSml4eEVmY1dTVVhNc3pUa0JreEFqUUU1bjZmV2hPUWJtQkJXTdIBjAJBVV95cUxNVTVUcEwycnVQYjVyMUhtMHVRRzRMUXYzM2I0VWtjdUZVYjV3OFVuUnMtZkVaR1VKYVZ3WkVQRTJ1bGh6OWkzSkpVTkQybV9DbFZ6dlVpUjhjR2NmczZkWVNONV8zVGpld3h6SzFScW13THo4NHptOGtIZlh6VFpkeng5b21NeW1rY05Hc2E2M2VWeTVNR1lYWXB3clNvZDBIOXFaWktLZUNCb0h0TFBmOXdGZDhuWWtxSWI0ZkFoOVhzQVpYbVlLNnZObzl5TEhRVnlNMFZIUERPY1NlQ2hscjFDc1dadmdiUnFLbVpvWkRLYmQ1WlFjMTZ3bnczWlBmX1JSWDRTa0x5bkxO?oc=5,2025-06-18 10:22:56,Mint,"<a href=""https://news.google.com/rss/articles/CBMihwJBVV95cUxPendZb3VDdlZ1QnJuMkpxVnV2cmpTenJuaVY4UDBHbzVEcGV3bjVpbDZwWm1sTklPU002WHpNNzVqeEIyRGY1M25VZUtTOWczNjlrYkFuT2Z1eE9pT1g3WU0xZkw0OHVlbXFnY1Niank3MFZDN21INVdCUE9lVXU0eGxvSE9SbDFKTEVnTGM2X0V6NjljaGpTZlI1ZV9JY0dhVFUzMkRnU1MyenlvWV9WaWlkcW43NXZwamdLQWRDUkwyb1F3dzhyRUtweFBOVDQ0WjJXaGM0MDRPLVBkZG9PTHlrSml4eEVmY1dTVVhNc3pUa0JreEFqUUU1bjZmV2hPUWJtQkJXTdIBjAJBVV95cUxNVTVUcEwycnVQYjVyMUhtMHVRRzRMUXYzM2I0VWtjdUZVYjV3OFVuUnMtZkVaR1VKYVZ3WkVQRTJ1bGh6OWkzSkpVTkQybV9DbFZ6dlVpUjhjR2NmczZkWVNONV8zVGpld3h6SzFScW13THo4NHptOGtIZlh6VFpkeng5b21NeW1rY05Hc2E2M2VWeTVNR1lYWXB3clNvZDBIOXFaWktLZUNCb0h0TFBmOXdGZDhuWWtxSWI0ZkFoOVhzQVpYbVlLNnZObzl5TEhRVnlNMFZIUERPY1NlQ2hscjFDc1dadmdiUnFLbVpvWkRLYmQ1WlFjMTZ3bnczWlBmX1JSWDRTa0x5bkxO?oc=5"" target=""_blank"">Weather news: Pune gets heavy rainfall, Ludhiana waterlogged, Chandigarh drainage unprepared — top updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,en
"Chandigarh forms flood teams, control rooms for monsoon preparedness - Times of India",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOS3FxMV9sS0kwM3ExR21fMTZpWjZ4QVlvclllZ2F3UGhqbWNzOFZsd1A1R0s4emRIQUVwNzlZUzEtQVUwRzc1MU5SeW4tVnYya0JuWGxTT0RQX2hoNUNveWkwVUxWZllua04wbndoOTZNR1k3dWpOTzloMTFDTm1XanZVT3NiSFhsS3J1M3UtZ3hlRnhGbGxKZzAyTHZ2aFlLS3JzR3pVNEIyTG1QUUY0TXpJTlY4bGI0a05PcTh1c3VUUHgwLTRkX0JMc3V6RThHSEVKVzhHVk9FRUlWTVHSAeMBQVVfeXFMUDIzMVozZHVJa2NEaUZpRERGV2ZGZElZQ08yaEdMYnIyMFExVVlTMFdIbGtmWFFtSFBrRmo5eFJMOWlZQVd1Wlg1c0dQT3JCcFE5Y0haUmNYNkJkRFdCWk1ORC1ya1cxUXViRUgxWWFzT3pTNi1zbUhSbUR0S09Tb3JiZldZWnBkdUFMcmczZ2FNNFVzRDJ4Y0FFanA5WUJXNnFFWDhDcHdfT1NSbktpTlNmbzRVV2lyRklnZ2EzZXhfSmk0V0hJUThvQjhWWkpIczZxOHFkM1JDTmxpQ1RzbHl6a0E?oc=5,2025-06-18 00:37:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOS3FxMV9sS0kwM3ExR21fMTZpWjZ4QVlvclllZ2F3UGhqbWNzOFZsd1A1R0s4emRIQUVwNzlZUzEtQVUwRzc1MU5SeW4tVnYya0JuWGxTT0RQX2hoNUNveWkwVUxWZllua04wbndoOTZNR1k3dWpOTzloMTFDTm1XanZVT3NiSFhsS3J1M3UtZ3hlRnhGbGxKZzAyTHZ2aFlLS3JzR3pVNEIyTG1QUUY0TXpJTlY4bGI0a05PcTh1c3VUUHgwLTRkX0JMc3V6RThHSEVKVzhHVk9FRUlWTVHSAeMBQVVfeXFMUDIzMVozZHVJa2NEaUZpRERGV2ZGZElZQ08yaEdMYnIyMFExVVlTMFdIbGtmWFFtSFBrRmo5eFJMOWlZQVd1Wlg1c0dQT3JCcFE5Y0haUmNYNkJkRFdCWk1ORC1ya1cxUXViRUgxWWFzT3pTNi1zbUhSbUR0S09Tb3JiZldZWnBkdUFMcmczZ2FNNFVzRDJ4Y0FFanA5WUJXNnFFWDhDcHdfT1NSbktpTlNmbzRVV2lyRklnZ2EzZXhfSmk0V0hJUThvQjhWWkpIczZxOHFkM1JDTmxpQ1RzbHl6a0E?oc=5"" target=""_blank"">Chandigarh forms flood teams, control rooms for monsoon preparedness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Monsoon,en
"Pre-monsoon showers bring relief to Punjab, ease stress on groundwater for paddy sowing - The Indian Express",https://news.google.com/rss/articles/CBMisgFBVV95cUxPSXFYVUVhUFpMSzJZRkNOYm83UTZFWHJoNDBBbnhScGU4VDZ1dVBjOHpCMno0QXVsU20tNUJCcmFzaEZZOEtJU1pSNDRDS2FvSkc0bjZUUG5NS3Z1bW5JSU90dDcwUXhUOEdlRHFFd2NxMEo0SzlfaVVaR2t3Tnk5T0Q0TEpyQVZuN0I1eVl2NHc4NWdUQXB3b2tJdGxXS3pzRUZjZTR0TFNNYmc0dndfa3RR0gG4AUFVX3lxTE1nZFNvSnRMaExKTlBTNWZQNTdGbjFpbnJ1TFM0cHpNeGV4U19vVWdpbjlwaGdoem41SnJVdGsxcU1PLTBWQmFwaThUX2xhX0NRZWY3bmY0eXNtYVRaUFpoNV92WWd6a0xqdHozYlBXYnNUNlMyVXNobzdzTzBrWW1HQUtwcEJhR2l3bGIxX3p4Q09UT3lvcjR6MkxqY1AxdV93dmlBT0NnSlk0alJ0QlBpLWh6RVFPbW4?oc=5,2025-06-18 10:12:00,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPSXFYVUVhUFpMSzJZRkNOYm83UTZFWHJoNDBBbnhScGU4VDZ1dVBjOHpCMno0QXVsU20tNUJCcmFzaEZZOEtJU1pSNDRDS2FvSkc0bjZUUG5NS3Z1bW5JSU90dDcwUXhUOEdlRHFFd2NxMEo0SzlfaVVaR2t3Tnk5T0Q0TEpyQVZuN0I1eVl2NHc4NWdUQXB3b2tJdGxXS3pzRUZjZTR0TFNNYmc0dndfa3RR0gG4AUFVX3lxTE1nZFNvSnRMaExKTlBTNWZQNTdGbjFpbnJ1TFM0cHpNeGV4U19vVWdpbjlwaGdoem41SnJVdGsxcU1PLTBWQmFwaThUX2xhX0NRZWY3bmY0eXNtYVRaUFpoNV92WWd6a0xqdHozYlBXYnNUNlMyVXNobzdzTzBrWW1HQUtwcEJhR2l3bGIxX3p4Q09UT3lvcjR6MkxqY1AxdV93dmlBT0NnSlk0alJ0QlBpLWh6RVFPbW4?oc=5"" target=""_blank"">Pre-monsoon showers bring relief to Punjab, ease stress on groundwater for paddy sowing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Monsoon,en
Pre-monsoon showers cool Tricity down; monsoon likely to arrive by June 22 - Times of India,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOOWJsX013Y0R2bVc3dlZXeThpdGhXMHNwQm1NVnllaTZLQXpBUWk5VkRRR1cydERadk1KN3NSaC14NlN3bkZKS291RF9HeVl0Q1dTS2tKTndkZnRjU0d2ZUtQZUlHU0I3SjdxcEl3QVZyQml0ZUJVakh0cVQ4b2FNMzBJamp6eHBzWFpsemc3X1k2SDQ4dnBlZmFScFpkRFJIWUhERGVLSzlsQlhKNC1pQlB5RUVzM1R5NVlfZmZQRjZyb0I1b1NJRmZNOEZjWDFQd2hPZFlWRHJZb2M2Y050OTJINUkxQdIB6wFBVV95cUxPQ2ZXaTNxVlZtRWlQUGhfaHBVa2pNWVNlUk51b3JtZnY5dmlKZEdTWjZSRnVYUC1xU3FmMnk5SW5BNjVUWWZQV29rMkpZZTdTY0F2TEVkRkg1cDRNT3A0alpVbzA4bmVCUlVZOFNQekJCYi1hUVlmZGRrZ3JhZkdia2NfeGhnWmNOTVFIRHV3Q013X0tfMHNVOGpiSmFaMjQzZmhBaElETTNfVG9SYlVOY1V1TmIydE5BSFFVOFBXTjFENWdrRzZjS3hVWjgwcGU1cnh6cGRUMUo1Zlh2cmZmYzJOM0w2WlZkNk9B?oc=5,2025-06-18 02:30:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxOOWJsX013Y0R2bVc3dlZXeThpdGhXMHNwQm1NVnllaTZLQXpBUWk5VkRRR1cydERadk1KN3NSaC14NlN3bkZKS291RF9HeVl0Q1dTS2tKTndkZnRjU0d2ZUtQZUlHU0I3SjdxcEl3QVZyQml0ZUJVakh0cVQ4b2FNMzBJamp6eHBzWFpsemc3X1k2SDQ4dnBlZmFScFpkRFJIWUhERGVLSzlsQlhKNC1pQlB5RUVzM1R5NVlfZmZQRjZyb0I1b1NJRmZNOEZjWDFQd2hPZFlWRHJZb2M2Y050OTJINUkxQdIB6wFBVV95cUxPQ2ZXaTNxVlZtRWlQUGhfaHBVa2pNWVNlUk51b3JtZnY5dmlKZEdTWjZSRnVYUC1xU3FmMnk5SW5BNjVUWWZQV29rMkpZZTdTY0F2TEVkRkg1cDRNT3A0alpVbzA4bmVCUlVZOFNQekJCYi1hUVlmZGRrZ3JhZkdia2NfeGhnWmNOTVFIRHV3Q013X0tfMHNVOGpiSmFaMjQzZmhBaElETTNfVG9SYlVOY1V1TmIydE5BSFFVOFBXTjFENWdrRzZjS3hVWjgwcGU1cnh6cGRUMUo1Zlh2cmZmYzJOM0w2WlZkNk9B?oc=5"" target=""_blank"">Pre-monsoon showers cool Tricity down; monsoon likely to arrive by June 22</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Monsoon,en
"MC Commissioner takes over reins, prepares Karnal city for monsoon - The Tribune",https://news.google.com/rss/articles/CBMizAFBVV95cUxNbzUyTzhzVnU4b3N6QVlrQzk1cmpxWlRLc0diNkpvOFhtWUN2M2traHp5LXR3STJlR2NxY0VfeTdpNnNhbERSSjk1MWIyaGZnaFNHM0JUc2dhRF9abGgtVkltdUlvZ3JqME5Rd0FQMnAtVWxGU3lYTHlQY20taHU5Zkp2U3Y5MDE3Z2hSbW9idUU2MWhIWVlhX1ZmLVdFdGNFUXRCQ0d3azdBTEFYWlUyU3FHd09aYUhyX0VRLUJ1UmVzcGVndE55MDV3U0rSAcwBQVVfeXFMTW81Mk84c1Z1OG9zekFZa0M5NXJqcVpUS3NHYjZKbzhYbVlDdjNra2h6eS10d0kyZUdjcWNFX3k3aTZzYWxEUko5NTFiMmhmZ2hTRzNCVHNnYURfWmxoLVZJbXVJb2dyajBOUXdBUDJwLVVsRlN5WEx5UGNtLWh1OWZKdlN2OTAxN2doUm1vYnVFNjFoSFlZYV9WZi1XRXRjRVF0QkNHd2s3QUxBWFpVMlNxR3dPWmFIcl9FUS1CdVJlc3BlZ3ROeTA1d1NK?oc=5,2025-06-18 03:31:12,The Tribune,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNbzUyTzhzVnU4b3N6QVlrQzk1cmpxWlRLc0diNkpvOFhtWUN2M2traHp5LXR3STJlR2NxY0VfeTdpNnNhbERSSjk1MWIyaGZnaFNHM0JUc2dhRF9abGgtVkltdUlvZ3JqME5Rd0FQMnAtVWxGU3lYTHlQY20taHU5Zkp2U3Y5MDE3Z2hSbW9idUU2MWhIWVlhX1ZmLVdFdGNFUXRCQ0d3azdBTEFYWlUyU3FHd09aYUhyX0VRLUJ1UmVzcGVndE55MDV3U0rSAcwBQVVfeXFMTW81Mk84c1Z1OG9zekFZa0M5NXJqcVpUS3NHYjZKbzhYbVlDdjNra2h6eS10d0kyZUdjcWNFX3k3aTZzYWxEUko5NTFiMmhmZ2hTRzNCVHNnYURfWmxoLVZJbXVJb2dyajBOUXdBUDJwLVVsRlN5WEx5UGNtLWh1OWZKdlN2OTAxN2doUm1vYnVFNjFoSFlZYV9WZi1XRXRjRVF0QkNHd2s3QUxBWFpVMlNxR3dPWmFIcl9FUS1CdVJlc3BlZ3ROeTA1d1NK?oc=5"" target=""_blank"">MC Commissioner takes over reins, prepares Karnal city for monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font>",Monsoon,en
