Title,Link,Date,Source,Summary,Term,LanguageQueried
Rahul Gandhi's J&K Statehood Push In Letter To PM Ahead of Monsoon Session - MSN,https://news.google.com/rss/articles/CBMi1AJBVV95cUxOWGs1dDJ1a2JFR0lfVlF2a0N0aEd1aXBhN3V1WUdzYzJtUkpVRGlzTG1lRkNWVzEza2ppLVFMR1pRSTNkVjVFM24yMjZ2ZmlsREpBcF9QN3RFQ3BBY2pjeXRHc3NEa3J1dVJYVEV6UmppUlhVemlTR0ljc2x0WndWdF9nVXRPNnlvWm5UekVKaFpXM0JhWGxKbHJfZF94eV9yUjl1cGd5VTU4ZnJVODNrZTJOYXNSaUtwWnpaQXdXNDdnNVhsVUJqeWdaQS13QTJaMnNRTGhWZVlKMWtLdGJ6ek5aQUF3eTdJT2luTVJvb043MGtobngyQTFKdkFZM2ZhcnIwdlhoNUYzUHBzUDVudWUwTFlGSVYtLURWaE9uUVNnc1BuY3BTYlB6QUIzX3Y5bHF3cGJqWG9ZQ0FicjhpN3hPQlNodWdWaUJqWDNIalRuMWZP?oc=5,2026-04-14 02:17:17,MSN,"<a href=""https://news.google.com/rss/articles/CBMi1AJBVV95cUxOWGs1dDJ1a2JFR0lfVlF2a0N0aEd1aXBhN3V1WUdzYzJtUkpVRGlzTG1lRkNWVzEza2ppLVFMR1pRSTNkVjVFM24yMjZ2ZmlsREpBcF9QN3RFQ3BBY2pjeXRHc3NEa3J1dVJYVEV6UmppUlhVemlTR0ljc2x0WndWdF9nVXRPNnlvWm5UekVKaFpXM0JhWGxKbHJfZF94eV9yUjl1cGd5VTU4ZnJVODNrZTJOYXNSaUtwWnpaQXdXNDdnNVhsVUJqeWdaQS13QTJaMnNRTGhWZVlKMWtLdGJ6ek5aQUF3eTdJT2luTVJvb043MGtobngyQTFKdkFZM2ZhcnIwdlhoNUYzUHBzUDVudWUwTFlGSVYtLURWaE9uUVNnc1BuY3BTYlB6QUIzX3Y5bHF3cGJqWG9ZQ0FicjhpN3hPQlNodWdWaUJqWDNIalRuMWZP?oc=5"" target=""_blank"">Rahul Gandhi's J&amp;K Statehood Push In Letter To PM Ahead of Monsoon Session</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
"Pre-Monsoon Alert: Heavy Rain Expected on April 14–17, Weather Department Warns These States - Patrika News",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOd0tSU2NLdEY0b3ZvdjgzdnkycksyZHNiN09EU3VobE5YdjhmZUxyb2pVTWpZRWNzSkZEZHdjQ1o4WmE2cmZEWGFMNzhqZU5VenQ4cklEa0E2cXVpSVR0ZzVTRjdHOTFKeWo4VmpKOWk3TzdtWnBNcEJleDBkN1Y0T3hXdFBfLUpKUVhkQnU4MnR6SUJ1WUFTQ3hzOW5LeHBzYjZuYURINnNHWDI3aTJSS28tZVdyaUlrUXFqZUJ2a2hRSF83ai1KeENnZjQ4N0hEYVVrOEZTSdIB3AFBVV95cUxPSGp2Z21uaVVQaGVlWlFBa3pIaTF4ODNEXzBubWhjQzY3NEZHc3BxT0pINnU5TjJUWUhOZjlrSVdFeDE2YVFBZkVBSmFSOEVvOEl1M1dIVmpTOEdxYVlGWGpXWndESzU3cXM5MmxRaXdfUFVXVEloTW1YSDZJX0tWSGEtWHAtMkZmWEdUUzFETElwT2pZWUFYdl9mZFptcHR0aXlVLTh3SEVXMjFPQTlhcnJLUWVBT2s3SjJSeks3SmRrS0gwX2ZQbjNQWGgtZ2RzenBjRUZSQ2JMUmty?oc=5,2026-04-14 08:46:16,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOd0tSU2NLdEY0b3ZvdjgzdnkycksyZHNiN09EU3VobE5YdjhmZUxyb2pVTWpZRWNzSkZEZHdjQ1o4WmE2cmZEWGFMNzhqZU5VenQ4cklEa0E2cXVpSVR0ZzVTRjdHOTFKeWo4VmpKOWk3TzdtWnBNcEJleDBkN1Y0T3hXdFBfLUpKUVhkQnU4MnR6SUJ1WUFTQ3hzOW5LeHBzYjZuYURINnNHWDI3aTJSS28tZVdyaUlrUXFqZUJ2a2hRSF83ai1KeENnZjQ4N0hEYVVrOEZTSdIB3AFBVV95cUxPSGp2Z21uaVVQaGVlWlFBa3pIaTF4ODNEXzBubWhjQzY3NEZHc3BxT0pINnU5TjJUWUhOZjlrSVdFeDE2YVFBZkVBSmFSOEVvOEl1M1dIVmpTOEdxYVlGWGpXWndESzU3cXM5MmxRaXdfUFVXVEloTW1YSDZJX0tWSGEtWHAtMkZmWEdUUzFETElwT2pZWUFYdl9mZFptcHR0aXlVLTh3SEVXMjFPQTlhcnJLUWVBT2s3SjJSeks3SmRrS0gwX2ZQbjNQWGgtZ2RzenBjRUZSQ2JMUmty?oc=5"" target=""_blank"">Pre-Monsoon Alert: Heavy Rain Expected on April 14–17, Weather Department Warns These States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Monsoon,en
"Weather Today [14 April, 2026]: Check IMD Rain Predictions, Snow, Heat Alert &. Thunderstorms Across Delhi NCR, Mumbai, Chennai, Karnataka, Rajasthan, Jammu, Hyderabad & More — Full City-Wise Forecast - The Sunday Guardian",https://news.google.com/rss/articles/CBMizgJBVV95cUxPaERLZXRKNlFSbnVvcGMzSDRSaHJ4Q083WHFGZGdHWm8zZzJUSzlwTm9TUzljdV9RWnRaU1ZrMkFfNk96aXJxUzNCaWZ3SGg4eDlKNGRRY2ozWXY3b1l2SFM4X1BzWm1mdktrU3VuZ0x5OVN1T2hGaXBab3g1QXdhUWVyNzJzTDdYLTUxU3RyZVoxVldKWDEwX3R3c2tWQnlmaWlLc0NDdHRzMENRVmgwUjNlUXRsblRhXzdwSUV5YzZOMG9HejUyanFPS1lFQ0IwdXVXWGJyUVhXMzNxalF3cVJwUVFQdUR2TWtSaklQWjFQZ0ZiTXRETG94LXRGei1EZ0x0b29KYkFOY19RWEdCbEN5MjNRVUhlVWdyMEdicmctalEtcTBBMW9tWk1YQnM5ZTE1dFhDNWJiYnp6b3RSaWNsdW42bkxsdVZuTWV3?oc=5,2026-04-14 02:23:29,The Sunday Guardian,"<a href=""https://news.google.com/rss/articles/CBMizgJBVV95cUxPaERLZXRKNlFSbnVvcGMzSDRSaHJ4Q083WHFGZGdHWm8zZzJUSzlwTm9TUzljdV9RWnRaU1ZrMkFfNk96aXJxUzNCaWZ3SGg4eDlKNGRRY2ozWXY3b1l2SFM4X1BzWm1mdktrU3VuZ0x5OVN1T2hGaXBab3g1QXdhUWVyNzJzTDdYLTUxU3RyZVoxVldKWDEwX3R3c2tWQnlmaWlLc0NDdHRzMENRVmgwUjNlUXRsblRhXzdwSUV5YzZOMG9HejUyanFPS1lFQ0IwdXVXWGJyUVhXMzNxalF3cVJwUVFQdUR2TWtSaklQWjFQZ0ZiTXRETG94LXRGei1EZ0x0b29KYkFOY19RWEdCbEN5MjNRVUhlVWdyMEdicmctalEtcTBBMW9tWk1YQnM5ZTE1dFhDNWJiYnp6b3RSaWNsdW42bkxsdVZuTWV3?oc=5"" target=""_blank"">Weather Today [14 April, 2026]: Check IMD Rain Predictions, Snow, Heat Alert &. Thunderstorms Across Delhi NCR, Mumbai, Chennai, Karnataka, Rajasthan, Jammu, Hyderabad & More — Full City-Wise Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sunday Guardian</font>",Monsoon,en
Below normal rainfall likely this monsoon - Tribune India,https://news.google.com/rss/articles/CBMimAFBVV95cUxQUGp5WGFCdTNScFhWQVZYVmdhQWVwRnhrTXpfdjU5RklJd3Y4OUxzNkMyRjd2eldZZ21xYWRGdTFlVTZYNTNjSUE0c1hvaDVMT0pjMUI0MHp0WmJ3Tl9nNHJhTFdLbFdjNDVJcWMyVkV4RE5VeUJ2UlBDUHVJNGpPa0M4MDloemJ3Zzc2N3VGUzFRNC1FUUphUQ?oc=5,2026-04-14 01:19:10,Tribune India,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxQUGp5WGFCdTNScFhWQVZYVmdhQWVwRnhrTXpfdjU5RklJd3Y4OUxzNkMyRjd2eldZZ21xYWRGdTFlVTZYNTNjSUE0c1hvaDVMT0pjMUI0MHp0WmJ3Tl9nNHJhTFdLbFdjNDVJcWMyVkV4RE5VeUJ2UlBDUHVJNGpPa0M4MDloemJ3Zzc2N3VGUzFRNC1FUUphUQ?oc=5"" target=""_blank"">Below normal rainfall likely this monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribune India</font>",Monsoon,en
Monsoon Update – Heavy Rain Warning with Thunderstorms in These States Till 18th April - Times Bull,https://news.google.com/rss/articles/CBMizgFBVV95cUxOSHYtdUU1eVJ2bDNVaFB3Z0tFeUZJUUE5V1djMldFR0VVbFpkbUEyLXl4dWJRN2c4aUVXSUwyYmc0cjR4LUE3cUxkVE95YXlSa1R5NFRMZ3loejBQSUJKVnozWUpLWHhnZ0RpbzE5N0FUaXU2dElTSWxwanFvb1N1a1V0ZjFTR1lDSENxX0Vhc3RtTVg2V2UySEE3eDQwTmRVN0Y5MzlTbUJKSi1IcmUtamtqSkUtakl6UjJvR1FMZ0dRNzJwWXdxQXYwSVlyQQ?oc=5,2026-04-14 06:45:33,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOSHYtdUU1eVJ2bDNVaFB3Z0tFeUZJUUE5V1djMldFR0VVbFpkbUEyLXl4dWJRN2c4aUVXSUwyYmc0cjR4LUE3cUxkVE95YXlSa1R5NFRMZ3loejBQSUJKVnozWUpLWHhnZ0RpbzE5N0FUaXU2dElTSWxwanFvb1N1a1V0ZjFTR1lDSENxX0Vhc3RtTVg2V2UySEE3eDQwTmRVN0Y5MzlTbUJKSi1IcmUtamtqSkUtakl6UjJvR1FMZ0dRNzJwWXdxQXYwSVlyQQ?oc=5"" target=""_blank"">Monsoon Update – Heavy Rain Warning with Thunderstorms in These States Till 18th April</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Monsoon,en
Weather: Rainfall expected in upper parts of country from April 16 to 19 - Kashmir English,https://news.google.com/rss/articles/CBMid0FVX3lxTE1MdkFhbVR6ZkF2RV91REJfdl9uanBHamt1aG5USDNYSUVBWUV2YlllM0padjNGem1yVlczczZIdE5lbTVhbWxmLW1sLU4wRXk3bkpHbzQ1bDJwbnMydzNOd3liRDZRTHRBbE9pZlVvQXUxeTFraVQw?oc=5,2026-04-14 02:39:07,Kashmir English,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE1MdkFhbVR6ZkF2RV91REJfdl9uanBHamt1aG5USDNYSUVBWUV2YlllM0padjNGem1yVlczczZIdE5lbTVhbWxmLW1sLU4wRXk3bkpHbzQ1bDJwbnMydzNOd3liRDZRTHRBbE9pZlVvQXUxeTFraVQw?oc=5"" target=""_blank"">Weather: Rainfall expected in upper parts of country from April 16 to 19</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir English</font>",Monsoon,en
Restoration project worth Rs 3 cr approved for flash flood-damaged Brakpora-Kanganhal-Chitergul road: Dy CM - Dailyhunt,https://news.google.com/rss/articles/CBMiogJBVV95cUxOV3ltVzhucXlYeTRkdmVPc3pWSldxZTNycnc0ZlgtZl9fUm1ONzRDaGVhVENYckZSYXFjdExrcDV2REtlTmN1Nkk3N0l4WWpRbVJFbkk5c1hZeEFPaXFhWk5US21iY3VSNnBjZFU1QVdhQVp4eExFTjk4eGk0bkdxRXh4dVVHb29aZ2FzMDVwX01DWXV0aFJ6MFNUY2J5cnpaTzBvZUppX0JPM0lCR3VIMUIzSXhPcVM2aVhfTmJNMHNJY3dwZVE2T0JnY2dQZk9RUUdBSUVVaUtFWGFOaVFmRDhTZ1RHNHVCS2RQc1VaczljTG9Qa19KTHdUWDZGT01leUFHa0cxWUt2V0owSnN3Z2RwUkdnXzFobTUtV0JxVDZMUQ?oc=5,2026-04-14 01:09:50,Dailyhunt,"<a href=""https://news.google.com/rss/articles/CBMiogJBVV95cUxOV3ltVzhucXlYeTRkdmVPc3pWSldxZTNycnc0ZlgtZl9fUm1ONzRDaGVhVENYckZSYXFjdExrcDV2REtlTmN1Nkk3N0l4WWpRbVJFbkk5c1hZeEFPaXFhWk5US21iY3VSNnBjZFU1QVdhQVp4eExFTjk4eGk0bkdxRXh4dVVHb29aZ2FzMDVwX01DWXV0aFJ6MFNUY2J5cnpaTzBvZUppX0JPM0lCR3VIMUIzSXhPcVM2aVhfTmJNMHNJY3dwZVE2T0JnY2dQZk9RUUdBSUVVaUtFWGFOaVFmRDhTZ1RHNHVCS2RQc1VaczljTG9Qa19KTHdUWDZGT01leUFHa0cxWUt2V0owSnN3Z2RwUkdnXzFobTUtV0JxVDZMUQ?oc=5"" target=""_blank"">Restoration project worth Rs 3 cr approved for flash flood-damaged Brakpora-Kanganhal-Chitergul road: Dy CM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dailyhunt</font>",Monsoon,en
"J-K: NDRF holds disaster awareness camp in Rajouri following cloudbursts, landslides - First India",https://news.google.com/rss/articles/CBMi0AFBVV95cUxNU1ZqWjNSaGNqeXJuMnRPY2pqbUZPVzVHcEU1YTZvVnRSck5MVEwwVG8yUXlBSjBDcDVYcnJDd05rQXBJSHJPY05ZbHpEQlhHdDIxQzBuNTd0dS0zWXozbjlGMFlhSG1CdkZ3S0JqaWZ0TjRJNzBTUTR3MzdLQ2hxc3d2dlppdkdwblpTZHdxdHdQU1NuQjhTWGpRYy1lSDNEX0xZSGFEdnBVeHNza3RXSmpKSU9DWGtZcUNsWkVLUE1kaW9qTzAxZ1BtRkNoRFpk?oc=5,2026-04-14 07:05:53,First India,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNU1ZqWjNSaGNqeXJuMnRPY2pqbUZPVzVHcEU1YTZvVnRSck5MVEwwVG8yUXlBSjBDcDVYcnJDd05rQXBJSHJPY05ZbHpEQlhHdDIxQzBuNTd0dS0zWXozbjlGMFlhSG1CdkZ3S0JqaWZ0TjRJNzBTUTR3MzdLQ2hxc3d2dlppdkdwblpTZHdxdHdQU1NuQjhTWGpRYy1lSDNEX0xZSGFEdnBVeHNza3RXSmpKSU9DWGtZcUNsWkVLUE1kaW9qTzAxZ1BtRkNoRFpk?oc=5"" target=""_blank"">J-K: NDRF holds disaster awareness camp in Rajouri following cloudbursts, landslides</a>&nbsp;&nbsp;<font color=""#6f6f6f"">First India</font>",Monsoon,en
"Shah Rukh Khan Steps Up For Punjab's Flood-Hit Families, Actor Sends Relief Kits To Help 1500 Households - MSN",https://news.google.com/rss/articles/CBMijwNBVV95cUxNc3FlWmtwSjBIdmxfRmtEcHE5cVNpVHR4UnNMZnUtZ083SC10enRqOGdDNnF2SDNIYVVrX203TGpyZlRLQWR4dWRkTE1UNndwazEySXdJd2FuR3lmZEJVRDZubEVWLTc2Tl8tZWZMQUlYcTRxNGQtSmxLdkVNdmlYWUJ3NmtUQkMzd0Z3QXVfcjhfNXlZMTdmS09WVlg3ZnVJd3BYSVNHRm9xdW1GbHQzMXNERVRkVjRPcV9lTVMyMF9rOHRiWHBKa3NEZWFFU0JkVVptMk0wWS1Ic3hHWUhLMWF3dERreHZhb1ZNLS1keGI0azk2TUZqTjFWdFJUSWZwOE90bGlZUkJpWUpLMDNScktpWmJ1VGU4QS1hU25qeGRpUzktVEc2a1U1N1BmY2JySURQdTJ0V2FNZDA0QkFSOU5BYkphUFRoME12UzNJNVlkVndrc0hNUEFxbWI3cWRTTXBPeTBVZy1hTXdlSXZjal9XbUFNWWx0N09mbnN3cFFxYVAzZFpCTTZpOGZabG8?oc=5,2026-04-14 10:36:29,MSN,"<a href=""https://news.google.com/rss/articles/CBMijwNBVV95cUxNc3FlWmtwSjBIdmxfRmtEcHE5cVNpVHR4UnNMZnUtZ083SC10enRqOGdDNnF2SDNIYVVrX203TGpyZlRLQWR4dWRkTE1UNndwazEySXdJd2FuR3lmZEJVRDZubEVWLTc2Tl8tZWZMQUlYcTRxNGQtSmxLdkVNdmlYWUJ3NmtUQkMzd0Z3QXVfcjhfNXlZMTdmS09WVlg3ZnVJd3BYSVNHRm9xdW1GbHQzMXNERVRkVjRPcV9lTVMyMF9rOHRiWHBKa3NEZWFFU0JkVVptMk0wWS1Ic3hHWUhLMWF3dERreHZhb1ZNLS1keGI0azk2TUZqTjFWdFJUSWZwOE90bGlZUkJpWUpLMDNScktpWmJ1VGU4QS1hU25qeGRpUzktVEc2a1U1N1BmY2JySURQdTJ0V2FNZDA0QkFSOU5BYkphUFRoME12UzNJNVlkVndrc0hNUEFxbWI3cWRTTXBPeTBVZy1hTXdlSXZjal9XbUFNWWx0N09mbnN3cFFxYVAzZFpCTTZpOGZabG8?oc=5"" target=""_blank"">Shah Rukh Khan Steps Up For Punjab's Flood-Hit Families, Actor Sends Relief Kits To Help 1500 Households</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
Weather Forecast : कहीं भारी बारिश और बिजली का अलर्ट - grandnews.in,https://news.google.com/rss/articles/CBMie0FVX3lxTE9fSFE1OGN3RUdEWnJoSEFCaVc2Q09Mb3RUd1REMnV1MldyOGFkNE1jaW9ITlZtTnRyN2w5a0w3RG5UeE1CVE9iT1Q1RDRoOGpGbXI4aXhIeTdvRFRwYng3U3hSaEt5eHBOeEJXYkNDZ00tOGlXUDZjWDVpdw?oc=5,2026-04-14 10:52:49,grandnews.in,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE9fSFE1OGN3RUdEWnJoSEFCaVc2Q09Mb3RUd1REMnV1MldyOGFkNE1jaW9ITlZtTnRyN2w5a0w3RG5UeE1CVE9iT1Q1RDRoOGpGbXI4aXhIeTdvRFRwYng3U3hSaEt5eHBOeEJXYkNDZ00tOGlXUDZjWDVpdw?oc=5"" target=""_blank"">Weather Forecast : कहीं भारी बारिश और बिजली का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">grandnews.in</font>",Monsoon,hi
IMD Alert: Heatwave के बीच Rain Attack! इन 20+ राज्यों में 17 अप्रैल तक भारी तबाही का खतरा - Asianet News Hindi,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOVkZzd2xMM1prWDJLWjRBT2U0ZDVRSjhsX2dLdUpxdERoM0UzWWdNNFItVHBXaUkycDVKYWNVbVhpazF1eVpwd0FrdmxvZEhZamw5ZVVqVFhJSmJXbW5kY2R4SFlGdjFWbmFNQUh6UXdmcWxmaHdqWXg3aEZCTmZJMWExMTFzSURfN3Faa3ZXQXRpUzBXRklWMWZRdXNDUmZWdFVyOGpuMW1HNEdIOWZQb2FLSnZuc0FDekFfeWF2MUhYbGlBUTg0ekM2Q05LNUEtZVB0X0FET2dHdkxjcTVCSVBHb3ZjU3doY1HSAe8BQVVfeXFMUFlGVkpReVRUbXYxRGpJcm0zR0FIOUVicUpUWWRZX01vY2RySlotSjdEWUl6V2x0ZU16MVk4QXZ3aEtZbGNZSU9JaFBySm5WRkhaWGV1NGhLaHVjYmdtS1FIWEJVVVQyVWYyY2U1RHdmLU1HU0V3aExmM3lmcDRBYUM0b0JDbVhSQVpTS240aFZMWDJucC0tQ29HazJXOVQ0SGNFb2R5bmJzMVl3VHplajF4b01FQzFNTGVYTWZ3RzBwTXlqb3dqZjQ5VkZnVGZEc0lURHgtVF9EajhhNENmQy1VekVfbTVLRUdFdXh2YkE?oc=5,2026-04-14 08:54:36,Asianet News Hindi,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOVkZzd2xMM1prWDJLWjRBT2U0ZDVRSjhsX2dLdUpxdERoM0UzWWdNNFItVHBXaUkycDVKYWNVbVhpazF1eVpwd0FrdmxvZEhZamw5ZVVqVFhJSmJXbW5kY2R4SFlGdjFWbmFNQUh6UXdmcWxmaHdqWXg3aEZCTmZJMWExMTFzSURfN3Faa3ZXQXRpUzBXRklWMWZRdXNDUmZWdFVyOGpuMW1HNEdIOWZQb2FLSnZuc0FDekFfeWF2MUhYbGlBUTg0ekM2Q05LNUEtZVB0X0FET2dHdkxjcTVCSVBHb3ZjU3doY1HSAe8BQVVfeXFMUFlGVkpReVRUbXYxRGpJcm0zR0FIOUVicUpUWWRZX01vY2RySlotSjdEWUl6V2x0ZU16MVk4QXZ3aEtZbGNZSU9JaFBySm5WRkhaWGV1NGhLaHVjYmdtS1FIWEJVVVQyVWYyY2U1RHdmLU1HU0V3aExmM3lmcDRBYUM0b0JDbVhSQVpTS240aFZMWDJucC0tQ29HazJXOVQ0SGNFb2R5bmJzMVl3VHplajF4b01FQzFNTGVYTWZ3RzBwTXlqb3dqZjQ5VkZnVGZEc0lURHgtVF9EajhhNENmQy1VekVfbTVLRUdFdXh2YkE?oc=5"" target=""_blank"">IMD Alert: Heatwave के बीच Rain Attack! इन 20+ राज्यों में 17 अप्रैल तक भारी तबाही का खतरा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet News Hindi</font>",Monsoon,ur
