Title,Link,Date,Source,Summary,Term,LanguageQueried
"Monsoon to turn vigorous for next four days. Expect heavy rain, flash flooding - indiatoday.in",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOTnBPVDFQTHJXSmdNcjRjVThiNERHbVdoNUtuWDBua3RRNkRnWkhmZHcyTVpSU0haSWVKbEhPdE5rc1FwRDVDTGtDTlR4Tnd4bm5ZQXBjUTVkbUZQcHMwcC1nMlJ6d2txa1k1WE9sbks0N29Ib0NkOGRRQkFPcUtvNkZWaUpnOU9mSkY0S1k0cm9WYXB2M1V6WE9CVjFENnBrSXlFQThOa0hwVVBDT0NDM3NhN0NoSC1MaDNiRExObkw0MkxVbWxMX2NVRFhoQjdk0gHWAUFVX3lxTE03WVV3SlE4VHp6VlBXZWxzWGhRUlZhLVBoSmJPY1NoVVpaM1lDN0UwNmQtazNObVJ3ZHlHd2Q3c1ZwcHZVZHJseHFMRm9QM2tXWFZoRFRCbTBuOXJVck4ya0w5TmR6aDViTmhXeDRBR3M3YklsRGFCVzk2ZnVzT29paEdPdDRCUC01b0dXUXY2blFwRUNSc2l3RWROS2pCcGdfbldUaG9NYm5ldjhoS3BpVWY1ejBINWRmVmlpTm5zUDdLbkdEOXJpX0ZqYS1YNTEtZFlNMnc?oc=5,2026-07-30 07:00:00,indiatoday.in,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOTnBPVDFQTHJXSmdNcjRjVThiNERHbVdoNUtuWDBua3RRNkRnWkhmZHcyTVpSU0haSWVKbEhPdE5rc1FwRDVDTGtDTlR4Tnd4bm5ZQXBjUTVkbUZQcHMwcC1nMlJ6d2txa1k1WE9sbks0N29Ib0NkOGRRQkFPcUtvNkZWaUpnOU9mSkY0S1k0cm9WYXB2M1V6WE9CVjFENnBrSXlFQThOa0hwVVBDT0NDM3NhN0NoSC1MaDNiRExObkw0MkxVbWxMX2NVRFhoQjdk0gHWAUFVX3lxTE03WVV3SlE4VHp6VlBXZWxzWGhRUlZhLVBoSmJPY1NoVVpaM1lDN0UwNmQtazNObVJ3ZHlHd2Q3c1ZwcHZVZHJseHFMRm9QM2tXWFZoRFRCbTBuOXJVck4ya0w5TmR6aDViTmhXeDRBR3M3YklsRGFCVzk2ZnVzT29paEdPdDRCUC01b0dXUXY2blFwRUNSc2l3RWROS2pCcGdfbldUaG9NYm5ldjhoS3BpVWY1ejBINWRmVmlpTm5zUDdLbkdEOXJpX0ZqYS1YNTEtZFlNMnc?oc=5"" target=""_blank"">Monsoon to turn vigorous for next four days. Expect heavy rain, flash flooding</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indiatoday.in</font>",Monsoon,en
"IMD Forecasts Heavy Rain Across J&K, Delhi, Punjab, Haryana And HP Till August 4; Issues Thunderstorm Warning - 10net.in",https://news.google.com/rss/articles/CBMiwwFBVV95cUxOQXhreUhuVkQ2dW5jMlJqRFd0dWlxOWhYd1pDeHNvdXZiS0tMd1RWTkhXUW9hUndBcGdMejBHdFhwS3hZREp0bDFBOHZ6RmRhcFI4WEFaTDRiWUNtaThucTAxTTBRQTNVYTVuRjBDeDVIQjhzSzc2ZnM4M3E5VkMwckpBbWZ6ZlpuT0dKSlY1WE5vU3MybXhaZ0R1RXBfa3VubUh3SHlUU2dURHhwUnA4UDZ3LWVSZlB3ZDdyLTZWLURvWGM?oc=5,2026-07-30 12:30:16,10net.in,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxOQXhreUhuVkQ2dW5jMlJqRFd0dWlxOWhYd1pDeHNvdXZiS0tMd1RWTkhXUW9hUndBcGdMejBHdFhwS3hZREp0bDFBOHZ6RmRhcFI4WEFaTDRiWUNtaThucTAxTTBRQTNVYTVuRjBDeDVIQjhzSzc2ZnM4M3E5VkMwckpBbWZ6ZlpuT0dKSlY1WE5vU3MybXhaZ0R1RXBfa3VubUh3SHlUU2dURHhwUnA4UDZ3LWVSZlB3ZDdyLTZWLURvWGM?oc=5"" target=""_blank"">IMD Forecasts Heavy Rain Across J&amp;K, Delhi, Punjab, Haryana And HP Till August 4; Issues Thunderstorm Warning</a>&nbsp;&nbsp;<font color=""#6f6f6f"">10net.in</font>",Monsoon,en
Flash Floods Obliterate Strategic Himalayan Highway Project in Jammu and Kashmir - streamlinefeed.co.ke,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPcDlUaE9meHR5VWNWeTJDNm1lb1VBTms4a1ZDbW1XcHJ4TXI4QTM4Q3B4dFlHdVNjMEp0SEV6OUVNNmxkNEFzMGs2V2N4bzlWUFE4YnU1UjQyekl0OVJDTVlUSUQ0aXZZdWwyNlFrTTdwUUVCUkJFdTVaUzl6REJVUnh6cnM0eGtnNDBvQmtTZHRJVFBhVVhxZTRHV1RxZ3EwVFd3VG5BTzlWYms?oc=5,2026-07-30 10:55:55,streamlinefeed.co.ke,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPcDlUaE9meHR5VWNWeTJDNm1lb1VBTms4a1ZDbW1XcHJ4TXI4QTM4Q3B4dFlHdVNjMEp0SEV6OUVNNmxkNEFzMGs2V2N4bzlWUFE4YnU1UjQyekl0OVJDTVlUSUQ0aXZZdWwyNlFrTTdwUUVCUkJFdTVaUzl6REJVUnh6cnM0eGtnNDBvQmtTZHRJVFBhVVhxZTRHV1RxZ3EwVFd3VG5BTzlWYms?oc=5"" target=""_blank"">Flash Floods Obliterate Strategic Himalayan Highway Project in Jammu and Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">streamlinefeed.co.ke</font>",Monsoon,en
"Weather tomorrow: IMD warns of heavy rain in Delhi, Karnataka, Assam, Gujarat; 'orange' alert for Kerala - The Times of India",https://news.google.com/rss/articles/CBMi_wFBVV95cUxQS3ppUzMwcTdwdTlYUWoybkNFeVRIaUlkdDhMdTdMNEE0SmFRZkNuT1dCV1RjYVhuUTZYZ01TODNraU14ZFdSbTlwWm1OZnM2V3dpNkxWeF9Qc3FueG5NN0g2Sl9OTHNtSDRyVDhfVkpOeDdEazhIa29WUV90TU5FZkMtMVJsNlJyaE4tbDJkVU5rZ2oxMTdFNDNvVXF4WHdKSEttS201dHNJMlNyaEZIWktoRkJIRjRWOHExRWVYYkwzVnZRQUlQQ1pFR1R5dEU1YWlnNWdlQjhrQ0pNRXptLUlndDNCOHFMcWh3UG9uUWJTNTFuU0xTVGc5V2V3QnfSAYQCQVVfeXFMTmMtQXA0UE9VeTdnT293V1Y3MG9GeDR5QjI0ZHVpeTFtM0lIM0V5eE10NFFpeWJtT2VGdi1NZm05TTMyOW5tU1BKeWhmcDVEb3NVMFNsYWdIaHJNdFF0dFhtZ282QmZ2d2w2MUdZVDM1MnRHZS1QOFJzYncwM0pPbFlQVExUcVh5ckRmYmtyZV9VYXplU2xpcEh5ZjJvSm5LUDVPSlRrREJBSjJHSVdzVnZoeWtLODByR2hZNm1nU3V3YU53OENJbHZ3VHFjRXBobEMxU2lDTmo3c1VxR0h1QUpqNERBbHh1eHAtTDNsdWctdXBETXNBSUVDMWRVVkIwMzZXazk?oc=5,2026-07-30 11:36:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxQS3ppUzMwcTdwdTlYUWoybkNFeVRIaUlkdDhMdTdMNEE0SmFRZkNuT1dCV1RjYVhuUTZYZ01TODNraU14ZFdSbTlwWm1OZnM2V3dpNkxWeF9Qc3FueG5NN0g2Sl9OTHNtSDRyVDhfVkpOeDdEazhIa29WUV90TU5FZkMtMVJsNlJyaE4tbDJkVU5rZ2oxMTdFNDNvVXF4WHdKSEttS201dHNJMlNyaEZIWktoRkJIRjRWOHExRWVYYkwzVnZRQUlQQ1pFR1R5dEU1YWlnNWdlQjhrQ0pNRXptLUlndDNCOHFMcWh3UG9uUWJTNTFuU0xTVGc5V2V3QnfSAYQCQVVfeXFMTmMtQXA0UE9VeTdnT293V1Y3MG9GeDR5QjI0ZHVpeTFtM0lIM0V5eE10NFFpeWJtT2VGdi1NZm05TTMyOW5tU1BKeWhmcDVEb3NVMFNsYWdIaHJNdFF0dFhtZ282QmZ2d2w2MUdZVDM1MnRHZS1QOFJzYncwM0pPbFlQVExUcVh5ckRmYmtyZV9VYXplU2xpcEh5ZjJvSm5LUDVPSlRrREJBSjJHSVdzVnZoeWtLODByR2hZNm1nU3V3YU53OENJbHZ3VHFjRXBobEMxU2lDTmo3c1VxR0h1QUpqNERBbHh1eHAtTDNsdWctdXBETXNBSUVDMWRVVkIwMzZXazk?oc=5"" target=""_blank"">Weather tomorrow: IMD warns of heavy rain in Delhi, Karnataka, Assam, Gujarat; 'orange' alert for Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Monsoon,en
"Heavy rain likely across north, central India; IMD issues flood warning - Business Standard",https://news.google.com/rss/articles/CBMizwFBVV95cUxPTWdyckIyWkQyTjNDRlpucERnZ2RuRjF5SURkLXBYVlFrbEljcjkzVHp6ZjZNenIxVER4TWg3d0c1clVJMllSTldjNUNrM2dVejZPSHl0MjlQYTJ4aXM3RGEzNEN5Uzg2OWVaSDhQT1pybEh3cXNieG9vcTBpTklGeFRudS1GRTJnTFc2bTlYSnlROEI5VVR2cWZTS3F3OTg0c3Qtdi1BSFlfcHNTd0IwNTVkVHYzeTdBUW5hS05rMFlaQWlkSlhxcHU0alJyaGvSAdQBQVVfeXFMTkpiM2xfaG0ybWlSNXhHNUdibzlsbi1EZFRYV2pDOU5kQ2pWeFBYM1BUaHFKZkJXM3JWanJCZFE4X2hYdmRuZE00RVFVX2xETXJtVUh3aTFHM3BxWEVVenV4TE1UbzZrZnNxZ19iR1MwMzJzVlY5RHc0Rk5uUk5CZGFHQW5sVE9ITE5EQ05fZy04aHlOeFlfdGIwWThCSndxdm1PUlVVTWNzRGJqek5fWjVfNGZlM0lhSnQzOU9nR0haUHhhVm1Lb0FaeFNuQlRQejJ1R0M?oc=5,2026-07-30 08:38:13,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPTWdyckIyWkQyTjNDRlpucERnZ2RuRjF5SURkLXBYVlFrbEljcjkzVHp6ZjZNenIxVER4TWg3d0c1clVJMllSTldjNUNrM2dVejZPSHl0MjlQYTJ4aXM3RGEzNEN5Uzg2OWVaSDhQT1pybEh3cXNieG9vcTBpTklGeFRudS1GRTJnTFc2bTlYSnlROEI5VVR2cWZTS3F3OTg0c3Qtdi1BSFlfcHNTd0IwNTVkVHYzeTdBUW5hS05rMFlaQWlkSlhxcHU0alJyaGvSAdQBQVVfeXFMTkpiM2xfaG0ybWlSNXhHNUdibzlsbi1EZFRYV2pDOU5kQ2pWeFBYM1BUaHFKZkJXM3JWanJCZFE4X2hYdmRuZE00RVFVX2xETXJtVUh3aTFHM3BxWEVVenV4TE1UbzZrZnNxZ19iR1MwMzJzVlY5RHc0Rk5uUk5CZGFHQW5sVE9ITE5EQ05fZy04aHlOeFlfdGIwWThCSndxdm1PUlVVTWNzRGJqek5fWjVfNGZlM0lhSnQzOU9nR0haUHhhVm1Lb0FaeFNuQlRQejJ1R0M?oc=5"" target=""_blank"">Heavy rain likely across north, central India; IMD issues flood warning</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Monsoon,en
"Heavy Rain Likely Across Delhi, Haryana, Punjab, HP And J&K Till August 4; IMD Issues Thunderstorm Warning - Daily Excelsior",https://news.google.com/rss/articles/CBMiugFBVV95cUxOSTR1MkdqY1NCMndwejdoeHh3dktwR0FMd19EQ0dWSG9fMTdEOTRKX01DRF9teFNHc2c5a1ZzNEdXT21pYVUzTmRNUjB0Rk5Gd0lqTGwyVjZyc3k3Xzh3bGxzNHA5QTZvb0JMUUswcGtzTEtYNnVROWxiUlp6OUNiXzFFOXhGU2duWjdZX0lCUy1oaERiUWZ3VVhKRGVmVjBOa0djd2dUdUhrR0NPNUJXQ0gwbWw1QlVDbkHSAb4BQVVfeXFMTUxYUVVuQWlVRHJ1ZDBVSThORk5FVzJyS3AyWEJDczZHWG93aWRPbkdZcUhjV1F2SnBCNzF6RDNURGxBYmJZUHlTZzJqMnNHbXBFUEZLYkpQWUQ3dFFCaUNzWms5dGM0emZ1SzdkMlF0U29pbVlKVXJCYW9BdThHejBHeWpBVkt6TFJIMEtMOEUyZTdiSkt4cXlIOXlac1VDVncwcUd6TGcwcWxiVGVyYkY1bmYtbXdhZTNXcHJqdw?oc=5,2026-07-30 10:51:42,Daily Excelsior,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOSTR1MkdqY1NCMndwejdoeHh3dktwR0FMd19EQ0dWSG9fMTdEOTRKX01DRF9teFNHc2c5a1ZzNEdXT21pYVUzTmRNUjB0Rk5Gd0lqTGwyVjZyc3k3Xzh3bGxzNHA5QTZvb0JMUUswcGtzTEtYNnVROWxiUlp6OUNiXzFFOXhGU2duWjdZX0lCUy1oaERiUWZ3VVhKRGVmVjBOa0djd2dUdUhrR0NPNUJXQ0gwbWw1QlVDbkHSAb4BQVVfeXFMTUxYUVVuQWlVRHJ1ZDBVSThORk5FVzJyS3AyWEJDczZHWG93aWRPbkdZcUhjV1F2SnBCNzF6RDNURGxBYmJZUHlTZzJqMnNHbXBFUEZLYkpQWUQ3dFFCaUNzWms5dGM0emZ1SzdkMlF0U29pbVlKVXJCYW9BdThHejBHeWpBVkt6TFJIMEtMOEUyZTdiSkt4cXlIOXlac1VDVncwcUd6TGcwcWxiVGVyYkY1bmYtbXdhZTNXcHJqdw?oc=5"" target=""_blank"">Heavy Rain Likely Across Delhi, Haryana, Punjab, HP And J&amp;K Till August 4; IMD Issues Thunderstorm Warning</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Excelsior</font>",Monsoon,en
"Heavy rain likely across Delhi, Haryana, Punjab, HP and J&K till August 4; IMD issues thunderstorm warning - UNITED NEWS OF INDIA",https://news.google.com/rss/articles/CBMi6AFBVV95cUxQVUI2aEc2SDB2VzI0RzFCQ1AtMG1yNmNiclVoRDRfZTFWUVBYbkxIYzE0TDFRS0Y3SHpMSURidlVHV1UyR0NfWEFQRjFDYUEzNUpvc0RqVnRXWUJjWDh2LVkzOGVYRVV1MmJBTmg4bHRwRWwyNGlLM2JILWNQODV2RmlFd2ViWGE0N3BJNXB0MGZCOUQ5TU5GY3otMDBXX1RHMVJET2xpNXIwZHRfeWo2QXBZSmFrWTRsbUM5bW9UeFFGSHFUOFJEcEQ0bEZtY2JaclVMVHNfZWpSTmU0dll3dkZrQUpNY0hC?oc=5,2026-07-30 10:14:00,UNITED NEWS OF INDIA,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQVUI2aEc2SDB2VzI0RzFCQ1AtMG1yNmNiclVoRDRfZTFWUVBYbkxIYzE0TDFRS0Y3SHpMSURidlVHV1UyR0NfWEFQRjFDYUEzNUpvc0RqVnRXWUJjWDh2LVkzOGVYRVV1MmJBTmg4bHRwRWwyNGlLM2JILWNQODV2RmlFd2ViWGE0N3BJNXB0MGZCOUQ5TU5GY3otMDBXX1RHMVJET2xpNXIwZHRfeWo2QXBZSmFrWTRsbUM5bW9UeFFGSHFUOFJEcEQ0bEZtY2JaclVMVHNfZWpSTmU0dll3dkZrQUpNY0hC?oc=5"" target=""_blank"">Heavy rain likely across Delhi, Haryana, Punjab, HP and J&amp;K till August 4; IMD issues thunderstorm warning</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UNITED NEWS OF INDIA</font>",Monsoon,en
"Heavy Rain Damages House In Jammu; IMD Warns Of Landslides, Flash Floods - 10net.in",https://news.google.com/rss/articles/CBMilgFBVV95cUxNaDYzMlZjakR2TGp4WE9fMnBxR3hkS0dCWUtHYndGRHBraUhhMXRQSnhULUlHWU52ZzJ4OWx6YUhtbXptUjhnRWRoVWVMTHRFcEZKVjdqN1NqNWRLN2U5V2xiZHFISTRjSW9RejY5OThKV0J1a2JORkxHSmt6VVBHLU1Vai1tWlhndEVZTi1KOVNMalFoSEE?oc=5,2026-07-30 10:23:22,10net.in,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNaDYzMlZjakR2TGp4WE9fMnBxR3hkS0dCWUtHYndGRHBraUhhMXRQSnhULUlHWU52ZzJ4OWx6YUhtbXptUjhnRWRoVWVMTHRFcEZKVjdqN1NqNWRLN2U5V2xiZHFISTRjSW9RejY5OThKV0J1a2JORkxHSmt6VVBHLU1Vai1tWlhndEVZTi1KOVNMalFoSEE?oc=5"" target=""_blank"">Heavy Rain Damages House In Jammu; IMD Warns Of Landslides, Flash Floods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">10net.in</font>",Monsoon,en
"Schools remain closed in Doda, Kishtwar amid heavy rain warning - The Tribune",https://news.google.com/rss/articles/CBMiowFBVV95cUxNQ2ZIZ0dhY2Rlakd6UERMcWUzaXZVVVp1cUFsVGE3cFBuak91ZVZLSDh5aW00WW1heVIxVmcxeHRpdWlXa0FzLTZsZ01ZeUdCMjhEUXJTNjZlQXItQW1MRXk3WWJGSkRCcXpGT0UwUFROVHA3dlJrSy14UWJLaWMxcXdTTWk5emkzS1JVUUxrbzBNS0lFSkROb1IxVkl5MHdZMF9N0gGnAUFVX3lxTE50MENhb1g0OFltN1JmSFZaTlp5bFYyR2s3bmVkRmdoQmxEcjNaSDk1Z3FaR285MkZEalJ4Y1ZKd2hXQ0tnU0ZyNkhzNW42azJ5d3pvdTBOQWdEcDQxa0Q5N1hqVzhzclBNNy0xeUJHYm9KYlFKYzdmQ1hLS1RrNndCWEU1dEFaWVZZbTJ0XzBwLUNIVHh1SldDTjdGbXlOTks3UG5rT1J3?oc=5,2026-07-30 01:21:38,The Tribune,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNQ2ZIZ0dhY2Rlakd6UERMcWUzaXZVVVp1cUFsVGE3cFBuak91ZVZLSDh5aW00WW1heVIxVmcxeHRpdWlXa0FzLTZsZ01ZeUdCMjhEUXJTNjZlQXItQW1MRXk3WWJGSkRCcXpGT0UwUFROVHA3dlJrSy14UWJLaWMxcXdTTWk5emkzS1JVUUxrbzBNS0lFSkROb1IxVkl5MHdZMF9N0gGnAUFVX3lxTE50MENhb1g0OFltN1JmSFZaTlp5bFYyR2s3bmVkRmdoQmxEcjNaSDk1Z3FaR285MkZEalJ4Y1ZKd2hXQ0tnU0ZyNkhzNW42azJ5d3pvdTBOQWdEcDQxa0Q5N1hqVzhzclBNNy0xeUJHYm9KYlFKYzdmQ1hLS1RrNndCWEU1dEFaWVZZbTJ0XzBwLUNIVHh1SldDTjdGbXlOTks3UG5rT1J3?oc=5"" target=""_blank"">Schools remain closed in Doda, Kishtwar amid heavy rain warning</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font>",Monsoon,en
Kargil–Leh Highway Blocked by Landslide Near Akchamal Amid Heavy Rain - kashmirlife.net,https://news.google.com/rss/articles/CBMiowFBVV95cUxQWFZlckNCQXJuQWpyNDl5bVlVbmI3b3VISzFBZkpxVmpqZXVQRllDb1pGX1dUWmN6ZDd0eFlKVmJaZUxnNnRsczZQOGlhXzBBTlZZS0twczR3cjdJT2RyUUhxT2x5Rno5UmxRXzlfcVUwQzh1OVFCVld1eUR4SE9pV0szMVVCRkxJZ0tCV21MNTdDUUR2bXVCM2pVLWZBMGJYeDVN?oc=5,2026-07-30 11:58:35,kashmirlife.net,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQWFZlckNCQXJuQWpyNDl5bVlVbmI3b3VISzFBZkpxVmpqZXVQRllDb1pGX1dUWmN6ZDd0eFlKVmJaZUxnNnRsczZQOGlhXzBBTlZZS0twczR3cjdJT2RyUUhxT2x5Rno5UmxRXzlfcVUwQzh1OVFCVld1eUR4SE9pV0szMVVCRkxJZ0tCV21MNTdDUUR2bXVCM2pVLWZBMGJYeDVN?oc=5"" target=""_blank"">Kargil–Leh Highway Blocked by Landslide Near Akchamal Amid Heavy Rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">kashmirlife.net</font>",Monsoon,en
