Title,Link,Date,Source,Summary,Term,LanguageQueried
"Flash floods, cloudbursts mark monsoon's arrival in J&K - Kashmir News Observer",https://news.google.com/rss/articles/CBMitgFBVV95cUxPSy1keloybGxpZDRZQWpJOFg0QXVCUTY5YU5yQ3pfUUVBWjF5b3MwbThFTmJrNEU1dzMxNWxNS2JKX1l2V3lqdHh5MHJNMzJYTy1TR3NNTDA1U0Nab3otZElhajhTWlp4bDFLTmQ2cTFBNWdSTzBmWFEtenhkbVVFcXJWWDM1SEFXbl9KU3FkU0FuUDdLV04wV0xwTUNubmJUemxIUjk5aTJXNW9wSXVpRXNpNERSdw?oc=5,2026-07-02 01:17:08,Kashmir News Observer,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPSy1keloybGxpZDRZQWpJOFg0QXVCUTY5YU5yQ3pfUUVBWjF5b3MwbThFTmJrNEU1dzMxNWxNS2JKX1l2V3lqdHh5MHJNMzJYTy1TR3NNTDA1U0Nab3otZElhajhTWlp4bDFLTmQ2cTFBNWdSTzBmWFEtenhkbVVFcXJWWDM1SEFXbl9KU3FkU0FuUDdLV04wV0xwTUNubmJUemxIUjk5aTJXNW9wSXVpRXNpNERSdw?oc=5"" target=""_blank"">Flash floods, cloudbursts mark monsoon's arrival in J&amp;K</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir News Observer</font>",Monsoon,en
"First spell of monsoon triggers floods, cloudbursts in some areas - Brighter Kashmir",https://news.google.com/rss/articles/CBMilwFBVV95cUxQZXFnZzFMMXhSZFdGWU02Mm1vS0Z6OF9vcEJFRUNQRVZDRzVhOVBBYnVuRTFYenI0LVhLd1pMRkp5b3F3YUpsU2FNbVNOVlpBazl0c2hpNUFvTk9TLW5VMnJFdE53YzlucnNqWUQwZlRnRnlOYklSMzdFRXNxNDUtbHBRektvRWExR1dIZi1udkQ0Z1dDMUlJ?oc=5,2026-07-02 02:11:40,Brighter Kashmir,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQZXFnZzFMMXhSZFdGWU02Mm1vS0Z6OF9vcEJFRUNQRVZDRzVhOVBBYnVuRTFYenI0LVhLd1pMRkp5b3F3YUpsU2FNbVNOVlpBazl0c2hpNUFvTk9TLW5VMnJFdE53YzlucnNqWUQwZlRnRnlOYklSMzdFRXNxNDUtbHBRektvRWExR1dIZi1udkQ0Z1dDMUlJ?oc=5"" target=""_blank"">First spell of monsoon triggers floods, cloudbursts in some areas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Brighter Kashmir</font>",Monsoon,en
"Monsoon Hits Jammu-Kashmir: Cloudbursts Wreak Havoc In 6 Districts; Roads Shut In Doda, Kishtwar, Pilgrimages Suspended - The Daily Jagran",https://news.google.com/rss/articles/CBMihAJBVV95cUxNLWpuZjJpRUo4WUU2YmFvQkFsYmxxSUhiVDh6NFF0N3A5dlhxTVR4Q212STIwOElOODN6ekNRSWM0VjROb0tlck4xdC1LSlg5UFJMOUQwMzAxYmVnT1hPNjRNOWRuYVR4cnNYU2pQd2d1SWhDaUYxTHJxWGRocFp2UHhtMlpwdWhBLXdTbm81T2VrMDN2UG15d1NTQUpiOG1PMTB5NTllVDFGZWY0NC1nU1M4dW5wR29NOENNa3pzSmY1OHVINml2Q3pWRVN1V01WUFB1ZFlEdVdpQk9LTUVBSjVZQ2FrRjJyUkpxY2J6YVlGM3d3cHdqaHhINDVJZ0JpTDhBQg?oc=5,2026-07-02 09:51:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxNLWpuZjJpRUo4WUU2YmFvQkFsYmxxSUhiVDh6NFF0N3A5dlhxTVR4Q212STIwOElOODN6ekNRSWM0VjROb0tlck4xdC1LSlg5UFJMOUQwMzAxYmVnT1hPNjRNOWRuYVR4cnNYU2pQd2d1SWhDaUYxTHJxWGRocFp2UHhtMlpwdWhBLXdTbm81T2VrMDN2UG15d1NTQUpiOG1PMTB5NTllVDFGZWY0NC1nU1M4dW5wR29NOENNa3pzSmY1OHVINml2Q3pWRVN1V01WUFB1ZFlEdVdpQk9LTUVBSjVZQ2FrRjJyUkpxY2J6YVlGM3d3cHdqaHhINDVJZ0JpTDhBQg?oc=5"" target=""_blank"">Monsoon Hits Jammu-Kashmir: Cloudbursts Wreak Havoc In 6 Districts; Roads Shut In Doda, Kishtwar, Pilgrimages Suspended</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Monsoon,en
Daily weather tracker: Monsoon set to reach Delhi and remaining parts of North India soon; heavy rain triggers red and orange alerts across India - Down To Earth,https://news.google.com/rss/articles/CBMipgJBVV95cUxOQ0tMNHp4bThEMFFmWVROdjlvOVk4VUhaem11MXJ4ckliV1ROakdwRmJod2FkaWFDdm5JQzIxVzhfNXpQdWNYZzA1SXlvQmFZcFNoYWgweXFCNFRMcWhLX3FndzUxc3BONVJsWnlnVEhraERlOUhGcllETWVCQlFrV2pmcUFfelJvSXZiX25Pakd0aTBGZWtIbEx1Q0xwUmxzRXhPelh3Uk5WNTVMZENVdERGdk1XN2ZpM0EwNl9sYjd2bk1CZmZ6dWhMQlNEMlRSMzZUMmxkWUloZXI3MjM5eDVINWpHdVZadXkwXzhfemhDWjJZUTQ2b3FSUzVOY2JyYVQzNHRGZ19sbFZyeE12bkIxX0RjMUt3RjFfQ2hVMl9BQ1dZWHfSAaYCQVVfeXFMTkNLTDR6eG04RDBRZllUTnY5bzlZOFVIWnptdTFyeHJJYldUTmpHcEZiaHdhZGlhQ3ZuSUMyMVc4XzV6UHVjWGcwNUl5b0JhWXBTaGFoMHlxQjRUTHFoS19xZ3c1MXNwTjVSbFp5Z1RIa2hEZTlIRnJZRE1lQkJRa1dqZnFBX3pSb0l2Yl9uT2pHdGkwRmVrSGxMdUNMcFJsc0V4T3pYd1JOVjU1TGRDVXRERnZNVzdmaTNBMDZfbGI3dm5NQmZmenVoTEJTRDJUUjM2VDJsZFlJaGVyNzIzOXg1SDVqR3VWWnV5MF84X3poQ1oyWVE0Nm9xUlM1TmNicmFUMzR0RmdfbGxWcnhNdm5CMV9EYzFLd0YxX0NoVTJfQUNXWVh3?oc=5,2026-07-02 11:17:00,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMipgJBVV95cUxOQ0tMNHp4bThEMFFmWVROdjlvOVk4VUhaem11MXJ4ckliV1ROakdwRmJod2FkaWFDdm5JQzIxVzhfNXpQdWNYZzA1SXlvQmFZcFNoYWgweXFCNFRMcWhLX3FndzUxc3BONVJsWnlnVEhraERlOUhGcllETWVCQlFrV2pmcUFfelJvSXZiX25Pakd0aTBGZWtIbEx1Q0xwUmxzRXhPelh3Uk5WNTVMZENVdERGdk1XN2ZpM0EwNl9sYjd2bk1CZmZ6dWhMQlNEMlRSMzZUMmxkWUloZXI3MjM5eDVINWpHdVZadXkwXzhfemhDWjJZUTQ2b3FSUzVOY2JyYVQzNHRGZ19sbFZyeE12bkIxX0RjMUt3RjFfQ2hVMl9BQ1dZWHfSAaYCQVVfeXFMTkNLTDR6eG04RDBRZllUTnY5bzlZOFVIWnptdTFyeHJJYldUTmpHcEZiaHdhZGlhQ3ZuSUMyMVc4XzV6UHVjWGcwNUl5b0JhWXBTaGFoMHlxQjRUTHFoS19xZ3c1MXNwTjVSbFp5Z1RIa2hEZTlIRnJZRE1lQkJRa1dqZnFBX3pSb0l2Yl9uT2pHdGkwRmVrSGxMdUNMcFJsc0V4T3pYd1JOVjU1TGRDVXRERnZNVzdmaTNBMDZfbGI3dm5NQmZmenVoTEJTRDJUUjM2VDJsZFlJaGVyNzIzOXg1SDVqR3VWWnV5MF84X3poQ1oyWVE0Nm9xUlM1TmNicmFUMzR0RmdfbGxWcnhNdm5CMV9EYzFLd0YxX0NoVTJfQUNXWVh3?oc=5"" target=""_blank"">Daily weather tracker: Monsoon set to reach Delhi and remaining parts of North India soon; heavy rain triggers red and orange alerts across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Monsoon,en
"Cloudburst triggers flash flood in Bhalessa, students rescued in Kashmir - Daily Excelsior",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUmMyM3AwMXpFWmNodWNCa3hNc0tKd25DcFh6c2w0aWJ0QllNMFJCUXJnTlNobUFKNldPZGJLQUZ4REhyWWFYZkxmNmZ4R3QzUTB0N0NyVFpBb3RuY29zUFZvMzhYamY1YTdvVFpCSmRIS2hzSDJFbmtPbU0xdnVKQUdDcFZVc244eElFcHphLXZ1RlVqT0ZBUkNGLTQ2bm9tUHVYYTlncElTd9IBqgFBVV95cUxOUmMyM3AwMXpFWmNodWNCa3hNc0tKd25DcFh6c2w0aWJ0QllNMFJCUXJnTlNobUFKNldPZGJLQUZ4REhyWWFYZkxmNmZ4R3QzUTB0N0NyVFpBb3RuY29zUFZvMzhYamY1YTdvVFpCSmRIS2hzSDJFbmtPbU0xdnVKQUdDcFZVc244eElFcHphLXZ1RlVqT0ZBUkNGLTQ2bm9tUHVYYTlncElTdw?oc=5,2026-07-02 04:22:14,Daily Excelsior,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUmMyM3AwMXpFWmNodWNCa3hNc0tKd25DcFh6c2w0aWJ0QllNMFJCUXJnTlNobUFKNldPZGJLQUZ4REhyWWFYZkxmNmZ4R3QzUTB0N0NyVFpBb3RuY29zUFZvMzhYamY1YTdvVFpCSmRIS2hzSDJFbmtPbU0xdnVKQUdDcFZVc244eElFcHphLXZ1RlVqT0ZBUkNGLTQ2bm9tUHVYYTlncElTd9IBqgFBVV95cUxOUmMyM3AwMXpFWmNodWNCa3hNc0tKd25DcFh6c2w0aWJ0QllNMFJCUXJnTlNobUFKNldPZGJLQUZ4REhyWWFYZkxmNmZ4R3QzUTB0N0NyVFpBb3RuY29zUFZvMzhYamY1YTdvVFpCSmRIS2hzSDJFbmtPbU0xdnVKQUdDcFZVc244eElFcHphLXZ1RlVqT0ZBUkNGLTQ2bm9tUHVYYTlncElTdw?oc=5"" target=""_blank"">Cloudburst triggers flash flood in Bhalessa, students rescued in Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Excelsior</font>",Monsoon,en
"Red alert issued as heavy rain, thunderstorms lash Delhi-NCR - Daijiworld",https://news.google.com/rss/articles/CBMid0FVX3lxTE5IN1QzWWUwUldFUEdyMnpyX1VycUZwQmNKNkdjSWRGaE0xX01fRXE3SWZreWUzd3VxV3FqTWVONWpaMlpHdDFhVlNuM0I5aWdlUThoSi1iVHo0LWpGbVNabTRVV21PaW9oUnJhN0xMWlV6b19vVmFJ?oc=5,2026-07-02 08:29:27,Daijiworld,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE5IN1QzWWUwUldFUEdyMnpyX1VycUZwQmNKNkdjSWRGaE0xX01fRXE3SWZreWUzd3VxV3FqTWVONWpaMlpHdDFhVlNuM0I5aWdlUThoSi1iVHo0LWpGbVNabTRVV21PaW9oUnJhN0xMWlV6b19vVmFJ?oc=5"" target=""_blank"">Red alert issued as heavy rain, thunderstorms lash Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daijiworld</font>",Monsoon,en
"Cloudbursts, Flash Floods Hit Jammu Kashmir as Monsoon-Western Disturbance System Ends Kashmir Heatwave - Kashmir Life",https://news.google.com/rss/articles/CBMizwFBVV95cUxNOGZvei1pdEVfN0NvME9WVVI3UjRMb09tU2w5TndwZFd6Tm9kS1ZmSXk5bTJFdW1YeUpUbjFOa1Q0SExnZkVYYWNkcmFaaVl3Y09zNUVXbE11NnIwbUl0U2Q3NGdscUh6Qld4TzNEa3lUNFJhTm9sVVBhMWtBZVhGYW9FbjBicWxvZzh2Z3E5MHhESlp2WVRJOEEzRnROMjF1dk1ha0VjazF3UTFaNGxTWWlsbHNsWHRFaDFUV2JZUXdqdE1wdm5fMjhoVUdHeUE?oc=5,2026-07-02 11:40:11,Kashmir Life,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNOGZvei1pdEVfN0NvME9WVVI3UjRMb09tU2w5TndwZFd6Tm9kS1ZmSXk5bTJFdW1YeUpUbjFOa1Q0SExnZkVYYWNkcmFaaVl3Y09zNUVXbE11NnIwbUl0U2Q3NGdscUh6Qld4TzNEa3lUNFJhTm9sVVBhMWtBZVhGYW9FbjBicWxvZzh2Z3E5MHhESlp2WVRJOEEzRnROMjF1dk1ha0VjazF3UTFaNGxTWWlsbHNsWHRFaDFUV2JZUXdqdE1wdm5fMjhoVUdHeUE?oc=5"" target=""_blank"">Cloudbursts, Flash Floods Hit Jammu Kashmir as Monsoon-Western Disturbance System Ends Kashmir Heatwave</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir Life</font>",Monsoon,en
"Flash floods, cloudbursts mark monsoon’s arrival in J&K - thenorthlines.com",https://news.google.com/rss/articles/CBMihgFBVV95cUxOVUJkblQ1YlF1T3I2cmpQVUdJdTc3SVg1cWRPeXJJUWdmd0lMMmp3MXN0ZE9WOXZqN2NqTkFmMEMtd0RMVWk3LVdhbkN6amFSRkdNdXhOYmJacWpzMHM4RnFBRm16MkFiMEo4bVF5YVh0RTluR1BMSUhtN1RwRWN3UWRVeEN2UQ?oc=5,2026-07-02 00:13:34,thenorthlines.com,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxOVUJkblQ1YlF1T3I2cmpQVUdJdTc3SVg1cWRPeXJJUWdmd0lMMmp3MXN0ZE9WOXZqN2NqTkFmMEMtd0RMVWk3LVdhbkN6amFSRkdNdXhOYmJacWpzMHM4RnFBRm16MkFiMEo4bVF5YVh0RTluR1BMSUhtN1RwRWN3UWRVeEN2UQ?oc=5"" target=""_blank"">Flash floods, cloudbursts mark monsoon’s arrival in J&amp;K</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thenorthlines.com</font>",Monsoon,en
Manali-Leh highway reopens after flash flood; around 50 vehicles stranded in Himachal - MSN,https://news.google.com/rss/articles/CBMi9AJBVV95cUxPa21LOHgyRjQ5THh5R3VtOTk5a0JGLVVnRVloY0ZiRjRma3VRWkxIQ3BFT1I5dkQ1RGtpWDkzRkpSRWRQbGNXSG1fanJJUWRZSjg5VE9YYlM5Mk9tbTdaaWRtajF1RjFqaGo1NTZlZkpRTHZ6bWlKa19GLUV0Z1ZYUHlwWkNkb0VDYW1PYjIyUTQ3UUVoaDdCSFhrdWFISkFYb3ppNjA1dFl0d3ZSenI2THpCRUNaVFhnZUtVaDZwYkhxcEZqZ3owWkxUcU9KOXhRRndVUlg4dlNSTS10cGE2ZFBxTWtVOHRRVjR4a0dYa0x5VG9lQndYTnJvQURzaHd5VlRKT3VDbk9kS191NjNjUDl0Wk8yMkdGLThGdTVJeDJLXzM4bVdmdTE5aC1remhMaDJlWGRMZld1UEtfLWpaNXFzNXFMU3JHajR4S2Z5aHJaNmNvNUx5YUpXeGROX29tY1BSckVwR3hORUFlZ3ZKTU9zM20?oc=5,2026-07-02 07:17:36,MSN,"<a href=""https://news.google.com/rss/articles/CBMi9AJBVV95cUxPa21LOHgyRjQ5THh5R3VtOTk5a0JGLVVnRVloY0ZiRjRma3VRWkxIQ3BFT1I5dkQ1RGtpWDkzRkpSRWRQbGNXSG1fanJJUWRZSjg5VE9YYlM5Mk9tbTdaaWRtajF1RjFqaGo1NTZlZkpRTHZ6bWlKa19GLUV0Z1ZYUHlwWkNkb0VDYW1PYjIyUTQ3UUVoaDdCSFhrdWFISkFYb3ppNjA1dFl0d3ZSenI2THpCRUNaVFhnZUtVaDZwYkhxcEZqZ3owWkxUcU9KOXhRRndVUlg4dlNSTS10cGE2ZFBxTWtVOHRRVjR4a0dYa0x5VG9lQndYTnJvQURzaHd5VlRKT3VDbk9kS191NjNjUDl0Wk8yMkdGLThGdTVJeDJLXzM4bVdmdTE5aC1remhMaDJlWGRMZld1UEtfLWpaNXFzNXFMU3JHajR4S2Z5aHJaNmNvNUx5YUpXeGROX29tY1BSckVwR3hORUFlZ3ZKTU9zM20?oc=5"" target=""_blank"">Manali-Leh highway reopens after flash flood; around 50 vehicles stranded in Himachal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
"उत्तर भारत में मॉनसून ने पकड़ी रफ़्तार, 16 राज्यों में भारी बारिश का अलर्ट, 100 km/h की हवाओं का ख़तरा - Gaon Connection",https://news.google.com/rss/articles/CBMikgJBVV95cUxNd0RlY3plU0cyd1FMenpvYnRCVUd4X0kwdEtuV1Etck5MemxydGhDcWY1NXlpTTlRQnpsNER1NzBXQ2c1NEtseVllSER3ZFQyTmZZeHIycDFHUWZrU3ZsVXNoZmFoZy1MWlVyQ19FSE9ubXVmS1d1WGxfQ3UwT1VUeFFJT3VrdS10dEhHV2F6MVVvaV95am02WktfbmpobFBVMjMxM0h5SG9sVmRnUUpPV3ZiVjdtYXQ0aGFxd0pzeHZQZ1hNaG55YmV2c2dOQ1hWNloyMC1pdHlYY2hlbWJOcEhOWWRLRjB1RXVNNmJyTDJOOTlVVW1qTWd2MWlyeXk0OHhHcG1PWS1vS20zTWtzd2xn0gGXAkFVX3lxTFBzNXpKeTJuMUZZby1LNUhwMEVES2V1MS1SNVNfbVR1Vmx4Zjc3Q19UWHcwM1M1dWZ4N29jYlZRaldBU0RhZkFhSjVkQmQ1TXIxNVQ1Ny1kWVNaMnlZeE5XWHlIUE41OUYycURyMjg4dElJUXp5ZU40TnFIdENia0tkSGlVXzNyNkROZzhRUkdsN0xMOVprcW9iM09kWmJaY09XMENBVXRBQm1YNzVNcHhLTFBXMlMzU3BVQUV6bVhsandydVc3bzhnbzhfR29VcVRJTGliUjRXdkZwY3pCNk5VMHdXUEt4dE1RX29YeWgtX2JXNDJ2Ti0tT3lMMEV4UzlXbzBuRDUwcVNaNU9yZ2Q2aU55TlhyTQ?oc=5,2026-07-02 11:19:22,Gaon Connection,"<a href=""https://news.google.com/rss/articles/CBMikgJBVV95cUxNd0RlY3plU0cyd1FMenpvYnRCVUd4X0kwdEtuV1Etck5MemxydGhDcWY1NXlpTTlRQnpsNER1NzBXQ2c1NEtseVllSER3ZFQyTmZZeHIycDFHUWZrU3ZsVXNoZmFoZy1MWlVyQ19FSE9ubXVmS1d1WGxfQ3UwT1VUeFFJT3VrdS10dEhHV2F6MVVvaV95am02WktfbmpobFBVMjMxM0h5SG9sVmRnUUpPV3ZiVjdtYXQ0aGFxd0pzeHZQZ1hNaG55YmV2c2dOQ1hWNloyMC1pdHlYY2hlbWJOcEhOWWRLRjB1RXVNNmJyTDJOOTlVVW1qTWd2MWlyeXk0OHhHcG1PWS1vS20zTWtzd2xn0gGXAkFVX3lxTFBzNXpKeTJuMUZZby1LNUhwMEVES2V1MS1SNVNfbVR1Vmx4Zjc3Q19UWHcwM1M1dWZ4N29jYlZRaldBU0RhZkFhSjVkQmQ1TXIxNVQ1Ny1kWVNaMnlZeE5XWHlIUE41OUYycURyMjg4dElJUXp5ZU40TnFIdENia0tkSGlVXzNyNkROZzhRUkdsN0xMOVprcW9iM09kWmJaY09XMENBVXRBQm1YNzVNcHhLTFBXMlMzU3BVQUV6bVhsandydVc3bzhnbzhfR29VcVRJTGliUjRXdkZwY3pCNk5VMHdXUEt4dE1RX29YeWgtX2JXNDJ2Ti0tT3lMMEV4UzlXbzBuRDUwcVNaNU9yZ2Q2aU55TlhyTQ?oc=5"" target=""_blank"">उत्तर भारत में मॉनसून ने पकड़ी रफ़्तार, 16 राज्यों में भारी बारिश का अलर्ट, 100 km/h की हवाओं का ख़तरा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gaon Connection</font>",Monsoon,hi
