Title,Link,Date,Source,Summary,Term,LanguageQueried
IMD forecasts heavy to very heavy rain across several states - News On AIR,https://news.google.com/rss/articles/CBMiigFBVV95cUxOXzBXQ0ZaQnNBZjk5OHF6Qk16djJGVVQyU3NnNEFMamJlWGtxWVNQYVgySWNpY05uWm9KTnhEWjNOc1hMVW9MeW5lQVpzT1VqTktwYXpNNzF6SnJSRGdud0VuNEg4LXJmTnhEZHM0RHQ4N3FJUmRRQnJYX2p0WUtuQlhIRnMtQXNRN3c?oc=5,2026-07-21 07:29:27,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxOXzBXQ0ZaQnNBZjk5OHF6Qk16djJGVVQyU3NnNEFMamJlWGtxWVNQYVgySWNpY05uWm9KTnhEWjNOc1hMVW9MeW5lQVpzT1VqTktwYXpNNzF6SnJSRGdud0VuNEg4LXJmTnhEZHM0RHQ4N3FJUmRRQnJYX2p0WUtuQlhIRnMtQXNRN3c?oc=5"" target=""_blank"">IMD forecasts heavy to very heavy rain across several states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
Ladakh Administration Advises Tourists to Defer Travel Amid Heavy Rainfall Forecast - Kashmir Convener,https://news.google.com/rss/articles/CBMisgFBVV95cUxOZGdZOEh2b0lQQTNfN0tPbzZhS0tGMVZweVZOQ2w0REpSNzVZNGNoNzM4aTg0VDNaejI5TkhwN0xRSE9NU0ZiMXFXVTliNHc2dV9fOFhfeGlOTDc0b3dZN0xPbFdRRkF4TkpnbGJreWU1cW94LU9haGVYcjNjTUV2bDZiOXVKS2U5cGpJLTV0S3d0blRERFh4M0o2ZWR1MXZpRXNzMjJzM1FXVHg4ajdZYTB3?oc=5,2026-07-21 12:04:17,Kashmir Convener,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOZGdZOEh2b0lQQTNfN0tPbzZhS0tGMVZweVZOQ2w0REpSNzVZNGNoNzM4aTg0VDNaejI5TkhwN0xRSE9NU0ZiMXFXVTliNHc2dV9fOFhfeGlOTDc0b3dZN0xPbFdRRkF4TkpnbGJreWU1cW94LU9haGVYcjNjTUV2bDZiOXVKS2U5cGpJLTV0S3d0blRERFh4M0o2ZWR1MXZpRXNzMjJzM1FXVHg4ajdZYTB3?oc=5"" target=""_blank"">Ladakh Administration Advises Tourists to Defer Travel Amid Heavy Rainfall Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir Convener</font>",Monsoon,en
IMD Issues Orange Alert for Heavy Rain in Northeast - News On AIR,https://news.google.com/rss/articles/CBMigwFBVV95cUxOYThFbXVGUTNodVI3anBoM2tEb2ZqV3MtR19taWVRRGlFMktMMkExUENKTGptcktTRUh3NEw1SWVGN3djNXN1NU9KM0NCdW16d05aSVc5WlBwRUJ1eUUwd1lkVm5kM3A4ZXNlT3paankxWFRpTkY1NWZXbWwzOXY3NTZyaw?oc=5,2026-07-21 03:45:05,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOYThFbXVGUTNodVI3anBoM2tEb2ZqV3MtR19taWVRRGlFMktMMkExUENKTGptcktTRUh3NEw1SWVGN3djNXN1NU9KM0NCdW16d05aSVc5WlBwRUJ1eUUwd1lkVm5kM3A4ZXNlT3paankxWFRpTkY1NWZXbWwzOXY3NTZyaw?oc=5"" target=""_blank"">IMD Issues Orange Alert for Heavy Rain in Northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"Flash floods ravage several areas of Kargil, causing widespread damage - Greater Kashmir",https://news.google.com/rss/articles/CBMivAFBVV95cUxNR3RIWDVISVc4czRyaWlvcW9CMXJCY1lLN3hkYlRjb3g3RHU1TFQxak5PWUpiQVFHS3VFOUFXT2d4QkpwUTJGT0szNEFMR2tnSmRld1NQOG9vSzZaNjZmSGFuRVVYSXc4dVNEU3Rpak5STmdjeVo5X1lmRElHMUF4a1NTa3pxeDdOZW94aTIzall1ZjRtZFFoZzFBWHkwajJoSlp3bS1Ba200SWt0SmRISzZRVWlaekt4YzdxZtIBvAFBVV95cUxNR3RIWDVISVc4czRyaWlvcW9CMXJCY1lLN3hkYlRjb3g3RHU1TFQxak5PWUpiQVFHS3VFOUFXT2d4QkpwUTJGT0szNEFMR2tnSmRld1NQOG9vSzZaNjZmSGFuRVVYSXc4dVNEU3Rpak5STmdjeVo5X1lmRElHMUF4a1NTa3pxeDdOZW94aTIzall1ZjRtZFFoZzFBWHkwajJoSlp3bS1Ba200SWt0SmRISzZRVWlaekt4YzdxZg?oc=5,2026-07-21 06:11:38,Greater Kashmir,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNR3RIWDVISVc4czRyaWlvcW9CMXJCY1lLN3hkYlRjb3g3RHU1TFQxak5PWUpiQVFHS3VFOUFXT2d4QkpwUTJGT0szNEFMR2tnSmRld1NQOG9vSzZaNjZmSGFuRVVYSXc4dVNEU3Rpak5STmdjeVo5X1lmRElHMUF4a1NTa3pxeDdOZW94aTIzall1ZjRtZFFoZzFBWHkwajJoSlp3bS1Ba200SWt0SmRISzZRVWlaekt4YzdxZtIBvAFBVV95cUxNR3RIWDVISVc4czRyaWlvcW9CMXJCY1lLN3hkYlRjb3g3RHU1TFQxak5PWUpiQVFHS3VFOUFXT2d4QkpwUTJGT0szNEFMR2tnSmRld1NQOG9vSzZaNjZmSGFuRVVYSXc4dVNEU3Rpak5STmdjeVo5X1lmRElHMUF4a1NTa3pxeDdOZW94aTIzall1ZjRtZFFoZzFBWHkwajJoSlp3bS1Ba200SWt0SmRISzZRVWlaekt4YzdxZg?oc=5"" target=""_blank"">Flash floods ravage several areas of Kargil, causing widespread damage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Greater Kashmir</font>",Monsoon,en
CEC Dr. Mohd Jaffer Akhoon Chairs Review Meeting on Flash Flood Situation. - Administration of Union Territory of Ladakh,https://news.google.com/rss/articles/CBMimwFBVV95cUxPZF9PMGxqNDBwWWdnOHpfWVJGdGFBT0Y4M2JYUFE1MHYzdUZnZ1F4emNRME1FODc2LVN4b0FSSnBoZGdpbkwweGlGVnBmVUZFVDJkejdkR1g5anZMdkJhVlJYRFFfd3p0cEVSLWJNTE9ZUHJIWGlKQkVIMWlsYWhJbFNTYmJDTC1CZkduUGVOTmNmLVBidVQwUndYMA?oc=5,2026-07-21 11:11:50,Administration of Union Territory of Ladakh,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPZF9PMGxqNDBwWWdnOHpfWVJGdGFBT0Y4M2JYUFE1MHYzdUZnZ1F4emNRME1FODc2LVN4b0FSSnBoZGdpbkwweGlGVnBmVUZFVDJkejdkR1g5anZMdkJhVlJYRFFfd3p0cEVSLWJNTE9ZUHJIWGlKQkVIMWlsYWhJbFNTYmJDTC1CZkduUGVOTmNmLVBidVQwUndYMA?oc=5"" target=""_blank"">CEC Dr. Mohd Jaffer Akhoon Chairs Review Meeting on Flash Flood Situation.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Administration of Union Territory of Ladakh</font>",Monsoon,en
"Flash floods ravage dozens of villages in Kargil, 700 kanals of cropland destroyed - Free Press Kashmir",https://news.google.com/rss/articles/CBMixgFBVV95cUxQQ2RiNG9JNzJ1RFNPdWotdUN4MDVja2hTcWtuVl9Yd01ER2pETFp4Rk9QdklrVlR3TWdYRm5QR3FtYWhNS04yYW5pbGxCRU9iYmQzeDF1eVQ4cjRPOWktTVM3Z2ZEY1FWLTU5QTZCNWtKSmpvV1N2Y2dQZjJXWV9hbU5OTmY3YUkxaml3ZTZhMVQ1ZnNwVjBNdWY1X1VqaVlDcXh2M3VtNU5yZ0FYT0M5VkpNbnB1bnZ1QVdfOTdjRFVpMXFtRlHSAcYBQVVfeXFMUENkYjRvSTcydURTT3VqLXVDeDA1Y2toU3FrblZfWHdNREdqRExaeEZPUHZJa1ZUd01nWEZuUEdxbWFoTUtOMmFuaWxsQkVPYmJkM3gxdXlUOHI0TzlpLU1TN2dmRGNRVi01OUE2QjVrSkpqb1dTdmNnUGYyV1lfYW1OTk5mN2FJMWppd2U2YTFUNWZzcFYwTXVmNV9VamlZQ3F4djN1bTVOcmdBWE9DOVZKTW5wdW52dUFXXzk3Y0RVaTFxbUZR?oc=5,2026-07-21 04:50:30,Free Press Kashmir,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQQ2RiNG9JNzJ1RFNPdWotdUN4MDVja2hTcWtuVl9Yd01ER2pETFp4Rk9QdklrVlR3TWdYRm5QR3FtYWhNS04yYW5pbGxCRU9iYmQzeDF1eVQ4cjRPOWktTVM3Z2ZEY1FWLTU5QTZCNWtKSmpvV1N2Y2dQZjJXWV9hbU5OTmY3YUkxaml3ZTZhMVQ1ZnNwVjBNdWY1X1VqaVlDcXh2M3VtNU5yZ0FYT0M5VkpNbnB1bnZ1QVdfOTdjRFVpMXFtRlHSAcYBQVVfeXFMUENkYjRvSTcydURTT3VqLXVDeDA1Y2toU3FrblZfWHdNREdqRExaeEZPUHZJa1ZUd01nWEZuUEdxbWFoTUtOMmFuaWxsQkVPYmJkM3gxdXlUOHI0TzlpLU1TN2dmRGNRVi01OUE2QjVrSkpqb1dTdmNnUGYyV1lfYW1OTk5mN2FJMWppd2U2YTFUNWZzcFYwTXVmNV9VamlZQ3F4djN1bTVOcmdBWE9DOVZKTW5wdW52dUFXXzk3Y0RVaTFxbUZR?oc=5"" target=""_blank"">Flash floods ravage dozens of villages in Kargil, 700 kanals of cropland destroyed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Kashmir</font>",Monsoon,en
CEC Dr. Mohd. Jaffer Akhoon Visits Flash Flood-Affected Brakoo Village. - Administration of Union Territory of Ladakh,https://news.google.com/rss/articles/CBMilgFBVV95cUxOMzFadDV3eHdBeWtnQnZldk5CRUdGWEJqcVVqbWluNmdmZ0U0ekhWWDZST3ZVWDd2WXFQV0NReS1TdnhzcEhNVWtXNFVQRlUyYk9iaDNGVWtCTmE1a2FvbkpVVXVTdFV5ZlNReENXTmhGNWRaVkJYM1BEWUlodTdBUm8zRVd2ZkVjYVFWT3Q1eC16RDVBblE?oc=5,2026-07-21 11:11:50,Administration of Union Territory of Ladakh,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOMzFadDV3eHdBeWtnQnZldk5CRUdGWEJqcVVqbWluNmdmZ0U0ekhWWDZST3ZVWDd2WXFQV0NReS1TdnhzcEhNVWtXNFVQRlUyYk9iaDNGVWtCTmE1a2FvbkpVVXVTdFV5ZlNReENXTmhGNWRaVkJYM1BEWUlodTdBUm8zRVd2ZkVjYVFWT3Q1eC16RDVBblE?oc=5"" target=""_blank"">CEC Dr. Mohd. Jaffer Akhoon Visits Flash Flood-Affected Brakoo Village.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Administration of Union Territory of Ladakh</font>",Monsoon,en
Ladakh Administration Advises Tourists to Postpone Travel Amid Heavy Rainfall Alert - 10net.in,https://news.google.com/rss/articles/CBMipwFBVV95cUxQUy1xTlNLZVF1ZmlLaTM0Mk1sU1JYWVlqVG9HWm4xdnhCOGlPRmNPNmhSamRIYXBUQVhHWGp5LWVNaVcxaDRCOUpyVEQzcWxnYTVsbWdEMlJjVDAtZXJPM1cteVFaN2U2aHZZN1hvSGdBV1NtNngzVXF4T0JPU3lQdFM1M2xyR0Q5TG12Q20xUUJBblhGUk5VUERLTjk3QU5kMEJtQ2U5RQ?oc=5,2026-07-21 12:40:41,10net.in,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQUy1xTlNLZVF1ZmlLaTM0Mk1sU1JYWVlqVG9HWm4xdnhCOGlPRmNPNmhSamRIYXBUQVhHWGp5LWVNaVcxaDRCOUpyVEQzcWxnYTVsbWdEMlJjVDAtZXJPM1cteVFaN2U2aHZZN1hvSGdBV1NtNngzVXF4T0JPU3lQdFM1M2xyR0Q5TG12Q20xUUJBblhGUk5VUERLTjk3QU5kMEJtQ2U5RQ?oc=5"" target=""_blank"">Ladakh Administration Advises Tourists to Postpone Travel Amid Heavy Rainfall Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">10net.in</font>",Monsoon,en
Ladakh Admin Advises Tourists To Defer Travel Amid Heavy Rainfall Forecast - Daily Excelsior,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUWVCSVhoemdHWEdjQVBNNDg4MVZVZ25SWllOWEUyaGdwVUstX1ZwX0lRYUlmRE03Y1VyNkMzWWJMRGM4Qk9aVnQtVS05ajNiUGxRVmVWREZTVmFQZUVHdm1yOHdZQzNFTjVGR2J2XzFaZjhJeWVmdXA3SEdNS281WkU1U21HMFQ1T3dyeVZVVjMwLXFKRzNOOE1QaG9RZUJ4aFAwU3FwRTg1UdIBrgFBVV95cUxOVmtnX0dLOUdWNG9zelFzNDFUd21PZ0FyR2lTOWxXOHlLam9WSVlCSUZtOHBNOUJhZFBWdlRoM2pvWG1aQkZHTk5FbFJIY1dCSEpBWmZaWHhJcmVrV0NpWE9PdDBHTkJTNWZLXzJJRXNZZjF0M2NzdWpfNHVjclJKUWFseVdtaEstMG9DQ0U1T2YxUU91bXpWTDZzQmlrXzdoNkVpMGx5aWNyRFJWUkE?oc=5,2026-07-21 12:11:05,Daily Excelsior,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUWVCSVhoemdHWEdjQVBNNDg4MVZVZ25SWllOWEUyaGdwVUstX1ZwX0lRYUlmRE03Y1VyNkMzWWJMRGM4Qk9aVnQtVS05ajNiUGxRVmVWREZTVmFQZUVHdm1yOHdZQzNFTjVGR2J2XzFaZjhJeWVmdXA3SEdNS281WkU1U21HMFQ1T3dyeVZVVjMwLXFKRzNOOE1QaG9RZUJ4aFAwU3FwRTg1UdIBrgFBVV95cUxOVmtnX0dLOUdWNG9zelFzNDFUd21PZ0FyR2lTOWxXOHlLam9WSVlCSUZtOHBNOUJhZFBWdlRoM2pvWG1aQkZHTk5FbFJIY1dCSEpBWmZaWHhJcmVrV0NpWE9PdDBHTkJTNWZLXzJJRXNZZjF0M2NzdWpfNHVjclJKUWFseVdtaEstMG9DQ0U1T2YxUU91bXpWTDZzQmlrXzdoNkVpMGx5aWNyRFJWUkE?oc=5"" target=""_blank"">Ladakh Admin Advises Tourists To Defer Travel Amid Heavy Rainfall Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Excelsior</font>",Monsoon,en
DMRRR Department Issues Public Advisory in View of Forecast Heavy Rainfall Across Ladakh. - Administration of Union Territory of Ladakh,https://news.google.com/rss/articles/CBMisAFBVV95cUxQRjdGdHU2U3E1LVJTd2JWZTNvdW1CRE42VEZkdF85eDdkbHBiYTNWbm8ydmZxTUMxYTExbnpDSHRPakJlSnZRajVoYVdaTXRRRi1WalkzT0dzMjByOWpBLUhzRHBSQ2lnVFQydHJXaUVUOFFBencxVWRsOEI3b3BNZ3hpOWpkdGZxOUZRZjZWNHdvbzFzTVh2T3ctakpNU0FiMEh6dkdfLUo5UXdvbWVpMw?oc=5,2026-07-21 11:01:13,Administration of Union Territory of Ladakh,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQRjdGdHU2U3E1LVJTd2JWZTNvdW1CRE42VEZkdF85eDdkbHBiYTNWbm8ydmZxTUMxYTExbnpDSHRPakJlSnZRajVoYVdaTXRRRi1WalkzT0dzMjByOWpBLUhzRHBSQ2lnVFQydHJXaUVUOFFBencxVWRsOEI3b3BNZ3hpOWpkdGZxOUZRZjZWNHdvbzFzTVh2T3ctakpNU0FiMEh6dkdfLUo5UXdvbWVpMw?oc=5"" target=""_blank"">DMRRR Department Issues Public Advisory in View of Forecast Heavy Rainfall Across Ladakh.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Administration of Union Territory of Ladakh</font>",Monsoon,en
