Title,Link,Date,Source,Summary,Term,LanguageQueried
Heavy rain to persist in Kerala; IMD issues yellow alert for multiple districts - The Hans India,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNSDlleG1pOW1zdWEwQ1pfYmV4dFR1YlBmWkVpMW15cFltY3l6eHhkRDFtQXQzM1d4Q0gwT3hFUmhOeGgyMzE0Q1ZSeklBSlRIMmhTTHhmTnNRanZOV3h2WjJtZEsxX3ZIMnZRcmRvRlFybkFOaTZxaXRjMGFKdW9uNEotOHdydDNhbURyXzlHcGdpc0Vpek5yM1hOVDRzUkJJVjdFc0RhVXZ6Y2puMWNQdDF3VFNBbmxvejFqbC04dl9pNHp6Qzd4ZNIBzgFBVV95cUxQTk5lYms4NE5UQ2wwM2t5MkhnaFFkUmc5ZVdFMEtpaGk1MlJHRV9aUU91eXZyVjJNQzR5Ulc3eEF0YTMwRFMxTG55Z19YdVppWXFFZGdlOXRLOHhDaV9qdlprU1hBaDVGODZTclJ0QTNSTVRGWlp5NFRESE93TWJBT2JCb2FSMTd1WU5wSDBhTy1YYVFRR0YzWmxIWFFGNE9UWEVLaEdFNmFCbmFQT1JqRUdaZ2c1S0xKSDF4VlVOMkxEZ2lVME5zM1hTLWR4Zw?oc=5,2025-11-23 09:45:48,The Hans India,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNSDlleG1pOW1zdWEwQ1pfYmV4dFR1YlBmWkVpMW15cFltY3l6eHhkRDFtQXQzM1d4Q0gwT3hFUmhOeGgyMzE0Q1ZSeklBSlRIMmhTTHhmTnNRanZOV3h2WjJtZEsxX3ZIMnZRcmRvRlFybkFOaTZxaXRjMGFKdW9uNEotOHdydDNhbURyXzlHcGdpc0Vpek5yM1hOVDRzUkJJVjdFc0RhVXZ6Y2puMWNQdDF3VFNBbmxvejFqbC04dl9pNHp6Qzd4ZNIBzgFBVV95cUxQTk5lYms4NE5UQ2wwM2t5MkhnaFFkUmc5ZVdFMEtpaGk1MlJHRV9aUU91eXZyVjJNQzR5Ulc3eEF0YTMwRFMxTG55Z19YdVppWXFFZGdlOXRLOHhDaV9qdlprU1hBaDVGODZTclJ0QTNSTVRGWlp5NFRESE93TWJBT2JCb2FSMTd1WU5wSDBhTy1YYVFRR0YzWmxIWFFGNE9UWEVLaEdFNmFCbmFQT1JqRUdaZ2c1S0xKSDF4VlVOMkxEZ2lVME5zM1hTLWR4Zw?oc=5"" target=""_blank"">Heavy rain to persist in Kerala; IMD issues yellow alert for multiple districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hans India</font>",Monsoon,en
Heavy rain to continue for four days in Kerala; Yellow alert issued in multiple districts - Mathrubhumi English,https://news.google.com/rss/articles/CBMipgFBVV95cUxNX0FYblhQVFg1c2VRSHpDa0pzSmFGT19tcDd3MTR1TTE2TFdtdGw5UjRIZkRKdFlZNzhBZDFhbnUzcmF0YVdNdzNqenVQVk9Ba1lMZXZNenpiNWFiRFpIRDloX2o2U18tUWZaV1ZlWTQ2TEpjQ29ub3p4V2pnNzVxX0taTGVsVHpSbkJuaXhJTENsaGxBckZwdndLOVRhLWJOTDdMUXpn0gGmAUFVX3lxTE1fQVhuWFBUWDVzZVFIekNrSnNKYUZPX21wN3cxNHVNMTZMV210bDlSNEhmREp0WVk3OEFkMWFudTNyYXRhV013M2p6dVBWT0FrWUxldk16emI1YWJEWkhEOWhfajZTXy1RZlpXVmVZNDZMSmNDb25venhXamc3NXFfS1pMZWxUelJuQm5peElMQ2xobEFyRnB2d0s5VGEtYk5MN0xRemc?oc=5,2025-11-23 06:45:46,Mathrubhumi English,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNX0FYblhQVFg1c2VRSHpDa0pzSmFGT19tcDd3MTR1TTE2TFdtdGw5UjRIZkRKdFlZNzhBZDFhbnUzcmF0YVdNdzNqenVQVk9Ba1lMZXZNenpiNWFiRFpIRDloX2o2U18tUWZaV1ZlWTQ2TEpjQ29ub3p4V2pnNzVxX0taTGVsVHpSbkJuaXhJTENsaGxBckZwdndLOVRhLWJOTDdMUXpn0gGmAUFVX3lxTE1fQVhuWFBUWDVzZVFIekNrSnNKYUZPX21wN3cxNHVNMTZMV210bDlSNEhmREp0WVk3OEFkMWFudTNyYXRhV013M2p6dVBWT0FrWUxldk16emI1YWJEWkhEOWhfajZTXy1RZlpXVmVZNDZMSmNDb25venhXamc3NXFfS1pMZWxUelJuQm5peElMQ2xobEFyRnB2d0s5VGEtYk5MN0xRemc?oc=5"" target=""_blank"">Heavy rain to continue for four days in Kerala; Yellow alert issued in multiple districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mathrubhumi English</font>",Monsoon,en
"Cyclonic Circulation: Thunderstorms to continue in Kerala, 7 districts under yellow alert today - Onmanorama",https://news.google.com/rss/articles/CBMipgFBVV95cUxNNVNsZEo1c2lKT3RkSmc1a2RULUxhWHBaSmozdWdPeXF0bjllMVROMWpVV0Y3TzZid0RHNXgzSXlfYUZfOGhVSWNPRnBUSEtjdFVaVk0yMlg1TWJGYUZ5SktQSHZXaFhvY01KTmpaNEdMbFpNbl9Ka1pEenJ0SlhYcy1nYWZJMmF4aVVrRVRNODBnVGRibG5ETTlYSnYwOVUtdHVLd1dn?oc=5,2025-11-23 07:14:40,Onmanorama,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNNVNsZEo1c2lKT3RkSmc1a2RULUxhWHBaSmozdWdPeXF0bjllMVROMWpVV0Y3TzZid0RHNXgzSXlfYUZfOGhVSWNPRnBUSEtjdFVaVk0yMlg1TWJGYUZ5SktQSHZXaFhvY01KTmpaNEdMbFpNbl9Ka1pEenJ0SlhYcy1nYWZJMmF4aVVrRVRNODBnVGRibG5ETTlYSnYwOVUtdHVLd1dn?oc=5"" target=""_blank"">Cyclonic Circulation: Thunderstorms to continue in Kerala, 7 districts under yellow alert today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Onmanorama</font>",Monsoon,en
Cyclone likely to form over Bay of Bengal; IMD issues heavy rainfall alert for southern states - Mathrubhumi English,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPRExJek1yZlphRUhuamhGOWtZWFZUWlYwSWlhX1ZodzFScm9HcHpEN0VHazFUY0FOQjFpWTJFYjg4UXJweDRzX2lYV1ZXaWo2ektJMGZSUE4xY3BNQU9mOUJtYXZNN0lBTWpYS3BxSi1DbnVrLVRhcFcydWxKWlBYbzBZejA5ZWJ6QTh2eDhzX0Z2bmZJWGt2UUZvNVdCbkFjcjBlbFdnUjNGS0l4a2FsT3d4d2FfS3lTWEp6UldtUEY2cW_SAcMBQVVfeXFMT0RMSXpNcmZaYUVIbmpoRjlrWVhWVFpWMElpYV9WaHcxUnJvR3B6RDdFR2sxVGNBTkIxaVkyRWI4OFFycHg0c19pWFdWV2lqNnpLSTBmUlBOMWNwTUFPZjlCbWF2TTdJQU1qWEtwcUotQ251ay1UYXBXMnVsSlpQWG8wWXowOWViekE4dng4c19Gdm5mSVhrdlFGbzVXQm5BY3IwZWxXZ1IzRktJeGthbE93eHdhX0t5U1hKelJXbVBGNnFv?oc=5,2025-11-23 07:47:08,Mathrubhumi English,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPRExJek1yZlphRUhuamhGOWtZWFZUWlYwSWlhX1ZodzFScm9HcHpEN0VHazFUY0FOQjFpWTJFYjg4UXJweDRzX2lYV1ZXaWo2ektJMGZSUE4xY3BNQU9mOUJtYXZNN0lBTWpYS3BxSi1DbnVrLVRhcFcydWxKWlBYbzBZejA5ZWJ6QTh2eDhzX0Z2bmZJWGt2UUZvNVdCbkFjcjBlbFdnUjNGS0l4a2FsT3d4d2FfS3lTWEp6UldtUEY2cW_SAcMBQVVfeXFMT0RMSXpNcmZaYUVIbmpoRjlrWVhWVFpWMElpYV9WaHcxUnJvR3B6RDdFR2sxVGNBTkIxaVkyRWI4OFFycHg0c19pWFdWV2lqNnpLSTBmUlBOMWNwTUFPZjlCbWF2TTdJQU1qWEtwcUotQ251ay1UYXBXMnVsSlpQWG8wWXowOWViekE4dng4c19Gdm5mSVhrdlFGbzVXQm5BY3IwZWxXZ1IzRktJeGthbE93eHdhX0t5U1hKelJXbVBGNnFv?oc=5"" target=""_blank"">Cyclone likely to form over Bay of Bengal; IMD issues heavy rainfall alert for southern states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mathrubhumi English</font>",Monsoon,en
"Cyclone Over Bay Of Bengal? IMD Warns Of Heavy Rainfall In Tamil Nadu, Kerala - NDTV Profit",https://news.google.com/rss/articles/CBMirgFBVV95cUxNYnNuUlNHTFpVMFE0RkZoVlJCa2Q2Ukw1RzIxcVAtVjVqbnhITTVhTVVQdlB6TXN1QzRndE5xX184T1ZJQVhJVHNoSHEyTlRfXzUybkFzSmpmaHBEdTlFZlltNks1Sm8za2NJQVFzclU4SkdPV1BYVVhDdnFwQXFtbTNoUGQ5cnVSOEc1THUwWVloUkVpbUU1UDdlT3lnRVpycWY3dkxDd054bG9aVXfSAbMBQVVfeXFMUGotcDNfMXUzU21VS3ByY1RlNTRoMnE3eGhCN1ZGSVRlaFVlSVRNc3VYYVpHS29Ra3Z4bGJYRzJ1YWpFTVJ1UTVtZEJ4RXZEN3RQNWtITGFBNnd5dFhPUDZaRE80TnRSZnhPSDJiOHZMWXM2UUp4anNqcURUT1piOFVPOXdrOWlQN2x5TWl1WDlMZnlxc1VpMm1pTUhqVGtqUE1ya0JfNTZ0SjFjWnFJck5RSzg?oc=5,2025-11-23 09:42:16,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNYnNuUlNHTFpVMFE0RkZoVlJCa2Q2Ukw1RzIxcVAtVjVqbnhITTVhTVVQdlB6TXN1QzRndE5xX184T1ZJQVhJVHNoSHEyTlRfXzUybkFzSmpmaHBEdTlFZlltNks1Sm8za2NJQVFzclU4SkdPV1BYVVhDdnFwQXFtbTNoUGQ5cnVSOEc1THUwWVloUkVpbUU1UDdlT3lnRVpycWY3dkxDd054bG9aVXfSAbMBQVVfeXFMUGotcDNfMXUzU21VS3ByY1RlNTRoMnE3eGhCN1ZGSVRlaFVlSVRNc3VYYVpHS29Ra3Z4bGJYRzJ1YWpFTVJ1UTVtZEJ4RXZEN3RQNWtITGFBNnd5dFhPUDZaRE80TnRSZnhPSDJiOHZMWXM2UUp4anNqcURUT1piOFVPOXdrOWlQN2x5TWl1WDlMZnlxc1VpMm1pTUhqVGtqUE1ya0JfNTZ0SjFjWnFJck5RSzg?oc=5"" target=""_blank"">Cyclone Over Bay Of Bengal? IMD Warns Of Heavy Rainfall In Tamil Nadu, Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",Monsoon,en
"Cyclone likely to form over Bay of Bengal, IMD warns of heavy rainfall in Tamil Nadu, Kerala and Karnataka - The Economic Times",https://news.google.com/rss/articles/CBMiuwJBVV95cUxPU2QzV3RiN1B3em5BMEt1WFZSSkUzcTZOd3hYMkpvRU9ianY1bWhPTjlYdElmdHZOS092UGhrcmJfYzVnUGkzdElrQjJwbXROLUpaRjhjdEROTXZadzV1ZGIzWGZCODMxUUZwc1RjNDJTeWtyNDc4YjBDMFRjeVdmeDlELVdTdXlVcXc4bHhaR0tqQ0wyejBGY3dVcXkxR3FEUUZvZHF2ZlpvbjJqYlVzVDhQc1gwRXhwWFdfZVY4NzUtX3JmSS1HODlwRV9EU2t3VU5mMS1nM3lzcldSMUZRY3RBSVNScWV6Q19PRVczVl91S3VubldPcGdleG5Od2ExYmwyTEpmc29fdGk2MjhIUmJWakNRYVk4OGZmVno5U1V1bGo2VlB1Nml3TTlGeU9iejByemNiQVNSOW_SAbsCQVVfeXFMT1NkM1d0YjdQd3puQTBLdVhWUkpFM3E2Tnd4WDJKb0VPYmp2NW1oT045WHRJZnR2TktPdlBoa3JiX2M1Z1BpM3RJa0IycG10Ti1KWkY4Y3RETk12Wnc1dWRiM1hmQjgzMVFGcHNUYzQyU3lrcjQ3OGIwQzBUY3lXZng5RC1XU3V5VXF3OGx4WkdLakNMMnowRmN3VXF5MUdxRFFGb2RxdmZab24yamJVc1Q4UHNYMEV4cFhXX2VWODc1LV9yZkktRzg5cEVfRFNrd1VOZjEtZzN5c3JXUjFGUWN0QUlTUnFlekNfT0VXM1ZfdUt1bm5XT3BnZXhuTndhMWJsMkxKZnNvX3RpNjI4SFJiVmpDUWFZODhmZlZ6OVNVdWxqNlZQdTZpd005RnlPYnowcnpjYkFTUjlv?oc=5,2025-11-23 07:25:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMiuwJBVV95cUxPU2QzV3RiN1B3em5BMEt1WFZSSkUzcTZOd3hYMkpvRU9ianY1bWhPTjlYdElmdHZOS092UGhrcmJfYzVnUGkzdElrQjJwbXROLUpaRjhjdEROTXZadzV1ZGIzWGZCODMxUUZwc1RjNDJTeWtyNDc4YjBDMFRjeVdmeDlELVdTdXlVcXc4bHhaR0tqQ0wyejBGY3dVcXkxR3FEUUZvZHF2ZlpvbjJqYlVzVDhQc1gwRXhwWFdfZVY4NzUtX3JmSS1HODlwRV9EU2t3VU5mMS1nM3lzcldSMUZRY3RBSVNScWV6Q19PRVczVl91S3VubldPcGdleG5Od2ExYmwyTEpmc29fdGk2MjhIUmJWakNRYVk4OGZmVno5U1V1bGo2VlB1Nml3TTlGeU9iejByemNiQVNSOW_SAbsCQVVfeXFMT1NkM1d0YjdQd3puQTBLdVhWUkpFM3E2Tnd4WDJKb0VPYmp2NW1oT045WHRJZnR2TktPdlBoa3JiX2M1Z1BpM3RJa0IycG10Ti1KWkY4Y3RETk12Wnc1dWRiM1hmQjgzMVFGcHNUYzQyU3lrcjQ3OGIwQzBUY3lXZng5RC1XU3V5VXF3OGx4WkdLakNMMnowRmN3VXF5MUdxRFFGb2RxdmZab24yamJVc1Q4UHNYMEV4cFhXX2VWODc1LV9yZkktRzg5cEVfRFNrd1VOZjEtZzN5c3JXUjFGUWN0QUlTUnFlekNfT0VXM1ZfdUt1bm5XT3BnZXhuTndhMWJsMkxKZnNvX3RpNjI4SFJiVmpDUWFZODhmZlZ6OVNVdWxqNlZQdTZpd005RnlPYnowcnpjYkFTUjlv?oc=5"" target=""_blank"">Cyclone likely to form over Bay of Bengal, IMD warns of heavy rainfall in Tamil Nadu, Kerala and Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
"Cyclone likely to form over Bay of Bengal, IMD warns of heavy rainfall in Tamil Nadu, Kerala and Karnataka - The Economic Times",https://news.google.com/rss/articles/CBMitgJBVV95cUxOOEE3RVBYYnk3M196TlFGbHJfWnJfWWs1X0k4UEhEWExNR2xPNkR1VnhYUWR4YWZNX3ZEWW5jTDJTQ2NzV1FvejlJTXRub2J1TzBoZlAySUp2UmZkYXU3Zjc2djdQTk5Fakc1ZkN6SDh2NlpEZGE2WUpOaEIzVHZJT0dXZi15ZmlHU0JGNEF0Vlo3b1hCTDN6dVhmaThTbUVUUnNrNmYtbjVvOWlTdHBwc0IwYzZkZ3lNbWVHYXdaQ281V2h5MGhib3daenAxTkQ3SzY3QUdPVkU1eVlvNmktNEhkTW1xblhlNWtVb2c5bmpfMXBwbDByaTRUZlhZazdzck5OYzc2VWY0TDBpRklIY241SzF0XzVGaGY1Wk10V3pKdDd3RDhuMUUwZUl5RXljN1J1Vnln0gG7AkFVX3lxTE9TZDNXdGI3UHd6bkEwS3VYVlJKRTNxNk53eFgySm9FT2JqdjVtaE9OOVh0SWZ0dk5LT3ZQaGtyYl9jNWdQaTN0SWtCMnBtdE4tSlpGOGN0RE5Ndlp3NXVkYjNYZkI4MzFRRnBzVGM0MlN5a3I0NzhiMEMwVGN5V2Z4OUQtV1N1eVVxdzhseFpHS2pDTDJ6MEZjd1VxeTFHcURRRm9kcXZmWm9uMmpiVXNUOFBzWDBFeHBYV19lVjg3NS1fcmZJLUc4OXBFX0RTa3dVTmYxLWczeXNyV1IxRlFjdEFJU1JxZXpDX09FVzNWX3VLdW5uV09wZ2V4bk53YTFibDJMSmZzb190aTYyOEhSYlZqQ1FhWTg4ZmZWejlTVXVsajZWUHU2aXdNOUZ5T2J6MHJ6Y2JBU1I5bw?oc=5,2025-11-23 07:25:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMitgJBVV95cUxOOEE3RVBYYnk3M196TlFGbHJfWnJfWWs1X0k4UEhEWExNR2xPNkR1VnhYUWR4YWZNX3ZEWW5jTDJTQ2NzV1FvejlJTXRub2J1TzBoZlAySUp2UmZkYXU3Zjc2djdQTk5Fakc1ZkN6SDh2NlpEZGE2WUpOaEIzVHZJT0dXZi15ZmlHU0JGNEF0Vlo3b1hCTDN6dVhmaThTbUVUUnNrNmYtbjVvOWlTdHBwc0IwYzZkZ3lNbWVHYXdaQ281V2h5MGhib3daenAxTkQ3SzY3QUdPVkU1eVlvNmktNEhkTW1xblhlNWtVb2c5bmpfMXBwbDByaTRUZlhZazdzck5OYzc2VWY0TDBpRklIY241SzF0XzVGaGY1Wk10V3pKdDd3RDhuMUUwZUl5RXljN1J1Vnln0gG7AkFVX3lxTE9TZDNXdGI3UHd6bkEwS3VYVlJKRTNxNk53eFgySm9FT2JqdjVtaE9OOVh0SWZ0dk5LT3ZQaGtyYl9jNWdQaTN0SWtCMnBtdE4tSlpGOGN0RE5Ndlp3NXVkYjNYZkI4MzFRRnBzVGM0MlN5a3I0NzhiMEMwVGN5V2Z4OUQtV1N1eVVxdzhseFpHS2pDTDJ6MEZjd1VxeTFHcURRRm9kcXZmWm9uMmpiVXNUOFBzWDBFeHBYV19lVjg3NS1fcmZJLUc4OXBFX0RTa3dVTmYxLWczeXNyV1IxRlFjdEFJU1JxZXpDX09FVzNWX3VLdW5uV09wZ2V4bk53YTFibDJMSmZzb190aTYyOEhSYlZqQ1FhWTg4ZmZWejlTVXVsajZWUHU2aXdNOUZ5T2J6MHJ6Y2JBU1I5bw?oc=5"" target=""_blank"">Cyclone likely to form over Bay of Bengal, IMD warns of heavy rainfall in Tamil Nadu, Kerala and Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Monsoon,en
Heavy rain to persist in Kerala; IMD issues yellow alert for multiple districts - Gulf News,https://news.google.com/rss/articles/CBMiygFBVV95cUxOb0RzbUhFS3hZVjlsS3NidzhRV3lpcWlFcXY0WDJzbFV1TGhxNHlramxuLXhfRzNIZk1sS3k5VXFTWGdmSEtrdkRZNmEwX05RNjJVODhGX29aMWNUcW9wLWkyeWxhTmVLUnRwem5IM1hkZTRwMThWM3RsMUFtNWdXaVhUUUNIZG1Sb2E2azRROG01UGtmUnoyU1FpUThJQVNPeFlxWUlmMlM3T2t3VnZpSHljWUZhOHpzY2VHVzZLR2FkS1pxRTRXWTln0gHfAUFVX3lxTE5Md19iQTVUMEFtR1BOYTh2UElvOVJwcncxd1M5ZW9RQWJQNFlHaXhMdVFwdXR5R2ZMODZ4YUNMaDU2LXVXRTRkQ2puQVo3NDh5MHF6QUM0RXFpVlF6VmZoejQ0UThGNnVPMWZ2TUZORnFXcEM2bmE5YkpUYzc5NUJMemx6MHB4MktjdTl0M3Q2V3JDa3htd2gtSkhUbExFSU9DZkwyMVgyQW1pazBObHltclkyeU56a2llVjlxczRtWGVLSnlZNFpwNjNjRXRrRVB3aFphY0Q0X1BrRlA0Q2c?oc=5,2025-11-23 10:49:54,Gulf News,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOb0RzbUhFS3hZVjlsS3NidzhRV3lpcWlFcXY0WDJzbFV1TGhxNHlramxuLXhfRzNIZk1sS3k5VXFTWGdmSEtrdkRZNmEwX05RNjJVODhGX29aMWNUcW9wLWkyeWxhTmVLUnRwem5IM1hkZTRwMThWM3RsMUFtNWdXaVhUUUNIZG1Sb2E2azRROG01UGtmUnoyU1FpUThJQVNPeFlxWUlmMlM3T2t3VnZpSHljWUZhOHpzY2VHVzZLR2FkS1pxRTRXWTln0gHfAUFVX3lxTE5Md19iQTVUMEFtR1BOYTh2UElvOVJwcncxd1M5ZW9RQWJQNFlHaXhMdVFwdXR5R2ZMODZ4YUNMaDU2LXVXRTRkQ2puQVo3NDh5MHF6QUM0RXFpVlF6VmZoejQ0UThGNnVPMWZ2TUZORnFXcEM2bmE5YkpUYzc5NUJMemx6MHB4MktjdTl0M3Q2V3JDa3htd2gtSkhUbExFSU9DZkwyMVgyQW1pazBObHltclkyeU56a2llVjlxczRtWGVLSnlZNFpwNjNjRXRrRVB3aFphY0Q0X1BrRlA0Q2c?oc=5"" target=""_blank"">Heavy rain to persist in Kerala; IMD issues yellow alert for multiple districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gulf News</font>",Monsoon,en
"Cyclone likely to form over Bay of Bengal? IMD shares update; warns of heavy rainfall in Tamil Nadu, Kerala, Andamans - livemint.com",https://news.google.com/rss/articles/CBMi_gFBVV95cUxNc0VHWTNyaUt5dGxHNzZBMjVITFRoNVNBQzlkVzg1STZQRExNQ3c3VmJYWnBCWjlHMkR4OHNiMHd4YkwybWJ3aHJsUGdnQWlqM1lhaHIwS0xlWFVtV1RzYnRGUEZkSDA4aXRxUGt3d1d4UEtfUzlWLUtDMzQxWXU1eGxDN2NpTXRkUG1sRzBFOVYyaHo3V2l1aUFTUThFRHhoV2s4ZjNOMkx3YUYtZENUWGtHWjE0eG9aVXFqM1FRYkN4VUdhS2JLQ2FEazR0TWd2UkdtbUVDTEdKOUJjZzFGZks4ejNpQ0hycUVla0tIZlU1TzRoZFotNkFhLThpZ9IBgwJBVV95cUxOMXdSaFFCR09wRm9JZzRBTTM5OWIxUmQtbTZaZGljYVpQS3k3anZnbU0wSTgtdUVuNjJOYVBLUmhTa1k0ODVjV25QSHN5bC1kbzREVkVCbHJiNXkyOENPVVFCVzRpOWNjX1ZwSHJJd09wWlpJc052RmU1MmVLQ3pRLXQ5MEk5QTBzMjE5UU9ndUFGVFJlNzhTVHYwZldBdzNTdjlBVno5STViR0g3S05saVpyU3ZvcEhLYThsOW5DU0JOQjlMalN0NWhpWVFRanEwYldlSzMwTUgxZmpOMnB3M0tsRW5zdGRxb3N0VlZQYmJZZjFKd0xPRW5Wb1pjRUQ3VWc0?oc=5,2025-11-23 07:01:25,livemint.com,"<a href=""https://news.google.com/rss/articles/CBMi_gFBVV95cUxNc0VHWTNyaUt5dGxHNzZBMjVITFRoNVNBQzlkVzg1STZQRExNQ3c3VmJYWnBCWjlHMkR4OHNiMHd4YkwybWJ3aHJsUGdnQWlqM1lhaHIwS0xlWFVtV1RzYnRGUEZkSDA4aXRxUGt3d1d4UEtfUzlWLUtDMzQxWXU1eGxDN2NpTXRkUG1sRzBFOVYyaHo3V2l1aUFTUThFRHhoV2s4ZjNOMkx3YUYtZENUWGtHWjE0eG9aVXFqM1FRYkN4VUdhS2JLQ2FEazR0TWd2UkdtbUVDTEdKOUJjZzFGZks4ejNpQ0hycUVla0tIZlU1TzRoZFotNkFhLThpZ9IBgwJBVV95cUxOMXdSaFFCR09wRm9JZzRBTTM5OWIxUmQtbTZaZGljYVpQS3k3anZnbU0wSTgtdUVuNjJOYVBLUmhTa1k0ODVjV25QSHN5bC1kbzREVkVCbHJiNXkyOENPVVFCVzRpOWNjX1ZwSHJJd09wWlpJc052RmU1MmVLQ3pRLXQ5MEk5QTBzMjE5UU9ndUFGVFJlNzhTVHYwZldBdzNTdjlBVno5STViR0g3S05saVpyU3ZvcEhLYThsOW5DU0JOQjlMalN0NWhpWVFRanEwYldlSzMwTUgxZmpOMnB3M0tsRW5zdGRxb3N0VlZQYmJZZjFKd0xPRW5Wb1pjRUQ3VWc0?oc=5"" target=""_blank"">Cyclone likely to form over Bay of Bengal? IMD shares update; warns of heavy rainfall in Tamil Nadu, Kerala, Andamans</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",Monsoon,en
"Cyclone ‘Senyar’ brewing in Bay of Bengal? Cyclonic circulation to intensify soon - Check IMD's rainfall warning, fishermen alert - ET Now",https://news.google.com/rss/articles/CBMigAJBVV95cUxPd2NYVmNkdjgteTJibWhlVEkwQlR1S0dvZEFPdkVCLWFUWDJPdFh3cjhoYkQxN3F0N3F5THdXV0FSalVrOFMyWllpMDlwNVREeDlxNUVTeWhKLVBTODU2bWJWMUVUbTZ5MWdOUXFERmJmY0dDUUx5eXJfUlI2UU9OTEhXTTlyS29PSDVpNnRnZ3Z3VDg3RGxqTHpzTW4tdW5OUVgtbUF2clBHdjVoU2E0a1l0d2NZeWhHSWhpNFVTRFlJMFFHVTl5X1FjOWlrMGIxRDF1ckowSGx5STFGQ001NkEzS1NtcUhmQjFUdzRBMlVLQzBxUV96dnBhbnRQT2900gGGAkFVX3lxTE5rcGJUZXQxVjNTdEFQZ2FDa0ExV2VlZjI5bXhFdWlmNlhhRVZPYWRMZFlCSFhsN2JWeVh2ZWR5STVCWnhzb3ZmUGxZRTVnOGdHYjZOWXRQbEVRNzZHRm95elV3SDJiUC12RmozYk9xVGFkUzhQcnNGeWo1RTBfaHllUTFIYTZXbTBhNDJ4UGJja0Uyb1FNYnFaR3cwUjRPR0p0d0JxRTZDTmJfTWlhS1FfVUlPYkM4MHpyeVg4ZGowUVRTTXNDbzhYZjdVMjA4QXhUUlhqeE1heFdYdWpremRMZksyY2NCdmkzQXNpQUFOazgwLW9Deng0QVBMZ2xOUEZkQWVZYWc?oc=5,2025-11-23 08:06:12,ET Now,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxPd2NYVmNkdjgteTJibWhlVEkwQlR1S0dvZEFPdkVCLWFUWDJPdFh3cjhoYkQxN3F0N3F5THdXV0FSalVrOFMyWllpMDlwNVREeDlxNUVTeWhKLVBTODU2bWJWMUVUbTZ5MWdOUXFERmJmY0dDUUx5eXJfUlI2UU9OTEhXTTlyS29PSDVpNnRnZ3Z3VDg3RGxqTHpzTW4tdW5OUVgtbUF2clBHdjVoU2E0a1l0d2NZeWhHSWhpNFVTRFlJMFFHVTl5X1FjOWlrMGIxRDF1ckowSGx5STFGQ001NkEzS1NtcUhmQjFUdzRBMlVLQzBxUV96dnBhbnRQT2900gGGAkFVX3lxTE5rcGJUZXQxVjNTdEFQZ2FDa0ExV2VlZjI5bXhFdWlmNlhhRVZPYWRMZFlCSFhsN2JWeVh2ZWR5STVCWnhzb3ZmUGxZRTVnOGdHYjZOWXRQbEVRNzZHRm95elV3SDJiUC12RmozYk9xVGFkUzhQcnNGeWo1RTBfaHllUTFIYTZXbTBhNDJ4UGJja0Uyb1FNYnFaR3cwUjRPR0p0d0JxRTZDTmJfTWlhS1FfVUlPYkM4MHpyeVg4ZGowUVRTTXNDbzhYZjdVMjA4QXhUUlhqeE1heFdYdWpremRMZksyY2NCdmkzQXNpQUFOazgwLW9Deng0QVBMZ2xOUEZkQWVZYWc?oc=5"" target=""_blank"">Cyclone ‘Senyar’ brewing in Bay of Bengal? Cyclonic circulation to intensify soon - Check IMD's rainfall warning, fishermen alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ET Now</font>",Monsoon,en
