Title,Link,Date,Source,Summary,Term,LanguageQueried
Weather Update | தமிழகத்தில் இன்று 4 மாவட்டங்களில் கனமழை வெளுக்கும்.. எங்கெல்லாம்? வானிலை மையம் வார்னிங்! - tamil.news18.com,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPLW9FWEFISmpBbE1ILVNpb1VSOERNc1FOdU1MTTJiZkNJRzc1cXRaYXJaWUZEMWVmLW0zcjdOUGZFWmJJRlZaQ1dOSkNTUGF5SW5kSGhqZXlrU2loOWNtdkhWd1RXWE5YTXpTU1MzUGtNeHo3QWtxRGlhZVNacmxZUll3YTNBd3VSX3ZGSVlqbUZGZ1V5Z2dUNjZ4d1k5WUM1bzZrYURZbnI0Rmx3UGJLMXpodmd1NjdRaHJ0QUc1a1FFR3lSWU85b3BsX0lZUVlKQ0ZLR2RjcmRnU3JQdDNCX0hEVVkwTFh4QzV3?oc=5,2026-08-06 06:55:00,tamil.news18.com,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPLW9FWEFISmpBbE1ILVNpb1VSOERNc1FOdU1MTTJiZkNJRzc1cXRaYXJaWUZEMWVmLW0zcjdOUGZFWmJJRlZaQ1dOSkNTUGF5SW5kSGhqZXlrU2loOWNtdkhWd1RXWE5YTXpTU1MzUGtNeHo3QWtxRGlhZVNacmxZUll3YTNBd3VSX3ZGSVlqbUZGZ1V5Z2dUNjZ4d1k5WUM1bzZrYURZbnI0Rmx3UGJLMXpodmd1NjdRaHJ0QUc1a1FFR3lSWU85b3BsX0lZUVlKQ0ZLR2RjcmRnU3JQdDNCX0hEVVkwTFh4QzV3?oc=5"" target=""_blank"">Weather Update | தமிழகத்தில் இன்று 4 மாவட்டங்களில் கனமழை வெளுக்கும்.. எங்கெல்லாம்? வானிலை மையம் வார்னிங்!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">tamil.news18.com</font>",Monsoon,ta
"Southern states brace for heavy rainfall, Kerala and Tamil Nadu on alert - The Indian Express",https://news.google.com/rss/articles/CBMiwAFBVV95cUxOYnNUTHRGNVoxYTNscHlGS245dHlWN1UtNDRyd3FKdURGRTZmaEFqam5fTVgtZHU0NkV4NHJLWXlHVDBEenZpS3I5Vmtja3F3STJPSDlPcjQtU0VqcG9XWk41bFlKR2o0LXhEcjh0cHMxX2JmbHVzWExTSE1acEs5WTVWN0xrTnRDenlJdTZNUDU0eWVKMkpIQ055WXJOeC00QUIyVzhGZlBiTzFJY3lQdWxkOEZENDJuQzQxM3BNeXPSAccBQVVfeXFMTktDTktOX3JiWURITHk2Vmo4aHVuc1FSS2pENVg2THRuY2VVQ1J2eGlLaVBBazQxUF9rT2xYM0ZaVFlFaGV2TkRzNmFmbFJ5cVpRRmduVlFlUVNqM2RDRlN1eXdRVnFhZ2VUQVFzYV9DVEk1WlZMRk4tNjNwYzNBOFN6RWJtVWtMdDFGMnJqWWRvZWRBdlNiMTRIWmRSRUlKLWl6dGNIaEVRZXBqLTA3eWpNQm1iR1A4NzdNTmpwekpNM0hwRnRPZw?oc=5,2026-08-06 12:44:13,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxOYnNUTHRGNVoxYTNscHlGS245dHlWN1UtNDRyd3FKdURGRTZmaEFqam5fTVgtZHU0NkV4NHJLWXlHVDBEenZpS3I5Vmtja3F3STJPSDlPcjQtU0VqcG9XWk41bFlKR2o0LXhEcjh0cHMxX2JmbHVzWExTSE1acEs5WTVWN0xrTnRDenlJdTZNUDU0eWVKMkpIQ055WXJOeC00QUIyVzhGZlBiTzFJY3lQdWxkOEZENDJuQzQxM3BNeXPSAccBQVVfeXFMTktDTktOX3JiWURITHk2Vmo4aHVuc1FSS2pENVg2THRuY2VVQ1J2eGlLaVBBazQxUF9rT2xYM0ZaVFlFaGV2TkRzNmFmbFJ5cVpRRmduVlFlUVNqM2RDRlN1eXdRVnFhZ2VUQVFzYV9DVEk1WlZMRk4tNjNwYzNBOFN6RWJtVWtMdDFGMnJqWWRvZWRBdlNiMTRIWmRSRUlKLWl6dGNIaEVRZXBqLTA3eWpNQm1iR1A4NzdNTmpwekpNM0hwRnRPZw?oc=5"" target=""_blank"">Southern states brace for heavy rainfall, Kerala and Tamil Nadu on alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Monsoon,en
"Rains bring respite from humid conditions in Delhi, Noida, Gurugram; IMD issues yellow alert - India.Com",https://news.google.com/rss/articles/CBMipgJBVV95cUxNRDczLVA1ejJXU3pXcGhtMVNpWHg3SFo3ZkJJc0RiaTN2UkVyNE1FSm5yNHZNRHVPX2hUdGpQamk0akM0a09BamVTS0hPLWhBVVk2ZDA1SHVibmVZa2pvYXR5RkxMakhBNVhQWjIzY2h1emZ1bUtHUzVfb1ozV09ucWdSRm16Tm4yczEzNTBJN3lteUZTS2ZKQkhtTWUwdHhlZWFUVU02WlNEVXJRR0hLZnNxejVPc193bHhZR3R3dlRaQWRiS3BlMkJHZXFxUmlyYW9aU1pEMGtRSU4zNFR4M05KTDdiYnFhcFhUb1BzZHVhTVdQUXNKdEV5dzJGclpRdjBtMTBxWjd0MUJXMjJqcWNPTmhkbHNNdHdpU2hCZW1JTExrVHfSAaYCQVVfeXFMTUQ3My1QNXoyV1N6V3BobTFTaVh4N0haN2ZCSXNEYmkzdlJFcjRNRUpucjR2TUR1T19oVHRqUGppNGpDNGtPQWplU0tITy1oQVVZNmQwNUh1Ym5lWWtqb2F0eUZMTGpIQTVYUFoyM2NodXpmdW1LR1M1X29aM1dPbnFnUkZtek5uMnMxMzUwSTd5bXlGU0tmSkJIbU1lMHR4ZWVhVFVNNlpTRFVyUUdIS2ZzcXo1T3Nfd2x4WUd0d3ZUWkFkYktwZTJCR2VxcVJpcmFvWlNaRDBrUUlOMzRUeDNOSkw3YmJxYXBYVG9Qc2R1YU1XUFFzSnRFeXcyRnJaUXYwbTEwcVo3dDFCVzIyanFjT05oZGxzTXR3aVNoQmVtSUxMa1R3?oc=5,2026-08-06 08:50:56,India.Com,"<a href=""https://news.google.com/rss/articles/CBMipgJBVV95cUxNRDczLVA1ejJXU3pXcGhtMVNpWHg3SFo3ZkJJc0RiaTN2UkVyNE1FSm5yNHZNRHVPX2hUdGpQamk0akM0a09BamVTS0hPLWhBVVk2ZDA1SHVibmVZa2pvYXR5RkxMakhBNVhQWjIzY2h1emZ1bUtHUzVfb1ozV09ucWdSRm16Tm4yczEzNTBJN3lteUZTS2ZKQkhtTWUwdHhlZWFUVU02WlNEVXJRR0hLZnNxejVPc193bHhZR3R3dlRaQWRiS3BlMkJHZXFxUmlyYW9aU1pEMGtRSU4zNFR4M05KTDdiYnFhcFhUb1BzZHVhTVdQUXNKdEV5dzJGclpRdjBtMTBxWjd0MUJXMjJqcWNPTmhkbHNNdHdpU2hCZW1JTExrVHfSAaYCQVVfeXFMTUQ3My1QNXoyV1N6V3BobTFTaVh4N0haN2ZCSXNEYmkzdlJFcjRNRUpucjR2TUR1T19oVHRqUGppNGpDNGtPQWplU0tITy1oQVVZNmQwNUh1Ym5lWWtqb2F0eUZMTGpIQTVYUFoyM2NodXpmdW1LR1M1X29aM1dPbnFnUkZtek5uMnMxMzUwSTd5bXlGU0tmSkJIbU1lMHR4ZWVhVFVNNlpTRFVyUUdIS2ZzcXo1T3Nfd2x4WUd0d3ZUWkFkYktwZTJCR2VxcVJpcmFvWlNaRDBrUUlOMzRUeDNOSkw3YmJxYXBYVG9Qc2R1YU1XUFFzSnRFeXcyRnJaUXYwbTEwcVo3dDFCVzIyanFjT05oZGxzTXR3aVNoQmVtSUxMa1R3?oc=5"" target=""_blank"">Rains bring respite from humid conditions in Delhi, Noida, Gurugram; IMD issues yellow alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.Com</font>",Monsoon,en
"Heavy rain, gusty winds likely in parts of Tamil Nadu over next three days: IMD - ddindia.co.in",https://news.google.com/rss/articles/CBMirAFBVV95cUxOanVka2loSUVNRnM2VEFMWnIwM3Z0YXFSNEhFdUwtenlNNFVtOUs5VTlZYk0tbWpYNEVUcDVRM1JCM3Z1UC00eGtZUGRlQzJodXh0OTVmNmdvLTdKTmJLakZDNG9WN0xzRXNmcEhWRy1uYmM3bTBJSDdQOUlUTHFFVXhlcXZfSTBSLWZSaU96dzk2ODgyZDM0cEdpemlIZEJIQ3NTRktOOVl3aE9O?oc=5,2026-08-06 10:57:00,ddindia.co.in,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOanVka2loSUVNRnM2VEFMWnIwM3Z0YXFSNEhFdUwtenlNNFVtOUs5VTlZYk0tbWpYNEVUcDVRM1JCM3Z1UC00eGtZUGRlQzJodXh0OTVmNmdvLTdKTmJLakZDNG9WN0xzRXNmcEhWRy1uYmM3bTBJSDdQOUlUTHFFVXhlcXZfSTBSLWZSaU96dzk2ODgyZDM0cEdpemlIZEJIQ3NTRktOOVl3aE9O?oc=5"" target=""_blank"">Heavy rain, gusty winds likely in parts of Tamil Nadu over next three days: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddindia.co.in</font>",Monsoon,en
Heavy rain with gusty winds forecast for many TN districts - tennews.in,https://news.google.com/rss/articles/CBMihAFBVV95cUxQeDBsVGE3ZU5jY1U3c1BlWHNwQXJMaDhiN1JFbE1FbGZ5alJ5dnhrSUk3clJQZmYyWGZReVhyeWdaWnlPNDRCX0ZubHZvMUFINlY3c0Fxb202VWNDeEpzM1ZhSWEwSi1JN0ZGU2laand4TU1vNzNpanNkSUdGel9za0ktMDY?oc=5,2026-08-06 09:29:42,tennews.in,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxQeDBsVGE3ZU5jY1U3c1BlWHNwQXJMaDhiN1JFbE1FbGZ5alJ5dnhrSUk3clJQZmYyWGZReVhyeWdaWnlPNDRCX0ZubHZvMUFINlY3c0Fxb202VWNDeEpzM1ZhSWEwSi1JN0ZGU2laand4TU1vNzNpanNkSUdGel9za0ktMDY?oc=5"" target=""_blank"">Heavy rain with gusty winds forecast for many TN districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">tennews.in</font>",Monsoon,en
IMD issues Orange Alert for heavy to very heavy rain in seven States today - News On AIR,https://news.google.com/rss/articles/CBMiogFBVV95cUxOT042RkFSNDVWY1dxY0ptM3UxWkVxTnlrZXJnWUhZanZSUlhCdE02YW1vOHdDVkRkak1NUmxvNTRiMVJxSFIxV253NWFjTUU1TUdETkVVenJncllXc0g1VWdsYXNpMTRVZVBDV0pqcGpiWnNDMXFuRWk4N0VZYmRhTV82Q2FsTjFzcU55aTIxUlJRS3l1MW1IME83THhBMkJZRVE?oc=5,2026-08-06 09:04:39,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOT042RkFSNDVWY1dxY0ptM3UxWkVxTnlrZXJnWUhZanZSUlhCdE02YW1vOHdDVkRkak1NUmxvNTRiMVJxSFIxV253NWFjTUU1TUdETkVVenJncllXc0g1VWdsYXNpMTRVZVBDV0pqcGpiWnNDMXFuRWk4N0VZYmRhTV82Q2FsTjFzcU55aTIxUlJRS3l1MW1IME83THhBMkJZRVE?oc=5"" target=""_blank"">IMD issues Orange Alert for heavy to very heavy rain in seven States today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"Kerala weather today: Seven districts on orange alert; heavy rain, strong winds likely - Mathrubhumi English",https://news.google.com/rss/articles/CBMi1wFBVV95cUxPOVZRUUlWbDdoWElNZ3A3WFc2SUM5MzZ2TmdkMllXVHRUX2hqMFVjd1BkcTBFR3JBeE0yU0NhUEtLcFdCXzJ1QmlqenFxVFNibEx5bnZnVmk2SWR0Y0VDaGFQbU00MzVEUFk1X1VKLXdJdUxFSDJXbVRWb2NrMGhTU0ZUWmRWOWk3TjNBR1ZuQ2JITUdPTjY2Ukl0R0hkOUV4ZlNremVLcGduUk8ySUZYb0VwUDNPUEI4Q1ZrVWNJMlJGcmdlSXhHY19hbXRRM1NxenpCN0Zwb9IB1wFBVV95cUxPOVZRUUlWbDdoWElNZ3A3WFc2SUM5MzZ2TmdkMllXVHRUX2hqMFVjd1BkcTBFR3JBeE0yU0NhUEtLcFdCXzJ1QmlqenFxVFNibEx5bnZnVmk2SWR0Y0VDaGFQbU00MzVEUFk1X1VKLXdJdUxFSDJXbVRWb2NrMGhTU0ZUWmRWOWk3TjNBR1ZuQ2JITUdPTjY2Ukl0R0hkOUV4ZlNremVLcGduUk8ySUZYb0VwUDNPUEI4Q1ZrVWNJMlJGcmdlSXhHY19hbXRRM1NxenpCN0Zwbw?oc=5,2026-08-06 07:26:47,Mathrubhumi English,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPOVZRUUlWbDdoWElNZ3A3WFc2SUM5MzZ2TmdkMllXVHRUX2hqMFVjd1BkcTBFR3JBeE0yU0NhUEtLcFdCXzJ1QmlqenFxVFNibEx5bnZnVmk2SWR0Y0VDaGFQbU00MzVEUFk1X1VKLXdJdUxFSDJXbVRWb2NrMGhTU0ZUWmRWOWk3TjNBR1ZuQ2JITUdPTjY2Ukl0R0hkOUV4ZlNremVLcGduUk8ySUZYb0VwUDNPUEI4Q1ZrVWNJMlJGcmdlSXhHY19hbXRRM1NxenpCN0Zwb9IB1wFBVV95cUxPOVZRUUlWbDdoWElNZ3A3WFc2SUM5MzZ2TmdkMllXVHRUX2hqMFVjd1BkcTBFR3JBeE0yU0NhUEtLcFdCXzJ1QmlqenFxVFNibEx5bnZnVmk2SWR0Y0VDaGFQbU00MzVEUFk1X1VKLXdJdUxFSDJXbVRWb2NrMGhTU0ZUWmRWOWk3TjNBR1ZuQ2JITUdPTjY2Ukl0R0hkOUV4ZlNremVLcGduUk8ySUZYb0VwUDNPUEI4Q1ZrVWNJMlJGcmdlSXhHY19hbXRRM1NxenpCN0Zwbw?oc=5"" target=""_blank"">Kerala weather today: Seven districts on orange alert; heavy rain, strong winds likely</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mathrubhumi English</font>",Monsoon,en
Chennai Weather LATEST Update: Heavy Rain Likely in 4 Tamil Nadu Districts Today and Tomorrow; Chennai May Get Evening Showers - Asianet Newsable,https://news.google.com/rss/articles/CBMi9wFBVV95cUxOM0xXN1JYdzI4ejZmVHd6U0k0LWdxeVlaWE1ndHYtY2dPRnc5bGJlVXVfcG5PNWhzVUt0SEk4MXdDV2tkWkhLZ2dRWWdmRmNCWGhYcHExQnlZZzdqT3pFemlUaG5NUlZzWldRN21MaWV1R0JsY0F4NzF1cU93V0Y5R2FtQWhNREIzNzFodHhkcFVuclJxd090QXkzVzduaHhPaHpPbm1za3h1WUF5dEk0TzFNWkYzdy0tZFVpQS16R3NhU05MOXRHLWNoNElMYmZtbFFlVUluTlhWQ0RLdjFxbkVVODNRWk1LbXVsWC05eW11THJzaWt30gH3AUFVX3lxTE4zTFc3Ulh3Mjh6NmZUd3pTSTQtZ3F5WVpYTWd0di1jZ09GdzlsYmVVdV9wbk81aHNVS3RISTgxd0NXa2RaSEtnZ1FZZ2ZGY0JYaFhwcTFCeVlnN2pPekV6aVRobk1SVnNaV1E3bUxpZXVHQmxjQXg3MXVxT3dXRjlHYW1BaE1EQjM3MWh0eGRwVW5yUnF3T3RBeTNXN25oeE9oek9ubXNreHVZQXl0STRPMU1aRjN3LS1kVWlBLXpHc2FTTkw5dEctY2g0SUxiZm1sUWVVSW5OWFZDREt2MXFuRVU4M1FaTUttdWxYLTl5bXVMcnNpa3c?oc=5,2026-08-06 08:40:44,Asianet Newsable,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxOM0xXN1JYdzI4ejZmVHd6U0k0LWdxeVlaWE1ndHYtY2dPRnc5bGJlVXVfcG5PNWhzVUt0SEk4MXdDV2tkWkhLZ2dRWWdmRmNCWGhYcHExQnlZZzdqT3pFemlUaG5NUlZzWldRN21MaWV1R0JsY0F4NzF1cU93V0Y5R2FtQWhNREIzNzFodHhkcFVuclJxd090QXkzVzduaHhPaHpPbm1za3h1WUF5dEk0TzFNWkYzdy0tZFVpQS16R3NhU05MOXRHLWNoNElMYmZtbFFlVUluTlhWQ0RLdjFxbkVVODNRWk1LbXVsWC05eW11THJzaWt30gH3AUFVX3lxTE4zTFc3Ulh3Mjh6NmZUd3pTSTQtZ3F5WVpYTWd0di1jZ09GdzlsYmVVdV9wbk81aHNVS3RISTgxd0NXa2RaSEtnZ1FZZ2ZGY0JYaFhwcTFCeVlnN2pPekV6aVRobk1SVnNaV1E3bUxpZXVHQmxjQXg3MXVxT3dXRjlHYW1BaE1EQjM3MWh0eGRwVW5yUnF3T3RBeTNXN25oeE9oek9ubXNreHVZQXl0STRPMU1aRjN3LS1kVWlBLXpHc2FTTkw5dEctY2g0SUxiZm1sUWVVSW5OWFZDREt2MXFuRVU4M1FaTUttdWxYLTl5bXVMcnNpa3c?oc=5"" target=""_blank"">Chennai Weather LATEST Update: Heavy Rain Likely in 4 Tamil Nadu Districts Today and Tomorrow; Chennai May Get Evening Showers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",Monsoon,en
Heavy Rain Alert: Heavy rain from Delhi-UP to Bihar! IMD issues warning for these 25+ states - informalnewz,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOWXJMVDQtaTAyVUZwdzBXYWxPY2duOE14RGxSNGM3NDkzSmg0d2tsY2hhZ2RibUMxNGpjdWFHdzJEMXFTUTJvZHFueFR1NDYtaUxiQ196WWZmcEFhMDhlRzhIUmdBU3gxU2dxb19jUTYyTUNIak9yeDRmVVdPSDRuYUJxLTI0dngtN2F0cjhoSHNFVVNFSnFTZlVRRE5SMXYxb0wtbVUyT0FUR19GclNGSXF2TGNGODNrT2RZ0gHDAUFVX3lxTE05R3lQLU9zTlo2SGtTOFRtaU9tQ2dYOC1jVlFnMkxHd09hQnA5alBEVkpWX2FKdzRRQUMtQmE4QnhkVHRfdERVYmRRbTEzSDZxeW5PNDBZNnMtY2YybnFBTFdfdndsYzVScEZ0NHpWeDVFWlg0UmI3QVFKeVM3MkFUQUdhbnFGUmFPYVZPTkFVaHJQS2p5ckJ3eUo3VUpXZlpOekQzNTY2RjI0RDJlcUtRQk9pTXNUN0VZRHA0OXFCR3BiQQ?oc=5,2026-08-06 05:38:05,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOWXJMVDQtaTAyVUZwdzBXYWxPY2duOE14RGxSNGM3NDkzSmg0d2tsY2hhZ2RibUMxNGpjdWFHdzJEMXFTUTJvZHFueFR1NDYtaUxiQ196WWZmcEFhMDhlRzhIUmdBU3gxU2dxb19jUTYyTUNIak9yeDRmVVdPSDRuYUJxLTI0dngtN2F0cjhoSHNFVVNFSnFTZlVRRE5SMXYxb0wtbVUyT0FUR19GclNGSXF2TGNGODNrT2RZ0gHDAUFVX3lxTE05R3lQLU9zTlo2SGtTOFRtaU9tQ2dYOC1jVlFnMkxHd09hQnA5alBEVkpWX2FKdzRRQUMtQmE4QnhkVHRfdERVYmRRbTEzSDZxeW5PNDBZNnMtY2YybnFBTFdfdndsYzVScEZ0NHpWeDVFWlg0UmI3QVFKeVM3MkFUQUdhbnFGUmFPYVZPTkFVaHJQS2p5ckJ3eUo3VUpXZlpOekQzNTY2RjI0RDJlcUtRQk9pTXNUN0VZRHA0OXFCR3BiQQ?oc=5"" target=""_blank"">Heavy Rain Alert: Heavy rain from Delhi-UP to Bihar! IMD issues warning for these 25+ states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Monsoon,en
"Kerala Under Orange Alert on Thursday: IMD Issued Alert in 7 Districts of Kerala, Warning of Heavy Rains - NativePlanet",https://news.google.com/rss/articles/CBMi2wFBVV95cUxNSTVTY09qcGdScXhZUElkenQxMlBpN2d6UWJ2ZnZIX0NNdnZGdjZwNUZ4V0E5S2xkUUhIQWpVc3VhXzlmQmJrV3U1RU9vWXJoZlpNWDIxZ0xsTGtocDJIX0REdjM1dXprY20yeklVbVNmNlY3a1lUd3JkX19lWEVfb25renk5U2dyWVNVYkgyWko1bGVyRHlSYUdJTDFndG5ScHE2Tk9UNmpRWXlnMGY3SnREVFFyTGxHMGN3UFZCVG9HenJvSUMwV3NnazZqZnc3aXRhems5OGxoam8?oc=5,2026-08-06 08:58:51,NativePlanet,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNSTVTY09qcGdScXhZUElkenQxMlBpN2d6UWJ2ZnZIX0NNdnZGdjZwNUZ4V0E5S2xkUUhIQWpVc3VhXzlmQmJrV3U1RU9vWXJoZlpNWDIxZ0xsTGtocDJIX0REdjM1dXprY20yeklVbVNmNlY3a1lUd3JkX19lWEVfb25renk5U2dyWVNVYkgyWko1bGVyRHlSYUdJTDFndG5ScHE2Tk9UNmpRWXlnMGY3SnREVFFyTGxHMGN3UFZCVG9HenJvSUMwV3NnazZqZnc3aXRhems5OGxoam8?oc=5"" target=""_blank"">Kerala Under Orange Alert on Thursday: IMD Issued Alert in 7 Districts of Kerala, Warning of Heavy Rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NativePlanet</font>",Monsoon,en
