Title,Link,Date,Source,Summary,Term,LanguageQueried
Weather Update: இன்று கனமழை எச்சரிக்கை... எந்தெந்த மாவட்டங்களில்? - Kumudam,https://news.google.com/rss/articles/CBMijAFBVV95cUxNaDQxcEdqc0plN3VjeXRlRkhIbkphWlpfc0o1UkdZSHEwaW50b3VWMmlWeEFaS1JLSVFBMmg4czh3enl3eGhNMHpLb3F5b2NSYVdObjdHa1QwWU54TEYzUmtLaExxVUhMMU05Rm9SbjFfNE56SUlFTEdEdWdDOWZ2VzdpRHRYT2dGdnNtSA?oc=5,2026-09-15 07:25:00,Kumudam,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxNaDQxcEdqc0plN3VjeXRlRkhIbkphWlpfc0o1UkdZSHEwaW50b3VWMmlWeEFaS1JLSVFBMmg4czh3enl3eGhNMHpLb3F5b2NSYVdObjdHa1QwWU54TEYzUmtLaExxVUhMMU05Rm9SbjFfNE56SUlFTEdEdWdDOWZ2VzdpRHRYT2dGdnNtSA?oc=5"" target=""_blank"">Weather Update: இன்று கனமழை எச்சரிக்கை... எந்தெந்த மாவட்டங்களில்?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kumudam</font>",Monsoon,ta
"Daily weather tracker: Monsoon retreat begins, but rain, thunderstorms and strong winds continue across India - Down To Earth",https://news.google.com/rss/articles/CBMi5wFBVV95cUxOcGpTb0RjTnM2bTZtelV2NWJWVzU2dnhTb1VXQWZ0OTlMMnZRTkVKUUhtNy05MmZvWm5uYTRBUl91bmV0LXZrSm9hcXdiTVliQmdVbm1QSmRkXzZ5QW52LVBtdm0yb1BhOHBTRklsc0FZRU5abnFoOUFBS29WczFLclE3Nm04SmtQYXVDdkNObUFrY1RNTUdaWUdBWmJjcG4wV1lFVWpiaDNCWnEwZW5JU25MYjdpYUlUa2pzMkNRYlhneVFNTVZIdWVhR0Q3NVhCUGFoSVBDOWxBbVVSbjdud3d6SE1DZGvSAfQBQVVfeXFMTnpzdWRKdTY5Qnk5NXYzTFRvTlBLeWFBR1Vid0w5ZlRxZkNfb1RmZHpiVl9aR0g1THdiTU91Sm1LUk1wTGpXcHpyNEg5NUdGMVVMcm94cnFBWUd0ZE5EU1VNU1d6V2ZpUWlsc0Ytd0w2ZnBKLWJtMTlabmN6ZThUQVl0UUlveGl2dklFOXNKMERCc0ZJMnE1MFkxQjZzeU1SVnJlVXJudUc3M3VVMU82MkVhaDB3ZlFLVDBpcmJadmNlTDVyZ2JOMzZTcWVnT2tSWERKVmlVVHhFc3pDazBxcFZtNUVycTVQZDgyM0VpTHJ5X0lhRg?oc=5,2026-09-15 10:23:36,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOcGpTb0RjTnM2bTZtelV2NWJWVzU2dnhTb1VXQWZ0OTlMMnZRTkVKUUhtNy05MmZvWm5uYTRBUl91bmV0LXZrSm9hcXdiTVliQmdVbm1QSmRkXzZ5QW52LVBtdm0yb1BhOHBTRklsc0FZRU5abnFoOUFBS29WczFLclE3Nm04SmtQYXVDdkNObUFrY1RNTUdaWUdBWmJjcG4wV1lFVWpiaDNCWnEwZW5JU25MYjdpYUlUa2pzMkNRYlhneVFNTVZIdWVhR0Q3NVhCUGFoSVBDOWxBbVVSbjdud3d6SE1DZGvSAfQBQVVfeXFMTnpzdWRKdTY5Qnk5NXYzTFRvTlBLeWFBR1Vid0w5ZlRxZkNfb1RmZHpiVl9aR0g1THdiTU91Sm1LUk1wTGpXcHpyNEg5NUdGMVVMcm94cnFBWUd0ZE5EU1VNU1d6V2ZpUWlsc0Ytd0w2ZnBKLWJtMTlabmN6ZThUQVl0UUlveGl2dklFOXNKMERCc0ZJMnE1MFkxQjZzeU1SVnJlVXJudUc3M3VVMU82MkVhaDB3ZlFLVDBpcmJadmNlTDVyZ2JOMzZTcWVnT2tSWERKVmlVVHhFc3pDazBxcFZtNUVycTVQZDgyM0VpTHJ5X0lhRg?oc=5"" target=""_blank"">Daily weather tracker: Monsoon retreat begins, but rain, thunderstorms and strong winds continue across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Monsoon,en
Delhi Rain Alert: Heavy Rain and Thunderstorms Forecast on Tuesday - urbanacres.in,https://news.google.com/rss/articles/CBMikgFBVV95cUxPZUpOZmVyQ3BzYWI5SG9tY29ydnhmemIxUWxxRjNRTGpoenVrSmxKZDJ3R2VISHhuNV9uRzZYU09jQ0c1ZnRsdmJZRF9VTkRYSXNFYk0xMC1CZ0RVcUpiaEVGRnRsR3ZkSzZHSDB0SkVHZTE5VjMxaV9jejNsaEV1Yk51R2JGb3ZfMDlWaW43bjhoZw?oc=5,2026-09-15 05:39:00,urbanacres.in,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxPZUpOZmVyQ3BzYWI5SG9tY29ydnhmemIxUWxxRjNRTGpoenVrSmxKZDJ3R2VISHhuNV9uRzZYU09jQ0c1ZnRsdmJZRF9VTkRYSXNFYk0xMC1CZ0RVcUpiaEVGRnRsR3ZkSzZHSDB0SkVHZTE5VjMxaV9jejNsaEV1Yk51R2JGb3ZfMDlWaW43bjhoZw?oc=5"" target=""_blank"">Delhi Rain Alert: Heavy Rain and Thunderstorms Forecast on Tuesday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">urbanacres.in</font>",Monsoon,en
"Tamil Nadu Weather Today: Heavy Rain Likely in 9 Districts, Chennai Rain Alert - LiveChennai",https://news.google.com/rss/articles/CBMib0FVX3lxTE8tSTZvSTA5eXdRNVJxemdMc2QwZmdwOXZzYVhPeFY4bG90Wkl0dHkwN2l1YW5UeVNUY1pNaFhabEYtREdUVy1Lb2ZNUmlvYk94Zk5WYzVJeHFLZ1d6LVF3VmxsLWRVQXIzSDBqc0Qxdw?oc=5,2026-09-15 11:25:17,LiveChennai,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE8tSTZvSTA5eXdRNVJxemdMc2QwZmdwOXZzYVhPeFY4bG90Wkl0dHkwN2l1YW5UeVNUY1pNaFhabEYtREdUVy1Lb2ZNUmlvYk94Zk5WYzVJeHFLZ1d6LVF3VmxsLWRVQXIzSDBqc0Qxdw?oc=5"" target=""_blank"">Tamil Nadu Weather Today: Heavy Rain Likely in 9 Districts, Chennai Rain Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LiveChennai</font>",Monsoon,en
IMD issues orange alert for heavy to very heavy rainfall in North | Akashvani News - News On AIR,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNDl6c2JnSlo4WElVVDNaQmNodHRRTHlHbl96Vm1adExLZGJMYklGV09aTjhhWFJZTXZYeHgzakpVVG9RSDNObk1GQkRTZmxTb2duZHhIVDFJQXJGd1k0OVJCQWVNOHA2WkZIRFp2ZzF2SFdabFFDU1dxeGh0UkJzTEVOUnlaMHZPLWJOTHhpRllscWZnelZ1UWYxbkI1blFUYzZNc1ozV2pDQQ?oc=5,2026-09-15 05:03:31,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNDl6c2JnSlo4WElVVDNaQmNodHRRTHlHbl96Vm1adExLZGJMYklGV09aTjhhWFJZTXZYeHgzakpVVG9RSDNObk1GQkRTZmxTb2duZHhIVDFJQXJGd1k0OVJCQWVNOHA2WkZIRFp2ZzF2SFdabFFDU1dxeGh0UkJzTEVOUnlaMHZPLWJOTHhpRllscWZnelZ1UWYxbkI1blFUYzZNc1ozV2pDQQ?oc=5"" target=""_blank"">IMD issues orange alert for heavy to very heavy rainfall in North | Akashvani News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
Monsoon Withdrawal From September 19? IMD Flags Rain Deficit In Key States - NDTV Profit,https://news.google.com/rss/articles/CBMivgFBVV95cUxNUndBT1BkYUs2QWR5T0hXNGIxc2FLUXVMZlVQNWlobEw3cHFEdE1LaWFmZHgxR1pCSWg2YUJVS2wzejFBQm4zSDZDbXh0QWhTeUMwaG1aelpTNVJLa05QQk14c2pGbENHTmtSZy1vVXZlcGxUZXk5LVhUeG15VzBEM2JYSk00cHVrQ0Q1eW1HTDl6UmJ5ekljTE1SVFNRX1lmeU15WWE3UFcxVDFfWWthX3BVNEFUX2ZPQVVjVFhB0gG-AUFVX3lxTE1Sd0FPUGRhSzZBZHlPSFc0YjFzYUtRdUxmVVA1aWhsTDdwcUR0TUtpYWZkeDFHWkJJaDZhQlVLbDN6MUFCbjNINkNteHRBaFN5QzBobVp6WlM1UktrTlBCTXhzakZsQ0dOa1JnLW9VdmVwbFRleTktWFR4bXlXMEQzYlhKTTRwdWtDRDV5bUdMOXpSYnl6SWNMTVJUU1FfWWZ5TXlZYTdQVzFUMV9Za2FfcFU0QVRfZk9BVWNUWEE?oc=5,2026-09-15 07:33:47,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNUndBT1BkYUs2QWR5T0hXNGIxc2FLUXVMZlVQNWlobEw3cHFEdE1LaWFmZHgxR1pCSWg2YUJVS2wzejFBQm4zSDZDbXh0QWhTeUMwaG1aelpTNVJLa05QQk14c2pGbENHTmtSZy1vVXZlcGxUZXk5LVhUeG15VzBEM2JYSk00cHVrQ0Q1eW1HTDl6UmJ5ekljTE1SVFNRX1lmeU15WWE3UFcxVDFfWWthX3BVNEFUX2ZPQVVjVFhB0gG-AUFVX3lxTE1Sd0FPUGRhSzZBZHlPSFc0YjFzYUtRdUxmVVA1aWhsTDdwcUR0TUtpYWZkeDFHWkJJaDZhQlVLbDN6MUFCbjNINkNteHRBaFN5QzBobVp6WlM1UktrTlBCTXhzakZsQ0dOa1JnLW9VdmVwbFRleTktWFR4bXlXMEQzYlhKTTRwdWtDRDV5bUdMOXpSYnl6SWNMTVJUU1FfWWZ5TXlZYTdQVzFUMV9Za2FfcFU0QVRfZk9BVWNUWEE?oc=5"" target=""_blank"">Monsoon Withdrawal From September 19? IMD Flags Rain Deficit In Key States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",Monsoon,en
IMD predicts heavy rain and thunderstorm for several districts across Gujarat today - News On AIR,https://news.google.com/rss/articles/CBMirgFBVV95cUxNbUJUTHFFN3pMbmRBS0NQZTl3S3pOdnRYeEluM01iT3pLclpuTkJEZmV2VDZlWGYxTmREcDJvYXZEWVZHYkxGZ0Q3NWRIekRCWGRNZ0lSSVpwMzlfMk1mS1F6UWI3dDFONXZtMldWZGdQeHUtQzdyMkdQUGd1X0ZKUHoyQW9hZkJsYVVRYzl5LVhYVFc2VGl0R0tJNExqelFWcHowdk9POTR3WWRHVkE?oc=5,2026-09-15 13:10:15,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNbUJUTHFFN3pMbmRBS0NQZTl3S3pOdnRYeEluM01iT3pLclpuTkJEZmV2VDZlWGYxTmREcDJvYXZEWVZHYkxGZ0Q3NWRIekRCWGRNZ0lSSVpwMzlfMk1mS1F6UWI3dDFONXZtMldWZGdQeHUtQzdyMkdQUGd1X0ZKUHoyQW9hZkJsYVVRYzl5LVhYVFc2VGl0R0tJNExqelFWcHowdk9POTR3WWRHVkE?oc=5"" target=""_blank"">IMD predicts heavy rain and thunderstorm for several districts across Gujarat today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"IMD warns of heavy rainfall in Delhi, Punjab, and Haryana - NewsBytes",https://news.google.com/rss/articles/CBMiowFBVV95cUxQT1VtNk1vR0JqUHBFeG44LW1KRWs4NEJJRTNlUVFJQWktNkNjNEtsUVp3MDlDdnRleG5GVXBWa2tyWU5VV3FBQUVxdUFaX3JwcmtGc1loeTE0SThJcWtQV3FhbnpaUEM0SGo1eU43elpPdGxoVkRwSTlwamJQdkk3dTc5cmxzd3dkUzNmVTBmUktiR1YzT2hvaUt2VGpYYkVjZkI0?oc=5,2026-09-15 11:35:21,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQT1VtNk1vR0JqUHBFeG44LW1KRWs4NEJJRTNlUVFJQWktNkNjNEtsUVp3MDlDdnRleG5GVXBWa2tyWU5VV3FBQUVxdUFaX3JwcmtGc1loeTE0SThJcWtQV3FhbnpaUEM0SGo1eU43elpPdGxoVkRwSTlwamJQdkk3dTc5cmxzd3dkUzNmVTBmUktiR1YzT2hvaUt2VGpYYkVjZkI0?oc=5"" target=""_blank"">IMD warns of heavy rainfall in Delhi, Punjab, and Haryana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Monsoon,en
"Monsoon withdrawal from September 19? IMD predicts rain in Delhi, Punjab, Uttar Pradesh, Bihar, Odisha, Kerala and Tamil Nadu – Check state-wise forecast here - news24online.com",https://news.google.com/rss/articles/CBMimAJBVV95cUxQelktaVd6VG1aZHdxaVhnMFNMWXlsbUFjWG5EMUhFeVFJNF9hR1N4VHlELUJNQ2NQc0tjTjZxLVo3bC0tYzdCXzFmb0RZeTBKd3hieUxpT3dtVzFHR0praGZ4M1NKZFV0VXN0eE9UdVFCdmZ0aFp2YWNQa3JvYld3ZThSRjViMmdFTDZ2TGZRQ3Y2Q0dkdHNicGY5UmlhR0dmODNjcTVTbmdXdTlGRHVCckE0cWpzTGl2S05WanliMTRST2FXWnVMSW4wN1Y1SHVxaFByWWpGQjBnUFg5TlppMVZlNVkzZUNxTVhmRUxyb0NIZnV1dmtmM1FhOVBySUZzbUR2bEc0ZFpmaEJFQnVJOVJia0h5VlVU0gGcAkFVX3lxTE1vcEFBTWZSVUQ3YmdreVoyT1JlRkNEYUlRV1pwaHctT0JWTkcxWGc2R3NSaHM1Uk5YN2VHUmUzN1JBTHpmS1NQRE9hRkN5bnprUVJYRlliYmpTaUJQWmxWdnhINVdCdWh0cW9wWTdOVUY5ay1rMXBxR0l1Ml9ORnRMOHdHeXBueGk0SDRqZ2t5QXFkd3BBdjc0UjhzUGZFUGtvVWhicFllUWVsM2I5MEw1eEhLbW11TUwwdDB1Mlo5MTctUExaeF9GR2w2ZDZ4enhfX1dfYTVTMEJKcnZkRHpuY054Y29ndGFVYUdiMTFIS244N0FMRVVSVTFjYktOQ1NKM2trOHRZWVJLLVBxel96QlF5ZjE4Y1M4Ynot?oc=5,2026-09-15 10:48:47,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMimAJBVV95cUxQelktaVd6VG1aZHdxaVhnMFNMWXlsbUFjWG5EMUhFeVFJNF9hR1N4VHlELUJNQ2NQc0tjTjZxLVo3bC0tYzdCXzFmb0RZeTBKd3hieUxpT3dtVzFHR0praGZ4M1NKZFV0VXN0eE9UdVFCdmZ0aFp2YWNQa3JvYld3ZThSRjViMmdFTDZ2TGZRQ3Y2Q0dkdHNicGY5UmlhR0dmODNjcTVTbmdXdTlGRHVCckE0cWpzTGl2S05WanliMTRST2FXWnVMSW4wN1Y1SHVxaFByWWpGQjBnUFg5TlppMVZlNVkzZUNxTVhmRUxyb0NIZnV1dmtmM1FhOVBySUZzbUR2bEc0ZFpmaEJFQnVJOVJia0h5VlVU0gGcAkFVX3lxTE1vcEFBTWZSVUQ3YmdreVoyT1JlRkNEYUlRV1pwaHctT0JWTkcxWGc2R3NSaHM1Uk5YN2VHUmUzN1JBTHpmS1NQRE9hRkN5bnprUVJYRlliYmpTaUJQWmxWdnhINVdCdWh0cW9wWTdOVUY5ay1rMXBxR0l1Ml9ORnRMOHdHeXBueGk0SDRqZ2t5QXFkd3BBdjc0UjhzUGZFUGtvVWhicFllUWVsM2I5MEw1eEhLbW11TUwwdDB1Mlo5MTctUExaeF9GR2w2ZDZ4enhfX1dfYTVTMEJKcnZkRHpuY054Y29ndGFVYUdiMTFIS244N0FMRVVSVTFjYktOQ1NKM2trOHRZWVJLLVBxel96QlF5ZjE4Y1M4Ynot?oc=5"" target=""_blank"">Monsoon withdrawal from September 19? IMD predicts rain in Delhi, Punjab, Uttar Pradesh, Bihar, Odisha, Kerala and Tamil Nadu – Check state-wise forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Monsoon,en
Monsoon Withdrawal From September 19? IMD Flags Rain Deficit In Key States - NDTV Profit,https://news.google.com/rss/articles/CBMitgFBVV95cUxNNnVhNlRrLUxNbmNiMUlqbUR2Skk1NWNTajBQbU8yclQxVHJFM1ItcVJxdDh2LW50TnJ5NmFYbVBZem9SdDFIM0pXcmNpZG9Na3Q3VkJaMnBLU1h4X1d0Vk5JOTk3LVN2RGFoejVwaTQ5d1ZJbUY3Ujh6SGRBNVcyUEpXX2ZQZmhhN0YxN2gzSUZqTmhKZGpGbGhRMVRQbzhxMTdyUzVfOGlKXy1KRUUyd2ZpckxjUdIBvgFBVV95cUxNUndBT1BkYUs2QWR5T0hXNGIxc2FLUXVMZlVQNWlobEw3cHFEdE1LaWFmZHgxR1pCSWg2YUJVS2wzejFBQm4zSDZDbXh0QWhTeUMwaG1aelpTNVJLa05QQk14c2pGbENHTmtSZy1vVXZlcGxUZXk5LVhUeG15VzBEM2JYSk00cHVrQ0Q1eW1HTDl6UmJ5ekljTE1SVFNRX1lmeU15WWE3UFcxVDFfWWthX3BVNEFUX2ZPQVVjVFhB?oc=5,2026-09-15 07:33:47,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNNnVhNlRrLUxNbmNiMUlqbUR2Skk1NWNTajBQbU8yclQxVHJFM1ItcVJxdDh2LW50TnJ5NmFYbVBZem9SdDFIM0pXcmNpZG9Na3Q3VkJaMnBLU1h4X1d0Vk5JOTk3LVN2RGFoejVwaTQ5d1ZJbUY3Ujh6SGRBNVcyUEpXX2ZQZmhhN0YxN2gzSUZqTmhKZGpGbGhRMVRQbzhxMTdyUzVfOGlKXy1KRUUyd2ZpckxjUdIBvgFBVV95cUxNUndBT1BkYUs2QWR5T0hXNGIxc2FLUXVMZlVQNWlobEw3cHFEdE1LaWFmZHgxR1pCSWg2YUJVS2wzejFBQm4zSDZDbXh0QWhTeUMwaG1aelpTNVJLa05QQk14c2pGbENHTmtSZy1vVXZlcGxUZXk5LVhUeG15VzBEM2JYSk00cHVrQ0Q1eW1HTDl6UmJ5ekljTE1SVFNRX1lmeU15WWE3UFcxVDFfWWthX3BVNEFUX2ZPQVVjVFhB?oc=5"" target=""_blank"">Monsoon Withdrawal From September 19? IMD Flags Rain Deficit In Key States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",Monsoon,en
